#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	acs//tnaB//
ArcA_CRP_DcuR_DpiA_FNR_NarL	hisM//hyfA//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	appA//
ArcA_CRP_DnaA_FNR	mtr//
ArcA_CRP_DpiA_FNR_NarL	csgE//soxS//galP//fepE//nuoA//moaD//
ArcA_CRP_DpiA_FlhDC	rrlB//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	gatY//lsrR//
ArcA_CRP_FNR	relB//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	glcD//ssuC//cysA//
ArcA_CRP_FNR_Fis_Fur_PdhR	ascF//
ArcA_CRP_FNR_Fis_IHF_NarL	garR//
ArcA_CRP_FNR_Fur	nikA//dmsB//sdhB//prpB//
ArcA_CRP_FNR_Fur_IHF	zwf//napH//nrdA//chbR//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	araB//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	bglJ//
ArcA_CRP_FNR_IHF_NarL	hycA//
ArcA_CRP_FNR_NarL	rrfE//
ArcA_CRP_FadR	rplC//cysG//
ArcA_CRP_FadR_HipB	glnA//
ArcA_CRP_FadR_OmpR_PhoP	appA//
ArcA_CRP_Fis_Mlc_SoxS	micF//
ArcA_CRP_Fis_XylR	sgrS//
ArcA_CRP_Fur_GadX_MqsA	sufA//
ArcA_CRP_GatR	dcuB//cysB//aer//frdA//astD//nuoN//
ArcA_CRP_GlpR	napH//
ArcA_CRP_IHF	puuC//
ArcA_CRP_PuuR	glcF//gadB//lpd//torA//mhpE//
ArcA_CRP_RhaS	proX//
ArcA_CRP_TreR	pyrD//trg//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	dcuD//galR//
ArcA_Cra	gcvH//
ArcA_Cra_FNR_H-NS_HypT	purN//fepA//
ArcA_CysB_FNR	rhaS//
ArcA_FNR	nikC//lsrB//torD//yciE//paaZ//phoQ//hybD//cusB//glcD//entH//hdeA//rprA//cusB//pspB//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	hpt//
ArcA_FNR_Fis_IHF_NarL	ileT//purD//ilvG_1//carB//rutD//gabD//idnD//atoA//ftsW//sgbU//iclR//ackA//gspM//
ArcA_FNR_Fur_IHF	fumC//
ArcA_FNR_IHF	rcnA//ygiA//argG//
ArcA_FNR_IHF_NarL	rpsJ//tcyJ//
ArcA_FNR_NarL	hcr//rcnB//mazG//sufB//
ArcA_FNR_PhoP	hycG//
ArcA_FNR_PuuR	idnO//araF//
ArcA_FadR	chbF//ccmF//nikR//
ArcA_FadR_Fis	fucI//csrC//
ArcA_Fur_Lrp_ModE	yafQ//rrfE//csgD//rpsI//feaR//
ArcA_GlcC_IHF_PdhR	rpsC//yciG//paaK//fdnH//hycH//nrdG//
ArcA_LexA	agaW//araJ//
ArcA_LldR	gdhA//glpB//pgaB//
ArcA_NarL	rob//rhaT//paaH//epd//glcC//mhpF//appY//betT//
ArcA_NtrC_PhoP_RutR	nikB//dsdX//pspC//garL//ubiA//ugpB//bglJ//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	glpT//serA//aidB//
ArgP_CRP_FNR_Fur_Nac	aroM//
ArgP_DnaA	nanC//hokD//focB//
ArgP_Lrp	rpoH//rrfC//
ArgP_LysR	murP//
ArgP_PhoB	mtr//
ArgR_CRP	citX//
ArgR_CRP_Fis	fumB//ftsA//appB//yafQ//uxaB//gspJ//nhaR//hcr//
ArgR_Fis_IHF_PepA_PurR_RutR	agaV//relE//
ArgR_H-NS_NtrC	cyoA//nhaA//ftsA//galR//
ArgR_NtrC	ssuB//waaZ//rcnB//cspI//hypD//
ArgR_PhoP	entH//
AscG_CRP	umpH//sulA//ftsL//
AscG_CRP_PhoB_PrpR	creD//
AsnC_MraZ_Nac	glpC//
AsnC_Nac	gspF//metR//
AtoC_IHF	astB//hcp//fur//gcvP//
BaeR_CpxR	grcA//malM//ugpB//fepE//iclR//appA//emrY//
BaeR_CpxR_EvgA	focB//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	appY//rpsI//safA//pdeL//
BasR_CpxR_PdhR	paaI//glcA//
BasR_Fis	guaA//
BasR_H-NS_IHF_NagC_NanR	hyaD//
BasR_MarA_PutA	prpC//
BasR_PhoP	ebgA//
BasR_QseB	tomB//adhE//
CRP_CaiF_FNR	flhC//gabP//inaA//cadA//
CRP_ChbR_NagC	cspI//gabD//envZ//lsrR//ygbA//rrfH//
CRP_ComR	hypD//
CRP_CpxR	aer//
CRP_CpxR_CytR	cspD//
CRP_CpxR_CytR_DnaA_IHF	nrdE//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	murE//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	hypE//flhD//ccmE//xylF//
CRP_Cra	fdnH//galE//csgC//oppB//norV//lpxA//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	fhuF//ftsZ//glnH//sucD//
CRP_Cra_FNR_PdhR	hyaA//
CRP_Cra_Fis	fdnG//
CRP_Cra_Fis_GlcC	srlD//
CRP_Cra_Fis_MtlR	thrV//sucA//fadI//
CRP_Cra_Mlc_NagC	astC//cysM//cadC//dcuS//casE//adiA//
CRP_Cra_PrpR	yiaN//mhpD//ptsI//moaE//
CRP_CreB_Fis_MalT	idnK//metY//glpQ//
CRP_CsiR_H-NS_Lrp	paaC//ilvG_2//
CRP_CsiR_H-NS_Lrp_Nac	dcuB//tyrP//ileT//
CRP_CspA_Fis	gntT//
CRP_CytR	lsrC//higB//ssuE//
CRP_CytR_DeoR	alaT//nrfF//
CRP_CytR_DeoR_Fis_ModE	ftsL//zwf//fhuF//yciE//
CRP_CytR_Nac	gcvP//
CRP_CytR_NsrR	chbG//
CRP_DcuR_FNR_NarL	patA//
CRP_DinJ-YafQ	entB//
CRP_DnaA_Fis_PurR	hypD//puuC//
CRP_DpiA_ExuR	ptsH//
CRP_DsdC	osmE//fucA//
CRP_EbgR	metH//cytR//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	higB//murF//
CRP_ExuR	hycH//
CRP_ExuR_FNR	fau//rrlE//
CRP_ExuR_OxyR_UxuR	metY//nikD//
CRP_ExuR_UxuR	rseC//
CRP_FNR	umpH//
CRP_FNR_FhlA_HyfR	hyfD//casA//aspA//cas2//lrp//gatZ//araB//thrV//gloA//rob//glpK//yhiD//
CRP_FNR_Fis	tdcB//ubiC//ilvM//
CRP_FNR_Fis_GlpR_IHF	mhpC//ackA//
CRP_FNR_Fis_H-NS_SlyA	lldR//
CRP_FNR_GcvA_Lrp_PurR	setA//crr//yciF//
CRP_FNR_H-NS_NarL	dctA//
CRP_FNR_IHF_TdcA_TdcR	yaiA//alaV//deoD//rrsA//iraM//narK//gadE//
CRP_FNR_NarL	rrlB//fliZ//rplC//
CRP_FeaR_NsrR	aceA//
CRP_Fis	proX//cyoA//gapA//nikC//metE//
CRP_Fis_FlhDC_GalR_GalS	acnB//manX//
CRP_Fis_FliZ_IHF_Lrp	astC//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	ndh//dcuR//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	chbG//cspD//csgE//
CRP_Fis_IHF	hyfG//gntT//nanA//katG//norV//
CRP_Fis_NanR	prpB//fhlA//sbmC//acrF//nupG//
CRP_Fis_NtrC	oppA//rrsH//skp//
CRP_Fis_XylR	araF//gspG//prpC//
CRP_FlhDC_GalR_GalS	flhC//
CRP_FucR	adhE//tauA//trg//ulaE//baeR//fur//idnO//
CRP_Fur	infB//pgaC//entC//argO//mhpF//fimH//yjbH//cusS//rpsJ//
CRP_Fur_HypT_PdhR	entB//spy//acrB//ulaG//pqiB//
CRP_Fur_OxyR_SoxS	caiT//
CRP_GalR_GalS	glpA//
CRP_GalR_GalS_H-NS_HU	lldD//rbsB//paaJ//fliI//
CRP_GalR_GalS_NagC	tnaB//
CRP_GlpR	fpr//mraZ//gspE//
CRP_GntR	cusF//csgE//
CRP_GntR_IdnR	dmsA//phoU//sufB//ydeM//adiA//dmsA//nanT//
CRP_GntR_IscR	dppF//
CRP_GutM_GutR_H-NS	gspJ//garR//udp//mhpD//nuoA//galM//flgN//
CRP_H-NS	xylA//
CRP_H-NS_HipAB_HipB_NtrC	yhjA//
CRP_H-NS_LacI	moeB//argO//gltF//
CRP_H-NS_LeuO	caiD//rpsJ//prpD//fimC//cyoB//alaT//araB//
CRP_H-NS_MqsA	envZ//
CRP_IHF	hybE//nrfA//srlA//gatB//
CRP_IHF_MprA_OmpR	nrdF//
CRP_IHF_NsrR	rtcA//
CRP_IHF_PaaX	idnT//fixA//uhpT//acnA//oppD//rhaS//fadD//casD//narJ//ftsQ//rpoH//oppD//
CRP_IHF_UlaR	nupG//yiaK//glcF//sodA//prpC//rrlE//
CRP_IHF_YiaJ	ydeP//carB//purH//ydhT//nuoE//rrfA//betT//ogt//mhpF//glmY//
CRP_LexA	fadJ//
CRP_Lrp	gspI//lhgO//alaV//malT//
CRP_Lrp_Mlc	ygiA//
CRP_Lrp_Nac	stpA//
CRP_LsrR	hybD//ileT//lrp//higA//rhaT//sufD//cas2//ulaA//nuoA//
CRP_MalI	lysP//fixA//glnH//
CRP_MalT	guaA//nuoL//dppB//
CRP_MalT_PhoP	lsrB//
CRP_MelR	rrsG//ilvD//lpxC//
CRP_MetJ	fecC//
CRP_MhpR	betB//malX//skp//lsrC//sgrS//tyrP//
CRP_Mlc	hyfJ//cyaR//
CRP_ModE	sodB//tolC//nuoC//
CRP_MurR	frdD//eda//
CRP_Nac_NsrR_PhoB	ccmE//
CRP_NadR	truB//
CRP_NagC	fhuF//micF//murC//malG//csiD//ygbA//
CRP_NagC_NanR	rtcB//rbsB//aceB//
CRP_NagC_PhoP	modC//
CRP_OxyR	lacY//
CRP_OxyR_UxuR	fimD//
CRP_PhoB	hybO//rhaB//ilvM//eda//sbmC//mazG//
CRP_PhoP	gadA//fhlA//tyrP//
CRP_PutA	torA//
CRP_RbsR	hns//fucK//pgaD//feoB//araA//mdtB//
CRP_RhaR_RhaS	ydhV//malI//
CRP_RhaS	ftnA//lgoR//feaB//
CRP_Rob	yeaR//
CRP_TorR	malE//glpT//pspA//
CRP_UhpA_UvrY	ulaC//
CRP_UidR_UxuR	dctA//nfo//spy//
CRP_UvrY	feoB//
CRP_YehT	ygiB//
CRP_ZraR	rrlC//glnL//
CadC_FNR_H-NS_LeuO_MlrA	hha//
Cbl_CysB	nrdH//glpF//rplT//hycH//
Cbl_CysB_FNR_IHF	fur//ulaF//osmY//ccmG//malG//
CdaR_FNR_Fis_Fur_H-NS	tnaA//
CdaR_FNR_Fur_H-NS	katG//nrdG//ilvI//lacY//
CpxR_CsgD_FliZ	lacA//guaB//degP//
CpxR_CysB	gutQ//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	glpF//
CpxR_GadE	cadC//nagA//rrfB//aceA//
CpxR_H-NS	rutC//
CpxR_NsrR	fucK//
CpxR_RcsB	hypF//
CpxR_TyrR	casB//
Cra_FNR_Fis_Lrp_NarL	malQ//
Cra_FNR_Fur_MarA_Rob_SoxS	rsmH//
Cra_FhlA_FlhDC	ldtB//
Cra_GntR_KdgR	purR//
Cra_GntR_KdgR_PhoB	malE//
Cra_MarA_SoxS	nrfG//
Cra_PdeL	sufE//
Cra_SgrR	ugpC//betB//nuoL//
Cra_TyrR	fimH//
CreB_NagC	galP//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	fis//
CsgD_FlhDC	xylR//srlR//hdeB//gatA//puuE//ascB//aroP//hycH//paaA//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	aer//ilvG_1//
CspA_Fis_GadX_H-NS	malX//
CueR_FNR_ModE	ftnA//hycG//mglC//rutD//feaB//
CusR_PhoB_YedW	gspO//rrlG//ilvL//gatD//nhaA//caiA//fimF//
CysB_H-NS	aldA//ftnA//mhpF//acnB//glnQ//
CysB_HypT_IHF	rrfA//
CysB_IHF	murP//tdcD//
CysB_NtrC	entH//
CysB_PhoP	yciF//
DcuR_FNR_NarL	rrsH//pspD//yiaM//ompW//
DinJ-YafQ_LexA	feoC//fucU//
DpiA_H-NS	idnK//
DsdC_NsrR	prpE//
EvgA_FNR	ihfA//nikA//
EvgA_H-NS	yrbL//guaA//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	agaV//
EvgA_H-NS_PhoP_RcsB_YdeO	ydhU//
EvgA_PhoP_RcsB_YdeO	oppB//
ExuR_UxuR	yjbG//uxaB//
FNR_FhlA_IHF_NsrR	appB//dcuA//hyaA//nanE//mntH//
FNR_FhlA_NarL_NarP	tdcG//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	argO//chiP//crr//cysM//norV//yfaE//dpiB//
FNR_Fis_IHF_ModE_NarL	ydhY//puuD//astD//
FNR_Fis_IHF_NarL	hcr//
FNR_Fis_IHF_NarL_RstA	gspL//bglG//appX//rplP//
FNR_FlhDC	hipA//
FNR_FlhDC_IscR_ModE_NarL_NarP	hycE//citC//prpR//deoA//uidC//gcvP//tyrP//
FNR_FlhDC_ModE_NarL_NarP	gatC//uidA//hypF//metK//gntP//nanT//nuoH//marA//
FNR_Fur	nuoG//hyfB//
FNR_Fur_GadE	icd//
FNR_Fur_GadX_NtrC	dadX//gntX//
FNR_Fur_H-NS	nikA//rcnB//aceB//fimI//
FNR_Fur_MetR_NsrR	narX//
FNR_Fur_Nac_NtrC	rbsK//
FNR_Fur_NagC	cydB//rprA//deoC//
FNR_Fur_OxyR	puuR//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	lsrA//
FNR_H-NS	mraZ//fnr//
FNR_H-NS_NrdR	deoA//fau//
FNR_IHF	nuoH//edd//rrsG//oppD//cspA//
FNR_IHF_Lrp_YeiL	mhpA//
FNR_IHF_NarL_NarP_NorR	nuoJ//soxR//
FNR_IHF_PhoB	ilvI//ahpF//malQ//ccmE//lpd//
FNR_MalT	glpT//murG//
FNR_ModE	hycD//uidA//
FNR_NarL	rrsC//citE//ycdZ//rplM//emrK//cysW//
FNR_NarL_NarP	yqjI//hyfI//dpiB//csiE//ybiT//moaB//rhaA//hyfJ//fdnI//
FNR_NarL_NarP_NsrR	ytfE//
FNR_NarL_NarP_NsrR_OxyR	ppiA//ubiA//
FNR_NarL_NikR	glnQ//csiD//pck//fepE//acrA//hyfB//
FNR_NsrR	chbG//prmC//nrdI//
FNR_OxyR	rbsA//
FNR_PurR	gntU//rplW//
FNR_YqjI	ilvI//
FabR_FadR	gspF//nikA//
FadR_IHF	focB//
FadR_IclR	gspL//
FhlA_FlhDC	hyaB//
FhlA_IHF_ModE_NsrR	adiC//ugpE//sroD//gltD//nikD//creD//dpiB//cysU//rplP//
FhlA_IHF_NsrR	uidC//
Fis_Fur	hyfA//
Fis_H-NS	hipA//
Fis_H-NS_IHF_MntR_OxyR	fepE//
Fis_H-NS_Lrp	glmY//citF//csiD//modC//mglC//ydhY//rrfC//glcG//ydhW//murF//aceF//cyoD//hemA//aceB//aroP//qseC//garL//ulaE//dps//hybB//hycE//gltD//mhpF//dppB//
Fis_H-NS_Lrp_StpA	puuD//puuP//
Fis_IHF	mhpE//
Fis_IHF_NtrC	sulA//cydB//
Fis_IHF_OmpR_RcsB	chbG//
Fis_Lrp	oppB//lsrG//rsmH//gutQ//gntU//rhaR//paaB//cysH//mazG//
Fis_MazE_MazE-MazF	hemL//
Fis_NarL	araB//
Fis_NarL_NarP_NsrR	xylR//rplT//
Fis_PurR	glpC//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	zraR//astE//paaA//
FliZ_RutR	gntK//
Fur_H-NS	acrD//glpC//purR//marB//malP//entF//mntP//lacA//hypC//hyfR//aceA//uxuA//astB//
Fur_IHF_IscR_NsrR_OxyR	yciF//napD//narI//ybdZ//rplW//yoeB//
Fur_IscR_NrdR	micF//ppiA//rcnA//fabB//
Fur_MetR	sufD//
Fur_MntR	sufD//
Fur_MntR_OxyR	nrdF//
Fur_OxyR	hipA//
Fur_PurR	entC//nikA//
Fur_RcnR	mntP//ilvM//
Fur_RutR	gdhA//
Fur_SoxS_Zur	lgoR//
Fur_YqjI	lpxA//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	fumC//csgG//
GadE-RcsB_H-NS	rrfC//
GadE-RcsB_PhoB	caiA//
GadE-RcsB_Rob	gspJ//
GadE_GadX_H-NS_PhoP_RcsB	rimP//
GadE_H-NS_Lrp_NsrR	hyaE//
GadE_H-NS_MatA	lsrA//
GadE_H-NS_RcsAB	psiE//
GadE_MarA_PurR	paaF//
GadW_GadX_RcsB	ybiT//
GalR_GalS	gspC//
GlrR_IHF	hisP//
H-NS_IHF	ompF//iraM//sufE//
H-NS_IHF_Lrp	ileV//mraY//fixA//cyoC//sucD//aspC//srlR//
H-NS_LeuO	rhaR//rutD//
H-NS_LeuO_RcsB-BglJ_StpA	yjbF//
H-NS_LrhA_Lrp	fucK//
H-NS_Lrp	glcF//betB//
H-NS_Lrp_NhaR_RcsB	napA//
H-NS_Lrp_StpA	rrlC//
H-NS_McbR	lgoR//lrp//nanA//
H-NS_NhaR	glpC//nmpC//
H-NS_OmpR	ccmD//
H-NS_PhoB_RcdA_RstA	acrZ//
HU_IHF_TrpR_TyrR	hydN//
HU_IHF_TyrR	yjbG//
HigA_HigB-HigA	ydhT//manZ//
HipAB_HipB_IHF	hemA//araA//
HypT_MetJ	nirD//tcyJ//rcnA//
HypT_MetJ_PhoP	srlD//argD//
IHF_Lrp	lgoR//araJ//gapA//xylA//hha//rnpB//ulaE//gadB//
IHF_NsrR	appA//
IHF_NtrC	rhaR//narK//
IHF_PhoP	appY//
IHF_PspF	melB//tauC//malF//rplT//ulaD//hipB//
IHF_RcsAB	nrfC//fliF//tauB//tnaB//
IHF_RtcR	mtr//rbsC//
IHF_TyrR	malS//
IHF_UlaR	eda//
LexA_MraZ_PdhR	gadA//csgE//araE//csgB//hycF//guaA//dcuR//gspD//gltW//dcuS//tcyJ//
LexA_MraZ_PdhR_RcsB_SdiA	asnC//rob//
LexA_MraZ_PdhR_SdiA	yjbE//
LexA_NagC	ccmB//
LexA_RcdA	ftsA//
LexA_RcsB-BglJ	exuT//
MarA_OxyR_Rob_SoxS	yeiL//glpQ//asnC//yciG//
MarA_PhoP_Rob_SoxS	yiaM//hybB//lgoR//nuoI//
MarA_Rob_SoxS	rseB//hdeA//sucC//ygiB//mglC//
MarA_SoxS	galK//torD//hypB//molR_1//nuoL//
MetJ_MetR	rnpB//ompW//
MetJ_OxyR	caiD//gspI//
MetR_PurR	spy//
MraZ_PdhR	nirB//nrdE//
Nac_PurR	fliE//chbG//
NarL_TorR	hdeA//betB//metQ//
NemR_RutR	tauA//uvrA//tdcF//
NhaR_OmpR	mdtD//ydhW//paaD//uspA//
NorR_NsrR	paaF//
NsrR_PhoB	cusR//
OxyR_SoxS	ilvG_1//
PdhR_PhoP	gadY//
PgrR_TyrR	gabT//
PhoB_PhoP	fpr//
PhoP_PurR_RbsR	malF//poxB//
RelB_RelB-RelE	tdcB//metL//yqjI//
TrpR_TyrR	ptsH//ulaF//hisJ//
YefM_YefM-YoeB	mraZ//fecD//
