#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	rseA//paaF//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	ptsG//hycH//garL//garR//
BasR_CpxR_PdhR	gcvT//cyoC//
BasR_Fis	mdtD//
BasR_H-NS_IHF_NagC_NanR	fadB//
BasR_MarA_PutA	hmp//
BasR_PhoP	rplP//
BasR_QseB	citX//fadL//
CRP_CaiF_FNR	dppB//glcF//citF//glcA//
CRP_ChbR_NagC	glnK//lyxK//gltB//ugpQ//gcvH//gntT//
CRP_ComR	nanM//
CRP_CpxR	nikB//
CRP_CpxR_CytR	cusF//
CRP_CpxR_CytR_DnaA_IHF	sucB//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	fimB//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	dnaA//lysP//hemL//pdeL//
CRP_Cra	rrlG//uspA//casC//mhpD//poxB//yqjH//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	mraZ//yiaK//gutQ//fes//
CRP_Cra_FNR_PdhR	rrfG//
CRP_Cra_Fis	gadE//
CRP_Cra_Fis_GlcC	cdd//
CRP_Cra_Fis_MtlR	cusB//glgP//dppB//
CRP_Cra_Mlc_NagC	glgP//ccmA//ydeM//tnaA//rpsS//ftsZ//
CRP_Cra_PrpR	csgG//deoA//agaW//glpA//
CRP_CreB_Fis_MalT	prpE//nfo//yefM//
CRP_CsiR_H-NS_Lrp	fdhF//purD//
CRP_CsiR_H-NS_Lrp_Nac	rrfA//nrdD//norV//
CRP_CspA_Fis	nrdB//
CRP_CytR	mglC//ybjC//murC//
CRP_CytR_DeoR	ssuC//puuR//
CRP_CytR_DeoR_Fis_ModE	idnD//fes//tomB//leuO//
CRP_CytR_Nac	carA//
CRP_CytR_NsrR	narX//
CRP_DcuR_FNR_NarL	putP//
CRP_DinJ-YafQ	hyfD//
CRP_DnaA_Fis_PurR	gcvT//gnd//
CRP_DpiA_ExuR	sgbU//
CRP_DsdC	idnT//rrsD//
CRP_EbgR	bglF//zinT//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	lsrC//mhpA//
CRP_ExuR	fucR//
CRP_ExuR_FNR	fecE//nemR//
CRP_ExuR_OxyR_UxuR	hycB//deoC//
CRP_ExuR_UxuR	tdcB//
CRP_FNR	mhpA//
CRP_FNR_FhlA_HyfR	osmC//ygiB//fepE//sgrS//nagA//fucK//hisP//amtB//yhcH//cbl//pheM//rcsA//
CRP_FNR_Fis	hycA//truB//rutC//
CRP_FNR_Fis_GlpR_IHF	recF//fimA//
CRP_FNR_Fis_H-NS_SlyA	galS//
CRP_FNR_GcvA_Lrp_PurR	tnaA//purN//codA//
CRP_FNR_H-NS_NarL	hypD//
CRP_FNR_IHF_TdcA_TdcR	ydeM//citF//hcp//hyfJ//nirC//acrD//lamB//
CRP_FNR_NarL	glpC//katE//putA//
CRP_FeaR_NsrR	fimD//
CRP_Fis	ulaE//icd//csiD//cyoD//ftsZ//
CRP_Fis_FlhDC_GalR_GalS	yoaG//fecB//
CRP_Fis_FliZ_IHF_Lrp	mglC//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	appC//paaD//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	moeA//lpd//fliE//
CRP_Fis_IHF	sucD//casD//gutM//aroG//nrdE//
CRP_Fis_NanR	lsrK//yiaM//glpT//galM//cusB//
CRP_Fis_NtrC	fliA//recF//ccmC//
CRP_Fis_XylR	cysJ//tomB//setA//
CRP_FlhDC_GalR_GalS	uspA//
CRP_FucR	rrsA//yjbE//fumA//feaR//glnK//evgS//fliK//
CRP_Fur	ydeP//prpR//manY//fadB//yeaR//cyoA//patA//gspF//astB//
CRP_Fur_HypT_PdhR	tolC//fliI//ydhW//dppD//atoE//
CRP_Fur_OxyR_SoxS	hypA//
CRP_GalR_GalS	lacZ//
CRP_GalR_GalS_H-NS_HU	hha//yoeB//fucU//rrfH//
CRP_GalR_GalS_NagC	rtcB//
CRP_GlpR	ascB//paaG//iraM//
CRP_GntR	fimC//hyfG//
CRP_GntR_IdnR	hipA//melA//chbC//ydeM//cydB//hyaE//ileU//
CRP_GntR_IscR	hipA//
CRP_GutM_GutR_H-NS	nuoK//nhaR//rpsO//melA//zraS//mhpF//paaC//
CRP_H-NS	exuR//
CRP_H-NS_HipAB_HipB_NtrC	hycE//
CRP_H-NS_LacI	trg//torA//nuoM//
CRP_H-NS_LeuO	cadB//fliC//malY//fadH//putP//nrfD//metI//
CRP_H-NS_MqsA	gadE//
CRP_IHF	setA//ssrS//sucD//nuoE//
CRP_IHF_MprA_OmpR	hns//
CRP_IHF_NsrR	rpoS//
CRP_IHF_PaaX	focB//thrV//fliH//puuP//dadA//ebgC//ihfA//nrdE//lamB//bglF//hypD//rpoH//
CRP_IHF_UlaR	yjcH//hycH//fdnI//xylF//dinI//pstB//
CRP_IHF_YiaJ	tauD//oppB//ilvG_2//hyaD//astC//glpD//garL//lpd//moaD//rpsJ//
CRP_LexA	cysJ//
CRP_Lrp	purD//crr//lacZ//melA//
CRP_Lrp_Mlc	ydeO//
CRP_Lrp_Nac	dpiB//
CRP_LsrR	feoA//cyoD//fliI//cspE//acrZ//tnaB//tauC//mazF//ccmE//
CRP_MalI	rrfF//mazE//ycdZ//
CRP_MalT	galS//tdcB//flgN//
CRP_MalT_PhoP	fimC//
CRP_MelR	nuoJ//cusR//higB//
CRP_MetJ	glcA//
CRP_MhpR	chiP//osmC//rrfD//focB//rbsR//csiD//
CRP_Mlc	nuoH//cysU//
CRP_ModE	glgA//aroM//deoB//
CRP_MurR	hycA//uidB//
CRP_Nac_NsrR_PhoB	mglB//
CRP_NadR	nrdH//
CRP_NagC	rimP//malF//csiE//dcuR//srlR//pheM//
CRP_NagC_NanR	gspI//casA//csiD//
CRP_NagC_PhoP	ahpF//
CRP_OxyR	ansB//
CRP_OxyR_UxuR	dpiB//
CRP_PhoB	marB//ftsZ//ubiA//rbsR//fnr//pspB//
CRP_PhoP	ilvI//cysI//hyaA//
CRP_PutA	spy//
CRP_RbsR	sgrT//cyoA//tdcE//accC//acs//sgbH//
CRP_RhaR_RhaS	caiT//tolC//
CRP_RhaS	tyrR//ogt//rplT//
CRP_Rob	gabP//
CRP_TorR	caiF//entB//prfA//
CRP_UhpA_UvrY	csgE//
CRP_UidR_UxuR	modB//atoB//rrlD//
CRP_UvrY	ugpC//
CRP_YehT	fadI//
CRP_ZraR	fadJ//moaB//
CadC_FNR_H-NS_LeuO_MlrA	rpmC//
Cbl_CysB	nrfF//rsmH//evgS//mntP//
Cbl_CysB_FNR_IHF	fecA//idnT//ulaF//acrZ//fau//
CdaR_FNR_Fis_Fur_H-NS	glmY//
CdaR_FNR_Fur_H-NS	cusA//tdcA//fucP//ascF//
CpxR_CsgD_FliZ	gadE//stpA//pck//
CpxR_CysB	treB//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	paaH//
CpxR_GadE	sgbE//oxyR//fliJ//acnB//
CpxR_H-NS	hupB//
CpxR_NsrR	ccmF//
CpxR_RcsB	csgG//
CpxR_TyrR	dcuC//
Cra_FNR_Fis_Lrp_NarL	hypB//
Cra_FNR_Fur_MarA_Rob_SoxS	entA//
Cra_FhlA_FlhDC	nikE//
Cra_GntR_KdgR	nmpC//
Cra_GntR_KdgR_PhoB	rbsC//
Cra_MarA_SoxS	casD//
Cra_PdeL	cysA//
Cra_SgrR	setA//hyfA//malE//
Cra_TyrR	fiu//
CreB_NagC	pncB//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	hisJ//
CsgD_FlhDC	phoQ//cysH//mraY//cydC//ilvH//paaF//hyaE//paaK//lpxD//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	gadB//fdnI//
CspA_Fis_GadX_H-NS	mhpA//
CueR_FNR_ModE	ptsI//ascF//nuoM//glpB//glpC//
CusR_PhoB_YedW	hyfH//mazG//rrfG//dsdX//nrdA//glcF//udp//
CysB_H-NS	ulaC//moaE//rplV//amtB//nupC//
CysB_HypT_IHF	moaC//
CysB_IHF	cyoE//atoA//
CysB_NtrC	frdB//
CysB_PhoP	ilvI//
DcuR_FNR_NarL	glpK//infB//baeS//gatY//
DinJ-YafQ_LexA	ahpF//deoC//
DpiA_H-NS	napH//
DsdC_NsrR	cydA//
EvgA_FNR	nrdF//rhaR//
EvgA_H-NS	puuR//tdcD//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	ygiA//
EvgA_H-NS_PhoP_RcsB_YdeO	frdC//
EvgA_PhoP_RcsB_YdeO	fpr//
ExuR_UxuR	rpsI//murC//
FNR_FhlA_IHF_NsrR	zwf//chbR//umpH//fau//fixC//
FNR_FhlA_NarL_NarP	yiaN//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	feaB//fabB//ugpC//ssuE//moaC//molR_1//feoA//
FNR_Fis_IHF_ModE_NarL	rplT//rpoS//lacZ//
FNR_Fis_IHF_NarL	fur//
FNR_Fis_IHF_NarL_RstA	ebgA//fucO//pspD//rbsR//
FNR_FlhDC	nrdH//
FNR_FlhDC_IscR_ModE_NarL_NarP	torD//appY//narG//metN//hypA//hypA//hyaC//
FNR_FlhDC_ModE_NarL_NarP	ebgA//ileU//moaC//yiaL//gyrA//truB//gcd//rrlG//
FNR_Fur	rutB//ileU//
FNR_Fur_GadE	yecR//
FNR_Fur_GadX_NtrC	glpD//dcuS//
FNR_Fur_H-NS	malK//ulaF//sucA//csgC//
FNR_Fur_MetR_NsrR	pspA//
FNR_Fur_Nac_NtrC	rrsC//
FNR_Fur_NagC	rcnB//gatC//mazF//
FNR_Fur_OxyR	lacA//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	fimD//
FNR_H-NS	nrdE//alaU//
FNR_H-NS_NrdR	cysG//hisJ//
FNR_IHF	aidB//glnQ//mdtE//hyfE//yrbL//
FNR_IHF_Lrp_YeiL	dsdA//
FNR_IHF_NarL_NarP_NorR	fecC//nikB//
FNR_IHF_PhoB	yrbL//feoA//glcD//rrlC//ugpB//
FNR_MalT	rrsE//hybO//
FNR_ModE	fimI//hyfF//
FNR_NarL	napD//argD//cyoA//lldP//yqjH//uhpT//
FNR_NarL_NarP	fucA//sgbU//nrdH//uidA//hcr//idnK//hybF//hybG//aroP//
FNR_NarL_NarP_NsrR	ygiB//
FNR_NarL_NarP_NsrR_OxyR	idnR//mdtE//
FNR_NarL_NikR	nikR//dctA//lysA//xylF//nanK//malG//
FNR_NsrR	tnaC//recF//mdtC//
FNR_OxyR	katE//
FNR_PurR	lsrC//fixC//
FNR_YqjI	icd//
FabR_FadR	chbG//dppF//
FadR_IHF	phoQ//
FadR_IclR	atoE//
FhlA_FlhDC	marB//
FhlA_IHF_ModE_NsrR	fecE//nikC//fadH//hlyE//casA//fecD//sgrT//ydhX//ydeP//
FhlA_IHF_NsrR	qseB//
Fis_Fur	lsrR//
Fis_H-NS	fliK//
Fis_H-NS_IHF_MntR_OxyR	hipA//
Fis_H-NS_Lrp	moeB//gcvP//melR//rrfD//ugpC//malG//soxR//mazF//guaA//fiu//csgB//exuT//fucI//metQ//hpt//iclR//ftnA//mraY//pqiB//uof//garL//leuO//lldD//fucI//
Fis_H-NS_Lrp_StpA	nikE//gltB//
Fis_IHF	nhaR//
Fis_IHF_NtrC	gadE//tolC//
Fis_IHF_OmpR_RcsB	nanS//
Fis_Lrp	higA//nuoA//lsrD//cspI//envZ//icd//mraY//rrlC//yiaL//
Fis_MazE_MazE-MazF	aer//
Fis_NarL	araD//
Fis_NarL_NarP_NsrR	mpl//mpl//
Fis_PurR	tdcB//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	atoB//umpH//galT//
FliZ_RutR	dmsA//
Fur_H-NS	guaB//agaV//gltF//dppF//paaE//yeiL//fimH//oppC//nikR//ybdZ//hupB//gltD//evgA//
Fur_IHF_IscR_NsrR_OxyR	citG//bglG//cysW//ubiA//dmsC//gadX//
Fur_IscR_NrdR	caiD//ilvI//ynfE//yhjA//
Fur_MetR	gltD//
Fur_MntR	yjbG//
Fur_MntR_OxyR	rbsA//
Fur_OxyR	mazE//
Fur_PurR	glnP//purA//
Fur_RcnR	betB//fixC//
Fur_RutR	murQ//
Fur_SoxS_Zur	torA//
Fur_YqjI	ilvH//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	murC//degP//
GadE-RcsB_H-NS	glnK//
GadE-RcsB_PhoB	tyrR//
GadE-RcsB_Rob	umpH//
GadE_GadX_H-NS_PhoP_RcsB	dadA//
GadE_H-NS_Lrp_NsrR	fur//
GadE_H-NS_MatA	icd//
GadE_H-NS_RcsAB	frdC//
GadE_MarA_PurR	ybdN//
GadW_GadX_RcsB	casD//
GalR_GalS	nanT//
GlrR_IHF	gdhA//
H-NS_IHF	betB//galK//yefM//
H-NS_IHF_Lrp	metH//rutB//metL//relB//fliI//dnaA//napH//
H-NS_LeuO	gcvH//nemA//
H-NS_LeuO_RcsB-BglJ_StpA	entF//
H-NS_LrhA_Lrp	rseC//
H-NS_Lrp	glcB//araD//
H-NS_Lrp_NhaR_RcsB	nikE//
H-NS_Lrp_StpA	rbsD//
H-NS_McbR	tdcC//prpE//nrfD//
H-NS_NhaR	exuT//cirA//
H-NS_OmpR	pgaD//
H-NS_PhoB_RcdA_RstA	fabB//
HU_IHF_TrpR_TyrR	nuoL//
HU_IHF_TyrR	sgrS//
HigA_HigB-HigA	betB//pflB//
HipAB_HipB_IHF	ccmG//yafQ//
HypT_MetJ	csrC//manZ//araH//
HypT_MetJ_PhoP	nrfC//kbaZ//
IHF_Lrp	nrfD//codB//ynfH//fadI//nfo//rbsC//nhaR//ynfG//
IHF_NsrR	yqjH//
IHF_NtrC	galP//thrV//
IHF_PhoP	ynfK//
IHF_PspF	rrfG//rseB//ulaD//gdhA//hyfE//fimC//
IHF_RcsAB	fixX//pgk//ygiA//glgC//
IHF_RtcR	cusB//relE//
IHF_TyrR	gdhA//
IHF_UlaR	glcB//
LexA_MraZ_PdhR	malI//yjbG//chbB//zwf//yciF//rob//csgC//appY//nanT//paaE//modA//
LexA_MraZ_PdhR_RcsB_SdiA	ftsW//glgA//
LexA_MraZ_PdhR_SdiA	prpD//
LexA_NagC	chbF//
LexA_RcdA	citD//
LexA_RcsB-BglJ	pdeR//
MarA_OxyR_Rob_SoxS	ppiA//relE//uxaB//puuC//
MarA_PhoP_Rob_SoxS	fis//malF//xylA//hypB//
MarA_Rob_SoxS	flhC//yedX//fumA//nuoC//pncB//
MarA_SoxS	tdcG//tdcB//ptsI//chiP//fecE//
MetJ_MetR	moaE//ugpB//
MetJ_OxyR	ccmD//mhpE//
MetR_PurR	fadI//
MraZ_PdhR	relB//ebgA//
Nac_PurR	mdtD//yhjA//
NarL_TorR	nanC//treB//lsrG//
NemR_RutR	fumA//hybE//rrlA//
NhaR_OmpR	prpC//idnO//katE//rhaD//
NorR_NsrR	frdB//
NsrR_PhoB	trg//
OxyR_SoxS	yiaJ//
PdhR_PhoP	rpsS//
PgrR_TyrR	gntU//
PhoB_PhoP	rbsK//
PhoP_PurR_RbsR	aroP//citG//
RelB_RelB-RelE	tnaA//fabZ//paaD//
TrpR_TyrR	rplW//malG//inaA//
YefM_YefM-YoeB	norV//proP//
