#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	yqjH//hyaB//
ArcA_FNR_IHF	gltV//ybfN//tdcE//
ArcA_FNR_IHF_NarL	ydhY//glnK//
ArcA_FNR_NarL	fixA//pspC//napD//sodB//
ArcA_FNR_PhoP	yhcH//
ArcA_FNR_PuuR	malM//tam//
ArcA_FadR	hybB//cspD//rob//
ArcA_FadR_Fis	tsx//puuP//
ArcA_Fur_Lrp_ModE	ytfE//cirA//malX//oppD//cydB//
ArcA_GlcC_IHF_PdhR	focA//guaB//glnG//cyoB//rplV//chbC//
ArcA_LexA	ssuC//paaC//
ArcA_LldR	atoD//chbR//nanK//
ArcA_NarL	ftsA//ugpC//ilvX//bolA//cyaR//aldA//napG//moeA//
ArcA_NtrC_PhoP_RutR	rhaB//cadC//aceA//bamE//fes//rutF//fadE//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	sucA//glpT//deoD//
ArgP_CRP_FNR_Fur_Nac	gspE//
ArgP_DnaA	rsmH//uhpT//rrsG//
ArgP_Lrp	uidC//soxR//
ArgP_LysR	pck//
ArgP_PhoB	adiA//
ArgR_CRP	hyfR//
ArgR_CRP_Fis	mdtA//ybfN//betB//yhiD//glpQ//nfsA//gabT//prpR//
ArgR_Fis_IHF_PepA_PurR_RutR	nrdG//dctA//
ArgR_H-NS_NtrC	hycF//relE//araJ//entE//
ArgR_NtrC	higB//acrB//tnaB//acrD//molR_1//
ArgR_PhoP	araG//
AscG_CRP	gabT//hyfG//fabA//
AscG_CRP_PhoB_PrpR	gadF//
AsnC_MraZ_Nac	hdeA//
AsnC_Nac	citD//ptsI//
AtoC_IHF	accB//patA//nrfA//ydeN//
BaeR_CpxR	atoA//nikC//rrlB//aroL//ulaF//yjbG//hybF//
BaeR_CpxR_EvgA	ftnA//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	sgbH//gatB//galT//norW//
BasR_CpxR_PdhR	ogt//nrfE//
BasR_Fis	lsrB//
BasR_H-NS_IHF_NagC_NanR	alaV//
BasR_MarA_PutA	xylH//
BasR_PhoP	moaA//
BasR_QseB	rrfB//pdeR//
CRP_CaiF_FNR	sroD//fepA//nanA//araD//
CRP_ChbR_NagC	ybfN//appA//gadX//flgN//trg//fliH//
CRP_ComR	emrY//
CRP_CpxR	sucC//
CRP_CpxR_CytR	hybA//
CRP_CpxR_CytR_DnaA_IHF	pqiB//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	purA//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	nrdI//ndh//ulaA//gltW//
CRP_Cra	zinT//csgB//galT//sdhC//yrbL//treB//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	atoA//proV//mazE//nrfD//
CRP_Cra_FNR_PdhR	ftsQ//
CRP_Cra_Fis	glcA//
CRP_Cra_Fis_GlcC	ilvM//
CRP_Cra_Fis_MtlR	nrdH//nrdH//aroA//
CRP_Cra_Mlc_NagC	tdcA//rtcA//mtlD//hyfE//acrD//ompW//
CRP_Cra_PrpR	puuC//csrC//iraM//lsrD//
CRP_CreB_Fis_MalT	nupC//dinJ//ilvH//
CRP_CsiR_H-NS_Lrp	nuoK//csiD//
CRP_CsiR_H-NS_Lrp_Nac	gadE//fdhF//nrfF//
CRP_CspA_Fis	napB//
CRP_CytR	fepE//cydC//nrfE//
CRP_CytR_DeoR	aceE//codB//
CRP_CytR_DeoR_Fis_ModE	hemL//malY//sdhB//ybdN//
CRP_CytR_Nac	sucD//
CRP_CytR_NsrR	relB//
CRP_DcuR_FNR_NarL	casD//
CRP_DinJ-YafQ	paaZ//
CRP_DnaA_Fis_PurR	narI//pck//
CRP_DpiA_ExuR	melR//
CRP_DsdC	icd//ndh//
CRP_EbgR	argO//fimH//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	fimC//gspH//
CRP_ExuR	purA//
CRP_ExuR_FNR	hycI//metL//
CRP_ExuR_OxyR_UxuR	yiaL//nuoN//
CRP_ExuR_UxuR	yjbH//
CRP_FNR	sgbU//
CRP_FNR_FhlA_HyfR	sufE//pyrD//fbaA//lsrR//oppB//actP//relA//ubiA//fiu//katE//puuE//ydhW//
CRP_FNR_Fis	pyrD//ydhY//acnB//
CRP_FNR_Fis_GlpR_IHF	rseA//rpsS//
CRP_FNR_Fis_H-NS_SlyA	dppA//
CRP_FNR_GcvA_Lrp_PurR	aidB//lhgO//modA//
CRP_FNR_H-NS_NarL	fliI//
CRP_FNR_IHF_TdcA_TdcR	safA//tauA//prpD//melB//pgk//treC//rrfD//
CRP_FNR_NarL	fucO//fecC//gltD//
CRP_FeaR_NsrR	betI//
CRP_Fis	purM//puuB//casD//casE//lsrF//
CRP_Fis_FlhDC_GalR_GalS	crr//ydeN//
CRP_Fis_FliZ_IHF_Lrp	hdeD//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	evgA//fur//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	rpsS//csgC//casB//
CRP_Fis_IHF	hyaB//feoB//nhaR//nrfC//feoA//
CRP_Fis_NanR	fimA//safA//gltV//aceE//ftsZ//
CRP_Fis_NtrC	gltW//nanC//gntP//
CRP_Fis_XylR	garR//hipA//fecD//
CRP_FlhDC_GalR_GalS	ubiA//
CRP_FucR	rplM//cyoE//ulaG//hycE//murQ//csgA//nac//
CRP_Fur	hybE//ilvG_2//ebgA//citE//ilvA//gabD//adiA//sufD//ackA//
CRP_Fur_HypT_PdhR	appC//gspJ//mdtE//nirB//pflB//
CRP_Fur_OxyR_SoxS	ycdZ//
CRP_GalR_GalS	pgaD//
CRP_GalR_GalS_H-NS_HU	pqiB//waaZ//gspE//glnP//
CRP_GalR_GalS_NagC	aceA//
CRP_GlpR	tdcA//aroA//hyfG//
CRP_GntR	aroP//lldP//
CRP_GntR_IdnR	fixB//rrlD//bolA//acrF//aroG//trg//sdhB//
CRP_GntR_IscR	rrfC//
CRP_GutM_GutR_H-NS	nrdH//rrlC//nuoB//gspK//deoA//cysH//nanS//
CRP_H-NS	marA//
CRP_H-NS_HipAB_HipB_NtrC	betA//
CRP_H-NS_LacI	ftnA//pncB//gspI//
CRP_H-NS_LeuO	asnC//waaH//gspD//pdhR//bglB//hemA//yiaM//
CRP_H-NS_MqsA	fixC//
CRP_IHF	mglB//galR//marB//fliC//
CRP_IHF_MprA_OmpR	ygbA//
CRP_IHF_NsrR	tyrP//
CRP_IHF_PaaX	moaE//fliC//murD//yhjA//mdtC//gntT//idnK//sufE//folA//rutA//pspB//modC//
CRP_IHF_UlaR	puuA//malQ//csgB//fliC//yhiD//nrdD//
CRP_IHF_YiaJ	hipA//ccmF//acrD//nirD//adhE//glnP//tdcE//gspG//dcuA//cyoC//
CRP_LexA	qseB//
CRP_Lrp	cspA//pdhR//osmE//casA//
CRP_Lrp_Mlc	lsrC//
CRP_Lrp_Nac	nrfG//
CRP_LsrR	pgk//gspM//degP//lsrK//ydhW//ybfN//prfA//gdhA//ahpC//
CRP_MalI	paaD//rbsD//araC//
CRP_MalT	rbsR//galP//fliI//
CRP_MalT_PhoP	gspD//
CRP_MelR	csiE//entB//glgA//
CRP_MetJ	qseB//
CRP_MhpR	rimP//glpB//glyA//rtcB//deoD//rtcA//
CRP_Mlc	fixX//ssuA//
CRP_ModE	gnd//araC//acnB//
CRP_MurR	fbaA//hyfG//
CRP_Nac_NsrR_PhoB	fadE//
CRP_NadR	acrD//
CRP_NagC	malM//frdC//acrA//waaY//evgS//yfaE//
CRP_NagC_NanR	hdeA//fur//dppF//
CRP_NagC_PhoP	hybG//
CRP_OxyR	ccmH//
CRP_OxyR_UxuR	lsrK//
CRP_PhoB	sucB//puuE//mglA//cyoB//hycC//moeA//
CRP_PhoP	fimD//entE//glcE//
CRP_PutA	nuoF//
CRP_RbsR	degP//nuoF//cyoC//aslB//mtlR//aspA//
CRP_RhaR_RhaS	ybiT//cdd//
CRP_RhaS	araG//ybjC//nupC//
CRP_Rob	ccmH//
CRP_TorR	ytfE//sdhA//metY//
CRP_UhpA_UvrY	soxR//
CRP_UidR_UxuR	paaA//nupG//proX//
CRP_UvrY	nfo//
CRP_YehT	rrsG//
CRP_ZraR	rplP//hyfJ//
CadC_FNR_H-NS_LeuO_MlrA	hyaA//
Cbl_CysB	araF//acrF//araE//alaU//
Cbl_CysB_FNR_IHF	dppA//ybjN//glcB//nuoF//hupA//
CdaR_FNR_Fis_Fur_H-NS	nanE//
CdaR_FNR_Fur_H-NS	mdtF//prpE//rtcB//fucP//
CpxR_CsgD_FliZ	oxyR//glnK//glpX//
CpxR_CysB	deoC//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	hisJ//
CpxR_GadE	rtcB//exuR//alaT//srlR//
CpxR_H-NS	frdB//
CpxR_NsrR	serA//
CpxR_RcsB	ascF//
CpxR_TyrR	yiaK//
Cra_FNR_Fis_Lrp_NarL	csgG//
Cra_FNR_Fur_MarA_Rob_SoxS	rimK//
Cra_FhlA_FlhDC	murD//
Cra_GntR_KdgR	metH//
Cra_GntR_KdgR_PhoB	rpsJ//
Cra_MarA_SoxS	paaC//
Cra_PdeL	modA//
Cra_SgrR	astA//narL//citD//
Cra_TyrR	hipB//
CreB_NagC	ydhT//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	gcvT//
CsgD_FlhDC	flgN//cysJ//uidC//mdtF//xylF//yecR//casB//nanS//rplC//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	caiT//gltV//
CspA_Fis_GadX_H-NS	stpA//
CueR_FNR_ModE	caiC//gcvT//hypD//nrfF//pspG//
CusR_PhoB_YedW	hybA//uhpT//napH//deoC//ompR//fabB//ynfE//
CysB_H-NS	ccmD//astE//aslB//lsrR//epd//
CysB_HypT_IHF	ybjC//
CysB_IHF	fucI//cdd//
CysB_NtrC	ulaE//
CysB_PhoP	epd//
DcuR_FNR_NarL	appA//deoB//idnO//nagC//
DinJ-YafQ_LexA	dppF//fliI//
DpiA_H-NS	glcA//
DsdC_NsrR	lldD//
EvgA_FNR	fepB//actP//
EvgA_H-NS	actP//fliJ//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	fliE//
EvgA_H-NS_PhoP_RcsB_YdeO	cytR//
EvgA_PhoP_RcsB_YdeO	pheM//
ExuR_UxuR	cydB//torC//
FNR_FhlA_IHF_NsrR	yjbG//nuoN//rbsR//fimC//uxaC//
FNR_FhlA_NarL_NarP	zwf//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	mglC//sulA//ycdZ//relA//tnaB//rplP//glgC//
FNR_Fis_IHF_ModE_NarL	gcvT//bglG//uof//
FNR_Fis_IHF_NarL	glgP//
FNR_Fis_IHF_NarL_RstA	entH//csiE//araD//hyaE//
FNR_FlhDC	ilvM//
FNR_FlhDC_IscR_ModE_NarL_NarP	fecE//proV//ppiA//entE//adiC//murP//glcB//
FNR_FlhDC_ModE_NarL_NarP	ugpB//yiaK//mntH//glpB//yjbF//gatD//rplD//eda//
FNR_Fur	yjcH//puuB//
FNR_Fur_GadE	rhaA//
FNR_Fur_GadX_NtrC	astB//fecE//
FNR_Fur_H-NS	astD//waaY//ompC//fliZ//
FNR_Fur_MetR_NsrR	yjbF//
FNR_Fur_Nac_NtrC	thrV//
FNR_Fur_NagC	fliE//rutG//fur//
FNR_Fur_OxyR	cusC//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	nemR//
FNR_H-NS	pspA//ogt//
FNR_H-NS_NrdR	hybB//rutA//
FNR_IHF	mtlD//entF//citD//prpB//fimF//
FNR_IHF_Lrp_YeiL	hipB//
FNR_IHF_NarL_NarP_NorR	ycdZ//dgcZ//
FNR_IHF_PhoB	thrV//ygbA//frdA//hypE//fpr//
FNR_MalT	srlA//nrdA//
FNR_ModE	proX//nanA//
FNR_NarL	spy//torC//poxB//melA//oxyR//ahpC//
FNR_NarL_NarP	araD//nuoF//ilvL//cyaR//rutG//fdhF//glpC//norW//bglF//
FNR_NarL_NarP_NsrR	nanM//
FNR_NarL_NarP_NsrR_OxyR	lsrK//soxS//
FNR_NarL_NikR	hycH//lldD//dcuS//feoB//lsrR//rutB//
FNR_NsrR	dppB//prpR//galT//
FNR_OxyR	ilvG_2//
FNR_PurR	gltB//asnC//
FNR_YqjI	ptsI//
FabR_FadR	rrlH//bglG//
FadR_IHF	gspD//
FadR_IclR	micF//
FhlA_FlhDC	gltA//
FhlA_IHF_ModE_NsrR	hyaB//fixC//eda//nrdG//citX//qseB//nikE//tsx//nanM//
FhlA_IHF_NsrR	rpoS//
Fis_Fur	xylB//
Fis_H-NS	rob//
Fis_H-NS_IHF_MntR_OxyR	casC//
Fis_H-NS_Lrp	pqiA//gatD//rbfA//rutG//fliJ//srlB//lysP//nuoA//ccmF//yjbH//leuO//tpx//leuO//fhlA//agaA//uvrA//yefM//rutF//aroP//dpiA//hlyE//pdhR//hyfB//appC//
Fis_H-NS_Lrp_StpA	gspD//gnd//
Fis_IHF	alaT//
Fis_IHF_NtrC	gadE//nagE//
Fis_IHF_OmpR_RcsB	rpsI//
Fis_Lrp	adhE//napA//flhC//focA//inaA//fixB//narL//cyoB//ihfA//
Fis_MazE_MazE-MazF	fucA//
Fis_NarL	ackA//
Fis_NarL_NarP_NsrR	metB//frdC//
Fis_PurR	ilvX//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	nhaR//fadE//cysA//
FliZ_RutR	paaJ//
Fur_H-NS	nuoG//rplM//mdtD//gspE//bglF//rrlA//hyfH//mazG//hypD//cusS//sbmC//hyfJ//alaT//
Fur_IHF_IscR_NsrR_OxyR	lsrB//lhgO//gatD//chbC//dctR//sulA//
Fur_IscR_NrdR	ybdZ//dsdX//metH//chbC//
Fur_MetR	accB//
Fur_MntR	nuoN//
Fur_MntR_OxyR	hipA//
Fur_OxyR	fimD//
Fur_PurR	ccmD//argG//
Fur_RcnR	fliI//sgbU//
Fur_RutR	mntH//
Fur_SoxS_Zur	paaH//
Fur_YqjI	nanM//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	araA//rrfD//
GadE-RcsB_H-NS	paaE//
GadE-RcsB_PhoB	ptsG//
GadE-RcsB_Rob	deoB//
GadE_GadX_H-NS_PhoP_RcsB	gspH//
GadE_H-NS_Lrp_NsrR	araB//
GadE_H-NS_MatA	gatA//
GadE_H-NS_RcsAB	garR//
GadE_MarA_PurR	deoD//
GadW_GadX_RcsB	sucC//
GalR_GalS	hdeB//
GlrR_IHF	acrF//
H-NS_IHF	ulaE//metN//rrlC//
H-NS_IHF_Lrp	ileV//nfuA//dcuS//lacY//narH//mntH//moaB//
H-NS_LeuO	bglJ//ilvI//
H-NS_LeuO_RcsB-BglJ_StpA	garL//
H-NS_LrhA_Lrp	adiA//
H-NS_Lrp	fucA//appA//
H-NS_Lrp_NhaR_RcsB	acrF//
H-NS_Lrp_StpA	gltW//
H-NS_McbR	codB//paaZ//recF//
H-NS_NhaR	ilvG_2//fumC//
H-NS_OmpR	tauD//
H-NS_PhoB_RcdA_RstA	rhaD//
HU_IHF_TrpR_TyrR	metH//
HU_IHF_TyrR	ftsQ//
HigA_HigB-HigA	hybC//fimA//
HipAB_HipB_IHF	paaC//paaC//
HypT_MetJ	pncB//ftsQ//mtr//
HypT_MetJ_PhoP	paaA//cusS//
IHF_Lrp	lpxC//chbG//srlR//fadI//moeA//hmp//fimF//garP//
IHF_NsrR	fecB//
IHF_NtrC	pspG//dnaN//
IHF_PhoP	cysA//
IHF_PspF	hipB//rrfG//edd//rrfD//glnP//moaB//
IHF_RcsAB	hyaC//napH//tsx//tauC//
IHF_RtcR	pqiA//gadB//
IHF_TyrR	cusB//
IHF_UlaR	pstB//
LexA_MraZ_PdhR	lsrG//nuoB//cspA//nikE//yjbG//fucA//tnaC//yjbH//mglA//evgS//putP//
LexA_MraZ_PdhR_RcsB_SdiA	infB//aceB//
LexA_MraZ_PdhR_SdiA	glgC//
LexA_NagC	rhaD//
LexA_RcdA	fumB//
LexA_RcsB-BglJ	rutB//
MarA_OxyR_Rob_SoxS	metH//fucR//gspC//ccmE//
MarA_PhoP_Rob_SoxS	rrsC//ptsI//metB//sucB//
MarA_Rob_SoxS	xylG//xylH//fepE//putA//ydeP//
MarA_SoxS	betB//garP//ndh//rsmH//araC//
MetJ_MetR	malQ//melA//
MetJ_OxyR	yecR//dsdX//
MetR_PurR	hycC//
MraZ_PdhR	rrlA//fimG//
Nac_PurR	yjbE//rbsA//
NarL_TorR	entE//lsrR//mhpF//
NemR_RutR	rrlA//glmY//gcvT//
NhaR_OmpR	ugpC//nanT//fecA//xylR//
NorR_NsrR	proX//
NsrR_PhoB	astA//
OxyR_SoxS	pgk//
PdhR_PhoP	rpmC//
PgrR_TyrR	xylA//
PhoB_PhoP	rcsA//
PhoP_PurR_RbsR	dctR//dppD//
RelB_RelB-RelE	ansB//napG//fepB//
TrpR_TyrR	rrlH//aroP//ppiA//
YefM_YefM-YoeB	yjbG//hycE//
