#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	rhaS//serA//
CRP_CpxR_CytR	zwf//
CRP_CpxR_CytR_DnaA_IHF	lhgO//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	oppF//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	citE//focB//murD//citF//
CRP_Cra	yefM//yhiD//relE//nrdA//nrfA//nanS//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	nac//hemA//ynfH//yeiL//
CRP_Cra_FNR_PdhR	gspE//
CRP_Cra_Fis	ccmB//
CRP_Cra_Fis_GlcC	uhpT//
CRP_Cra_Fis_MtlR	fiu//feoA//bglF//
CRP_Cra_Mlc_NagC	deoD//gltW//paaA//sdhC//osmC//nuoF//
CRP_Cra_PrpR	ygiB//tauB//lsrF//frdB//
CRP_CreB_Fis_MalT	lldD//pqiB//rseC//
CRP_CsiR_H-NS_Lrp	nuoB//fecB//
CRP_CsiR_H-NS_Lrp_Nac	rrsH//pspE//codB//
CRP_CspA_Fis	ftsL//
CRP_CytR	nfsA//caiE//pqiB//
CRP_CytR_DeoR	fadD//truB//
CRP_CytR_DeoR_Fis_ModE	codA//garR//sucC//ybjC//
CRP_CytR_Nac	oppF//
CRP_CytR_NsrR	rrfD//
CRP_DcuR_FNR_NarL	pspA//
CRP_DinJ-YafQ	agaW//
CRP_DnaA_Fis_PurR	safA//rutD//
CRP_DpiA_ExuR	rcsA//
CRP_DsdC	prpR//fnr//
CRP_EbgR	glnD//lsrF//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	rplC//higA//
CRP_ExuR	cadA//
CRP_ExuR_FNR	glcF//rob//
CRP_ExuR_OxyR_UxuR	glcB//hycE//
CRP_ExuR_UxuR	fes//
CRP_FNR	hyfF//
CRP_FNR_FhlA_HyfR	gutQ//cysP//gadY//rrlE//glcB//mraZ//cdd//murD//hyfE//cusS//gabT//nanK//
CRP_FNR_Fis	proP//gntT//oppB//
CRP_FNR_Fis_GlpR_IHF	qseC//rplT//
CRP_FNR_Fis_H-NS_SlyA	nfsB//
CRP_FNR_GcvA_Lrp_PurR	tdcB//araF//ahpF//
CRP_FNR_H-NS_NarL	chbC//
CRP_FNR_IHF_TdcA_TdcR	fdnG//flgM//murE//fadL//crr//idnK//moaD//
CRP_FNR_NarL	hybF//rbsA//puuP//
CRP_FeaR_NsrR	cspA//
CRP_Fis	glnA//casE//rutG//idnT//modC//
CRP_Fis_FlhDC_GalR_GalS	rimK//nemA//
CRP_Fis_FliZ_IHF_Lrp	pck//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	nanM//mhpB//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	edd//fliF//gcvP//
CRP_Fis_IHF	moaD//hyfE//puuA//cusB//metQ//
CRP_Fis_NanR	nrfG//bglB//micF//torC//murC//
CRP_Fis_NtrC	hyfD//betT//fepA//
CRP_Fis_XylR	prpB//yeiL//ascB//
CRP_FlhDC_GalR_GalS	fepB//
CRP_FucR	bolA//araE//fumC//citE//yjbH//gspF//mhpB//
CRP_Fur	cspA//ogt//lldP//osmE//ydhU//rbsR//sgrS//tolC//astD//
CRP_Fur_HypT_PdhR	murD//napH//pgaC//ygiA//pdhR//
CRP_Fur_OxyR_SoxS	hycD//
CRP_GalR_GalS	entD//
CRP_GalR_GalS_H-NS_HU	galT//lpd//mioC//ahpC//
CRP_GalR_GalS_NagC	bglJ//
CRP_GlpR	manZ//fucU//yqjI//
CRP_GntR	nrdA//ftsA//
CRP_GntR_IdnR	rplV//stpA//fecD//rrlG//hcp//ptsG//glcB//
CRP_GntR_IscR	glpF//
CRP_GutM_GutR_H-NS	ugpQ//rbsD//frdB//galT//ccmA//gltT//dps//
CRP_H-NS	mazF//
CRP_H-NS_HipAB_HipB_NtrC	hyaD//
CRP_H-NS_LacI	betB//dgcZ//malS//
CRP_H-NS_LeuO	gadF//rob//oppD//csgD//hycB//tcyJ//dadA//
CRP_H-NS_MqsA	tpx//
CRP_IHF	rrlH//deoA//narL//hns//
CRP_IHF_MprA_OmpR	lgoR//
CRP_IHF_NsrR	fucU//
CRP_IHF_PaaX	hisQ//ygiB//ccmE//glgP//yjiY//gspL//hycI//cyaR//entA//nrdB//xylB//torA//
CRP_IHF_UlaR	rrsG//uhpT//fixB//gcvT//gadE//atoA//
CRP_IHF_YiaJ	murC//nrdE//yhiM//napG//bhsA//fecE//gspD//cysU//guaB//nuoC//
CRP_LexA	hyfH//
CRP_Lrp	nrdA//casD//fecE//rrsE//
CRP_Lrp_Mlc	xylH//
CRP_Lrp_Nac	ulaG//
CRP_LsrR	fumB//paaC//dctA//cytR//tdcD//treC//glgP//ascB//astA//
CRP_MalI	bglG//mntP//cusC//
CRP_MalT	glpQ//melB//fhuF//
CRP_MalT_PhoP	aroA//
CRP_MelR	caiF//mdtE//zinT//
CRP_MetJ	lamB//
CRP_MhpR	uidA//manZ//gutM//rseA//ftsZ//casC//
CRP_Mlc	yefM//trg//
CRP_ModE	cusA//pgaD//cysB//
CRP_MurR	ptsG//fliA//
CRP_Nac_NsrR_PhoB	napH//
CRP_NadR	nfuA//
CRP_NagC	tdcC//dsdX//bglF//uxaA//nhaA//asnC//
CRP_NagC_NanR	dppB//caiT//appA//
CRP_NagC_PhoP	ydeO//
CRP_OxyR	murQ//
CRP_OxyR_UxuR	dctA//
CRP_PhoB	fur//csgF//betT//pck//cas2//cysH//
CRP_PhoP	cysW//fabZ//rpoE//
CRP_PutA	degP//
CRP_RbsR	bglB//rhaS//ycdZ//appC//pgaC//puuP//
CRP_RhaR_RhaS	uidB//uidC//
CRP_RhaS	cdd//iclR//uxaA//
CRP_Rob	rpsQ//
CRP_TorR	uxuB//manZ//garP//
CRP_UhpA_UvrY	mtlR//
CRP_UidR_UxuR	dppC//nfsA//rrlA//
CRP_UvrY	nikD//
CRP_YehT	fabZ//
CRP_ZraR	glcD//sucB//
CadC_FNR_H-NS_LeuO_MlrA	csrC//
Cbl_CysB	gadY//hycB//purH//cusA//
Cbl_CysB_FNR_IHF	nfsA//yhjA//cysH//rcnB//slp//
CdaR_FNR_Fis_Fur_H-NS	sdhD//
CdaR_FNR_Fur_H-NS	mdtD//ebgA//malT//dppC//
CpxR_CsgD_FliZ	chbG//asr//gyrA//
CpxR_CysB	ydeO//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	hlyE//
CpxR_GadE	prfA//rplW//pheM//appX//
CpxR_H-NS	fucO//
CpxR_NsrR	acnB//
CpxR_RcsB	appA//
CpxR_TyrR	fabA//
Cra_FNR_Fis_Lrp_NarL	mazE//
Cra_FNR_Fur_MarA_Rob_SoxS	aslB//
Cra_FhlA_FlhDC	hyfD//
Cra_GntR_KdgR	nuoE//
Cra_GntR_KdgR_PhoB	pflB//
Cra_MarA_SoxS	aroP//
Cra_PdeL	melA//
Cra_SgrR	idnO//nrfG//deoA//
Cra_TyrR	mnmG//
CreB_NagC	gcvT//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	accB//
CsgD_FlhDC	carB//moeA//aldB//rhaB//fnr//umpH//dnaN//idnT//nanE//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	hemL//proX//
CspA_Fis_GadX_H-NS	rtcA//
CueR_FNR_ModE	frdD//csgF//paaB//sucA//dcuB//
CusR_PhoB_YedW	sdhA//mazE//agaA//astA//narJ//ccmG//glpA//
CysB_H-NS	edd//skp//entH//ugpC//ileV//
CysB_HypT_IHF	fucI//
CysB_IHF	nrdI//casB//
CysB_NtrC	fimG//
CysB_PhoP	torD//
DcuR_FNR_NarL	sroD//atoA//dgcZ//serA//
DinJ-YafQ_LexA	envZ//metH//
DpiA_H-NS	gspJ//
DsdC_NsrR	rcnA//
EvgA_FNR	malX//nac//
EvgA_H-NS	moaB//pncB//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	pstS//
EvgA_H-NS_PhoP_RcsB_YdeO	rplC//
EvgA_PhoP_RcsB_YdeO	csgE//
ExuR_UxuR	ssb//aroP//
FNR_FhlA_IHF_NsrR	nrfF//galP//purH//sufS//putP//
FNR_FhlA_NarL_NarP	lsrA//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	nagE//citG//ahpC//purH//nrfC//sra//atoB//
FNR_Fis_IHF_ModE_NarL	waaY//fepE//alaU//
FNR_Fis_IHF_NarL	fumC//
FNR_Fis_IHF_NarL_RstA	araC//glnP//purN//nrfB//
FNR_FlhDC	ubiC//
FNR_FlhDC_IscR_ModE_NarL_NarP	puuB//flhC//ulaC//paaD//glnG//ndh//gcvT//
FNR_FlhDC_ModE_NarL_NarP	deoC//hyaC//mglC//fimF//ompC//dinJ//aceK//ackA//
FNR_Fur	mazG//cdd//
FNR_Fur_GadE	uxaA//
FNR_Fur_GadX_NtrC	paaB//lgoR//
FNR_Fur_H-NS	galP//ilvX//malT//fixA//
FNR_Fur_MetR_NsrR	hupA//
FNR_Fur_Nac_NtrC	rplP//
FNR_Fur_NagC	rrfD//appA//gadA//
FNR_Fur_OxyR	fiu//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	uof//
FNR_H-NS	lldP//paaH//
FNR_H-NS_NrdR	nuoF//bamE//
FNR_IHF	lhgO//fucA//sra//tdcG//gspG//
FNR_IHF_Lrp_YeiL	hycC//
FNR_IHF_NarL_NarP_NorR	nhaA//rrsG//
FNR_IHF_PhoB	hycB//casC//csgE//osmY//hcp//
FNR_MalT	treB//pck//
FNR_ModE	rrsH//sgbU//
FNR_NarL	narI//modC//glnH//ftsW//galS//exuT//
FNR_NarL_NarP	yhcH//ilvI//fadE//lysP//entH//hns//yiaN//nrfC//ydeM//
FNR_NarL_NarP_NsrR	gntK//
FNR_NarL_NarP_NsrR_OxyR	ldtB//oppC//
FNR_NarL_NikR	paaB//folA//alaT//alaT//zwf//nagE//
FNR_NsrR	nagB//aroG//hyfD//
FNR_OxyR	malP//
FNR_PurR	asr//puuD//
FNR_YqjI	iclR//
FabR_FadR	nagC//citD//
FadR_IHF	ebgC//
FadR_IclR	sbmC//
FhlA_FlhDC	yrbL//
FhlA_IHF_ModE_NsrR	glcB//napB//exuT//metR//glnK//mntP//yjbG//norW//fadB//
FhlA_IHF_NsrR	gnd//
Fis_Fur	murD//
Fis_H-NS	fumC//
Fis_H-NS_IHF_MntR_OxyR	ahpF//
Fis_H-NS_Lrp	marR//nanE//lpd//rrfD//purM//aceK//fhlA//nagE//gatZ//osmE//pqiA//araG//glnL//gntU//entH//gntU//ynfE//cbl//prfA//hybO//dcuA//nagB//astC//ulaD//
Fis_H-NS_Lrp_StpA	ybjN//srlA//
Fis_IHF	evgA//
Fis_IHF_NtrC	cbl//sra//
Fis_IHF_OmpR_RcsB	aroM//
Fis_Lrp	guaA//rhaS//srlA//tam//moaA//gutQ//hybA//acrA//nikR//
Fis_MazE_MazE-MazF	glyA//
Fis_NarL	narJ//
Fis_NarL_NarP_NsrR	hypB//ftsI//
Fis_PurR	rhaA//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	asnC//rrfB//rrlC//
FliZ_RutR	cdd//
Fur_H-NS	lacY//fnr//paaA//idnK//iclR//betB//ygiB//fadJ//nanC//ilvL//ynfG//pspD//chbB//
Fur_IHF_IscR_NsrR_OxyR	citX//cspI//garK//nikB//yiaN//focA//
Fur_IscR_NrdR	dppD//frdB//gyrA//codB//
Fur_MetR	glpB//
Fur_MntR	chbR//
Fur_MntR_OxyR	galE//
Fur_OxyR	glnD//
Fur_PurR	mdtD//feaB//
Fur_RcnR	ydhY//napD//
Fur_RutR	ybjN//
Fur_SoxS_Zur	pstB//
Fur_YqjI	mhpF//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	ccmB//relA//
GadE-RcsB_H-NS	uof//
GadE-RcsB_PhoB	ydhX//
GadE-RcsB_Rob	zinT//
GadE_GadX_H-NS_PhoP_RcsB	uxaC//
GadE_H-NS_Lrp_NsrR	lysP//
GadE_H-NS_MatA	mglA//
GadE_H-NS_RcsAB	gnd//
GadE_MarA_PurR	hycH//
GadW_GadX_RcsB	baeS//
GalR_GalS	nemR//
GlrR_IHF	fecD//
H-NS_IHF	rcnB//dcuC//cadB//
H-NS_IHF_Lrp	hycG//nmpC//yjiY//rplC//fepE//fliH//murP//
H-NS_LeuO	idnK//gapA//
H-NS_LeuO_RcsB-BglJ_StpA	marB//
H-NS_LrhA_Lrp	ybdN//
H-NS_Lrp	osmC//rrlD//
H-NS_Lrp_NhaR_RcsB	ftsA//
H-NS_Lrp_StpA	hypB//
H-NS_McbR	hha//fecD//rutG//
H-NS_NhaR	nupG//appB//
H-NS_OmpR	deoA//
H-NS_PhoB_RcdA_RstA	ftsW//
HU_IHF_TrpR_TyrR	prfA//
HU_IHF_TyrR	higB//
HigA_HigB-HigA	hlyE//dppB//
HipAB_HipB_IHF	hycI//rseC//
HypT_MetJ	hycC//ydhW//hcp//
HypT_MetJ_PhoP	rbfA//deoC//
IHF_Lrp	yjiY//ccmA//rhaD//gltD//ompW//carA//gltW//atoB//
IHF_NsrR	ulaA//
IHF_NtrC	ilvA//cyoC//
IHF_PhoP	atoA//
IHF_PspF	qseB//fliE//galP//gadA//hokD//dmsC//
IHF_RcsAB	nusA//lldD//tdcA//paaC//
IHF_RtcR	yciG//mglB//
IHF_TyrR	rhaA//
IHF_UlaR	mnmG//
LexA_MraZ_PdhR	glgA//fimE//gntX//napF//nuoA//nrdG//cysG//ompF//cusA//dps//mdh//
LexA_MraZ_PdhR_RcsB_SdiA	deoC//aidB//
LexA_MraZ_PdhR_SdiA	mglA//
LexA_NagC	nrdH//
LexA_RcdA	rrsD//
LexA_RcsB-BglJ	rpsC//
MarA_OxyR_Rob_SoxS	hmp//gatA//fdnH//hyaC//
MarA_PhoP_Rob_SoxS	ulaF//cysB//sufA//rrfH//
MarA_Rob_SoxS	mioC//modB//adiC//cspI//gadY//
MarA_SoxS	glcE//fes//pyrC//lsrR//cusB//
MetJ_MetR	fadI//chiP//
MetJ_OxyR	fucA//aroM//
MetR_PurR	dsdX//
MraZ_PdhR	fabA//hyfE//
Nac_PurR	mlc//yoaG//
NarL_TorR	nemR//napA//patA//
NemR_RutR	serA//hyfJ//glpQ//
NhaR_OmpR	fepA//gdhA//waaY//fecD//
NorR_NsrR	norR//
NsrR_PhoB	uxaB//
OxyR_SoxS	yedX//
PdhR_PhoP	chbR//
PgrR_TyrR	fimH//
PhoB_PhoP	garR//
PhoP_PurR_RbsR	lysA//nemR//
RelB_RelB-RelE	gatB//gltT//uof//
TrpR_TyrR	gltD//hybD//mhpA//
YefM_YefM-YoeB	hisJ//uxaC//
