#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	dcuR//codA//
ArcA_FNR	murC//adiC//mhpD//fnr//zraS//manZ//gltV//gutQ//grcA//ydhX//tdcC//napD//dcuB//ydeM//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	cas2//
ArcA_FNR_Fis_IHF_NarL	mraY//gspJ//gntK//guaA//emrY//nikA//gntT//alaT//rhaA//ptsI//idnR//ompW//hycE//
ArcA_FNR_Fur_IHF	rrsE//
ArcA_FNR_IHF	fimI//lhgO//cyoE//
ArcA_FNR_IHF_NarL	garP//cspI//
ArcA_FNR_NarL	puuR//astD//rrlD//aroP//
ArcA_FNR_PhoP	fadL//
ArcA_FNR_PuuR	aceK//hisP//
ArcA_FadR	csgD//ascB//cysP//
ArcA_FadR_Fis	lysA//galS//
ArcA_Fur_Lrp_ModE	sdhD//fes//rseC//gapA//atoD//
ArcA_GlcC_IHF_PdhR	rplC//yjbF//hybO//fbaA//galP//yaiA//
ArcA_LexA	rpoH//deoC//
ArcA_LldR	hybB//adiC//lsrC//
ArcA_NarL	rrlH//ynfF//fadL//pflB//ybjN//hokD//iraM//cysP//
ArcA_NtrC_PhoP_RutR	ygiB//relA//moeA//ebgC//amtB//glpC//rhaB//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	gspO//malP//mdtE//
ArgP_CRP_FNR_Fur_Nac	acrE//
ArgP_DnaA	metI//metY//mtlD//
ArgP_Lrp	truB//betB//
ArgP_LysR	aslB//
ArgP_PhoB	appY//
ArgR_CRP	qseB//
ArgR_CRP_Fis	fadB//cdd//aspA//sra//paaJ//tdcA//hycH//actP//
ArgR_Fis_IHF_PepA_PurR_RutR	mtlD//cusF//
ArgR_H-NS_NtrC	ilvI//ptsG//fliE//hypD//
ArgR_NtrC	ogt//pyrC//fucP//gntK//cbl//
ArgR_PhoP	ynfK//
AscG_CRP	nrfG//infB//rpsJ//
AscG_CRP_PhoB_PrpR	malM//
AsnC_MraZ_Nac	hybE//
AsnC_Nac	adiC//sgbU//
AtoC_IHF	hyaB//hycF//frdC//rrsG//
BaeR_CpxR	pheM//waaZ//rrsG//nuoA//pgaC//pncB//cspA//
BaeR_CpxR_EvgA	ftsA//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	hyfF//napD//mazG//deoA//
BasR_CpxR_PdhR	zraS//envZ//
BasR_Fis	alaU//
BasR_H-NS_IHF_NagC_NanR	hypC//
BasR_MarA_PutA	napG//
BasR_PhoP	cydC//
BasR_QseB	asnC//cusC//
CRP_CaiF_FNR	cas2//pgaA//acnA//iraM//
CRP_ChbR_NagC	cysB//glgA//ybiT//uxaB//paaJ//napC//
CRP_ComR	crr//
CRP_CpxR	ndh//
CRP_CpxR_CytR	yaiA//
CRP_CpxR_CytR_DnaA_IHF	csgF//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	osmE//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	focB//caiC//dctA//aroG//
CRP_Cra	tnaA//nuoH//citX//yjbH//narK//glnD//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	pdeL//nikE//lhgO//nuoK//
CRP_Cra_FNR_PdhR	hycD//
CRP_Cra_Fis	glnP//
CRP_Cra_Fis_GlcC	gltB//
CRP_Cra_Fis_MtlR	fecA//cadB//ilvE//
CRP_Cra_Mlc_NagC	rimK//hipB//casB//aceB//purD//fimF//
CRP_Cra_PrpR	ydhW//tauD//paaB//yiaO//
CRP_CreB_Fis_MalT	yhjA//csiD//nagC//
CRP_CsiR_H-NS_Lrp	gutM//mtlR//
CRP_CsiR_H-NS_Lrp_Nac	nfsA//phoU//nagE//
CRP_CspA_Fis	aroG//
CRP_CytR	ilvI//nikC//aspC//
CRP_CytR_DeoR	ccmH//frdA//
CRP_CytR_DeoR_Fis_ModE	lsrR//dsdX//fimE//icd//
CRP_CytR_Nac	tauB//
CRP_CytR_NsrR	lsrG//
CRP_DcuR_FNR_NarL	hydN//
CRP_DinJ-YafQ	fixB//
CRP_DnaA_Fis_PurR	fabZ//frdA//
CRP_DpiA_ExuR	entF//
CRP_DsdC	sucB//napH//
CRP_EbgR	nrdG//citF//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	evgA//agaW//
CRP_ExuR	sufB//
CRP_ExuR_FNR	gapA//glpA//
CRP_ExuR_OxyR_UxuR	aslB//mdtB//
CRP_ExuR_UxuR	lldR//
CRP_FNR	yqjH//
CRP_FNR_FhlA_HyfR	hlyE//glcE//prfA//ulaG//nrfE//dinJ//idnR//ybiT//ompW//mazE//sufE//ftsI//
CRP_FNR_Fis	ulaB//cusA//cyoC//
CRP_FNR_Fis_GlpR_IHF	hokD//marB//
CRP_FNR_Fis_H-NS_SlyA	mraZ//
CRP_FNR_GcvA_Lrp_PurR	aceB//yjbG//gltD//
CRP_FNR_H-NS_NarL	dcuC//
CRP_FNR_IHF_TdcA_TdcR	prpB//nuoH//hybF//mtlD//entD//rhaB//argD//
CRP_FNR_NarL	gadC//nrdB//yqjI//
CRP_FeaR_NsrR	nusA//
CRP_Fis	dctR//tdcE//hyaE//mntP//bhsA//
CRP_Fis_FlhDC_GalR_GalS	tdcE//moeA//
CRP_Fis_FliZ_IHF_Lrp	hcp//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	dpiA//fadJ//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	nagC//uvrA//aroM//
CRP_Fis_IHF	tdcF//putP//actP//ccmH//gdhA//
CRP_Fis_NanR	rsmH//rrlD//paaA//rpsO//proV//
CRP_Fis_NtrC	nfuA//dnaA//ilvD//
CRP_Fis_XylR	yiaJ//hyaD//yciE//
CRP_FlhDC_GalR_GalS	glnG//
CRP_FucR	xylH//gspF//lsrA//paaD//ssb//focA//ssuB//
CRP_Fur	kbaZ//mtlD//dctA//rcsA//idnD//focA//hypC//eda//hyfE//
CRP_Fur_HypT_PdhR	fadE//uof//hyfG//srlR//mdtD//
CRP_Fur_OxyR_SoxS	cysW//
CRP_GalR_GalS	nemA//
CRP_GalR_GalS_H-NS_HU	argD//glcC//hyaB//uvrA//
CRP_GalR_GalS_NagC	glmY//
CRP_GlpR	nuoJ//yiaJ//trg//
CRP_GntR	cyoA//ackA//
CRP_GntR_IdnR	malG//qseC//tdcG//fecE//lamB//exuT//ssuC//
CRP_GntR_IscR	cysU//
CRP_GutM_GutR_H-NS	rutE//uxuA//emrY//ccmC//ybfN//gntK//lacA//
CRP_H-NS	rplP//
CRP_H-NS_HipAB_HipB_NtrC	ybiT//
CRP_H-NS_LacI	gspF//fur//dusB//
CRP_H-NS_LeuO	ugpA//rprA//fepE//srlR//entH//gapA//hmp//
CRP_H-NS_MqsA	mhpD//
CRP_IHF	dgcZ//cas1//lacY//hypF//
CRP_IHF_MprA_OmpR	murP//
CRP_IHF_NsrR	cspE//
CRP_IHF_PaaX	tdcC//fliA//ybiT//chbG//gspO//ssuE//glpA//ompC//fimA//agaA//nanT//gatB//
CRP_IHF_UlaR	appC//ccmD//puuA//araC//fucO//acs//
CRP_IHF_YiaJ	paaK//proX//accB//recF//mdtE//gabD//galS//moaC//murD//malS//
CRP_LexA	mdtE//
CRP_Lrp	rprA//araB//rpsJ//dcuA//
CRP_Lrp_Mlc	rprA//
CRP_Lrp_Nac	yciE//
CRP_LsrR	udp//tdcB//tsx//gnd//fecE//cadA//casB//bhsA//phoQ//
CRP_MalI	marA//napA//fimB//
CRP_MalT	ilvX//cspA//nuoN//
CRP_MalT_PhoP	tnaA//
CRP_MelR	ogt//baeR//cyoB//
CRP_MetJ	acrD//
CRP_MhpR	gatC//ilvH//ydhW//gspK//melA//fixX//
CRP_Mlc	hycA//trg//
CRP_ModE	murC//yciG//entA//
CRP_MurR	dctR//murE//
CRP_Nac_NsrR_PhoB	argO//
CRP_NadR	ugpE//
CRP_NagC	araA//fadJ//lacY//waaY//ascF//feoB//
CRP_NagC_NanR	bolA//acnB//caiC//
CRP_NagC_PhoP	lpd//
CRP_OxyR	phoQ//
CRP_OxyR_UxuR	sroD//
CRP_PhoB	ydhX//higB//tauD//caiE//moaC//fpr//
CRP_PhoP	fucA//ynfE//fes//
CRP_PutA	sra//
CRP_RbsR	rprA//ilvX//lhgO//focB//napF//hyaA//
CRP_RhaR_RhaS	hybF//hdeD//
CRP_RhaS	nagB//mhpB//rob//
CRP_Rob	fbaA//
CRP_TorR	ydeN//tpx//ugpE//
CRP_UhpA_UvrY	emrY//
CRP_UidR_UxuR	fadB//cspA//aceB//
CRP_UvrY	srlA//
CRP_YehT	hybO//
CRP_ZraR	fliF//ftnA//
CadC_FNR_H-NS_LeuO_MlrA	hycA//
Cbl_CysB	guaA//caiC//napA//proX//
Cbl_CysB_FNR_IHF	ccmD//rrlC//lsrB//idnK//chbA//
CdaR_FNR_Fis_Fur_H-NS	yedX//
CdaR_FNR_Fur_H-NS	dppC//metH//uidC//ileT//
CpxR_CsgD_FliZ	cysP//napC//garL//
CpxR_CysB	araD//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	rhaB//
CpxR_GadE	nuoF//pspE//gspO//rsmH//
CpxR_H-NS	baeR//
CpxR_NsrR	rhaA//
CpxR_RcsB	proW//
CpxR_TyrR	glpQ//
Cra_FNR_Fis_Lrp_NarL	aldA//
Cra_FNR_Fur_MarA_Rob_SoxS	nrfE//
Cra_FhlA_FlhDC	murQ//
Cra_GntR_KdgR	atoD//
Cra_GntR_KdgR_PhoB	rsmH//
Cra_MarA_SoxS	dmsC//
Cra_PdeL	gntU//
Cra_SgrR	mioC//ileV//csgB//
Cra_TyrR	glgC//
CreB_NagC	hybO//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	nuoN//
CsgD_FlhDC	ydeM//fdnI//hybG//cusS//cysA//hycH//gcd//mhpF//lamB//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	fau//rhaT//
CspA_Fis_GadX_H-NS	rpoH//
CueR_FNR_ModE	tauC//ybfN//tnaC//osmE//nemA//
CusR_PhoB_YedW	sulA//ydhW//appA//ydeM//pdeR//feoC//ydeM//
CysB_H-NS	fecA//manY//hybF//nrfE//spy//
CysB_HypT_IHF	galP//
CysB_IHF	fepB//ubiC//
CysB_NtrC	casA//
CysB_PhoP	yhjA//
DcuR_FNR_NarL	gspK//murC//rhaR//acnA//
DinJ-YafQ_LexA	rutF//ebgC//
DpiA_H-NS	nikB//
DsdC_NsrR	araG//
EvgA_FNR	flgM//phoU//
EvgA_H-NS	uof//ssuD//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	glcC//
EvgA_H-NS_PhoP_RcsB_YdeO	aceE//
EvgA_PhoP_RcsB_YdeO	cusS//
ExuR_UxuR	acrB//pgaC//
FNR_FhlA_IHF_NsrR	fpr//slp//marR//gspI//lpd//
FNR_FhlA_NarL_NarP	ygeA//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	malG//fecA//nfuA//lysA//malK//rseC//rbsA//
FNR_Fis_IHF_ModE_NarL	cusA//citC//ydhT//
FNR_Fis_IHF_NarL	ptsI//
FNR_Fis_IHF_NarL_RstA	citF//rhaD//ilvM//ebgA//
FNR_FlhDC	ompF//
FNR_FlhDC_IscR_ModE_NarL_NarP	yoeB//srlE//mpl//ptsI//zinT//tyrP//narH//
FNR_FlhDC_ModE_NarL_NarP	norR//qseC//deoC//puuP//hycG//ompF//ygbA//yeaR//
FNR_Fur	codB//hycD//
FNR_Fur_GadE	yciE//
FNR_Fur_GadX_NtrC	ydhT//tomB//
FNR_Fur_H-NS	nanA//hyfI//fabZ//fucR//
FNR_Fur_MetR_NsrR	tomB//
FNR_Fur_Nac_NtrC	fimA//
FNR_Fur_NagC	tdcC//yiaJ//lldP//
FNR_Fur_OxyR	murG//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	galP//
FNR_H-NS	yafQ//treC//
FNR_H-NS_NrdR	gnd//sroD//
FNR_IHF	gdhA//waaZ//ilvH//malP//osmY//
FNR_IHF_Lrp_YeiL	ulaE//
FNR_IHF_NarL_NarP_NorR	tnaA//acrZ//
FNR_IHF_PhoB	hdeB//psiE//fecB//ugpA//glnQ//
FNR_MalT	prmC//atoD//
FNR_ModE	ynfE//ilvL//
FNR_NarL	pspB//napB//dctA//fhlA//sufB//gadY//
FNR_NarL_NarP	ptsG//mglA//fbaA//pheM//nanT//tyrR//csrC//waaZ//aldA//
FNR_NarL_NarP_NsrR	dadX//
FNR_NarL_NarP_NsrR_OxyR	murP//entD//
FNR_NarL_NikR	nanM//pspG//fucU//nanE//lsrK//caiB//
FNR_NsrR	nrdF//acrA//cysU//
FNR_OxyR	osmC//
FNR_PurR	bhsA//csgA//
FNR_YqjI	fhlA//
FabR_FadR	baeR//asr//
FadR_IHF	hybC//
FadR_IclR	rplT//
FhlA_FlhDC	fliE//
FhlA_IHF_ModE_NsrR	fabA//proW//ebgA//hycI//fliK//treB//ygeA//nikR//ubiC//
FhlA_IHF_NsrR	hypF//
Fis_Fur	hupB//
Fis_H-NS	idnD//
Fis_H-NS_IHF_MntR_OxyR	folA//
Fis_H-NS_Lrp	glgA//gatA//yjbE//hipA//dctR//chbF//emrY//gabP//gcvT//yecR//inaA//caiF//serA//baeR//dsdC//fimC//norW//eda//fadE//citD//metH//rnpB//dmsB//nhaA//
Fis_H-NS_Lrp_StpA	araB//yoaG//
Fis_IHF	mdtD//
Fis_IHF_NtrC	dnaN//cusF//
Fis_IHF_OmpR_RcsB	gltW//
Fis_Lrp	xylA//rrlE//lacZ//mioC//ulaD//nanE//flgN//csrC//nuoM//
Fis_MazE_MazE-MazF	nrdB//
Fis_NarL	fecD//
Fis_NarL_NarP_NsrR	oppF//cusC//
Fis_PurR	aidB//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	ydhT//tyrR//relB//
FliZ_RutR	lsrB//
Fur_H-NS	hycC//aceF//sbmC//mraY//cadB//fucO//manY//fimG//rrsA//glnH//yiaM//fnr//malK//
Fur_IHF_IscR_NsrR_OxyR	hycB//ulaC//ynfK//fixC//ftsZ//ftsL//
Fur_IscR_NrdR	murE//rpsJ//narX//nagE//
Fur_MetR	rrlA//
Fur_MntR	rpsQ//
Fur_MntR_OxyR	gspI//
Fur_OxyR	uxuR//
Fur_PurR	ssrS//iclR//
Fur_RcnR	glnH//ccmA//
Fur_RutR	eda//
Fur_SoxS_Zur	lhgO//
Fur_YqjI	cyoD//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	ytfE//murC//
GadE-RcsB_H-NS	galK//
GadE-RcsB_PhoB	malS//
GadE-RcsB_Rob	sdhD//
GadE_GadX_H-NS_PhoP_RcsB	atoB//
GadE_H-NS_Lrp_NsrR	araD//
GadE_H-NS_MatA	rrlD//
GadE_H-NS_RcsAB	citE//
GadE_MarA_PurR	yoaG//
GadW_GadX_RcsB	cusA//
GalR_GalS	glpT//
GlrR_IHF	idnO//
H-NS_IHF	fumA//osmC//rplB//
H-NS_IHF_Lrp	ftsA//mioC//chbG//lpxD//agaV//glpQ//metY//
H-NS_LeuO	atoE//pdeR//
H-NS_LeuO_RcsB-BglJ_StpA	fixA//
H-NS_LrhA_Lrp	ilvG_1//
H-NS_Lrp	pgk//hupB//
H-NS_Lrp_NhaR_RcsB	fimB//
H-NS_Lrp_StpA	ygiC//
H-NS_McbR	fiu//murC//metB//
H-NS_NhaR	gyrA//yoeB//
H-NS_OmpR	recF//
H-NS_PhoB_RcdA_RstA	proX//
HU_IHF_TrpR_TyrR	ccmH//
HU_IHF_TyrR	zraS//
HigA_HigB-HigA	idnT//ybiT//
HipAB_HipB_IHF	nusA//ccmG//
HypT_MetJ	gltB//sgrT//gatB//
HypT_MetJ_PhoP	rtcB//uxaC//
IHF_Lrp	ycdZ//galP//gloA//idnD//lsrB//ynfK//nuoJ//araB//
IHF_NsrR	rseA//
IHF_NtrC	hemA//rplC//
IHF_PhoP	rbsA//
IHF_PspF	ybjC//ppiA//metE//ileU//melA//murE//
IHF_RcsAB	flgM//nrdE//ptsH//hycI//
IHF_RtcR	umpH//atoA//
IHF_TyrR	rcnA//
IHF_UlaR	dsdX//
LexA_MraZ_PdhR	ileU//hyfA//ydeP//gadY//gspG//malY//astA//pspB//nikA//pyrD//rplW//
LexA_MraZ_PdhR_RcsB_SdiA	glcF//fixX//
LexA_MraZ_PdhR_SdiA	ilvH//
LexA_NagC	ppiA//
LexA_RcdA	ddlB//
LexA_RcsB-BglJ	poxB//
MarA_OxyR_Rob_SoxS	astB//rpsJ//fimE//nanK//
MarA_PhoP_Rob_SoxS	torC//sodB//proW//mdtC//
MarA_Rob_SoxS	ilvE//mhpB//nuoB//citG//mpl//
MarA_SoxS	fimD//gntK//fliG//moeA//ompW//
MetJ_MetR	betT//fes//
MetJ_OxyR	acrA//acrF//
MetR_PurR	glpX//
MraZ_PdhR	nrfB//ccmC//
Nac_PurR	nrfG//yiaO//
NarL_TorR	malI//adiC//hcr//
NemR_RutR	cyoD//cyoA//aroA//
NhaR_OmpR	tolC//ulaA//baeR//nagA//
NorR_NsrR	rrlC//
NsrR_PhoB	fepA//
OxyR_SoxS	hybC//
PdhR_PhoP	ilvI//
PgrR_TyrR	icd//
PhoB_PhoP	melA//
PhoP_PurR_RbsR	rrsB//rrfD//
RelB_RelB-RelE	glpT//acrD//yqjH//
TrpR_TyrR	cusC//ydeP//infB//
YefM_YefM-YoeB	rrlG//ydeO//
