#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	frdC//leuO//
CRP_Cra_Mlc_NagC	cusS//deoB//gspJ//cydA//nemA//icd//
CRP_Cra_PrpR	yciG//ascB//pspG//srlD//
CRP_CreB_Fis_MalT	aroM//dusB//murQ//
CRP_CsiR_H-NS_Lrp	ybjN//acnB//
CRP_CsiR_H-NS_Lrp_Nac	fucO//agaV//glnH//
CRP_CspA_Fis	exuR//
CRP_CytR	cspE//rrsD//fecC//
CRP_CytR_DeoR	oppF//mhpF//
CRP_CytR_DeoR_Fis_ModE	gspJ//entD//purD//nemA//
CRP_CytR_Nac	mdtF//
CRP_CytR_NsrR	nhaA//
CRP_DcuR_FNR_NarL	malX//
CRP_DinJ-YafQ	fimG//
CRP_DnaA_Fis_PurR	mazE//sucC//
CRP_DpiA_ExuR	hcr//
CRP_DsdC	umpH//katE//
CRP_EbgR	rseB//narX//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	slp//gntT//
CRP_ExuR	glcB//
CRP_ExuR_FNR	hybF//nirB//
CRP_ExuR_OxyR_UxuR	fimC//cysI//
CRP_ExuR_UxuR	yhjA//
CRP_FNR	narH//
CRP_FNR_FhlA_HyfR	ulaD//rrlD//flgN//rrlH//chiP//mglA//moaE//fixB//ydeN//aslB//dppC//tdcG//
CRP_FNR_Fis	ppiA//garP//moaD//
CRP_FNR_Fis_GlpR_IHF	nemA//paaZ//
CRP_FNR_Fis_H-NS_SlyA	gltW//
CRP_FNR_GcvA_Lrp_PurR	ppiA//uxuR//frdC//
CRP_FNR_H-NS_NarL	caiT//
CRP_FNR_IHF_TdcA_TdcR	waaZ//csrC//casC//serA//higB//ilvM//dppD//
CRP_FNR_NarL	xylF//zraR//yjbH//
CRP_FeaR_NsrR	araA//
CRP_Fis	flgN//katE//chbF//infB//ilvE//
CRP_Fis_FlhDC_GalR_GalS	carA//gspM//
CRP_Fis_FliZ_IHF_Lrp	gadC//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	slp//rrsG//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	hyfR//xylA//paaZ//
CRP_Fis_IHF	ydhX//uxaA//ptsG//qseB//rutG//
CRP_Fis_NanR	rutF//cspE//frdB//caiF//oppA//
CRP_Fis_NtrC	csgC//caiT//murP//
CRP_Fis_XylR	ssuD//hyfB//ygiA//
CRP_FlhDC_GalR_GalS	ssb//
CRP_FucR	rrfA//hybO//pgk//ygiA//lhgO//rsmH//lrp//
CRP_Fur	cusB//feoA//rbsB//cas2//mazG//rrlH//ftsZ//alaT//prmC//
CRP_Fur_HypT_PdhR	ydeN//yiaM//gltW//tam//nanT//
CRP_Fur_OxyR_SoxS	napA//
CRP_GalR_GalS	cas2//
CRP_GalR_GalS_H-NS_HU	nanE//gspO//glnQ//astB//
CRP_GalR_GalS_NagC	yeiL//
CRP_GlpR	creD//rrsG//caiA//
CRP_GntR	ileU//phoQ//
CRP_GntR_IdnR	galS//focA//yedX//hyfJ//citF//fucA//pdhR//
CRP_GntR_IscR	hybG//
CRP_GutM_GutR_H-NS	fecE//ynfG//cdd//citC//sdhB//ilvG_1//zwf//
CRP_H-NS	nagA//
CRP_H-NS_HipAB_HipB_NtrC	frdD//
CRP_H-NS_LacI	bglB//murE//fliI//
CRP_H-NS_LeuO	nrdG//citD//nuoL//leuO//ccmC//cysI//galK//
CRP_H-NS_MqsA	safA//
CRP_IHF	cysB//ybiT//mtr//asr//
CRP_IHF_MprA_OmpR	cysP//
CRP_IHF_NsrR	rbsC//
CRP_IHF_PaaX	nanK//nhaA//fadE//glnA//mglC//ydeP//ygiB//lysA//sdhB//casE//proW//glnH//
CRP_IHF_UlaR	tauC//rpsI//cysW//nrfA//fixB//feaB//
CRP_IHF_YiaJ	pck//nagB//napF//aceE//stpA//fecC//rhaR//aldB//hcp//rhaA//
CRP_LexA	gatB//
CRP_Lrp	fliA//fabZ//ompF//trg//
CRP_Lrp_Mlc	micF//
CRP_Lrp_Nac	gltF//
CRP_LsrR	oppF//mpl//fabZ//yedX//waaH//xylB//nemA//nuoJ//gspF//
CRP_MalI	murQ//nikA//hypF//
CRP_MalT	serA//fliC//rpmC//
CRP_MalT_PhoP	caiB//
CRP_MelR	ynfK//gadX//tnaB//
CRP_MetJ	nikD//
CRP_MhpR	cysP//hypD//dmsD//poxB//galS//nfsB//
CRP_Mlc	guaB//araF//
CRP_ModE	dmsD//glcC//paaJ//
CRP_MurR	nrdG//malG//
CRP_Nac_NsrR_PhoB	osmY//
CRP_NadR	paaC//
CRP_NagC	lldD//yhiD//prpE//metR//araC//ascF//
CRP_NagC_NanR	murG//cydC//uidC//
CRP_NagC_PhoP	fixC//
CRP_OxyR	nuoE//
CRP_OxyR_UxuR	hypB//
CRP_PhoB	mtr//lacZ//fadE//gadA//galS//srlE//
CRP_PhoP	psiE//nupC//citC//
CRP_PutA	fimB//
CRP_RbsR	astD//fbaA//glnP//ahpF//glcB//glgA//
CRP_RhaR_RhaS	glgP//modA//
CRP_RhaS	bhsA//marA//dpiB//
CRP_Rob	citD//
CRP_TorR	spy//napD//ubiC//
CRP_UhpA_UvrY	bolA//
CRP_UidR_UxuR	cspI//fucO//nrfD//
CRP_UvrY	pheM//
CRP_YehT	ssuA//
CRP_ZraR	metI//dnaA//
CadC_FNR_H-NS_LeuO_MlrA	leuO//
Cbl_CysB	puuE//ccmA//aroP//deoB//
Cbl_CysB_FNR_IHF	yhiM//uxuB//fucK//gadW//sufC//
CdaR_FNR_Fis_Fur_H-NS	dadX//
CdaR_FNR_Fur_H-NS	astD//emrK//fixB//zraS//
CpxR_CsgD_FliZ	garK//hycH//rrlA//
CpxR_CysB	ydeO//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	fadA//
CpxR_GadE	nikC//galM//glpA//glcE//
CpxR_H-NS	relB//
CpxR_NsrR	hmp//
CpxR_RcsB	ssuE//
CpxR_TyrR	recF//
Cra_FNR_Fis_Lrp_NarL	nupC//
Cra_FNR_Fur_MarA_Rob_SoxS	gabP//
Cra_FhlA_FlhDC	tnaC//
Cra_GntR_KdgR	nuoE//
Cra_GntR_KdgR_PhoB	gspH//
Cra_MarA_SoxS	glgP//
Cra_PdeL	aspC//
Cra_SgrR	rhaD//moeB//hypA//
Cra_TyrR	casB//
CreB_NagC	gspH//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	putA//
CsgD_FlhDC	pdeR//rplP//gatB//purH//puuR//manY//hdeA//nhaA//yjbF//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	acnB//lpxC//
CspA_Fis_GadX_H-NS	paaC//
CueR_FNR_ModE	relB//tdcF//hha//ssb//ccmG//
CusR_PhoB_YedW	csgG//pstA//csiD//mtr//fdnH//betT//exuR//
CysB_H-NS	ccmH//garP//tdcC//nfsB//serC//
CysB_HypT_IHF	glnA//
CysB_IHF	mdtA//nemA//
CysB_NtrC	pncB//
CysB_PhoP	glnL//
DcuR_FNR_NarL	dcuS//nhaA//nrfC//fimB//
DinJ-YafQ_LexA	ssuD//dmsB//
DpiA_H-NS	dppF//
DsdC_NsrR	hypB//
EvgA_FNR	acnA//nirB//
EvgA_H-NS	rrfF//nuoC//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	prmC//
EvgA_H-NS_PhoP_RcsB_YdeO	sdhC//
EvgA_PhoP_RcsB_YdeO	skp//
ExuR_UxuR	icd//gntT//
FNR_FhlA_IHF_NsrR	sufA//ulaB//fliG//hypF//ftsL//
FNR_FhlA_NarL_NarP	mhpE//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	nagA//gatD//nikD//hyfF//galT//molR_1//nikE//
FNR_Fis_IHF_ModE_NarL	chbF//moaE//narH//
FNR_Fis_IHF_NarL	molR_1//
FNR_Fis_IHF_NarL_RstA	fimC//ilvI//ilvI//atoB//
FNR_FlhDC	rpsS//
FNR_FlhDC_IscR_ModE_NarL_NarP	uspA//paaA//epd//ugpB//araC//glpA//galT//
FNR_FlhDC_ModE_NarL_NarP	udp//acrD//moeA//rseC//dppC//hybB//ndh//lamB//
FNR_Fur	gspJ//serA//
FNR_Fur_GadE	gltB//
FNR_Fur_GadX_NtrC	chbR//hybB//
FNR_Fur_H-NS	hycA//ahpC//zinT//gntU//
FNR_Fur_MetR_NsrR	nac//
FNR_Fur_Nac_NtrC	dppC//
FNR_Fur_NagC	chbA//dctR//agaV//
FNR_Fur_OxyR	gadA//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	relE//
FNR_H-NS	ulaB//nrfB//
FNR_H-NS_NrdR	acrD//hyfE//
FNR_IHF	katG//murQ//norV//ptsI//tpx//
FNR_IHF_Lrp_YeiL	nrdI//
FNR_IHF_NarL_NarP_NorR	fucR//oxyR//
FNR_IHF_PhoB	caiD//gatY//nfsA//hyfB//fecD//
FNR_MalT	glmY//araD//
FNR_ModE	paaI//atoB//
FNR_NarL	truB//nrfE//fecB//lsrG//gcvT//betB//
FNR_NarL_NarP	fliH//ybfN//flhC//hycF//glnK//purR//nfo//yiaJ//envZ//
FNR_NarL_NarP_NsrR	moaB//
FNR_NarL_NarP_NsrR_OxyR	nhaR//cysH//
FNR_NarL_NikR	glnK//paaF//mraY//napA//chbF//rhaB//
FNR_NsrR	rhaS//guaB//gntU//
FNR_OxyR	hyfB//
FNR_PurR	lrp//puuE//
FNR_YqjI	napD//
FabR_FadR	xylB//paaC//
FadR_IHF	tauC//
FadR_IclR	ascB//
FhlA_FlhDC	flgN//
FhlA_IHF_ModE_NsrR	gabD//pspC//nemR//aceK//fixX//hcr//cadB//zinT//citE//
FhlA_IHF_NsrR	mtr//
Fis_Fur	rrfF//
Fis_H-NS	pgaD//
Fis_H-NS_IHF_MntR_OxyR	dinI//
Fis_H-NS_Lrp	sufC//modC//rutG//patA//hisQ//nrdF//yjbH//ilvG_2//aceA//pflB//hycE//aroP//infB//gyrA//dusB//srlA//torD//sufC//oppC//hcr//lldR//gspJ//rutE//phoQ//
Fis_H-NS_Lrp_StpA	glpX//soxR//
Fis_IHF	murQ//
Fis_IHF_NtrC	nemA//zraR//
Fis_IHF_OmpR_RcsB	glpF//
Fis_Lrp	yiaK//nupG//glcB//xylA//torC//moeA//gspC//nanS//ccmH//
Fis_MazE_MazE-MazF	rrlA//
Fis_NarL	gadE//
Fis_NarL_NarP_NsrR	pflB//purH//
Fis_PurR	nuoM//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	appY//glgP//nrdH//
FliZ_RutR	appA//
Fur_H-NS	ccmA//entH//hycE//ansB//yjbG//uxuR//aceA//ftsL//fixA//ugpA//rplB//nrdI//ftsQ//
Fur_IHF_IscR_NsrR_OxyR	agaV//cydA//mdtD//fliA//zinT//aceF//
Fur_IscR_NrdR	fliH//hyaA//fadB//fau//
Fur_MetR	aroM//
Fur_MntR	treC//
Fur_MntR_OxyR	rbsB//
Fur_OxyR	fadH//
Fur_PurR	glcD//nrfD//
Fur_RcnR	gadW//xylG//
Fur_RutR	ynfE//
Fur_SoxS_Zur	narK//
Fur_YqjI	garL//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	pflB//cusS//
GadE-RcsB_H-NS	hybE//
GadE-RcsB_PhoB	fumA//
GadE-RcsB_Rob	lyxK//
GadE_GadX_H-NS_PhoP_RcsB	dppF//
GadE_H-NS_Lrp_NsrR	hyfG//
GadE_H-NS_MatA	ompW//
GadE_H-NS_RcsAB	atoE//
GadE_MarA_PurR	nemA//
GadW_GadX_RcsB	nmpC//
GalR_GalS	nuoA//
GlrR_IHF	rpsS//
H-NS_IHF	focB//codA//dadA//
H-NS_IHF_Lrp	dcuS//asnC//gltT//gspE//hyfF//mazG//fis//
H-NS_LeuO	gcvT//fdnH//
H-NS_LeuO_RcsB-BglJ_StpA	uxuA//
H-NS_LrhA_Lrp	rhaD//
H-NS_Lrp	nemA//casA//
H-NS_Lrp_NhaR_RcsB	bglB//
H-NS_Lrp_StpA	cydD//
H-NS_McbR	oppF//tcyJ//tauB//
H-NS_NhaR	ybjN//focB//
H-NS_OmpR	csgE//
H-NS_PhoB_RcdA_RstA	metB//
HU_IHF_TrpR_TyrR	frdA//
HU_IHF_TyrR	rrsB//
HigA_HigB-HigA	agaV//mhpE//
HipAB_HipB_IHF	cysM//dppA//
HypT_MetJ	glpX//serA//dctA//
HypT_MetJ_PhoP	bglG//nrdG//
IHF_Lrp	hipA//nanT//xylF//chiP//cbl//acs//appB//fimF//
IHF_NsrR	ilvI//
IHF_NtrC	dmsA//zinT//
IHF_PhoP	cadC//
IHF_PspF	rbsA//deoB//hyfA//ugpB//idnK//waaY//
IHF_RcsAB	fadB//gadX//casB//tauD//
IHF_RtcR	chbF//hybF//
IHF_TyrR	lsrR//
IHF_UlaR	dsdA//
LexA_MraZ_PdhR	araC//acrF//fucK//proV//metH//yiaN//rrlD//gadF//edd//hyaF//ftsQ//
LexA_MraZ_PdhR_RcsB_SdiA	rcsA//araG//
LexA_MraZ_PdhR_SdiA	ygiA//
LexA_NagC	araG//
LexA_RcdA	gcvH//
LexA_RcsB-BglJ	cusS//
MarA_OxyR_Rob_SoxS	hisM//gspH//cusA//cspE//
MarA_PhoP_Rob_SoxS	frdD//nemA//hyaF//relB//
MarA_Rob_SoxS	yoaG//sgbU//norV//galE//hypF//
MarA_SoxS	pspE//osmC//amtB//acs//pncB//
MetJ_MetR	katE//hybA//
MetJ_OxyR	hyfA//uxaC//
MetR_PurR	feoC//
MraZ_PdhR	idnT//fucR//
Nac_PurR	ilvX//mntP//
NarL_TorR	betI//gspG//relA//
NemR_RutR	focB//qseB//rpsQ//
NhaR_OmpR	fumC//puuB//gadF//mhpF//
NorR_NsrR	ydeO//
NsrR_PhoB	crp//
OxyR_SoxS	glpT//
PdhR_PhoP	creD//
PgrR_TyrR	metL//
PhoB_PhoP	pstS//
PhoP_PurR_RbsR	fixA//hns//
RelB_RelB-RelE	nrdE//hybE//fepB//
TrpR_TyrR	pgaB//gabP//appB//
YefM_YefM-YoeB	ilvI//lsrK//
