#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	sgrS//yrbL//
CRP_CaiF_FNR	murD//rplD//ynfH//fecB//
CRP_ChbR_NagC	nupC//feaR//betT//cas2//metY//ompF//
CRP_ComR	cspD//
CRP_CpxR	yoaG//
CRP_CpxR_CytR	malQ//
CRP_CpxR_CytR_DnaA_IHF	prpR//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	proX//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	gutQ//gatD//mdtE//araA//
CRP_Cra	rplD//gspM//fliI//osmY//citX//treB//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	nikD//fliI//nirD//sufB//
CRP_Cra_FNR_PdhR	mglA//
CRP_Cra_Fis	lldP//
CRP_Cra_Fis_GlcC	gyrA//
CRP_Cra_Fis_MtlR	hybO//citX//baeS//
CRP_Cra_Mlc_NagC	gltF//dcuB//rrfH//nanS//ftsQ//oppC//
CRP_Cra_PrpR	sucA//metE//cusA//mglB//
CRP_CreB_Fis_MalT	citC//caiA//fliF//
CRP_CsiR_H-NS_Lrp	rrfC//csgF//
CRP_CsiR_H-NS_Lrp_Nac	napD//alaT//tdcE//
CRP_CspA_Fis	oppA//
CRP_CytR	glcD//nuoI//fliC//
CRP_CytR_DeoR	exuT//uof//
CRP_CytR_DeoR_Fis_ModE	csgF//csgC//nuoC//cydC//
CRP_CytR_Nac	dppB//
CRP_CytR_NsrR	rprA//
CRP_DcuR_FNR_NarL	chbA//
CRP_DinJ-YafQ	gltW//
CRP_DnaA_Fis_PurR	betA//rpsO//
CRP_DpiA_ExuR	cyoE//
CRP_DsdC	fixB//higA//
CRP_EbgR	uxaB//yoeB//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	guaA//glnQ//
CRP_ExuR	dusB//
CRP_ExuR_FNR	citE//rseA//
CRP_ExuR_OxyR_UxuR	glcG//csgE//
CRP_ExuR_UxuR	alaU//
CRP_FNR	rplD//
CRP_FNR_FhlA_HyfR	higA//gspD//pstB//rpoS//grcA//glmY//fucI//treB//tpx//csgB//evgA//metB//
CRP_FNR_Fis	hyfC//nrdG//pspC//
CRP_FNR_Fis_GlpR_IHF	torD//rimK//
CRP_FNR_Fis_H-NS_SlyA	mhpA//
CRP_FNR_GcvA_Lrp_PurR	tcyJ//cadB//nikD//
CRP_FNR_H-NS_NarL	rnpB//
CRP_FNR_IHF_TdcA_TdcR	sufB//pncB//rprA//rutE//cbl//atoD//rhaS//
CRP_FNR_NarL	ugpA//purH//gapA//
CRP_FeaR_NsrR	fucP//
CRP_Fis	ebgC//araH//fucP//ftsI//cydB//
CRP_Fis_FlhDC_GalR_GalS	folA//oppF//
CRP_Fis_FliZ_IHF_Lrp	nuoB//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	galP//araA//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	rutG//dinI//astD//
CRP_Fis_IHF	ilvL//ugpB//acrD//dctR//feaR//
CRP_Fis_NanR	ulaG//fumA//casA//nfsA//galK//
CRP_Fis_NtrC	flgN//dpiB//pyrC//
CRP_Fis_XylR	dppF//fumA//hybD//
CRP_FlhDC_GalR_GalS	tauC//
CRP_FucR	lacY//rrsC//nuoK//patA//garP//dcuB//cysP//
CRP_Fur	ygiA//mglB//narJ//nanK//fecC//putP//deoB//metK//gspG//
CRP_Fur_HypT_PdhR	glpF//poxB//baeR//paaJ//mazF//
CRP_Fur_OxyR_SoxS	aroG//
CRP_GalR_GalS	mdtE//
CRP_GalR_GalS_H-NS_HU	fadB//araA//appC//cysH//
CRP_GalR_GalS_NagC	gspD//
CRP_GlpR	yrbL//uidC//gabT//
CRP_GntR	idnR//poxB//
CRP_GntR_IdnR	paaG//nuoJ//oppB//mntP//nuoL//glcG//nuoE//
CRP_GntR_IscR	gatC//
CRP_GutM_GutR_H-NS	napC//araC//entC//agaV//garR//srlE//treC//
CRP_H-NS	relA//
CRP_H-NS_HipAB_HipB_NtrC	lsrA//
CRP_H-NS_LacI	ssuE//nrdD//oppB//
CRP_H-NS_LeuO	codA//poxB//hypE//melA//glcB//atoE//ahpF//
CRP_H-NS_MqsA	ccmD//
CRP_IHF	mnmG//yhiD//murD//rhaS//
CRP_IHF_MprA_OmpR	acnB//
CRP_IHF_NsrR	malI//
CRP_IHF_PaaX	dppB//tauA//napG//galP//hyfJ//gspD//pqiB//yiaM//fepA//hdeA//ydhU//flhD//
CRP_IHF_UlaR	rpsI//sufC//dcuB//paaD//ddlB//casC//
CRP_IHF_YiaJ	fadD//mntH//mioC//argP//hisQ//acrE//araB//lsrC//ptsG//fadE//
CRP_LexA	gltV//
CRP_Lrp	hmp//hyaD//nrdD//hycE//
CRP_Lrp_Mlc	uxuB//
CRP_Lrp_Nac	adiA//
CRP_LsrR	nhaA//nemR//fliG//chbG//paaZ//hemA//hisM//yhjA//astC//
CRP_MalI	oppA//lamB//feoB//
CRP_MalT	manX//mhpF//uxuB//
CRP_MalT_PhoP	sufA//
CRP_MelR	csiE//hpt//chbF//
CRP_MetJ	gspJ//
CRP_MhpR	ompF//ftsL//pstS//rseA//pheM//fadL//
CRP_Mlc	mglA//lysA//
CRP_ModE	glnH//lysP//creD//
CRP_MurR	cysH//rplB//
CRP_Nac_NsrR_PhoB	hupB//
CRP_NadR	sgbH//
CRP_NagC	sucA//sufA//yjbG//iraM//ydhV//mglB//
CRP_NagC_NanR	fadD//agaW//aer//
CRP_NagC_PhoP	nuoE//
CRP_OxyR	idnO//
CRP_OxyR_UxuR	asnC//
CRP_PhoB	leuO//glpF//fau//guaB//ycdZ//pgaC//
CRP_PhoP	gutQ//ssuA//codB//
CRP_PutA	uhpT//
CRP_RbsR	ihfA//iclR//sgbE//rseB//dcuR//ycdZ//
CRP_RhaR_RhaS	gatZ//pgaC//
CRP_RhaS	sufS//fhlA//betA//
CRP_Rob	mhpF//
CRP_TorR	rpoS//tnaA//yeaR//
CRP_UhpA_UvrY	cusF//
CRP_UidR_UxuR	caiC//prpR//casB//
CRP_UvrY	osmC//
CRP_YehT	fecB//
CRP_ZraR	mazE//ydhW//
CadC_FNR_H-NS_LeuO_MlrA	fpr//
Cbl_CysB	hypE//gatC//sucB//soxS//
Cbl_CysB_FNR_IHF	rpsI//ilvM//crp//gspC//rutE//
CdaR_FNR_Fis_Fur_H-NS	lamB//
CdaR_FNR_Fur_H-NS	aceB//rbsC//mpl//nrdI//
CpxR_CsgD_FliZ	bglG//prpB//ydeP//
CpxR_CysB	nagE//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	xylR//
CpxR_GadE	rplW//envZ//fepB//ydhY//
CpxR_H-NS	katE//
CpxR_NsrR	glpA//
CpxR_RcsB	glcB//
CpxR_TyrR	rplB//
Cra_FNR_Fis_Lrp_NarL	metH//
Cra_FNR_Fur_MarA_Rob_SoxS	fadE//
Cra_FhlA_FlhDC	poxB//
Cra_GntR_KdgR	purD//
Cra_GntR_KdgR_PhoB	dppC//
Cra_MarA_SoxS	sdhC//
Cra_PdeL	malY//
Cra_SgrR	dmsC//puuB//glpK//
Cra_TyrR	hlyE//
CreB_NagC	fdnI//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	fliH//
CsgD_FlhDC	fixA//mraZ//fau//fecB//yqjI//gspK//paaJ//paaB//icd//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	ygiB//acrD//
CspA_Fis_GadX_H-NS	gnd//
CueR_FNR_ModE	patA//glnG//yoeB//cusF//fhuF//
CusR_PhoB_YedW	gspM//rrfC//pgaC//moaA//prpB//aroL//yoaG//
CysB_H-NS	ynfK//ftsA//proX//nrdG//rcnA//
CysB_HypT_IHF	gltW//
CysB_IHF	crr//tyrP//
CysB_NtrC	napF//
CysB_PhoP	waaY//
DcuR_FNR_NarL	dadX//epd//cirA//marA//
DinJ-YafQ_LexA	csgA//galR//
DpiA_H-NS	fadJ//
DsdC_NsrR	fliJ//
EvgA_FNR	marA//ybjN//
EvgA_H-NS	appX//sdhB//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	chbR//
EvgA_H-NS_PhoP_RcsB_YdeO	alaV//
EvgA_PhoP_RcsB_YdeO	yoaG//
ExuR_UxuR	lacA//lsrR//
FNR_FhlA_IHF_NsrR	fpr//hdeA//cyoC//ynfE//puuA//
FNR_FhlA_NarL_NarP	pgaD//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	hyfR//yhiM//lyxK//malX//higA//uidB//nirC//
FNR_Fis_IHF_ModE_NarL	rrlH//rhaR//atoA//
FNR_Fis_IHF_NarL	uxaC//
FNR_Fis_IHF_NarL_RstA	rtcA//ptsH//astB//fau//
FNR_FlhDC	chbF//
FNR_FlhDC_IscR_ModE_NarL_NarP	glnP//ygiB//gltW//glnD//frdD//gspG//accB//
FNR_FlhDC_ModE_NarL_NarP	astC//hycA//acs//marB//rutC//dppD//yiaL//rutD//
FNR_Fur	fadJ//fiu//
FNR_Fur_GadE	setA//
FNR_Fur_GadX_NtrC	ugpC//ascB//
FNR_Fur_H-NS	ebgC//rhaR//zinT//iclR//
FNR_Fur_MetR_NsrR	rseA//
FNR_Fur_Nac_NtrC	nrdI//
FNR_Fur_NagC	gadC//xylH//aceA//
FNR_Fur_OxyR	nupC//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	mpl//
FNR_H-NS	pstC//nanM//
FNR_H-NS_NrdR	frdD//gatC//
FNR_IHF	araJ//manY//asnC//mhpC//tnaC//
FNR_IHF_Lrp_YeiL	nrdA//
FNR_IHF_NarL_NarP_NorR	eda//rrfA//
FNR_IHF_PhoB	appA//uidB//glnA//rpsC//ccmA//
FNR_MalT	glcF//modA//
FNR_ModE	ubiC//molR_1//
FNR_NarL	fdnG//nuoC//nemR//metQ//sroD//gspF//
FNR_NarL_NarP	ygiA//lrp//casC//yciF//dsdX//glnL//rplP//idnO//yefM//
FNR_NarL_NarP_NsrR	mdtE//
FNR_NarL_NarP_NsrR_OxyR	ogt//cusR//
FNR_NarL_NikR	marA//metR//evgS//ilvI//feoB//rhaD//
FNR_NsrR	gadY//rrlA//zraS//
FNR_OxyR	yhiD//
FNR_PurR	truB//sdhD//
FNR_YqjI	zraS//
FabR_FadR	evgA//higA//
FadR_IHF	cadA//
FadR_IclR	accC//
FhlA_FlhDC	rrlG//
FhlA_IHF_ModE_NsrR	nuoB//ebgA//gloA//glpK//lhgO//gatC//exuT//paaZ//malK//
FhlA_IHF_NsrR	cysG//
Fis_Fur	nagB//
Fis_H-NS	nanA//
Fis_H-NS_IHF_MntR_OxyR	glpB//
Fis_H-NS_Lrp	ccmB//ptsI//acnB//fumC//gntP//nrfE//srlD//yeaR//tdcA//hybO//ybdZ//nrdD//astB//rplC//nirC//ulaA//malX//fliI//nagE//fecE//ubiA//mglA//sufC//baeR//
Fis_H-NS_Lrp_StpA	gntT//oppF//
Fis_IHF	rnpB//
Fis_IHF_NtrC	fepA//mpl//
Fis_IHF_OmpR_RcsB	ydhV//
Fis_Lrp	tdcF//hyaE//appB//tomB//gabP//ybdN//iclR//hypC//iclR//
Fis_MazE_MazE-MazF	sdhD//
Fis_NarL	tdcG//
Fis_NarL_NarP_NsrR	gspG//flhC//
Fis_PurR	mtlD//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	rplB//napH//gspJ//
FliZ_RutR	ydeN//
Fur_H-NS	aldA//fimB//dpiB//fnr//sdhB//ybfN//oppB//mhpC//ilvG_2//treC//ogt//lacA//glnH//
Fur_IHF_IscR_NsrR_OxyR	acs//alaV//epd//argD//entE//gabD//
Fur_IscR_NrdR	hybE//rrfB//ascB//udp//
Fur_MetR	fdnG//
Fur_MntR	agaV//
Fur_MntR_OxyR	nusA//
Fur_OxyR	nikC//
Fur_PurR	csgF//pspC//
Fur_RcnR	nemR//glpD//
Fur_RutR	fliH//
Fur_SoxS_Zur	cirA//
Fur_YqjI	lpxD//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	waaY//kbaZ//
GadE-RcsB_H-NS	ftsI//
GadE-RcsB_PhoB	mhpC//
GadE-RcsB_Rob	hyfF//
GadE_GadX_H-NS_PhoP_RcsB	nanK//
GadE_H-NS_Lrp_NsrR	fliA//
GadE_H-NS_MatA	nrfC//
GadE_H-NS_RcsAB	relB//
GadE_MarA_PurR	nfo//
GadW_GadX_RcsB	fpr//
GalR_GalS	hlyE//
GlrR_IHF	napD//
H-NS_IHF	fur//putP//cysW//
H-NS_IHF_Lrp	feaR//fucO//entC//rcnA//rrlD//mioC//rbsR//
H-NS_LeuO	rplP//rplP//
H-NS_LeuO_RcsB-BglJ_StpA	fucP//
H-NS_LrhA_Lrp	rrfC//
H-NS_Lrp	csgD//ptsG//
H-NS_Lrp_NhaR_RcsB	lamB//
H-NS_Lrp_StpA	ynfH//
H-NS_McbR	dinJ//rplM//rutG//
H-NS_NhaR	rpoH//micF//
H-NS_OmpR	pdeL//
H-NS_PhoB_RcdA_RstA	yrbL//
HU_IHF_TrpR_TyrR	gnd//
HU_IHF_TyrR	atoB//
HigA_HigB-HigA	fimC//hybD//
HipAB_HipB_IHF	aroP//dps//
HypT_MetJ	gltB//dcuA//yqjH//
HypT_MetJ_PhoP	gspE//alaT//
IHF_Lrp	feoB//aslB//dinI//entE//araD//ynfF//cusC//gadY//
IHF_NsrR	hybG//
IHF_NtrC	metI//hokD//
IHF_PhoP	rrsH//
IHF_PspF	sucA//melB//soxR//malF//galS//ebgA//
IHF_RcsAB	hycF//nikC//sbmC//modB//
IHF_RtcR	cyoE//nagB//
IHF_TyrR	proP//
IHF_UlaR	mtlD//
LexA_MraZ_PdhR	rbsD//accB//paaK//qseB//moaC//aslB//fadD//sgrT//rrfF//rpoE//fumC//
LexA_MraZ_PdhR_RcsB_SdiA	dctR//focA//
LexA_MraZ_PdhR_SdiA	yjjQ//
LexA_NagC	zraS//
LexA_RcdA	malI//
LexA_RcsB-BglJ	modC//
MarA_OxyR_Rob_SoxS	purH//sulA//csgE//csgA//
MarA_PhoP_Rob_SoxS	carB//ompR//aceA//hyaC//
MarA_Rob_SoxS	mazG//mnmG//fimE//hybA//ilvE//
MarA_SoxS	glyA//fliI//glpF//nhaR//nrfC//
MetJ_MetR	dppA//yaiA//
MetJ_OxyR	gntT//hemL//
MetR_PurR	fimD//
MraZ_PdhR	fucI//mglB//
Nac_PurR	hyaC//yeaR//
NarL_TorR	chbG//yiaK//prpB//
NemR_RutR	fabB//flgN//lacY//
NhaR_OmpR	hybE//csgE//mnmG//sra//
NorR_NsrR	frdB//
NsrR_PhoB	idnO//
OxyR_SoxS	mglA//
PdhR_PhoP	gabT//
PgrR_TyrR	hybE//
PhoB_PhoP	yiaN//
PhoP_PurR_RbsR	oppA//gspJ//
RelB_RelB-RelE	rseA//asnC//gcvP//
TrpR_TyrR	tyrP//glgC//tdcA//
YefM_YefM-YoeB	tpx//dnaA//
