#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	ccmD//rrfA//
CRP_FNR_FhlA_HyfR	fumC//rhaT//ackA//murD//metQ//pncB//rplP//tauA//rrfG//higB//malE//fecA//
CRP_FNR_Fis	gltW//carB//mtr//
CRP_FNR_Fis_GlpR_IHF	gatC//xylH//
CRP_FNR_Fis_H-NS_SlyA	malI//
CRP_FNR_GcvA_Lrp_PurR	gdhA//fliK//araE//
CRP_FNR_H-NS_NarL	fliK//
CRP_FNR_IHF_TdcA_TdcR	betI//ptsG//focB//pdeL//aspA//aldA//cydA//
CRP_FNR_NarL	hypF//araA//fixB//
CRP_FeaR_NsrR	hdeA//
CRP_Fis	dnaA//chbR//cydD//ascF//higA//
CRP_Fis_FlhDC_GalR_GalS	flhC//rseB//
CRP_Fis_FliZ_IHF_Lrp	srlD//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	putA//fucA//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	inaA//aceE//ftsA//
CRP_Fis_IHF	ssuB//narI//ftsI//sufB//nrdH//
CRP_Fis_NanR	rrfC//glcG//ascF//epd//gcvP//
CRP_Fis_NtrC	glnK//casE//gadY//
CRP_Fis_XylR	hycB//ybfN//fixA//
CRP_FlhDC_GalR_GalS	cas1//
CRP_FucR	nupG//nanM//nagA//uspA//pdeR//mdtE//rhaD//
CRP_Fur	yiaM//galS//pgaA//hycG//dcuR//cas1//ygiA//xylH//cas1//
CRP_Fur_HypT_PdhR	fimI//rsmH//pgaD//aroG//yiaN//
CRP_Fur_OxyR_SoxS	rob//
CRP_GalR_GalS	hycH//
CRP_GalR_GalS_H-NS_HU	carA//agaA//yjbG//ssuE//
CRP_GalR_GalS_NagC	yeiL//
CRP_GlpR	edd//ilvD//tdcG//
CRP_GntR	aroA//moaA//
CRP_GntR_IdnR	rbsR//yiaO//treB//idnR//lpxA//frdC//ftsL//
CRP_GntR_IscR	gltF//
CRP_GutM_GutR_H-NS	rplT//fadA//hipA//yfaE//metR//malK//betB//
CRP_H-NS	caiF//
CRP_H-NS_HipAB_HipB_NtrC	galM//
CRP_H-NS_LacI	aroG//ssuA//ydhV//
CRP_H-NS_LeuO	hycE//atoB//hypC//aldB//adiC//appY//katG//
CRP_H-NS_MqsA	sodA//
CRP_IHF	pdeR//flgM//dppF//sufE//
CRP_IHF_MprA_OmpR	cspA//
CRP_IHF_NsrR	accC//
CRP_IHF_PaaX	fixC//fadB//narL//mdh//entC//astE//mhpE//rnpB//pgaD//hypE//gadW//torD//
CRP_IHF_UlaR	nirC//astC//osmC//dppF//hyfI//trg//
CRP_IHF_YiaJ	hyfR//lgoR//yeaR//tdcC//nmpC//dmsD//qseB//nrfE//dcuD//nagE//
CRP_LexA	hyfR//
CRP_Lrp	hemA//ynfH//narJ//rrfE//
CRP_Lrp_Mlc	cbl//
CRP_Lrp_Nac	degP//
CRP_LsrR	gspG//fucU//waaZ//modB//casC//metL//entB//uhpT//mglB//
CRP_MalI	katG//higA//nrfC//
CRP_MalT	fur//napG//gnd//
CRP_MalT_PhoP	mdtA//
CRP_MelR	oppF//hyaC//guaB//
CRP_MetJ	nupC//
CRP_MhpR	araG//yeaR//lamB//dinI//rrsH//emrY//
CRP_Mlc	fhlA//mraZ//
CRP_ModE	tdcF//rutA//fliA//
CRP_MurR	citE//gapA//
CRP_Nac_NsrR_PhoB	gabD//
CRP_NadR	bglG//
CRP_NagC	narL//setA//hybE//proW//purN//pqiB//
CRP_NagC_NanR	rrfD//melA//casB//
CRP_NagC_PhoP	rplW//
CRP_OxyR	xylR//
CRP_OxyR_UxuR	entD//
CRP_PhoB	nanM//sufD//fiu//fau//dpiA//hybE//
CRP_PhoP	gltW//glpT//relA//
CRP_PutA	srlE//
CRP_RbsR	pgaD//nupG//napG//glpK//fecD//aceE//
CRP_RhaR_RhaS	pstB//ynfG//
CRP_RhaS	tdcA//cbl//nrfA//
CRP_Rob	mntP//
CRP_TorR	dcuS//citC//fadD//
CRP_UhpA_UvrY	ompF//
CRP_UidR_UxuR	ssuC//gspL//ccmF//
CRP_UvrY	gutM//
CRP_YehT	tyrR//
CRP_ZraR	hycH//ubiA//
CadC_FNR_H-NS_LeuO_MlrA	fabA//
Cbl_CysB	rbsA//gspJ//hybF//cydB//
Cbl_CysB_FNR_IHF	qseC//rutE//cyoD//nac//fhuF//
CdaR_FNR_Fis_Fur_H-NS	rhaS//
CdaR_FNR_Fur_H-NS	feaR//tsx//sgbU//lpxC//
CpxR_CsgD_FliZ	ftnA//ahpF//mglB//
CpxR_CysB	gatC//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	fliZ//
CpxR_GadE	pstB//feoA//prmC//sufS//
CpxR_H-NS	lsrD//
CpxR_NsrR	rbsK//
CpxR_RcsB	mhpB//
CpxR_TyrR	hypF//
Cra_FNR_Fis_Lrp_NarL	purD//
Cra_FNR_Fur_MarA_Rob_SoxS	gadC//
Cra_FhlA_FlhDC	rplM//
Cra_GntR_KdgR	crp//
Cra_GntR_KdgR_PhoB	rcnB//
Cra_MarA_SoxS	narI//
Cra_PdeL	chbG//
Cra_SgrR	ydhW//melR//citX//
Cra_TyrR	pheM//
CreB_NagC	betB//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	yecR//
CsgD_FlhDC	lpxD//yiaJ//fepA//hyfH//lysA//fecA//entA//ileT//nuoE//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	ydeP//zwf//
CspA_Fis_GadX_H-NS	bglF//
CueR_FNR_ModE	metK//pspE//entF//yoaG//gadY//
CusR_PhoB_YedW	appB//fecB//csgB//nrfA//cusA//gspH//metH//
CysB_H-NS	betB//gspD//gltU//modC//ydhV//
CysB_HypT_IHF	bolA//
CysB_IHF	rrfF//nikE//
CysB_NtrC	cspD//
CysB_PhoP	feaB//
DcuR_FNR_NarL	fimC//malI//cydD//hcp//
DinJ-YafQ_LexA	murC//ilvA//
DpiA_H-NS	pheM//
DsdC_NsrR	idnK//
EvgA_FNR	higB//nfsA//
EvgA_H-NS	ilvI//hdeB//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	lsrK//
EvgA_H-NS_PhoP_RcsB_YdeO	gdhA//
EvgA_PhoP_RcsB_YdeO	ccmC//
ExuR_UxuR	crr//sroD//
FNR_FhlA_IHF_NsrR	gspO//ssb//hha//gatY//rrlE//
FNR_FhlA_NarL_NarP	fimE//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	rpsQ//rrfD//aldA//ydhY//fadB//nanA//tnaC//
FNR_Fis_IHF_ModE_NarL	dadA//nuoI//alaU//
FNR_Fis_IHF_NarL	hyfF//
FNR_Fis_IHF_NarL_RstA	ftsA//sufE//araA//narG//
FNR_FlhDC	ydhX//
FNR_FlhDC_IscR_ModE_NarL_NarP	frdB//lsrD//pgk//rtcA//cyaR//nrdH//fucP//
FNR_FlhDC_ModE_NarL_NarP	aceE//gloA//ilvI//galE//purA//atoE//glgC//sufC//
FNR_Fur	ogt//rhaR//
FNR_Fur_GadE	cyoC//
FNR_Fur_GadX_NtrC	yhiD//rrlD//
FNR_Fur_H-NS	glnP//nrdA//feaB//aroA//
FNR_Fur_MetR_NsrR	ubiA//
FNR_Fur_Nac_NtrC	yhiD//
FNR_Fur_NagC	yjbG//melR//alaT//
FNR_Fur_OxyR	gabT//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	yeiL//
FNR_H-NS	fucI//dgcZ//
FNR_H-NS_NrdR	puuP//aldB//
FNR_IHF	gspD//ftsZ//hycG//gnd//aspC//
FNR_IHF_Lrp_YeiL	araA//
FNR_IHF_NarL_NarP_NorR	caiC//inaA//
FNR_IHF_PhoB	ilvH//emrY//pqiB//hypB//ulaB//
FNR_MalT	nusA//astB//
FNR_ModE	safA//alaU//
FNR_NarL	tomB//glgP//epd//dpiB//moaB//oxyR//
FNR_NarL_NarP	sdhB//gabP//rseA//hycC//lsrG//malI//ccmC//relB//yiaM//
FNR_NarL_NarP_NsrR	metK//
FNR_NarL_NarP_NsrR_OxyR	soxR//rutC//
FNR_NarL_NikR	gatA//ssuB//pyrC//zraR//malE//cspI//
FNR_NsrR	uspA//uspA//rcnA//
FNR_OxyR	fixA//
FNR_PurR	zinT//hybB//
FNR_YqjI	modA//
FabR_FadR	glcA//fimE//
FadR_IHF	glgA//
FadR_IclR	pstC//
FhlA_FlhDC	nuoE//
FhlA_IHF_ModE_NsrR	fucI//fpr//hokD//casE//relA//betI//rrfH//cspA//dppD//
FhlA_IHF_NsrR	gspE//
Fis_Fur	gadF//
Fis_H-NS	codA//
Fis_H-NS_IHF_MntR_OxyR	araF//
Fis_H-NS_Lrp	nuoH//mpl//idnK//xylF//leuO//oppB//malM//ccmH//nikC//gapA//baeS//accB//puuA//ilvE//glpB//tnaC//glnH//ftsZ//rutE//frdC//uvrA//murC//aceF//puuB//
Fis_H-NS_Lrp_StpA	galS//yaiA//
Fis_IHF	pgaC//
Fis_IHF_NtrC	moaA//envZ//
Fis_IHF_OmpR_RcsB	pstA//
Fis_Lrp	cusS//hpt//osmE//nrfA//rplT//hyfE//pncB//glnA//gadC//
Fis_MazE_MazE-MazF	ssrS//
Fis_NarL	marB//
Fis_NarL_NarP_NsrR	rrsB//rrfH//
Fis_PurR	aspA//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	narI//ynfG//hybB//
FliZ_RutR	relA//
Fur_H-NS	feaB//aidB//osmC//hyfC//tdcE//hybA//glgP//yoeB//leuO//gspH//yefM//gspL//rrsG//
Fur_IHF_IscR_NsrR_OxyR	nanM//deoD//ilvG_1//emrY//sgbH//lyxK//
Fur_IscR_NrdR	garL//yecR//glnH//norW//
Fur_MetR	micF//
Fur_MntR	nupG//
Fur_MntR_OxyR	mpl//
Fur_OxyR	fabB//
Fur_PurR	tdcB//purM//
Fur_RcnR	hycG//betT//
Fur_RutR	degP//
Fur_SoxS_Zur	feoC//
Fur_YqjI	cspI//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	rrlB//fliZ//
GadE-RcsB_H-NS	rseC//
GadE-RcsB_PhoB	glcF//
GadE-RcsB_Rob	ulaD//
GadE_GadX_H-NS_PhoP_RcsB	tdcD//
GadE_H-NS_Lrp_NsrR	lsrC//
GadE_H-NS_MatA	stpA//
GadE_H-NS_RcsAB	nikB//
GadE_MarA_PurR	mdh//
GadW_GadX_RcsB	rimK//
GalR_GalS	infB//
GlrR_IHF	gltF//
H-NS_IHF	srlR//glcG//dcuS//
H-NS_IHF_Lrp	nikD//ygiC//mdh//murD//aroA//appC//hemA//
H-NS_LeuO	murE//hycH//
H-NS_LeuO_RcsB-BglJ_StpA	rbsB//
H-NS_LrhA_Lrp	ydeN//
H-NS_Lrp	ompF//purH//
H-NS_Lrp_NhaR_RcsB	chbF//
H-NS_Lrp_StpA	exuT//
H-NS_McbR	yiaL//dsdX//appY//
H-NS_NhaR	hmp//pqiA//
H-NS_OmpR	rseA//
H-NS_PhoB_RcdA_RstA	cydA//
HU_IHF_TrpR_TyrR	murF//
HU_IHF_TyrR	ansB//
HigA_HigB-HigA	katG//appA//
HipAB_HipB_IHF	appC//lacZ//
HypT_MetJ	yqjI//napA//fepE//
HypT_MetJ_PhoP	fdhF//glgP//
IHF_Lrp	glcE//citG//evgA//hypE//melR//ugpQ//araG//entE//
IHF_NsrR	malQ//
IHF_NtrC	hybA//puuD//
IHF_PhoP	nrdF//
IHF_PspF	metB//rcnA//malG//malS//mtlR//pnp//
IHF_RcsAB	gadX//ftsA//cbl//gcvP//
IHF_RtcR	gcvT//garL//
IHF_TyrR	yjcH//
IHF_UlaR	lysA//
LexA_MraZ_PdhR	ompF//tcyJ//srlB//fimI//pgaC//paaG//hyfR//rtcA//purM//mntH//glpT//
LexA_MraZ_PdhR_RcsB_SdiA	nuoE//mlc//
LexA_MraZ_PdhR_SdiA	cusC//
LexA_NagC	pdeR//
LexA_RcdA	lsrG//
LexA_RcsB-BglJ	fimC//
MarA_OxyR_Rob_SoxS	dsdC//proP//folA//fadL//
MarA_PhoP_Rob_SoxS	yhcH//gcd//rplP//serC//
MarA_Rob_SoxS	puuP//bglJ//fabB//bamE//ytfE//
MarA_SoxS	nhaR//ssuB//fucO//rrfC//ftsI//
MetJ_MetR	ybjN//cysB//
MetJ_OxyR	ynfH//acrZ//
MetR_PurR	uxuR//
MraZ_PdhR	nagA//ppiA//
Nac_PurR	hybC//rrfH//
NarL_TorR	grcA//hyfB//glnQ//
NemR_RutR	nuoE//tdcA//gatD//
NhaR_OmpR	glnA//rrfB//osmC//gcvH//
NorR_NsrR	fadJ//
NsrR_PhoB	marB//
OxyR_SoxS	mtlD//
PdhR_PhoP	moaA//
PgrR_TyrR	sgrS//
PhoB_PhoP	cysA//
PhoP_PurR_RbsR	norR//chbR//
RelB_RelB-RelE	gspF//ahpC//mdtB//
TrpR_TyrR	gltW//pdeR//hycG//
YefM_YefM-YoeB	nfsB//fdnI//
