#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	rrsB//chbF//
EvgA_H-NS_PhoP_RcsB_YdeO	murQ//
EvgA_PhoP_RcsB_YdeO	fixX//
ExuR_UxuR	pgk//crp//
FNR_FhlA_IHF_NsrR	rcnB//fixB//sufA//nikE//argG//
FNR_FhlA_NarL_NarP	fadJ//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	ndh//feaB//ilvX//rpsJ//mglA//puuC//garL//
FNR_Fis_IHF_ModE_NarL	rhaS//glnH//ygeA//
FNR_Fis_IHF_NarL	purM//
FNR_Fis_IHF_NarL_RstA	ydhX//fucK//mglC//pck//
FNR_FlhDC	higA//
FNR_FlhDC_IscR_ModE_NarL_NarP	cysW//citF//glpD//citD//lsrA//sgrT//osmC//
FNR_FlhDC_ModE_NarL_NarP	hdeA//aroL//rtcB//glnQ//mraZ//nagE//alaU//ycdZ//
FNR_Fur	nuoK//prpB//
FNR_Fur_GadE	sdhA//
FNR_Fur_GadX_NtrC	hycD//treB//
FNR_Fur_H-NS	citG//acrD//gutQ//ilvX//
FNR_Fur_MetR_NsrR	metN//
FNR_Fur_Nac_NtrC	galK//
FNR_Fur_NagC	rhaR//hyaA//zraS//
FNR_Fur_OxyR	nrdG//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	fimC//
FNR_H-NS	metQ//nrdB//
FNR_H-NS_NrdR	dnaA//gspC//
FNR_IHF	rutC//mhpE//fixA//psiE//nac//
FNR_IHF_Lrp_YeiL	yciE//
FNR_IHF_NarL_NarP_NorR	hdeD//norV//
FNR_IHF_PhoB	paaB//aceA//dnaN//puuA//araF//
FNR_MalT	molR_1//rpoH//
FNR_ModE	ogt//nhaR//
FNR_NarL	casE//tnaA//mdtA//dppB//marR//ynfH//
FNR_NarL_NarP	fur//napB//yjbH//tauB//ompR//ilvD//sucC//hisM//ompW//
FNR_NarL_NarP_NsrR	lsrR//
FNR_NarL_NarP_NsrR_OxyR	hdeA//hyfJ//
FNR_NarL_NikR	idnO//dsdC//dmsD//ompR//glnH//murD//
FNR_NsrR	aroP//paaE//glcE//
FNR_OxyR	rutD//
FNR_PurR	murQ//ftsA//
FNR_YqjI	fucU//
FabR_FadR	uhpT//csgF//
FadR_IHF	cspA//
FadR_IclR	nanA//
FhlA_FlhDC	tam//
FhlA_IHF_ModE_NsrR	dpiA//frdA//hyaF//lldD//appC//rtcA//hmp//purH//ccmD//
FhlA_IHF_NsrR	gltT//
Fis_Fur	pflB//
Fis_H-NS	hlyE//
Fis_H-NS_IHF_MntR_OxyR	entB//
Fis_H-NS_Lrp	frdD//mntH//sufC//puuE//ilvL//rseA//hyfE//dpiB//manZ//srlR//ssuE//feoA//metK//bglB//nuoI//pstA//lsrB//hisQ//putA//grcA//citC//murC//hokD//rrlD//
Fis_H-NS_Lrp_StpA	napC//lsrK//
Fis_IHF	iclR//
Fis_IHF_NtrC	yiaJ//nanM//
Fis_IHF_OmpR_RcsB	psiE//
Fis_Lrp	rcnA//galM//nuoL//recF//rutE//asr//tpx//aceA//entC//
Fis_MazE_MazE-MazF	nuoH//
Fis_NarL	uhpT//
Fis_NarL_NarP_NsrR	idnT//tdcE//
Fis_PurR	dnaN//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	dppA//gltB//fixB//
FliZ_RutR	icd//
Fur_H-NS	lsrB//trg//nanE//rpsI//yqjH//tauD//rrsC//prpE//fadA//rutD//codB//yjbG//caiB//
Fur_IHF_IscR_NsrR_OxyR	uxaB//tnaC//hyfG//paaG//marR//slp//
Fur_IscR_NrdR	yiaJ//mtlA//glcD//ulaA//
Fur_MetR	cysB//
Fur_MntR	rrfF//
Fur_MntR_OxyR	glnK//
Fur_OxyR	pstC//
Fur_PurR	inaA//csrC//
Fur_RcnR	udp//rrlA//
Fur_RutR	paaB//
Fur_SoxS_Zur	narG//
Fur_YqjI	gatA//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	cadC//mtlA//
GadE-RcsB_H-NS	hyfF//
GadE-RcsB_PhoB	lldP//
GadE-RcsB_Rob	relE//
GadE_GadX_H-NS_PhoP_RcsB	adhE//
GadE_H-NS_Lrp_NsrR	aceK//
GadE_H-NS_MatA	sufS//
GadE_H-NS_RcsAB	ddlB//
GadE_MarA_PurR	codB//
GadW_GadX_RcsB	gspH//
GalR_GalS	metE//
GlrR_IHF	mntH//
H-NS_IHF	hyfE//nrdB//xylR//
H-NS_IHF_Lrp	malF//yeiL//citD//nrfB//rrlG//rplD//atoE//
H-NS_LeuO	frdC//glnK//
H-NS_LeuO_RcsB-BglJ_StpA	prpC//
H-NS_LrhA_Lrp	acrE//
H-NS_Lrp	mdtD//cusR//
H-NS_Lrp_NhaR_RcsB	hyfB//
H-NS_Lrp_StpA	caiE//
H-NS_McbR	paaZ//prmC//appA//
H-NS_NhaR	gadA//napC//
H-NS_OmpR	narL//
H-NS_PhoB_RcdA_RstA	garR//
HU_IHF_TrpR_TyrR	rbsA//
HU_IHF_TyrR	fadD//
HigA_HigB-HigA	cytR//aslB//
HipAB_HipB_IHF	ydhY//yeaR//
HypT_MetJ	nikR//hypA//tauA//
HypT_MetJ_PhoP	paaI//paaG//
IHF_Lrp	pspB//fadB//gadF//tyrR//rplC//iclR//malP//narH//
IHF_NsrR	idnT//
IHF_NtrC	citD//aslB//
IHF_PhoP	tdcF//
IHF_PspF	sgbH//metN//narH//ygiA//yqjH//rnpB//
IHF_RcsAB	fucA//tyrR//rpmC//nuoJ//
IHF_RtcR	pgaA//paaB//
IHF_TyrR	relE//
IHF_UlaR	aceB//
LexA_MraZ_PdhR	glyA//tdcG//nagC//cyoD//fimB//putA//cysP//lacA//gntP//fbaA//rutG//
LexA_MraZ_PdhR_RcsB_SdiA	araD//serA//
LexA_MraZ_PdhR_SdiA	dmsA//
LexA_NagC	chbR//
LexA_RcdA	crr//
LexA_RcsB-BglJ	rimK//
MarA_OxyR_Rob_SoxS	dcuC//napF//nuoF//zinT//
MarA_PhoP_Rob_SoxS	galT//xylA//hycB//fecC//
MarA_Rob_SoxS	ugpE//rbsA//yjbE//gadY//rplP//
MarA_SoxS	hybC//mhpE//nhaR//dmsA//rpsJ//
MetJ_MetR	citE//napD//
MetJ_OxyR	marR//feaR//
MetR_PurR	alaU//
MraZ_PdhR	ilvM//focB//
Nac_PurR	lsrB//fliJ//
NarL_TorR	aroG//glpQ//ulaB//
NemR_RutR	rrsG//yciE//cysI//
NhaR_OmpR	hyaD//rrsH//hycC//malE//
NorR_NsrR	oppA//
NsrR_PhoB	aspC//
OxyR_SoxS	rutG//
PdhR_PhoP	paaB//
PgrR_TyrR	rrfD//
PhoB_PhoP	torA//
PhoP_PurR_RbsR	sdhC//gadX//
RelB_RelB-RelE	purA//tdcC//napC//
TrpR_TyrR	gcd//deoB//cusA//
YefM_YefM-YoeB	ilvG_1//cadC//
