#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	prpB//rob//
ArgR_NtrC	mglB//gltD//gspO//patA//deoA//
ArgR_PhoP	fadI//
AscG_CRP	gdhA//paaF//lrp//
AscG_CRP_PhoB_PrpR	ydeP//
AsnC_MraZ_Nac	zwf//
AsnC_Nac	entH//fecD//
AtoC_IHF	yrbL//hyfE//appX//amtB//
BaeR_CpxR	hybB//gutM//gspM//hypA//aceB//casE//pspE//
BaeR_CpxR_EvgA	pspG//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	narK//glnA//gdhA//uxaC//
BasR_CpxR_PdhR	ndh//glcF//
BasR_Fis	sdhC//
BasR_H-NS_IHF_NagC_NanR	gspC//
BasR_MarA_PutA	acrA//
BasR_PhoP	betI//
BasR_QseB	lyxK//hybA//
CRP_CaiF_FNR	prmC//fnr//dcuD//araC//
CRP_ChbR_NagC	prfA//pstC//gatZ//aslB//yqjI//cysJ//
CRP_ComR	nrdG//
CRP_CpxR	idnR//
CRP_CpxR_CytR	prpC//
CRP_CpxR_CytR_DnaA_IHF	ilvA//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	gloA//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	dcuC//dmsC//nuoC//acrZ//
CRP_Cra	fdnI//acrB//rrlE//dppD//pspG//srlB//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	ascF//gadB//lpxA//appA//
CRP_Cra_FNR_PdhR	pqiB//
CRP_Cra_Fis	rbsC//
CRP_Cra_Fis_GlcC	carB//
CRP_Cra_Fis_MtlR	ulaC//iraM//chbB//
CRP_Cra_Mlc_NagC	tnaB//glpA//hyfG//rrlC//uvrA//ssrS//
CRP_Cra_PrpR	codA//feoB//paaC//hypF//
CRP_CreB_Fis_MalT	oppA//codB//ilvX//
CRP_CsiR_H-NS_Lrp	norW//deoA//
CRP_CsiR_H-NS_Lrp_Nac	xylA//nrdH//fadA//
CRP_CspA_Fis	rplD//
CRP_CytR	sufS//lpxA//glpA//
CRP_CytR_DeoR	hyaB//oxyR//
CRP_CytR_DeoR_Fis_ModE	nikR//fliJ//metB//yjbE//
CRP_CytR_Nac	sodB//
CRP_CytR_NsrR	prpD//
CRP_DcuR_FNR_NarL	baeR//
CRP_DinJ-YafQ	bhsA//
CRP_DnaA_Fis_PurR	fucI//mdtB//
CRP_DpiA_ExuR	cusF//
CRP_DsdC	nanA//rutC//
CRP_EbgR	puuE//glnQ//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	prpB//cysU//
CRP_ExuR	hycG//
CRP_ExuR_FNR	folA//gspI//
CRP_ExuR_OxyR_UxuR	nfsB//dadA//
CRP_ExuR_UxuR	tnaA//
CRP_FNR	dcuD//
CRP_FNR_FhlA_HyfR	bglF//hybG//dadX//ilvM//feaR//fucO//zinT//nikA//casD//cyoC//fecE//fdnG//
CRP_FNR_Fis	csgD//napD//yqjH//
CRP_FNR_Fis_GlpR_IHF	mioC//nanT//
CRP_FNR_Fis_H-NS_SlyA	fadJ//
CRP_FNR_GcvA_Lrp_PurR	cusC//sufE//gloA//
CRP_FNR_H-NS_NarL	acnB//
CRP_FNR_IHF_TdcA_TdcR	gntK//betI//ilvI//rhaS//gcvP//prfA//hypB//
CRP_FNR_NarL	paaJ//astC//tauA//
CRP_FeaR_NsrR	ansB//
CRP_Fis	cusA//nmpC//fucK//rsmH//nemR//
CRP_Fis_FlhDC_GalR_GalS	fumA//cadB//
CRP_Fis_FliZ_IHF_Lrp	glpC//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	aldB//ybfN//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	rbfA//idnT//garP//
CRP_Fis_IHF	dctR//dppF//rrfB//dpiB//gcvT//
CRP_Fis_NanR	fucI//fes//rplB//fliH//purH//
CRP_Fis_NtrC	alaU//pheM//hns//
CRP_Fis_XylR	nikB//ssrS//csgC//
CRP_FlhDC_GalR_GalS	rrfG//
CRP_FucR	aroL//nuoF//aspA//argD//lhgO//fdnH//fadD//
CRP_Fur	glnP//glcB//hybC//fadE//rob//napC//lsrC//fau//srlR//
CRP_Fur_HypT_PdhR	hycG//aceE//puuE//ilvH//deoC//
CRP_Fur_OxyR_SoxS	gadW//
CRP_GalR_GalS	gltT//
CRP_GalR_GalS_H-NS_HU	lsrC//ascF//ygbA//cas2//
CRP_GalR_GalS_NagC	cspE//
CRP_GlpR	prpR//hycI//sroD//
CRP_GntR	mnmG//cysJ//
CRP_GntR_IdnR	ybiT//ynfH//fabB//appA//gatZ//dppC//araB//
CRP_GntR_IscR	citD//
CRP_GutM_GutR_H-NS	uspA//yoaG//cadC//fhlA//sodB//fecD//caiB//
CRP_H-NS	astC//
CRP_H-NS_HipAB_HipB_NtrC	bglG//
CRP_H-NS_LacI	astD//gatY//galK//
CRP_H-NS_LeuO	appX//tdcF//cyaR//fbaA//lrp//mtlR//yoaG//
CRP_H-NS_MqsA	fadL//
CRP_IHF	ihfA//tdcD//gcvH//dmsA//
CRP_IHF_MprA_OmpR	glnK//
CRP_IHF_NsrR	narK//
CRP_IHF_PaaX	araH//entB//fliZ//pspE//csiD//oppC//caiD//rhaB//metI//ynfG//gutQ//sdhC//
CRP_IHF_UlaR	nrdI//prpR//nrdE//cspD//putP//nrdF//
CRP_IHF_YiaJ	yhiM//mhpC//fliC//actP//nuoL//mdtD//pspE//carB//rplB//xylF//
CRP_LexA	higB//
CRP_Lrp	malK//fadB//rpsS//ptsH//
CRP_Lrp_Mlc	dadA//
CRP_Lrp_Nac	glnQ//
CRP_LsrR	relB//hypD//fdnG//ihfA//nfo//ssb//recF//rrfB//ubiA//
CRP_MalI	xylH//sgrT//ftsI//
CRP_MalT	sufC//ileT//fadH//
CRP_MalT_PhoP	asr//
CRP_MelR	acrF//aidB//nuoJ//
CRP_MetJ	metQ//
CRP_MhpR	malM//csgE//uvrA//glcD//cusF//cyoE//
CRP_Mlc	csgA//puuD//
CRP_ModE	nanA//mlc//guaB//
CRP_MurR	dctR//sufE//
CRP_Nac_NsrR_PhoB	gspO//
CRP_NadR	srlA//
CRP_NagC	fucK//ilvL//prpB//rcnB//ebgC//umpH//
CRP_NagC_NanR	rseC//cspA//ulaG//
CRP_NagC_PhoP	atoD//
CRP_OxyR	ftsZ//
CRP_OxyR_UxuR	fliJ//
CRP_PhoB	tam//cbl//uidB//degP//cusC//oppB//
CRP_PhoP	ilvL//dsdC//crp//
CRP_PutA	pstS//
CRP_RbsR	rcnA//paaD//araB//mdtD//nikD//fdnI//
CRP_RhaR_RhaS	rpsJ//sgrS//
CRP_RhaS	yiaK//pgaD//nikC//
CRP_Rob	pyrD//
CRP_TorR	galR//ssb//sgbH//
CRP_UhpA_UvrY	pflB//
CRP_UidR_UxuR	cbl//ugpB//cusF//
CRP_UvrY	narX//
CRP_YehT	lpd//
CRP_ZraR	csgB//ulaA//
CadC_FNR_H-NS_LeuO_MlrA	rrlA//
Cbl_CysB	lacZ//ilvL//nuoC//araJ//
Cbl_CysB_FNR_IHF	gntU//focA//yciF//idnR//rutC//
CdaR_FNR_Fis_Fur_H-NS	nuoA//
CdaR_FNR_Fur_H-NS	mhpD//tdcD//mtlD//ugpQ//
CpxR_CsgD_FliZ	psiE//nrdG//rutG//
CpxR_CysB	moaE//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	fumB//
CpxR_GadE	lldR//rhaA//purN//nuoM//
CpxR_H-NS	pgaC//
CpxR_NsrR	gabP//
CpxR_RcsB	pncB//
CpxR_TyrR	oppD//
Cra_FNR_Fis_Lrp_NarL	ygeA//
Cra_FNR_Fur_MarA_Rob_SoxS	ssuC//
Cra_FhlA_FlhDC	katG//
Cra_GntR_KdgR	caiA//
Cra_GntR_KdgR_PhoB	hns//
Cra_MarA_SoxS	sdhB//
Cra_PdeL	sucC//
Cra_SgrR	nirB//galK//aceF//
Cra_TyrR	fiu//
CreB_NagC	lldP//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	hybA//
CsgD_FlhDC	fdnI//yoaG//fabB//dpiA//skp//dadX//lpxC//dppB//osmE//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	gcvT//nuoA//
CspA_Fis_GadX_H-NS	rrfD//
CueR_FNR_ModE	pdeR//nfuA//asnC//bglJ//gspF//
CusR_PhoB_YedW	ybjN//napA//crr//hycB//fimI//chbF//gspK//
CysB_H-NS	exuT//dppA//uidA//cspD//acnB//
CysB_HypT_IHF	garL//
CysB_IHF	focB//ahpF//
CysB_NtrC	dnaA//
CysB_PhoP	citE//
DcuR_FNR_NarL	glgC//argG//icd//cysI//
DinJ-YafQ_LexA	prpC//mhpA//
DpiA_H-NS	moaC//
DsdC_NsrR	bamE//
EvgA_FNR	caiC//ndh//
EvgA_H-NS	cspD//fliA//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	fumC//
EvgA_H-NS_PhoP_RcsB_YdeO	aidB//
EvgA_PhoP_RcsB_YdeO	mntH//
ExuR_UxuR	carB//aroA//
FNR_FhlA_IHF_NsrR	fdnG//ptsI//rrlH//ybjN//yefM//
FNR_FhlA_NarL_NarP	fumC//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	glnH//murF//hyaC//pstS//rsmH//galR//fucR//
FNR_Fis_IHF_ModE_NarL	relE//mtr//hyfG//
FNR_Fis_IHF_NarL	tpx//
FNR_Fis_IHF_NarL_RstA	truB//nrfC//chbF//rbsD//
FNR_FlhDC	caiB//
FNR_FlhDC_IscR_ModE_NarL_NarP	fliK//dmsA//lpxD//sgbU//lsrA//malK//yefM//
FNR_FlhDC_ModE_NarL_NarP	rrsD//dmsA//nagA//ydeO//sra//nanC//bglG//nrfC//
FNR_Fur	gntK//rprA//
FNR_Fur_GadE	paaH//
FNR_Fur_GadX_NtrC	pdeR//cbl//
FNR_Fur_H-NS	hycF//ulaE//fixX//mhpA//
FNR_Fur_MetR_NsrR	nanK//
FNR_Fur_Nac_NtrC	yhjA//
FNR_Fur_NagC	yafQ//fdhF//gatB//
FNR_Fur_OxyR	caiD//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	melA//
FNR_H-NS	fliG//aroP//
FNR_H-NS_NrdR	rnpB//gadB//
FNR_IHF	tdcG//ilvL//ubiC//hpt//acnB//
FNR_IHF_Lrp_YeiL	ynfH//
FNR_IHF_NarL_NarP_NorR	gspH//murE//
FNR_IHF_PhoB	hypE//rrfH//rtcB//degP//hyaD//
FNR_MalT	xylA//idnR//
FNR_ModE	rrfD//dsdA//
FNR_NarL	dctA//fumC//tnaC//feoC//focB//tdcB//
FNR_NarL_NarP	ynfH//malY//glpD//uidB//ilvX//sucD//araF//yaiA//ydeN//
FNR_NarL_NarP_NsrR	nrdD//
FNR_NarL_NarP_NsrR_OxyR	narK//crr//
FNR_NarL_NikR	rbsR//ascB//ascB//aroP//pgaA//ynfK//
FNR_NsrR	ytfE//fumA//rimK//
FNR_OxyR	ydhW//
FNR_PurR	codA//putA//
FNR_YqjI	rbsC//
FabR_FadR	rnpB//ihfA//
FadR_IHF	rrsE//
FadR_IclR	ydeN//
FhlA_FlhDC	torD//
FhlA_IHF_ModE_NsrR	entH//nuoJ//lacA//lacA//gatZ//zraS//hycC//puuB//gatD//
FhlA_IHF_NsrR	purH//
Fis_Fur	rseC//
Fis_H-NS	leuO//
Fis_H-NS_IHF_MntR_OxyR	zraR//
Fis_H-NS_Lrp	proV//ydhV//pheM//fixX//ssuE//araD//citD//icd//rrlC//fimC//glnK//lpxD//chiP//nfsB//hypA//gltU//agaA//fliF//metY//nuoH//tdcD//pdeR//thrV//entF//
Fis_H-NS_Lrp_StpA	slp//dmsA//
Fis_IHF	ybdZ//
Fis_IHF_NtrC	lrp//melR//
Fis_IHF_OmpR_RcsB	narJ//
Fis_Lrp	fimC//rimP//fucP//dsdC//murC//mhpB//fucI//galE//gspF//
Fis_MazE_MazE-MazF	soxS//
Fis_NarL	rutB//
Fis_NarL_NarP_NsrR	rrsH//paaZ//
Fis_PurR	betI//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	hdeB//hcr//dmsA//
FliZ_RutR	hycE//
Fur_H-NS	rrsH//ilvD//fecA//rrsH//fimH//caiD//nanT//ompC//caiF//yoeB//tauA//sodA//dgcZ//
Fur_IHF_IscR_NsrR_OxyR	hybE//rrsH//fepE//csgE//gatC//dinJ//
Fur_IscR_NrdR	napF//fimG//garP//moaA//
Fur_MetR	nupC//
Fur_MntR	moeA//
Fur_MntR_OxyR	ulaG//
Fur_OxyR	ilvM//
Fur_PurR	puuD//glcF//
Fur_RcnR	hupB//acnA//
Fur_RutR	iclR//
Fur_SoxS_Zur	pnp//
Fur_YqjI	tyrR//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	gapA//napG//
GadE-RcsB_H-NS	narL//
GadE-RcsB_PhoB	nuoJ//
GadE-RcsB_Rob	flgM//
GadE_GadX_H-NS_PhoP_RcsB	poxB//
GadE_H-NS_Lrp_NsrR	cydC//
GadE_H-NS_MatA	emrY//
GadE_H-NS_RcsAB	tauC//
GadE_MarA_PurR	bolA//
GadW_GadX_RcsB	yhiD//
GalR_GalS	guaB//
GlrR_IHF	icd//
H-NS_IHF	csgE//nrfA//ileU//
H-NS_IHF_Lrp	gspF//cusA//araA//hyfA//aspA//nuoH//rpsO//
H-NS_LeuO	alaU//rbsA//
H-NS_LeuO_RcsB-BglJ_StpA	gspM//
H-NS_LrhA_Lrp	nuoC//
H-NS_Lrp	cysP//glcC//
H-NS_Lrp_NhaR_RcsB	nuoK//
H-NS_Lrp_StpA	rbsC//
H-NS_McbR	appB//napA//oppF//
H-NS_NhaR	fdnI//rrfG//
H-NS_OmpR	rbsC//
H-NS_PhoB_RcdA_RstA	cytR//
HU_IHF_TrpR_TyrR	gntU//
HU_IHF_TyrR	hemA//
HigA_HigB-HigA	sgrT//mazE//
HipAB_HipB_IHF	dctR//amtB//
HypT_MetJ	ynfF//relB//prpR//
HypT_MetJ_PhoP	dcuR//rplT//
IHF_Lrp	setA//nuoM//yciF//aceA//malY//dppC//hyaE//lsrR//
IHF_NsrR	nrdI//
IHF_NtrC	fbaA//nikE//
IHF_PhoP	rutB//
IHF_PspF	hycA//crr//rrsC//agaV//tyrP//ydeM//
IHF_RcsAB	rseB//hmp//acrD//chbA//
IHF_RtcR	yedX//codB//
IHF_TyrR	higB//
IHF_UlaR	cyoC//
LexA_MraZ_PdhR	lpd//rprA//mdh//gltV//gspJ//rhaD//yecR//yqjI//agaA//aer//nrfG//
LexA_MraZ_PdhR_RcsB_SdiA	manY//murQ//
LexA_MraZ_PdhR_SdiA	citX//
LexA_NagC	malF//
LexA_RcdA	prpB//
LexA_RcsB-BglJ	sgbH//
MarA_OxyR_Rob_SoxS	rbsC//fdnH//cadA//tam//
MarA_PhoP_Rob_SoxS	cyoD//ycdZ//norW//evgA//
MarA_Rob_SoxS	manZ//cydB//ssuC//lysP//fes//
MarA_SoxS	fumC//rhaD//dcuR//prpC//sdhB//
MetJ_MetR	rbsK//fepE//
MetJ_OxyR	ydhW//cusC//
MetR_PurR	metE//
MraZ_PdhR	garP//ygiC//
Nac_PurR	casC//nrdF//
NarL_TorR	kbaZ//proW//mtlR//
NemR_RutR	mnmG//yjjQ//gspE//
NhaR_OmpR	rrlC//napB//acrD//fimH//
NorR_NsrR	nhaA//
NsrR_PhoB	prpB//
OxyR_SoxS	mlc//
PdhR_PhoP	fadE//
PgrR_TyrR	nikB//
PhoB_PhoP	pqiB//
PhoP_PurR_RbsR	tauA//gyrA//
RelB_RelB-RelE	rplT//fucU//yqjI//
TrpR_TyrR	gspK//murD//hdeD//
YefM_YefM-YoeB	uidA//hisM//
