#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	lamB//malX//
CRP_Cra_Fis_GlcC	nrdI//
CRP_Cra_Fis_MtlR	uvrA//eda//araJ//
CRP_Cra_Mlc_NagC	nrdH//ompW//caiC//puuR//torA//purM//
CRP_Cra_PrpR	nac//sulA//galS//idnR//
CRP_CreB_Fis_MalT	cyoC//dusB//setA//
CRP_CsiR_H-NS_Lrp	pgaC//sbmC//
CRP_CsiR_H-NS_Lrp_Nac	hypA//paaZ//fimG//
CRP_CspA_Fis	rcnB//
CRP_CytR	ldtB//proX//ackA//
CRP_CytR_DeoR	cysJ//ccmH//
CRP_CytR_DeoR_Fis_ModE	yjbE//astE//prpE//atoB//
CRP_CytR_Nac	nanM//
CRP_CytR_NsrR	dps//
CRP_DcuR_FNR_NarL	metK//
CRP_DinJ-YafQ	uidA//
CRP_DnaA_Fis_PurR	hypA//yiaJ//
CRP_DpiA_ExuR	betI//
CRP_DsdC	yjcH//narH//
CRP_EbgR	sbmC//ascF//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	napH//pstS//
CRP_ExuR	gatD//
CRP_ExuR_FNR	astB//adiC//
CRP_ExuR_OxyR_UxuR	nrdH//rutA//
CRP_ExuR_UxuR	pspA//
CRP_FNR	entH//
CRP_FNR_FhlA_HyfR	ompC//spy//gadC//gcvT//norR//bamE//gatB//fimE//cydA//ascF//gloA//mhpD//
CRP_FNR_Fis	metH//ulaA//ugpB//
CRP_FNR_Fis_GlpR_IHF	melB//fliZ//
CRP_FNR_Fis_H-NS_SlyA	nirC//
CRP_FNR_GcvA_Lrp_PurR	ccmC//mtlR//galR//
CRP_FNR_H-NS_NarL	ygiB//
CRP_FNR_IHF_TdcA_TdcR	serC//kbaZ//hyfE//pqiA//gadE//caiB//ydhW//
CRP_FNR_NarL	yhjA//icd//fiu//
CRP_FeaR_NsrR	fucO//
CRP_Fis	argO//lsrG//dadA//appY//inaA//
CRP_Fis_FlhDC_GalR_GalS	prpB//galR//
CRP_Fis_FliZ_IHF_Lrp	prfA//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	yjbH//hpt//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	nrdD//tdcA//sucA//
CRP_Fis_IHF	puuB//bglB//yaiA//rpmC//glmY//
CRP_Fis_NanR	rbsD//hyfI//dcuC//hycA//fepA//
CRP_Fis_NtrC	entH//infB//dppD//
CRP_Fis_XylR	tauC//hycA//bglG//
CRP_FlhDC_GalR_GalS	hycG//
CRP_FucR	aceE//pgaB//narK//araC//dcuC//rrsH//narH//
CRP_Fur	hha//fliA//inaA//ascF//nrdB//nfsA//tdcG//gloA//agaV//
CRP_Fur_HypT_PdhR	dcuS//serC//gyrA//citD//norV//
CRP_Fur_OxyR_SoxS	nrfB//
CRP_GalR_GalS	tdcC//
CRP_GalR_GalS_H-NS_HU	rbsD//sra//rpsJ//ompF//
CRP_GalR_GalS_NagC	aer//
CRP_GlpR	murG//malP//oppD//
CRP_GntR	gltB//hypC//
CRP_GntR_IdnR	fumB//hycA//qseB//tcyJ//fadD//lpxD//fimE//
CRP_GntR_IscR	hypE//
CRP_GutM_GutR_H-NS	cas2//envZ//garP//srlD//pck//oppA//cadB//
CRP_H-NS	cdd//
CRP_H-NS_HipAB_HipB_NtrC	qseC//
CRP_H-NS_LacI	fimF//bamE//moaD//
CRP_H-NS_LeuO	recF//fumA//sufA//araA//cspE//glgC//srlE//
CRP_H-NS_MqsA	ynfF//
CRP_IHF	glpB//nfsB//envZ//cyoE//
CRP_IHF_MprA_OmpR	moaC//
CRP_IHF_NsrR	hyfC//
CRP_IHF_PaaX	higA//dpiB//tnaC//adiC//hyaE//cyoA//galM//fdnG//frdD//hcr//glpK//uxuR//
CRP_IHF_UlaR	glnD//leuO//argP//feoC//lsrC//fecA//
CRP_IHF_YiaJ	ynfG//caiT//norW//ynfE//ygiA//lysP//paaG//rpsI//mtlR//tnaC//
CRP_LexA	araB//
CRP_Lrp	gspG//ygeA//hydN//grcA//
CRP_Lrp_Mlc	csiE//
CRP_Lrp_Nac	pspA//
CRP_LsrR	pgaC//flgN//hcr//mpl//narJ//glcC//chbB//nrdD//gltU//
CRP_MalI	lsrR//glpX//pspC//
CRP_MalT	nmpC//rcnB//glpK//
CRP_MalT_PhoP	hybD//
CRP_MelR	murG//ydeO//dusB//
CRP_MetJ	paaI//
CRP_MhpR	entC//casB//hypA//hyfH//cysI//moaC//
CRP_Mlc	napD//napD//
CRP_ModE	lsrK//cydB//hypB//
CRP_MurR	glcA//citF//
CRP_Nac_NsrR_PhoB	dcuR//
CRP_NadR	higB//
CRP_NagC	fimE//nanM//xylF//ftnA//nagC//rplD//
CRP_NagC_NanR	galR//ubiA//ygbA//
CRP_NagC_PhoP	rtcB//
CRP_OxyR	betI//
CRP_OxyR_UxuR	rbsB//
CRP_PhoB	paaC//hyaC//zwf//modA//hybA//ftsW//
CRP_PhoP	fnr//betT//paaG//
CRP_PutA	ycdZ//
CRP_RbsR	yhiD//paaC//hycA//acrB//pgaA//rpsJ//
CRP_RhaR_RhaS	nrfA//gadB//
CRP_RhaS	ccmF//fepA//hycD//
CRP_Rob	mnmG//
CRP_TorR	uhpT//prpE//glnQ//
CRP_UhpA_UvrY	nikA//
CRP_UidR_UxuR	sufE//gltW//glnL//
CRP_UvrY	feaB//
CRP_YehT	ompW//
CRP_ZraR	oppB//nuoN//
CadC_FNR_H-NS_LeuO_MlrA	nanM//
Cbl_CysB	nrdE//hns//skp//metL//
Cbl_CysB_FNR_IHF	idnO//yciF//glpA//alaV//sodA//
CdaR_FNR_Fis_Fur_H-NS	dadX//
CdaR_FNR_Fur_H-NS	mlc//prpE//ugpE//ileU//
CpxR_CsgD_FliZ	cysA//aspC//chiP//
CpxR_CysB	nanS//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	uvrA//
CpxR_GadE	csgA//argP//bglJ//setA//
CpxR_H-NS	cusF//
CpxR_NsrR	fliJ//
CpxR_RcsB	nuoN//
CpxR_TyrR	marA//
Cra_FNR_Fis_Lrp_NarL	trg//
Cra_FNR_Fur_MarA_Rob_SoxS	nusA//
Cra_FhlA_FlhDC	gadB//
Cra_GntR_KdgR	pflB//
Cra_GntR_KdgR_PhoB	csgG//
Cra_MarA_SoxS	mpl//
Cra_PdeL	sucB//
Cra_SgrR	nfo//nagB//rrsH//
Cra_TyrR	tdcA//
CreB_NagC	purN//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	manX//
CsgD_FlhDC	fliE//gntX//pstA//hyfD//gspG//lsrF//gatA//casA//hyfE//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	glcB//uvrA//
CspA_Fis_GadX_H-NS	ulaE//
CueR_FNR_ModE	nemR//proW//zraR//hypC//hypD//
CusR_PhoB_YedW	puuA//fixC//flhD//frdD//lsrA//fumB//yecR//
CysB_H-NS	epd//nrfE//pgaD//ygbA//nuoL//
CysB_HypT_IHF	hybO//
CysB_IHF	glcF//proW//
CysB_NtrC	ccmE//
CysB_PhoP	yhiM//
DcuR_FNR_NarL	focB//fumB//glcE//ybdZ//
DinJ-YafQ_LexA	nagA//pgaC//
DpiA_H-NS	gltT//
DsdC_NsrR	gcvH//
EvgA_FNR	fadE//rrsC//
EvgA_H-NS	murP//paaC//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	ddlB//
EvgA_H-NS_PhoP_RcsB_YdeO	pgaB//
EvgA_PhoP_RcsB_YdeO	garR//
ExuR_UxuR	lyxK//dusB//
FNR_FhlA_IHF_NsrR	prpE//nanT//astC//ydeM//glcG//
FNR_FhlA_NarL_NarP	melR//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	glpC//sgrS//udp//rrsA//hybG//fimH//ilvG_1//
FNR_Fis_IHF_ModE_NarL	nrdH//gltV//paaA//
FNR_Fis_IHF_NarL	ebgA//
FNR_Fis_IHF_NarL_RstA	paaZ//sucD//putA//gspD//
FNR_FlhDC	qseB//
FNR_FlhDC_IscR_ModE_NarL_NarP	tdcD//uhpT//aroL//yhcH//lhgO//fecB//nrfD//
FNR_FlhDC_ModE_NarL_NarP	hypA//nmpC//gspH//fimG//lldP//fadJ//relE//hmp//
FNR_Fur	dctR//fdnH//
FNR_Fur_GadE	appC//
FNR_Fur_GadX_NtrC	fadA//rtcA//
FNR_Fur_H-NS	pheM//fecA//proX//ubiA//
FNR_Fur_MetR_NsrR	hcp//
FNR_Fur_Nac_NtrC	hipA//
FNR_Fur_NagC	nfuA//fliF//dppA//
FNR_Fur_OxyR	sdhA//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	cusR//
FNR_H-NS	bglG//mhpB//
FNR_H-NS_NrdR	cyoA//waaH//
FNR_IHF	araJ//pdeL//mhpB//tnaB//lacA//
FNR_IHF_Lrp_YeiL	thrV//
FNR_IHF_NarL_NarP_NorR	rpsJ//pspB//
FNR_IHF_PhoB	ssuE//gcvP//sufC//srlE//dcuD//
FNR_MalT	flhC//sucA//
FNR_ModE	mhpB//pyrC//
FNR_NarL	dcuD//entC//torC//modC//iclR//chiP//
FNR_NarL_NarP	rrfC//ogt//hypC//adhE//rseB//glmY//tdcE//csgA//rhaS//
FNR_NarL_NarP_NsrR	melR//
FNR_NarL_NarP_NsrR_OxyR	csiD//oppF//
FNR_NarL_NikR	nagA//puuP//metK//xylR//fucR//malX//
FNR_NsrR	bhsA//mhpF//srlD//
FNR_OxyR	fumA//
FNR_PurR	leuO//metI//
FNR_YqjI	ptsH//
FabR_FadR	paaK//icd//
FadR_IHF	ssuE//
FadR_IclR	torD//
FhlA_FlhDC	glcB//
FhlA_IHF_ModE_NsrR	recF//entF//glpB//ccmG//appA//guaB//gadX//hcr//cytR//
FhlA_IHF_NsrR	cdd//
Fis_Fur	nuoG//
Fis_H-NS	mtlR//
Fis_H-NS_IHF_MntR_OxyR	fixA//
Fis_H-NS_Lrp	nfuA//argG//ybdN//rutD//putA//ssuA//ydeN//udp//accC//rplM//atoA//araD//acnB//fliE//gapA//xylF//cydC//ubiA//degP//hpt//rpoE//hycI//hyfF//hemL//
Fis_H-NS_Lrp_StpA	ilvH//rrlD//
Fis_IHF	torA//
Fis_IHF_NtrC	nhaR//acnA//
Fis_IHF_OmpR_RcsB	hypA//
Fis_Lrp	purN//bglF//glnG//gatC//hypF//relB//ppiA//yaiA//dcuS//
Fis_MazE_MazE-MazF	araE//
Fis_NarL	casB//
Fis_NarL_NarP_NsrR	gcvH//rpsO//
Fis_PurR	rrlC//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	nirC//pgaD//gatA//
FliZ_RutR	treB//
Fur_H-NS	nrdA//murC//sufB//exuR//pdeR//fecA//nuoG//waaZ//gabT//trg//acs//entA//fadB//
Fur_IHF_IscR_NsrR_OxyR	uidA//purN//gatD//pstA//yoaG//metI//
Fur_IscR_NrdR	codB//rimK//ileV//ydhT//
Fur_MetR	acrE//
Fur_MntR	narJ//
Fur_MntR_OxyR	hyaB//
Fur_OxyR	glnP//
Fur_PurR	adiA//yhiM//
Fur_RcnR	uxuB//fepB//
Fur_RutR	astA//
Fur_SoxS_Zur	metL//
Fur_YqjI	dnaA//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	hyaE//patA//
GadE-RcsB_H-NS	nanM//
GadE-RcsB_PhoB	ftsI//
GadE-RcsB_Rob	srlR//
GadE_GadX_H-NS_PhoP_RcsB	nanC//
GadE_H-NS_Lrp_NsrR	nikR//
GadE_H-NS_MatA	lpd//
GadE_H-NS_RcsAB	chbA//
GadE_MarA_PurR	evgA//
GadW_GadX_RcsB	hycB//
GalR_GalS	lhgO//
GlrR_IHF	fliC//
H-NS_IHF	cyoC//nrdI//rpsJ//
H-NS_IHF_Lrp	yeaR//aceK//csgA//rseA//purN//purA//slp//
H-NS_LeuO	ptsH//yjiY//
H-NS_LeuO_RcsB-BglJ_StpA	gadE//
H-NS_LrhA_Lrp	ascB//
H-NS_Lrp	uidA//lldR//
H-NS_Lrp_NhaR_RcsB	putA//
H-NS_Lrp_StpA	ybfN//
H-NS_McbR	cusA//murP//mdtA//
H-NS_NhaR	pdeL//focB//
H-NS_OmpR	actP//
H-NS_PhoB_RcdA_RstA	fbaA//
HU_IHF_TrpR_TyrR	micF//
HU_IHF_TyrR	paaC//
HigA_HigB-HigA	sufD//tdcF//
HipAB_HipB_IHF	murF//ssuD//
HypT_MetJ	fucR//pstS//fhuF//
HypT_MetJ_PhoP	cspD//fis//
IHF_Lrp	gspH//ileV//ssuB//tnaB//rrfF//ileU//tcyJ//fis//
IHF_NsrR	modA//
IHF_NtrC	gutQ//aroP//
IHF_PhoP	hybG//
IHF_PspF	feaR//paaF//rprA//ydhT//mtlR//csgE//
IHF_RcsAB	adiA//acrE//ackA//rrfF//
IHF_RtcR	chbF//fadL//
IHF_TyrR	infB//
IHF_UlaR	ygiB//
LexA_MraZ_PdhR	aceK//rhaA//rrfD//yhcH//rrlH//casD//oxyR//caiA//nac//ccmG//dppC//
LexA_MraZ_PdhR_RcsB_SdiA	rtcA//gltA//
LexA_MraZ_PdhR_SdiA	gadX//
LexA_NagC	hisM//
LexA_RcdA	pdeR//
LexA_RcsB-BglJ	csgE//
MarA_OxyR_Rob_SoxS	ilvM//tnaC//hypF//fliJ//
MarA_PhoP_Rob_SoxS	cysA//sra//entH//glpD//
MarA_Rob_SoxS	ilvH//tdcA//hypF//pspE//molR_1//
MarA_SoxS	prpR//araF//glpA//soxS//emrK//
MetJ_MetR	hyfB//ydhX//
MetJ_OxyR	lamB//dinI//
MetR_PurR	cirA//
MraZ_PdhR	acrF//exuR//
Nac_PurR	uidB//garK//
NarL_TorR	oxyR//moeB//rhaT//
NemR_RutR	asnC//nrdG//prpB//
NhaR_OmpR	ackA//zinT//narG//osmE//
NorR_NsrR	aldB//
NsrR_PhoB	yiaO//
OxyR_SoxS	rrsC//
PdhR_PhoP	argG//
PgrR_TyrR	aldA//
PhoB_PhoP	nagC//
PhoP_PurR_RbsR	lyxK//rhaB//
RelB_RelB-RelE	lpxD//uxuB//rcnA//
TrpR_TyrR	yrbL//aroA//zinT//
YefM_YefM-YoeB	astD//lsrC//
