#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	uhpT//glpF//
Fur_MetR	tauD//
Fur_MntR	ptsI//
Fur_MntR_OxyR	rrsE//
Fur_OxyR	uidC//
Fur_PurR	nanC//rutB//
Fur_RcnR	rseB//tdcF//
Fur_RutR	entA//
Fur_SoxS_Zur	rhaD//
Fur_YqjI	ugpC//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	chbG//aspA//
GadE-RcsB_H-NS	ansB//
GadE-RcsB_PhoB	cyaR//
GadE-RcsB_Rob	proV//
GadE_GadX_H-NS_PhoP_RcsB	fepE//
GadE_H-NS_Lrp_NsrR	citD//
GadE_H-NS_MatA	waaY//
GadE_H-NS_RcsAB	mdtA//
GadE_MarA_PurR	ssuC//
GadW_GadX_RcsB	adiA//
GalR_GalS	acrB//
GlrR_IHF	gadB//
H-NS_IHF	galK//yqjI//casB//
H-NS_IHF_Lrp	yrbL//osmY//aer//idnO//yhjA//iclR//rpoE//
H-NS_LeuO	csgF//gadB//
H-NS_LeuO_RcsB-BglJ_StpA	ynfG//
H-NS_LrhA_Lrp	nagC//
H-NS_Lrp	rprA//napG//
H-NS_Lrp_NhaR_RcsB	glgP//
H-NS_Lrp_StpA	araD//
H-NS_McbR	nirB//mtr//chbR//
H-NS_NhaR	slp//moeA//
H-NS_OmpR	yjbE//
H-NS_PhoB_RcdA_RstA	hypD//
HU_IHF_TrpR_TyrR	citD//
HU_IHF_TyrR	bglB//
HigA_HigB-HigA	rrsA//mntH//
HipAB_HipB_IHF	hybE//rrfD//
HypT_MetJ	garR//araJ//rbsA//
HypT_MetJ_PhoP	manX//nfsB//
IHF_Lrp	fes//cydC//idnR//cyaR//zwf//cydA//casB//ybiT//
IHF_NsrR	sdhA//
IHF_NtrC	ansB//fucP//
IHF_PhoP	cas2//
IHF_PspF	zwf//appY//fadA//tam//uxaC//uxuA//
IHF_RcsAB	astE//hyaC//gspD//ydhV//
IHF_RtcR	metI//yiaJ//
IHF_TyrR	araE//
IHF_UlaR	citE//
LexA_MraZ_PdhR	mntH//csiD//ccmH//hupA//udp//lldD//fimC//aceF//mdh//rbsD//hisJ//
LexA_MraZ_PdhR_RcsB_SdiA	crr//hha//
LexA_MraZ_PdhR_SdiA	dmsD//
LexA_NagC	qseC//
LexA_RcdA	dmsC//
LexA_RcsB-BglJ	yeiL//
MarA_OxyR_Rob_SoxS	ydhU//aldA//nirD//ftsL//
MarA_PhoP_Rob_SoxS	aldB//gadX//hipB//ydhY//
MarA_Rob_SoxS	rplM//hyaC//citE//relA//araF//
MarA_SoxS	appC//deoD//ssuD//flhD//higB//
MetJ_MetR	norR//hisP//
MetJ_OxyR	cspD//atoD//
MetR_PurR	nrdG//
MraZ_PdhR	fecC//oppD//
Nac_PurR	nuoA//metK//
NarL_TorR	aroA//astC//cydA//
NemR_RutR	narG//metQ//hyaC//
NhaR_OmpR	gntX//yjcH//dgcZ//fis//
NorR_NsrR	narJ//
NsrR_PhoB	codA//
OxyR_SoxS	caiT//
PdhR_PhoP	rcnB//
PgrR_TyrR	rrsE//
PhoB_PhoP	asnC//
PhoP_PurR_RbsR	garK//caiT//
RelB_RelB-RelE	nikD//baeS//yefM//
TrpR_TyrR	melR//mtr//hycA//
YefM_YefM-YoeB	nrfG//pspE//
