#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	hdeD//cydA//
Cbl_CysB_FNR_IHF	rseC//galK//nuoN//rpoS//ilvH//
CdaR_FNR_Fis_Fur_H-NS	lsrC//
CdaR_FNR_Fur_H-NS	citD//ccmB//fecD//pstS//
CpxR_CsgD_FliZ	ptsH//fadL//caiT//
CpxR_CysB	paaI//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	sdhB//
CpxR_GadE	ccmA//ygeA//ynfH//feoC//
CpxR_H-NS	galT//
CpxR_NsrR	glnD//
CpxR_RcsB	rpsJ//
CpxR_TyrR	ygiA//
Cra_FNR_Fis_Lrp_NarL	metB//
Cra_FNR_Fur_MarA_Rob_SoxS	baeR//
Cra_FhlA_FlhDC	glyA//
Cra_GntR_KdgR	glcD//
Cra_GntR_KdgR_PhoB	nrdI//
Cra_MarA_SoxS	baeR//
Cra_PdeL	purH//
Cra_SgrR	lsrC//fecC//uxaC//
Cra_TyrR	dps//
CreB_NagC	gapA//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	acrF//
CsgD_FlhDC	citC//waaY//yjiY//hycA//nuoC//dcuC//fau//ilvA//uhpT//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	hyfB//dppA//
CspA_Fis_GadX_H-NS	phoQ//
CueR_FNR_ModE	yoeB//nrfB//cyaR//nemA//pheM//
CusR_PhoB_YedW	yhiM//tauC//dsdA//ogt//purM//gadE//yhiD//
CysB_H-NS	cyaR//nirB//ptsG//fadH//fecC//
CysB_HypT_IHF	metN//
CysB_IHF	rbsA//sulA//
CysB_NtrC	acrD//
CysB_PhoP	actP//
DcuR_FNR_NarL	uxaA//hypB//moaA//hycA//
DinJ-YafQ_LexA	fimE//ihfA//
DpiA_H-NS	zinT//
DsdC_NsrR	entH//
EvgA_FNR	alaT//fiu//
EvgA_H-NS	tdcE//garK//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	dsdX//
EvgA_H-NS_PhoP_RcsB_YdeO	cirA//
EvgA_PhoP_RcsB_YdeO	ydhU//
ExuR_UxuR	ileU//yecR//
FNR_FhlA_IHF_NsrR	paaE//puuC//rrlG//araH//yafQ//
FNR_FhlA_NarL_NarP	ilvG_1//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	hybO//sucA//nrfC//galM//hybC//gltD//rrlG//
FNR_Fis_IHF_ModE_NarL	higA//grcA//puuA//
FNR_Fis_IHF_NarL	tdcG//
FNR_Fis_IHF_NarL_RstA	fecB//fabA//xylA//aceK//
FNR_FlhDC	glnL//
FNR_FlhDC_IscR_ModE_NarL_NarP	ydeN//rpsS//lacY//osmY//fecD//casA//ansB//
FNR_FlhDC_ModE_NarL_NarP	fucR//sufC//modC//safA//araD//emrK//rcnB//rhaD//
FNR_Fur	cas2//cysP//
FNR_Fur_GadE	puuA//
FNR_Fur_GadX_NtrC	hemA//ugpC//
FNR_Fur_H-NS	nagE//pyrC//malK//rnpB//
FNR_Fur_MetR_NsrR	gspJ//
FNR_Fur_Nac_NtrC	ompC//
FNR_Fur_NagC	cusB//bglG//rutD//
FNR_Fur_OxyR	ftsQ//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	rrsA//
FNR_H-NS	nuoK//galR//
FNR_H-NS_NrdR	cysA//nfo//
FNR_IHF	paaZ//qseC//gatD//fur//mntP//
FNR_IHF_Lrp_YeiL	rcnB//
FNR_IHF_NarL_NarP_NorR	pgaC//rpsS//
FNR_IHF_PhoB	malS//hdeA//napG//serA//citD//
FNR_MalT	fliH//rseC//
FNR_ModE	actP//acrA//
FNR_NarL	fadJ//yrbL//hcr//gabD//cusB//mdtA//
FNR_NarL_NarP	moaB//ppiA//carA//ptsH//murP//ubiC//napF//csgE//frdD//
FNR_NarL_NarP_NsrR	araF//
FNR_NarL_NarP_NsrR_OxyR	ybjC//glcF//
FNR_NarL_NikR	osmY//pstC//mdtD//fhuF//fucK//tdcA//
FNR_NsrR	galS//pdeR//moaA//
FNR_OxyR	rrlA//
FNR_PurR	ynfG//cadA//
FNR_YqjI	nuoB//
FabR_FadR	araE//aroG//
FadR_IHF	ileT//
FadR_IclR	fucI//
FhlA_FlhDC	deoD//
FhlA_IHF_ModE_NsrR	pgk//fimG//treB//rutC//mdtB//glcF//dcuA//ahpC//aroL//
FhlA_IHF_NsrR	fumA//
Fis_Fur	narG//
Fis_H-NS	fnr//
Fis_H-NS_IHF_MntR_OxyR	rprA//
Fis_H-NS_Lrp	csiD//sufA//pnp//nanM//waaY//pstA//serC//araH//uxuA//evgA//glpA//higB//rbsC//ompF//nrdA//gspC//serC//ilvL//yiaK//srlB//fucI//yedX//poxB//hyfB//
Fis_H-NS_Lrp_StpA	csiD//nfo//
Fis_IHF	ompR//
Fis_IHF_NtrC	yefM//tnaA//
Fis_IHF_OmpR_RcsB	rplM//
Fis_Lrp	gutQ//fixX//ccmF//gadE//serA//dmsC//osmC//puuD//gadE//
Fis_MazE_MazE-MazF	fepB//
Fis_NarL	flgN//
Fis_NarL_NarP_NsrR	oppA//idnD//
Fis_PurR	nrdG//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	caiA//baeR//hha//
FliZ_RutR	ygiB//
Fur_H-NS	gcd//rplB//ccmD//ubiC//rseC//rbfA//nmpC//cydB//ccmG//ydeN//fecA//dcuB//caiA//
Fur_IHF_IscR_NsrR_OxyR	uxaB//fadJ//citF//rob//argG//mhpB//
Fur_IscR_NrdR	ccmF//hyfJ//ileV//fabB//
Fur_MetR	rbsB//
Fur_MntR	cspD//
Fur_MntR_OxyR	dpiB//
Fur_OxyR	cysB//
Fur_PurR	baeR//hisQ//
Fur_RcnR	ilvH//glcG//
Fur_RutR	araA//
Fur_SoxS_Zur	uxuR//
Fur_YqjI	aroA//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	sgrT//glnQ//
GadE-RcsB_H-NS	rpoE//
GadE-RcsB_PhoB	araD//
GadE-RcsB_Rob	norV//
GadE_GadX_H-NS_PhoP_RcsB	cspD//
GadE_H-NS_Lrp_NsrR	fixB//
GadE_H-NS_MatA	nemA//
GadE_H-NS_RcsAB	citX//
GadE_MarA_PurR	galK//
GadW_GadX_RcsB	ybjC//
GalR_GalS	yhiD//
GlrR_IHF	galM//
H-NS_IHF	yjjQ//gdhA//fnr//
H-NS_IHF_Lrp	safA//gapA//metN//fixA//hupB//fpr//ynfF//
H-NS_LeuO	lsrB//mazF//
H-NS_LeuO_RcsB-BglJ_StpA	lacY//
H-NS_LrhA_Lrp	moaC//
H-NS_Lrp	hdeB//pqiB//
H-NS_Lrp_NhaR_RcsB	edd//
H-NS_Lrp_StpA	moaB//
H-NS_McbR	chbG//casA//malQ//
H-NS_NhaR	degP//rrfD//
H-NS_OmpR	putA//
H-NS_PhoB_RcdA_RstA	ilvG_2//
HU_IHF_TrpR_TyrR	uspA//
HU_IHF_TyrR	narK//
HigA_HigB-HigA	cas2//lacA//
HipAB_HipB_IHF	actP//mdtA//
HypT_MetJ	fadE//pdeL//carB//
HypT_MetJ_PhoP	folA//feoC//
IHF_Lrp	baeR//citE//dgcZ//ilvM//glpQ//rplW//hipA//dadA//
IHF_NsrR	hisP//
IHF_NtrC	fimB//hypD//
IHF_PhoP	ddlB//
IHF_PspF	xylF//ileT//asnC//cysI//gatY//ycdZ//
IHF_RcsAB	paaC//waaZ//dppA//ssrS//
IHF_RtcR	fliH//napC//
IHF_TyrR	fimE//
IHF_UlaR	paaK//
LexA_MraZ_PdhR	ybdZ//mazG//ugpB//modB//gadY//phoQ//yciE//fumC//rpoE//pspC//galM//
LexA_MraZ_PdhR_RcsB_SdiA	rpsJ//bhsA//
LexA_MraZ_PdhR_SdiA	srlA//
LexA_NagC	nikR//
LexA_RcdA	gnd//
LexA_RcsB-BglJ	yoeB//
MarA_OxyR_Rob_SoxS	acnA//manX//ulaE//sroD//
MarA_PhoP_Rob_SoxS	hcr//feoC//ulaC//yiaO//
MarA_Rob_SoxS	yiaJ//pgaD//glpT//ulaB//rseC//
MarA_SoxS	gutM//lsrC//nrdH//rpoE//ydhT//
MetJ_MetR	actP//casA//
MetJ_OxyR	rrfB//cirA//
MetR_PurR	csgC//
MraZ_PdhR	appX//appB//
Nac_PurR	murE//hybE//
NarL_TorR	sufC//yciF//oxyR//
NemR_RutR	chiP//rrfE//feaB//
NhaR_OmpR	guaB//nuoM//nuoB//yafQ//
NorR_NsrR	fadE//
NsrR_PhoB	nrdI//
OxyR_SoxS	ulaF//
PdhR_PhoP	sgbE//
PgrR_TyrR	malE//
PhoB_PhoP	prfA//
PhoP_PurR_RbsR	puuB//nrdA//
RelB_RelB-RelE	hupB//araF//aceF//
TrpR_TyrR	fucP//hypB//pgaB//
YefM_YefM-YoeB	oppC//pspA//
