#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	acrE//gyrA//
ArcA_FNR_Fis_IHF_NarL	dcuB//rutF//ftsA//fadD//chbC//pstC//norW//uidC//rplP//malG//argP//narK//nikC//
ArcA_FNR_Fur_IHF	ydhT//
ArcA_FNR_IHF	ssuE//fepE//pgaB//
ArcA_FNR_IHF_NarL	rbsR//fis//
ArcA_FNR_NarL	amtB//aroA//pdhR//nrfD//
ArcA_FNR_PhoP	cydC//
ArcA_FNR_PuuR	fur//rrfB//
ArcA_FadR	bglJ//mglA//ygiC//
ArcA_FadR_Fis	tsx//fpr//
ArcA_Fur_Lrp_ModE	trg//ndh//tnaB//nanS//araJ//
ArcA_GlcC_IHF_PdhR	fnr//dmsD//ydhY//xylA//gltB//sucB//
ArcA_LexA	flhD//frdC//
ArcA_LldR	flgM//dnaN//feoB//
ArcA_NarL	aceB//katG//casD//pspG//caiD//nuoA//nrfE//galM//
ArcA_NtrC_PhoP_RutR	tdcF//hisP//evgA//ilvE//mraZ//ydeO//citF//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	hyfI//hyfI//gnd//
ArgP_CRP_FNR_Fur_Nac	hypC//
ArgP_DnaA	ulaE//napH//glcE//
ArgP_Lrp	pgaA//rrfE//
ArgP_LysR	hypC//
ArgP_PhoB	glyA//
ArgR_CRP	frdD//
ArgR_CRP_Fis	tomB//entF//ulaA//hyaC//araD//ascF//rrfB//uidC//
ArgR_Fis_IHF_PepA_PurR_RutR	rrfD//hyfR//
ArgR_H-NS_NtrC	fumB//lacY//hypD//csiD//
ArgR_NtrC	ygiC//ygiA//mazE//norR//nrfG//
ArgR_PhoP	gcvH//
AscG_CRP	gspK//fucR//rbsD//
AscG_CRP_PhoB_PrpR	purN//
AsnC_MraZ_Nac	flhD//
AsnC_Nac	hyaF//metK//
AtoC_IHF	xylA//rbsB//murG//fucI//
BaeR_CpxR	casA//hns//psiE//hycH//fimB//ilvL//ndh//
BaeR_CpxR_EvgA	rpsQ//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	iclR//fes//csgB//ydhX//
BasR_CpxR_PdhR	appY//citX//
BasR_Fis	gspE//
BasR_H-NS_IHF_NagC_NanR	ccmH//
BasR_MarA_PutA	betT//
BasR_PhoP	acrB//
BasR_QseB	glgP//hemA//
CRP_CaiF_FNR	citD//rutC//fucP//tsx//
CRP_ChbR_NagC	yciE//ygiC//hyaD//baeS//yiaJ//mdh//
CRP_ComR	ilvM//
CRP_CpxR	hipB//
CRP_CpxR_CytR	yoaG//
CRP_CpxR_CytR_DnaA_IHF	cadB//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	sufA//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	dppD//yiaN//srlA//yfaE//
CRP_Cra	fadA//hycG//rimK//eda//ynfH//nuoM//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	ftsW//nrdI//dmsB//glpB//
CRP_Cra_FNR_PdhR	dps//
CRP_Cra_Fis	pstS//
CRP_Cra_Fis_GlcC	paaA//
CRP_Cra_Fis_MtlR	narX//ccmB//hcp//
CRP_Cra_Mlc_NagC	yoaG//nikC//entD//cysJ//creD//dps//
CRP_Cra_PrpR	rtcA//carA//lacZ//ilvM//
CRP_CreB_Fis_MalT	pstS//srlD//nrdH//
CRP_CsiR_H-NS_Lrp	katE//mpl//
CRP_CsiR_H-NS_Lrp_Nac	mhpA//gspJ//rrsC//
CRP_CspA_Fis	marB//
CRP_CytR	prmC//citX//rplW//
CRP_CytR_DeoR	dpiA//paaF//
CRP_CytR_DeoR_Fis_ModE	paaB//ccmA//fimE//mdtE//
CRP_CytR_Nac	fau//
CRP_CytR_NsrR	gutM//
CRP_DcuR_FNR_NarL	higA//
CRP_DinJ-YafQ	fecB//
CRP_DnaA_Fis_PurR	dcuC//ssuA//
CRP_DpiA_ExuR	casC//
CRP_DsdC	idnT//rplT//
CRP_EbgR	chiP//sgrT//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	pspD//hyaF//
CRP_ExuR	yqjI//
CRP_ExuR_FNR	rrsG//nagB//
CRP_ExuR_OxyR_UxuR	fimH//lacY//
CRP_ExuR_UxuR	nuoL//
CRP_FNR	appB//
CRP_FNR_FhlA_HyfR	yiaN//uof//paaZ//ftnA//araH//acs//citE//gltW//cspE//ompF//atoA//lysA//
CRP_FNR_Fis	xylA//mntH//ulaD//
CRP_FNR_Fis_GlpR_IHF	ilvH//pflB//
CRP_FNR_Fis_H-NS_SlyA	icd//
CRP_FNR_GcvA_Lrp_PurR	yjjQ//melR//gntK//
CRP_FNR_H-NS_NarL	fadE//
CRP_FNR_IHF_TdcA_TdcR	glnL//appY//waaZ//chbC//paaG//envZ//mlc//
CRP_FNR_NarL	malF//fabA//cusF//
CRP_FeaR_NsrR	idnO//
CRP_Fis	gutQ//mhpD//csgA//dadX//feaR//
CRP_Fis_FlhDC_GalR_GalS	bolA//manY//
CRP_Fis_FliZ_IHF_Lrp	rrlG//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	melR//gloA//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	garR//hybG//araG//
CRP_Fis_IHF	hybD//rrsE//ybfN//narH//evgA//
CRP_Fis_NanR	patA//thrV//entA//nirD//cydC//
CRP_Fis_NtrC	aroL//sucC//fabA//
CRP_Fis_XylR	nrdI//appC//bolA//
CRP_FlhDC_GalR_GalS	rsmH//
CRP_FucR	higB//mglB//fes//hyaB//metR//csgF//rplB//
CRP_Fur	hyaD//dsdC//manX//fliG//ompR//rrfF//yefM//yaiA//ompW//
CRP_Fur_HypT_PdhR	ygiA//ileU//emrY//hdeA//fucA//
CRP_Fur_OxyR_SoxS	ccmA//
CRP_GalR_GalS	acrB//
CRP_GalR_GalS_H-NS_HU	fiu//gcvH//fabZ//mglA//
CRP_GalR_GalS_NagC	xylR//
CRP_GlpR	tam//ssuE//tomB//
CRP_GntR	murF//sufB//
CRP_GntR_IdnR	tyrR//fimD//lsrK//pgaB//relA//asr//asr//
CRP_GntR_IscR	nfsB//
CRP_GutM_GutR_H-NS	cspI//citX//feoC//dppC//mnmG//torC//lacZ//
CRP_H-NS	dcuR//
CRP_H-NS_HipAB_HipB_NtrC	paaB//
CRP_H-NS_LacI	lsrC//nrdG//entD//
CRP_H-NS_LeuO	fimD//purR//rplM//ulaF//hyfD//hemA//araJ//
CRP_H-NS_MqsA	cusS//
CRP_IHF	ahpC//aroA//fucK//hybG//
CRP_IHF_MprA_OmpR	fimA//
CRP_IHF_NsrR	aslB//
CRP_IHF_PaaX	narX//ftsA//dpiA//oppD//dcuA//caiT//gspG//relE//rrfA//cusF//metE//pyrD//
CRP_IHF_UlaR	mazG//zinT//flhD//gadB//yjbE//nikE//
CRP_IHF_YiaJ	hycH//feoB//ccmC//bglB//lgoR//gntP//rplB//rrsA//fadD//manX//
CRP_LexA	hyfA//
CRP_Lrp	rseB//yeiL//recF//fbaA//
CRP_Lrp_Mlc	metB//
CRP_Lrp_Nac	gcvP//
CRP_LsrR	tauC//tdcG//betB//aspC//poxB//frdB//psiE//yaiA//mazE//
CRP_MalI	nfo//fimB//cspI//
CRP_MalT	hybO//tolC//nemR//
CRP_MalT_PhoP	frdB//
CRP_MelR	cas2//csgB//rrfG//
CRP_MetJ	glcD//
CRP_MhpR	flhD//cyoE//ccmD//dppC//nrdI//dctR//
CRP_Mlc	ydhV//araB//
CRP_ModE	entD//hypA//fliH//
CRP_MurR	purM//rutC//
CRP_Nac_NsrR_PhoB	ubiA//
CRP_NadR	citF//
CRP_NagC	mdtD//paaF//ugpC//rrfG//tdcB//accB//
CRP_NagC_NanR	purA//crr//yiaN//
CRP_NagC_PhoP	icd//
CRP_OxyR	rplM//
CRP_OxyR_UxuR	hypD//
CRP_PhoB	betI//tcyJ//gadE//hycC//nrfE//napB//
CRP_PhoP	metY//fimE//lpd//
CRP_PutA	oppB//
CRP_RbsR	srlD//glgA//yhcH//hyfB//hcr//narG//
CRP_RhaR_RhaS	frdD//glnG//
CRP_RhaS	pheM//prpC//treC//
CRP_Rob	rhaR//
CRP_TorR	rrfH//nuoE//atoA//
CRP_UhpA_UvrY	srlA//
CRP_UidR_UxuR	tdcF//appX//tyrP//
CRP_UvrY	osmC//
CRP_YehT	ugpE//
CRP_ZraR	torC//feaB//
CadC_FNR_H-NS_LeuO_MlrA	pdeL//
Cbl_CysB	yiaL//ftsW//galS//araE//
Cbl_CysB_FNR_IHF	exuR//nrdG//citE//fadH//fadI//
CdaR_FNR_Fis_Fur_H-NS	lrp//
CdaR_FNR_Fur_H-NS	rpsI//aldA//glgC//pck//
CpxR_CsgD_FliZ	cusR//dppD//oppF//
CpxR_CysB	udp//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	yciE//
CpxR_GadE	frdA//malK//nuoJ//yoeB//
CpxR_H-NS	fliF//
CpxR_NsrR	gdhA//
CpxR_RcsB	astD//
CpxR_TyrR	yrbL//
Cra_FNR_Fis_Lrp_NarL	cysM//
Cra_FNR_Fur_MarA_Rob_SoxS	fiu//
Cra_FhlA_FlhDC	casB//
Cra_GntR_KdgR	metE//
Cra_GntR_KdgR_PhoB	sodA//
Cra_MarA_SoxS	flgM//
Cra_PdeL	paaZ//
Cra_SgrR	lpxD//lhgO//yrbL//
Cra_TyrR	xylH//
CreB_NagC	fiu//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	yiaK//
CsgD_FlhDC	hyfH//lacA//fabZ//aidB//rrlB//slp//citD//yjjQ//atoD//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	waaY//glpA//
CspA_Fis_GadX_H-NS	hisM//
CueR_FNR_ModE	acnA//oppC//mpl//bamE//araE//
CusR_PhoB_YedW	glpC//hyaF//actP//hyaE//hypE//bglJ//paaD//
CysB_H-NS	oppB//norR//hmp//rnpB//ftsI//
CysB_HypT_IHF	metR//
CysB_IHF	narG//nac//
CysB_NtrC	hmp//
CysB_PhoP	alaV//
DcuR_FNR_NarL	ugpE//rplM//nrdI//phoQ//
DinJ-YafQ_LexA	hybO//nuoN//
DpiA_H-NS	gltD//
DsdC_NsrR	prmC//
EvgA_FNR	uhpT//ftsI//
EvgA_H-NS	relA//osmY//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	fecB//
EvgA_H-NS_PhoP_RcsB_YdeO	citX//
EvgA_PhoP_RcsB_YdeO	ynfG//
ExuR_UxuR	nuoJ//ascB//
FNR_FhlA_IHF_NsrR	rhaA//hlyE//dpiB//casB//puuE//
FNR_FhlA_NarL_NarP	rimP//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	ascB//pdhR//nrfF//gltW//nuoH//emrY//dppB//
FNR_Fis_IHF_ModE_NarL	mazE//rbsB//rutD//
FNR_Fis_IHF_NarL	argP//
FNR_Fis_IHF_NarL_RstA	mpl//pstS//ompC//ccmD//
FNR_FlhDC	bglJ//
FNR_FlhDC_IscR_ModE_NarL_NarP	aroG//marB//ahpF//ybiT//pspC//mtlA//hokD//
FNR_FlhDC_ModE_NarL_NarP	sucA//entH//fixB//proW//uxuA//csgC//sufB//lamB//
FNR_Fur	waaY//gatC//
FNR_Fur_GadE	cysU//
FNR_Fur_GadX_NtrC	entA//nanT//
FNR_Fur_H-NS	yrbL//tdcA//osmE//nikR//
FNR_Fur_MetR_NsrR	entD//
FNR_Fur_Nac_NtrC	rbfA//
FNR_Fur_NagC	nuoI//nikR//fadB//
FNR_Fur_OxyR	gyrA//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	fadA//
FNR_H-NS	ynfF//malY//
FNR_H-NS_NrdR	idnK//puuD//
FNR_IHF	nhaA//lsrR//nhaA//hybG//paaE//
FNR_IHF_Lrp_YeiL	gadF//
FNR_IHF_NarL_NarP_NorR	astC//ybdN//
FNR_IHF_PhoB	tsx//mglB//relB//cysM//sodB//
FNR_MalT	ssrS//metI//
FNR_ModE	fixB//ilvA//
FNR_NarL	ldtB//gadF//pqiA//gltV//lamB//ynfH//
FNR_NarL_NarP	narI//hycG//galM//acrF//purR//norR//malI//oppA//nrfF//
FNR_NarL_NarP_NsrR	gadF//
FNR_NarL_NarP_NsrR_OxyR	atoE//pstC//
FNR_NarL_NikR	srlE//hpt//bglF//gspE//gatY//pspA//
FNR_NsrR	paaF//pdeL//cdd//
FNR_OxyR	aidB//
FNR_PurR	nirB//hybD//
FNR_YqjI	rhaT//
FabR_FadR	rrfD//fliG//
FadR_IHF	ynfH//
FadR_IclR	fecA//
FhlA_FlhDC	sufC//
FhlA_IHF_ModE_NsrR	fliF//malG//appB//pstA//ompW//evgA//hyfI//lgoR//purA//
FhlA_IHF_NsrR	agaA//
Fis_Fur	iclR//
Fis_H-NS	ccmH//
Fis_H-NS_IHF_MntR_OxyR	marB//
Fis_H-NS_Lrp	uidB//proW//gntP//frdD//sbmC//aer//acrE//araB//argG//gcvH//atoA//nrdF//garK//fnr//lyxK//metE//focA//argP//fliE//dcuD//yoeB//hyfE//nhaR//deoA//
Fis_H-NS_Lrp_StpA	tdcA//ubiA//
Fis_IHF	fliG//
Fis_IHF_NtrC	pspC//rcnB//
Fis_IHF_OmpR_RcsB	norR//
Fis_Lrp	astD//moeB//hypE//rrfE//hybO//rrlH//caiA//uvrA//lsrB//
Fis_MazE_MazE-MazF	lacA//
Fis_NarL	frdC//
Fis_NarL_NarP_NsrR	rrfD//ynfK//
Fis_PurR	hycF//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	malK//hycH//gnd//
FliZ_RutR	ompW//
Fur_H-NS	fucU//ilvA//hokD//rhaS//rutE//sroD//agaW//nrfE//gabP//norV//mdtF//trg//udp//
Fur_IHF_IscR_NsrR_OxyR	entA//cysJ//ileT//nikE//rutB//dpiA//
Fur_IscR_NrdR	nrdE//fliI//fliZ//mntH//
Fur_MetR	sdhA//
Fur_MntR	crp//
Fur_MntR_OxyR	sroD//
Fur_OxyR	cydB//
Fur_PurR	rrfA//aceK//
Fur_RcnR	rcnA//rrlH//
Fur_RutR	rhaD//
Fur_SoxS_Zur	rrfF//
Fur_YqjI	hybC//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	hlyE//ydeO//
GadE-RcsB_H-NS	astD//
GadE-RcsB_PhoB	citC//
GadE-RcsB_Rob	moaB//
GadE_GadX_H-NS_PhoP_RcsB	araG//
GadE_H-NS_Lrp_NsrR	sufC//
GadE_H-NS_MatA	nrdF//
GadE_H-NS_RcsAB	ilvI//
GadE_MarA_PurR	gcvH//
GadW_GadX_RcsB	murE//
GalR_GalS	nrdD//
GlrR_IHF	skp//
H-NS_IHF	ssrS//fliE//ssuC//
H-NS_IHF_Lrp	glpK//hyaD//proW//fliI//fliI//rplC//caiA//
H-NS_LeuO	fliG//mpl//
H-NS_LeuO_RcsB-BglJ_StpA	rutE//
H-NS_LrhA_Lrp	lldP//
H-NS_Lrp	aldB//ssuD//
H-NS_Lrp_NhaR_RcsB	nagA//
H-NS_Lrp_StpA	hha//
H-NS_McbR	galE//pck//sgrT//
H-NS_NhaR	nrdD//cysW//
H-NS_OmpR	pqiB//
H-NS_PhoB_RcdA_RstA	hycI//
HU_IHF_TrpR_TyrR	casE//
HU_IHF_TyrR	dnaN//
HigA_HigB-HigA	mraY//moaB//
HipAB_HipB_IHF	proV//rhaB//
HypT_MetJ	frdB//ccmG//fdhF//
HypT_MetJ_PhoP	mdh//nuoE//
IHF_Lrp	feoC//mhpB//nfsB//narX//mglA//nrfF//nemA//xylB//
IHF_NsrR	pqiB//
IHF_NtrC	ybdZ//ssrS//
IHF_PhoP	ygiC//
IHF_PspF	dppC//rrlB//hycF//caiB//cydA//rutD//
IHF_RcsAB	rrfA//ptsH//acnB//dmsA//
IHF_RtcR	mnmG//araD//
IHF_TyrR	malQ//
IHF_UlaR	tauB//
LexA_MraZ_PdhR	tpx//gspI//gabP//araD//rbsD//pspD//pgaD//ilvX//nirB//paaK//accC//
LexA_MraZ_PdhR_RcsB_SdiA	fliK//mdtC//
LexA_MraZ_PdhR_SdiA	hyfJ//
LexA_NagC	rutG//
LexA_RcdA	rbsK//
LexA_RcsB-BglJ	fucK//
MarA_OxyR_Rob_SoxS	hypE//cyoA//frdB//nagB//
MarA_PhoP_Rob_SoxS	garL//hha//rrfD//ydhX//
MarA_Rob_SoxS	caiT//malS//acnA//acnA//ybfN//
MarA_SoxS	ydhU//qseB//phoQ//sucD//tnaB//
MetJ_MetR	ppiA//yecR//
MetJ_OxyR	aroL//napC//
MetR_PurR	nrfG//
MraZ_PdhR	ugpA//acnB//
Nac_PurR	grcA//norR//
NarL_TorR	chbF//manX//mazE//
NemR_RutR	fliZ//carA//rutC//
NhaR_OmpR	garK//appA//manX//metL//
NorR_NsrR	proW//
NsrR_PhoB	gspI//
OxyR_SoxS	appX//
PdhR_PhoP	gabP//
PgrR_TyrR	caiC//
PhoB_PhoP	creD//
PhoP_PurR_RbsR	nikD//moaC//
RelB_RelB-RelE	stpA//bglF//rpoH//
TrpR_TyrR	chbR//rseB//glcE//
YefM_YefM-YoeB	sdhD//waaY//
