#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	gltW//gspI//
FNR_FlhDC_ModE_NarL_NarP	idnO//emrY//argD//yjjQ//pspG//ydhY//gutM//murG//
FNR_Fur	mhpA//cysU//
FNR_Fur_GadE	ygiB//
FNR_Fur_GadX_NtrC	icd//aidB//
FNR_Fur_H-NS	lrp//hyaB//aroM//caiC//
FNR_Fur_MetR_NsrR	metN//
FNR_Fur_Nac_NtrC	hypC//
FNR_Fur_NagC	uidC//glnA//aslB//
FNR_Fur_OxyR	fliJ//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	rbsA//
FNR_H-NS	cusC//rcnB//
FNR_H-NS_NrdR	waaZ//hycC//
FNR_IHF	malF//aroL//xylB//nikE//metK//
FNR_IHF_Lrp_YeiL	hyfE//
FNR_IHF_NarL_NarP_NorR	hemL//garK//
FNR_IHF_PhoB	narL//marB//ugpC//napF//dcuS//
FNR_MalT	pnp//rrsE//
FNR_ModE	rplD//yiaO//
FNR_NarL	ubiC//purA//dppF//focA//emrY//acrA//
FNR_NarL_NarP	ybfN//lpxC//higB//sufA//nuoM//paaA//murP//fimB//lyxK//
FNR_NarL_NarP_NsrR	nrfA//
FNR_NarL_NarP_NsrR_OxyR	rutC//hyfB//
FNR_NarL_NikR	hyaD//nuoM//evgS//flhC//uspA//glgA//
FNR_NsrR	metQ//ccmH//trg//
FNR_OxyR	hipA//
FNR_PurR	garK//napF//
FNR_YqjI	mlc//
FabR_FadR	lsrK//ygeA//
FadR_IHF	dgcZ//
FadR_IclR	rrsD//
FhlA_FlhDC	ccmA//
FhlA_IHF_ModE_NsrR	lldD//aer//glcD//hyfD//rpsO//truB//safA//putA//chbF//
FhlA_IHF_NsrR	idnT//
Fis_Fur	rcnA//
Fis_H-NS	ulaE//
Fis_H-NS_IHF_MntR_OxyR	cusB//
Fis_H-NS_Lrp	yiaM//ydhU//uidC//gspC//hybF//gutQ//torD//nikB//csgC//nrfA//puuA//nac//hycC//fumA//yefM//accC//nuoF//hyaB//deoA//rplW//sdhD//relE//nrdD//uspA//
Fis_H-NS_Lrp_StpA	rpsI//glcA//
Fis_IHF	yefM//
Fis_IHF_NtrC	cysG//nrfB//
Fis_IHF_OmpR_RcsB	idnR//
Fis_Lrp	ssuD//uxuB//pheM//cas1//entC//aidB//entA//yhiM//dmsB//
Fis_MazE_MazE-MazF	mdtB//
Fis_NarL	ydhV//
Fis_NarL_NarP_NsrR	araB//proV//
Fis_PurR	ptsI//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	ygiA//malS//ydhU//
FliZ_RutR	glcG//
Fur_H-NS	hyfI//envZ//srlD//dppF//entH//mhpE//rrfF//dsdX//pstB//relB//metE//sdhA//narX//
Fur_IHF_IscR_NsrR_OxyR	hyaC//glnP//purM//fucU//gabP//sdhD//
Fur_IscR_NrdR	chbB//deoD//paaD//zraR//
Fur_MetR	tdcF//
Fur_MntR	aspA//
Fur_MntR_OxyR	degP//
Fur_OxyR	ugpC//
Fur_PurR	nanA//lpd//
Fur_RcnR	ilvL//lsrK//
Fur_RutR	gadY//
Fur_SoxS_Zur	rrfF//
Fur_YqjI	ileU//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	fadH//glnD//
GadE-RcsB_H-NS	dsdA//
GadE-RcsB_PhoB	acrE//
GadE-RcsB_Rob	fliZ//
GadE_GadX_H-NS_PhoP_RcsB	gntP//
GadE_H-NS_Lrp_NsrR	narH//
GadE_H-NS_MatA	rob//
GadE_H-NS_RcsAB	glgA//
GadE_MarA_PurR	rbsD//
GadW_GadX_RcsB	paaC//
GalR_GalS	rutF//
GlrR_IHF	rutE//
H-NS_IHF	fucA//idnK//dppB//
H-NS_IHF_Lrp	citD//pspB//pgaC//rsmH//mtlR//fecA//tauA//
H-NS_LeuO	moaE//nrdA//
H-NS_LeuO_RcsB-BglJ_StpA	puuA//
H-NS_LrhA_Lrp	napG//
H-NS_Lrp	marA//aceA//
H-NS_Lrp_NhaR_RcsB	acnA//
H-NS_Lrp_StpA	appB//
H-NS_McbR	deoB//torD//ilvM//
H-NS_NhaR	yciE//ompC//
H-NS_OmpR	yiaM//
H-NS_PhoB_RcdA_RstA	pspG//
HU_IHF_TrpR_TyrR	ackA//
HU_IHF_TyrR	prpD//
HigA_HigB-HigA	tdcG//melR//
HipAB_HipB_IHF	entF//uspA//
HypT_MetJ	flgM//tdcF//mdtA//
HypT_MetJ_PhoP	cysA//sroD//
IHF_Lrp	fimE//hns//hycH//nupC//waaH//feoC//gspF//malP//
IHF_NsrR	ilvE//
IHF_NtrC	paaA//srlD//
IHF_PhoP	fepE//
IHF_PspF	codB//sdhB//purH//sufA//adhE//rbsK//
IHF_RcsAB	ftsA//ptsI//prfA//fur//
IHF_RtcR	dpiB//oppF//
IHF_TyrR	rbfA//
IHF_UlaR	argD//
LexA_MraZ_PdhR	hisP//paaC//hdeD//lpxA//rbsD//narX//relE//ulaD//cytR//ulaA//rutC//
LexA_MraZ_PdhR_RcsB_SdiA	garP//gadE//
LexA_MraZ_PdhR_SdiA	puuC//
LexA_NagC	lgoR//
LexA_RcdA	garL//
LexA_RcsB-BglJ	gntP//
MarA_OxyR_Rob_SoxS	yjcH//sodB//nirC//rrlD//
MarA_PhoP_Rob_SoxS	fucR//spy//rseA//ftsW//
MarA_Rob_SoxS	hdeD//fadL//metY//csgA//tpx//
MarA_SoxS	glpA//fliI//hyaA//narH//fadB//
MetJ_MetR	glnH//lpxD//
MetJ_OxyR	hybD//ynfE//
MetR_PurR	patA//
MraZ_PdhR	dpiA//puuD//
Nac_PurR	nfsA//prpB//
NarL_TorR	atoD//ftsL//tdcA//
NemR_RutR	ptsH//araF//uof//
NhaR_OmpR	atoB//pspB//rrfA//evgA//
NorR_NsrR	citX//
NsrR_PhoB	yjcH//
OxyR_SoxS	dmsA//
PdhR_PhoP	ftsQ//
PgrR_TyrR	ulaC//
PhoB_PhoP	araH//
PhoP_PurR_RbsR	marA//tauA//
RelB_RelB-RelE	sucC//hisP//galE//
TrpR_TyrR	caiB//patA//lacA//
YefM_YefM-YoeB	gltB//paaF//
