#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	nrdA//nanT//
ArcA_CRP_Fis_Mlc_SoxS	lldD//
ArcA_CRP_Fis_XylR	hypA//
ArcA_CRP_Fur_GadX_MqsA	manY//
ArcA_CRP_GatR	mdtA//cspD//rrfF//yoeB//ugpE//alaT//
ArcA_CRP_GlpR	ompW//
ArcA_CRP_IHF	idnR//
ArcA_CRP_PuuR	lsrR//putP//gadB//nmpC//fucA//
ArcA_CRP_RhaS	ycdZ//
ArcA_CRP_TreR	glgC//tcyJ//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	rrfB//accC//
ArcA_Cra	atoA//
ArcA_Cra_FNR_H-NS_HypT	carA//osmE//
ArcA_CysB_FNR	sodA//
ArcA_FNR	ilvA//astE//higA//cspE//murQ//crp//csgA//aceF//ilvE//yqjH//fliA//fis//nanA//bhsA//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	gspD//
ArcA_FNR_Fis_IHF_NarL	cspI//glpA//narL//lpd//gatC//gatD//rrfF//aroA//lysA//modB//csiE//yhiD//hyaD//
ArcA_FNR_Fur_IHF	mdtA//
ArcA_FNR_IHF	proP//puuB//hypB//
ArcA_FNR_IHF_NarL	psiE//rcnA//
ArcA_FNR_NarL	pspC//marA//purR//nfsA//
ArcA_FNR_PhoP	rutG//
ArcA_FNR_PuuR	mdh//dppD//
ArcA_FadR	ccmD//hyaB//yiaK//
ArcA_FadR_Fis	hyfJ//gspI//
ArcA_Fur_Lrp_ModE	fimI//waaY//poxB//casB//fadB//
ArcA_GlcC_IHF_PdhR	frdB//galP//narH//yiaN//frdA//ynfF//
ArcA_LexA	pspC//rplT//
ArcA_LldR	sucD//glpT//pqiB//
ArcA_NarL	hypC//tsx//nuoH//tyrP//adiC//ssb//cadC//rhaS//
ArcA_NtrC_PhoP_RutR	ssuA//lsrC//ilvG_2//pnp//fimB//nuoB//mtlR//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	norW//fliZ//bolA//
ArgP_CRP_FNR_Fur_Nac	ulaA//
ArgP_DnaA	hybO//murF//hemA//
ArgP_Lrp	moaA//rrsC//
ArgP_LysR	nanA//
ArgP_PhoB	leuO//
ArgR_CRP	rrsA//
ArgR_CRP_Fis	mtlR//rcnB//gatD//mtlA//rpmC//caiB//narI//ybjN//
ArgR_Fis_IHF_PepA_PurR_RutR	ybdN//exuR//
ArgR_H-NS_NtrC	cusR//tyrP//oxyR//gatZ//
ArgR_NtrC	hycD//ssuC//thrV//gspF//fadD//
ArgR_PhoP	fixC//
AscG_CRP	gspI//ptsG//carA//
AscG_CRP_PhoB_PrpR	ulaE//
AsnC_MraZ_Nac	hyaC//
AsnC_Nac	gspH//mhpD//
AtoC_IHF	paaK//yefM//rplW//galE//
BaeR_CpxR	xylF//gspI//tdcG//mdtF//casC//glnK//glnP//
BaeR_CpxR_EvgA	ptsG//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	entA//lsrG//nrdH//evgS//
BasR_CpxR_PdhR	prpE//tdcG//
BasR_Fis	katG//
BasR_H-NS_IHF_NagC_NanR	ileT//
BasR_MarA_PutA	fpr//
BasR_PhoP	uidB//
BasR_QseB	hpt//sufS//
CRP_CaiF_FNR	tdcF//gadB//yciF//caiT//
CRP_ChbR_NagC	galS//dpiA//fadD//nanT//srlD//adhE//
CRP_ComR	gcd//
CRP_CpxR	sufS//
CRP_CpxR_CytR	nrfG//
CRP_CpxR_CytR_DnaA_IHF	fucU//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	bglJ//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	yhiD//cadB//deoA//cyoB//
CRP_Cra	idnR//pstA//gatZ//exuR//csgC//puuE//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	fliA//yciF//prpD//pgaA//
CRP_Cra_FNR_PdhR	srlB//
CRP_Cra_Fis	puuP//
CRP_Cra_Fis_GlcC	yefM//
CRP_Cra_Fis_MtlR	pgaA//fecA//hyfJ//
CRP_Cra_Mlc_NagC	betT//hns//pspC//aspA//aldA//rrfD//
CRP_Cra_PrpR	fecE//ftsI//gspE//caiT//
CRP_CreB_Fis_MalT	glnK//aroL//fdnI//
CRP_CsiR_H-NS_Lrp	ompC//ssb//
CRP_CsiR_H-NS_Lrp_Nac	rimK//pgaA//cyoE//
CRP_CspA_Fis	ftsQ//
CRP_CytR	hycG//rpsJ//hyfA//
CRP_CytR_DeoR	qseC//gspD//
CRP_CytR_DeoR_Fis_ModE	narJ//ilvA//mlc//rutG//
CRP_CytR_Nac	ileU//
CRP_CytR_NsrR	tpx//
CRP_DcuR_FNR_NarL	adiC//
CRP_DinJ-YafQ	ndh//
CRP_DnaA_Fis_PurR	fimI//glmY//
CRP_DpiA_ExuR	tdcE//
CRP_DsdC	bolA//puuR//
CRP_EbgR	acnA//mdtA//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	rhaD//rpsJ//
CRP_ExuR	mdtB//
CRP_ExuR_FNR	gyrA//pspG//
CRP_ExuR_OxyR_UxuR	hybA//ompC//
CRP_ExuR_UxuR	lldR//
CRP_FNR	paaA//
CRP_FNR_FhlA_HyfR	ssuA//citC//rbfA//rrlA//nuoN//rrfC//dppF//csgB//nagB//yjbE//ydhX//gntU//
CRP_FNR_Fis	gatD//creD//mntH//
CRP_FNR_Fis_GlpR_IHF	gspC//cusS//
CRP_FNR_Fis_H-NS_SlyA	nrfF//
CRP_FNR_GcvA_Lrp_PurR	creD//rrsG//nanK//
CRP_FNR_H-NS_NarL	argG//
CRP_FNR_IHF_TdcA_TdcR	sucC//mtlR//nuoL//lhgO//xylH//relE//fabB//
CRP_FNR_NarL	ydeM//yrbL//mazF//
CRP_FeaR_NsrR	ftsI//
CRP_Fis	araB//ybiT//cysA//katE//rimK//
CRP_Fis_FlhDC_GalR_GalS	cspE//yoeB//
CRP_Fis_FliZ_IHF_Lrp	mtlD//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	chbC//yiaM//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	gspG//aceA//cusR//
CRP_Fis_IHF	lldR//uxuA//feoA//uof//rplM//
CRP_Fis_NanR	araC//hybB//gyrA//pstS//recF//
CRP_Fis_NtrC	ugpC//metN//paaI//
CRP_Fis_XylR	nagE//ydeO//nikD//
CRP_FlhDC_GalR_GalS	mtlD//
CRP_FucR	bamE//srlR//caiE//inaA//setA//malQ//dpiB//
CRP_Fur	gatB//sucA//paaA//nuoN//lsrK//fiu//bamE//hokD//melR//
CRP_Fur_HypT_PdhR	nikD//acrE//ptsH//gatC//dusB//
CRP_Fur_OxyR_SoxS	murP//
CRP_GalR_GalS	rcnB//
CRP_GalR_GalS_H-NS_HU	fimE//slp//gadB//metE//
CRP_GalR_GalS_NagC	oppF//
CRP_GlpR	mlc//carA//moeB//
CRP_GntR	oppB//glpB//
CRP_GntR_IdnR	adiC//lysP//gloA//yjbF//paaB//narK//uxuA//
CRP_GntR_IscR	tdcD//
CRP_GutM_GutR_H-NS	sdhB//katE//rsmH//lsrC//marB//ulaD//nanC//
CRP_H-NS	ugpQ//
CRP_H-NS_HipAB_HipB_NtrC	gspM//
CRP_H-NS_LacI	hypF//ftsW//ssuD//
CRP_H-NS_LeuO	cusA//rplP//gapA//paaB//fliG//nrdB//napF//
CRP_H-NS_MqsA	rrfE//
CRP_IHF	fadJ//sodA//srlR//hcp//
CRP_IHF_MprA_OmpR	flgN//
CRP_IHF_NsrR	rrfA//
CRP_IHF_PaaX	lldP//iclR//feoB//rseC//nanE//fixA//nrdF//glcB//hipA//adiA//mazF//uxuA//
CRP_IHF_UlaR	fliG//hycD//rrsH//idnT//evgS//nagC//
CRP_IHF_YiaJ	rrsE//sdhA//gatC//rrsC//hycI//stpA//safA//fiu//lhgO//ompR//
CRP_LexA	glcB//
CRP_Lrp	ydhT//glpD//hlyE//ynfF//
CRP_Lrp_Mlc	narH//
CRP_Lrp_Nac	xylB//
CRP_LsrR	sufE//hyfH//cspE//rsmH//acrE//higA//yciE//rrlE//gapA//
CRP_MalI	rpsO//ugpB//gatB//
CRP_MalT	envZ//mraY//fdhF//
CRP_MalT_PhoP	fimE//
CRP_MelR	fhlA//glnD//hyfF//
CRP_MetJ	ynfF//
CRP_MhpR	tdcB//caiB//alaT//ulaG//cas1//narX//
CRP_Mlc	rrfD//entA//
CRP_ModE	phoQ//pflB//envZ//
CRP_MurR	hybO//gltU//
CRP_Nac_NsrR_PhoB	gadY//
CRP_NadR	fixB//
CRP_NagC	ulaG//uhpT//ebgA//argG//ugpA//ybjN//
CRP_NagC_NanR	norW//pgaB//glmY//
CRP_NagC_PhoP	nuoE//
CRP_OxyR	deoC//
CRP_OxyR_UxuR	fliA//
CRP_PhoB	hypA//ubiC//mlc//gntP//hyfE//csiE//
CRP_PhoP	nrdH//dsdX//ssuB//
CRP_PutA	hemL//
CRP_RbsR	lsrB//rrlA//fes//cyoA//agaV//lsrA//
CRP_RhaR_RhaS	sufE//rrfH//
CRP_RhaS	fucA//ptsH//dppD//
CRP_Rob	deoC//
CRP_TorR	paaE//ydeO//aroM//
CRP_UhpA_UvrY	soxR//
CRP_UidR_UxuR	cusR//xylA//ilvL//
CRP_UvrY	acrA//
CRP_YehT	cspE//
CRP_ZraR	astD//narJ//
CadC_FNR_H-NS_LeuO_MlrA	idnT//
Cbl_CysB	molR_1//cyaR//appY//lpxD//
Cbl_CysB_FNR_IHF	dpiA//hyfG//fliC//mnmG//galS//
CdaR_FNR_Fis_Fur_H-NS	mnmG//
CdaR_FNR_Fur_H-NS	sufE//hypB//gyrA//casA//
CpxR_CsgD_FliZ	gspD//kbaZ//tnaC//
CpxR_CysB	paaZ//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	ydeM//
CpxR_GadE	lgoR//glpD//rplW//tdcG//
CpxR_H-NS	gcvH//
CpxR_NsrR	asnC//
CpxR_RcsB	ccmE//
CpxR_TyrR	csrC//
Cra_FNR_Fis_Lrp_NarL	purN//
Cra_FNR_Fur_MarA_Rob_SoxS	dadX//
Cra_FhlA_FlhDC	ilvL//
Cra_GntR_KdgR	pstA//
Cra_GntR_KdgR_PhoB	yaiA//
Cra_MarA_SoxS	dinI//
Cra_PdeL	accC//
Cra_SgrR	sgbE//casC//narX//
Cra_TyrR	nemA//
CreB_NagC	cysW//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	nuoN//
CsgD_FlhDC	dmsA//narJ//rrlE//cyoB//cydB//dcuB//cspE//puuP//fucR//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	yiaM//crp//
CspA_Fis_GadX_H-NS	csiD//
CueR_FNR_ModE	fliI//rrsA//ilvG_2//gadF//rimP//
CusR_PhoB_YedW	appC//tauB//hyfG//tnaC//uxaB//nfsB//lhgO//
CysB_H-NS	adhE//dmsB//entB//cadC//osmE//
CysB_HypT_IHF	hybB//
CysB_IHF	oppB//zinT//
CysB_NtrC	cadB//
CysB_PhoP	glnP//
DcuR_FNR_NarL	lpxD//entA//gadE//ansB//
DinJ-YafQ_LexA	entD//dmsA//
DpiA_H-NS	yjbH//
DsdC_NsrR	infB//
EvgA_FNR	katG//gadY//
EvgA_H-NS	phoU//sgrS//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	bglF//
EvgA_H-NS_PhoP_RcsB_YdeO	oppC//
EvgA_PhoP_RcsB_YdeO	napG//
ExuR_UxuR	hypD//appA//
FNR_FhlA_IHF_NsrR	ileU//lldD//nrfF//fliG//malS//
FNR_FhlA_NarL_NarP	ftsW//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	fucA//malM//gspL//fixA//araJ//rrsC//lpxA//
FNR_Fis_IHF_ModE_NarL	paaZ//cirA//ileV//
FNR_Fis_IHF_NarL	rbsC//
FNR_Fis_IHF_NarL_RstA	chbR//emrY//pqiA//puuE//
FNR_FlhDC	fadA//
FNR_FlhDC_IscR_ModE_NarL_NarP	ldtB//ahpC//yiaM//csgA//nanE//gltV//puuR//
FNR_FlhDC_ModE_NarL_NarP	gltB//pgaC//glnP//iclR//ccmH//hycI//ygiB//prpR//
FNR_Fur	puuP//bglG//
FNR_Fur_GadE	astA//
FNR_Fur_GadX_NtrC	glcE//napH//
FNR_Fur_H-NS	sgrS//frdD//mlc//dcuB//
FNR_Fur_MetR_NsrR	chbA//
FNR_Fur_Nac_NtrC	gutM//
FNR_Fur_NagC	galM//gntU//pdhR//
FNR_Fur_OxyR	serC//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	moaE//
FNR_H-NS	entE//uxuB//
FNR_H-NS_NrdR	fadI//sucB//
FNR_IHF	araB//metI//gspD//prpR//ydhU//
FNR_IHF_Lrp_YeiL	tnaA//
FNR_IHF_NarL_NarP_NorR	pgaB//nrfG//
FNR_IHF_PhoB	araA//rplC//csgA//lgoR//glnP//
FNR_MalT	galE//rrsA//
FNR_ModE	dppA//fliZ//
FNR_NarL	dppC//glnG//narI//glnA//dsdX//paaD//
FNR_NarL_NarP	hdeA//rpsO//mhpA//ccmC//astE//nfuA//fadH//rrsA//hyfB//
FNR_NarL_NarP_NsrR	oppD//
FNR_NarL_NarP_NsrR_OxyR	ftsW//rimP//
FNR_NarL_NikR	casD//csgA//glnQ//aroL//rrfE//malS//
FNR_NsrR	fucR//rrfG//hyaA//
FNR_OxyR	cytR//
FNR_PurR	uxuA//tnaB//
FNR_YqjI	aspA//
FabR_FadR	higA//astC//
FadR_IHF	acs//
FadR_IclR	hycG//
FhlA_FlhDC	hyfI//
FhlA_IHF_ModE_NsrR	dmsC//pspG//cusB//uxaA//casB//ndh//asnC//ebgC//gcvH//
FhlA_IHF_NsrR	dgcZ//
Fis_Fur	metQ//
Fis_H-NS	prmC//
Fis_H-NS_IHF_MntR_OxyR	metY//
Fis_H-NS_Lrp	xylH//rhaS//relE//malS//crr//paaE//gatZ//betB//skp//cysP//nrfF//zwf//puuC//hybD//gadC//malQ//tcyJ//nikD//caiE//ascB//rbsB//tam//sucC//hyfE//
Fis_H-NS_Lrp_StpA	tdcB//lsrD//
Fis_IHF	entH//
Fis_IHF_NtrC	sdhD//ppiA//
Fis_IHF_OmpR_RcsB	rbsC//
Fis_Lrp	fucO//udp//gspL//ssuC//fliH//betI//gutQ//frdD//fliF//
Fis_MazE_MazE-MazF	ftnA//
Fis_NarL	rbsR//
Fis_NarL_NarP_NsrR	waaY//fepB//
Fis_PurR	pgaD//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	nikR//gutQ//ssuD//
FliZ_RutR	xylR//
Fur_H-NS	frdA//nupC//tpx//narL//yiaN//hcr//rpoH//casD//ynfF//entH//yiaN//exuR//hybO//
Fur_IHF_IscR_NsrR_OxyR	yiaO//yjiY//glcA//glcD//rplW//leuO//
Fur_IscR_NrdR	hcp//glcD//sgbU//ccmF//
Fur_MetR	hdeD//
Fur_MntR	soxS//
Fur_MntR_OxyR	folA//
Fur_OxyR	dcuC//
Fur_PurR	deoA//gabP//
Fur_RcnR	gadC//uvrA//
Fur_RutR	lsrG//
Fur_SoxS_Zur	ilvX//
Fur_YqjI	ddlB//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	treB//proV//
GadE-RcsB_H-NS	fepA//
GadE-RcsB_PhoB	ascB//
GadE-RcsB_Rob	glgP//
GadE_GadX_H-NS_PhoP_RcsB	citX//
GadE_H-NS_Lrp_NsrR	glpC//
GadE_H-NS_MatA	rrfD//
GadE_H-NS_RcsAB	entE//
GadE_MarA_PurR	pstC//
GadW_GadX_RcsB	mlc//
GalR_GalS	moaB//
GlrR_IHF	lysA//
H-NS_IHF	malQ//uidA//lhgO//
H-NS_IHF_Lrp	hypE//rrfA//narH//pck//ynfE//paaH//ilvE//
H-NS_LeuO	ihfA//ilvG_1//
H-NS_LeuO_RcsB-BglJ_StpA	rrfD//
H-NS_LrhA_Lrp	gapA//
H-NS_Lrp	ompC//metK//
H-NS_Lrp_NhaR_RcsB	fecD//
H-NS_Lrp_StpA	dcuC//
H-NS_McbR	glpT//fiu//ydeP//
H-NS_NhaR	csrC//tauA//
H-NS_OmpR	cspA//
H-NS_PhoB_RcdA_RstA	nagA//
HU_IHF_TrpR_TyrR	waaH//
HU_IHF_TyrR	lgoR//
HigA_HigB-HigA	paaC//yiaO//
HipAB_HipB_IHF	oppB//asr//
HypT_MetJ	nikB//sgrT//rtcB//
HypT_MetJ_PhoP	caiD//csiD//
IHF_Lrp	fadH//feaR//yqjI//atoB//rimP//rpsO//nmpC//hycF//
IHF_NsrR	chbA//
IHF_NtrC	asr//feaB//
IHF_PhoP	gltB//
IHF_PspF	pdhR//hcp//yeiL//chiP//mglC//micF//
IHF_RcsAB	uof//idnR//pgaA//rplT//
IHF_RtcR	fimH//argD//
IHF_TyrR	nac//
IHF_UlaR	cusC//
LexA_MraZ_PdhR	fixB//fadI//yciG//yeaR//flgN//puuA//manY//metR//alaV//rrlG//galS//
LexA_MraZ_PdhR_RcsB_SdiA	lrp//hdeB//
LexA_MraZ_PdhR_SdiA	guaB//
LexA_NagC	folA//
LexA_RcdA	relB//
LexA_RcsB-BglJ	xylF//
MarA_OxyR_Rob_SoxS	gutQ//nagC//dsdA//galP//
MarA_PhoP_Rob_SoxS	fadD//ppiA//ftsQ//glpC//
MarA_Rob_SoxS	envZ//uidC//pncB//cbl//fucI//
MarA_SoxS	carB//araC//qseC//lsrB//dmsB//
MetJ_MetR	gadA//pyrC//
MetJ_OxyR	narJ//osmE//
MetR_PurR	ptsH//
MraZ_PdhR	fnr//rcsA//
Nac_PurR	melA//modC//
NarL_TorR	bglB//fixA//dppD//
NemR_RutR	glnQ//caiT//nac//
NhaR_OmpR	fadE//nrfC//idnK//fis//
NorR_NsrR	umpH//
NsrR_PhoB	ascF//
OxyR_SoxS	gatB//
PdhR_PhoP	hmp//
PgrR_TyrR	ulaB//
PhoB_PhoP	hyfE//
PhoP_PurR_RbsR	norW//agaV//
RelB_RelB-RelE	caiB//gltW//fdhF//
TrpR_TyrR	bglJ//ccmB//fucR//
YefM_YefM-YoeB	glcD//rplT//
