#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	ebgA//nuoB//
CRP_DsdC	nrfE//ubiA//
CRP_EbgR	hycA//pqiA//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	ssuA//ilvM//
CRP_ExuR	argD//
CRP_ExuR_FNR	cspI//micF//
CRP_ExuR_OxyR_UxuR	citX//fnr//
CRP_ExuR_UxuR	degP//
CRP_FNR	yhcH//
CRP_FNR_FhlA_HyfR	cusA//fis//fepB//gltA//proX//murD//rutF//hybC//dcuS//mglC//nfo//glgA//
CRP_FNR_Fis	ompC//tyrR//fucA//
CRP_FNR_Fis_GlpR_IHF	adhE//flhD//
CRP_FNR_Fis_H-NS_SlyA	manX//
CRP_FNR_GcvA_Lrp_PurR	ssuD//cadC//mhpC//
CRP_FNR_H-NS_NarL	casE//
CRP_FNR_IHF_TdcA_TdcR	napG//soxR//zraS//moaD//ybjC//hha//glpK//
CRP_FNR_NarL	mhpB//alaU//gltU//
CRP_FeaR_NsrR	tdcF//
CRP_Fis	metE//mdh//fhlA//malG//uidC//
CRP_Fis_FlhDC_GalR_GalS	tpx//argD//
CRP_Fis_FliZ_IHF_Lrp	mtlA//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	tnaA//ssuE//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	rplV//pspE//yqjI//
CRP_Fis_IHF	nupG//csiE//nrfG//gutM//appA//
CRP_Fis_NanR	sucC//hybE//gltD//cusF//nrdI//
CRP_Fis_NtrC	nanA//sra//appX//
CRP_Fis_XylR	ccmH//yjbH//ihfA//
CRP_FlhDC_GalR_GalS	rseA//
CRP_FucR	yjcH//glgP//ldtB//crp//cusS//csgE//murD//
CRP_Fur	hycI//ompR//gspF//hybD//fadE//gspE//serC//nupC//feoB//
CRP_Fur_HypT_PdhR	hybE//murQ//ulaG//dnaN//frdC//
CRP_Fur_OxyR_SoxS	hydN//
CRP_GalR_GalS	metK//
CRP_GalR_GalS_H-NS_HU	lhgO//asr//fau//glcA//
CRP_GalR_GalS_NagC	dusB//
CRP_GlpR	gadA//rpsS//fixC//
CRP_GntR	glnH//paaF//
CRP_GntR_IdnR	hycA//glmY//prpE//nagC//gadF//mglC//pgaA//
CRP_GntR_IscR	mglC//
CRP_GutM_GutR_H-NS	atoA//fau//nuoM//ppiA//glgA//rseC//gcd//
CRP_H-NS	acs//
CRP_H-NS_HipAB_HipB_NtrC	pnp//
CRP_H-NS_LacI	ydeP//gloA//prpB//
CRP_H-NS_LeuO	yjcH//napD//ftsA//glpF//sroD//ybfN//hypA//
CRP_H-NS_MqsA	umpH//
CRP_IHF	rrlD//sgbE//entB//frdD//
CRP_IHF_MprA_OmpR	yfaE//
CRP_IHF_NsrR	phoQ//
CRP_IHF_PaaX	gltF//hybG//nagE//poxB//nfsA//nrdD//nupG//galT//argO//gltT//pgaD//lpxA//
CRP_IHF_UlaR	rpmC//ytfE//asr//rcsA//rhaA//patA//
CRP_IHF_YiaJ	nikD//aer//ccmD//serA//gadW//rrlA//glcF//sgbH//nrdI//srlD//
CRP_LexA	xylF//
CRP_Lrp	yiaL//yjiY//iclR//hipB//
CRP_Lrp_Mlc	betI//
CRP_Lrp_Nac	galS//
CRP_LsrR	moeB//astC//hdeB//fucU//treB//yaiA//glpQ//tdcE//ilvI//
CRP_MalI	nanK//hycG//aroA//
CRP_MalT	ihfA//yqjH//waaZ//
CRP_MalT_PhoP	hdeB//
CRP_MelR	deoC//tdcE//adiC//
CRP_MetJ	glgC//
CRP_MhpR	casC//galE//tdcB//cadB//rrsD//cirA//
CRP_Mlc	fdnG//caiT//
CRP_ModE	csrC//rrfE//chbG//
CRP_MurR	nac//sodB//
CRP_Nac_NsrR_PhoB	galM//
CRP_NadR	yecR//
CRP_NagC	araJ//tsx//murG//nikD//rplT//nuoA//
CRP_NagC_NanR	mraY//fadL//adiA//
CRP_NagC_PhoP	uvrA//
CRP_OxyR	phoU//
CRP_OxyR_UxuR	paaC//
CRP_PhoB	guaB//zraR//yhiM//hypA//sroD//hyfH//
CRP_PhoP	nirC//ydeN//paaA//
CRP_PutA	mtlR//
CRP_RbsR	mntP//ftsL//fepE//pdeR//lysP//fecB//
CRP_RhaR_RhaS	tdcC//pspG//
CRP_RhaS	mpl//gatB//dcuA//
CRP_Rob	ubiA//
CRP_TorR	sufE//ansB//csrC//
CRP_UhpA_UvrY	ilvI//
CRP_UidR_UxuR	pspE//ftsW//lsrC//
CRP_UvrY	aceA//
CRP_YehT	oppD//
CRP_ZraR	ftsZ//hycI//
CadC_FNR_H-NS_LeuO_MlrA	ndh//
Cbl_CysB	gntT//nemR//murP//mhpD//
Cbl_CysB_FNR_IHF	ugpB//relE//citD//pnp//csgB//
CdaR_FNR_Fis_Fur_H-NS	lpxC//
CdaR_FNR_Fur_H-NS	ynfF//glcA//cysG//gspO//
CpxR_CsgD_FliZ	betB//gltD//cysH//
CpxR_CysB	entB//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	atoA//
CpxR_GadE	pspG//fepE//gntP//leuO//
CpxR_H-NS	manZ//
CpxR_NsrR	higB//
CpxR_RcsB	fliJ//
CpxR_TyrR	ndh//
Cra_FNR_Fis_Lrp_NarL	fadE//
Cra_FNR_Fur_MarA_Rob_SoxS	galT//
Cra_FhlA_FlhDC	dsdA//
Cra_GntR_KdgR	nrdI//
Cra_GntR_KdgR_PhoB	glcA//
Cra_MarA_SoxS	fixX//
Cra_PdeL	dnaA//
Cra_SgrR	ybdZ//gspH//skp//
Cra_TyrR	fbaA//
CreB_NagC	dcuR//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	uxuA//
CsgD_FlhDC	sufC//tdcF//sucB//csgG//trg//entD//rplW//accB//nrdD//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	atoE//dpiB//
CspA_Fis_GadX_H-NS	gntX//
CueR_FNR_ModE	cusB//grcA//pqiB//setA//crr//
CusR_PhoB_YedW	hisM//yjbF//ybdN//tolC//betT//ugpB//asr//
CysB_H-NS	hyfR//tdcG//sgbH//norV//rutE//
CysB_HypT_IHF	glnK//
CysB_IHF	hyfJ//fimE//
CysB_NtrC	rrlE//
CysB_PhoP	rcnA//
DcuR_FNR_NarL	citF//fabA//yrbL//citC//
DinJ-YafQ_LexA	manZ//moaE//
DpiA_H-NS	paaE//
DsdC_NsrR	rrlC//
EvgA_FNR	nfsB//moaD//
EvgA_H-NS	glyA//nanM//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	ccmD//
EvgA_H-NS_PhoP_RcsB_YdeO	aidB//
EvgA_PhoP_RcsB_YdeO	deoA//
ExuR_UxuR	fabB//dgcZ//
FNR_FhlA_IHF_NsrR	caiF//lsrF//yiaM//gadB//ydeP//
FNR_FhlA_NarL_NarP	gadX//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	cusF//nuoC//cysH//sdhA//gspD//acrD//yjbG//
FNR_Fis_IHF_ModE_NarL	casE//gspK//mhpB//
FNR_Fis_IHF_NarL	nrfF//
FNR_Fis_IHF_NarL_RstA	argO//gspJ//exuT//entA//
FNR_FlhDC	hycH//
FNR_FlhDC_IscR_ModE_NarL_NarP	ilvG_2//csrC//poxB//feaR//melB//ulaG//aroG//
FNR_FlhDC_ModE_NarL_NarP	ytfE//glpF//nuoH//frdD//mtlR//purA//ydeM//gadE//
FNR_Fur	lamB//cydC//
FNR_Fur_GadE	glcE//
FNR_Fur_GadX_NtrC	csgF//cyoC//
FNR_Fur_H-NS	hycB//yjiY//ccmB//dpiA//
FNR_Fur_MetR_NsrR	napD//
FNR_Fur_Nac_NtrC	ssuD//
FNR_Fur_NagC	relB//sdhA//sdhD//
FNR_Fur_OxyR	glgA//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	uxaC//
FNR_H-NS	hdeD//melR//
FNR_H-NS_NrdR	rrsH//ssuE//
FNR_IHF	pgk//zraS//yiaJ//csgD//casC//
FNR_IHF_Lrp_YeiL	tdcG//
FNR_IHF_NarL_NarP_NorR	asr//uxaA//
FNR_IHF_PhoB	flhD//cas2//rrlG//cydC//hipA//
FNR_MalT	citX//hipB//
FNR_ModE	nupG//evgS//
FNR_NarL	tam//rhaR//nuoE//citD//tauC//fabA//
FNR_NarL_NarP	lsrA//uhpT//gadW//nrdF//sroD//lpxD//csiD//galR//rseC//
FNR_NarL_NarP_NsrR	astC//
FNR_NarL_NarP_NsrR_OxyR	iraM//ygiA//
FNR_NarL_NikR	csgA//mdtD//flhD//yjiY//nrfG//entF//
FNR_NsrR	dppF//metI//idnR//
FNR_OxyR	adiA//
FNR_PurR	galE//nfsA//
FNR_YqjI	asnC//
FabR_FadR	lhgO//bhsA//
FadR_IHF	gyrA//
FadR_IclR	pncB//
FhlA_FlhDC	puuP//
FhlA_IHF_ModE_NsrR	aspC//tauA//hisJ//dpiB//osmC//rseA//cydB//gabT//proV//
FhlA_IHF_NsrR	fau//
Fis_Fur	dinI//
Fis_H-NS	agaA//
Fis_H-NS_IHF_MntR_OxyR	gltA//
Fis_H-NS_Lrp	rrfB//phoQ//rrsD//yafQ//accB//tauA//hokD//hyfE//norW//puuR//katE//pgaC//purD//aceA//tsx//bglF//rhaB//lacA//narI//astD//ascB//dinI//adiA//tsx//
Fis_H-NS_Lrp_StpA	narL//hycF//
Fis_IHF	mglA//
Fis_IHF_NtrC	rrsG//ydeP//
Fis_IHF_OmpR_RcsB	mntH//
Fis_Lrp	paaC//gntP//idnD//hisM//hybO//dmsA//rplP//cyoC//entB//
Fis_MazE_MazE-MazF	entB//
Fis_NarL	rpsJ//
Fis_NarL_NarP_NsrR	rrlH//oppC//
Fis_PurR	gspF//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	yjjQ//xylB//casC//
FliZ_RutR	tam//
Fur_H-NS	malS//galE//dps//srlD//puuR//rnpB//cadB//pstC//hyfR//ydhT//ybiT//ybjN//melA//
Fur_IHF_IscR_NsrR_OxyR	uspA//rpsS//gadX//malG//frdD//dsdA//
Fur_IscR_NrdR	araC//araH//emrY//gspI//
Fur_MetR	nuoB//
Fur_MntR	lacA//
Fur_MntR_OxyR	mazE//
Fur_OxyR	marB//
Fur_PurR	nfsB//caiA//
Fur_RcnR	atoB//psiE//
Fur_RutR	xylR//
Fur_SoxS_Zur	rbsR//
Fur_YqjI	hyfB//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	narX//tnaC//
GadE-RcsB_H-NS	mtr//
GadE-RcsB_PhoB	rrlD//
GadE-RcsB_Rob	rrlE//
GadE_GadX_H-NS_PhoP_RcsB	bglF//
GadE_H-NS_Lrp_NsrR	srlD//
GadE_H-NS_MatA	ulaD//
GadE_H-NS_RcsAB	nuoF//
GadE_MarA_PurR	dsdC//
GadW_GadX_RcsB	zwf//
GalR_GalS	sufB//
GlrR_IHF	pstB//
H-NS_IHF	eda//oppA//ilvX//
H-NS_IHF_Lrp	mtlR//acrF//hyfA//grcA//ytfE//rutG//ssuB//
H-NS_LeuO	narK//gutQ//
H-NS_LeuO_RcsB-BglJ_StpA	poxB//
H-NS_LrhA_Lrp	nuoE//
H-NS_Lrp	hipB//metN//
H-NS_Lrp_NhaR_RcsB	aceF//
H-NS_Lrp_StpA	modC//
H-NS_McbR	tsx//malK//ogt//
H-NS_NhaR	yfaE//cysM//
H-NS_OmpR	ccmG//
H-NS_PhoB_RcdA_RstA	galS//
HU_IHF_TrpR_TyrR	moeA//
HU_IHF_TyrR	nhaA//
HigA_HigB-HigA	lpxA//argP//
HipAB_HipB_IHF	glcA//malI//
HypT_MetJ	creD//focA//relB//
HypT_MetJ_PhoP	phoQ//hyfJ//
IHF_Lrp	tdcF//ldtB//tnaB//galE//nrdH//nrdD//chbF//cadC//
IHF_NsrR	glcG//
IHF_NtrC	aroA//moeB//
IHF_PhoP	rplW//
IHF_PspF	fixA//gadE//hyfG//hha//dppD//actP//
IHF_RcsAB	modC//nuoM//xylA//cyoE//
IHF_RtcR	gltA//ynfF//
IHF_TyrR	dcuS//
IHF_UlaR	rrfA//
LexA_MraZ_PdhR	ulaA//nikA//relB//phoQ//yecR//fumA//rrlH//rhaR//malE//metQ//glnA//
LexA_MraZ_PdhR_RcsB_SdiA	rrsC//malQ//
LexA_MraZ_PdhR_SdiA	yiaJ//
LexA_NagC	pgaA//
LexA_RcdA	napD//
LexA_RcsB-BglJ	citD//
MarA_OxyR_Rob_SoxS	hisQ//ulaG//csgG//nrdE//
MarA_PhoP_Rob_SoxS	aslB//gcvT//cysM//paaD//
MarA_Rob_SoxS	hybO//lacA//mhpE//yhiD//fliG//
MarA_SoxS	yeaR//tauB//nagB//lsrA//relE//
MetJ_MetR	rrlH//purH//
MetJ_OxyR	astD//ydeO//
MetR_PurR	nuoN//
MraZ_PdhR	yiaL//nhaA//
Nac_PurR	icd//gadW//
NarL_TorR	torC//oppA//modA//
NemR_RutR	glcB//nuoB//manX//
NhaR_OmpR	rhaB//fucI//pqiA//rsmH//
NorR_NsrR	codA//
NsrR_PhoB	truB//
OxyR_SoxS	glmY//
PdhR_PhoP	mhpE//
PgrR_TyrR	entA//
PhoB_PhoP	hcp//
PhoP_PurR_RbsR	fepA//dcuD//
RelB_RelB-RelE	fliI//fecD//rrfG//
TrpR_TyrR	hyfR//nrdG//tnaA//
YefM_YefM-YoeB	dmsA//metK//
