#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	ilvM//pflB//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	tyrR//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	infB//
ArcA_CRP_FNR_IHF_NarL	sufS//
ArcA_CRP_FNR_NarL	glpC//
ArcA_CRP_FadR	hyfE//acrZ//
ArcA_CRP_FadR_HipB	dps//
ArcA_CRP_FadR_OmpR_PhoP	ynfE//
ArcA_CRP_Fis_Mlc_SoxS	prmC//
ArcA_CRP_Fis_XylR	uxuB//
ArcA_CRP_Fur_GadX_MqsA	entA//
ArcA_CRP_GatR	pspD//glnQ//putP//pspE//hyfB//gadW//
ArcA_CRP_GlpR	ugpQ//
ArcA_CRP_IHF	yciF//
ArcA_CRP_PuuR	glnA//caiD//fhuF//tauD//casA//
ArcA_CRP_RhaS	rimK//
ArcA_CRP_TreR	uxaA//caiA//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	gntP//purR//
ArcA_Cra	csiD//
ArcA_Cra_FNR_H-NS_HypT	fadJ//dsdA//
ArcA_CysB_FNR	aldA//
ArcA_FNR	fadJ//rplP//hycC//soxS//tsx//moaE//fepA//uxuB//folA//udp//pyrC//nuoK//nuoB//astA//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	appY//
ArcA_FNR_Fis_IHF_NarL	gltT//sucD//mtr//tdcB//manZ//fis//rrsC//lpxA//yiaK//phoU//ygiA//carA//prpE//
ArcA_FNR_Fur_IHF	yciE//
ArcA_FNR_IHF	moaC//nac//nemR//
ArcA_FNR_IHF_NarL	nuoC//ompW//
ArcA_FNR_NarL	fixA//hipB//guaA//nemA//
ArcA_FNR_PhoP	ilvG_1//
ArcA_FNR_PuuR	gspL//csgA//
ArcA_FadR	glgP//ydeM//cusR//
ArcA_FadR_Fis	glpK//phoU//
ArcA_Fur_Lrp_ModE	narK//crr//nuoM//araH//idnR//
ArcA_GlcC_IHF_PdhR	cusS//hha//rbsA//hyaF//infB//mdtD//
ArcA_LexA	ilvL//xylB//
ArcA_LldR	caiB//dmsA//ilvL//
ArcA_NarL	casD//fur//soxR//ydeN//appY//fumC//fiu//ulaE//
ArcA_NtrC_PhoP_RutR	rhaD//fimG//rob//cyoC//hns//glcB//paaC//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	oppA//ccmG//zraR//
ArgP_CRP_FNR_Fur_Nac	nirB//
ArgP_DnaA	galM//phoU//cydA//
ArgP_Lrp	rcnB//gltV//
ArgP_LysR	ilvX//
ArgP_PhoB	citG//
ArgR_CRP	mdtF//
ArgR_CRP_Fis	modA//gspI//pqiB//chiP//lpxC//glyA//srlE//dpiA//
ArgR_Fis_IHF_PepA_PurR_RutR	glcF//acnB//
ArgR_H-NS_NtrC	proP//rrfE//dsdX//pdeL//
ArgR_NtrC	uxuB//astE//nanM//fau//murP//
ArgR_PhoP	ybjN//
AscG_CRP	agaV//fucA//ompW//
AscG_CRP_PhoB_PrpR	xylH//
AsnC_MraZ_Nac	mdtB//
AsnC_Nac	xylR//glnA//
AtoC_IHF	safA//narK//tdcF//higA//
BaeR_CpxR	hisM//garK//marA//glcE//cusA//pdeR//rcnB//
BaeR_CpxR_EvgA	entB//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	fecC//nac//metE//cytR//
BasR_CpxR_PdhR	phoU//hyfJ//
BasR_Fis	hycH//
BasR_H-NS_IHF_NagC_NanR	chiP//
BasR_MarA_PutA	dadX//
BasR_PhoP	narH//
BasR_QseB	purH//gcvT//
CRP_CaiF_FNR	mhpA//codB//appA//ftsQ//
CRP_ChbR_NagC	cdd//gcvP//rplP//fumC//aroL//cyoB//
CRP_ComR	moeA//
CRP_CpxR	ccmG//
CRP_CpxR_CytR	melR//
CRP_CpxR_CytR_DnaA_IHF	idnK//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	fucK//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	fliZ//prpR//yhiM//dadA//
CRP_Cra	rpoE//hybE//nirC//cusA//nrfB//fixB//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	aspC//pspB//evgA//casC//
CRP_Cra_FNR_PdhR	hyaD//
CRP_Cra_Fis	alaU//
CRP_Cra_Fis_GlcC	entA//
CRP_Cra_Fis_MtlR	bhsA//galM//ccmD//
CRP_Cra_Mlc_NagC	relA//mhpA//molR_1//oxyR//ugpC//glpF//
CRP_Cra_PrpR	cyoB//rbsA//ilvE//dadX//
CRP_CreB_Fis_MalT	mpl//phoQ//hybB//
CRP_CsiR_H-NS_Lrp	nuoJ//torC//
CRP_CsiR_H-NS_Lrp_Nac	ptsH//rrfA//gutM//
CRP_CspA_Fis	ssuA//
CRP_CytR	glcD//nac//fecA//
CRP_CytR_DeoR	ycdZ//sodB//
CRP_CytR_DeoR_Fis_ModE	uxaB//uxuA//agaW//pgaC//
CRP_CytR_Nac	ulaE//
CRP_CytR_NsrR	pncB//
CRP_DcuR_FNR_NarL	ssb//
CRP_DinJ-YafQ	fliH//
CRP_DnaA_Fis_PurR	hdeD//glgA//
CRP_DpiA_ExuR	hycA//
CRP_DsdC	csgA//nrdI//
CRP_EbgR	yrbL//pspA//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	feoA//tdcE//
CRP_ExuR	fdnI//
CRP_ExuR_FNR	sufA//nrdG//
CRP_ExuR_OxyR_UxuR	idnR//paaE//
CRP_ExuR_UxuR	ubiC//
CRP_FNR	waaH//
CRP_FNR_FhlA_HyfR	rrlH//ulaB//nrfG//uspA//gntK//nupG//galP//dppC//rplB//lysP//mtlA//nrdE//
CRP_FNR_Fis	dnaA//sodA//marR//
CRP_FNR_Fis_GlpR_IHF	casD//udp//
CRP_FNR_Fis_H-NS_SlyA	araD//
CRP_FNR_GcvA_Lrp_PurR	nanT//rrfA//paaE//
CRP_FNR_H-NS_NarL	pdeR//
CRP_FNR_IHF_TdcA_TdcR	purH//fhuF//rrlE//uspA//uhpT//dpiB//hybA//
CRP_FNR_NarL	casC//cusR//pyrC//
CRP_FeaR_NsrR	rrlG//
CRP_Fis	glgA//agaV//nagB//bglF//csgD//
CRP_Fis_FlhDC_GalR_GalS	gatD//ftsQ//
CRP_Fis_FliZ_IHF_Lrp	nrfB//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	gatA//purR//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	aceE//rrlB//sdhA//
CRP_Fis_IHF	pncB//cysU//flgM//rutC//gatY//
CRP_Fis_NanR	cysB//mdtD//fliJ//nanS//cirA//
CRP_Fis_NtrC	astA//glnH//dcuD//
CRP_Fis_XylR	caiB//srlR//ptsH//
CRP_FlhDC_GalR_GalS	metH//
CRP_FucR	araD//rpsO//epd//gltD//gltT//gspM//pspA//
CRP_Fur	envZ//dinI//moaB//metQ//phoU//moaB//dgcZ//ileV//glpC//
CRP_Fur_HypT_PdhR	ccmE//gnd//hmp//csiD//entA//
CRP_Fur_OxyR_SoxS	poxB//
CRP_GalR_GalS	fixX//
CRP_GalR_GalS_H-NS_HU	fliG//relA//prpE//yqjH//
CRP_GalR_GalS_NagC	hybO//
CRP_GlpR	csgA//dgcZ//tyrR//
CRP_GntR	fimF//gspC//
CRP_GntR_IdnR	moaC//ftsQ//fdnH//caiC//paaK//yqjI//osmE//
CRP_GntR_IscR	hypC//
CRP_GutM_GutR_H-NS	patA//nagC//carB//citX//fixA//dpiB//rrlD//
CRP_H-NS	oppD//
CRP_H-NS_HipAB_HipB_NtrC	putP//
CRP_H-NS_LacI	moaD//rprA//pck//
CRP_H-NS_LeuO	accC//mntP//fimC//exuT//ybdZ//cysM//yjcH//
CRP_H-NS_MqsA	sdhC//
CRP_IHF	cyoD//ydhW//ynfG//pgaC//
CRP_IHF_MprA_OmpR	betT//
CRP_IHF_NsrR	prpB//
CRP_IHF_PaaX	rrlG//rhaD//tpx//lamB//hyfJ//cusF//ydhU//pdeL//prpC//murC//tauD//fadA//
CRP_IHF_UlaR	citD//araD//casC//relA//gadB//modB//
CRP_IHF_YiaJ	gspC//mdtE//hycH//ygiC//yhiD//hpt//ogt//skp//rrfF//bglG//
CRP_LexA	fumC//
CRP_Lrp	adiC//murQ//hycF//hyaC//
CRP_Lrp_Mlc	hycF//
CRP_Lrp_Nac	lgoR//
CRP_LsrR	gspD//glcF//yoeB//paaG//carB//dcuA//mraZ//hycF//araE//
CRP_MalI	fur//glnG//puuA//
CRP_MalT	qseC//hyfI//acnA//
CRP_MalT_PhoP	glcA//
CRP_MelR	argP//paaZ//pstS//
CRP_MetJ	mdtF//
CRP_MhpR	rhaS//cysJ//torD//udp//cas2//fimG//
CRP_Mlc	ilvX//sodB//
CRP_ModE	ydhW//hpt//sroD//
CRP_MurR	ydhV//bamE//
CRP_Nac_NsrR_PhoB	focA//
CRP_NadR	ahpF//
CRP_NagC	galE//evgS//rplT//emrK//cusS//murC//
CRP_NagC_NanR	pgaA//purA//csgC//
CRP_NagC_PhoP	yoaG//
CRP_OxyR	puuR//
CRP_OxyR_UxuR	galK//
CRP_PhoB	csgC//nirC//ccmG//malG//frdB//ydhT//
CRP_PhoP	metL//lamB//marB//
CRP_PutA	hycC//
CRP_RbsR	atoA//metN//mhpF//oppF//gapA//emrY//
CRP_RhaR_RhaS	argP//hupA//
CRP_RhaS	hyaB//ptsI//norW//
CRP_Rob	argP//
CRP_TorR	argG//uxaA//deoA//
CRP_UhpA_UvrY	marB//
CRP_UidR_UxuR	galR//uxaC//mdtA//
CRP_UvrY	dsdC//
CRP_YehT	torA//
CRP_ZraR	ulaE//mglA//
CadC_FNR_H-NS_LeuO_MlrA	acrZ//
Cbl_CysB	dadX//metH//chbF//ygbA//
Cbl_CysB_FNR_IHF	gatC//cbl//fucP//gloA//ugpQ//
CdaR_FNR_Fis_Fur_H-NS	hemL//
CdaR_FNR_Fur_H-NS	glcB//argD//yhiD//paaC//
CpxR_CsgD_FliZ	rcnA//paaK//uspA//
CpxR_CysB	yqjI//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	alaU//
CpxR_GadE	gutQ//ccmD//yhiD//lysP//
CpxR_H-NS	ompR//
CpxR_NsrR	csgD//
CpxR_RcsB	bhsA//
CpxR_TyrR	citX//
Cra_FNR_Fis_Lrp_NarL	bglB//
Cra_FNR_Fur_MarA_Rob_SoxS	cspE//
Cra_FhlA_FlhDC	csgD//
Cra_GntR_KdgR	inaA//
Cra_GntR_KdgR_PhoB	acrA//
Cra_MarA_SoxS	glnA//
Cra_PdeL	dnaA//
Cra_SgrR	flhC//casB//betI//
Cra_TyrR	ydhV//
CreB_NagC	gabD//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	nuoE//
CsgD_FlhDC	sroD//uhpT//paaZ//ynfE//glpX//prfA//hypA//acrZ//mtr//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	gltA//ygiB//
CspA_Fis_GadX_H-NS	hypE//
CueR_FNR_ModE	deoB//nrfC//hcp//purA//waaH//
CusR_PhoB_YedW	fhuF//hlyE//pyrD//citE//uxaA//metK//rutA//
CysB_H-NS	katG//nikE//glcG//tauB//chbC//
CysB_HypT_IHF	dinJ//
CysB_IHF	puuE//ccmE//
CysB_NtrC	tdcC//
CysB_PhoP	tdcG//
DcuR_FNR_NarL	deoC//gadY//bhsA//patA//
DinJ-YafQ_LexA	cyoC//gspL//
DpiA_H-NS	sufC//
DsdC_NsrR	hyfC//
EvgA_FNR	appC//puuA//
EvgA_H-NS	fucO//dcuC//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	cydD//
EvgA_H-NS_PhoP_RcsB_YdeO	modB//
EvgA_PhoP_RcsB_YdeO	pspB//
ExuR_UxuR	rrsE//csgE//
FNR_FhlA_IHF_NsrR	tdcA//fadJ//tnaA//ascB//yrbL//
FNR_FhlA_NarL_NarP	hycC//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	pqiA//lpxA//uidA//nrdG//higB//nuoK//gspE//
FNR_Fis_IHF_ModE_NarL	norR//hypB//argP//
FNR_Fis_IHF_NarL	entE//
FNR_Fis_IHF_NarL_RstA	chbC//fliF//oppC//sufB//
FNR_FlhDC	putA//
FNR_FlhDC_IscR_ModE_NarL_NarP	hpt//cyoD//garR//tnaA//hdeA//waaY//dsdX//
FNR_FlhDC_ModE_NarL_NarP	dinJ//lyxK//lsrK//ytfE//glcA//sgbH//ascF//mdtD//
FNR_Fur	nuoH//rrfA//
FNR_Fur_GadE	gntK//
FNR_Fur_GadX_NtrC	adiC//fabZ//
FNR_Fur_H-NS	rrlA//waaH//araB//chbF//
FNR_Fur_MetR_NsrR	deoB//
FNR_Fur_Nac_NtrC	fliC//
FNR_Fur_NagC	actP//ansB//dmsC//
FNR_Fur_OxyR	rrsG//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	rrfC//
FNR_H-NS	araB//rbsA//
FNR_H-NS_NrdR	pnp//gspF//
FNR_IHF	araF//yqjI//grcA//acrB//cspD//
FNR_IHF_Lrp_YeiL	metK//
FNR_IHF_NarL_NarP_NorR	cas2//napA//
FNR_IHF_PhoB	moeB//yjbH//sgbU//hydN//mpl//
FNR_MalT	csgB//sdhB//
FNR_ModE	paaZ//puuC//
FNR_NarL	cspE//fucP//accC//rseB//fimA//appY//
FNR_NarL_NarP	cydB//hybC//araF//ascB//malP//rbsA//relA//putA//ptsH//
FNR_NarL_NarP_NsrR	cysU//
FNR_NarL_NarP_NsrR_OxyR	glnH//aroA//
FNR_NarL_NikR	aslB//hyfA//ppiA//asr//dnaA//yjbF//
FNR_NsrR	entC//katE//nrdA//
FNR_OxyR	rprA//
FNR_PurR	caiA//dppA//
FNR_YqjI	rpsO//
FabR_FadR	ilvL//dmsB//
FadR_IHF	araE//
FadR_IclR	csgA//
FhlA_FlhDC	pstB//
FhlA_IHF_ModE_NsrR	fliZ//frdB//sufD//sbmC//ccmF//fepB//dmsA//ldtB//moaD//
FhlA_IHF_NsrR	pck//
Fis_Fur	emrY//
Fis_H-NS	fabZ//
Fis_H-NS_IHF_MntR_OxyR	sodA//
Fis_H-NS_Lrp	fliK//nanT//idnO//mtlD//oxyR//pgaA//araG//acs//grcA//rpoH//ygiC//caiC//appC//nupC//cusF//pgaB//nfuA//ccmG//mdtF//ccmC//soxS//ygeA//psiE//glpB//
Fis_H-NS_Lrp_StpA	hyfC//gabP//
Fis_IHF	yfaE//
Fis_IHF_NtrC	malY//csgA//
Fis_IHF_OmpR_RcsB	rplD//
Fis_Lrp	ccmH//yeaR//rrlC//pgaB//moeA//rhaD//ybdN//sulA//nrfF//
Fis_MazE_MazE-MazF	argP//
Fis_NarL	narL//
Fis_NarL_NarP_NsrR	cysH//rtcB//
Fis_PurR	waaH//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	glcG//zraS//araH//
FliZ_RutR	dcuA//
Fur_H-NS	tomB//astD//tnaA//rrfB//fis//rtcA//glnK//cysH//murE//fbaA//tyrP//uof//manX//
Fur_IHF_IscR_NsrR_OxyR	ubiC//ileV//poxB//ccmF//ssrS//ytfE//
Fur_IscR_NrdR	rhaT//hyaD//gcvT//cas1//
Fur_MetR	hupB//
Fur_MntR	yrbL//
Fur_MntR_OxyR	murG//
Fur_OxyR	nhaA//
Fur_PurR	fliF//gspK//
Fur_RcnR	nemR//fliZ//
Fur_RutR	nuoA//
Fur_SoxS_Zur	gabP//
Fur_YqjI	ygeA//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	yiaJ//caiD//
GadE-RcsB_H-NS	edd//
GadE-RcsB_PhoB	fucP//
GadE-RcsB_Rob	lsrA//
GadE_GadX_H-NS_PhoP_RcsB	mdtF//
GadE_H-NS_Lrp_NsrR	flhC//
GadE_H-NS_MatA	glnG//
GadE_H-NS_RcsAB	gspF//
GadE_MarA_PurR	hupB//
GadW_GadX_RcsB	dpiA//
GalR_GalS	fimE//
GlrR_IHF	evgS//
H-NS_IHF	sucC//dcuA//cirA//
H-NS_IHF_Lrp	rseA//dmsC//dpiB//acnB//rrlB//murD//rhaR//
H-NS_LeuO	serC//acrD//
H-NS_LeuO_RcsB-BglJ_StpA	rrfG//
H-NS_LrhA_Lrp	acnA//
H-NS_Lrp	ccmA//sdhC//
H-NS_Lrp_NhaR_RcsB	rrsG//
H-NS_Lrp_StpA	hycB//
H-NS_McbR	udp//gcd//tauA//
H-NS_NhaR	csgD//prmC//
H-NS_OmpR	ssuA//
H-NS_PhoB_RcdA_RstA	hycE//
HU_IHF_TrpR_TyrR	fimI//
HU_IHF_TyrR	cusB//
HigA_HigB-HigA	evgS//lsrF//
HipAB_HipB_IHF	moeA//proP//
HypT_MetJ	zraS//ccmA//pspD//
HypT_MetJ_PhoP	rseB//tnaB//
IHF_Lrp	soxR//treB//hyfF//sroD//zraS//nuoI//cusB//xylR//
IHF_NsrR	chbC//
IHF_NtrC	baeS//edd//
IHF_PhoP	nikA//
IHF_PspF	nuoB//nrfA//skp//melB//pgaB//rbfA//
IHF_RcsAB	cyoE//hybD//fimB//cysH//
IHF_RtcR	mazG//cydC//
IHF_TyrR	yeaR//
IHF_UlaR	ahpF//
LexA_MraZ_PdhR	marA//rpsJ//rpmC//pgaC//fliH//dpiB//ogt//nagC//sucA//cysB//gntU//
LexA_MraZ_PdhR_RcsB_SdiA	folA//pnp//
LexA_MraZ_PdhR_SdiA	trg//
LexA_NagC	rplC//
LexA_RcdA	uidC//
LexA_RcsB-BglJ	glnG//
MarA_OxyR_Rob_SoxS	nuoM//csiD//pgk//mdh//
MarA_PhoP_Rob_SoxS	cusA//ydhU//metH//hisQ//
MarA_Rob_SoxS	torC//fimE//purN//norR//hyaC//
MarA_SoxS	rpmC//tam//chbB//rprA//yjbG//
MetJ_MetR	katE//glcG//
MetJ_OxyR	narH//deoA//
MetR_PurR	cusB//
MraZ_PdhR	oppF//nanS//
Nac_PurR	puuE//nagE//
NarL_TorR	cadA//fabB//rplT//
NemR_RutR	gadA//yaiA//ssuD//
NhaR_OmpR	bhsA//chiP//glcC//emrY//
NorR_NsrR	sucC//
NsrR_PhoB	nfsB//
OxyR_SoxS	yjiY//
PdhR_PhoP	focA//
PgrR_TyrR	xylB//
PhoB_PhoP	xylH//
PhoP_PurR_RbsR	tcyJ//rutB//
RelB_RelB-RelE	pnp//yjcH//csgD//
TrpR_TyrR	focB//araJ//galP//
YefM_YefM-YoeB	hycB//narJ//
