#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	pck//fdnH//
AscG_CRP	malX//gutM//hypF//
AscG_CRP_PhoB_PrpR	ansB//
AsnC_MraZ_Nac	cysP//
AsnC_Nac	cysH//yjbF//
AtoC_IHF	moaA//napD//uhpT//flhD//
BaeR_CpxR	nuoM//ubiC//dadA//cydD//ompF//nuoE//ugpQ//
BaeR_CpxR_EvgA	cysP//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	ugpC//atoB//fes//moeB//
BasR_CpxR_PdhR	sufC//mraY//
BasR_Fis	gspI//
BasR_H-NS_IHF_NagC_NanR	edd//
BasR_MarA_PutA	feaB//
BasR_PhoP	ccmB//
BasR_QseB	ilvI//gltD//
CRP_CaiF_FNR	infB//hyfI//iraM//cadB//
CRP_ChbR_NagC	gnd//ppiA//dps//gspI//fabZ//treB//
CRP_ComR	uidC//
CRP_CpxR	mazE//
CRP_CpxR_CytR	nrfG//
CRP_CpxR_CytR_DnaA_IHF	gntX//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	mdh//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	malY//ilvE//nrdB//nfo//
CRP_Cra	yoaG//cysG//flgM//rbsA//rrfG//pqiB//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	hdeD//atoA//appB//feaR//
CRP_Cra_FNR_PdhR	caiE//
CRP_Cra_Fis	nfo//
CRP_Cra_Fis_GlcC	aceF//
CRP_Cra_Fis_MtlR	araG//hyaA//fucA//
CRP_Cra_Mlc_NagC	mdtA//gatA//hyaD//qseB//glpA//poxB//
CRP_Cra_PrpR	csgB//ulaE//bglF//yiaL//
CRP_CreB_Fis_MalT	lsrC//tdcG//glnQ//
CRP_CsiR_H-NS_Lrp	nuoC//gltB//
CRP_CsiR_H-NS_Lrp_Nac	cysJ//pheM//gyrA//
CRP_CspA_Fis	gspF//
CRP_CytR	dcuD//rhaA//gspC//
CRP_CytR_DeoR	nikE//dcuC//
CRP_CytR_DeoR_Fis_ModE	tauC//rbfA//caiF//ileV//
CRP_CytR_Nac	uvrA//
CRP_CytR_NsrR	tam//
CRP_DcuR_FNR_NarL	moaA//
CRP_DinJ-YafQ	cydD//
CRP_DnaA_Fis_PurR	rutE//feoA//
CRP_DpiA_ExuR	gspM//
CRP_DsdC	aceB//dinI//
CRP_EbgR	gadE//yjcH//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	rrfE//gcvP//
CRP_ExuR	ssuE//
CRP_ExuR_FNR	lacY//xylB//
CRP_ExuR_OxyR_UxuR	gabT//ftsW//
CRP_ExuR_UxuR	hybC//
CRP_FNR	fadJ//
CRP_FNR_FhlA_HyfR	ynfF//mraY//rrfA//chbA//hha//sufE//ilvG_1//deoB//betA//rcsA//narK//ccmC//
CRP_FNR_Fis	tsx//sdhA//entB//
CRP_FNR_Fis_GlpR_IHF	moeA//mazG//
CRP_FNR_Fis_H-NS_SlyA	guaA//
CRP_FNR_GcvA_Lrp_PurR	phoU//hokD//nikA//
CRP_FNR_H-NS_NarL	cirA//
CRP_FNR_IHF_TdcA_TdcR	ydhT//recF//nuoJ//norR//ssuA//moeA//napF//
CRP_FNR_NarL	rnpB//glnH//mtlA//
CRP_FeaR_NsrR	hybA//
CRP_Fis	paaH//ugpE//manX//fimB//casB//
CRP_Fis_FlhDC_GalR_GalS	yjbF//ydhU//
CRP_Fis_FliZ_IHF_Lrp	dadA//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	glcA//nirD//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	fadE//purD//deoA//
CRP_Fis_IHF	flhC//nikB//lacY//yeiL//inaA//
CRP_Fis_NanR	lrp//gltA//fliC//tauD//caiF//
CRP_Fis_NtrC	nanK//rutA//lsrG//
CRP_Fis_XylR	modB//nikD//citG//
CRP_FlhDC_GalR_GalS	fimD//
CRP_FucR	ilvI//rrlG//deoC//guaB//glcF//lysP//ptsG//
CRP_Fur	deoB//prpD//bglG//xylB//ynfG//fimE//malF//oppA//mdtD//
CRP_Fur_HypT_PdhR	frdC//poxB//nagC//glcB//codA//
CRP_Fur_OxyR_SoxS	acrD//
CRP_GalR_GalS	ycdZ//
CRP_GalR_GalS_H-NS_HU	hyaF//fadE//hcr//aroP//
CRP_GalR_GalS_NagC	actP//
CRP_GlpR	yefM//nmpC//ilvG_1//
CRP_GntR	pdhR//gatB//
CRP_GntR_IdnR	ftsW//flhC//bhsA//paaA//gspO//rcnA//hyaA//
CRP_GntR_IscR	casD//
CRP_GutM_GutR_H-NS	iraM//hyaF//hybA//dppB//hupB//paaI//ygiC//
CRP_H-NS	mtr//
CRP_H-NS_HipAB_HipB_NtrC	acnA//
CRP_H-NS_LacI	sbmC//ptsH//nhaR//
CRP_H-NS_LeuO	rhaD//ileU//hycE//crp//ybjN//citE//prmC//
CRP_H-NS_MqsA	gatY//
CRP_IHF	chbF//sdhD//ygiC//nupG//
CRP_IHF_MprA_OmpR	ubiA//
CRP_IHF_NsrR	caiC//
CRP_IHF_PaaX	acrD//infB//cydC//nhaR//caiA//paaK//glnG//moaA//fadB//uhpT//idnD//rpoH//
CRP_IHF_UlaR	proP//rrlB//ogt//rhaD//modB//gyrA//
CRP_IHF_YiaJ	purM//yjcH//fliI//rrfD//rrsE//fimE//paaB//glcG//tdcA//phoU//
CRP_LexA	relE//
CRP_Lrp	mhpD//envZ//glpQ//idnT//
CRP_Lrp_Mlc	napC//
CRP_Lrp_Nac	gyrA//
CRP_LsrR	lacZ//deoA//gadY//fadB//truB//malM//ilvG_1//rrsB//waaY//
CRP_MalI	garP//malM//hyfC//
CRP_MalT	modB//galT//nagB//
CRP_MalT_PhoP	fecA//
CRP_MelR	malF//metQ//bamE//
CRP_MetJ	csiD//
CRP_MhpR	tdcG//dgcZ//tolC//sdhD//ascB//tsx//
CRP_Mlc	hydN//nanT//
CRP_ModE	cysW//waaY//paaF//
CRP_MurR	xylG//dsdC//
CRP_Nac_NsrR_PhoB	tdcD//
CRP_NadR	hdeA//
CRP_NagC	murD//yjcH//hokD//ytfE//srlA//aceE//
CRP_NagC_NanR	carA//narJ//ileT//
CRP_NagC_PhoP	chbG//
CRP_OxyR	ftsW//
CRP_OxyR_UxuR	zraR//
CRP_PhoB	inaA//hyfI//fes//ogt//astA//ssuC//
CRP_PhoP	umpH//manZ//paaZ//
CRP_PutA	tdcG//
CRP_RbsR	iraM//glyA//dmsC//tdcC//fdnG//nrdF//
CRP_RhaR_RhaS	xylA//dctR//
CRP_RhaS	caiC//narJ//rhaB//
CRP_Rob	rbsD//
CRP_TorR	hycH//hisQ//fliZ//
CRP_UhpA_UvrY	alaU//
CRP_UidR_UxuR	srlA//nemR//moaD//
CRP_UvrY	fdnG//
CRP_YehT	napC//
CRP_ZraR	ompC//paaG//
CadC_FNR_H-NS_LeuO_MlrA	astB//
Cbl_CysB	soxR//hisP//ftsA//rcsA//
Cbl_CysB_FNR_IHF	nuoE//ftsI//sufD//nuoM//gspC//
CdaR_FNR_Fis_Fur_H-NS	acnA//
CdaR_FNR_Fur_H-NS	rcsA//gadE//yciG//xylF//
CpxR_CsgD_FliZ	hisQ//glnP//hdeA//
CpxR_CysB	malF//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	ybfN//
CpxR_GadE	rhaS//ilvA//metE//tdcC//
CpxR_H-NS	araJ//
CpxR_NsrR	ugpA//
CpxR_RcsB	glnG//
CpxR_TyrR	recF//
Cra_FNR_Fis_Lrp_NarL	yjjQ//
Cra_FNR_Fur_MarA_Rob_SoxS	fau//
Cra_FhlA_FlhDC	ugpA//
Cra_GntR_KdgR	rrfG//
Cra_GntR_KdgR_PhoB	atoD//
Cra_MarA_SoxS	glpQ//
Cra_PdeL	hycG//
Cra_SgrR	hypF//gntU//dcuB//
Cra_TyrR	sdhD//
CreB_NagC	nrdG//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	nikB//
CsgD_FlhDC	napB//molR_1//napF//soxR//ilvM//uxuR//hycE//glnD//mglB//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	entC//ptsG//
CspA_Fis_GadX_H-NS	hupA//
CueR_FNR_ModE	fimI//ccmE//cytR//rhaA//rbsR//
CusR_PhoB_YedW	fadD//yhiM//cusF//garP//fimI//fimD//csgF//
CysB_H-NS	nuoF//caiD//ydhY//yoaG//nagC//
CysB_HypT_IHF	grcA//
CysB_IHF	ybiT//osmC//
CysB_NtrC	deoD//
CysB_PhoP	hycI//
DcuR_FNR_NarL	gntT//osmC//purR//nanT//
DinJ-YafQ_LexA	araH//glnD//
DpiA_H-NS	hybC//
DsdC_NsrR	argO//
EvgA_FNR	mazF//cysG//
EvgA_H-NS	hyaF//moaE//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	exuT//
EvgA_H-NS_PhoP_RcsB_YdeO	deoD//
EvgA_PhoP_RcsB_YdeO	rpoE//
ExuR_UxuR	dps//pyrD//
FNR_FhlA_IHF_NsrR	ulaF//bglF//hdeB//yciE//alaV//
FNR_FhlA_NarL_NarP	ulaG//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	fliK//torA//aspC//yqjI//zwf//lhgO//caiF//
FNR_Fis_IHF_ModE_NarL	fepE//recF//tyrR//
FNR_Fis_IHF_NarL	gadC//
FNR_Fis_IHF_NarL_RstA	betA//uidA//ybdN//fumB//
FNR_FlhDC	gspM//
FNR_FlhDC_IscR_ModE_NarL_NarP	hokD//gspO//fecD//serC//pdeL//fliA//ccmB//
FNR_FlhDC_ModE_NarL_NarP	hyfJ//fau//pspB//hyaA//oppC//rsmH//frdD//csgE//
FNR_Fur	rseC//yoeB//
FNR_Fur_GadE	paaK//
FNR_Fur_GadX_NtrC	nanM//trg//
FNR_Fur_H-NS	puuR//astE//hokD//hemL//
FNR_Fur_MetR_NsrR	lsrK//
FNR_Fur_Nac_NtrC	entF//
FNR_Fur_NagC	fbaA//emrK//napA//
FNR_Fur_OxyR	mdtA//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	accC//
FNR_H-NS	gcvH//purA//
FNR_H-NS_NrdR	ppiA//ilvE//
FNR_IHF	citD//nfsA//gadE//nemR//tauA//
FNR_IHF_Lrp_YeiL	gltT//
FNR_IHF_NarL_NarP_NorR	acrD//gcvT//
FNR_IHF_PhoB	rrfB//atoD//lacA//yjcH//tdcF//
FNR_MalT	appX//lsrR//
FNR_ModE	uxaC//astC//
FNR_NarL	ubiA//hyaE//alaU//paaB//yrbL//rhaT//
FNR_NarL_NarP	ydhX//entA//osmE//prpD//purH//fliH//narK//cyoD//lamB//
FNR_NarL_NarP_NsrR	puuR//
FNR_NarL_NarP_NsrR_OxyR	yhjA//dpiA//
FNR_NarL_NikR	glnQ//cysB//rrsH//fliH//rbsD//purA//
FNR_NsrR	fimI//gatC//pstC//
FNR_OxyR	rrsA//
FNR_PurR	marR//cysI//
FNR_YqjI	lpxC//
FabR_FadR	fimA//napD//
FadR_IHF	nanT//
FadR_IclR	araD//
FhlA_FlhDC	fliH//
FhlA_IHF_ModE_NsrR	aroM//chbA//araJ//chbA//iclR//nikA//manY//hycC//hybB//
FhlA_IHF_NsrR	tpx//
Fis_Fur	focB//
Fis_H-NS	fbaA//
Fis_H-NS_IHF_MntR_OxyR	cspA//
Fis_H-NS_Lrp	hydN//hisP//nrfA//galE//yciE//fecA//cas2//amtB//uxuB//rcnA//yhcH//rrsB//srlE//mhpE//higB//tauC//tpx//dadX//tolC//sgrT//rbfA//ebgC//frdB//gltF//
Fis_H-NS_Lrp_StpA	nanC//dcuC//
Fis_IHF	adiC//
Fis_IHF_NtrC	rpsO//cysP//
Fis_IHF_OmpR_RcsB	csgD//
Fis_Lrp	deoD//rrlE//purA//asr//nanM//fhuF//fepE//aidB//ynfG//
Fis_MazE_MazE-MazF	idnO//
Fis_NarL	sroD//
Fis_NarL_NarP_NsrR	rpsI//entD//
Fis_PurR	narI//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	flgN//cydC//purH//
FliZ_RutR	pspG//
Fur_H-NS	nanE//thrV//fau//torA//katE//pdhR//dctR//nrfE//tdcC//fbaA//glgP//ygiA//rseA//
Fur_IHF_IscR_NsrR_OxyR	tdcA//tnaA//ydeM//fimF//phoU//xylG//
Fur_IscR_NrdR	ssrS//marR//glpF//glgC//
Fur_MetR	ihfA//
Fur_MntR	ftsL//
Fur_MntR_OxyR	uspA//
Fur_OxyR	dusB//
Fur_PurR	napF//mhpD//
Fur_RcnR	alaV//oppF//
Fur_RutR	araA//
Fur_SoxS_Zur	rrfE//
Fur_YqjI	aroP//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	glcE//mdtF//
GadE-RcsB_H-NS	citD//
GadE-RcsB_PhoB	glcF//
GadE-RcsB_Rob	pdeL//
GadE_GadX_H-NS_PhoP_RcsB	hyaC//
GadE_H-NS_Lrp_NsrR	rplW//
GadE_H-NS_MatA	hypE//
GadE_H-NS_RcsAB	fepE//
GadE_MarA_PurR	uof//
GadW_GadX_RcsB	fabB//
GalR_GalS	malX//
GlrR_IHF	malQ//
H-NS_IHF	carB//mlc//ompR//
H-NS_IHF_Lrp	citD//torD//ygbA//garR//gltF//yqjI//hha//
H-NS_LeuO	rutB//ahpF//
H-NS_LeuO_RcsB-BglJ_StpA	ssuA//
H-NS_LrhA_Lrp	acnB//
H-NS_Lrp	dadX//ompR//
H-NS_Lrp_NhaR_RcsB	cysP//
H-NS_Lrp_StpA	rhaD//
H-NS_McbR	yjjQ//melA//idnT//
H-NS_NhaR	ccmD//lyxK//
H-NS_OmpR	cirA//
H-NS_PhoB_RcdA_RstA	modB//
HU_IHF_TrpR_TyrR	mpl//
HU_IHF_TyrR	putA//
HigA_HigB-HigA	uof//oppC//
HipAB_HipB_IHF	oppC//glnL//
HypT_MetJ	rrlA//yaiA//rutB//
HypT_MetJ_PhoP	pstB//fadA//
IHF_Lrp	idnT//galR//cspA//yhiD//gltV//galK//waaH//csgE//
IHF_NsrR	nfo//
IHF_NtrC	rpoS//lpxA//
IHF_PhoP	rutC//
IHF_PspF	proX//kbaZ//lsrK//cusR//ilvE//cyoB//
IHF_RcsAB	cytR//ccmD//ydhU//ynfG//
IHF_RtcR	pyrD//rutD//
IHF_TyrR	caiE//
IHF_UlaR	nac//
LexA_MraZ_PdhR	glpX//metI//rhaT//paaJ//waaZ//yoaG//uidC//nrdE//csgC//rseA//uxuB//
LexA_MraZ_PdhR_RcsB_SdiA	fimG//oppD//
LexA_MraZ_PdhR_SdiA	hycG//
LexA_NagC	ugpB//
LexA_RcdA	malX//
LexA_RcsB-BglJ	glgA//
MarA_OxyR_Rob_SoxS	fabA//glcC//thrV//pdhR//
MarA_PhoP_Rob_SoxS	gadX//ynfF//sodB//fecC//
MarA_Rob_SoxS	aceK//serC//napB//hybG//ssuA//
MarA_SoxS	puuR//relA//sulA//nanK//mhpB//
MetJ_MetR	cusF//hydN//
MetJ_OxyR	higA//treC//
MetR_PurR	fliE//
MraZ_PdhR	yiaN//fimA//
Nac_PurR	acrB//rutA//
NarL_TorR	puuB//asnC//fau//
NemR_RutR	nrfC//metE//aidB//
NhaR_OmpR	ccmF//ilvL//hycD//norR//
NorR_NsrR	acrA//
NsrR_PhoB	sufB//
OxyR_SoxS	glpC//
PdhR_PhoP	rcnA//
PgrR_TyrR	hyaC//
PhoB_PhoP	dcuB//
PhoP_PurR_RbsR	malY//moeA//
RelB_RelB-RelE	rpsS//fecB//oxyR//
TrpR_TyrR	modA//dcuR//ydhX//
YefM_YefM-YoeB	entD//frdB//
