#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	narL//stpA//
ArcA_Cra_FNR_H-NS_HypT	srlD//glyA//
ArcA_CysB_FNR	yqjH//
ArcA_FNR	nikR//acrA//glcB//tdcB//pspE//gatD//feoC//nemR//hypC//oppA//gadB//appX//ugpQ//galS//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	tdcE//
ArcA_FNR_Fis_IHF_NarL	cyoD//fiu//cyoB//inaA//lpxA//yciF//lsrC//hycG//yjbG//rplC//csgE//cusS//tauA//
ArcA_FNR_Fur_IHF	chiP//
ArcA_FNR_IHF	dpiA//glgA//glgC//
ArcA_FNR_IHF_NarL	sbmC//aroM//
ArcA_FNR_NarL	tdcF//mioC//sucD//rutF//
ArcA_FNR_PhoP	astC//
ArcA_FNR_PuuR	sucC//nrdG//
ArcA_FadR	fadL//frdA//gspD//
ArcA_FadR_Fis	torA//casB//
ArcA_Fur_Lrp_ModE	moaA//acs//rutF//gltA//osmC//
ArcA_GlcC_IHF_PdhR	tam//mazF//fabA//puuP//nrdH//edd//
ArcA_LexA	pdeL//bglB//
ArcA_LldR	infB//puuP//caiB//
ArcA_NarL	galM//cysB//nanK//glcD//trg//glnG//treB//gloA//
ArcA_NtrC_PhoP_RutR	rhaR//feoB//mazE//cydD//uidB//srlA//gloA//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	nrdA//xylF//agaW//
ArgP_CRP_FNR_Fur_Nac	ilvE//
ArgP_DnaA	aroA//malP//metE//
ArgP_Lrp	tnaA//gcvH//
ArgP_LysR	fixA//
ArgP_PhoB	hyfG//
ArgR_CRP	metK//
ArgR_CRP_Fis	csgF//hybB//cusR//rrlH//metR//gltU//pstB//lamB//
ArgR_Fis_IHF_PepA_PurR_RutR	bglF//nfo//
ArgR_H-NS_NtrC	lsrK//nrfC//citC//rrlA//
ArgR_NtrC	frdD//paaF//fadD//cspI//lyxK//
ArgR_PhoP	acrZ//
AscG_CRP	pgaA//iraM//csgB//
AscG_CRP_PhoB_PrpR	dnaN//
AsnC_MraZ_Nac	ccmH//
AsnC_Nac	rcnA//ftsW//
AtoC_IHF	citE//rplW//tdcE//sdhD//
BaeR_CpxR	asnC//mdtA//rrlC//nagA//cdd//relB//dadA//
BaeR_CpxR_EvgA	ccmA//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	entE//astE//ogt//rplP//
BasR_CpxR_PdhR	mtlA//waaY//
BasR_Fis	flgM//
BasR_H-NS_IHF_NagC_NanR	treB//
BasR_MarA_PutA	lldP//
BasR_PhoP	ompF//
BasR_QseB	safA//cydA//
CRP_CaiF_FNR	mhpF//rutF//oppF//ygiA//
CRP_ChbR_NagC	mhpF//idnO//csgB//glnA//folA//pspE//
CRP_ComR	fadA//
CRP_CpxR	cirA//
CRP_CpxR_CytR	hybA//
CRP_CpxR_CytR_DnaA_IHF	yciF//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	argO//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	mtlD//nfuA//mdtD//glpD//
CRP_Cra	atoB//caiT//murE//nuoC//pspA//glnH//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	galP//sucD//idnR//pstC//
CRP_Cra_FNR_PdhR	nrdD//
CRP_Cra_Fis	yjjQ//
CRP_Cra_Fis_GlcC	yhiD//
CRP_Cra_Fis_MtlR	putA//acs//oppB//
CRP_Cra_Mlc_NagC	deoB//nrfB//fnr//atoD//entA//malI//
CRP_Cra_PrpR	cysM//ftnA//dcuB//putA//
CRP_CreB_Fis_MalT	nmpC//rseB//idnD//
CRP_CsiR_H-NS_Lrp	gnd//folA//
CRP_CsiR_H-NS_Lrp_Nac	pstC//ileV//ompR//
CRP_CspA_Fis	cysG//
CRP_CytR	rplB//norW//srlB//
CRP_CytR_DeoR	uof//lldD//
CRP_CytR_DeoR_Fis_ModE	nfsA//fecE//proW//glnL//
CRP_CytR_Nac	waaH//
CRP_CytR_NsrR	metL//
CRP_DcuR_FNR_NarL	gadF//
CRP_DinJ-YafQ	gspH//
CRP_DnaA_Fis_PurR	sgrS//tdcC//
CRP_DpiA_ExuR	aroL//
CRP_DsdC	aidB//fiu//
CRP_EbgR	paaH//hyfH//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	ycdZ//rtcB//
CRP_ExuR	cdd//
CRP_ExuR_FNR	fliZ//ccmB//
CRP_ExuR_OxyR_UxuR	ybfN//hypE//
CRP_ExuR_UxuR	caiC//
CRP_FNR	mhpF//
CRP_FNR_FhlA_HyfR	rrlH//csgE//moaB//hybB//malE//argD//ilvL//sdhB//slp//nuoK//ileT//metY//
CRP_FNR_Fis	relE//yhiM//fecD//
CRP_FNR_Fis_GlpR_IHF	pflB//hyfR//
CRP_FNR_Fis_H-NS_SlyA	fabB//
CRP_FNR_GcvA_Lrp_PurR	hypC//aspA//dpiB//
CRP_FNR_H-NS_NarL	nrfA//
CRP_FNR_IHF_TdcA_TdcR	hypC//nac//rrfA//tam//cysJ//gntP//sucD//
CRP_FNR_NarL	dpiB//pspC//gyrA//
CRP_FeaR_NsrR	rrsG//
CRP_Fis	glgC//feoB//ubiC//nuoJ//acrA//
CRP_Fis_FlhDC_GalR_GalS	hcr//puuD//
CRP_Fis_FliZ_IHF_Lrp	fucA//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	bglF//eda//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	aceE//glpK//gntU//
CRP_Fis_IHF	yeaR//fimI//fumB//hypA//rimP//
CRP_Fis_NanR	nagC//bglJ//dcuB//csgA//nuoJ//
CRP_Fis_NtrC	agaV//uidC//mhpE//
CRP_Fis_XylR	tauD//ssuD//nemA//
CRP_FlhDC_GalR_GalS	dnaA//
CRP_FucR	pgaB//hyfC//citF//fepE//rplD//torC//fdnG//
CRP_Fur	ftsZ//manZ//mtlD//truB//nfo//caiD//puuB//adiC//lsrR//
CRP_Fur_HypT_PdhR	tdcC//ydeM//deoC//gadE//asr//
CRP_Fur_OxyR_SoxS	napC//
CRP_GalR_GalS	serC//
CRP_GalR_GalS_H-NS_HU	dsdC//purA//rutE//rrlE//
CRP_GalR_GalS_NagC	fliE//
CRP_GlpR	glnP//rutF//sgbE//
CRP_GntR	ileU//rprA//
CRP_GntR_IdnR	nrfB//glcF//sdhB//fadD//casA//bglB//lpxC//
CRP_GntR_IscR	mglA//
CRP_GutM_GutR_H-NS	aldA//eda//csgC//malQ//hdeD//aldA//rplV//
CRP_H-NS	fadI//
CRP_H-NS_HipAB_HipB_NtrC	lpxD//
CRP_H-NS_LacI	appB//purH//puuB//
CRP_H-NS_LeuO	envZ//cydB//fimC//glpT//nuoB//narJ//hokD//
CRP_H-NS_MqsA	sdhD//
CRP_IHF	hycC//puuD//citC//norV//
CRP_IHF_MprA_OmpR	sdhB//
CRP_IHF_NsrR	murP//
CRP_IHF_PaaX	gadA//gntK//prfA//rpsI//sucB//ileV//appB//fucR//hycC//gspE//ytfE//pspB//
CRP_IHF_UlaR	lsrD//murQ//emrY//gcd//nupC//dps//
CRP_IHF_YiaJ	cysG//lsrK//hyfB//dppB//galP//cysJ//sufC//ybjC//mioC//gadB//
CRP_LexA	rrsC//
CRP_Lrp	exuR//exuT//poxB//aslB//
CRP_Lrp_Mlc	entD//
CRP_Lrp_Nac	baeR//
CRP_LsrR	inaA//kbaZ//ydhY//ugpE//fis//cspD//nanM//ftsA//nuoJ//
CRP_MalI	ccmB//poxB//rhaT//
CRP_MalT	crr//bglG//iclR//
CRP_MalT_PhoP	hycA//
CRP_MelR	bhsA//rseC//ulaF//
CRP_MetJ	pgaD//
CRP_MhpR	fimG//rbsB//ndh//ybfN//feoC//gspH//
CRP_Mlc	gltB//xylG//
CRP_ModE	pstA//csgG//dadX//
CRP_MurR	paaF//betB//
CRP_Nac_NsrR_PhoB	fpr//
CRP_NadR	nrdH//
CRP_NagC	rplP//gspF//hdeA//cusF//rplV//sulA//
CRP_NagC_NanR	moaE//appB//citC//
CRP_NagC_PhoP	gntT//
CRP_OxyR	rhaB//
CRP_OxyR_UxuR	glcD//
CRP_PhoB	araH//prmC//csrC//asnC//rhaR//glpC//
CRP_PhoP	napH//paaG//fecB//
CRP_PutA	oppB//
CRP_RbsR	hokD//hemL//entA//gadB//pstS//sra//
CRP_RhaR_RhaS	rrfA//caiB//
CRP_RhaS	nmpC//dmsC//fhlA//
CRP_Rob	aer//
CRP_TorR	lldR//mhpE//torA//
CRP_UhpA_UvrY	ftsW//
CRP_UidR_UxuR	yfaE//mhpC//yafQ//
CRP_UvrY	rpmC//
CRP_YehT	sufC//
CRP_ZraR	tdcB//fucO//
CadC_FNR_H-NS_LeuO_MlrA	araE//
Cbl_CysB	mtlA//pspD//nagA//lsrC//
Cbl_CysB_FNR_IHF	uxuA//cyoD//guaA//oppB//gntK//
CdaR_FNR_Fis_Fur_H-NS	mazF//
CdaR_FNR_Fur_H-NS	uspA//mioC//actP//gspD//
CpxR_CsgD_FliZ	rrsH//sbmC//uxuB//
CpxR_CysB	adiC//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	ogt//
CpxR_GadE	uidB//nanS//paaB//fucI//
CpxR_H-NS	dgcZ//
CpxR_NsrR	mdtB//
CpxR_RcsB	nagC//
CpxR_TyrR	fliZ//
Cra_FNR_Fis_Lrp_NarL	hisM//
Cra_FNR_Fur_MarA_Rob_SoxS	yqjH//
Cra_FhlA_FlhDC	hycH//
Cra_GntR_KdgR	atoA//
Cra_GntR_KdgR_PhoB	nuoM//
Cra_MarA_SoxS	fnr//
Cra_PdeL	yoeB//
Cra_SgrR	higA//nuoA//fimC//
Cra_TyrR	murP//
CreB_NagC	yiaK//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	glcA//
CsgD_FlhDC	pstS//araB//ccmC//hyfD//rrfC//araE//paaG//hemL//ftnA//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	yefM//narX//
CspA_Fis_GadX_H-NS	glnD//
CueR_FNR_ModE	adiA//caiC//betI//rhaT//cusA//
CusR_PhoB_YedW	malG//soxR//mtlD//lysA//gcvP//appC//rbsA//
CysB_H-NS	glpB//codB//glnP//gadW//glpQ//
CysB_HypT_IHF	argD//
CysB_IHF	yecR//focB//
CysB_NtrC	asnC//
CysB_PhoP	nrfG//
DcuR_FNR_NarL	xylG//malE//nemR//oxyR//
DinJ-YafQ_LexA	fixX//ascB//
DpiA_H-NS	ssuD//
DsdC_NsrR	rutD//
EvgA_FNR	fis//ugpB//
EvgA_H-NS	gltA//nuoA//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	gatZ//
EvgA_H-NS_PhoP_RcsB_YdeO	malP//
EvgA_PhoP_RcsB_YdeO	rrlG//
ExuR_UxuR	uxuR//hyfD//
FNR_FhlA_IHF_NsrR	rplD//yrbL//entC//fliK//hybC//
FNR_FhlA_NarL_NarP	yedX//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	hypB//gatZ//fimE//ybiT//rrlG//rhaD//glcD//
FNR_Fis_IHF_ModE_NarL	glgP//rplD//nuoC//
FNR_Fis_IHF_NarL	rbsD//
FNR_Fis_IHF_NarL_RstA	nanC//bamE//lldD//xylR//
FNR_FlhDC	glpT//
FNR_FlhDC_IscR_ModE_NarL_NarP	bhsA//fimB//iraM//aceE//puuB//nirD//gspD//
FNR_FlhDC_ModE_NarL_NarP	ulaG//frdD//sodA//garK//dsdC//ftsQ//paaA//moaD//
FNR_Fur	dgcZ//proX//
FNR_Fur_GadE	carB//
FNR_Fur_GadX_NtrC	sufD//galS//
FNR_Fur_H-NS	carA//agaA//rhaS//qseC//
FNR_Fur_MetR_NsrR	idnD//
FNR_Fur_Nac_NtrC	xylH//
FNR_Fur_NagC	gntX//rutF//putA//
FNR_Fur_OxyR	yqjH//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	malT//
FNR_H-NS	fis//gyrA//
FNR_H-NS_NrdR	aslB//lgoR//
FNR_IHF	pncB//narH//torD//gadE//yoaG//
FNR_IHF_Lrp_YeiL	rimP//
FNR_IHF_NarL_NarP_NorR	nirD//atoB//
FNR_IHF_PhoB	nanS//fadB//metE//ybdN//tdcA//
FNR_MalT	hdeB//ftsL//
FNR_ModE	rbsC//mglB//
FNR_NarL	caiT//gltW//zraS//psiE//yecR//yjbG//
FNR_NarL_NarP	cirA//fur//atoE//chiP//lsrB//cdd//sufA//fixC//fimA//
FNR_NarL_NarP_NsrR	galR//
FNR_NarL_NarP_NsrR_OxyR	xylG//nusA//
FNR_NarL_NikR	glpK//ftnA//yjbE//pncB//ogt//cirA//
FNR_NsrR	rhaB//oppD//zraR//
FNR_OxyR	nrdG//
FNR_PurR	fimG//deoD//
FNR_YqjI	mazG//
FabR_FadR	metH//gltW//
FadR_IHF	ydeO//
FadR_IclR	metY//
FhlA_FlhDC	mntP//
FhlA_IHF_ModE_NsrR	relE//tpx//napD//evgS//aer//ftsA//exuT//glnH//lldR//
FhlA_IHF_NsrR	metN//
Fis_Fur	folA//
Fis_H-NS	glnP//
Fis_H-NS_IHF_MntR_OxyR	cusC//
Fis_H-NS_Lrp	rpoE//puuR//lsrD//sufA//yciF//zraR//fis//nuoF//puuC//ynfF//tdcC//marB//fiu//oppF//udp//hyfI//ssuB//rhaR//gltU//thrV//aspA//yjbG//chbG//mtlR//
Fis_H-NS_Lrp_StpA	pdhR//sodA//
Fis_IHF	rrfF//
Fis_IHF_NtrC	pdeR//eda//
Fis_IHF_OmpR_RcsB	cydA//
Fis_Lrp	torD//fdnG//fbaA//folA//galR//rplV//purN//rbsK//argP//
Fis_MazE_MazE-MazF	mdtC//
Fis_NarL	glyA//
Fis_NarL_NarP_NsrR	gadF//ptsH//
Fis_PurR	ydhW//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	ydhY//dmsD//galE//
FliZ_RutR	rtcA//
Fur_H-NS	dcuR//uxaA//emrY//gntT//rpsI//rpsC//tyrP//hycC//yefM//hyfI//sgrS//pstA//tyrP//
Fur_IHF_IscR_NsrR_OxyR	hycE//cyoD//hycD//hycH//fadB//cas2//
Fur_IscR_NrdR	malY//citC//sucD//gspH//
Fur_MetR	cyoD//
Fur_MntR	aceF//
Fur_MntR_OxyR	lpd//
Fur_OxyR	hycI//
Fur_PurR	uxuA//fdhF//
Fur_RcnR	araF//agaA//
Fur_RutR	chbF//
Fur_SoxS_Zur	nrfC//
Fur_YqjI	gntX//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	rbsC//aceE//
GadE-RcsB_H-NS	csgE//
GadE-RcsB_PhoB	rutE//
GadE-RcsB_Rob	galR//
GadE_GadX_H-NS_PhoP_RcsB	napB//
GadE_H-NS_Lrp_NsrR	hybD//
GadE_H-NS_MatA	gspJ//
GadE_H-NS_RcsAB	moeB//
GadE_MarA_PurR	fucU//
GadW_GadX_RcsB	mntP//
GalR_GalS	citE//
GlrR_IHF	ybfN//
H-NS_IHF	betI//lpxC//pspC//
H-NS_IHF_Lrp	csgD//lsrC//agaV//fadL//nuoN//sdhD//murC//
H-NS_LeuO	malX//tdcB//
H-NS_LeuO_RcsB-BglJ_StpA	puuD//
H-NS_LrhA_Lrp	pnp//
H-NS_Lrp	rpoE//uxuB//
H-NS_Lrp_NhaR_RcsB	glnQ//
H-NS_Lrp_StpA	puuE//
H-NS_McbR	yrbL//caiD//sgrT//
H-NS_NhaR	rrsC//aidB//
H-NS_OmpR	melA//
H-NS_PhoB_RcdA_RstA	aceB//
HU_IHF_TrpR_TyrR	rseA//
HU_IHF_TyrR	narI//
HigA_HigB-HigA	marA//rrsA//
HipAB_HipB_IHF	nrfA//rob//
HypT_MetJ	xylB//uspA//pspC//
HypT_MetJ_PhoP	nirD//ssuA//
IHF_Lrp	pspB//moaD//dcuB//hyaF//alaT//nagC//fimI//hybG//
IHF_NsrR	tdcD//
IHF_NtrC	waaZ//ugpA//
IHF_PhoP	gntT//
IHF_PspF	fimC//hypE//acrE//waaZ//yefM//lhgO//
IHF_RcsAB	ydhT//ptsG//appB//uof//
IHF_RtcR	nikE//acrB//
IHF_TyrR	nuoN//
IHF_UlaR	atoA//
LexA_MraZ_PdhR	galK//nanE//nirD//hybB//fimB//cspA//narJ//zraS//astB//yoaG//ydeM//
LexA_MraZ_PdhR_RcsB_SdiA	pdeR//galM//
LexA_MraZ_PdhR_SdiA	glcB//
LexA_NagC	cysU//
LexA_RcdA	gcvT//
LexA_RcsB-BglJ	aidB//
MarA_OxyR_Rob_SoxS	nuoJ//ydeM//lrp//nuoF//
MarA_PhoP_Rob_SoxS	ccmB//caiC//osmE//rplT//
MarA_Rob_SoxS	puuD//galK//yqjH//fixX//ileV//
MarA_SoxS	ilvA//fimA//hyaE//glmY//puuD//
MetJ_MetR	nuoJ//pncB//
MetJ_OxyR	dsdX//gspO//
MetR_PurR	sdhB//
MraZ_PdhR	deoB//feoA//
Nac_PurR	truB//crp//
NarL_TorR	nrdD//ssrS//paaI//
NemR_RutR	oppB//dcuD//ftsW//
NhaR_OmpR	micF//yefM//araD//agaW//
NorR_NsrR	uxaA//
NsrR_PhoB	frdD//
OxyR_SoxS	fbaA//
PdhR_PhoP	dmsD//
PgrR_TyrR	fliI//
PhoB_PhoP	psiE//
PhoP_PurR_RbsR	deoD//hybF//
RelB_RelB-RelE	nikC//pdhR//hybC//
TrpR_TyrR	aidB//fdnH//chbR//
YefM_YefM-YoeB	hypB//metQ//
