#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	paaD//higB//
ArcA_CRP_Cra_FNR_NsrR_PdhR	uxuB//cydA//
ArcA_CRP_Cra_Fis	ftsA//
ArcA_CRP_Cra_IHF_IclR	chbF//acrD//katG//
ArcA_CRP_DcuR	cdd//
ArcA_CRP_DcuR_DpiA_FNR_NarL	cydB//fdhF//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	rplW//
ArcA_CRP_DnaA_FNR	frdA//
ArcA_CRP_DpiA_FNR_NarL	purR//nagB//tdcG//fliJ//yiaL//recF//
ArcA_CRP_DpiA_FlhDC	ssuD//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	cyaR//csgC//
ArcA_CRP_FNR	fadL//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	tnaC//deoA//yjiY//
ArcA_CRP_FNR_Fis_Fur_PdhR	nagE//
ArcA_CRP_FNR_Fis_IHF_NarL	murP//
ArcA_CRP_FNR_Fur	srlB//purM//cydC//napF//
ArcA_CRP_FNR_Fur_IHF	casB//fimB//nagC//araJ//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	yjbH//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	rtcA//
ArcA_CRP_FNR_IHF_NarL	csrC//
ArcA_CRP_FNR_NarL	pspG//
ArcA_CRP_FadR	nagA//mazE//
ArcA_CRP_FadR_HipB	yjbH//
ArcA_CRP_FadR_OmpR_PhoP	hycE//
ArcA_CRP_Fis_Mlc_SoxS	fimF//
ArcA_CRP_Fis_XylR	fumA//
ArcA_CRP_Fur_GadX_MqsA	mhpC//
ArcA_CRP_GatR	casA//codB//rpsO//nfo//tpx//bamE//
ArcA_CRP_GlpR	glpD//
ArcA_CRP_IHF	ansB//
ArcA_CRP_PuuR	ompC//aceA//dmsC//fhlA//ilvH//
ArcA_CRP_RhaS	ftsZ//
ArcA_CRP_TreR	nrdG//glcB//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	gabT//gutM//
ArcA_Cra	nuoE//
ArcA_Cra_FNR_H-NS_HypT	fadB//lysP//
ArcA_CysB_FNR	entH//
ArcA_FNR	yrbL//puuR//astB//acrA//hyfJ//lgoR//ssuA//paaA//nikB//pqiB//ilvH//adiC//rrsE//nrfG//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	micF//
ArcA_FNR_Fis_IHF_NarL	aslB//dnaN//deoC//astA//nanA//ascB//fliJ//rutG//cytR//ulaG//marR//gadE//nemA//
ArcA_FNR_Fur_IHF	accB//
ArcA_FNR_IHF	napF//ackA//nagE//
ArcA_FNR_IHF_NarL	lsrG//gadA//
ArcA_FNR_NarL	malP//cusB//ssuC//edd//
ArcA_FNR_PhoP	ccmG//
ArcA_FNR_PuuR	rrfH//rseC//
ArcA_FadR	sufS//tdcB//astE//
ArcA_FadR_Fis	ubiA//mhpF//
ArcA_Fur_Lrp_ModE	feoB//tyrP//rcsA//rrfH//nfsB//
ArcA_GlcC_IHF_PdhR	fliC//csiD//rpsC//mglA//hybA//gspE//
ArcA_LexA	nuoG//yiaN//
ArcA_LldR	entH//tyrR//yhjA//
ArcA_NarL	molR_1//hemL//mazE//paaB//modA//gspH//fliZ//fliI//
ArcA_NtrC_PhoP_RutR	nuoI//malM//atoE//dctA//adiC//metY//argP//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	paaA//uidA//rbsC//
ArgP_CRP_FNR_Fur_Nac	mazE//
ArgP_DnaA	alaV//qseB//hyfC//
ArgP_Lrp	sdhD//fixC//
ArgP_LysR	agaV//
ArgP_PhoB	uxuA//
ArgR_CRP	idnO//
ArgR_CRP_Fis	metQ//yciE//puuC//nemR//glcG//ilvG_1//glcC//ynfE//
ArgR_Fis_IHF_PepA_PurR_RutR	infB//nrfD//
ArgR_H-NS_NtrC	caiT//serA//frdD//fucP//
ArgR_NtrC	sufE//galS//mhpD//aspA//hypE//
ArgR_PhoP	hyaD//
AscG_CRP	rrlC//mdtA//hycF//
AscG_CRP_PhoB_PrpR	ssuA//
AsnC_MraZ_Nac	tdcC//
AsnC_Nac	ndh//ilvE//
AtoC_IHF	paaG//sgrS//glcB//cysW//
BaeR_CpxR	sgbU//cysM//ftsL//infB//fliG//mazE//tauD//
BaeR_CpxR_EvgA	yjjQ//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	paaD//cadA//narX//molR_1//
BasR_CpxR_PdhR	rob//lsrD//
BasR_Fis	lpd//
BasR_H-NS_IHF_NagC_NanR	gcvT//
BasR_MarA_PutA	ftsL//
BasR_PhoP	gntU//
BasR_QseB	paaG//acnB//
CRP_CaiF_FNR	gspL//tnaC//ftnA//dppA//
CRP_ChbR_NagC	fliK//nupG//nikD//cbl//rprA//ccmE//
CRP_ComR	ugpC//
CRP_CpxR	chbR//
CRP_CpxR_CytR	araH//
CRP_CpxR_CytR_DnaA_IHF	nrdF//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	uidA//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	mglC//hupA//gltT//cadB//
CRP_Cra	bolA//astA//fes//ydhW//gabP//nuoA//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	pstC//rpsI//ybjN//hydN//
CRP_Cra_FNR_PdhR	ugpQ//
CRP_Cra_Fis	flgM//
CRP_Cra_Fis_GlcC	mtr//
CRP_Cra_Fis_MtlR	mioC//astC//gadW//
CRP_Cra_Mlc_NagC	pgaB//dmsB//hmp//gcvT//cyaR//lgoR//
CRP_Cra_PrpR	mhpC//gspD//gcd//entE//
CRP_CreB_Fis_MalT	srlE//ldtB//acrF//
CRP_CsiR_H-NS_Lrp	fliI//ubiC//
CRP_CsiR_H-NS_Lrp_Nac	ansB//leuO//ydhV//
CRP_CspA_Fis	feoA//
CRP_CytR	modC//acrD//yjjQ//
CRP_CytR_DeoR	rutF//slp//
CRP_CytR_DeoR_Fis_ModE	hupB//aroP//dppA//dadX//
CRP_CytR_Nac	putA//
CRP_CytR_NsrR	waaH//
CRP_DcuR_FNR_NarL	moaC//
CRP_DinJ-YafQ	ydhV//
CRP_DnaA_Fis_PurR	fabZ//hupB//
CRP_DpiA_ExuR	glnP//
CRP_DsdC	rbfA//ompW//
CRP_EbgR	glpQ//rutD//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	fimA//srlA//
CRP_ExuR	frdC//
CRP_ExuR_FNR	putA//dps//
CRP_ExuR_OxyR_UxuR	aceK//chbF//
CRP_ExuR_UxuR	glpQ//
CRP_FNR	gadX//
CRP_FNR_FhlA_HyfR	galS//rplD//glnA//astE//araC//phoU//pdeR//cusB//pspC//ulaD//yedX//hyfC//
CRP_FNR_Fis	caiA//fabZ//dnaN//
CRP_FNR_Fis_GlpR_IHF	sroD//ilvH//
CRP_FNR_Fis_H-NS_SlyA	rpsC//
CRP_FNR_GcvA_Lrp_PurR	sucC//ynfE//lhgO//
CRP_FNR_H-NS_NarL	baeR//
CRP_FNR_IHF_TdcA_TdcR	fixB//hupA//dcuC//prpE//fliA//ptsI//glpB//
CRP_FNR_NarL	waaY//lacA//ascB//
CRP_FeaR_NsrR	ddlB//
CRP_Fis	nikC//ompF//accC//cspD//rhaR//
CRP_Fis_FlhDC_GalR_GalS	moaD//cysG//
CRP_Fis_FliZ_IHF_Lrp	frdC//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	feaR//rbsR//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	citX//gloA//fadL//
CRP_Fis_IHF	torA//cysI//srlR//dcuD//mtr//
CRP_Fis_NanR	nikA//garR//ccmH//ugpB//paaI//
CRP_Fis_NtrC	sufB//rseA//rhaS//
CRP_Fis_XylR	nmpC//hha//yoaG//
CRP_FlhDC_GalR_GalS	rhaA//
CRP_FucR	prpD//oppD//qseB//evgS//napH//caiF//dppD//
CRP_Fur	bglF//ccmE//narG//nrfD//hyaB//pqiA//hyfE//lamB//atoD//
CRP_Fur_HypT_PdhR	casE//cirA//nuoA//bglB//pflB//
CRP_Fur_OxyR_SoxS	chiP//
CRP_GalR_GalS	frdC//
CRP_GalR_GalS_H-NS_HU	srlE//argD//narH//fbaA//
CRP_GalR_GalS_NagC	gyrA//
CRP_GlpR	chbG//gdhA//dadX//
CRP_GntR	mhpD//glnL//
CRP_GntR_IdnR	rutF//csgD//nemR//metH//cysH//cydD//garL//
CRP_GntR_IscR	yeiL//
CRP_GutM_GutR_H-NS	ompC//proP//ydeM//ilvI//csgG//putA//ileU//
CRP_H-NS	tpx//
CRP_H-NS_HipAB_HipB_NtrC	acrB//
CRP_H-NS_LacI	nrfG//dmsC//hycD//
CRP_H-NS_LeuO	nuoG//fucA//baeR//fepE//sufC//lysA//edd//
CRP_H-NS_MqsA	ybjC//
CRP_IHF	hemA//atoB//metK//nrdA//
CRP_IHF_MprA_OmpR	modC//
CRP_IHF_NsrR	nrfC//
CRP_IHF_PaaX	fau//glpT//tpx//nikA//nfo//nrdB//ndh//ssrS//flgM//pqiB//yiaL//sodB//
CRP_IHF_UlaR	rtcB//fliH//fadB//yoeB//lsrF//sodA//
CRP_IHF_YiaJ	appC//pspE//yhjA//nhaA//nagA//safA//hyfE//ulaB//exuT//yhcH//
CRP_LexA	proX//
CRP_Lrp	nrfB//nemR//nfo//narL//
CRP_Lrp_Mlc	entF//
CRP_Lrp_Nac	ilvD//
CRP_LsrR	carA//gcvH//lamB//rtcB//sucC//rrsE//ygiA//tyrR//fliA//
CRP_MalI	ptsG//metY//mdtC//
CRP_MalT	gloA//fumA//hcr//
CRP_MalT_PhoP	ssuB//
CRP_MelR	nrdI//glnL//fis//
CRP_MetJ	hcr//
CRP_MhpR	hycD//hisJ//galE//purD//cusS//sbmC//
CRP_Mlc	ygeA//argG//
CRP_ModE	paaG//glcC//sdhB//
CRP_MurR	fnr//nuoH//
CRP_Nac_NsrR_PhoB	uidC//
CRP_NadR	astA//
CRP_NagC	glnA//xylR//rrfE//lldR//hipA//gabP//
CRP_NagC_NanR	malM//bglG//tdcA//
CRP_NagC_PhoP	creD//
CRP_OxyR	gspC//
CRP_OxyR_UxuR	aer//
CRP_PhoB	emrY//mntP//caiA//chbB//lyxK//mazF//
CRP_PhoP	galR//metL//ynfK//
CRP_PutA	citE//
CRP_RbsR	napG//garL//atoA//dnaA//fimD//ccmB//
CRP_RhaR_RhaS	caiD//hycA//
CRP_RhaS	zraR//xylB//yaiA//
CRP_Rob	psiE//
CRP_TorR	ssb//nirD//glpC//
CRP_UhpA_UvrY	gltW//
CRP_UidR_UxuR	paaH//fdhF//torC//
CRP_UvrY	rrsB//
CRP_YehT	narH//
CRP_ZraR	cusF//tauA//
CadC_FNR_H-NS_LeuO_MlrA	galK//
Cbl_CysB	mntH//yiaM//narX//garK//
Cbl_CysB_FNR_IHF	inaA//fliG//nanS//fadE//phoU//
CdaR_FNR_Fis_Fur_H-NS	uof//
CdaR_FNR_Fur_H-NS	pck//ilvG_2//oppA//csgE//
CpxR_CsgD_FliZ	acnB//dcuD//marR//
CpxR_CysB	adiC//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	tdcC//
CpxR_GadE	serA//atoA//galK//proP//
CpxR_H-NS	fau//
CpxR_NsrR	rhaS//
CpxR_RcsB	rplB//
CpxR_TyrR	dsdA//
Cra_FNR_Fis_Lrp_NarL	prpD//
Cra_FNR_Fur_MarA_Rob_SoxS	csgF//
Cra_FhlA_FlhDC	tauC//
Cra_GntR_KdgR	melB//
Cra_GntR_KdgR_PhoB	rhaD//
Cra_MarA_SoxS	dcuD//
Cra_PdeL	paaF//
Cra_SgrR	pspC//fepA//sufS//
Cra_TyrR	ftsA//
CreB_NagC	gcd//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	dps//
CsgD_FlhDC	modC//relA//prpD//dsdC//ydhT//hyfE//glgA//rplM//ydhV//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	entH//gltT//
CspA_Fis_GadX_H-NS	flgN//
CueR_FNR_ModE	ahpF//lgoR//cusF//frdA//acrB//
CusR_PhoB_YedW	glyA//rplC//mtlD//lysA//skp//cbl//bglF//
CysB_H-NS	nanM//pdeL//manY//atoD//narL//
CysB_HypT_IHF	purN//
CysB_IHF	araC//nuoM//
CysB_NtrC	trg//
CysB_PhoP	ydeO//
DcuR_FNR_NarL	fecB//lpxC//mglC//micF//
DinJ-YafQ_LexA	cyoD//araB//
DpiA_H-NS	ompR//
DsdC_NsrR	purA//
EvgA_FNR	torC//soxR//
EvgA_H-NS	nrfB//rpsQ//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	galR//
EvgA_H-NS_PhoP_RcsB_YdeO	csgA//
EvgA_PhoP_RcsB_YdeO	moaE//
ExuR_UxuR	fliF//norR//
FNR_FhlA_IHF_NsrR	nac//tauC//xylH//garL//ileV//
FNR_FhlA_NarL_NarP	rcsA//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	zwf//ccmH//mlc//fixB//hyfF//tdcA//ptsG//
FNR_Fis_IHF_ModE_NarL	nrfE//gadA//gltF//
FNR_Fis_IHF_NarL	exuT//
FNR_Fis_IHF_NarL_RstA	moeA//paaF//proX//hycA//
FNR_FlhDC	nikB//
FNR_FlhDC_IscR_ModE_NarL_NarP	sufB//acrE//paaB//ccmA//nrfB//araC//nuoA//
FNR_FlhDC_ModE_NarL_NarP	rbsD//spy//codB//dinI//rpsO//glyA//psiE//pqiB//
FNR_Fur	paaH//cusS//
FNR_Fur_GadE	fixA//
FNR_Fur_GadX_NtrC	hisJ//rpoE//
FNR_Fur_H-NS	caiA//nrdI//dcuC//infB//
FNR_Fur_MetR_NsrR	aroL//
FNR_Fur_Nac_NtrC	malS//
FNR_Fur_NagC	moeB//casA//aceF//
FNR_Fur_OxyR	mntH//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	gadE//
FNR_H-NS	xylB//sodA//
FNR_H-NS_NrdR	flgN//napD//
FNR_IHF	hcr//galK//ydeO//moeB//ahpF//
FNR_IHF_Lrp_YeiL	srlA//
FNR_IHF_NarL_NarP_NorR	rrsH//gloA//
FNR_IHF_PhoB	ftsL//caiB//dusB//rseC//nrdA//
FNR_MalT	idnD//marR//
FNR_ModE	safA//alaV//
FNR_NarL	hupA//hypF//puuA//cysM//ompR//rrfD//
FNR_NarL_NarP	pqiB//tsx//fucA//pgaD//dsdA//galK//rrfC//tcyJ//lysA//
FNR_NarL_NarP_NsrR	chbA//
FNR_NarL_NarP_NsrR_OxyR	dinI//tauB//
FNR_NarL_NikR	rhaT//fucK//cbl//fixC//ugpE//dcuB//
FNR_NsrR	tyrR//flgN//hyaC//
FNR_OxyR	srlD//
FNR_PurR	hypD//glnG//
FNR_YqjI	nupG//
FabR_FadR	dinJ//xylA//
FadR_IHF	fepB//
FadR_IclR	gcvT//
FhlA_FlhDC	thrV//
FhlA_IHF_ModE_NsrR	frdB//yhjA//napF//hyfB//yeaR//rrlD//ydhW//appC//fdnI//
FhlA_IHF_NsrR	cysB//
Fis_Fur	ccmF//
Fis_H-NS	mazF//
Fis_H-NS_IHF_MntR_OxyR	treB//
Fis_H-NS_Lrp	pspD//srlE//glgA//paaI//rtcB//acrE//bglG//ydhV//guaA//fnr//sgbU//rrlD//fepA//cyaR//malM//appA//aldB//dcuD//katG//ilvM//nikR//rcnB//nrdA//exuR//
Fis_H-NS_Lrp_StpA	yciE//leuO//
Fis_IHF	yafQ//
Fis_IHF_NtrC	narH//puuC//
Fis_IHF_OmpR_RcsB	fimB//
Fis_Lrp	uhpT//atoB//ssuA//araJ//citD//rimK//rrlB//narH//aroM//
Fis_MazE_MazE-MazF	manX//
Fis_NarL	zwf//
Fis_NarL_NarP_NsrR	aceA//aceB//
Fis_PurR	hycI//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	chiP//fimG//rseA//
FliZ_RutR	paaB//
Fur_H-NS	casA//hypA//nuoC//galT//metK//malG//argP//fepA//rrlB//fecA//glnD//sbmC//pspD//
Fur_IHF_IscR_NsrR_OxyR	pdhR//paaF//ugpQ//murD//fimE//rob//
Fur_IscR_NrdR	hyfA//nmpC//uidC//entB//
Fur_MetR	metY//
Fur_MntR	mnmG//
Fur_MntR_OxyR	rhaD//
Fur_OxyR	mhpF//
Fur_PurR	hybO//fumB//
Fur_RcnR	asr//napF//
Fur_RutR	ygiC//
Fur_SoxS_Zur	ddlB//
Fur_YqjI	astB//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	acrD//cspI//
GadE-RcsB_H-NS	lrp//
GadE-RcsB_PhoB	acnA//
GadE-RcsB_Rob	caiC//
GadE_GadX_H-NS_PhoP_RcsB	ompC//
GadE_H-NS_Lrp_NsrR	mtr//
GadE_H-NS_MatA	fdnG//
GadE_H-NS_RcsAB	rrlE//
GadE_MarA_PurR	melA//
GadW_GadX_RcsB	mglA//
GalR_GalS	hipB//
GlrR_IHF	galS//
H-NS_IHF	hisQ//emrK//ftsA//
H-NS_IHF_Lrp	focA//aroA//mdtF//xylG//lldR//ugpQ//putP//
H-NS_LeuO	ubiA//manY//
H-NS_LeuO_RcsB-BglJ_StpA	ydhY//
H-NS_LrhA_Lrp	evgS//
H-NS_Lrp	alaV//folA//
H-NS_Lrp_NhaR_RcsB	araH//
H-NS_Lrp_StpA	fumC//
H-NS_McbR	cdd//ilvM//ygeA//
H-NS_NhaR	tpx//proW//
H-NS_OmpR	nikA//
H-NS_PhoB_RcdA_RstA	psiE//
HU_IHF_TrpR_TyrR	cysA//
HU_IHF_TyrR	fimH//
HigA_HigB-HigA	nupC//caiC//
HipAB_HipB_IHF	ccmF//ascB//
HypT_MetJ	icd//baeS//paaZ//
HypT_MetJ_PhoP	prpR//gcd//
IHF_Lrp	ynfG//glcB//ulaE//mhpB//fiu//gatD//ansB//araC//
IHF_NsrR	hypA//
IHF_NtrC	fecC//pspD//
IHF_PhoP	gatA//
IHF_PspF	dinJ//nrdI//nuoF//dmsA//nmpC//gcd//
IHF_RcsAB	fixA//murQ//hyfH//bamE//
IHF_RtcR	nuoJ//ybdZ//
IHF_TyrR	evgA//
IHF_UlaR	fiu//
LexA_MraZ_PdhR	ybjC//rrsG//hybA//nemR//recF//pncB//nupC//nrdI//hdeD//mpl//glgA//
LexA_MraZ_PdhR_RcsB_SdiA	ftsL//lrp//
LexA_MraZ_PdhR_SdiA	gatY//
LexA_NagC	ccmB//
LexA_RcdA	appC//
LexA_RcsB-BglJ	mdtF//
MarA_OxyR_Rob_SoxS	oppC//hypB//cysA//fucP//
MarA_PhoP_Rob_SoxS	fliF//ilvG_2//ccmF//paaI//
MarA_Rob_SoxS	alaV//ompC//nfsB//citG//gatD//
MarA_SoxS	gspO//fucO//osmE//gabD//gspM//
MetJ_MetR	recF//lpxA//
MetJ_OxyR	dcuA//casE//
MetR_PurR	ulaA//
MraZ_PdhR	rcsA//ftnA//
Nac_PurR	fixB//tyrP//
NarL_TorR	fhlA//csgG//guaA//
NemR_RutR	pck//ileV//glgP//
NhaR_OmpR	csrC//cadB//guaB//csgD//
NorR_NsrR	gabT//
NsrR_PhoB	argG//
OxyR_SoxS	ydhY//
PdhR_PhoP	hisQ//
PgrR_TyrR	ackA//
PhoB_PhoP	rrsD//
PhoP_PurR_RbsR	mtr//soxR//
RelB_RelB-RelE	mglC//frdD//tdcD//
TrpR_TyrR	degP//nfsA//waaZ//
YefM_YefM-YoeB	mhpF//sgbU//
