#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	fliH//astA//
ArcA_FNR_Fis_IHF_NarL	nuoL//tyrP//mhpA//glnG//gltW//ndh//proX//malS//amtB//hycE//cusC//hypD//sufC//
ArcA_FNR_Fur_IHF	serC//
ArcA_FNR_IHF	dppC//deoA//baeR//
ArcA_FNR_IHF_NarL	fecC//dmsC//
ArcA_FNR_NarL	thrV//fimA//proV//rplM//
ArcA_FNR_PhoP	yafQ//
ArcA_FNR_PuuR	malG//flgM//
ArcA_FadR	nanC//lpxA//sufB//
ArcA_FadR_Fis	chbB//lsrR//
ArcA_Fur_Lrp_ModE	gdhA//nrfA//fliK//yciE//pspA//
ArcA_GlcC_IHF_PdhR	hcr//chbG//purH//rnpB//fabB//hypD//
ArcA_LexA	caiB//glcE//
ArcA_LldR	ccmG//yiaM//gadF//
ArcA_NarL	fepA//pgaB//garR//metI//paaD//fecD//envZ//envZ//
ArcA_NtrC_PhoP_RutR	csgE//hyfD//nfsB//torA//pstB//csgF//ydhT//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	mhpD//fdnG//rhaS//
ArgP_CRP_FNR_Fur_Nac	yjjQ//
ArgP_DnaA	xylG//cysU//lsrB//
ArgP_Lrp	aer//aldB//
ArgP_LysR	ybjC//
ArgP_PhoB	ynfH//
ArgR_CRP	rrsC//
ArgR_CRP_Fis	hyaB//araD//paaD//yciG//gatA//chbC//uxaC//hycI//
ArgR_Fis_IHF_PepA_PurR_RutR	hha//astA//
ArgR_H-NS_NtrC	betI//sgrS//yhcH//ccmF//
ArgR_NtrC	entF//rimK//araB//mlc//srlE//
ArgR_PhoP	fliA//
AscG_CRP	fliF//oxyR//araC//
AscG_CRP_PhoB_PrpR	fdhF//
AsnC_MraZ_Nac	pyrD//
AsnC_Nac	hypC//glpC//
AtoC_IHF	rpsQ//cusR//nanC//pspB//
BaeR_CpxR	gspF//uxaC//nuoJ//garR//hyfH//murF//mdtF//
BaeR_CpxR_EvgA	hyfC//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	cdd//pstC//edd//entE//
BasR_CpxR_PdhR	gspG//napC//
BasR_Fis	nanM//
BasR_H-NS_IHF_NagC_NanR	prpE//
BasR_MarA_PutA	prpB//
BasR_PhoP	glcD//
BasR_QseB	hycI//prpB//
CRP_CaiF_FNR	gltA//codB//nuoB//uxuA//
CRP_ChbR_NagC	ulaC//slp//napC//gltA//galR//gutM//
CRP_ComR	sgbE//
CRP_CpxR	stpA//
CRP_CpxR_CytR	ccmG//
CRP_CpxR_CytR_DnaA_IHF	ileT//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	rcnA//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	moaC//hisQ//pspD//ebgC//
CRP_Cra	gadA//uxaA//dinI//gspM//malF//ugpA//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	uof//xylF//fepA//metE//
CRP_Cra_FNR_PdhR	prfA//
CRP_Cra_Fis	uxuB//
CRP_Cra_Fis_GlcC	lldR//
CRP_Cra_Fis_MtlR	appX//dnaN//nrfF//
CRP_Cra_Mlc_NagC	ackA//ccmF//relB//nrfE//ssuA//ccmD//
CRP_Cra_PrpR	hyfG//psiE//puuC//malF//
CRP_CreB_Fis_MalT	modB//putP//gnd//
CRP_CsiR_H-NS_Lrp	glcD//fliK//
CRP_CsiR_H-NS_Lrp_Nac	yciG//nfsA//lacZ//
CRP_CspA_Fis	rhaS//
CRP_CytR	aidB//soxR//feaR//
CRP_CytR_DeoR	ccmG//flgM//
CRP_CytR_DeoR_Fis_ModE	cyoC//fhlA//puuE//stpA//
CRP_CytR_Nac	oppD//
CRP_CytR_NsrR	casB//
CRP_DcuR_FNR_NarL	yhjA//
CRP_DinJ-YafQ	galE//
CRP_DnaA_Fis_PurR	pstA//hycD//
CRP_DpiA_ExuR	gnd//
CRP_DsdC	nuoL//yhcH//
CRP_EbgR	mdtF//gadF//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	rplP//cbl//
CRP_ExuR	hypF//
CRP_ExuR_FNR	narH//gltV//
CRP_ExuR_OxyR_UxuR	dsdC//nrdF//
CRP_ExuR_UxuR	oxyR//
CRP_FNR	rpsC//
CRP_FNR_FhlA_HyfR	mraY//astD//lacA//ftsI//gadA//hybE//garL//dmsA//gntX//uidA//rplV//fis//
CRP_FNR_Fis	gapA//uvrA//glmY//
CRP_FNR_Fis_GlpR_IHF	adiA//glgP//
CRP_FNR_Fis_H-NS_SlyA	ydhX//
CRP_FNR_GcvA_Lrp_PurR	appY//csgF//ugpB//
CRP_FNR_H-NS_NarL	malE//
CRP_FNR_IHF_TdcA_TdcR	appA//mraY//yjjQ//fadL//fucO//umpH//paaI//
CRP_FNR_NarL	ftsQ//fixA//ynfF//
CRP_FeaR_NsrR	rplB//
CRP_Fis	ccmH//tcyJ//ftsQ//fucO//ilvI//
CRP_Fis_FlhDC_GalR_GalS	manX//hyfF//
CRP_Fis_FliZ_IHF_Lrp	cysH//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	sbmC//rrlC//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	fliI//gspH//argO//
CRP_Fis_IHF	iraM//uspA//cysW//mtlR//araB//
CRP_Fis_NanR	narK//yeiL//lhgO//aslB//pyrC//
CRP_Fis_NtrC	hycE//fixC//araH//
CRP_Fis_XylR	nuoA//bglB//oppB//
CRP_FlhDC_GalR_GalS	gloA//
CRP_FucR	sgbH//galM//leuO//nirD//fumB//nusA//nfsB//
CRP_Fur	chbC//gltF//caiB//rseB//hyaE//ulaB//casE//sgbE//yciE//
CRP_Fur_HypT_PdhR	nrdD//yjbF//gadB//edd//gatA//
CRP_Fur_OxyR_SoxS	prpC//
CRP_GalR_GalS	lsrB//
CRP_GalR_GalS_H-NS_HU	ssb//ubiA//gspM//casC//
CRP_GalR_GalS_NagC	nrfA//
CRP_GlpR	purA//purM//araJ//
CRP_GntR	ppiA//carB//
CRP_GntR_IdnR	caiB//hybG//pstB//rrfB//gatA//cusC//sufA//
CRP_GntR_IscR	sbmC//
CRP_GutM_GutR_H-NS	dctR//cydD//cyoB//mdtC//csgG//agaW//metB//
CRP_H-NS	metR//
CRP_H-NS_HipAB_HipB_NtrC	rrlD//
CRP_H-NS_LacI	cysG//acrB//bglJ//
CRP_H-NS_LeuO	adhE//fau//malX//rplW//ftsI//dnaN//hipA//
CRP_H-NS_MqsA	araG//
CRP_IHF	ptsI//malI//prpD//csgB//
CRP_IHF_MprA_OmpR	cyoE//
CRP_IHF_NsrR	rbsA//
CRP_IHF_PaaX	betT//dadX//mhpA//nrdI//deoB//nmpC//lpxC//moaD//nrfA//fabZ//manZ//metE//
CRP_IHF_UlaR	ssuD//hybO//yecR//prmC//gatD//purR//
CRP_IHF_YiaJ	betT//nanM//glcE//hybE//nuoI//flhD//uxuR//appB//zinT//idnO//
CRP_LexA	nuoN//
CRP_Lrp	dadX//pgaB//uxaB//torC//
CRP_Lrp_Mlc	cspI//
CRP_Lrp_Nac	ppiA//
CRP_LsrR	hycA//fecE//rcsA//lrp//ugpE//nhaR//purM//higB//qseB//
CRP_MalI	qseC//ydeM//fimG//
CRP_MalT	yhcH//gadC//hokD//
CRP_MalT_PhoP	yjbE//
CRP_MelR	ydhV//ftnA//ugpC//
CRP_MetJ	yfaE//
CRP_MhpR	tnaA//malG//sufC//cusA//yoaG//dcuB//
CRP_Mlc	malX//fecB//
CRP_ModE	frdD//alaV//ygeA//
CRP_MurR	mdtB//nhaA//
CRP_Nac_NsrR_PhoB	csgE//
CRP_NadR	rrlD//
CRP_NagC	codB//ssuA//creD//gltT//yiaJ//atoA//
CRP_NagC_NanR	entF//nirD//zraS//
CRP_NagC_PhoP	cysH//
CRP_OxyR	galE//
CRP_OxyR_UxuR	norR//
CRP_PhoB	hyfJ//ftnA//fis//pstA//prpB//hyaA//
CRP_PhoP	mraY//gntX//idnO//
CRP_PutA	ynfG//
CRP_RbsR	thrV//cadC//udp//casC//rrlG//ssuD//
CRP_RhaR_RhaS	araA//mazF//
CRP_RhaS	hycC//rseA//metN//
CRP_Rob	gloA//
CRP_TorR	rrfA//ulaE//emrK//
CRP_UhpA_UvrY	pspC//
CRP_UidR_UxuR	astA//fucI//moeA//
CRP_UvrY	lpd//
CRP_YehT	rpsQ//
CRP_ZraR	pyrC//lgoR//
CadC_FNR_H-NS_LeuO_MlrA	hisP//
Cbl_CysB	casD//nuoE//csgA//argO//
Cbl_CysB_FNR_IHF	hycA//paaC//rrsE//nuoF//fadB//
CdaR_FNR_Fis_Fur_H-NS	rbsK//
CdaR_FNR_Fur_H-NS	flhC//idnD//amtB//rrlB//
CpxR_CsgD_FliZ	garP//gltU//hyfG//
CpxR_CysB	mtlA//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	dppF//
CpxR_GadE	iraM//mdtD//nanE//malS//
CpxR_H-NS	nikC//
CpxR_NsrR	idnR//
CpxR_RcsB	nrfF//
CpxR_TyrR	higA//
Cra_FNR_Fis_Lrp_NarL	safA//
Cra_FNR_Fur_MarA_Rob_SoxS	srlR//
Cra_FhlA_FlhDC	citE//
Cra_GntR_KdgR	uxuA//
Cra_GntR_KdgR_PhoB	yoeB//
Cra_MarA_SoxS	fadE//
Cra_PdeL	sdhD//
Cra_SgrR	glcG//rrfH//hybA//
Cra_TyrR	yecR//
CreB_NagC	caiA//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	fadJ//
CsgD_FlhDC	rpsC//nikB//cysU//cdd//ldtB//moaD//hyfG//hybG//mdtC//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	ytfE//bglG//
CspA_Fis_GadX_H-NS	moaA//
CueR_FNR_ModE	malM//nuoA//rpoS//aroG//pdhR//
CusR_PhoB_YedW	gspI//mdtB//dcuB//fucA//fliA//dppF//ssb//
CysB_H-NS	uxuR//pnp//sdhC//gltT//murE//
CysB_HypT_IHF	ilvD//
CysB_IHF	xylH//cyoE//
CysB_NtrC	torD//
CysB_PhoP	ebgC//
DcuR_FNR_NarL	paaA//ilvG_1//gltA//entE//
DinJ-YafQ_LexA	appX//dcuD//
DpiA_H-NS	rutG//
DsdC_NsrR	pspE//
EvgA_FNR	patA//ynfF//
EvgA_H-NS	malE//hybF//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	rutE//
EvgA_H-NS_PhoP_RcsB_YdeO	pstA//
EvgA_PhoP_RcsB_YdeO	purM//
ExuR_UxuR	rrsD//ileT//
FNR_FhlA_IHF_NsrR	yefM//rplM//treC//hisM//dctA//
FNR_FhlA_NarL_NarP	srlA//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	cspA//rbsC//mtr//citG//gntX//yhiD//fimH//
FNR_Fis_IHF_ModE_NarL	fliC//hycG//fimC//
FNR_Fis_IHF_NarL	waaZ//
FNR_Fis_IHF_NarL_RstA	hyaD//rutG//infB//paaB//
FNR_FlhDC	ygiB//
FNR_FlhDC_IscR_ModE_NarL_NarP	hemA//nemR//cydB//rplP//yhiM//puuB//adiA//
FNR_FlhDC_ModE_NarL_NarP	glnL//sucA//rhaB//lgoR//ulaB//tdcF//rsmH//rpsJ//
FNR_Fur	fes//uidB//
FNR_Fur_GadE	hemA//
FNR_Fur_GadX_NtrC	serC//gyrA//
FNR_Fur_H-NS	nusA//nuoH//fepB//idnK//
FNR_Fur_MetR_NsrR	gadF//
FNR_Fur_Nac_NtrC	qseB//
FNR_Fur_NagC	entF//hns//sufS//
FNR_Fur_OxyR	cyaR//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	metL//
FNR_H-NS	hycB//fliG//
FNR_H-NS_NrdR	hybG//rrsC//
FNR_IHF	fecD//mglC//manZ//gspG//mdtE//
FNR_IHF_Lrp_YeiL	mhpB//
FNR_IHF_NarL_NarP_NorR	hyaF//degP//
FNR_IHF_PhoB	glnA//codB//caiA//deoC//ubiA//
FNR_MalT	moeA//paaA//
FNR_ModE	pstC//katE//
FNR_NarL	rrfG//ilvL//ftsQ//idnR//ydhV//nikA//
FNR_NarL_NarP	yedX//yoeB//araJ//lhgO//rpoS//dcuB//katE//hha//paaK//
FNR_NarL_NarP_NsrR	lpxC//
FNR_NarL_NarP_NsrR_OxyR	tam//pck//
FNR_NarL_NikR	pdeL//bglJ//mdh//chbB//narH//xylB//
FNR_NsrR	gadA//aer//icd//
FNR_OxyR	sufA//
FNR_PurR	emrY//fimE//
FNR_YqjI	marB//
FabR_FadR	mdtF//galM//
FadR_IHF	rutB//
FadR_IclR	gadC//
FhlA_FlhDC	ulaB//
FhlA_IHF_ModE_NsrR	lsrA//rrfF//fimA//hyaE//rcnB//gspD//fadL//rutB//fadI//
FhlA_IHF_NsrR	paaJ//
Fis_Fur	gloA//
Fis_H-NS	malT//
Fis_H-NS_IHF_MntR_OxyR	creD//
Fis_H-NS_Lrp	pstA//rpmC//cas1//cusF//tdcF//casD//feaR//aidB//rplP//nanT//ileT//frdB//gdhA//cyoA//gspE//gadF//fimC//yiaM//ilvD//garK//ugpA//qseC//mglC//entB//
Fis_H-NS_Lrp_StpA	amtB//gntP//
Fis_IHF	mhpA//
Fis_IHF_NtrC	uxuB//gltV//
Fis_IHF_OmpR_RcsB	pflB//
Fis_Lrp	yhiD//purN//nemA//aidB//murG//fdnI//metQ//gltT//ydhV//
Fis_MazE_MazE-MazF	xylR//
Fis_NarL	pqiB//
Fis_NarL_NarP_NsrR	fliJ//rsmH//
Fis_PurR	puuA//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	alaV//appA//hns//
FliZ_RutR	nfo//
Fur_H-NS	rutA//ygiB//srlR//fimE//nrdB//ileU//csgD//rhaT//mraY//fis//relA//rrsC//hypD//
Fur_IHF_IscR_NsrR_OxyR	nanT//paaA//gspL//rpmC//nuoF//ynfG//
Fur_IscR_NrdR	nac//hupB//nanA//hemA//
Fur_MetR	yeiL//
Fur_MntR	mntP//
Fur_MntR_OxyR	accB//
Fur_OxyR	cyoD//
Fur_PurR	fimG//glnL//
Fur_RcnR	ssuD//leuO//
Fur_RutR	nfuA//
Fur_SoxS_Zur	nuoJ//
Fur_YqjI	lhgO//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	ynfK//trg//
GadE-RcsB_H-NS	lgoR//
GadE-RcsB_PhoB	rhaR//
GadE-RcsB_Rob	xylH//
GadE_GadX_H-NS_PhoP_RcsB	oppC//
GadE_H-NS_Lrp_NsrR	udp//
GadE_H-NS_MatA	mdh//
GadE_H-NS_RcsAB	tdcA//
GadE_MarA_PurR	agaV//
GadW_GadX_RcsB	sgrT//
GalR_GalS	hcp//
GlrR_IHF	aroL//
H-NS_IHF	gadB//katE//malQ//
H-NS_IHF_Lrp	lrp//proX//xylF//aer//puuD//ydhV//gltU//
H-NS_LeuO	ddlB//soxR//
H-NS_LeuO_RcsB-BglJ_StpA	lysA//
H-NS_LrhA_Lrp	yoaG//
H-NS_Lrp	sgrS//cysI//
H-NS_Lrp_NhaR_RcsB	citC//
H-NS_Lrp_StpA	gspO//
H-NS_McbR	serA//ascF//ldtB//
H-NS_NhaR	lpxD//lsrR//
H-NS_OmpR	cysA//
H-NS_PhoB_RcdA_RstA	puuE//
HU_IHF_TrpR_TyrR	manZ//
HU_IHF_TyrR	mazF//
HigA_HigB-HigA	nusA//araE//
HipAB_HipB_IHF	guaB//rhaS//
HypT_MetJ	narL//bhsA//hypB//
HypT_MetJ_PhoP	fliJ//lsrF//
IHF_Lrp	fbaA//nuoF//yjbG//araC//hypE//nfsB//napA//nanS//
IHF_NsrR	ubiC//
IHF_NtrC	gabD//tyrP//
IHF_PhoP	rplC//
IHF_PspF	hyfB//lyxK//nuoK//ftsZ//csgF//trg//
IHF_RcsAB	dpiA//chiP//molR_1//fabZ//
IHF_RtcR	hisJ//hypD//
IHF_TyrR	fliZ//
IHF_UlaR	lacA//
LexA_MraZ_PdhR	lsrB//dinJ//astB//murC//mazE//hyfC//hycI//ygiA//dgcZ//yaiA//ynfE//
LexA_MraZ_PdhR_RcsB_SdiA	focA//rprA//
LexA_MraZ_PdhR_SdiA	umpH//
LexA_NagC	dgcZ//
LexA_RcdA	marA//
LexA_RcsB-BglJ	hisP//
MarA_OxyR_Rob_SoxS	trg//uxaC//dcuB//gltU//
MarA_PhoP_Rob_SoxS	nirD//appA//dcuD//rrfG//
MarA_Rob_SoxS	truB//relA//cysJ//hycF//cas1//
MarA_SoxS	fliI//ilvM//malT//araE//ccmC//
MetJ_MetR	sgbH//aroG//
MetJ_OxyR	garP//nfuA//
MetR_PurR	ndh//
MraZ_PdhR	evgS//nagE//
Nac_PurR	mtlD//dinJ//
NarL_TorR	glnL//gadE//hypD//
NemR_RutR	nikB//mntH//hyfJ//
NhaR_OmpR	rcnA//yiaJ//metK//malE//
NorR_NsrR	exuT//
NsrR_PhoB	nrfA//
OxyR_SoxS	gltB//
PdhR_PhoP	rseB//
PgrR_TyrR	nemA//
PhoB_PhoP	srlB//
PhoP_PurR_RbsR	ydhW//glpK//
RelB_RelB-RelE	crr//adiA//rpsQ//
TrpR_TyrR	hyfR//appX//deoC//
YefM_YefM-YoeB	torC//pspD//
