#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	rrfG//fabA//
CRP_CpxR	caiA//
CRP_CpxR_CytR	tsx//
CRP_CpxR_CytR_DnaA_IHF	gspG//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	gltF//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	gltV//mdtC//hns//gatA//
CRP_Cra	rrsA//lhgO//ccmE//modB//dcuR//manX//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	tnaA//paaH//rimK//ydeP//
CRP_Cra_FNR_PdhR	pstS//
CRP_Cra_Fis	ssuB//
CRP_Cra_Fis_GlcC	hyfJ//
CRP_Cra_Fis_MtlR	sucD//gatD//waaY//
CRP_Cra_Mlc_NagC	nrfD//pqiA//pdhR//alaU//rrfE//citE//
CRP_Cra_PrpR	aer//rsmH//norW//katE//
CRP_CreB_Fis_MalT	dctA//glcF//rplD//
CRP_CsiR_H-NS_Lrp	ascF//ybdN//
CRP_CsiR_H-NS_Lrp_Nac	focB//oppF//entE//
CRP_CspA_Fis	casE//
CRP_CytR	ndh//hyfH//nemA//
CRP_CytR_DeoR	focB//ackA//
CRP_CytR_DeoR_Fis_ModE	feaB//skp//paaD//cyoD//
CRP_CytR_Nac	aroA//
CRP_CytR_NsrR	hns//
CRP_DcuR_FNR_NarL	gltD//
CRP_DinJ-YafQ	rplD//
CRP_DnaA_Fis_PurR	tdcG//narJ//
CRP_DpiA_ExuR	cas1//
CRP_DsdC	modC//infB//
CRP_EbgR	cydA//glpD//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	paaJ//alaV//
CRP_ExuR	cysM//
CRP_ExuR_FNR	trg//moeA//
CRP_ExuR_OxyR_UxuR	pncB//ygeA//
CRP_ExuR_UxuR	hokD//
CRP_FNR	ftsQ//
CRP_FNR_FhlA_HyfR	cysU//astA//oppA//yqjI//fliG//hcp//bglJ//pncB//dsdX//napF//chiP//glgP//
CRP_FNR_Fis	astD//mpl//truB//
CRP_FNR_Fis_GlpR_IHF	ssb//tcyJ//
CRP_FNR_Fis_H-NS_SlyA	astE//
CRP_FNR_GcvA_Lrp_PurR	agaA//rrsE//fixA//
CRP_FNR_H-NS_NarL	hcp//
CRP_FNR_IHF_TdcA_TdcR	yjbE//ccmB//xylR//ansB//nusA//nrfE//puuE//
CRP_FNR_NarL	cysH//acrE//gspO//
CRP_FeaR_NsrR	nagC//
CRP_Fis	katG//sufA//nagE//hypE//fimE//
CRP_Fis_FlhDC_GalR_GalS	cusB//rplW//
CRP_Fis_FliZ_IHF_Lrp	fimA//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	nrfF//betA//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	gutM//deoD//fecE//
CRP_Fis_IHF	rrlD//hisM//atoD//lgoR//argD//
CRP_Fis_NanR	rplW//dppA//fucA//nuoB//nuoM//
CRP_Fis_NtrC	mlc//uxuR//dpiA//
CRP_Fis_XylR	ftsZ//ubiA//manX//
CRP_FlhDC_GalR_GalS	rpsO//
CRP_FucR	araD//gltU//paaG//sodB//carA//tdcE//rcnB//
CRP_Fur	uxaB//ydeN//ygiB//psiE//fumA//sufA//glpF//gltA//betT//
CRP_Fur_HypT_PdhR	paaJ//yciE//relB//sodA//rrsG//
CRP_Fur_OxyR_SoxS	hyaB//
CRP_GalR_GalS	oppB//
CRP_GalR_GalS_H-NS_HU	marA//marR//nrfD//aspC//
CRP_GalR_GalS_NagC	ascB//
CRP_GlpR	pyrC//malX//sbmC//
CRP_GntR	deoC//rutE//
CRP_GntR_IdnR	rprA//nanT//fixA//gspL//tdcF//edd//nupC//
CRP_GntR_IscR	nirB//
CRP_GutM_GutR_H-NS	gadX//narI//gatC//galS//hycC//ccmE//galE//
CRP_H-NS	fecB//
CRP_H-NS_HipAB_HipB_NtrC	agaV//
CRP_H-NS_LacI	mglB//cirA//thrV//
CRP_H-NS_LeuO	ugpB//gltF//yiaO//lsrF//thrV//yeiL//ileV//
CRP_H-NS_MqsA	cadA//
CRP_IHF	yjjQ//feoC//bglG//glpX//
CRP_IHF_MprA_OmpR	garK//
CRP_IHF_NsrR	glpD//
CRP_IHF_PaaX	hycG//gnd//metY//nemA//ileT//nanM//moaE//acnB//garL//fucU//murF//cyoA//
CRP_IHF_UlaR	aceF//mglA//glnG//hycC//ilvG_2//lyxK//
CRP_IHF_YiaJ	phoQ//higB//cusA//fadI//fixB//gatB//pstB//dcuA//flgN//paaH//
CRP_LexA	murG//
CRP_Lrp	lpxC//nikC//frdA//moaA//
CRP_Lrp_Mlc	caiE//
CRP_Lrp_Nac	puuD//
CRP_LsrR	sra//betB//rutG//uxuB//rplC//yjcH//araH//citF//rrsH//
CRP_MalI	idnK//ygiA//hypD//
CRP_MalT	dctA//rrsC//lamB//
CRP_MalT_PhoP	mtr//
CRP_MelR	gatZ//rpoH//dinI//
CRP_MetJ	putA//
CRP_MhpR	dcuR//gltD//accB//mdtE//dcuS//nac//
CRP_Mlc	cysP//ftsW//
CRP_ModE	glpB//bhsA//dpiB//
CRP_MurR	nagB//pqiB//
CRP_Nac_NsrR_PhoB	argO//
CRP_NadR	galM//
CRP_NagC	appY//rutE//rutD//pstC//oxyR//glyA//
CRP_NagC_NanR	rrlC//mtlD//nfsB//
CRP_NagC_PhoP	ilvG_2//
CRP_OxyR	hdeD//
CRP_OxyR_UxuR	casB//
CRP_PhoB	serC//hybA//nuoG//hycG//pgk//pstC//
CRP_PhoP	fliC//relE//nirC//
CRP_PutA	flhD//
CRP_RbsR	fau//carA//ssuC//ydhU//nrfF//sucA//
CRP_RhaR_RhaS	dctR//csgB//
CRP_RhaS	serA//zraS//pflB//
CRP_Rob	rhaS//
CRP_TorR	ihfA//caiT//sucB//
CRP_UhpA_UvrY	rrsB//
CRP_UidR_UxuR	araE//higB//fbaA//
CRP_UvrY	acrB//
CRP_YehT	gcd//
CRP_ZraR	rrfA//mtlA//
CadC_FNR_H-NS_LeuO_MlrA	gadE//
Cbl_CysB	nac//pck//hybB//tyrP//
Cbl_CysB_FNR_IHF	cspI//ydhX//fliA//tomB//ccmB//
CdaR_FNR_Fis_Fur_H-NS	ppiA//
CdaR_FNR_Fur_H-NS	gabP//ssrS//prpR//nanT//
CpxR_CsgD_FliZ	proV//sra//nanA//
CpxR_CysB	tam//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	gntU//
CpxR_GadE	fimF//napA//idnD//waaZ//
CpxR_H-NS	exuT//
CpxR_NsrR	malG//
CpxR_RcsB	pspD//
CpxR_TyrR	ydhV//
Cra_FNR_Fis_Lrp_NarL	glcA//
Cra_FNR_Fur_MarA_Rob_SoxS	acrD//
Cra_FhlA_FlhDC	nusA//
Cra_GntR_KdgR	cysI//
Cra_GntR_KdgR_PhoB	rsmH//
Cra_MarA_SoxS	lysA//
Cra_PdeL	katE//
Cra_SgrR	flhD//betA//bglF//
Cra_TyrR	nagE//
CreB_NagC	flgM//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	tdcG//
CsgD_FlhDC	oppD//astE//ynfH//fucK//prpD//napC//putP//cadC//ynfH//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	nrdB//pqiA//
CspA_Fis_GadX_H-NS	hns//
CueR_FNR_ModE	mglB//murC//gspL//araC//paaD//
CusR_PhoB_YedW	patA//mdh//hycF//hybE//fliE//ulaG//asr//
CysB_H-NS	malM//yciG//gadA//osmY//purR//
CysB_HypT_IHF	focA//
CysB_IHF	entA//nuoI//
CysB_NtrC	ftnA//
CysB_PhoP	manX//
DcuR_FNR_NarL	malQ//nuoG//aceK//ynfK//
DinJ-YafQ_LexA	atoE//cusS//
DpiA_H-NS	oppD//
DsdC_NsrR	citE//
EvgA_FNR	ygbA//hupB//
EvgA_H-NS	moeB//entH//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	ubiC//
EvgA_H-NS_PhoP_RcsB_YdeO	gltT//
EvgA_PhoP_RcsB_YdeO	appY//
ExuR_UxuR	sdhA//metN//
FNR_FhlA_IHF_NsrR	garR//zinT//lrp//cusS//metY//
FNR_FhlA_NarL_NarP	hypE//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	glnP//dppA//cusC//tdcA//rutB//uspA//fixB//
FNR_Fis_IHF_ModE_NarL	cspD//sufD//ccmC//
FNR_Fis_IHF_NarL	fdnG//
FNR_Fis_IHF_NarL_RstA	bglF//chbG//ydhW//pdeR//
FNR_FlhDC	hycH//
FNR_FlhDC_IscR_ModE_NarL_NarP	cusS//glpT//ubiA//dppD//nagE//phoU//aer//
FNR_FlhDC_ModE_NarL_NarP	fdnH//degP//ftsQ//waaY//pncB//manX//nupG//atoD//
FNR_Fur	cydD//astA//
FNR_Fur_GadE	pstC//
FNR_Fur_GadX_NtrC	metB//ilvE//
FNR_Fur_H-NS	cdd//hyfB//fepB//murC//
FNR_Fur_MetR_NsrR	gspF//
FNR_Fur_Nac_NtrC	nagB//
FNR_Fur_NagC	mazF//rbsK//lamB//
FNR_Fur_OxyR	guaA//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	pdhR//
FNR_H-NS	sucB//atoD//
FNR_H-NS_NrdR	srlR//aslB//
FNR_IHF	norW//dppB//sdhB//fdnG//nrdI//
FNR_IHF_Lrp_YeiL	argO//
FNR_IHF_NarL_NarP_NorR	sucB//glpC//
FNR_IHF_PhoB	pqiA//ulaF//ulaB//rutA//guaA//
FNR_MalT	xylG//fixX//
FNR_ModE	zinT//napA//
FNR_NarL	glnG//paaK//hypB//cysG//rtcA//rrlA//
FNR_NarL_NarP	narH//serA//higB//tpx//appY//entD//qseB//hyfH//hha//
FNR_NarL_NarP_NsrR	putP//
FNR_NarL_NarP_NsrR_OxyR	waaZ//idnD//
FNR_NarL_NikR	ilvX//ilvG_2//nagA//idnT//mntH//waaH//
FNR_NsrR	astE//rtcA//murC//
FNR_OxyR	dcuB//
FNR_PurR	ompR//rplP//
FNR_YqjI	rpsS//
FabR_FadR	rrsH//xylG//
FadR_IHF	hupA//
FadR_IclR	fucK//
FhlA_FlhDC	lsrB//
FhlA_IHF_ModE_NsrR	proV//safA//modB//sufC//fadA//baeS//fimB//manX//ydhX//
FhlA_IHF_NsrR	gspG//
Fis_Fur	serC//
Fis_H-NS	paaZ//
Fis_H-NS_IHF_MntR_OxyR	uidB//
Fis_H-NS_Lrp	acrA//nrdH//entA//yjcH//cspI//cysW//glgP//fliF//ulaA//hisQ//oppB//putP//rbsD//lacY//tauA//glcF//nanM//gatZ//moeA//gatD//citG//citF//tpx//pspD//
Fis_H-NS_Lrp_StpA	atoD//gltT//
Fis_IHF	pncB//
Fis_IHF_NtrC	rnpB//gltA//
Fis_IHF_OmpR_RcsB	uxaB//
Fis_Lrp	yhcH//dmsA//oppC//garL//casC//ilvL//oppA//hyfE//betB//
Fis_MazE_MazE-MazF	grcA//
Fis_NarL	fumC//
Fis_NarL_NarP_NsrR	yoaG//pqiB//
Fis_PurR	modB//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	proX//pspE//ddlB//
FliZ_RutR	rpmC//
Fur_H-NS	paaE//glmY//hyfI//pck//fbaA//sdhA//idnD//rpmC//relE//xylR//focA//atoE//dinJ//
Fur_IHF_IscR_NsrR_OxyR	glnG//citC//mntP//fhuF//focA//metB//
Fur_IscR_NrdR	ybdN//uidB//cyoE//gloA//
Fur_MetR	nikR//
Fur_MntR	pncB//
Fur_MntR_OxyR	nanS//
Fur_OxyR	malM//
Fur_PurR	fucA//glcF//
Fur_RcnR	sdhD//rrsE//
Fur_RutR	prpC//
Fur_SoxS_Zur	hyaE//
Fur_YqjI	glyA//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	dppA//fdnH//
GadE-RcsB_H-NS	ileU//
GadE-RcsB_PhoB	yiaL//
GadE-RcsB_Rob	tdcD//
GadE_GadX_H-NS_PhoP_RcsB	ilvI//
GadE_H-NS_Lrp_NsrR	fdnH//
GadE_H-NS_MatA	marR//
GadE_H-NS_RcsAB	rcsA//
GadE_MarA_PurR	nanK//
GadW_GadX_RcsB	paaK//
GalR_GalS	lldD//
GlrR_IHF	rpoH//
H-NS_IHF	nrdG//narI//cbl//
H-NS_IHF_Lrp	glnH//nrdA//melB//dsdC//tomB//gspM//ulaF//
H-NS_LeuO	ugpE//malE//
H-NS_LeuO_RcsB-BglJ_StpA	ubiC//
H-NS_LrhA_Lrp	yjbG//
H-NS_Lrp	accB//aldB//
H-NS_Lrp_NhaR_RcsB	codA//
H-NS_Lrp_StpA	sroD//
H-NS_McbR	pspE//hycE//gadF//
H-NS_NhaR	acnA//rhaS//
H-NS_OmpR	puuP//
H-NS_PhoB_RcdA_RstA	envZ//
HU_IHF_TrpR_TyrR	csgB//
HU_IHF_TyrR	hemA//
HigA_HigB-HigA	gspL//mtlR//
HipAB_HipB_IHF	nuoF//umpH//
HypT_MetJ	fis//accB//feaR//
HypT_MetJ_PhoP	tyrR//truB//
IHF_Lrp	fabA//fimG//kbaZ//dppA//malK//nrfF//hybA//codB//
IHF_NsrR	moaC//
IHF_NtrC	pstB//gcvP//
IHF_PhoP	idnT//
IHF_PspF	ydhY//gltA//tyrP//hycA//fabZ//gapA//
IHF_RcsAB	glnK//rbfA//yiaL//gnd//
IHF_RtcR	garK//murC//
IHF_TyrR	cusS//
IHF_UlaR	ilvH//
LexA_MraZ_PdhR	modB//hybE//rrfA//ilvG_2//metI//cyoA//eda//ppiA//mraZ//mazG//casD//
LexA_MraZ_PdhR_RcsB_SdiA	ugpB//ptsG//
LexA_MraZ_PdhR_SdiA	ulaD//
LexA_NagC	hycD//
LexA_RcdA	araA//
LexA_RcsB-BglJ	setA//
MarA_OxyR_Rob_SoxS	glnD//hns//nagB//metB//
MarA_PhoP_Rob_SoxS	fadA//yjbG//yciE//aldB//
MarA_Rob_SoxS	yciG//yhcH//modC//lpxA//sufC//
MarA_SoxS	purN//csgF//alaT//paaA//nfsA//
MetJ_MetR	ygiA//glpK//
MetJ_OxyR	sucC//hybE//
MetR_PurR	rrlG//
MraZ_PdhR	relE//nrfB//
Nac_PurR	fimI//higB//
NarL_TorR	ssrS//fes//sucC//
NemR_RutR	uxuA//rplB//dppA//
NhaR_OmpR	ilvD//gspK//cadC//casB//
NorR_NsrR	ubiA//
NsrR_PhoB	malG//
OxyR_SoxS	cysW//
PdhR_PhoP	glyA//
PgrR_TyrR	gadY//
PhoB_PhoP	paaH//
PhoP_PurR_RbsR	cysG//nanE//
RelB_RelB-RelE	chbF//fliH//rpoS//
TrpR_TyrR	yiaN//lsrB//chbB//
YefM_YefM-YoeB	narL//nagC//
