#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	focA//araB//
CRP_CaiF_FNR	araA//nrdA//gatZ//rhaS//
CRP_ChbR_NagC	hybB//nikA//aceK//bhsA//lpxA//eda//
CRP_ComR	argD//
CRP_CpxR	fepA//
CRP_CpxR_CytR	torA//
CRP_CpxR_CytR_DnaA_IHF	cysW//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	nrfF//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	gadX//asnC//rbsD//cspD//
CRP_Cra	gyrA//galM//chbR//fecA//fucI//lacZ//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	waaZ//entF//cyoB//acnA//
CRP_Cra_FNR_PdhR	paaI//
CRP_Cra_Fis	dmsC//
CRP_Cra_Fis_GlcC	aldA//
CRP_Cra_Fis_MtlR	yedX//malX//ulaA//
CRP_Cra_Mlc_NagC	cysB//hisJ//glnP//hybC//nirC//sdhB//
CRP_Cra_PrpR	nrfG//metB//tolC//nanA//
CRP_CreB_Fis_MalT	malP//nagE//acrA//
CRP_CsiR_H-NS_Lrp	treC//paaI//
CRP_CsiR_H-NS_Lrp_Nac	gadB//narG//rrfA//
CRP_CspA_Fis	idnR//
CRP_CytR	napF//glpQ//tnaC//
CRP_CytR_DeoR	hdeD//uxuR//
CRP_CytR_DeoR_Fis_ModE	ulaG//ssuC//ccmC//puuP//
CRP_CytR_Nac	deoB//
CRP_CytR_NsrR	ilvD//
CRP_DcuR_FNR_NarL	sgbE//
CRP_DinJ-YafQ	udp//
CRP_DnaA_Fis_PurR	pspE//acrE//
CRP_DpiA_ExuR	aceB//
CRP_DsdC	hypE//ybjN//
CRP_EbgR	chbB//napG//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	nikD//pspG//
CRP_ExuR	fimB//
CRP_ExuR_FNR	metB//sdhA//
CRP_ExuR_OxyR_UxuR	tnaC//hybE//
CRP_ExuR_UxuR	gspJ//
CRP_FNR	nhaA//
CRP_FNR_FhlA_HyfR	hyaF//ilvA//hybD//yhiD//aroP//ydeM//argG//nagA//prmC//mraZ//yciG//sucB//
CRP_FNR_Fis	dsdX//rplP//fis//
CRP_FNR_Fis_GlpR_IHF	qseC//iraM//
CRP_FNR_Fis_H-NS_SlyA	fucP//
CRP_FNR_GcvA_Lrp_PurR	ydhT//folA//narH//
CRP_FNR_H-NS_NarL	bolA//
CRP_FNR_IHF_TdcA_TdcR	oxyR//araA//cusC//entD//dppA//ygiB//marR//
CRP_FNR_NarL	mdtE//astD//yeaR//
CRP_FeaR_NsrR	aroG//
CRP_Fis	yhcH//rrsA//cadB//gspM//fimB//
CRP_Fis_FlhDC_GalR_GalS	melB//paaD//
CRP_Fis_FliZ_IHF_Lrp	glgC//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	fecB//rrlA//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	melA//dmsB//mntH//
CRP_Fis_IHF	hdeA//paaG//higA//ynfE//galR//
CRP_Fis_NanR	exuR//purM//ihfA//acnA//fabA//
CRP_Fis_NtrC	cusC//cysP//ytfE//
CRP_Fis_XylR	dppC//moaE//serA//
CRP_FlhDC_GalR_GalS	cadB//
CRP_FucR	puuR//ihfA//tnaC//srlB//tam//mdh//rplM//
CRP_Fur	nrdG//fadB//nanA//entC//glnA//dpiA//puuB//yfaE//metQ//
CRP_Fur_HypT_PdhR	rpsJ//narJ//hypE//nuoM//nusA//
CRP_Fur_OxyR_SoxS	mtlR//
CRP_GalR_GalS	hyaA//
CRP_GalR_GalS_H-NS_HU	xylH//csiE//setA//dmsC//
CRP_GalR_GalS_NagC	ydeO//
CRP_GlpR	lrp//fucR//ybjC//
CRP_GntR	napB//gnd//
CRP_GntR_IdnR	ssuA//hlyE//manX//mhpB//deoC//nrdB//glnQ//
CRP_GntR_IscR	hisP//
CRP_GutM_GutR_H-NS	cas2//fumC//baeR//idnT//acnA//tnaB//glmY//
CRP_H-NS	rrsE//
CRP_H-NS_HipAB_HipB_NtrC	fucR//
CRP_H-NS_LacI	nhaA//rrlH//casC//
CRP_H-NS_LeuO	pyrC//actP//thrV//purR//lacZ//aroG//acrD//
CRP_H-NS_MqsA	soxR//
CRP_IHF	fepA//melR//mnmG//yiaJ//
CRP_IHF_MprA_OmpR	tdcC//
CRP_IHF_NsrR	xylA//
CRP_IHF_PaaX	acnA//gcvH//lacZ//paaI//dcuS//oppB//rhaA//frdC//cadA//evgS//pqiA//oxyR//
CRP_IHF_UlaR	rrlD//ddlB//adhE//marA//gatY//napG//
CRP_IHF_YiaJ	molR_1//caiA//puuD//ydhX//lacA//rpoE//lpd//citG//zinT//fabZ//
CRP_LexA	sbmC//
CRP_Lrp	atoE//purR//ygeA//aspA//
CRP_Lrp_Mlc	cysA//
CRP_Lrp_Nac	spy//
CRP_LsrR	hyfJ//manY//ytfE//glcA//moeA//melR//dadX//gltA//ansB//
CRP_MalI	nanS//citE//dcuC//
CRP_MalT	gcd//dppD//ileV//
CRP_MalT_PhoP	gatZ//
CRP_MelR	hycH//ompW//narJ//
CRP_MetJ	pdeR//
CRP_MhpR	pqiA//prpE//rplB//nuoK//rplP//ebgC//
CRP_Mlc	pspC//rbfA//
CRP_ModE	hybO//tauA//yrbL//
CRP_MurR	fucK//evgS//
CRP_Nac_NsrR_PhoB	nanT//
CRP_NadR	dinI//
CRP_NagC	hypF//idnR//tauA//malI//galK//malY//
CRP_NagC_NanR	ndh//nhaA//ddlB//
CRP_NagC_PhoP	creD//
CRP_OxyR	yfaE//
CRP_OxyR_UxuR	cspI//
CRP_PhoB	sufC//rrfD//fecB//acrE//flhC//mhpD//
CRP_PhoP	ftsW//hcp//dctR//
CRP_PutA	hycI//
CRP_RbsR	nupC//mhpE//pstB//aceE//nagA//appA//
CRP_RhaR_RhaS	betT//sgbH//
CRP_RhaS	fhuF//srlA//fepA//
CRP_Rob	metY//
CRP_TorR	hisP//flgN//sufB//
CRP_UhpA_UvrY	rplP//
CRP_UidR_UxuR	relA//ogt//feoC//
CRP_UvrY	tcyJ//
CRP_YehT	yoaG//
CRP_ZraR	uidC//nikR//
CadC_FNR_H-NS_LeuO_MlrA	rplP//
Cbl_CysB	hybB//srlB//araG//rplW//
Cbl_CysB_FNR_IHF	fucA//narI//nikE//glpD//gltB//
CdaR_FNR_Fis_Fur_H-NS	idnO//
CdaR_FNR_Fur_H-NS	nagA//nuoC//yiaK//uidC//
CpxR_CsgD_FliZ	hypC//nanE//modC//
CpxR_CysB	osmE//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	codA//
CpxR_GadE	lacA//adiA//torC//cadC//
CpxR_H-NS	mtlD//
CpxR_NsrR	fdnG//
CpxR_RcsB	ydhW//
CpxR_TyrR	malM//
Cra_FNR_Fis_Lrp_NarL	serA//
Cra_FNR_Fur_MarA_Rob_SoxS	dnaN//
Cra_FhlA_FlhDC	cysJ//
Cra_GntR_KdgR	ubiC//
Cra_GntR_KdgR_PhoB	gadY//
Cra_MarA_SoxS	nmpC//
Cra_PdeL	chiP//
Cra_SgrR	cysJ//pspB//appA//
Cra_TyrR	ebgC//
CreB_NagC	rutF//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	dppF//
CsgD_FlhDC	mglA//glcG//gltV//mtlR//gltT//kbaZ//hyfG//icd//bglF//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	relB//ahpC//
CspA_Fis_GadX_H-NS	ulaE//
CueR_FNR_ModE	dmsA//ydeM//sra//yafQ//csgE//
CusR_PhoB_YedW	gspI//nrdB//gdhA//gspG//bhsA//rhaB//pck//
CysB_H-NS	dusB//nuoE//napB//ftsI//acrE//
CysB_HypT_IHF	gltT//
CysB_IHF	yefM//nikR//
CysB_NtrC	pyrD//
CysB_PhoP	hpt//
DcuR_FNR_NarL	psiE//tauB//sufS//agaW//
DinJ-YafQ_LexA	ssuC//murF//
DpiA_H-NS	hypB//
DsdC_NsrR	citE//
EvgA_FNR	ygbA//oppA//
EvgA_H-NS	gatB//appA//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	hyfJ//
EvgA_H-NS_PhoP_RcsB_YdeO	dppF//
EvgA_PhoP_RcsB_YdeO	patA//
ExuR_UxuR	acrB//edd//
FNR_FhlA_IHF_NsrR	ilvL//rbfA//norW//rcsA//chiP//
FNR_FhlA_NarL_NarP	sufS//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	yrbL//hycF//lpxA//tauC//dgcZ//ulaB//murD//
FNR_Fis_IHF_ModE_NarL	araF//proX//paaH//
FNR_Fis_IHF_NarL	nuoF//
FNR_Fis_IHF_NarL_RstA	moaB//cusR//rplD//gltD//
FNR_FlhDC	malM//
FNR_FlhDC_IscR_ModE_NarL_NarP	pyrD//ulaE//aldB//chbB//aroA//tyrR//hyfC//
FNR_FlhDC_ModE_NarL_NarP	poxB//galK//fucA//tomB//aroP//glpF//nrdE//gutQ//
FNR_Fur	lgoR//citC//
FNR_Fur_GadE	fixA//
FNR_Fur_GadX_NtrC	yjjQ//hlyE//
FNR_Fur_H-NS	nanA//rrsG//ileU//cyoB//
FNR_Fur_MetR_NsrR	aspA//
FNR_Fur_Nac_NtrC	yqjI//
FNR_Fur_NagC	rnpB//casB//ssrS//
FNR_Fur_OxyR	pstA//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	fau//
FNR_H-NS	pheM//treB//
FNR_H-NS_NrdR	proV//norV//
FNR_IHF	hypD//pspG//lpxD//tnaB//rbsC//
FNR_IHF_Lrp_YeiL	puuR//
FNR_IHF_NarL_NarP_NorR	hyfR//hypC//
FNR_IHF_PhoB	citD//sroD//yedX//ahpC//tnaA//
FNR_MalT	fadI//tauC//
FNR_ModE	dsdC//fecD//
FNR_NarL	fucR//yjjQ//metB//rrsA//malG//yqjI//
FNR_NarL_NarP	yrbL//carB//ydhV//yiaO//fucR//chbG//lsrC//ulaF//hyaE//
FNR_NarL_NarP_NsrR	ileV//
FNR_NarL_NarP_NsrR_OxyR	ftsQ//lsrF//
FNR_NarL_NikR	fepE//hdeD//gadA//betT//gapA//gadF//
FNR_NsrR	nanS//yeiL//icd//
FNR_OxyR	lgoR//
FNR_PurR	pnp//dadA//
FNR_YqjI	ygbA//
FabR_FadR	ilvG_1//proX//
FadR_IHF	srlB//
FadR_IclR	gcd//
FhlA_FlhDC	gabD//
FhlA_IHF_ModE_NsrR	rpoE//amtB//argO//nrfE//agaV//evgS//relE//bglF//chbF//
FhlA_IHF_NsrR	malK//
Fis_Fur	glpQ//
Fis_H-NS	hyfB//
Fis_H-NS_IHF_MntR_OxyR	sgbH//
Fis_H-NS_Lrp	fecC//aceK//mhpA//fliC//yiaM//csgA//murQ//adiA//amtB//paaA//dcuR//ileU//atoD//carB//nupG//mdtF//ccmE//hybC//rrlD//idnK//fliH//dpiB//cysW//xylA//
Fis_H-NS_Lrp_StpA	rutG//ompF//
Fis_IHF	lpxC//
Fis_IHF_NtrC	hycG//ydeM//
Fis_IHF_OmpR_RcsB	ftnA//
Fis_Lrp	lysA//uhpT//nrdD//asr//gltW//fabZ//fabZ//pgaD//chbG//
Fis_MazE_MazE-MazF	feoC//
Fis_NarL	actP//
Fis_NarL_NarP_NsrR	nuoH//napB//
Fis_PurR	hybD//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	napG//rrsD//tyrP//
FliZ_RutR	emrK//
Fur_H-NS	araA//ilvH//pspD//fixC//moaA//sodA//codA//dsdC//nuoN//treB//cysG//rpsQ//proP//
Fur_IHF_IscR_NsrR_OxyR	waaY//gatC//rplV//hcp//gltV//rutB//
Fur_IscR_NrdR	hycF//ydeO//aceA//xylG//
Fur_MetR	hybD//
Fur_MntR	ugpB//
Fur_MntR_OxyR	pgaA//
Fur_OxyR	fixX//
Fur_PurR	fimC//rnpB//
Fur_RcnR	malY//serC//
Fur_RutR	fimE//
Fur_SoxS_Zur	nanS//
Fur_YqjI	ahpC//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	gcvH//mazE//
GadE-RcsB_H-NS	araD//
GadE-RcsB_PhoB	yafQ//
GadE-RcsB_Rob	yrbL//
GadE_GadX_H-NS_PhoP_RcsB	hyfF//
GadE_H-NS_Lrp_NsrR	rutE//
GadE_H-NS_MatA	lacA//
GadE_H-NS_RcsAB	exuR//
GadE_MarA_PurR	citG//
GadW_GadX_RcsB	glnK//
GalR_GalS	rbsK//
GlrR_IHF	aer//
H-NS_IHF	fucK//cysU//aer//
H-NS_IHF_Lrp	rcnA//malS//nuoG//nanS//murP//acnB//ilvA//
H-NS_LeuO	prpB//focA//
H-NS_LeuO_RcsB-BglJ_StpA	rbsK//
H-NS_LrhA_Lrp	hpt//
H-NS_Lrp	yefM//pqiB//
H-NS_Lrp_NhaR_RcsB	fecE//
H-NS_Lrp_StpA	yjbE//
H-NS_McbR	hha//ilvM//katE//
H-NS_NhaR	pspA//nrdD//
H-NS_OmpR	rrlB//
H-NS_PhoB_RcdA_RstA	ascB//
HU_IHF_TrpR_TyrR	araH//
HU_IHF_TyrR	napB//
HigA_HigB-HigA	citG//alaT//
HipAB_HipB_IHF	nac//yecR//
HypT_MetJ	eda//glcE//yiaK//
HypT_MetJ_PhoP	srlA//acrZ//
IHF_Lrp	acnB//gloA//casC//norR//marA//citF//hyfI//qseB//
IHF_NsrR	ccmG//
IHF_NtrC	pflB//relE//
IHF_PhoP	srlE//
IHF_PspF	caiT//frdB//ydeO//gltT//ybjN//rpoE//
IHF_RcsAB	rbsR//gspG//torD//napG//
IHF_RtcR	mtlA//yecR//
IHF_TyrR	slp//
IHF_UlaR	yeaR//
LexA_MraZ_PdhR	astB//fepA//galK//rplW//fepE//tnaC//paaJ//gapA//hyaC//hybE//melA//
LexA_MraZ_PdhR_RcsB_SdiA	bglG//epd//
LexA_MraZ_PdhR_SdiA	rbsB//
LexA_NagC	aceF//
LexA_RcdA	rbsA//
LexA_RcsB-BglJ	dinJ//
MarA_OxyR_Rob_SoxS	lyxK//putA//asr//dpiA//
MarA_PhoP_Rob_SoxS	lsrG//ilvI//entA//dctR//
MarA_Rob_SoxS	entF//frdC//ygiB//narH//uspA//
MarA_SoxS	aroA//mdtC//uidC//glnG//zinT//
MetJ_MetR	idnT//ftsI//
MetJ_OxyR	paaJ//baeS//
MetR_PurR	aceB//
MraZ_PdhR	hypF//hyaD//
Nac_PurR	metN//metH//
NarL_TorR	waaY//rtcA//lysA//
NemR_RutR	marR//glpC//kbaZ//
NhaR_OmpR	ytfE//csgG//zwf//yecR//
NorR_NsrR	rutB//
NsrR_PhoB	crp//
OxyR_SoxS	entA//
PdhR_PhoP	rplM//
PgrR_TyrR	focB//
PhoB_PhoP	cysH//
PhoP_PurR_RbsR	hyaB//rrfB//
RelB_RelB-RelE	evgS//sgbH//paaZ//
TrpR_TyrR	moeB//hyaF//fecD//
YefM_YefM-YoeB	ssuD//dps//
