#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	narK//uxaC//
ArcA_Cra_FNR_H-NS_HypT	rutB//mtlR//
ArcA_CysB_FNR	rrlH//
ArcA_FNR	nuoI//rrlA//tdcE//fadD//ygeA//pgk//galS//galP//hyaD//gatD//pqiA//fadH//hycA//tnaB//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	nuoF//
ArcA_FNR_Fis_IHF_NarL	atoE//ilvM//aroA//cysH//ptsH//hypD//moeA//moaA//rcnB//gadB//ftsZ//rrlC//higB//
ArcA_FNR_Fur_IHF	nirD//
ArcA_FNR_IHF	uhpT//gadY//ydeP//
ArcA_FNR_IHF_NarL	chbC//rplD//
ArcA_FNR_NarL	idnO//napA//fecA//ygiC//
ArcA_FNR_PhoP	lldD//
ArcA_FNR_PuuR	garL//ogt//
ArcA_FadR	prpB//metQ//prfA//
ArcA_FadR_Fis	sgrS//treB//
ArcA_Fur_Lrp_ModE	pyrC//xylF//glmY//fes//hdeA//
ArcA_GlcC_IHF_PdhR	hycA//glnA//ansB//ilvX//baeS//fucU//
ArcA_LexA	fdnG//rrfB//
ArcA_LldR	sufC//mazE//acrE//
ArcA_NarL	agaV//rhaA//gntT//uspA//adiA//cyoE//gntU//cyoC//
ArcA_NtrC_PhoP_RutR	glgA//mpl//ydhW//ccmH//mhpC//moaD//csgA//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	csrC//purR//fadA//
ArgP_CRP_FNR_Fur_Nac	ydhW//
ArgP_DnaA	sodA//ascB//nrdD//
ArgP_Lrp	carA//lsrD//
ArgP_LysR	idnK//
ArgP_PhoB	tauB//
ArgR_CRP	modA//
ArgR_CRP_Fis	dppA//creD//ulaC//lsrA//mraZ//narG//cusR//molR_1//
ArgR_Fis_IHF_PepA_PurR_RutR	napH//gabT//
ArgR_H-NS_NtrC	hycB//osmY//dcuR//dcuD//
ArgR_NtrC	rrsH//trg//rbsC//nhaA//rbfA//
ArgR_PhoP	malQ//
AscG_CRP	paaK//napG//evgS//
AscG_CRP_PhoB_PrpR	mhpB//
AsnC_MraZ_Nac	sdhA//
AsnC_Nac	ydhU//cyaR//
AtoC_IHF	moaE//ycdZ//sulA//norR//
BaeR_CpxR	aceA//dmsD//recF//pncB//accC//cusA//hyfG//
BaeR_CpxR_EvgA	fumB//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	hdeB//chbA//bglG//ubiA//
BasR_CpxR_PdhR	dcuS//manY//
BasR_Fis	nupC//
BasR_H-NS_IHF_NagC_NanR	yeiL//
BasR_MarA_PutA	accC//
BasR_PhoP	ybjN//
BasR_QseB	rrfC//dinI//
CRP_CaiF_FNR	cbl//tnaC//ompW//hycH//
CRP_ChbR_NagC	hisJ//oppC//galM//agaW//nhaA//gadW//
CRP_ComR	rrfE//
CRP_CpxR	accB//
CRP_CpxR_CytR	chbG//
CRP_CpxR_CytR_DnaA_IHF	ugpC//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	cyoC//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	cysG//flgM//mlc//sulA//
CRP_Cra	glcA//tyrR//napC//pgaB//ulaC//ndh//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	uxuA//tomB//cspE//sdhA//
CRP_Cra_FNR_PdhR	fecB//
CRP_Cra_Fis	rpmC//
CRP_Cra_Fis_GlcC	fimF//
CRP_Cra_Fis_MtlR	oppB//casC//fadL//
CRP_Cra_Mlc_NagC	hycF//fumB//rpoH//eda//ybdZ//mpl//
CRP_Cra_PrpR	udp//rpoS//mdh//fhuF//
CRP_CreB_Fis_MalT	csiD//chbG//aroL//
CRP_CsiR_H-NS_Lrp	ulaG//sucC//
CRP_CsiR_H-NS_Lrp_Nac	hemA//glmY//nirC//
CRP_CspA_Fis	hybF//
CRP_CytR	molR_1//norW//yjcH//
CRP_CytR_DeoR	bglJ//fecC//
CRP_CytR_DeoR_Fis_ModE	narH//galM//metR//sdhA//
CRP_CytR_Nac	hyfG//
CRP_CytR_NsrR	rhaS//
CRP_DcuR_FNR_NarL	appC//
CRP_DinJ-YafQ	hlyE//
CRP_DnaA_Fis_PurR	narI//ynfE//
CRP_DpiA_ExuR	lyxK//
CRP_DsdC	purD//metK//
CRP_EbgR	cydB//atoA//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	cirA//glgP//
CRP_ExuR	nrdH//
CRP_ExuR_FNR	hyaB//rplB//
CRP_ExuR_OxyR_UxuR	lsrF//ilvG_1//
CRP_ExuR_UxuR	sufB//
CRP_FNR	sulA//
CRP_FNR_FhlA_HyfR	lrp//fiu//grcA//idnT//galR//edd//uxuR//gapA//rplW//moeB//fliG//infB//
CRP_FNR_Fis	hyaF//hybG//rutA//
CRP_FNR_Fis_GlpR_IHF	gapA//gspL//
CRP_FNR_Fis_H-NS_SlyA	gntP//
CRP_FNR_GcvA_Lrp_PurR	kbaZ//rplW//nikB//
CRP_FNR_H-NS_NarL	purM//
CRP_FNR_IHF_TdcA_TdcR	gdhA//pgaD//hycC//pgaA//cdd//fliF//fucA//
CRP_FNR_NarL	ftsQ//rrfH//nhaA//
CRP_FeaR_NsrR	yiaO//
CRP_Fis	ppiA//mntH//rbsA//dadX//garR//
CRP_Fis_FlhDC_GalR_GalS	paaA//nirD//
CRP_Fis_FliZ_IHF_Lrp	ftsI//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	rseB//fucI//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	gntX//deoD//aceE//
CRP_Fis_IHF	chbA//ileV//yjbE//rsmH//micF//
CRP_Fis_NanR	mdtC//rhaT//csgE//tnaA//tdcC//
CRP_Fis_NtrC	hipB//cyoD//yeiL//
CRP_Fis_XylR	cyoD//ebgA//ccmA//
CRP_FlhDC_GalR_GalS	ahpF//
CRP_FucR	ybdZ//cas1//betA//ddlB//aroA//pdeL//sdhB//
CRP_Fur	lsrR//ebgA//fucR//nikA//ssuE//acrZ//rcnA//rrsA//prpB//
CRP_Fur_HypT_PdhR	hcp//paaE//pspC//rrsH//manZ//
CRP_Fur_OxyR_SoxS	nuoB//
CRP_GalR_GalS	gltB//
CRP_GalR_GalS_H-NS_HU	alaT//caiT//mhpD//rplC//
CRP_GalR_GalS_NagC	caiF//
CRP_GlpR	fimA//fabZ//ynfG//
CRP_GntR	cydC//tdcF//
CRP_GntR_IdnR	paaD//atoA//acrA//flhC//marA//oppD//tdcD//
CRP_GntR_IscR	fadE//
CRP_GutM_GutR_H-NS	rhaR//flhC//nfuA//melB//melB//ileT//hdeB//
CRP_H-NS	waaH//
CRP_H-NS_HipAB_HipB_NtrC	lsrF//
CRP_H-NS_LacI	ssuA//pdhR//napB//
CRP_H-NS_LeuO	fabB//cusS//serC//nanE//codB//acnA//fucR//
CRP_H-NS_MqsA	ccmD//
CRP_IHF	fbaA//sucB//paaH//ygiC//
CRP_IHF_MprA_OmpR	cusR//
CRP_IHF_NsrR	rpsQ//
CRP_IHF_PaaX	chbF//fabA//nanC//mglC//fliZ//dmsB//citX//casE//caiC//gntU//murC//ugpE//
CRP_IHF_UlaR	cytR//rplM//csiE//hha//idnD//citC//
CRP_IHF_YiaJ	tam//rpsI//ulaF//casD//ydhV//icd//waaY//rrfD//rhaS//yafQ//
CRP_LexA	fadE//
CRP_Lrp	uxuB//cysP//rrsH//acrA//
CRP_Lrp_Mlc	nagA//
CRP_Lrp_Nac	focA//
CRP_LsrR	garK//uxaC//puuP//mdtF//ssrS//casA//fliJ//moaC//hybF//
CRP_MalI	cspD//fucA//fecA//
CRP_MalT	gadB//nrfA//ssrS//
CRP_MalT_PhoP	crr//
CRP_MelR	yjjQ//asr//dinJ//
CRP_MetJ	ansB//
CRP_MhpR	nanC//agaV//tnaA//ygiB//acrB//napH//
CRP_Mlc	araC//rrfH//
CRP_ModE	yhiM//yciF//nuoC//
CRP_MurR	ogt//fnr//
CRP_Nac_NsrR_PhoB	nemR//
CRP_NadR	fur//
CRP_NagC	paaF//yeaR//puuB//rutF//gltD//dppA//
CRP_NagC_NanR	alaV//soxR//baeR//
CRP_NagC_PhoP	fliE//
CRP_OxyR	srlB//
CRP_OxyR_UxuR	guaA//
CRP_PhoB	sdhB//gltU//nrdG//ugpA//cydD//fecB//
CRP_PhoP	aer//yciG//lsrD//
CRP_PutA	srlA//
CRP_RbsR	gspG//ybfN//murP//ybiT//mdtA//nrdE//
CRP_RhaR_RhaS	nagE//ygeA//
CRP_RhaS	moaC//fucP//uof//
CRP_Rob	appC//
CRP_TorR	ssuC//pyrC//tpx//
CRP_UhpA_UvrY	purA//
CRP_UidR_UxuR	deoC//glmY//hemA//
CRP_UvrY	rhaD//
CRP_YehT	pspE//
CRP_ZraR	nirB//lldD//
CadC_FNR_H-NS_LeuO_MlrA	rutE//
Cbl_CysB	cyoA//fliZ//fumA//malY//
Cbl_CysB_FNR_IHF	fumC//asr//osmE//lacA//nikC//
CdaR_FNR_Fis_Fur_H-NS	gspF//
CdaR_FNR_Fur_H-NS	hydN//sodA//gltF//rrlG//
CpxR_CsgD_FliZ	waaY//napG//idnT//
CpxR_CysB	nuoG//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	rnpB//
CpxR_GadE	pgaA//fucU//ynfF//moeB//
CpxR_H-NS	hybG//
CpxR_NsrR	aroP//
CpxR_RcsB	tdcF//
CpxR_TyrR	torC//
Cra_FNR_Fis_Lrp_NarL	nfo//
Cra_FNR_Fur_MarA_Rob_SoxS	ugpE//
Cra_FhlA_FlhDC	hcr//
Cra_GntR_KdgR	ulaC//
Cra_GntR_KdgR_PhoB	appC//
Cra_MarA_SoxS	metY//
Cra_PdeL	tdcE//
Cra_SgrR	mntP//murQ//fucA//
Cra_TyrR	nrfF//
CreB_NagC	gatY//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	yjiY//
CsgD_FlhDC	hypA//emrK//argP//marA//evgA//glcC//galK//mglB//ssb//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	gcvP//hdeB//
CspA_Fis_GadX_H-NS	rcnB//
CueR_FNR_ModE	dusB//csgA//sufE//cydA//sufC//
CusR_PhoB_YedW	casD//yjbE//feoA//soxS//rcnA//cysP//mlc//
CysB_H-NS	yfaE//malK//pdhR//hyfR//fadB//
CysB_HypT_IHF	rrlB//
CysB_IHF	fimI//lgoR//
CysB_NtrC	uidB//
CysB_PhoP	puuA//
DcuR_FNR_NarL	mglC//gatY//rbsD//nrfC//
DinJ-YafQ_LexA	gabT//nac//
DpiA_H-NS	slp//
DsdC_NsrR	glpF//
EvgA_FNR	nuoG//rcsA//
EvgA_H-NS	recF//glmY//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	rutF//
EvgA_H-NS_PhoP_RcsB_YdeO	araJ//
EvgA_PhoP_RcsB_YdeO	fadA//
ExuR_UxuR	nusA//pdeR//
FNR_FhlA_IHF_NsrR	dppF//sufE//entF//fixB//aroP//
FNR_FhlA_NarL_NarP	hycI//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	fixX//aidB//glnH//appA//yhiD//acnA//gnd//
FNR_Fis_IHF_ModE_NarL	mglA//truB//ybjC//
FNR_Fis_IHF_NarL	mazF//
FNR_Fis_IHF_NarL_RstA	ptsI//rrlE//rpsQ//cytR//
FNR_FlhDC	rplC//
FNR_FlhDC_IscR_ModE_NarL_NarP	appC//prfA//feoB//ccmD//uxuB//entC//ndh//
FNR_FlhDC_ModE_NarL_NarP	nrfE//nanT//sdhA//cyoD//eda//ydhY//gltA//puuE//
FNR_Fur	pyrC//ackA//
FNR_Fur_GadE	nirB//
FNR_Fur_GadX_NtrC	nfsA//gspO//
FNR_Fur_H-NS	codA//acs//udp//casE//
FNR_Fur_MetR_NsrR	nfuA//
FNR_Fur_Nac_NtrC	fadH//
FNR_Fur_NagC	nanA//bhsA//ygiC//
FNR_Fur_OxyR	uhpT//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	pgaA//
FNR_H-NS	dcuA//uof//
FNR_H-NS_NrdR	ydhX//nmpC//
FNR_IHF	gspF//fimC//citF//lsrF//ahpC//
FNR_IHF_Lrp_YeiL	rrsG//
FNR_IHF_NarL_NarP_NorR	hypF//rpmC//
FNR_IHF_PhoB	deoD//rhaB//hemA//aldB//fdnG//
FNR_MalT	csgE//cyoB//
FNR_ModE	rseA//hlyE//
FNR_NarL	glpQ//yeiL//gatB//gloA//emrY//baeS//
FNR_NarL_NarP	tdcA//mpl//hycB//carB//putP//moeA//aldB//rprA//pyrD//
FNR_NarL_NarP_NsrR	glpK//
FNR_NarL_NarP_NsrR_OxyR	trg//yciG//
FNR_NarL_NikR	nuoF//mhpD//hybA//fimF//narK//prpD//
FNR_NsrR	argO//hypC//yrbL//
FNR_OxyR	relE//
FNR_PurR	nuoE//ascF//
FNR_YqjI	yhcH//
FabR_FadR	gcvH//pdhR//
FadR_IHF	rob//
FadR_IclR	hha//
FhlA_FlhDC	acrZ//
FhlA_IHF_ModE_NsrR	pflB//csgB//sufD//yhiM//nuoB//gltD//ftnA//gspK//metL//
FhlA_IHF_NsrR	murC//
Fis_Fur	gutM//
Fis_H-NS	fumC//
Fis_H-NS_IHF_MntR_OxyR	puuR//
Fis_H-NS_Lrp	dmsB//oppA//gadY//nmpC//aroP//yjbG//ubiC//tcyJ//mtlA//rrlH//uvrA//narK//rpsI//yiaN//yciG//yjjQ//nanA//hipB//cadB//nusA//deoC//ynfF//recF//cysP//
Fis_H-NS_Lrp_StpA	puuR//narG//
Fis_IHF	norR//
Fis_IHF_NtrC	mdtD//murP//
Fis_IHF_OmpR_RcsB	feaR//
Fis_Lrp	cyoA//ybdZ//aroA//aceE//hycF//ynfK//mdtC//dinI//evgS//
Fis_MazE_MazE-MazF	napB//
Fis_NarL	cyoD//
Fis_NarL_NarP_NsrR	grcA//glpK//
Fis_PurR	rplW//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	glpC//ptsG//ycdZ//
FliZ_RutR	thrV//
Fur_H-NS	nanM//rplB//mtlR//ybdZ//nrdA//relE//pdeL//qseC//fliH//fhlA//carA//yiaJ//aer//
Fur_IHF_IscR_NsrR_OxyR	gspH//idnK//dsdA//csgE//fucP//uidC//
Fur_IscR_NrdR	tnaC//malS//sdhD//purH//
Fur_MetR	katG//
Fur_MntR	garR//
Fur_MntR_OxyR	fnr//
Fur_OxyR	dpiA//
Fur_PurR	fliJ//fliI//
Fur_RcnR	nuoN//gntP//
Fur_RutR	idnD//
Fur_SoxS_Zur	gatC//
Fur_YqjI	guaB//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	uidC//gatY//
GadE-RcsB_H-NS	gcvT//
GadE-RcsB_PhoB	rbsA//
GadE-RcsB_Rob	appC//
GadE_GadX_H-NS_PhoP_RcsB	rrlB//
GadE_H-NS_Lrp_NsrR	hupA//
GadE_H-NS_MatA	mnmG//
GadE_H-NS_RcsAB	rnpB//
GadE_MarA_PurR	melA//
GadW_GadX_RcsB	xylF//
GalR_GalS	galS//
GlrR_IHF	glgA//
H-NS_IHF	puuR//araD//paaJ//
H-NS_IHF_Lrp	murF//ulaG//mtlA//sbmC//cusR//rrlC//pdeR//
H-NS_LeuO	pqiB//prpE//
H-NS_LeuO_RcsB-BglJ_StpA	nikE//
H-NS_LrhA_Lrp	pheM//
H-NS_Lrp	nanE//putP//
H-NS_Lrp_NhaR_RcsB	iclR//
H-NS_Lrp_StpA	pgk//
H-NS_McbR	rnpB//bhsA//ybfN//
H-NS_NhaR	ahpF//mdtA//
H-NS_OmpR	aldB//
H-NS_PhoB_RcdA_RstA	accB//
HU_IHF_TrpR_TyrR	malG//
HU_IHF_TyrR	hyaC//
HigA_HigB-HigA	glcB//gspE//
HipAB_HipB_IHF	paaI//dnaN//
HypT_MetJ	citX//chbF//rimP//
HypT_MetJ_PhoP	ftsZ//fnr//
IHF_Lrp	mnmG//uidC//nanA//hyfD//cas1//gadE//ynfF//puuD//
IHF_NsrR	carB//
IHF_NtrC	caiA//rrlE//
IHF_PhoP	hyfF//
IHF_PspF	cyoA//nuoE//hyfI//hypE//hypE//dmsA//
IHF_RcsAB	paaD//torD//aslB//mdtA//
IHF_RtcR	manZ//yecR//
IHF_TyrR	astD//
IHF_UlaR	gltV//
LexA_MraZ_PdhR	metE//bglJ//rpsS//sbmC//yeaR//nikR//rrlC//manX//sgrS//katG//cyoD//
LexA_MraZ_PdhR_RcsB_SdiA	nuoF//acrD//
LexA_MraZ_PdhR_SdiA	fliE//
LexA_NagC	phoQ//
LexA_RcdA	lldR//
LexA_RcsB-BglJ	galS//
MarA_OxyR_Rob_SoxS	csgD//nuoA//rbsK//ugpC//
MarA_PhoP_Rob_SoxS	rrlA//hlyE//tnaB//xylA//
MarA_Rob_SoxS	hyfD//purA//flgM//metY//mglA//
MarA_SoxS	oppB//ilvH//manX//ccmC//dcuR//
MetJ_MetR	rpsC//purA//
MetJ_OxyR	entD//hybA//
MetR_PurR	glnQ//
MraZ_PdhR	ydhW//fecB//
Nac_PurR	nfsA//hupB//
NarL_TorR	ascF//modC//cusB//
NemR_RutR	cysU//dps//hycB//
NhaR_OmpR	gutQ//sulA//glpK//murE//
NorR_NsrR	yjbF//
NsrR_PhoB	pdhR//
OxyR_SoxS	napB//
PdhR_PhoP	rplV//
PgrR_TyrR	pspE//
PhoB_PhoP	paaI//
PhoP_PurR_RbsR	rseA//fabB//
RelB_RelB-RelE	hha//astE//casE//
TrpR_TyrR	tdcC//tyrR//hycD//
YefM_YefM-YoeB	cysW//mdh//
