#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	ulaF//exuR//
CRP_ExuR	sufD//
CRP_ExuR_FNR	idnK//hybG//
CRP_ExuR_OxyR_UxuR	dcuC//astC//
CRP_ExuR_UxuR	manX//
CRP_FNR	idnK//
CRP_FNR_FhlA_HyfR	cyoE//gatY//stpA//sufS//pgaD//cydC//fumB//moaE//nrdH//rrsC//hisQ//astC//
CRP_FNR_Fis	ddlB//purM//gcvP//
CRP_FNR_Fis_GlpR_IHF	hpt//mglA//
CRP_FNR_Fis_H-NS_SlyA	rplD//
CRP_FNR_GcvA_Lrp_PurR	atoB//metB//rbsD//
CRP_FNR_H-NS_NarL	bglG//
CRP_FNR_IHF_TdcA_TdcR	rbsR//hybC//lrp//hyfD//ssb//aroA//mglB//
CRP_FNR_NarL	pflB//fnr//yefM//
CRP_FeaR_NsrR	mdh//
CRP_Fis	purN//lsrA//fhuF//gyrA//acnA//
CRP_Fis_FlhDC_GalR_GalS	carB//sufD//
CRP_Fis_FliZ_IHF_Lrp	agaV//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	glpT//guaA//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	cysM//casE//rrfC//
CRP_Fis_IHF	atoB//araG//xylF//aroG//rhaD//
CRP_Fis_NanR	caiA//nikA//ompR//hcr//fecA//
CRP_Fis_NtrC	relA//ybfN//idnR//
CRP_Fis_XylR	gspI//cysJ//ansB//
CRP_FlhDC_GalR_GalS	ugpB//
CRP_FucR	rseB//melR//adhE//nagA//nirD//rbsA//gltT//
CRP_Fur	hydN//evgA//paaJ//lldP//galK//gloA//malF//fdnI//gltA//
CRP_Fur_HypT_PdhR	yhiD//ycdZ//rrlA//nikD//actP//
CRP_Fur_OxyR_SoxS	galT//
CRP_GalR_GalS	hycC//
CRP_GalR_GalS_H-NS_HU	feoB//sulA//csgD//dsdX//
CRP_GalR_GalS_NagC	rrlC//
CRP_GlpR	ilvG_1//yjcH//nikB//
CRP_GntR	fimD//sroD//
CRP_GntR_IdnR	purH//icd//ydeN//puuB//recF//xylF//sgrT//
CRP_GntR_IscR	nfuA//
CRP_GutM_GutR_H-NS	rimP//paaA//sucD//mglA//tdcF//argD//frdD//
CRP_H-NS	ilvD//
CRP_H-NS_HipAB_HipB_NtrC	sgrT//
CRP_H-NS_LacI	uvrA//prmC//galT//
CRP_H-NS_LeuO	gntK//nmpC//rrsB//glnG//oppD//prpB//nanM//
CRP_H-NS_MqsA	idnT//
CRP_IHF	ccmE//dppA//yecR//paaC//
CRP_IHF_MprA_OmpR	chbC//
CRP_IHF_NsrR	nfo//
CRP_IHF_PaaX	mhpF//flhC//dctA//gspM//ygeA//fadH//nfuA//hybG//bolA//pgaB//malP//gspE//
CRP_IHF_UlaR	ccmB//eda//fadD//stpA//rrlD//fucI//
CRP_IHF_YiaJ	dppF//yaiA//glpC//tnaC//nrdH//ebgA//nfo//hcr//mdtB//tdcB//
CRP_LexA	gspI//
CRP_Lrp	astC//nanS//fabA//flhC//
CRP_Lrp_Mlc	galS//
CRP_Lrp_Nac	garP//
CRP_LsrR	nupC//ubiC//paaA//lrp//frdD//rrlA//ulaF//rbfA//gatB//
CRP_MalI	focB//fliE//ugpB//
CRP_MalT	fadI//appC//mdtB//
CRP_MalT_PhoP	tyrR//
CRP_MelR	srlA//ssrS//csiD//
CRP_MetJ	exuR//
CRP_MhpR	mpl//edd//ebgC//cydC//katE//ulaA//
CRP_Mlc	fepE//rseB//
CRP_ModE	hyaA//rtcA//phoU//
CRP_MurR	rseB//cyoD//
CRP_Nac_NsrR_PhoB	aldA//
CRP_NadR	puuC//
CRP_NagC	ddlB//katG//dadX//sufS//casB//tdcE//
CRP_NagC_NanR	garR//feoB//rpsO//
CRP_NagC_PhoP	rhaT//
CRP_OxyR	ilvL//
CRP_OxyR_UxuR	fadB//
CRP_PhoB	nirB//ydeP//lsrF//glpX//rhaT//accC//
CRP_PhoP	araE//oppD//malM//
CRP_PutA	dctA//
CRP_RbsR	caiE//dadX//gadB//gcvP//pspC//lsrC//
CRP_RhaR_RhaS	nanC//serA//
CRP_RhaS	oppA//rutE//rrsD//
CRP_Rob	malQ//
CRP_TorR	relE//gadY//hycB//
CRP_UhpA_UvrY	gspJ//
CRP_UidR_UxuR	fadB//idnK//patA//
CRP_UvrY	uxuB//
CRP_YehT	murP//
CRP_ZraR	paaK//gltT//
CadC_FNR_H-NS_LeuO_MlrA	malF//
Cbl_CysB	aroA//uxuR//nuoM//osmE//
Cbl_CysB_FNR_IHF	fumA//ssuE//tolC//caiE//narG//
CdaR_FNR_Fis_Fur_H-NS	hybG//
CdaR_FNR_Fur_H-NS	hdeA//dpiB//ydeP//fadI//
CpxR_CsgD_FliZ	nikR//fepB//ftsW//
CpxR_CysB	araF//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	skp//
CpxR_GadE	paaG//nanA//rcnB//tdcE//
CpxR_H-NS	yjbE//
CpxR_NsrR	fecB//
CpxR_RcsB	gloA//
CpxR_TyrR	fimA//
Cra_FNR_Fis_Lrp_NarL	lsrF//
Cra_FNR_Fur_MarA_Rob_SoxS	glpX//
Cra_FhlA_FlhDC	dppF//
Cra_GntR_KdgR	nirB//
Cra_GntR_KdgR_PhoB	caiT//
Cra_MarA_SoxS	nuoN//
Cra_PdeL	cusB//
Cra_SgrR	acrF//sucB//fumA//
Cra_TyrR	grcA//
CreB_NagC	metB//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	cadA//
CsgD_FlhDC	ccmC//yeaR//cydC//lsrK//dppB//caiC//puuC//dmsD//ynfH//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	mtr//gutQ//
CspA_Fis_GadX_H-NS	ubiA//
CueR_FNR_ModE	higB//ftsQ//zraR//rpoH//nirC//
CusR_PhoB_YedW	tauC//dsdA//gltD//yciG//rutA//fimI//bglF//
CysB_H-NS	uidA//relA//gntT//gspJ//dppF//
CysB_HypT_IHF	gltU//
CysB_IHF	rutC//bglJ//
CysB_NtrC	cadB//
CysB_PhoP	ptsI//
DcuR_FNR_NarL	lsrB//rhaB//rpoS//caiT//
DinJ-YafQ_LexA	hyfC//sucC//
DpiA_H-NS	tdcD//
DsdC_NsrR	malF//
EvgA_FNR	murF//hycA//
EvgA_H-NS	gspJ//acrD//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	ssrS//
EvgA_H-NS_PhoP_RcsB_YdeO	srlD//
EvgA_PhoP_RcsB_YdeO	glcG//
ExuR_UxuR	rtcB//mhpB//
FNR_FhlA_IHF_NsrR	astD//rhaB//uhpT//gspI//yiaM//
FNR_FhlA_NarL_NarP	ynfE//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	csgG//cydD//feoC//gcvP//lgoR//rpmC//acrB//
FNR_Fis_IHF_ModE_NarL	aceK//hdeB//rbsR//
FNR_Fis_IHF_NarL	thrV//
FNR_Fis_IHF_NarL_RstA	pstC//cysG//sufS//entH//
FNR_FlhDC	ftsA//
FNR_FlhDC_IscR_ModE_NarL_NarP	astB//fliJ//ydhY//feoA//gdhA//aslB//rhaS//
FNR_FlhDC_ModE_NarL_NarP	manY//ackA//carB//rrlG//rpoH//hupB//ynfF//iclR//
FNR_Fur	cysG//nikA//
FNR_Fur_GadE	nrdF//
FNR_Fur_GadX_NtrC	dppD//cydC//
FNR_Fur_H-NS	gabD//ulaA//pnp//lysA//
FNR_Fur_MetR_NsrR	astB//
FNR_Fur_Nac_NtrC	frdD//
FNR_Fur_NagC	rpoE//lpxA//ftsI//
FNR_Fur_OxyR	gadW//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	fliZ//
FNR_H-NS	lsrG//patA//
FNR_H-NS_NrdR	nfsB//katE//
FNR_IHF	nikR//rhaB//zwf//casD//rrfB//
FNR_IHF_Lrp_YeiL	cusF//
FNR_IHF_NarL_NarP_NorR	oppC//gadB//
FNR_IHF_PhoB	nrdI//aroG//fecE//nikC//galM//
FNR_MalT	gadX//glnL//
FNR_ModE	uxuR//ssb//
FNR_NarL	gspE//manZ//yecR//norW//micF//infB//
FNR_NarL_NarP	ccmF//nfsA//cysI//pspC//cas2//citX//ybdZ//nuoK//sufS//
FNR_NarL_NarP_NsrR	ebgC//
FNR_NarL_NarP_NsrR_OxyR	hcr//focA//
FNR_NarL_NikR	rrfE//pgaB//hha//modC//tsx//murE//
FNR_NsrR	lpxD//rbfA//rplV//
FNR_OxyR	dinI//
FNR_PurR	codB//glnG//
FNR_YqjI	glpT//
FabR_FadR	hyfD//gspE//
FadR_IHF	lsrB//
FadR_IclR	bhsA//
FhlA_FlhDC	oxyR//
FhlA_IHF_ModE_NsrR	ugpQ//ulaC//folA//accB//mazF//aslB//lpxD//metB//nemA//
FhlA_IHF_NsrR	fliH//
Fis_Fur	gadE//
Fis_H-NS	fadL//
Fis_H-NS_IHF_MntR_OxyR	aldA//
Fis_H-NS_Lrp	nupC//tdcA//dppF//ssuA//fis//sgbE//dcuR//cysG//pflB//sufE//rutE//betT//ydeO//baeR//tdcF//hcp//dcuB//gspH//lyxK//hyfI//fliC//astB//sufD//ulaG//
Fis_H-NS_Lrp_StpA	patA//aceF//
Fis_IHF	yefM//
Fis_IHF_NtrC	dsdX//puuE//
Fis_IHF_OmpR_RcsB	dppB//
Fis_Lrp	xylA//pspB//ygbA//hybE//xylF//flhD//ptsI//nrdF//nrdI//
Fis_MazE_MazE-MazF	metI//
Fis_NarL	nanA//
Fis_NarL_NarP_NsrR	yciF//gltF//
Fis_PurR	hcr//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	ulaG//narI//chiP//
FliZ_RutR	dmsB//
Fur_H-NS	moaC//mdtC//gatY//murC//inaA//agaW//narG//ileT//fes//alaU//cysJ//agaW//ptsG//
Fur_IHF_IscR_NsrR_OxyR	csgE//idnR//napC//hyaD//astD//puuC//
Fur_IscR_NrdR	relA//rbsK//pspA//araG//
Fur_MetR	tyrR//
Fur_MntR	caiF//
Fur_MntR_OxyR	fepE//
Fur_OxyR	melR//
Fur_PurR	cysU//hdeA//
Fur_RcnR	cyoE//nrdE//
Fur_RutR	atoB//
Fur_SoxS_Zur	fepE//
Fur_YqjI	rpsC//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	sucA//yrbL//
GadE-RcsB_H-NS	mhpF//
GadE-RcsB_PhoB	lpxA//
GadE-RcsB_Rob	idnD//
GadE_GadX_H-NS_PhoP_RcsB	fabB//
GadE_H-NS_Lrp_NsrR	ulaC//
GadE_H-NS_MatA	ydhV//
GadE_H-NS_RcsAB	nfsA//
GadE_MarA_PurR	hdeD//
GadW_GadX_RcsB	csiE//
GalR_GalS	ebgC//
GlrR_IHF	modC//
H-NS_IHF	gapA//rrsB//cyoE//
H-NS_IHF_Lrp	mraY//pspE//sufE//nuoC//napC//pspB//feoC//
H-NS_LeuO	fecD//rrfE//
H-NS_LeuO_RcsB-BglJ_StpA	fimI//
H-NS_LrhA_Lrp	ihfA//
H-NS_Lrp	csgG//rsmH//
H-NS_Lrp_NhaR_RcsB	yaiA//
H-NS_Lrp_StpA	oppA//
H-NS_McbR	fepB//lsrF//torA//
H-NS_NhaR	chbG//nrfE//
H-NS_OmpR	yoeB//
H-NS_PhoB_RcdA_RstA	spy//
HU_IHF_TrpR_TyrR	lysP//
HU_IHF_TyrR	galT//
HigA_HigB-HigA	sufD//acnB//
HipAB_HipB_IHF	dnaN//oppC//
HypT_MetJ	lyxK//ascF//yafQ//
HypT_MetJ_PhoP	uidA//ahpC//
IHF_Lrp	rhaT//rpsO//creD//gltT//oppA//soxR//hycA//dsdC//
IHF_NsrR	ybdN//
IHF_NtrC	uspA//rrsG//
IHF_PhoP	fimC//
IHF_PspF	ugpQ//ugpQ//hns//ssrS//aceK//fucP//
IHF_RcsAB	torA//uspA//tauD//rrlH//
IHF_RtcR	dusB//nanT//
IHF_TyrR	ybjN//
IHF_UlaR	metQ//
LexA_MraZ_PdhR	cirA//nuoA//yiaO//nikA//dpiB//nrdD//ilvL//rrlB//recF//glpC//yfaE//
LexA_MraZ_PdhR_RcsB_SdiA	paaA//exuT//
LexA_MraZ_PdhR_SdiA	hypF//
LexA_NagC	rrlE//
LexA_RcdA	nanT//
LexA_RcsB-BglJ	hypF//
MarA_OxyR_Rob_SoxS	waaY//argG//leuO//hypF//
MarA_PhoP_Rob_SoxS	rbsA//rpsC//guaB//hyfR//
MarA_Rob_SoxS	aroG//sgbE//gyrA//pspG//gspK//
MarA_SoxS	gatY//gltA//uxuA//pgaB//sufB//
MetJ_MetR	feoB//leuO//
MetJ_OxyR	rbsC//idnO//
MetR_PurR	fucA//
MraZ_PdhR	rhaB//appX//
Nac_PurR	ilvD//aceA//
NarL_TorR	ycdZ//xylH//deoC//
NemR_RutR	mazG//actP//hypA//
NhaR_OmpR	dcuR//galE//serC//ftsZ//
NorR_NsrR	hmp//
NsrR_PhoB	tdcG//
OxyR_SoxS	nrfC//
PdhR_PhoP	metK//
PgrR_TyrR	rrsD//
PhoB_PhoP	rpsI//
PhoP_PurR_RbsR	malM//yiaM//
RelB_RelB-RelE	gspH//gspI//nfsB//
TrpR_TyrR	fucP//sgrS//serC//
YefM_YefM-YoeB	ihfA//nrdB//
