#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	nrdF//hyfB//
CRP_MalT_PhoP	fixC//
CRP_MelR	malI//nrdF//fepE//
CRP_MetJ	ygiB//
CRP_MhpR	narK//ydhV//lysP//fhuF//hisP//hisQ//
CRP_Mlc	chbA//chbG//
CRP_ModE	soxS//actP//rutD//
CRP_MurR	pdeR//fadH//
CRP_Nac_NsrR_PhoB	uxuR//
CRP_NadR	gcvT//
CRP_NagC	narX//pspD//purR//aldB//rhaT//osmY//
CRP_NagC_NanR	moaE//rplT//yiaK//
CRP_NagC_PhoP	osmC//
CRP_OxyR	metB//
CRP_OxyR_UxuR	marR//
CRP_PhoB	aroM//hycB//ybjN//garP//rbsC//nikA//
CRP_PhoP	nupG//modA//tpx//
CRP_PutA	rpoS//
CRP_RbsR	lsrF//cspI//acrA//kbaZ//cdd//gspI//
CRP_RhaR_RhaS	ydhW//rrfB//
CRP_RhaS	hyfR//ynfG//hybB//
CRP_Rob	hybD//
CRP_TorR	fur//mdh//yciE//
CRP_UhpA_UvrY	pgaB//
CRP_UidR_UxuR	sufS//nhaR//tam//
CRP_UvrY	ssrS//
CRP_YehT	glnA//
CRP_ZraR	moaA//glmY//
CadC_FNR_H-NS_LeuO_MlrA	flhC//
Cbl_CysB	rseC//ssuC//mhpA//appB//
Cbl_CysB_FNR_IHF	flgN//cspD//fumA//hyfR//feaR//
CdaR_FNR_Fis_Fur_H-NS	moaB//
CdaR_FNR_Fur_H-NS	rbsA//galT//fbaA//ydhV//
CpxR_CsgD_FliZ	katG//betT//gabT//
CpxR_CysB	relE//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	dmsD//
CpxR_GadE	yjjQ//rtcA//ogt//rrsE//
CpxR_H-NS	flhC//
CpxR_NsrR	tdcG//
CpxR_RcsB	hdeD//
CpxR_TyrR	hyfE//
Cra_FNR_Fis_Lrp_NarL	aspC//
Cra_FNR_Fur_MarA_Rob_SoxS	ynfG//
Cra_FhlA_FlhDC	fnr//
Cra_GntR_KdgR	csiD//
Cra_GntR_KdgR_PhoB	accC//
Cra_MarA_SoxS	ybiT//
Cra_PdeL	hdeB//
Cra_SgrR	entA//caiT//nuoC//
Cra_TyrR	fumB//
CreB_NagC	alaV//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	fabB//
CsgD_FlhDC	osmY//nuoJ//uxaA//hdeD//narL//sucB//appY//hyaC//rplV//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	hycG//cusR//
CspA_Fis_GadX_H-NS	yjbG//
CueR_FNR_ModE	gadA//gdhA//oppA//ilvE//ugpB//
CusR_PhoB_YedW	rrlD//hypA//fliG//napH//fes//dctR//pdeR//
CysB_H-NS	glpC//glcC//folA//gadY//gltW//
CysB_HypT_IHF	cydB//
CysB_IHF	rimP//pgaB//
CysB_NtrC	citG//
CysB_PhoP	acs//
DcuR_FNR_NarL	dcuS//cusS//gltT//mlc//
DinJ-YafQ_LexA	pspA//glpQ//
DpiA_H-NS	flgN//
DsdC_NsrR	astE//
EvgA_FNR	kbaZ//nagE//
EvgA_H-NS	hyfR//qseB//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	purD//
EvgA_H-NS_PhoP_RcsB_YdeO	umpH//
EvgA_PhoP_RcsB_YdeO	narH//
ExuR_UxuR	purH//fliJ//
FNR_FhlA_IHF_NsrR	torD//dpiA//pnp//torA//nuoN//
FNR_FhlA_NarL_NarP	ydeN//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	hydN//pnp//pqiA//chbR//dcuA//tomB//lpxC//
FNR_Fis_IHF_ModE_NarL	glnG//sodA//nikR//
FNR_Fis_IHF_NarL	nrdA//
FNR_Fis_IHF_NarL_RstA	cspA//ccmB//hypC//nrfB//
FNR_FlhDC	casD//
FNR_FlhDC_IscR_ModE_NarL_NarP	ybdN//grcA//ygiC//ascB//ynfK//gntP//fadD//
FNR_FlhDC_ModE_NarL_NarP	uxuA//ulaG//astD//fepA//fucK//uxaC//fecE//tdcA//
FNR_Fur	gspG//aceA//
FNR_Fur_GadE	astD//
FNR_Fur_GadX_NtrC	rnpB//osmY//
FNR_Fur_H-NS	fadL//hemA//mhpD//metQ//
FNR_Fur_MetR_NsrR	gcd//
FNR_Fur_Nac_NtrC	hdeB//
FNR_Fur_NagC	rbsC//fadH//yoaG//
FNR_Fur_OxyR	fabB//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	skp//
FNR_H-NS	ftsW//ftsW//
FNR_H-NS_NrdR	gspO//accB//
FNR_IHF	aroG//fhuF//hybE//fdnI//sucD//
FNR_IHF_Lrp_YeiL	ileU//
FNR_IHF_NarL_NarP_NorR	rseC//pspA//
FNR_IHF_PhoB	deoD//truB//araA//entH//alaV//
FNR_MalT	sdhB//fixA//
FNR_ModE	pgaC//lysP//
FNR_NarL	yqjI//rbsD//nrdI//codA//gadE//ynfF//
FNR_NarL_NarP	torA//rbsD//rtcA//csiD//lsrK//amtB//mhpB//rbsB//galM//
FNR_NarL_NarP_NsrR	hybC//
FNR_NarL_NarP_NsrR_OxyR	xylA//nrfB//
FNR_NarL_NikR	glyA//cyoC//ynfF//malY//ptsG//fadJ//
FNR_NsrR	araB//uxuB//sroD//
FNR_OxyR	idnD//
FNR_PurR	ileV//ybjC//
FNR_YqjI	prpE//
FabR_FadR	lrp//uidB//
FadR_IHF	srlE//
FadR_IclR	oppC//
FhlA_FlhDC	edd//
FhlA_IHF_ModE_NsrR	ndh//gdhA//tnaA//ydhV//cspI//frdA//dppB//rrlH//yrbL//
FhlA_IHF_NsrR	nfuA//
Fis_Fur	murP//
Fis_H-NS	rhaB//
Fis_H-NS_IHF_MntR_OxyR	rrfC//
Fis_H-NS_Lrp	focB//mazG//tauB//rbsK//srlE//glcG//fecA//hycA//dppD//sucA//marR//hemL//acnB//cydC//nanA//rrsE//aspC//nac//ompR//cyoC//yhiM//purM//yefM//ydhV//
Fis_H-NS_Lrp_StpA	entC//ydhW//
Fis_IHF	fucP//
Fis_IHF_NtrC	icd//hycD//
Fis_IHF_OmpR_RcsB	ileU//
Fis_Lrp	pgaB//nrfE//pstC//nuoA//rrlD//thrV//fucR//nmpC//uidB//
Fis_MazE_MazE-MazF	tnaA//
Fis_NarL	puuR//
Fis_NarL_NarP_NsrR	ccmH//malI//
Fis_PurR	nfsB//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	rhaB//citX//cydC//
FliZ_RutR	gatC//
Fur_H-NS	rrfE//slp//araA//lgoR//dcuS//oppD//malY//umpH//mtr//dmsA//gadB//prfA//rrsB//
Fur_IHF_IscR_NsrR_OxyR	hdeA//caiE//chbB//aroA//lacZ//glpX//
Fur_IscR_NrdR	hdeB//dnaA//nrfF//higB//
Fur_MetR	metH//
Fur_MntR	cspE//
Fur_MntR_OxyR	dinJ//
Fur_OxyR	eda//
Fur_PurR	appX//narX//
Fur_RcnR	fadD//napA//
Fur_RutR	cydD//
Fur_SoxS_Zur	nagE//
Fur_YqjI	cyoD//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	glpT//appB//
GadE-RcsB_H-NS	hcr//
GadE-RcsB_PhoB	srlD//
GadE-RcsB_Rob	mdtB//
GadE_GadX_H-NS_PhoP_RcsB	astD//
GadE_H-NS_Lrp_NsrR	glnK//
GadE_H-NS_MatA	ybjC//
GadE_H-NS_RcsAB	fimF//
GadE_MarA_PurR	hycB//
GadW_GadX_RcsB	nrdF//
GalR_GalS	katE//
GlrR_IHF	garR//
H-NS_IHF	rrsH//uspA//yoeB//
H-NS_IHF_Lrp	hyfH//mhpB//dppC//nuoC//ssuA//hisP//fadJ//
H-NS_LeuO	frdA//fepB//
H-NS_LeuO_RcsB-BglJ_StpA	osmC//
H-NS_LrhA_Lrp	fdnI//
H-NS_Lrp	cysA//gspO//
H-NS_Lrp_NhaR_RcsB	acs//
H-NS_Lrp_StpA	rcnB//
H-NS_McbR	ybjC//nanC//rseB//
H-NS_NhaR	araF//aceB//
H-NS_OmpR	rimK//
H-NS_PhoB_RcdA_RstA	leuO//
HU_IHF_TrpR_TyrR	prpD//
HU_IHF_TyrR	envZ//
HigA_HigB-HigA	araG//sucB//
HipAB_HipB_IHF	ilvX//nuoH//
HypT_MetJ	argG//garK//cspA//
HypT_MetJ_PhoP	ugpE//nuoB//
IHF_Lrp	rpsC//chbG//ybiT//casD//ybdZ//citC//melB//fixB//
IHF_NsrR	ptsI//
IHF_NtrC	narL//ydhW//
IHF_PhoP	hisJ//
IHF_PspF	ftnA//betI//hycB//gspH//appC//csgE//
IHF_RcsAB	rpsC//mdtD//hyaA//nagB//
IHF_RtcR	rrlC//citD//
IHF_TyrR	gatY//
IHF_UlaR	hybD//
LexA_MraZ_PdhR	nuoC//hupA//ileV//csgE//alaU//yciE//cspD//nanC//deoB//cirA//metB//
LexA_MraZ_PdhR_RcsB_SdiA	aldB//mhpF//
LexA_MraZ_PdhR_SdiA	pnp//
LexA_NagC	yiaK//
LexA_RcdA	alaT//
LexA_RcsB-BglJ	ccmH//
MarA_OxyR_Rob_SoxS	yjbF//ccmB//ileU//hyfE//
MarA_PhoP_Rob_SoxS	fdhF//rimP//nhaA//mioC//
MarA_Rob_SoxS	dcuA//ilvD//dnaA//ygiB//rrsD//
MarA_SoxS	mdtE//tyrR//bglF//flgM//yiaN//
MetJ_MetR	nanK//cyaR//
MetJ_OxyR	nusA//hdeD//
MetR_PurR	ynfK//
MraZ_PdhR	gutQ//nanK//
Nac_PurR	aroL//yafQ//
NarL_TorR	sdhA//emrK//puuR//
NemR_RutR	cysH//nirC//chbR//
NhaR_OmpR	nrfC//actP//torD//tnaA//
NorR_NsrR	leuO//
NsrR_PhoB	glpB//
OxyR_SoxS	napD//
PdhR_PhoP	hybG//
PgrR_TyrR	citX//
PhoB_PhoP	rrfB//
PhoP_PurR_RbsR	katE//ccmD//
RelB_RelB-RelE	tomB//fur//manZ//
TrpR_TyrR	nrdD//ulaD//ilvX//
YefM_YefM-YoeB	iclR//entH//
