#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	mhpE//sucA//
ArcA_CRP_FNR_Fur	napH//ydhY//atoA//sgbE//
ArcA_CRP_FNR_Fur_IHF	serA//rrfA//malE//pspC//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	tyrP//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	skp//
ArcA_CRP_FNR_IHF_NarL	aroP//
ArcA_CRP_FNR_NarL	ompF//
ArcA_CRP_FadR	rplT//sufC//
ArcA_CRP_FadR_HipB	ddlB//
ArcA_CRP_FadR_OmpR_PhoP	nagC//
ArcA_CRP_Fis_Mlc_SoxS	malQ//
ArcA_CRP_Fis_XylR	nagC//
ArcA_CRP_Fur_GadX_MqsA	gltB//
ArcA_CRP_GatR	mntP//cusC//fadH//yciG//rcsA//lgoR//
ArcA_CRP_GlpR	eda//
ArcA_CRP_IHF	xylF//
ArcA_CRP_PuuR	hypF//mazE//sufD//modC//galT//
ArcA_CRP_RhaS	ulaB//
ArcA_CRP_TreR	chbA//argG//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	galK//cdd//
ArcA_Cra	fucA//
ArcA_Cra_FNR_H-NS_HypT	malI//waaZ//
ArcA_CysB_FNR	yiaN//
ArcA_FNR	tauC//pspB//rutA//treB//hycB//gcvT//rutA//rrlH//fumB//malE//argP//caiD//garP//metB//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	rbsB//
ArcA_FNR_Fis_IHF_NarL	nuoN//rseA//codA//ygiA//rplM//moaD//malX//casC//ilvE//mdtB//frdD//rcnB//dcuB//
ArcA_FNR_Fur_IHF	astB//
ArcA_FNR_IHF	nirB//fixA//xylG//
ArcA_FNR_IHF_NarL	gloA//glpX//
ArcA_FNR_NarL	yjbF//malF//rcnB//nrfG//
ArcA_FNR_PhoP	narG//
ArcA_FNR_PuuR	nanK//ebgA//
ArcA_FadR	yjbG//cadC//fliH//
ArcA_FadR_Fis	argO//lysP//
ArcA_Fur_Lrp_ModE	pgaA//yqjI//nanT//pgaC//pspD//
ArcA_GlcC_IHF_PdhR	nfuA//hyfI//caiE//ubiA//nrdE//sdhA//
ArcA_LexA	metK//hyfD//
ArcA_LldR	hpt//dcuC//oppC//
ArcA_NarL	ftsA//hdeD//rhaR//garK//ynfE//rbfA//hyfI//galP//
ArcA_NtrC_PhoP_RutR	caiE//sdhA//ilvM//gadW//mtr//fucA//yoeB//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	uspA//ydhV//rrsD//
ArgP_CRP_FNR_Fur_Nac	poxB//
ArgP_DnaA	feaB//csgG//rhaT//
ArgP_Lrp	tauA//hyfD//
ArgP_LysR	ygiB//
ArgP_PhoB	frdC//
ArgR_CRP	fixB//
ArgR_CRP_Fis	glpB//hyfA//dppA//prpE//gcd//murG//hyfG//ybjC//
ArgR_Fis_IHF_PepA_PurR_RutR	cysA//ssuD//
ArgR_H-NS_NtrC	galE//nuoF//sgbE//sodA//
ArgR_NtrC	creD//mtr//focB//lldD//moaB//
ArgR_PhoP	hisP//
AscG_CRP	paaZ//yiaM//gntU//
AscG_CRP_PhoB_PrpR	oppD//
AsnC_MraZ_Nac	ccmA//
AsnC_Nac	paaE//hyfF//
AtoC_IHF	pyrC//bglB//accC//srlR//
BaeR_CpxR	ygbA//appX//cusA//malM//atoA//exuT//appC//
BaeR_CpxR_EvgA	hyaF//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	csgC//sbmC//fur//fliH//
BasR_CpxR_PdhR	nanC//yiaN//
BasR_Fis	hlyE//
BasR_H-NS_IHF_NagC_NanR	frdA//
BasR_MarA_PutA	cydB//
BasR_PhoP	moeB//
BasR_QseB	caiA//fepB//
CRP_CaiF_FNR	waaZ//tdcB//paaE//ansB//
CRP_ChbR_NagC	hybE//dctA//hyaA//ompF//ileT//slp//
CRP_ComR	uxaC//
CRP_CpxR	csgB//
CRP_CpxR_CytR	gcvT//
CRP_CpxR_CytR_DnaA_IHF	mntH//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	ilvG_1//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	gspO//fucA//osmY//alaU//
CRP_Cra	purR//gltW//csiD//ilvX//yhjA//mpl//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	ilvM//casE//yoeB//narH//
CRP_Cra_FNR_PdhR	galK//
CRP_Cra_Fis	tdcC//
CRP_Cra_Fis_GlcC	relB//
CRP_Cra_Fis_MtlR	hycH//narI//hyfI//
CRP_Cra_Mlc_NagC	aroG//mglC//lrp//moaB//bhsA//dcuD//
CRP_Cra_PrpR	gcvH//mtlD//nfuA//ssuD//
CRP_CreB_Fis_MalT	dnaN//alaU//glgP//
CRP_CsiR_H-NS_Lrp	ebgA//phoQ//
CRP_CsiR_H-NS_Lrp_Nac	nagB//ilvM//aceK//
CRP_CspA_Fis	yafQ//
CRP_CytR	metB//dppB//manY//
CRP_CytR_DeoR	nfsB//ssrS//
CRP_CytR_DeoR_Fis_ModE	ssb//focA//lpd//torC//
CRP_CytR_Nac	rutC//
CRP_CytR_NsrR	mhpF//
CRP_DcuR_FNR_NarL	melA//
CRP_DinJ-YafQ	hypD//
CRP_DnaA_Fis_PurR	uidC//caiD//
CRP_DpiA_ExuR	prpC//
CRP_DsdC	hlyE//norW//
CRP_EbgR	dcuA//cydA//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	actP//ulaE//
CRP_ExuR	ccmE//
CRP_ExuR_FNR	fucP//ulaE//
CRP_ExuR_OxyR_UxuR	gspK//ssrS//
CRP_ExuR_UxuR	hyfE//
CRP_FNR	paaC//
CRP_FNR_FhlA_HyfR	rutA//puuP//glcD//fumB//yjbG//idnR//guaA//hycE//zraS//bglB//uxaC//nrdF//
CRP_FNR_Fis	rseB//nirD//dppD//
CRP_FNR_Fis_GlpR_IHF	pspE//yoeB//
CRP_FNR_Fis_H-NS_SlyA	glcE//
CRP_FNR_GcvA_Lrp_PurR	mglB//putP//hycC//
CRP_FNR_H-NS_NarL	cspA//
CRP_FNR_IHF_TdcA_TdcR	proW//rrsA//mazE//casC//rplC//moaA//ilvE//
CRP_FNR_NarL	aslB//iraM//aceK//
CRP_FeaR_NsrR	ubiA//
CRP_Fis	galP//rrfF//hcp//rrfC//tdcA//
CRP_Fis_FlhDC_GalR_GalS	tomB//mtlA//
CRP_Fis_FliZ_IHF_Lrp	fliA//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	lldP//pdeR//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	ygbA//fpr//metL//
CRP_Fis_IHF	moaD//proX//hypD//yedX//rbsD//
CRP_Fis_NanR	ugpB//crp//gnd//dppB//yrbL//
CRP_Fis_NtrC	frdA//emrK//infB//
CRP_Fis_XylR	nmpC//ptsI//caiA//
CRP_FlhDC_GalR_GalS	yecR//
CRP_FucR	paaH//ycdZ//lpxD//fimA//cusC//uvrA//rplP//
CRP_Fur	dppA//feaB//glgC//fucI//malP//ndh//fliE//lamB//malQ//
CRP_Fur_HypT_PdhR	pncB//betT//carB//cydD//uvrA//
CRP_Fur_OxyR_SoxS	gcvH//
CRP_GalR_GalS	hycF//
CRP_GalR_GalS_H-NS_HU	nfsB//entE//hyfC//ssuA//
CRP_GalR_GalS_NagC	aceE//
CRP_GlpR	hlyE//citD//rrfB//
CRP_GntR	fecB//entA//
CRP_GntR_IdnR	ptsH//hycB//dnaN//glgA//lpxD//qseB//dcuR//
CRP_GntR_IscR	fabB//
CRP_GutM_GutR_H-NS	yedX//focB//mdtF//ileU//ssrS//fucA//fdnH//
CRP_H-NS	csgD//
CRP_H-NS_HipAB_HipB_NtrC	proW//
CRP_H-NS_LacI	lsrA//ilvE//acs//
CRP_H-NS_LeuO	garL//galR//casD//hycA//metK//casE//rbsA//
CRP_H-NS_MqsA	metI//
CRP_IHF	dadA//nfsA//codA//gntK//
CRP_IHF_MprA_OmpR	fucA//
CRP_IHF_NsrR	atoE//
CRP_IHF_PaaX	hybO//dmsD//ydhW//cdd//hybG//narK//nrdE//fis//nagB//fimC//hycH//oppC//
CRP_IHF_UlaR	xylR//casA//mdtC//glpB//hipB//ynfG//
CRP_IHF_YiaJ	carB//frdB//dsdC//dps//nuoC//pflB//hycE//fhlA//pspC//ahpF//
CRP_LexA	rutC//
CRP_Lrp	purD//nrdB//aceF//hycA//
CRP_Lrp_Mlc	kbaZ//
CRP_Lrp_Nac	fadL//
CRP_LsrR	phoQ//ubiA//astD//rutD//hycA//ygiA//ssuE//alaU//araG//
CRP_MalI	sufC//glnH//tyrP//
CRP_MalT	garR//glpK//lpd//
CRP_MalT_PhoP	feaR//
CRP_MelR	rhaS//sucC//rplP//
CRP_MetJ	ssuE//
CRP_MhpR	deoB//appA//sgrS//hycD//hisM//rcnB//
CRP_Mlc	narH//ygiA//
CRP_ModE	uxaB//ygiB//gspD//
CRP_MurR	gspL//tdcB//
CRP_Nac_NsrR_PhoB	umpH//
CRP_NadR	degP//
CRP_NagC	rpoH//fucO//ygiB//rrfF//ynfE//udp//
CRP_NagC_NanR	metK//nagB//ccmB//
CRP_NagC_PhoP	dadA//
CRP_OxyR	tnaC//
CRP_OxyR_UxuR	fimA//
CRP_PhoB	ydeM//araB//araD//fis//ulaC//spy//
CRP_PhoP	dcuB//sdhC//tdcG//
CRP_PutA	nanM//
CRP_RbsR	entF//nikE//oppF//paaJ//fadJ//pyrD//
CRP_RhaR_RhaS	chbG//nuoE//
CRP_RhaS	dppF//ulaB//araD//
CRP_Rob	ftsW//
CRP_TorR	ansB//uspA//caiC//
CRP_UhpA_UvrY	gadF//
CRP_UidR_UxuR	hcp//baeR//hha//
CRP_UvrY	mpl//
CRP_YehT	betA//
CRP_ZraR	lldD//ansB//
CadC_FNR_H-NS_LeuO_MlrA	gatA//
Cbl_CysB	mdh//rbsA//caiT//hybO//
Cbl_CysB_FNR_IHF	poxB//cydA//narJ//ulaC//betB//
CdaR_FNR_Fis_Fur_H-NS	betA//
CdaR_FNR_Fur_H-NS	lsrF//lsrA//casA//dadA//
CpxR_CsgD_FliZ	agaV//hybG//ybiT//
CpxR_CysB	glcC//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	hdeA//
CpxR_GadE	citC//malX//purR//ackA//
CpxR_H-NS	nanA//
CpxR_NsrR	acrF//
CpxR_RcsB	rrsE//
CpxR_TyrR	udp//
Cra_FNR_Fis_Lrp_NarL	purA//
Cra_FNR_Fur_MarA_Rob_SoxS	waaY//
Cra_FhlA_FlhDC	nrdD//
Cra_GntR_KdgR	ilvA//
Cra_GntR_KdgR_PhoB	marR//
Cra_MarA_SoxS	glnH//
Cra_PdeL	dmsC//
Cra_SgrR	caiB//mglA//gatC//
Cra_TyrR	ssuC//
CreB_NagC	gadY//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	csgE//
CsgD_FlhDC	poxB//guaA//lsrK//prpD//katE//fixX//ssuA//ugpB//dpiB//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	mglC//hycA//
CspA_Fis_GadX_H-NS	aslB//
CueR_FNR_ModE	inaA//modA//rbsA//xylH//csgA//
CusR_PhoB_YedW	edd//lysA//phoQ//gntX//ygeA//fliZ//lacZ//
CysB_H-NS	crp//prmC//yjbF//galM//chbB//
CysB_HypT_IHF	crr//
CysB_IHF	feoC//dpiA//
CysB_NtrC	fnr//
CysB_PhoP	glyA//
DcuR_FNR_NarL	dcuC//rpsQ//napH//dinJ//
DinJ-YafQ_LexA	mhpF//epd//
DpiA_H-NS	mglC//
DsdC_NsrR	hyfR//
EvgA_FNR	glgA//glmY//
EvgA_H-NS	gcvT//csiE//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	flgN//
EvgA_H-NS_PhoP_RcsB_YdeO	fur//
EvgA_PhoP_RcsB_YdeO	sgrS//
ExuR_UxuR	dadX//ackA//
FNR_FhlA_IHF_NsrR	fliJ//tnaC//aceE//sgrT//yedX//
FNR_FhlA_NarL_NarP	hipA//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	gcd//ubiC//rrsD//sufS//glgA//focA//fadH//
FNR_Fis_IHF_ModE_NarL	glpQ//ydeO//oppC//
FNR_Fis_IHF_NarL	metN//
FNR_Fis_IHF_NarL_RstA	ulaD//nuoK//astC//manY//
FNR_FlhDC	yedX//
FNR_FlhDC_IscR_ModE_NarL_NarP	glnA//modA//ilvH//xylH//fumA//nanS//hyaB//
FNR_FlhDC_ModE_NarL_NarP	cysI//narK//degP//yiaO//napC//cusS//nrfA//yciE//
FNR_Fur	csrC//nmpC//
FNR_Fur_GadE	dppD//
FNR_Fur_GadX_NtrC	dsdX//oppA//
FNR_Fur_H-NS	hupB//xylR//hybD//napB//
FNR_Fur_MetR_NsrR	grcA//
FNR_Fur_Nac_NtrC	modC//
FNR_Fur_NagC	tdcE//nac//ompR//
FNR_Fur_OxyR	ndh//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	gspC//
FNR_H-NS	cysG//tsx//
FNR_H-NS_NrdR	paaF//ynfK//
FNR_IHF	tyrR//uxaB//dppB//nrdE//glpQ//
FNR_IHF_Lrp_YeiL	ugpE//
FNR_IHF_NarL_NarP_NorR	nuoE//ddlB//
FNR_IHF_PhoB	osmC//fucR//bamE//tdcD//fixX//
FNR_MalT	csiE//osmE//
FNR_ModE	hyaF//rrsC//
FNR_NarL	flgN//nupC//puuD//sra//entF//cusA//
FNR_NarL_NarP	gatB//mtlA//hisQ//entD//glnH//nuoH//glmY//fumC//puuD//
FNR_NarL_NarP_NsrR	ccmB//
FNR_NarL_NarP_NsrR_OxyR	rhaT//glcG//
FNR_NarL_NikR	napD//rimK//truB//mdtC//cyaR//napD//
FNR_NsrR	gloA//araJ//glpK//
FNR_OxyR	puuD//
FNR_PurR	rutG//gyrA//
FNR_YqjI	rbsK//
FabR_FadR	gspI//rplM//
FadR_IHF	pgaD//
FadR_IclR	rrfE//
FhlA_FlhDC	nemA//
FhlA_IHF_ModE_NsrR	argO//yjjQ//galT//cysP//baeS//amtB//treC//zraS//codA//
FhlA_IHF_NsrR	higB//
Fis_Fur	folA//
Fis_H-NS	sroD//
Fis_H-NS_IHF_MntR_OxyR	metH//
Fis_H-NS_Lrp	yciE//ansB//caiB//fur//rplD//deoD//napB//acnB//norW//oppB//osmE//marB//glpD//yhiD//exuT//tomB//napB//ppiA//fis//emrY//feoB//tomB//bhsA//hybB//
Fis_H-NS_Lrp_StpA	nirC//gadX//
Fis_IHF	purA//
Fis_IHF_NtrC	dadX//mhpC//
Fis_IHF_OmpR_RcsB	sdhB//
Fis_Lrp	asnC//cysH//fimF//cyoD//gntK//ccmA//hpt//fdnI//fepA//
Fis_MazE_MazE-MazF	ugpB//
Fis_NarL	uxaC//
Fis_NarL_NarP_NsrR	hycF//ptsI//
Fis_PurR	hupA//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	mdtF//alaV//fliG//
FliZ_RutR	cusC//
Fur_H-NS	ssuE//sufE//entE//fliA//hisM//srlR//glnK//mdtE//malT//casC//proW//dinI//galS//
Fur_IHF_IscR_NsrR_OxyR	araA//feoC//dppC//lhgO//metR//pncB//
Fur_IscR_NrdR	dppC//cyoC//idnO//ulaB//
Fur_MetR	osmE//
Fur_MntR	entB//
Fur_MntR_OxyR	zraS//
Fur_OxyR	fdnG//
Fur_PurR	moaD//pspA//
Fur_RcnR	cysW//aspA//
Fur_RutR	pstS//
Fur_SoxS_Zur	creD//
Fur_YqjI	aroL//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	fimH//sra//
GadE-RcsB_H-NS	emrK//
GadE-RcsB_PhoB	mnmG//
GadE-RcsB_Rob	gspL//
GadE_GadX_H-NS_PhoP_RcsB	gatA//
GadE_H-NS_Lrp_NsrR	pspE//
GadE_H-NS_MatA	nrdB//
GadE_H-NS_RcsAB	alaV//
GadE_MarA_PurR	yoaG//
GadW_GadX_RcsB	fabA//
GalR_GalS	sgbE//
GlrR_IHF	entC//
H-NS_IHF	mhpB//nrdA//ssuB//
H-NS_IHF_Lrp	ynfK//dcuA//hha//rimP//astB//rseA//hyaA//
H-NS_LeuO	yjjQ//emrK//
H-NS_LeuO_RcsB-BglJ_StpA	gatB//
H-NS_LrhA_Lrp	lgoR//
H-NS_Lrp	qseC//fepE//
H-NS_Lrp_NhaR_RcsB	malT//
H-NS_Lrp_StpA	rplC//
H-NS_McbR	prpC//cysA//tnaC//
H-NS_NhaR	gadW//aroA//
H-NS_OmpR	prpD//
H-NS_PhoB_RcdA_RstA	nanK//
HU_IHF_TrpR_TyrR	csgC//
HU_IHF_TyrR	fucA//
HigA_HigB-HigA	creD//acnA//
HipAB_HipB_IHF	rrfH//ilvM//
HypT_MetJ	gspG//cdd//tpx//
HypT_MetJ_PhoP	qseB//cydB//
IHF_Lrp	murP//tdcG//dppF//gcvT//mdtD//mtlD//gltT//gltF//
IHF_NsrR	mpl//
IHF_NtrC	nrfC//yiaO//
IHF_PhoP	cusS//
IHF_PspF	glpT//cusB//hycH//dsdA//hycB//garL//
IHF_RcsAB	gatA//citE//sdhC//flhC//
IHF_RtcR	rrlD//gspM//
IHF_TyrR	dgcZ//
IHF_UlaR	hipA//
LexA_MraZ_PdhR	hyaA//thrV//nrdA//iclR//hypB//fnr//cysH//fadD//fur//atoE//murC//
LexA_MraZ_PdhR_RcsB_SdiA	glcC//purA//
LexA_MraZ_PdhR_SdiA	ygbA//
LexA_NagC	yciG//
LexA_RcdA	rcnA//
LexA_RcsB-BglJ	dppC//
MarA_OxyR_Rob_SoxS	mdtD//relB//prpE//gspO//
MarA_PhoP_Rob_SoxS	acrA//carB//mazF//hyaC//
MarA_Rob_SoxS	tauD//evgA//fucP//ftsW//evgA//
MarA_SoxS	galK//fimA//tdcC//nagB//rtcB//
MetJ_MetR	dinJ//degP//
MetJ_OxyR	evgA//glpC//
MetR_PurR	sgrS//
MraZ_PdhR	rrlC//betA//
Nac_PurR	tdcD//zwf//
NarL_TorR	mazG//ulaB//gntP//
NemR_RutR	malM//napC//caiA//
NhaR_OmpR	glcG//nrfA//nuoF//hyfJ//
NorR_NsrR	narH//
NsrR_PhoB	lacZ//
OxyR_SoxS	rbfA//
PdhR_PhoP	metB//
PgrR_TyrR	rseB//
PhoB_PhoP	galK//
PhoP_PurR_RbsR	fucA//gspD//
RelB_RelB-RelE	hmp//ugpE//nfuA//
TrpR_TyrR	cadB//cyoE//rbsA//
YefM_YefM-YoeB	fliI//ydhX//
