#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	betT//ubiC//
ArcA_CRP_FNR_IHF_NarL	nrfB//
ArcA_CRP_FNR_NarL	idnK//
ArcA_CRP_FadR	codB//dppC//
ArcA_CRP_FadR_HipB	prfA//
ArcA_CRP_FadR_OmpR_PhoP	rrfE//
ArcA_CRP_Fis_Mlc_SoxS	rtcB//
ArcA_CRP_Fis_XylR	yiaN//
ArcA_CRP_Fur_GadX_MqsA	pqiB//
ArcA_CRP_GatR	sgrT//gltW//csiE//uxaC//hyfG//gadW//
ArcA_CRP_GlpR	rbsB//
ArcA_CRP_IHF	pheM//
ArcA_CRP_PuuR	acrA//nuoK//acrD//gltB//nuoB//
ArcA_CRP_RhaS	phoQ//
ArcA_CRP_TreR	cydA//nmpC//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	gadB//appA//
ArcA_Cra	gabD//
ArcA_Cra_FNR_H-NS_HypT	rplC//fliZ//
ArcA_CysB_FNR	araB//
ArcA_FNR	nfo//hyfC//yqjH//paaB//hyfB//atoE//gatB//thrV//gltF//actP//ccmC//chiP//glnL//sgbH//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	oxyR//
ArcA_FNR_Fis_IHF_NarL	rutA//galE//acrE//ynfE//mtlA//alaV//ssuD//gltF//hyfF//nhaA//waaY//zinT//pspB//
ArcA_FNR_Fur_IHF	ssuB//
ArcA_FNR_IHF	cysA//glnQ//umpH//
ArcA_FNR_IHF_NarL	sgrS//fumA//
ArcA_FNR_NarL	ppiA//ilvH//sufA//ccmF//
ArcA_FNR_PhoP	proV//
ArcA_FNR_PuuR	nuoC//malP//
ArcA_FadR	fliC//idnD//hydN//
ArcA_FadR_Fis	glpK//fixA//
ArcA_Fur_Lrp_ModE	dcuR//glmY//rplP//asnC//fucK//
ArcA_GlcC_IHF_PdhR	acrD//paaH//pck//lpxC//gutQ//fimE//
ArcA_LexA	entA//pyrD//
ArcA_LldR	torD//galR//fadD//
ArcA_NarL	mdtB//idnO//proX//hisP//cas2//feoA//hyfR//citD//
ArcA_NtrC_PhoP_RutR	melR//nirB//acs//dpiA//csgE//proP//zraS//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	acrE//astB//nagE//
ArgP_CRP_FNR_Fur_Nac	gntU//
ArgP_DnaA	purR//osmE//aceE//
ArgP_Lrp	tyrP//fis//
ArgP_LysR	fixX//
ArgP_PhoB	bglF//
ArgR_CRP	rhaA//
ArgR_CRP_Fis	fliZ//kbaZ//araG//gatY//proP//purN//aroG//pspC//
ArgR_Fis_IHF_PepA_PurR_RutR	chiP//zwf//
ArgR_H-NS_NtrC	cusB//fimD//napF//yciG//
ArgR_NtrC	yhiM//cyoE//hycI//ilvG_1//malY//
ArgR_PhoP	ccmA//
AscG_CRP	ulaA//murG//crp//
AscG_CRP_PhoB_PrpR	ygbA//
AsnC_MraZ_Nac	dcuD//
AsnC_Nac	codB//citF//
AtoC_IHF	fabZ//waaY//lrp//ccmB//
BaeR_CpxR	napF//entA//paaK//hybF//leuO//nuoN//mglA//
BaeR_CpxR_EvgA	mhpF//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	bglB//fdhF//prpE//grcA//
BasR_CpxR_PdhR	ydeO//astA//
BasR_Fis	yoeB//
BasR_H-NS_IHF_NagC_NanR	truB//
BasR_MarA_PutA	cyoB//
BasR_PhoP	nmpC//
BasR_QseB	cydA//tauA//
CRP_CaiF_FNR	tsx//guaA//csgG//norW//
CRP_ChbR_NagC	yjbF//ynfK//ilvA//hyfG//hybG//ugpC//
CRP_ComR	gabT//
CRP_CpxR	entC//
CRP_CpxR_CytR	caiD//
CRP_CpxR_CytR_DnaA_IHF	fdnH//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	yfaE//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	hyfD//dsdC//guaB//psiE//
CRP_Cra	sucC//stpA//nanE//ilvM//rhaB//katE//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	pyrC//setA//ftsQ//nrdG//
CRP_Cra_FNR_PdhR	nupC//
CRP_Cra_Fis	evgS//
CRP_Cra_Fis_GlcC	kbaZ//
CRP_Cra_Fis_MtlR	yciE//sdhC//entD//
CRP_Cra_Mlc_NagC	rplP//rpsC//yiaM//ydhV//flhD//rpsJ//
CRP_Cra_PrpR	glnD//caiE//tauD//tauB//
CRP_CreB_Fis_MalT	idnT//cusA//ssuC//
CRP_CsiR_H-NS_Lrp	gutM//ugpE//
CRP_CsiR_H-NS_Lrp_Nac	nrfG//citD//gltU//
CRP_CspA_Fis	sufC//
CRP_CytR	micF//fecB//yoaG//
CRP_CytR_DeoR	fixA//ulaB//
CRP_CytR_DeoR_Fis_ModE	cysB//cspE//nuoF//pgaB//
CRP_CytR_Nac	araC//
CRP_CytR_NsrR	higA//
CRP_DcuR_FNR_NarL	carB//
CRP_DinJ-YafQ	zinT//
CRP_DnaA_Fis_PurR	marR//galR//
CRP_DpiA_ExuR	lacZ//
CRP_DsdC	tyrR//acrB//
CRP_EbgR	ackA//lpxC//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	mpl//ileV//
CRP_ExuR	rnpB//
CRP_ExuR_FNR	oxyR//ygiB//
CRP_ExuR_OxyR_UxuR	uspA//ilvG_2//
CRP_ExuR_UxuR	codA//
CRP_FNR	gspC//
CRP_FNR_FhlA_HyfR	aidB//lamB//nuoH//astC//ccmG//gntX//phoU//pspG//serA//feoA//gntU//bglF//
CRP_FNR_Fis	chbC//rpsJ//rpsC//
CRP_FNR_Fis_GlpR_IHF	astC//deoA//
CRP_FNR_Fis_H-NS_SlyA	oppB//
CRP_FNR_GcvA_Lrp_PurR	pheM//acrD//fadJ//
CRP_FNR_H-NS_NarL	gcvP//
CRP_FNR_IHF_TdcA_TdcR	ppiA//ygbA//nrdH//gspF//sufD//chbG//betA//
CRP_FNR_NarL	relB//hybD//fimC//
CRP_FeaR_NsrR	glpA//
CRP_Fis	prpE//caiT//rhaD//gutQ//fur//
CRP_Fis_FlhDC_GalR_GalS	flhD//acrD//
CRP_Fis_FliZ_IHF_Lrp	acnB//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	crr//moaB//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	murE//sbmC//cusA//
CRP_Fis_IHF	aceB//ebgA//fhuF//metK//glpA//
CRP_Fis_NanR	hybD//dnaA//tdcE//umpH//rbfA//
CRP_Fis_NtrC	ccmF//xylR//yhiD//
CRP_Fis_XylR	rrfC//chiP//manZ//
CRP_FlhDC_GalR_GalS	napA//
CRP_FucR	lacZ//gcvT//lldR//lldR//glyA//cas2//fadE//
CRP_Fur	cydD//glpD//cyoD//glcC//glcB//ilvA//casC//ybfN//hyfB//
CRP_Fur_HypT_PdhR	ilvM//cydA//nagA//glpD//hybG//
CRP_Fur_OxyR_SoxS	chbF//
CRP_GalR_GalS	galM//
CRP_GalR_GalS_H-NS_HU	ydhY//sgrT//proP//nmpC//
CRP_GalR_GalS_NagC	ileT//
CRP_GlpR	pflB//dmsA//nuoI//
CRP_GntR	ulaC//dmsB//
CRP_GntR_IdnR	oppF//dcuD//hypC//rpsI//dadA//fimH//csgB//
CRP_GntR_IscR	mraY//
CRP_GutM_GutR_H-NS	manY//rnpB//gntK//yedX//gabD//fucI//pgaD//
CRP_H-NS	hupA//
CRP_H-NS_HipAB_HipB_NtrC	fepA//
CRP_H-NS_LacI	cysJ//guaA//rrlA//
CRP_H-NS_LeuO	modB//micF//hlyE//proV//yjbG//pspB//deoA//
CRP_H-NS_MqsA	yiaK//
CRP_IHF	yoeB//waaH//rrfD//crr//
CRP_IHF_MprA_OmpR	baeR//
CRP_IHF_NsrR	malM//
CRP_IHF_PaaX	cyoB//cytR//ilvD//csgD//ompC//betB//pstC//garR//nrdH//malM//idnO//casB//
CRP_IHF_UlaR	bhsA//chbC//entD//gatC//gspO//puuA//
CRP_IHF_YiaJ	dppF//pspA//nanA//modB//waaY//prmC//argD//pspG//rplV//glpX//
CRP_LexA	rrsB//
CRP_Lrp	hyfG//caiE//mhpF//gcvT//
CRP_Lrp_Mlc	prfA//
CRP_Lrp_Nac	uxuR//
CRP_LsrR	nupG//ascB//tdcA//zraR//fixB//moaC//ileV//rpoH//hlyE//
CRP_MalI	hupA//oppF//alaT//
CRP_MalT	fadA//fadH//fiu//
CRP_MalT_PhoP	napF//
CRP_MelR	yqjI//gatC//gnd//
CRP_MetJ	dusB//
CRP_MhpR	aidB//rrfG//prpC//ccmC//mdtF//pgaC//
CRP_Mlc	gadW//dpiB//
CRP_ModE	yciE//hybA//entF//
CRP_MurR	fadJ//yafQ//
CRP_Nac_NsrR_PhoB	emrY//
CRP_NadR	cysM//
CRP_NagC	ytfE//araD//carA//ssuE//ygeA//pck//
CRP_NagC_NanR	higB//rhaD//yqjH//
CRP_NagC_PhoP	acrE//
CRP_OxyR	tsx//
CRP_OxyR_UxuR	nanA//
CRP_PhoB	nikC//yciF//nanM//oppB//ilvG_1//treB//
CRP_PhoP	glpX//garP//aceA//
CRP_PutA	dppB//
CRP_RbsR	garK//relE//nuoE//relA//yecR//yecR//
CRP_RhaR_RhaS	lsrB//rseB//
CRP_RhaS	gspO//nrdG//yoaG//
CRP_Rob	hyfC//
CRP_TorR	hyfJ//atoA//rrfA//
CRP_UhpA_UvrY	murD//
CRP_UidR_UxuR	sodA//glnD//soxS//
CRP_UvrY	umpH//
CRP_YehT	srlA//
CRP_ZraR	mhpC//ccmG//
CadC_FNR_H-NS_LeuO_MlrA	sgbH//
Cbl_CysB	yoaG//dadA//araF//rrlD//
Cbl_CysB_FNR_IHF	norW//yqjI//mhpE//rimP//nagB//
CdaR_FNR_Fis_Fur_H-NS	entA//
CdaR_FNR_Fur_H-NS	lsrA//mglB//cyoC//betT//
CpxR_CsgD_FliZ	fnr//dcuC//nhaR//
CpxR_CysB	ydhV//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	aer//
CpxR_GadE	appX//gltV//fixC//cspD//
CpxR_H-NS	sgbU//
CpxR_NsrR	tolC//
CpxR_RcsB	narH//
CpxR_TyrR	astA//
Cra_FNR_Fis_Lrp_NarL	fnr//
Cra_FNR_Fur_MarA_Rob_SoxS	chbF//
Cra_FhlA_FlhDC	glpT//
Cra_GntR_KdgR	acnA//
Cra_GntR_KdgR_PhoB	cysJ//
Cra_MarA_SoxS	cusA//
Cra_PdeL	fimD//
Cra_SgrR	galP//osmC//nuoC//
Cra_TyrR	gabP//
CreB_NagC	betT//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	sufC//
CsgD_FlhDC	rutA//fliJ//fadJ//ydhW//dinI//hyaE//uhpT//cysA//acrA//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	safA//cusC//
CspA_Fis_GadX_H-NS	aer//
CueR_FNR_ModE	astA//glgP//narJ//lldR//rseA//
CusR_PhoB_YedW	hyfH//ompR//caiE//lhgO//ilvM//oppD//acnB//
CysB_H-NS	paaZ//casA//sdhC//manX//ydeN//
CysB_HypT_IHF	tdcD//
CysB_IHF	sufA//chbF//
CysB_NtrC	fliA//
CysB_PhoP	phoQ//
DcuR_FNR_NarL	bglG//nrdD//hisM//araF//
DinJ-YafQ_LexA	acrE//ompR//
DpiA_H-NS	nrdA//
DsdC_NsrR	exuR//
EvgA_FNR	ssuC//fiu//
EvgA_H-NS	nrdD//ldtB//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	rrlA//
EvgA_H-NS_PhoP_RcsB_YdeO	manZ//
EvgA_PhoP_RcsB_YdeO	ugpC//
ExuR_UxuR	fliE//fixC//
FNR_FhlA_IHF_NsrR	ftsQ//pstS//deoD//glpT//ygeA//
FNR_FhlA_NarL_NarP	nanA//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	nrfA//ebgA//cusB//gltD//acrF//pyrD//grcA//
FNR_Fis_IHF_ModE_NarL	cadA//cysP//dppF//
FNR_Fis_IHF_NarL	dmsD//
FNR_Fis_IHF_NarL_RstA	atoB//norR//nagC//nanT//
FNR_FlhDC	nfsA//
FNR_FlhDC_IscR_ModE_NarL_NarP	paaZ//gntX//hlyE//ynfE//nfsB//srlA//csiD//
FNR_FlhDC_ModE_NarL_NarP	sgrT//psiE//dpiA//nupC//gspG//glcE//mdtE//sulA//
FNR_Fur	gadY//tdcA//
FNR_Fur_GadE	yoaG//
FNR_Fur_GadX_NtrC	rrfC//glpT//
FNR_Fur_H-NS	dps//higB//galR//araC//
FNR_Fur_MetR_NsrR	pheM//
FNR_Fur_Nac_NtrC	ddlB//
FNR_Fur_NagC	codB//relA//norW//
FNR_Fur_OxyR	nanA//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	dcuS//
FNR_H-NS	idnD//modA//
FNR_H-NS_NrdR	mazG//hyfC//
FNR_IHF	nfsA//gspM//fdnG//fis//pspE//
FNR_IHF_Lrp_YeiL	fimA//
FNR_IHF_NarL_NarP_NorR	zwf//narG//
FNR_IHF_PhoB	yciE//narJ//spy//tomB//rrfA//
FNR_MalT	cytR//fepE//
FNR_ModE	sucB//nuoG//
FNR_NarL	yjcH//relE//xylR//ssb//entA//prpE//
FNR_NarL_NarP	dctA//rseB//osmC//pspE//dmsD//rrsC//hyfD//nanK//tcyJ//
FNR_NarL_NarP_NsrR	pstA//
FNR_NarL_NarP_NsrR_OxyR	cydA//tauA//
FNR_NarL_NikR	mtlR//gabP//nikE//nrdG//casA//fdnH//
FNR_NsrR	yjbF//uidB//ydhY//
FNR_OxyR	putP//
FNR_PurR	hcp//narI//
FNR_YqjI	nanK//
FabR_FadR	adiC//ftsQ//
FadR_IHF	lsrG//
FadR_IclR	prfA//
FhlA_FlhDC	glyA//
FhlA_IHF_ModE_NsrR	hypB//galT//ybdZ//pnp//rbsC//gadW//degP//citD//melA//
FhlA_IHF_NsrR	yedX//
Fis_Fur	cyoE//
Fis_H-NS	guaA//
Fis_H-NS_IHF_MntR_OxyR	glpA//
Fis_H-NS_Lrp	rplC//rutF//sucB//araC//murQ//nagE//rrlA//mraZ//yoaG//gadC//zraR//appY//recF//malT//rplM//ompR//lgoR//tdcF//chbB//pgaD//ugpB//cspD//ybjN//qseB//
Fis_H-NS_Lrp_StpA	uidA//lldR//
Fis_IHF	setA//
Fis_IHF_NtrC	csgE//nikC//
Fis_IHF_OmpR_RcsB	rob//
Fis_Lrp	xylR//folA//moeA//uxuR//carA//pstC//proP//fadE//cyoC//
Fis_MazE_MazE-MazF	mazF//
Fis_NarL	nrdF//
Fis_NarL_NarP_NsrR	hyaE//metH//
Fis_PurR	serC//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	caiC//nemR//ogt//
FliZ_RutR	cyoB//
Fur_H-NS	tolC//cydC//nrdF//ygeA//pstA//dsdA//nrfE//nuoF//hisQ//srlD//ulaD//proX//sodB//
Fur_IHF_IscR_NsrR_OxyR	pncB//hycA//qseB//hypB//edd//rbsR//
Fur_IscR_NrdR	galT//rtcB//gntU//cusC//
Fur_MetR	emrK//
Fur_MntR	guaB//
Fur_MntR_OxyR	glpQ//
Fur_OxyR	cysU//
Fur_PurR	cas2//yjbG//
Fur_RcnR	hupA//crr//
Fur_RutR	bglJ//
Fur_SoxS_Zur	nagA//
Fur_YqjI	rrlC//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	pdeR//murQ//
GadE-RcsB_H-NS	gatB//
GadE-RcsB_PhoB	mpl//
GadE-RcsB_Rob	fliK//
GadE_GadX_H-NS_PhoP_RcsB	fixC//
GadE_H-NS_Lrp_NsrR	gloA//
GadE_H-NS_MatA	dinI//
GadE_H-NS_RcsAB	ygbA//
GadE_MarA_PurR	hyfA//
GadW_GadX_RcsB	cusC//
GalR_GalS	yqjI//
GlrR_IHF	glnP//
H-NS_IHF	gcvH//rrlE//glnK//
H-NS_IHF_Lrp	zinT//prfA//nfsA//narX//appY//ilvE//norW//
H-NS_LeuO	cysP//ptsH//
H-NS_LeuO_RcsB-BglJ_StpA	rbsR//
H-NS_LrhA_Lrp	hcr//
H-NS_Lrp	gadW//feoA//
H-NS_Lrp_NhaR_RcsB	poxB//
H-NS_Lrp_StpA	bglB//
H-NS_McbR	yedX//pstB//malX//
H-NS_NhaR	mhpF//gabD//
H-NS_OmpR	ugpE//
H-NS_PhoB_RcdA_RstA	relA//
HU_IHF_TrpR_TyrR	mhpB//
HU_IHF_TyrR	mhpB//
HigA_HigB-HigA	fdhF//nusA//
HipAB_HipB_IHF	fes//hokD//
HypT_MetJ	cadB//pspE//purH//
HypT_MetJ_PhoP	glpB//yeiL//
IHF_Lrp	glgC//nrfG//tcyJ//cysG//nupC//yiaM//fixC//hybE//
IHF_NsrR	nagE//
IHF_NtrC	katE//malF//
IHF_PhoP	rimK//
IHF_PspF	codA//araH//hha//edd//xylG//hisJ//
IHF_RcsAB	cspE//gatD//aldB//dnaN//
IHF_RtcR	aceB//creD//
IHF_TyrR	exuT//
IHF_UlaR	glcC//
LexA_MraZ_PdhR	sulA//hybC//csrC//sufB//astB//yjjQ//ssuA//ydhX//norV//xylG//tdcB//
LexA_MraZ_PdhR_RcsB_SdiA	hyfR//gspJ//
LexA_MraZ_PdhR_SdiA	ackA//
LexA_NagC	metQ//
LexA_RcdA	pdeL//
LexA_RcsB-BglJ	hcp//
MarA_OxyR_Rob_SoxS	srlA//ileT//caiT//citE//
MarA_PhoP_Rob_SoxS	xylB//sra//fimF//ilvE//
MarA_Rob_SoxS	glgC//psiE//rpoE//paaZ//accB//
MarA_SoxS	nrfA//mraZ//paaC//gatD//betT//
MetJ_MetR	nanM//yhiD//
MetJ_OxyR	cas2//rrfD//
MetR_PurR	fadA//
MraZ_PdhR	gadX//accB//
Nac_PurR	safA//fixA//
NarL_TorR	mtlD//pgaA//fixA//
NemR_RutR	lsrG//ompC//paaB//
NhaR_OmpR	sgbU//serA//argO//bamE//
NorR_NsrR	fimD//
NsrR_PhoB	rpsJ//
OxyR_SoxS	cspD//
PdhR_PhoP	proW//
PgrR_TyrR	yrbL//
PhoB_PhoP	fadB//
PhoP_PurR_RbsR	narX//pck//
RelB_RelB-RelE	rseC//appX//gadW//
TrpR_TyrR	gabP//nhaR//dmsA//
YefM_YefM-YoeB	narH//hypE//
