#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	hypC//sgbU//
ArgR_NtrC	rutE//moeB//murC//rpoS//lpxD//
ArgR_PhoP	nemR//
AscG_CRP	prpC//narH//rrfC//
AscG_CRP_PhoB_PrpR	cysG//
AsnC_MraZ_Nac	betI//
AsnC_Nac	pgaA//chbG//
AtoC_IHF	rplT//hokD//envZ//fdhF//
BaeR_CpxR	fimH//idnD//rutD//ascF//ccmE//gspO//ftsQ//
BaeR_CpxR_EvgA	dcuR//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	nikE//fucA//fucU//nuoA//
BasR_CpxR_PdhR	glpA//oppD//
BasR_Fis	accC//
BasR_H-NS_IHF_NagC_NanR	ybjC//
BasR_MarA_PutA	phoQ//
BasR_PhoP	narJ//
BasR_QseB	csiE//ackA//
CRP_CaiF_FNR	csiE//tauD//pncB//acrB//
CRP_ChbR_NagC	oppD//ftsZ//galM//ilvE//purR//higB//
CRP_ComR	srlE//
CRP_CpxR	pstA//
CRP_CpxR_CytR	dadX//
CRP_CpxR_CytR_DnaA_IHF	rhaS//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	treB//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	aceB//nuoH//deoD//stpA//
CRP_Cra	mdtC//guaB//serC//narG//rplW//moaA//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	bolA//hmp//pheM//hipA//
CRP_Cra_FNR_PdhR	mntP//
CRP_Cra_Fis	fdhF//
CRP_Cra_Fis_GlcC	murC//
CRP_Cra_Fis_MtlR	rimP//rrsB//cadB//
CRP_Cra_Mlc_NagC	puuE//acrB//mdtC//cydA//paaZ//cyoE//
CRP_Cra_PrpR	idnO//tyrR//gadF//tpx//
CRP_CreB_Fis_MalT	tdcF//argD//chbR//
CRP_CsiR_H-NS_Lrp	tomB//gltB//
CRP_CsiR_H-NS_Lrp_Nac	fepE//cydB//lsrF//
CRP_CspA_Fis	baeS//
CRP_CytR	hipA//ybjN//soxR//
CRP_CytR_DeoR	creD//mntH//
CRP_CytR_DeoR_Fis_ModE	ulaC//glnG//chbG//cyoE//
CRP_CytR_Nac	hyfJ//
CRP_CytR_NsrR	sroD//
CRP_DcuR_FNR_NarL	aceA//
CRP_DinJ-YafQ	idnO//
CRP_DnaA_Fis_PurR	citF//sdhD//
CRP_DpiA_ExuR	sdhB//
CRP_DsdC	srlR//ubiA//
CRP_EbgR	puuP//yjjQ//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	gutQ//mglB//
CRP_ExuR	tyrR//
CRP_ExuR_FNR	mglA//glyA//
CRP_ExuR_OxyR_UxuR	malP//rpoH//
CRP_ExuR_UxuR	fes//
CRP_FNR	rnpB//
CRP_FNR_FhlA_HyfR	fumA//pflB//gadB//tdcE//prmC//mtlA//dnaA//fadJ//hyfH//nrdI//hydN//uspA//
CRP_FNR_Fis	manX//bglF//proX//
CRP_FNR_Fis_GlpR_IHF	glnD//ccmH//
CRP_FNR_Fis_H-NS_SlyA	proP//
CRP_FNR_GcvA_Lrp_PurR	cysI//glnQ//pgaA//
CRP_FNR_H-NS_NarL	nrfD//
CRP_FNR_IHF_TdcA_TdcR	araA//fimC//cusR//hyfH//rbsK//rrfC//lsrG//
CRP_FNR_NarL	fliZ//lldD//ulaF//
CRP_FeaR_NsrR	aidB//
CRP_Fis	gcd//fpr//napB//ddlB//acnA//
CRP_Fis_FlhDC_GalR_GalS	inaA//nuoG//
CRP_Fis_FliZ_IHF_Lrp	idnO//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	tauA//nuoC//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	murQ//nhaA//ptsI//
CRP_Fis_IHF	pstA//dppA//casC//rpmC//oxyR//
CRP_Fis_NanR	dcuD//caiD//nrfB//puuR//melR//
CRP_Fis_NtrC	malF//gspM//caiD//
CRP_Fis_XylR	gltD//ompR//sgbH//
CRP_FlhDC_GalR_GalS	zraS//
CRP_FucR	csgC//adhE//malP//hyaD//dsdX//murQ//ilvM//
CRP_Fur	rrsD//higA//rimP//xylF//fdnG//sra//melR//srlB//hypB//
CRP_Fur_HypT_PdhR	tolC//waaZ//prmC//rpsO//ygeA//
CRP_Fur_OxyR_SoxS	chbA//
CRP_GalR_GalS	xylA//
CRP_GalR_GalS_H-NS_HU	nanT//glcB//acrZ//yjiY//
CRP_GalR_GalS_NagC	mtr//
CRP_GlpR	cysA//pqiA//nfsB//
CRP_GntR	ilvH//rprA//
CRP_GntR_IdnR	nanT//icd//csiD//ccmH//lsrA//lpd//mnmG//
CRP_GntR_IscR	actP//
CRP_GutM_GutR_H-NS	prpC//tauB//serC//truB//fimH//hybF//guaA//
CRP_H-NS	malE//
CRP_H-NS_HipAB_HipB_NtrC	pdeR//
CRP_H-NS_LacI	cydD//napD//aspA//
CRP_H-NS_LeuO	fhlA//dgcZ//hyaF//deoB//xylG//pqiB//hisM//
CRP_H-NS_MqsA	yaiA//
CRP_IHF	srlB//iclR//mlc//gadF//
CRP_IHF_MprA_OmpR	xylR//
CRP_IHF_NsrR	mdtA//
CRP_IHF_PaaX	hemA//yjbG//nuoF//hycG//frdC//paaD//chbC//gyrA//ssuE//hyfF//trg//cydC//
CRP_IHF_UlaR	lsrA//tauB//uxaB//rbsC//carA//pncB//
CRP_IHF_YiaJ	norW//gadB//nuoG//nikC//fau//ynfK//ssuA//puuP//lacY//emrK//
CRP_LexA	napF//
CRP_Lrp	ilvL//fixA//rutC//hdeB//
CRP_Lrp_Mlc	idnO//
CRP_Lrp_Nac	ptsH//
CRP_LsrR	fadJ//treB//manZ//tcyJ//sodB//prmC//nuoJ//gspC//fliF//
CRP_MalI	prpB//fadH//fis//
CRP_MalT	pgaD//ansB//icd//
CRP_MalT_PhoP	fabB//
CRP_MelR	appA//adhE//aspC//
CRP_MetJ	hyfD//
CRP_MhpR	citG//ppiA//acrE//ybjN//creD//caiD//
CRP_Mlc	melA//nagA//
CRP_ModE	ulaB//pnp//pqiB//
CRP_MurR	agaA//pstC//
CRP_Nac_NsrR_PhoB	gadX//
CRP_NadR	ssb//
CRP_NagC	hyaF//galM//pck//pstS//ugpE//chiP//
CRP_NagC_NanR	paaH//dusB//mraZ//
CRP_NagC_PhoP	alaU//
CRP_OxyR	accC//
CRP_OxyR_UxuR	sucC//
CRP_PhoB	nrdI//nikA//aroG//safA//lysA//galE//
CRP_PhoP	frdD//fucU//ydhT//
CRP_PutA	malM//
CRP_RbsR	dcuB//accC//glpQ//rutA//aceF//hybG//
CRP_RhaR_RhaS	ulaF//katG//
CRP_RhaS	yaiA//ydeN//chbG//
CRP_Rob	lsrA//
CRP_TorR	flhC//exuT//hycE//
CRP_UhpA_UvrY	accB//
CRP_UidR_UxuR	ulaB//ccmD//murQ//
CRP_UvrY	lysP//
CRP_YehT	icd//
CRP_ZraR	ccmC//nagC//
CadC_FNR_H-NS_LeuO_MlrA	aer//
Cbl_CysB	serC//hipA//fixA//sroD//
Cbl_CysB_FNR_IHF	araD//nuoB//betT//deoD//idnD//
CdaR_FNR_Fis_Fur_H-NS	ebgC//
CdaR_FNR_Fur_H-NS	hyfF//puuE//gspG//waaZ//
CpxR_CsgD_FliZ	ydeM//glpD//waaY//
CpxR_CysB	ftsZ//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	guaB//
CpxR_GadE	ybjC//rsmH//rnpB//argG//
CpxR_H-NS	poxB//
CpxR_NsrR	fliA//
CpxR_RcsB	betI//
CpxR_TyrR	manZ//
Cra_FNR_Fis_Lrp_NarL	fumB//
Cra_FNR_Fur_MarA_Rob_SoxS	glcE//
Cra_FhlA_FlhDC	hyaF//
Cra_GntR_KdgR	pspA//
Cra_GntR_KdgR_PhoB	nhaA//
Cra_MarA_SoxS	rnpB//
Cra_PdeL	appX//
Cra_SgrR	tpx//yfaE//fadE//
Cra_TyrR	paaK//
CreB_NagC	hypE//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	casA//
CsgD_FlhDC	mdtA//rplV//frdC//sodB//ulaG//dmsB//gltW//fixA//ycdZ//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	idnO//hipB//
CspA_Fis_GadX_H-NS	dpiB//
CueR_FNR_ModE	astD//ftsQ//recF//cirA//rutE//
CusR_PhoB_YedW	deoA//metL//prpD//glpQ//mtr//hycF//grcA//
CysB_H-NS	nrfC//lsrK//ccmE//gadC//puuD//
CysB_HypT_IHF	mioC//
CysB_IHF	cdd//evgA//
CysB_NtrC	dctR//
CysB_PhoP	umpH//
DcuR_FNR_NarL	chbG//rplM//fpr//dcuB//
DinJ-YafQ_LexA	feoB//gcvP//
DpiA_H-NS	ebgA//
DsdC_NsrR	fhlA//
EvgA_FNR	dadX//prpD//
EvgA_H-NS	srlR//caiE//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	feaR//
EvgA_H-NS_PhoP_RcsB_YdeO	paaI//
EvgA_PhoP_RcsB_YdeO	hycG//
ExuR_UxuR	ccmH//glcB//
FNR_FhlA_IHF_NsrR	ccmD//sucD//gntX//murF//serA//
FNR_FhlA_NarL_NarP	rcnB//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	gutQ//cyoD//sbmC//araB//casD//cspE//rpoS//
FNR_Fis_IHF_ModE_NarL	zraS//mglB//dnaA//
FNR_Fis_IHF_NarL	proV//
FNR_Fis_IHF_NarL_RstA	rrfC//cysA//hybD//icd//
FNR_FlhDC	degP//
FNR_FlhDC_IscR_ModE_NarL_NarP	evgA//lyxK//relB//frdA//lsrD//cyaR//aspA//
FNR_FlhDC_ModE_NarL_NarP	rseA//uof//ynfG//galT//carB//ilvG_2//uxaA//cyoC//
FNR_Fur	nemR//ssb//
FNR_Fur_GadE	ddlB//
FNR_Fur_GadX_NtrC	pgaB//galP//
FNR_Fur_H-NS	sulA//bglB//rrfF//fis//
FNR_Fur_MetR_NsrR	leuO//
FNR_Fur_Nac_NtrC	nuoG//
FNR_Fur_NagC	skp//ompC//appY//
FNR_Fur_OxyR	deoC//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	nfo//
FNR_H-NS	cydB//pgk//
FNR_H-NS_NrdR	hycD//ccmG//
FNR_IHF	ydhT//patA//fucP//astE//ulaC//
FNR_IHF_Lrp_YeiL	yhiD//
FNR_IHF_NarL_NarP_NorR	betA//tauA//
FNR_IHF_PhoB	casC//spy//nrdF//nirB//nrdB//
FNR_MalT	micF//hycH//
FNR_ModE	ybjN//ilvG_2//
FNR_NarL	ydeM//caiE//rplC//purM//nanK//gntP//
FNR_NarL_NarP	glpQ//marA//dinJ//rpsO//hybA//narX//cusA//sufE//entB//
FNR_NarL_NarP_NsrR	galS//
FNR_NarL_NarP_NsrR_OxyR	hcp//fepB//
FNR_NarL_NikR	glpC//fliJ//ompR//fimG//rrsE//nuoG//
FNR_NsrR	glpX//fliI//ptsG//
FNR_OxyR	puuR//
FNR_PurR	malP//dsdC//
FNR_YqjI	glcE//
FabR_FadR	rrfC//yhiD//
FadR_IHF	asr//
FadR_IclR	acnB//
FhlA_FlhDC	rtcA//
FhlA_IHF_ModE_NsrR	ulaD//ilvE//hycA//betB//bolA//nikC//codA//slp//ilvL//
FhlA_IHF_NsrR	paaF//
Fis_Fur	hyfE//
Fis_H-NS	actP//
Fis_H-NS_IHF_MntR_OxyR	glcG//
Fis_H-NS_Lrp	rimP//fepA//ddlB//fixC//rrfG//fadL//lpd//metB//lpxA//ydhX//sufE//cydA//ebgC//xylA//rhaD//ompR//ybdN//nuoA//nuoB//csrC//fucP//alaT//fur//glpT//
Fis_H-NS_Lrp_StpA	ssuD//lldP//
Fis_IHF	purH//
Fis_IHF_NtrC	cadB//fucR//
Fis_IHF_OmpR_RcsB	dctR//
Fis_Lrp	fadB//yciG//rcnB//fpr//nuoL//ssuA//lpxD//ccmF//sgbU//
Fis_MazE_MazE-MazF	fixC//
Fis_NarL	hybE//
Fis_NarL_NarP_NsrR	ulaB//emrK//
Fis_PurR	csiD//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	glnG//nikD//lacY//
FliZ_RutR	csgD//
Fur_H-NS	mdtB//rrfC//hipA//hemA//melB//ilvL//dcuC//narG//dpiA//feoA//hybC//murQ//mnmG//
Fur_IHF_IscR_NsrR_OxyR	csgF//osmY//hisM//iraM//cyoA//nrdF//
Fur_IscR_NrdR	pgaB//molR_1//nirC//rbsR//
Fur_MetR	murG//
Fur_MntR	narL//
Fur_MntR_OxyR	rutA//
Fur_OxyR	gntU//
Fur_PurR	ftnA//murQ//
Fur_RcnR	lsrC//cspE//
Fur_RutR	nanT//
Fur_SoxS_Zur	rhaA//
Fur_YqjI	rplP//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	uidA//cydC//
GadE-RcsB_H-NS	yrbL//
GadE-RcsB_PhoB	napD//
GadE-RcsB_Rob	hyfJ//
GadE_GadX_H-NS_PhoP_RcsB	nmpC//
GadE_H-NS_Lrp_NsrR	metY//
GadE_H-NS_MatA	tdcG//
GadE_H-NS_RcsAB	pspD//
GadE_MarA_PurR	infB//
GadW_GadX_RcsB	glnD//
GalR_GalS	marR//
GlrR_IHF	fliH//
H-NS_IHF	napA//gltV//gspC//
H-NS_IHF_Lrp	nuoI//tauA//hns//tdcG//ogt//focB//lpxC//
H-NS_LeuO	nrfF//gspJ//
H-NS_LeuO_RcsB-BglJ_StpA	ugpE//
H-NS_LrhA_Lrp	ccmA//
H-NS_Lrp	melA//paaC//
H-NS_Lrp_NhaR_RcsB	prfA//
H-NS_Lrp_StpA	ugpC//
H-NS_McbR	dpiB//idnO//envZ//
H-NS_NhaR	yjiY//rutE//
H-NS_OmpR	cyoC//
H-NS_PhoB_RcdA_RstA	gltU//
HU_IHF_TrpR_TyrR	cysI//
HU_IHF_TyrR	hypB//
HigA_HigB-HigA	aspC//glcF//
HipAB_HipB_IHF	metR//fes//
HypT_MetJ	paaH//cysJ//mdtC//
HypT_MetJ_PhoP	nrdI//appC//
IHF_Lrp	ileV//fadE//fadA//malE//ybiT//astC//psiE//galP//
IHF_NsrR	hyfI//
IHF_NtrC	dmsC//ftsA//
IHF_PhoP	flgN//
IHF_PspF	rrlG//mraY//waaZ//mazE//ccmE//nuoF//
IHF_RcsAB	araB//tyrP//ascF//aceK//
IHF_RtcR	galK//fepA//
IHF_TyrR	glpA//
IHF_UlaR	nuoN//
LexA_MraZ_PdhR	fumA//nanC//ssb//tdcB//yiaM//hisP//chbA//glcA//metI//gatZ//rbsA//
LexA_MraZ_PdhR_RcsB_SdiA	thrV//nusA//
LexA_MraZ_PdhR_SdiA	sufD//
LexA_NagC	gltD//
LexA_RcdA	dppB//
LexA_RcsB-BglJ	gadW//
MarA_OxyR_Rob_SoxS	entC//spy//rutE//tomB//
MarA_PhoP_Rob_SoxS	mazF//metE//murE//nikA//
MarA_Rob_SoxS	aroL//hyfF//purM//uxuR//hdeB//
MarA_SoxS	cysW//dps//rbsD//metB//prmC//
MetJ_MetR	citD//deoA//
MetJ_OxyR	frdD//nfsA//
MetR_PurR	crp//
MraZ_PdhR	argO//zwf//
Nac_PurR	acnA//pflB//
NarL_TorR	dgcZ//marR//ahpF//
NemR_RutR	cysP//tdcG//paaC//
NhaR_OmpR	cydD//cysJ//xylA//gltV//
NorR_NsrR	torC//
NsrR_PhoB	nirC//
OxyR_SoxS	casC//
PdhR_PhoP	sbmC//
PgrR_TyrR	dsdX//
PhoB_PhoP	caiB//
PhoP_PurR_RbsR	yaiA//argO//
RelB_RelB-RelE	moaC//malE//nuoB//
TrpR_TyrR	spy//rrsD//malY//
YefM_YefM-YoeB	dnaA//pdeL//
