#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	hisJ//fucR//
ArcA_CRP_GatR	lpxA//ccmB//pgaD//ompR//cadA//yiaJ//
ArcA_CRP_GlpR	yjjQ//
ArcA_CRP_IHF	micF//
ArcA_CRP_PuuR	dppF//lysP//mntP//tauC//putP//
ArcA_CRP_RhaS	setA//
ArcA_CRP_TreR	pyrD//cyoD//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	rsmH//relB//
ArcA_Cra	fucP//
ArcA_Cra_FNR_H-NS_HypT	dgcZ//nuoH//
ArcA_CysB_FNR	marA//
ArcA_FNR	citF//lpxA//asnC//glcD//gadC//pstC//psiE//rbsD//fes//phoU//waaY//rbfA//pspD//pdeR//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	focB//
ArcA_FNR_Fis_IHF_NarL	nikA//srlD//metN//higB//fepB//caiT//dsdX//ilvX//hycA//hypC//crp//fucU//crp//
ArcA_FNR_Fur_IHF	exuT//
ArcA_FNR_IHF	fepE//norV//ftsL//
ArcA_FNR_IHF_NarL	eda//rcnB//
ArcA_FNR_NarL	srlR//rbsR//bglF//osmY//
ArcA_FNR_PhoP	hdeD//
ArcA_FNR_PuuR	rrsH//marA//
ArcA_FadR	nrfD//hypC//nirD//
ArcA_FadR_Fis	chbF//rrlH//
ArcA_Fur_Lrp_ModE	fimH//hupB//glnD//fecB//nikD//
ArcA_GlcC_IHF_PdhR	glnG//caiT//sroD//aldA//fumB//rplD//
ArcA_LexA	fadJ//focA//
ArcA_LldR	molR_1//galM//srlB//
ArcA_NarL	serA//fur//rhaR//cspE//ssuD//fucR//rhaA//dppC//
ArcA_NtrC_PhoP_RutR	casE//appB//fucR//rplP//entC//marR//dps//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	epd//treB//uxuR//
ArgP_CRP_FNR_Fur_Nac	hypE//
ArgP_DnaA	hybG//aroA//uof//
ArgP_Lrp	asr//ssrS//
ArgP_LysR	pgaC//
ArgP_PhoB	umpH//
ArgR_CRP	nrfF//
ArgR_CRP_Fis	mhpC//nhaR//lhgO//ihfA//nuoE//oppD//uof//murD//
ArgR_Fis_IHF_PepA_PurR_RutR	nrdD//treB//
ArgR_H-NS_NtrC	atoD//cas1//cyoC//marR//
ArgR_NtrC	rbsK//dmsD//garL//dmsC//yoeB//
ArgR_PhoP	garR//
AscG_CRP	pdeL//nanM//cysB//
AscG_CRP_PhoB_PrpR	narL//
AsnC_MraZ_Nac	glcE//
AsnC_Nac	ebgA//murE//
AtoC_IHF	norV//malT//metL//asnC//
BaeR_CpxR	gspM//degP//entD//lsrR//nhaR//nuoI//mnmG//
BaeR_CpxR_EvgA	rplP//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	acrD//csiE//ssuC//caiD//
BasR_CpxR_PdhR	rutE//mdtD//
BasR_Fis	yhjA//
BasR_H-NS_IHF_NagC_NanR	nanC//
BasR_MarA_PutA	glmY//
BasR_PhoP	purR//
BasR_QseB	rhaA//hemL//
CRP_CaiF_FNR	ygbA//sufC//yciF//glpC//
CRP_ChbR_NagC	caiE//nrfF//araB//fdnI//ihfA//rhaD//
CRP_ComR	paaC//
CRP_CpxR	hemA//
CRP_CpxR_CytR	acrD//
CRP_CpxR_CytR_DnaA_IHF	narJ//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	hybB//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	srlD//norW//glgP//relE//
CRP_Cra	ydeM//sgrT//hemA//ascB//fadH//ydhU//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	setA//sdhB//nfo//feaB//
CRP_Cra_FNR_PdhR	safA//
CRP_Cra_Fis	paaC//
CRP_Cra_Fis_GlcC	ssuC//
CRP_Cra_Fis_MtlR	ileV//ascB//nac//
CRP_Cra_Mlc_NagC	rrsE//tauC//ydhV//manY//garP//yeaR//
CRP_Cra_PrpR	atoA//purH//sufA//rutE//
CRP_CreB_Fis_MalT	putP//glnD//glpF//
CRP_CsiR_H-NS_Lrp	rpsJ//fdnG//
CRP_CsiR_H-NS_Lrp_Nac	nhaR//ahpC//tnaC//
CRP_CspA_Fis	fimA//
CRP_CytR	gntK//truB//ygiB//
CRP_CytR_DeoR	araE//napF//
CRP_CytR_DeoR_Fis_ModE	bglF//bolA//yoaG//manX//
CRP_CytR_Nac	ilvH//
CRP_CytR_NsrR	fdhF//
CRP_DcuR_FNR_NarL	codB//
CRP_DinJ-YafQ	eda//
CRP_DnaA_Fis_PurR	cyoD//gabD//
CRP_DpiA_ExuR	ileV//
CRP_DsdC	sufS//hemL//
CRP_EbgR	cusF//paaZ//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	lacZ//atoA//
CRP_ExuR	ompR//
CRP_ExuR_FNR	pgaC//mdtB//
CRP_ExuR_OxyR_UxuR	cdd//gabP//
CRP_ExuR_UxuR	malT//
CRP_FNR	nanA//
CRP_FNR_FhlA_HyfR	torD//hyaA//nuoN//ascF//tdcE//dpiA//gabP//fixA//ygiA//citF//fbaA//nuoJ//
CRP_FNR_Fis	ilvE//ldtB//metN//
CRP_FNR_Fis_GlpR_IHF	gatB//cusS//
CRP_FNR_Fis_H-NS_SlyA	mhpB//
CRP_FNR_GcvA_Lrp_PurR	aceB//acrA//yafQ//
CRP_FNR_H-NS_NarL	casB//
CRP_FNR_IHF_TdcA_TdcR	citX//napF//puuD//ugpA//galP//nikR//fau//
CRP_FNR_NarL	ssuC//pgaA//manY//
CRP_FeaR_NsrR	zraR//
CRP_Fis	ulaF//metR//glpT//galS//rrsD//
CRP_Fis_FlhDC_GalR_GalS	flhD//marR//
CRP_Fis_FliZ_IHF_Lrp	tauB//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	lldR//norV//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	garL//yeaR//yciG//
CRP_Fis_IHF	malI//nmpC//fliK//acrD//deoD//
CRP_Fis_NanR	exuT//rrsH//rtcA//ilvM//gloA//
CRP_Fis_NtrC	lpxD//asnC//frdD//
CRP_Fis_XylR	bglJ//hemL//deoD//
CRP_FlhDC_GalR_GalS	rutD//
CRP_FucR	tdcD//nuoL//exuT//tnaA//mntP//gyrA//pdhR//
CRP_Fur	nagE//aceE//nfsB//nirB//nirD//malX//katG//pspD//sodA//
CRP_Fur_HypT_PdhR	ptsH//sra//sra//flhC//oppB//
CRP_Fur_OxyR_SoxS	acrF//
CRP_GalR_GalS	dcuA//
CRP_GalR_GalS_H-NS_HU	ugpB//tomB//feoA//malK//
CRP_GalR_GalS_NagC	yiaL//
CRP_GlpR	yciE//gatZ//sucB//
CRP_GntR	dinJ//feoC//
CRP_GntR_IdnR	ackA//hemA//gspG//caiB//sgrS//cyoD//feoC//
CRP_GntR_IscR	tomB//
CRP_GutM_GutR_H-NS	malF//fdnG//cysH//pyrD//nrfC//baeS//ydhU//
CRP_H-NS	gspC//
CRP_H-NS_HipAB_HipB_NtrC	nuoL//
CRP_H-NS_LacI	hipA//betA//fimE//
CRP_H-NS_LeuO	lsrG//bamE//nuoL//glgP//paaE//ycdZ//argP//
CRP_H-NS_MqsA	bglG//
CRP_IHF	aceB//thrV//cadA//sdhA//
CRP_IHF_MprA_OmpR	idnO//
CRP_IHF_NsrR	atoA//
CRP_IHF_PaaX	skp//treC//lpxA//mglA//soxS//rplT//dsdC//ygiC//gabT//hycB//glpD//betA//
CRP_IHF_UlaR	fhlA//entF//ahpF//cusB//ugpC//paaG//
CRP_IHF_YiaJ	tdcG//nfo//ulaD//yjjQ//tomB//mtlA//gadF//fliA//proV//galP//
CRP_LexA	evgA//
CRP_Lrp	gltU//gatC//hyaF//lpxC//
CRP_Lrp_Mlc	puuP//
CRP_Lrp_Nac	atoD//
CRP_LsrR	ahpF//mraY//hypD//pgaD//torA//nirB//frdA//mdtF//metK//
CRP_MalI	metN//gltF//mhpC//
CRP_MalT	ileT//cyoD//inaA//
CRP_MalT_PhoP	atoE//
CRP_MelR	napB//gspJ//hyfD//
CRP_MetJ	rpsC//
CRP_MhpR	hydN//moaB//fepA//ugpC//safA//hybD//
CRP_Mlc	kbaZ//cydA//
CRP_ModE	rrsA//gatB//degP//
CRP_MurR	ssuB//ynfK//
CRP_Nac_NsrR_PhoB	appY//
CRP_NadR	glyA//
CRP_NagC	glpQ//ogt//safA//oppC//appY//csrC//
CRP_NagC_NanR	ccmF//casB//hycD//
CRP_NagC_PhoP	rnpB//
CRP_OxyR	araH//
CRP_OxyR_UxuR	nrdB//
CRP_PhoB	pyrC//yeiL//rnpB//rtcA//gnd//osmE//
CRP_PhoP	phoU//gcd//hycA//
CRP_PutA	glpD//
CRP_RbsR	gcd//fabA//paaG//rrsD//rcnB//caiT//
CRP_RhaR_RhaS	ygeA//mdh//
CRP_RhaS	feoA//mdtD//frdB//
CRP_Rob	sdhD//
CRP_TorR	patA//pspE//ssuE//
CRP_UhpA_UvrY	rutA//
CRP_UidR_UxuR	ldtB//garP//rutD//
CRP_UvrY	gspI//
CRP_YehT	glpX//
CRP_ZraR	melB//pqiB//
CadC_FNR_H-NS_LeuO_MlrA	sulA//
Cbl_CysB	chiP//nrdI//ilvL//lysA//
Cbl_CysB_FNR_IHF	tyrR//aroG//gutQ//glcC//rpoH//
CdaR_FNR_Fis_Fur_H-NS	aspA//
CdaR_FNR_Fur_H-NS	ydhY//hyfI//fimI//hupA//
CpxR_CsgD_FliZ	gadX//hycH//argO//
CpxR_CysB	baeS//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	paaG//
CpxR_GadE	cyoD//frdB//ugpC//pspA//
CpxR_H-NS	rrsE//
CpxR_NsrR	csgB//
CpxR_RcsB	rnpB//
CpxR_TyrR	ogt//
Cra_FNR_Fis_Lrp_NarL	paaD//
Cra_FNR_Fur_MarA_Rob_SoxS	cydD//
Cra_FhlA_FlhDC	napF//
Cra_GntR_KdgR	codB//
Cra_GntR_KdgR_PhoB	glpB//
Cra_MarA_SoxS	bolA//
Cra_PdeL	hybD//
Cra_SgrR	mglA//xylG//nanT//
Cra_TyrR	iraM//
CreB_NagC	nrdB//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	qseC//
CsgD_FlhDC	uspA//tyrP//nikE//acnA//glpB//yoaG//dmsB//cysP//ygiB//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	mazF//srlA//
CspA_Fis_GadX_H-NS	atoE//
CueR_FNR_ModE	rrfH//glpT//putP//cydC//rrfE//
CusR_PhoB_YedW	cyoC//csgD//hypF//fdnH//tyrP//araA//sufE//
CysB_H-NS	entD//mraY//pstC//norR//gltV//
CysB_HypT_IHF	rutC//
CysB_IHF	nrdE//hyfR//
CysB_NtrC	mdtB//
CysB_PhoP	nuoA//
DcuR_FNR_NarL	fdnI//mazF//ackA//flhD//
DinJ-YafQ_LexA	lpd//citF//
DpiA_H-NS	hisM//
DsdC_NsrR	atoD//
EvgA_FNR	appA//pqiA//
EvgA_H-NS	hyfJ//ynfH//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	napD//
EvgA_H-NS_PhoP_RcsB_YdeO	nanM//
EvgA_PhoP_RcsB_YdeO	dppF//
ExuR_UxuR	gspL//hycE//
FNR_FhlA_IHF_NsrR	rseA//glnG//glnH//ynfK//prmC//
FNR_FhlA_NarL_NarP	chiP//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	malQ//hyfI//mntP//gltA//cysG//tcyJ//nfsB//
FNR_Fis_IHF_ModE_NarL	cas1//deoB//ydeN//
FNR_Fis_IHF_NarL	galE//
FNR_Fis_IHF_NarL_RstA	hybA//nupC//mazF//galP//
FNR_FlhDC	atoB//
FNR_FlhDC_IscR_ModE_NarL_NarP	nirD//aroG//fadB//fadE//emrY//ydeN//sucB//
FNR_FlhDC_ModE_NarL_NarP	fimC//marA//iclR//entC//uidC//ydhV//pncB//glcE//
FNR_Fur	malQ//rrsB//
FNR_Fur_GadE	tdcG//
FNR_Fur_GadX_NtrC	ydhU//nuoF//
FNR_Fur_H-NS	dmsD//ybiT//napC//malS//
FNR_Fur_MetR_NsrR	yjcH//
FNR_Fur_Nac_NtrC	ugpC//
FNR_Fur_NagC	hyaF//fliE//fixX//
FNR_Fur_OxyR	ebgC//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	hisP//
FNR_H-NS	xylA//lrp//
FNR_H-NS_NrdR	gatC//purM//
FNR_IHF	oppD//paaC//edd//nrfE//manZ//
FNR_IHF_Lrp_YeiL	hypA//
FNR_IHF_NarL_NarP_NorR	uvrA//atoD//
FNR_IHF_PhoB	sdhB//galT//metL//rutF//citG//
FNR_MalT	sgbU//argG//
FNR_ModE	napB//cadB//
FNR_NarL	nuoK//alaU//dinJ//osmE//fixC//melR//
FNR_NarL_NarP	cysM//ygiC//gadF//rrsD//glnQ//gcvP//uspA//higA//murG//
FNR_NarL_NarP_NsrR	fadB//
FNR_NarL_NarP_NsrR_OxyR	hyfR//citG//
FNR_NarL_NikR	rutF//hypF//cyoE//zraR//lamB//gutQ//
FNR_NsrR	rbsB//nirB//lsrA//
FNR_OxyR	fadB//
FNR_PurR	acrF//nuoJ//
FNR_YqjI	degP//
FabR_FadR	sufB//citE//
FadR_IHF	tdcG//
FadR_IclR	truB//
FhlA_FlhDC	nanT//
FhlA_IHF_ModE_NsrR	yiaN//dpiA//ynfH//lrp//codA//araC//fimA//gltD//csiE//
FhlA_IHF_NsrR	glpD//
Fis_Fur	marR//
Fis_H-NS	dadA//
Fis_H-NS_IHF_MntR_OxyR	gcvH//
Fis_H-NS_Lrp	micF//nrfD//lsrF//cyoB//sgbE//napD//nuoF//lsrR//pspB//prpR//yedX//ptsI//rseC//gntK//rhaS//emrY//cspI//caiT//oppA//malE//aroG//thrV//dinJ//dppA//
Fis_H-NS_Lrp_StpA	dcuS//fiu//
Fis_IHF	rbfA//
Fis_IHF_NtrC	lamB//nrdI//
Fis_IHF_OmpR_RcsB	gnd//
Fis_Lrp	glnK//purH//ulaD//moaE//hisM//ftsW//rrlG//uxuA//napD//
Fis_MazE_MazE-MazF	ascF//
Fis_NarL	uxuR//
Fis_NarL_NarP_NsrR	moeB//cysB//
Fis_PurR	gadB//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	yjbH//mdtC//chbA//
FliZ_RutR	sra//
Fur_H-NS	yciE//atoB//rtcA//dcuR//ahpF//cytR//rbsB//dcuR//ybdN//adiC//nanC//glpQ//cas2//
Fur_IHF_IscR_NsrR_OxyR	mtr//mdtA//prpB//napG//lpd//dadA//
Fur_IscR_NrdR	fadL//tauD//aceF//sufB//
Fur_MetR	iraM//
Fur_MntR	putA//
Fur_MntR_OxyR	hemA//
Fur_OxyR	molR_1//
Fur_PurR	fixB//aroA//
Fur_RcnR	focB//entD//
Fur_RutR	ydeM//
Fur_SoxS_Zur	sufC//
Fur_YqjI	cdd//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	pck//ftsW//
GadE-RcsB_H-NS	relA//
GadE-RcsB_PhoB	frdB//
GadE-RcsB_Rob	rimP//
GadE_GadX_H-NS_PhoP_RcsB	napH//
GadE_H-NS_Lrp_NsrR	tdcE//
GadE_H-NS_MatA	cysH//
GadE_H-NS_RcsAB	infB//
GadE_MarA_PurR	sufD//
GadW_GadX_RcsB	xylA//
GalR_GalS	ssuB//
GlrR_IHF	glpA//
H-NS_IHF	ilvX//ugpE//dcuD//
H-NS_IHF_Lrp	puuR//fimG//lacY//gadC//dpiB//galR//prpB//
H-NS_LeuO	yqjH//dsdA//
H-NS_LeuO_RcsB-BglJ_StpA	rhaR//
H-NS_LrhA_Lrp	glcF//
H-NS_Lrp	frdB//sodA//
H-NS_Lrp_NhaR_RcsB	focA//
H-NS_Lrp_StpA	entF//
H-NS_McbR	pdeL//epd//caiD//
H-NS_NhaR	sucA//codA//
H-NS_OmpR	narG//
H-NS_PhoB_RcdA_RstA	yiaO//
HU_IHF_TrpR_TyrR	marB//
HU_IHF_TyrR	cspA//
HigA_HigB-HigA	araD//truB//
HipAB_HipB_IHF	cysP//tsx//
HypT_MetJ	dmsB//evgA//aceA//
HypT_MetJ_PhoP	rutG//hemL//
IHF_Lrp	ascF//fucO//narK//gnd//sra//deoD//gltD//melA//
IHF_NsrR	fadL//
IHF_NtrC	mdtC//yoeB//
IHF_PhoP	yefM//
IHF_PspF	idnD//fecE//ydhT//relB//astD//pqiA//
IHF_RcsAB	murG//nfsA//aer//gntT//
IHF_RtcR	fur//ynfK//
IHF_TyrR	fliF//
IHF_UlaR	nrfF//
LexA_MraZ_PdhR	napF//ybjN//nuoI//rrlA//gntU//rnpB//tpx//glpB//ygbA//entF//mglA//
LexA_MraZ_PdhR_RcsB_SdiA	malI//modC//
LexA_MraZ_PdhR_SdiA	citX//
LexA_NagC	dcuD//
LexA_RcdA	galE//
LexA_RcsB-BglJ	csgC//
MarA_OxyR_Rob_SoxS	evgA//hyfF//cadC//uxuB//
MarA_PhoP_Rob_SoxS	ileT//glnL//cydD//rcnB//
MarA_Rob_SoxS	appY//ycdZ//gntP//fucO//rbsB//
MarA_SoxS	nirD//gnd//lsrB//hdeB//rrlA//
MetJ_MetR	putA//ompC//
MetJ_OxyR	srlB//csgA//
MetR_PurR	hyfI//
MraZ_PdhR	ulaE//gcd//
Nac_PurR	hyfJ//pstA//
NarL_TorR	ulaB//waaZ//yjbF//
NemR_RutR	moaA//fhlA//crp//
NhaR_OmpR	ybjN//lldP//yoeB//malP//
NorR_NsrR	ydhW//
NsrR_PhoB	appA//
OxyR_SoxS	purD//
PdhR_PhoP	fliF//
PgrR_TyrR	gspO//
PhoB_PhoP	degP//
PhoP_PurR_RbsR	evgS//dcuS//
RelB_RelB-RelE	purH//manY//ahpC//
TrpR_TyrR	yjbE//gspO//appY//
YefM_YefM-YoeB	rutF//casC//
