#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	ccmA//aroP//
CRP_GntR_IscR	rrfG//
CRP_GutM_GutR_H-NS	glnG//glnA//rhaR//gatA//gatZ//leuO//gntP//
CRP_H-NS	malM//
CRP_H-NS_HipAB_HipB_NtrC	hyfC//
CRP_H-NS_LacI	agaA//moaD//puuC//
CRP_H-NS_LeuO	prpE//caiF//casA//appC//phoQ//tnaB//mglA//
CRP_H-NS_MqsA	marB//
CRP_IHF	yciG//sgbU//pqiB//tnaA//
CRP_IHF_MprA_OmpR	entF//
CRP_IHF_NsrR	citF//
CRP_IHF_PaaX	cytR//purN//lldR//degP//puuD//rrfH//hycF//pdeL//fliK//rrlB//torC//hypB//
CRP_IHF_UlaR	atoA//manY//cusF//yiaO//mdtA//yfaE//
CRP_IHF_YiaJ	evgA//lacA//evgA//glcG//prfA//napA//nrfG//cadA//pqiB//nrfG//
CRP_LexA	glyA//
CRP_Lrp	dsdC//spy//deoD//csiE//
CRP_Lrp_Mlc	dcuA//
CRP_Lrp_Nac	baeS//
CRP_LsrR	emrK//tpx//entH//aroM//mtlD//fimH//fimC//nirB//lsrB//
CRP_MalI	feoB//putA//evgS//
CRP_MalT	tdcG//nrfB//pdeL//
CRP_MalT_PhoP	csgD//
CRP_MelR	aspA//caiE//rrsD//
CRP_MetJ	fliK//
CRP_MhpR	rpsC//citD//caiF//guaA//umpH//nemR//
CRP_Mlc	dadX//norV//
CRP_ModE	gspJ//fliK//rpsO//
CRP_MurR	gcd//uhpT//
CRP_Nac_NsrR_PhoB	pyrC//
CRP_NadR	csgA//
CRP_NagC	srlB//nagC//moaB//hemL//asr//moaD//
CRP_NagC_NanR	chbC//uhpT//hyfR//
CRP_NagC_PhoP	gatC//
CRP_OxyR	yiaJ//
CRP_OxyR_UxuR	bglF//
CRP_PhoB	ftsQ//tdcD//ubiA//codA//paaZ//pspG//
CRP_PhoP	fecE//bhsA//nrfB//
CRP_PutA	rplT//
CRP_RbsR	katE//dadX//rrsB//astB//rhaR//carB//
CRP_RhaR_RhaS	csgB//ubiA//
CRP_RhaS	malF//pspD//bglJ//
CRP_Rob	acrE//
CRP_TorR	gntX//fliE//aslB//
CRP_UhpA_UvrY	csrC//
CRP_UidR_UxuR	rrlD//ogt//hyfH//
CRP_UvrY	mlc//
CRP_YehT	hyaF//
CRP_ZraR	murD//csgA//
CadC_FNR_H-NS_LeuO_MlrA	mhpD//
Cbl_CysB	yrbL//rcnB//gcvP//dnaA//
Cbl_CysB_FNR_IHF	yhjA//hyfI//lacZ//paaG//fixA//
CdaR_FNR_Fis_Fur_H-NS	mazE//
CdaR_FNR_Fur_H-NS	dppB//ydhT//cdd//hypA//
CpxR_CsgD_FliZ	moaE//idnO//rplB//
CpxR_CysB	rhaA//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	iraM//
CpxR_GadE	fucA//rplV//fliH//dmsC//
CpxR_H-NS	rbsD//
CpxR_NsrR	rplD//
CpxR_RcsB	tyrR//
CpxR_TyrR	glcB//
Cra_FNR_Fis_Lrp_NarL	rutD//
Cra_FNR_Fur_MarA_Rob_SoxS	sgrT//
Cra_FhlA_FlhDC	rutA//
Cra_GntR_KdgR	glnA//
Cra_GntR_KdgR_PhoB	crp//
Cra_MarA_SoxS	tdcG//
Cra_PdeL	marA//
Cra_SgrR	sdhC//cusB//hisM//
Cra_TyrR	ilvX//
CreB_NagC	cadB//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	lsrB//
CsgD_FlhDC	rnpB//rrfA//hupB//narJ//malT//fdhF//casC//gntX//hyaF//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	hyfJ//gspE//
CspA_Fis_GadX_H-NS	moeA//
CueR_FNR_ModE	waaH//fliF//yjbF//oxyR//astD//
CusR_PhoB_YedW	rutA//pnp//tauB//appB//xylF//fucU//ilvD//
CysB_H-NS	sufE//patA//rrsC//modA//alaU//
CysB_HypT_IHF	ilvX//
CysB_IHF	nuoM//nanE//
CysB_NtrC	nikR//
CysB_PhoP	flhC//
DcuR_FNR_NarL	ulaE//sulA//mlc//pflB//
DinJ-YafQ_LexA	sgbH//hyfJ//
DpiA_H-NS	flhD//
DsdC_NsrR	guaB//
EvgA_FNR	hyfG//dinJ//
EvgA_H-NS	mhpE//mraY//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	ybjN//
EvgA_H-NS_PhoP_RcsB_YdeO	putA//
EvgA_PhoP_RcsB_YdeO	nanK//
ExuR_UxuR	nemR//yhiD//
FNR_FhlA_IHF_NsrR	gspG//nagE//pstS//yqjH//torA//
FNR_FhlA_NarL_NarP	nuoL//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	envZ//hipB//qseC//nuoG//yiaM//mdh//degP//
FNR_Fis_IHF_ModE_NarL	fecC//ilvL//yjbG//
FNR_Fis_IHF_NarL	gspE//
FNR_Fis_IHF_NarL_RstA	nikC//hyfC//caiC//pncB//
FNR_FlhDC	rimP//
FNR_FlhDC_IscR_ModE_NarL_NarP	hisQ//cusC//proP//cyoC//mazE//dcuC//zwf//
FNR_FlhDC_ModE_NarL_NarP	rpoE//rrsA//hemA//uxuA//sdhA//prpC//nuoB//tdcC//
FNR_Fur	ssuE//glcC//
FNR_Fur_GadE	oppF//
FNR_Fur_GadX_NtrC	metH//glcG//
FNR_Fur_H-NS	fhlA//sucB//flhC//nuoF//
FNR_Fur_MetR_NsrR	rrsG//
FNR_Fur_Nac_NtrC	galP//
FNR_Fur_NagC	nfsB//yciE//osmE//
FNR_Fur_OxyR	fadH//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	flgN//
FNR_H-NS	adiA//tauB//
FNR_H-NS_NrdR	fadA//hipA//
FNR_IHF	hns//entB//nagE//hdeD//hupB//
FNR_IHF_Lrp_YeiL	nanS//
FNR_IHF_NarL_NarP_NorR	ilvI//yhjA//
FNR_IHF_PhoB	amtB//uspA//uxaA//manY//ileU//
FNR_MalT	prpR//yiaO//
FNR_ModE	nuoB//sbmC//
FNR_NarL	nupC//gadY//metI//dgcZ//cydD//gltD//
FNR_NarL_NarP	yefM//glyA//ebgC//nagA//rplP//glcD//mtlR//carB//fliE//
FNR_NarL_NarP_NsrR	nikD//
FNR_NarL_NarP_NsrR_OxyR	tdcG//ydhX//
FNR_NarL_NikR	prpC//cysU//uxaA//narG//agaV//ilvL//
FNR_NsrR	aroL//csiE//fpr//
FNR_OxyR	mdtF//
FNR_PurR	dinI//puuA//
FNR_YqjI	dctR//
FabR_FadR	manZ//mglA//
FadR_IHF	rrlD//
FadR_IclR	bamE//
FhlA_FlhDC	melB//
FhlA_IHF_ModE_NsrR	nagB//glnG//yjbE//ahpC//purN//purD//dps//tyrR//idnR//
FhlA_IHF_NsrR	nuoH//
Fis_Fur	ilvG_2//
Fis_H-NS	exuR//
Fis_H-NS_IHF_MntR_OxyR	rrfA//
Fis_H-NS_Lrp	paaB//cspI//dcuR//hypA//cysU//fliJ//adiA//torA//yefM//melA//rnpB//yqjH//ftsZ//ppiA//deoC//moeA//treB//ygbA//casC//bhsA//hisP//evgA//nrfA//grcA//
Fis_H-NS_Lrp_StpA	ulaB//ssuC//
Fis_IHF	ihfA//
Fis_IHF_NtrC	mraY//dadA//
Fis_IHF_OmpR_RcsB	fadE//
Fis_Lrp	hupB//ndh//fnr//dnaN//ulaG//lsrB//yecR//cyoD//metI//
Fis_MazE_MazE-MazF	aceE//
Fis_NarL	adhE//
Fis_NarL_NarP_NsrR	fur//hyfD//
Fis_PurR	sbmC//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	qseB//sdhD//ccmA//
FliZ_RutR	fliE//
Fur_H-NS	nhaA//oppA//lysP//cspI//tdcB//srlE//pgaD//oppF//metR//rrfD//rrfC//acrD//ccmE//
Fur_IHF_IscR_NsrR_OxyR	rcnB//betT//relE//pgaD//malS//metH//
Fur_IscR_NrdR	gspK//ydeP//cspI//rhaA//
Fur_MetR	yiaL//
Fur_MntR	sulA//
Fur_MntR_OxyR	malQ//
Fur_OxyR	rsmH//
Fur_PurR	nrfF//murQ//
Fur_RcnR	asnC//micF//
Fur_RutR	fliG//
Fur_SoxS_Zur	araA//
Fur_YqjI	cydA//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	manX//mioC//
GadE-RcsB_H-NS	waaY//
GadE-RcsB_PhoB	rrlC//
GadE-RcsB_Rob	pgaA//
GadE_GadX_H-NS_PhoP_RcsB	gdhA//
GadE_H-NS_Lrp_NsrR	purD//
GadE_H-NS_MatA	bglF//
GadE_H-NS_RcsAB	moaE//
GadE_MarA_PurR	fadI//
GadW_GadX_RcsB	gspM//
GalR_GalS	mglC//
GlrR_IHF	rrsE//
H-NS_IHF	rimK//tolC//hycD//
H-NS_IHF_Lrp	dmsD//rbfA//sucA//ugpC//fadA//gabT//hycG//
H-NS_LeuO	tyrP//yjbH//
H-NS_LeuO_RcsB-BglJ_StpA	tdcF//
H-NS_LrhA_Lrp	hdeD//
H-NS_Lrp	rplM//dcuS//
H-NS_Lrp_NhaR_RcsB	fixB//
H-NS_Lrp_StpA	murQ//
H-NS_McbR	ilvL//manY//hypB//
H-NS_NhaR	fdnG//purH//
H-NS_OmpR	gspJ//
H-NS_PhoB_RcdA_RstA	mnmG//
HU_IHF_TrpR_TyrR	ileT//
HU_IHF_TyrR	prpD//
HigA_HigB-HigA	glcA//fecC//
HipAB_HipB_IHF	mhpE//paaE//
HypT_MetJ	srlD//fabA//ulaB//
HypT_MetJ_PhoP	ccmB//purR//
IHF_Lrp	idnR//mglC//nupC//puuR//lacY//ygbA//phoQ//gutM//
IHF_NsrR	aceF//
IHF_NtrC	ydeM//ssrS//
IHF_PhoP	astA//
IHF_PspF	sdhC//acnB//mazE//mraZ//purN//fabZ//
IHF_RcsAB	ilvL//fucK//rhaR//oppB//
IHF_RtcR	uxaA//fixB//
IHF_TyrR	lpxC//
IHF_UlaR	fau//
LexA_MraZ_PdhR	ldtB//spy//hpt//glcC//feoB//lsrR//sufC//acs//idnK//astE//pstA//
LexA_MraZ_PdhR_RcsB_SdiA	ybjN//osmY//
LexA_MraZ_PdhR_SdiA	ftsA//
LexA_NagC	bhsA//
LexA_RcdA	rutD//
LexA_RcsB-BglJ	csgC//
MarA_OxyR_Rob_SoxS	fucR//gcvH//ygiA//glpT//
MarA_PhoP_Rob_SoxS	rcsA//glyA//waaY//edd//
MarA_Rob_SoxS	ydhX//cdd//ulaB//purR//dpiB//
MarA_SoxS	nikD//yiaM//gntX//puuD//alaV//
MetJ_MetR	betT//hisP//
MetJ_OxyR	napH//acrF//
MetR_PurR	lsrK//
MraZ_PdhR	malF//alaU//
Nac_PurR	yiaO//moaB//
NarL_TorR	mdtE//mdtC//chbB//
NemR_RutR	ydhU//fes//edd//
NhaR_OmpR	proX//puuR//entH//flgM//
NorR_NsrR	murC//
NsrR_PhoB	aldB//
OxyR_SoxS	slp//
PdhR_PhoP	frdB//
PgrR_TyrR	sucD//
PhoB_PhoP	fliI//
PhoP_PurR_RbsR	mraY//rplB//
RelB_RelB-RelE	melB//aspA//fadB//
TrpR_TyrR	cysA//galK//nfsB//
YefM_YefM-YoeB	pheM//ascF//
