#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	moaB//caiD//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	hycH//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	astE//
ArcA_CRP_FNR_IHF_NarL	adiA//
ArcA_CRP_FNR_NarL	xylR//
ArcA_CRP_FadR	rpsO//glnG//
ArcA_CRP_FadR_HipB	cyoD//
ArcA_CRP_FadR_OmpR_PhoP	phoU//
ArcA_CRP_Fis_Mlc_SoxS	sufB//
ArcA_CRP_Fis_XylR	hyfE//
ArcA_CRP_Fur_GadX_MqsA	sgbH//
ArcA_CRP_GatR	rimK//rrlG//gatD//fadJ//glcC//ompC//
ArcA_CRP_GlpR	gatC//
ArcA_CRP_IHF	proX//
ArcA_CRP_PuuR	murF//nmpC//idnO//nac//adhE//
ArcA_CRP_RhaS	acrA//
ArcA_CRP_TreR	rimP//rrfA//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	fliZ//fbaA//
ArcA_Cra	dmsC//
ArcA_Cra_FNR_H-NS_HypT	gatC//fur//
ArcA_CysB_FNR	rhaT//
ArcA_FNR	cydA//araD//glnH//dsdA//malE//fimG//rbsA//dpiB//micF//acrZ//glgA//rpoH//atoB//ygeA//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	chbA//
ArcA_FNR_Fis_IHF_NarL	gltA//lsrR//gltB//amtB//paaA//nuoE//yfaE//paaF//yoeB//rplM//proV//paaH//prpD//
ArcA_FNR_Fur_IHF	deoA//
ArcA_FNR_IHF	trg//fepA//hemA//
ArcA_FNR_IHF_NarL	cyoE//tnaB//
ArcA_FNR_NarL	rpsS//atoD//fhlA//araE//
ArcA_FNR_PhoP	ydhW//
ArcA_FNR_PuuR	glgC//srlD//
ArcA_FadR	hycF//serC//gadF//
ArcA_FadR_Fis	fimA//dsdC//
ArcA_Fur_Lrp_ModE	entF//frdB//creD//gadA//fimG//
ArcA_GlcC_IHF_PdhR	ulaD//ftsA//uof//crp//cspI//ubiC//
ArcA_LexA	purD//prmC//
ArcA_LldR	creD//entB//nagA//
ArcA_NarL	ftsQ//nrdA//ilvI//ubiA//astD//rimP//narX//ndh//
ArcA_NtrC_PhoP_RutR	gutQ//qseC//nrfC//hypC//ugpE//nrdD//hycB//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	yecR//folA//araJ//
ArgP_CRP_FNR_Fur_Nac	hokD//
ArgP_DnaA	ssuE//fixX//gatB//
ArgP_Lrp	yiaN//nanK//
ArgP_LysR	csrC//
ArgP_PhoB	gcvH//
ArgR_CRP	mglC//
ArgR_CRP_Fis	yiaM//proX//glnH//yedX//nrdH//paaI//cusF//yjiY//
ArgR_Fis_IHF_PepA_PurR_RutR	rplT//prpC//
ArgR_H-NS_NtrC	tauB//rcnA//cydB//csiD//
ArgR_NtrC	nusA//mtr//ugpE//cysB//hisP//
ArgR_PhoP	mntP//
AscG_CRP	prpR//rplB//cysJ//
AscG_CRP_PhoB_PrpR	thrV//
AsnC_MraZ_Nac	purM//
AsnC_Nac	hybF//metB//
AtoC_IHF	fnr//cirA//fumC//nuoF//
BaeR_CpxR	ompF//lysP//pgk//bglB//gspK//cdd//ilvE//
BaeR_CpxR_EvgA	dctA//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	murP//lldD//hybA//ftsI//
BasR_CpxR_PdhR	rimP//feoC//
BasR_Fis	uof//
BasR_H-NS_IHF_NagC_NanR	ansB//
BasR_MarA_PutA	osmE//
BasR_PhoP	casC//
BasR_QseB	ygiC//glcG//
CRP_CaiF_FNR	gspI//cydB//hypF//yfaE//
CRP_ChbR_NagC	casA//caiA//cas1//hypC//fpr//ugpE//
CRP_ComR	fimB//
CRP_CpxR	yhcH//
CRP_CpxR_CytR	csgA//
CRP_CpxR_CytR_DnaA_IHF	pspC//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	gadW//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	uxaA//cysU//thrV//pqiA//
CRP_Cra	mhpC//gspO//gspL//paaA//ilvI//fixB//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	gdhA//hpt//dinJ//nuoJ//
CRP_Cra_FNR_PdhR	casE//
CRP_Cra_Fis	ydhV//
CRP_Cra_Fis_GlcC	mdtE//
CRP_Cra_Fis_MtlR	gatB//dadA//dcuB//
CRP_Cra_Mlc_NagC	narH//pstA//phoU//gatD//astE//gltT//
CRP_Cra_PrpR	fau//atoA//rbfA//ybdZ//
CRP_CreB_Fis_MalT	lsrF//murG//tnaB//
CRP_CsiR_H-NS_Lrp	agaV//nrfE//
CRP_CsiR_H-NS_Lrp_Nac	ygiC//sucA//aceB//
CRP_CspA_Fis	dcuC//
CRP_CytR	gabT//chbG//fadE//
CRP_CytR_DeoR	malF//skp//
CRP_CytR_DeoR_Fis_ModE	cysP//rseA//casD//gltW//
CRP_CytR_Nac	hdeB//
CRP_CytR_NsrR	rutE//
CRP_DcuR_FNR_NarL	fucO//
CRP_DinJ-YafQ	napH//
CRP_DnaA_Fis_PurR	cspI//inaA//
CRP_DpiA_ExuR	hdeA//
CRP_DsdC	focB//hisQ//
CRP_EbgR	idnD//prpE//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	hyfG//glpC//
CRP_ExuR	pspD//
CRP_ExuR_FNR	sdhA//pnp//
CRP_ExuR_OxyR_UxuR	dinI//glnH//
CRP_ExuR_UxuR	cspA//
CRP_FNR	casD//
CRP_FNR_FhlA_HyfR	gspK//ybiT//ybjC//xylG//sufD//aidB//molR_1//gspC//entC//rrsH//araC//torA//
CRP_FNR_Fis	ppiA//lsrA//prfA//
CRP_FNR_Fis_GlpR_IHF	rrsA//metQ//
CRP_FNR_Fis_H-NS_SlyA	galS//
CRP_FNR_GcvA_Lrp_PurR	paaC//glpK//hycI//
CRP_FNR_H-NS_NarL	moaB//
CRP_FNR_IHF_TdcA_TdcR	glgA//dppF//glcB//gcvT//nanE//crr//purM//
CRP_FNR_NarL	ompR//zraR//edd//
CRP_FeaR_NsrR	fis//
CRP_Fis	fdnH//idnO//cspA//aceE//dnaN//
CRP_Fis_FlhDC_GalR_GalS	glgA//pheM//
CRP_Fis_FliZ_IHF_Lrp	uxuA//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	lhgO//phoQ//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	csgB//qseC//narL//
CRP_Fis_IHF	mpl//ssuA//fliI//fucA//prpC//
CRP_Fis_NanR	prpE//tyrR//alaU//hypF//yciF//
CRP_Fis_NtrC	fecB//inaA//sucC//
CRP_Fis_XylR	uvrA//ydhT//cusR//
CRP_FlhDC_GalR_GalS	feoA//
CRP_FucR	nanT//fdnG//agaV//hycF//dppD//gatC//lsrF//
CRP_Fur	waaZ//lsrA//dpiA//hyfI//pgaB//pdeR//nemA//mglB//astE//
CRP_Fur_HypT_PdhR	pflB//ssuD//fliJ//gadB//fhlA//
CRP_Fur_OxyR_SoxS	rhaA//
CRP_GalR_GalS	ybjC//
CRP_GalR_GalS_H-NS_HU	xylA//nfuA//pspE//glnQ//
CRP_GalR_GalS_NagC	nfsB//
CRP_GlpR	nikC//cusR//xylG//
CRP_GntR	lsrC//bglB//
CRP_GntR_IdnR	purA//idnR//fabB//manZ//sufA//yedX//argO//
CRP_GntR_IscR	proX//
CRP_GutM_GutR_H-NS	ackA//hcp//crp//gspM//ndh//bhsA//lysP//
CRP_H-NS	ydhW//
CRP_H-NS_HipAB_HipB_NtrC	deoC//
CRP_H-NS_LacI	paaZ//paaC//glmY//
CRP_H-NS_LeuO	modC//rutF//alaV//sgbE//atoA//dcuR//creD//
CRP_H-NS_MqsA	yqjH//
CRP_IHF	galE//mdtA//hyaF//phoU//
CRP_IHF_MprA_OmpR	baeS//
CRP_IHF_NsrR	ygiB//
CRP_IHF_PaaX	hisJ//yecR//ompC//idnR//ygeA//hisP//rseB//nrdA//cspE//sgrT//puuC//metQ//
CRP_IHF_UlaR	ssuD//tauA//osmY//deoD//astC//fixB//
CRP_IHF_YiaJ	mglA//tdcB//cusF//aer//hypD//accB//cyoC//alaV//frdB//carA//
CRP_LexA	acrD//
CRP_Lrp	ccmB//adhE//araJ//galK//
CRP_Lrp_Mlc	nanA//
CRP_Lrp_Nac	aspC//
CRP_LsrR	cusC//flgM//yjbE//rplM//cusA//fhuF//ccmC//csgE//nrfC//
CRP_MalI	nrfA//glnK//sgrS//
CRP_MalT	alaT//nagA//xylH//
CRP_MalT_PhoP	cadC//
CRP_MelR	hyfH//glpK//rpoS//
CRP_MetJ	ugpB//
CRP_MhpR	bglF//hypE//safA//glnH//ddlB//hycH//
CRP_Mlc	acrE//ulaD//
CRP_ModE	pspB//moeB//ascB//
CRP_MurR	higA//pgaD//
CRP_Nac_NsrR_PhoB	rrlE//
CRP_NadR	tsx//
CRP_NagC	gabT//ilvD//oppA//aroG//evgS//mtlD//
CRP_NagC_NanR	adhE//fucU//chbF//
CRP_NagC_PhoP	nmpC//
CRP_OxyR	lpd//
CRP_OxyR_UxuR	hdeA//
CRP_PhoB	galE//ccmF//mazG//ssuC//flgN//yrbL//
CRP_PhoP	dmsA//acrA//cusC//
CRP_PutA	dmsB//
CRP_RbsR	cysG//pspC//rrsC//ascF//cyoE//bamE//
CRP_RhaR_RhaS	ilvG_2//hisP//
CRP_RhaS	mhpB//gadC//murP//
CRP_Rob	rplD//
CRP_TorR	fepE//acrE//ycdZ//
CRP_UhpA_UvrY	gadA//
CRP_UidR_UxuR	pstB//skp//caiD//
CRP_UvrY	narL//
CRP_YehT	araC//
CRP_ZraR	fdhF//dpiB//
CadC_FNR_H-NS_LeuO_MlrA	malK//
Cbl_CysB	ccmG//rpsI//oppF//malE//
Cbl_CysB_FNR_IHF	ilvH//hypB//narL//aer//oxyR//
CdaR_FNR_Fis_Fur_H-NS	chbB//
CdaR_FNR_Fur_H-NS	hyfA//casA//nirB//feoB//
CpxR_CsgD_FliZ	pqiB//fixB//sdhC//
CpxR_CysB	cdd//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	srlE//
CpxR_GadE	pyrD//ahpC//ssrS//ydeM//
CpxR_H-NS	srlA//
CpxR_NsrR	metK//
CpxR_RcsB	baeS//
CpxR_TyrR	araA//
Cra_FNR_Fis_Lrp_NarL	mtlD//
Cra_FNR_Fur_MarA_Rob_SoxS	lpxD//
Cra_FhlA_FlhDC	napG//
Cra_GntR_KdgR	sufE//
Cra_GntR_KdgR_PhoB	ybdZ//
Cra_MarA_SoxS	lldP//
Cra_PdeL	nikR//
Cra_SgrR	rrlD//glgC//hypD//
Cra_TyrR	malQ//
CreB_NagC	ccmD//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	nrdI//
CsgD_FlhDC	inaA//gatB//qseC//mazE//casA//hipA//dnaN//waaY//lysP//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	ansB//cysJ//
CspA_Fis_GadX_H-NS	qseC//
CueR_FNR_ModE	agaV//frdD//gltA//zraS//cspE//
CusR_PhoB_YedW	gltW//prpR//ilvD//gnd//napF//galE//acrA//
CysB_H-NS	fucI//mnmG//gltA//osmC//trg//
CysB_HypT_IHF	chiP//
CysB_IHF	napG//rseA//
CysB_NtrC	ugpE//
CysB_PhoP	rhaB//
DcuR_FNR_NarL	mazF//nanE//chiP//agaA//
DinJ-YafQ_LexA	ygbA//nrfB//
DpiA_H-NS	ompC//
DsdC_NsrR	rpoS//
EvgA_FNR	gspE//dppA//
EvgA_H-NS	melB//cysI//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	pstA//
EvgA_H-NS_PhoP_RcsB_YdeO	srlA//
EvgA_PhoP_RcsB_YdeO	bglJ//
ExuR_UxuR	ynfG//lldR//
FNR_FhlA_IHF_NsrR	sgbE//ynfH//ilvG_2//yefM//csgD//
FNR_FhlA_NarL_NarP	caiF//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	norW//malK//nagA//nagA//ssb//modA//cysM//
FNR_Fis_IHF_ModE_NarL	malE//cysP//rseC//
FNR_Fis_IHF_NarL	fucA//
FNR_Fis_IHF_NarL_RstA	hmp//malP//feaB//hipA//
FNR_FlhDC	ompW//
FNR_FlhDC_IscR_ModE_NarL_NarP	rsmH//dcuS//rplW//sucA//acs//ddlB//aldB//
FNR_FlhDC_ModE_NarL_NarP	gspD//zraR//ebgA//degP//mdtA//csrC//recF//aer//
FNR_Fur	oxyR//glpB//
FNR_Fur_GadE	acrA//
FNR_Fur_GadX_NtrC	hyaF//csrC//
FNR_Fur_H-NS	fliG//hdeA//soxR//acrB//
FNR_Fur_MetR_NsrR	metN//
FNR_Fur_Nac_NtrC	cyoC//
FNR_Fur_NagC	uvrA//glyA//csgB//
FNR_Fur_OxyR	hyfG//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	ilvG_2//
FNR_H-NS	araD//lamB//
FNR_H-NS_NrdR	rpsQ//murF//
FNR_IHF	nagB//fliC//aroA//nrdH//appX//
FNR_IHF_Lrp_YeiL	srlE//
FNR_IHF_NarL_NarP_NorR	araA//csgE//
FNR_IHF_PhoB	tnaB//gcvP//rrlB//araG//edd//
FNR_MalT	acs//aroL//
FNR_ModE	nuoC//relB//
FNR_NarL	dgcZ//metK//galS//hns//entB//ycdZ//
FNR_NarL_NarP	eda//uidC//mdtE//malS//yiaK//gltT//sdhC//malP//garL//
FNR_NarL_NarP_NsrR	hyfB//
FNR_NarL_NarP_NsrR_OxyR	rbsC//aroM//
FNR_NarL_NikR	fecA//pspC//betA//lsrA//pck//deoC//
FNR_NsrR	nfo//napG//hha//
FNR_OxyR	yciE//
FNR_PurR	codA//ccmB//
FNR_YqjI	astE//
FabR_FadR	lsrR//fadI//
FadR_IHF	nrdD//
FadR_IclR	nanC//
FhlA_FlhDC	yoaG//
FhlA_IHF_ModE_NsrR	napC//fixX//gspC//exuT//dadX//gadX//yecR//hipA//aroA//
FhlA_IHF_NsrR	sra//
Fis_Fur	rutF//
Fis_H-NS	nuoI//
Fis_H-NS_IHF_MntR_OxyR	dmsC//
Fis_H-NS_Lrp	glcD//uidA//sdhA//glcB//rseA//pnp//caiE//deoB//rhaD//rprA//deoD//cusB//pgaC//glpF//fadI//nagB//zinT//lpd//bamE//frdC//sgrS//idnO//ugpQ//ftsL//
Fis_H-NS_Lrp_StpA	gapA//napG//
Fis_IHF	yeiL//
Fis_IHF_NtrC	rpoH//citE//
Fis_IHF_OmpR_RcsB	thrV//
Fis_Lrp	yjbF//osmY//paaG//ycdZ//recF//ybiT//rrsE//adiC//prpB//
Fis_MazE_MazE-MazF	hybG//
Fis_NarL	rhaB//
Fis_NarL_NarP_NsrR	puuP//csgC//
Fis_PurR	ulaG//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	sdhD//soxR//cysA//
FliZ_RutR	higB//
Fur_H-NS	fabA//malT//exuR//ynfH//dinI//ndh//yjjQ//hypF//aroA//manX//glpF//entF//gadW//
Fur_IHF_IscR_NsrR_OxyR	fis//nirC//fis//prpD//lsrK//ydeM//
Fur_IscR_NrdR	murG//rrlH//idnR//rbsD//
Fur_MetR	casB//
Fur_MntR	lyxK//
Fur_MntR_OxyR	atoB//
Fur_OxyR	ynfG//
Fur_PurR	sucD//moaD//
Fur_RcnR	chbC//nanA//
Fur_RutR	glpD//
Fur_SoxS_Zur	gcd//
Fur_YqjI	paaD//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	paaD//rplW//
GadE-RcsB_H-NS	higB//
GadE-RcsB_PhoB	sulA//
GadE-RcsB_Rob	tcyJ//
GadE_GadX_H-NS_PhoP_RcsB	cadB//
GadE_H-NS_Lrp_NsrR	betA//
GadE_H-NS_MatA	rrlG//
GadE_H-NS_RcsAB	sdhC//
GadE_MarA_PurR	gatB//
GadW_GadX_RcsB	rrsC//
GalR_GalS	osmC//
GlrR_IHF	hpt//
H-NS_IHF	pdhR//yfaE//glpC//
H-NS_IHF_Lrp	hupA//uxaC//creD//ulaC//csgB//rhaD//chbF//
H-NS_LeuO	gabD//iraM//
H-NS_LeuO_RcsB-BglJ_StpA	frdD//
H-NS_LrhA_Lrp	fnr//
H-NS_Lrp	fecC//sodB//
H-NS_Lrp_NhaR_RcsB	rcnA//
H-NS_Lrp_StpA	lldD//
H-NS_McbR	srlA//astE//lldP//
H-NS_NhaR	accB//yjcH//
H-NS_OmpR	hdeB//
H-NS_PhoB_RcdA_RstA	fixA//
HU_IHF_TrpR_TyrR	hyfG//
HU_IHF_TyrR	bolA//
HigA_HigB-HigA	serC//lamB//
HipAB_HipB_IHF	malQ//nrdH//
HypT_MetJ	truB//cyoE//zraS//
HypT_MetJ_PhoP	sroD//ybjN//
IHF_Lrp	narJ//putA//gutQ//proW//tolC//glpD//cyoC//yciG//
IHF_NsrR	ilvG_1//
IHF_NtrC	patA//ndh//
IHF_PhoP	ftsA//
IHF_PspF	evgA//malT//malP//purR//hycD//aspA//
IHF_RcsAB	chbG//sroD//napD//gatC//
IHF_RtcR	caiC//rbsA//
IHF_TyrR	atoA//
IHF_UlaR	icd//
LexA_MraZ_PdhR	cyoD//fdnG//metH//torA//glcF//lysA//malP//tdcC//dctA//dusB//fimB//
LexA_MraZ_PdhR_RcsB_SdiA	hypF//rrlE//
LexA_MraZ_PdhR_SdiA	codB//
LexA_NagC	soxR//
LexA_RcdA	hupA//
LexA_RcsB-BglJ	ynfG//
MarA_OxyR_Rob_SoxS	nhaR//dpiA//citE//rhaS//
MarA_PhoP_Rob_SoxS	trg//mtr//entC//lpxD//
MarA_Rob_SoxS	thrV//yfaE//uspA//aer//dcuB//
MarA_SoxS	hyaB//moaB//purD//nrdF//yiaL//
MetJ_MetR	pflB//lpxC//
MetJ_OxyR	glcC//ssrS//
MetR_PurR	uof//
MraZ_PdhR	guaA//mglA//
Nac_PurR	yedX//hisQ//
NarL_TorR	lpxC//fdnG//fucI//
NemR_RutR	rrlD//glmY//srlR//
NhaR_OmpR	ybdZ//fimF//tdcD//yciG//
NorR_NsrR	paaH//
NsrR_PhoB	cyoB//
OxyR_SoxS	rutF//
PdhR_PhoP	sufE//
PgrR_TyrR	cysH//
PhoB_PhoP	cadB//
PhoP_PurR_RbsR	sdhD//puuA//
RelB_RelB-RelE	nikD//yoeB//hyfG//
TrpR_TyrR	prpB//metR//tcyJ//
YefM_YefM-YoeB	paaI//nemR//
