#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	yiaL//ompR//
CRP_ExuR_OxyR_UxuR	fes//rutE//
CRP_ExuR_UxuR	guaA//
CRP_FNR	gspF//
CRP_FNR_FhlA_HyfR	dsdC//hmp//hycD//nfsA//hyfC//accB//ydeM//fdhF//citD//entF//paaZ//hypE//
CRP_FNR_Fis	mtlD//yqjI//hyfC//
CRP_FNR_Fis_GlpR_IHF	puuP//napD//
CRP_FNR_Fis_H-NS_SlyA	soxS//
CRP_FNR_GcvA_Lrp_PurR	astA//sufC//mglB//
CRP_FNR_H-NS_NarL	betA//
CRP_FNR_IHF_TdcA_TdcR	srlE//rrlG//rbsA//ulaC//rbsK//nirC//metN//
CRP_FNR_NarL	sgrS//ydhW//caiE//
CRP_FeaR_NsrR	mraZ//
CRP_Fis	cirA//tauC//pstS//hupB//ulaF//
CRP_Fis_FlhDC_GalR_GalS	xylH//moaC//
CRP_Fis_FliZ_IHF_Lrp	malP//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	casC//yefM//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	asr//gapA//caiC//
CRP_Fis_IHF	purR//pdhR//rutG//rrfG//hycB//
CRP_Fis_NanR	caiD//dppC//yrbL//ascF//fadA//
CRP_Fis_NtrC	csgC//rrfD//pspC//
CRP_Fis_XylR	glpB//hybG//ftsZ//
CRP_FlhDC_GalR_GalS	carB//
CRP_FucR	oxyR//dctA//prpB//fhlA//napB//xylA//bglB//
CRP_Fur	fucR//pqiA//sufD//ftnA//glcB//nrfF//aceE//ackA//ybfN//
CRP_Fur_HypT_PdhR	hyfC//rpmC//norR//ssrS//proX//
CRP_Fur_OxyR_SoxS	paaC//
CRP_GalR_GalS	fepB//
CRP_GalR_GalS_H-NS_HU	gabD//gltV//metQ//appA//
CRP_GalR_GalS_NagC	ddlB//
CRP_GlpR	cusB//gatB//cysI//
CRP_GntR	acnB//caiC//
CRP_GntR_IdnR	rrfA//hycI//putP//nikA//araJ//lpd//casA//
CRP_GntR_IscR	yoeB//
CRP_GutM_GutR_H-NS	prfA//mglC//yjjQ//fadJ//glcE//glcC//agaV//
CRP_H-NS	tauD//
CRP_H-NS_HipAB_HipB_NtrC	tdcE//
CRP_H-NS_LacI	mdtB//tauB//zinT//
CRP_H-NS_LeuO	chbF//galP//nrdI//rutB//rseC//acrA//xylA//
CRP_H-NS_MqsA	hcr//
CRP_IHF	xylR//ccmB//osmY//fucP//
CRP_IHF_MprA_OmpR	hokD//
CRP_IHF_NsrR	ddlB//
CRP_IHF_PaaX	glpC//rrsC//treB//citD//lacZ//sufS//zinT//metB//gadE//sufD//rpsJ//cysA//
CRP_IHF_UlaR	napD//nuoC//chiP//galT//sgbU//hyfR//
CRP_IHF_YiaJ	grcA//modB//uidC//fabA//rhaB//cirA//melB//narJ//fixX//fiu//
CRP_LexA	gntK//
CRP_Lrp	glpA//araC//edd//fucI//
CRP_Lrp_Mlc	tauA//
CRP_Lrp_Nac	casD//
CRP_LsrR	csgE//dcuC//paaZ//hybD//entH//higA//codB//purN//chbF//
CRP_MalI	modC//aceF//mraY//
CRP_MalT	ahpC//pspB//tnaA//
CRP_MalT_PhoP	yjiY//
CRP_MelR	rbsK//nagC//araH//
CRP_MetJ	glcG//
CRP_MhpR	casB//ydhV//tdcF//csgE//paaZ//dadA//
CRP_Mlc	uidB//frdB//
CRP_ModE	relE//sdhC//mdtD//
CRP_MurR	eda//ulaC//
CRP_Nac_NsrR_PhoB	fadI//
CRP_NadR	ftnA//
CRP_NagC	fadD//paaJ//prfA//adhE//yiaK//alaV//
CRP_NagC_NanR	rhaT//hemA//cyoA//
CRP_NagC_PhoP	hypC//
CRP_OxyR	entH//
CRP_OxyR_UxuR	lldP//
CRP_PhoB	creD//rutE//nanE//fixC//idnD//oppD//
CRP_PhoP	garL//hisQ//ftsW//
CRP_PutA	mglA//
CRP_RbsR	acrF//creD//fabB//gltB//nrfF//nrdH//
CRP_RhaR_RhaS	ccmA//emrK//
CRP_RhaS	ubiA//csgC//fliG//
CRP_Rob	pgk//
CRP_TorR	moaD//gltF//araH//
CRP_UhpA_UvrY	gapA//
CRP_UidR_UxuR	nrfF//rpoH//garL//
CRP_UvrY	cysA//
CRP_YehT	rseC//
CRP_ZraR	nuoM//cdd//
CadC_FNR_H-NS_LeuO_MlrA	casB//
Cbl_CysB	waaH//malS//murC//mhpD//
Cbl_CysB_FNR_IHF	hipA//marR//dnaN//yqjI//ssrS//
CdaR_FNR_Fis_Fur_H-NS	dpiB//
CdaR_FNR_Fur_H-NS	icd//moaC//setA//gltT//
CpxR_CsgD_FliZ	mazF//fimC//modA//
CpxR_CysB	poxB//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	fumC//
CpxR_GadE	ynfH//sgrT//cas2//uhpT//
CpxR_H-NS	metY//
CpxR_NsrR	paaI//
CpxR_RcsB	hyfR//
CpxR_TyrR	fau//
Cra_FNR_Fis_Lrp_NarL	glnK//
Cra_FNR_Fur_MarA_Rob_SoxS	relE//
Cra_FhlA_FlhDC	fimH//
Cra_GntR_KdgR	fecA//
Cra_GntR_KdgR_PhoB	cspD//
Cra_MarA_SoxS	paaA//
Cra_PdeL	astE//
Cra_SgrR	dcuD//glnL//fnr//
Cra_TyrR	glnL//
CreB_NagC	murP//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	yiaM//
CsgD_FlhDC	gspM//hybF//casC//rhaT//hdeD//hyfA//gspM//malM//pgaC//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	hycB//pncB//
CspA_Fis_GadX_H-NS	glcC//
CueR_FNR_ModE	fucR//rhaB//pgaC//entF//osmC//
CusR_PhoB_YedW	nagA//inaA//rrsA//patA//paaF//dgcZ//yeaR//
CysB_H-NS	hemL//citD//cysA//narH//moaD//
CysB_HypT_IHF	mhpB//
CysB_IHF	rutB//gspF//
CysB_NtrC	rplW//
CysB_PhoP	fixC//
DcuR_FNR_NarL	cysJ//hlyE//rplB//ilvA//
DinJ-YafQ_LexA	rbsC//ybdZ//
DpiA_H-NS	galR//
DsdC_NsrR	psiE//
EvgA_FNR	hybD//aceA//
EvgA_H-NS	dppC//ilvL//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	ilvE//
EvgA_H-NS_PhoP_RcsB_YdeO	cadB//
EvgA_PhoP_RcsB_YdeO	nuoH//
ExuR_UxuR	ulaC//nrdI//
FNR_FhlA_IHF_NsrR	hdeD//fliF//narJ//ulaF//nrdE//
FNR_FhlA_NarL_NarP	fimF//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	dmsA//nrdE//ccmE//casD//thrV//ilvX//aroL//
FNR_Fis_IHF_ModE_NarL	oppD//lsrC//fucP//
FNR_Fis_IHF_NarL	narK//
FNR_Fis_IHF_NarL_RstA	umpH//manZ//murC//glnQ//
FNR_FlhDC	rtcA//
FNR_FlhDC_IscR_ModE_NarL_NarP	rplD//entA//fliZ//pspG//rrfH//hdeB//murC//
FNR_FlhDC_ModE_NarL_NarP	rob//hycE//nuoA//rtcB//feaB//glnA//ydeN//garL//
FNR_Fur	fucO//uxuR//
FNR_Fur_GadE	ilvE//
FNR_Fur_GadX_NtrC	codA//rrlC//
FNR_Fur_H-NS	rseA//prpR//lsrC//hisM//
FNR_Fur_MetR_NsrR	argG//
FNR_Fur_Nac_NtrC	katG//
FNR_Fur_NagC	ugpC//deoD//rrlH//
FNR_Fur_OxyR	hycE//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	gntX//
FNR_H-NS	tyrR//rhaR//
FNR_H-NS_NrdR	metK//tdcA//
FNR_IHF	gatA//mglA//tnaC//ulaA//dcuA//
FNR_IHF_Lrp_YeiL	gnd//
FNR_IHF_NarL_NarP_NorR	ydeN//katE//
FNR_IHF_PhoB	manY//gntX//hcr//relB//pstA//
FNR_MalT	sgbE//amtB//
FNR_ModE	ulaG//sufA//
FNR_NarL	fadJ//frdD//dnaA//moaE//mhpC//glnG//
FNR_NarL_NarP	bglG//lsrB//dppB//yfaE//prpE//nusA//degP//marA//rutD//
FNR_NarL_NarP_NsrR	ydeP//
FNR_NarL_NarP_NsrR_OxyR	tnaA//acrZ//
FNR_NarL_NikR	fucA//garK//ygiA//rpsC//hpt//astD//
FNR_NsrR	hypD//tauB//ssuB//
FNR_OxyR	hybG//
FNR_PurR	fixB//rrlH//
FNR_YqjI	torA//
FabR_FadR	astD//gapA//
FadR_IHF	ilvI//
FadR_IclR	atoD//
FhlA_FlhDC	pspB//
FhlA_IHF_ModE_NsrR	hydN//rpoS//sufE//melA//dpiA//fixC//hybD//garL//thrV//
FhlA_IHF_NsrR	ytfE//
Fis_Fur	malY//
Fis_H-NS	paaA//
Fis_H-NS_IHF_MntR_OxyR	fbaA//
Fis_H-NS_Lrp	pspE//baeR//mraY//glpB//rrlC//yjbG//lpd//yiaJ//rrfA//sodA//lhgO//mdtC//gspI//hyfG//pspB//fdnG//galP//paaK//casB//idnK//gatY//fucU//malK//aidB//
Fis_H-NS_Lrp_StpA	manX//tauD//
Fis_IHF	napC//
Fis_IHF_NtrC	hemL//aroM//
Fis_IHF_OmpR_RcsB	rpoS//
Fis_Lrp	ldtB//hycG//rrsC//skp//hyaD//nuoE//csgG//uhpT//sdhD//
Fis_MazE_MazE-MazF	nfsA//
Fis_NarL	tauB//
Fis_NarL_NarP_NsrR	glnH//flhD//
Fis_PurR	soxR//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	tam//manZ//ccmB//
FliZ_RutR	dnaN//
Fur_H-NS	fliA//mntH//bolA//yjiY//pyrC//puuR//xylG//rplV//purM//mntH//norW//fimB//gltW//
Fur_IHF_IscR_NsrR_OxyR	uidA//bolA//oxyR//dppC//ftsW//ubiC//
Fur_IscR_NrdR	nuoG//yhiD//yqjI//hypC//
Fur_MetR	patA//
Fur_MntR	tnaC//
Fur_MntR_OxyR	gspF//
Fur_OxyR	cyoA//
Fur_PurR	hmp//csgF//
Fur_RcnR	cysI//eda//
Fur_RutR	yiaL//
Fur_SoxS_Zur	ilvL//
Fur_YqjI	agaW//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	mglB//pyrD//
GadE-RcsB_H-NS	entD//
GadE-RcsB_PhoB	nemR//
GadE-RcsB_Rob	nupG//
GadE_GadX_H-NS_PhoP_RcsB	thrV//
GadE_H-NS_Lrp_NsrR	nikC//
GadE_H-NS_MatA	frdA//
GadE_H-NS_RcsAB	fliF//
GadE_MarA_PurR	tdcC//
GadW_GadX_RcsB	moaD//
GalR_GalS	proW//
GlrR_IHF	gabP//
H-NS_IHF	lsrG//uidC//gltB//
H-NS_IHF_Lrp	safA//ackA//ubiA//tauC//fucO//ccmE//fimF//
H-NS_LeuO	fur//pyrD//
H-NS_LeuO_RcsB-BglJ_StpA	dcuA//
H-NS_LrhA_Lrp	lsrK//
H-NS_Lrp	entA//rrlH//
H-NS_Lrp_NhaR_RcsB	puuD//
H-NS_Lrp_StpA	ynfE//
H-NS_McbR	yiaJ//nhaR//fur//
H-NS_NhaR	glnQ//rseC//
H-NS_OmpR	hyfH//
H-NS_PhoB_RcdA_RstA	ydhT//
HU_IHF_TrpR_TyrR	dnaN//
HU_IHF_TyrR	metI//
HigA_HigB-HigA	xylR//gcd//
HipAB_HipB_IHF	ptsI//fimA//
HypT_MetJ	citF//pdeL//ftsZ//
HypT_MetJ_PhoP	skp//ycdZ//
IHF_Lrp	cysG//yjcH//glpC//paaD//dpiA//focA//yiaJ//mntP//
IHF_NsrR	sucB//
IHF_NtrC	phoU//napC//
IHF_PhoP	nrdA//
IHF_PspF	prpB//nupC//rpsO//rtcB//cusB//torA//
IHF_RcsAB	proV//carB//fdnG//astB//
IHF_RtcR	purR//icd//
IHF_TyrR	lgoR//
IHF_UlaR	cas2//
LexA_MraZ_PdhR	yqjH//sgrS//pgaB//tyrP//uxaA//ahpC//ftsL//dsdX//hybF//nirB//pstS//
LexA_MraZ_PdhR_RcsB_SdiA	hns//glcC//
LexA_MraZ_PdhR_SdiA	carA//
LexA_NagC	lsrA//
LexA_RcdA	xylA//
LexA_RcsB-BglJ	caiF//
MarA_OxyR_Rob_SoxS	ubiA//emrY//rhaB//hycI//
MarA_PhoP_Rob_SoxS	uvrA//rrlB//phoU//gadY//
MarA_Rob_SoxS	rimP//rrfA//skp//mhpC//malX//
MarA_SoxS	rnpB//hypC//fimE//fecB//dpiA//
MetJ_MetR	araG//guaB//
MetJ_OxyR	cysJ//glnP//
MetR_PurR	aroP//
MraZ_PdhR	glgA//fepA//
Nac_PurR	ahpC//zraR//
NarL_TorR	xylA//nhaR//rpoH//
NemR_RutR	caiC//pstA//norR//
NhaR_OmpR	dadX//rhaR//cysG//ppiA//
NorR_NsrR	metB//
NsrR_PhoB	csgF//
OxyR_SoxS	emrK//
PdhR_PhoP	hisP//
PgrR_TyrR	ilvE//
PhoB_PhoP	nfo//
PhoP_PurR_RbsR	fdhF//mglC//
RelB_RelB-RelE	bglG//thrV//ydhU//
TrpR_TyrR	hycD//ilvI//aceE//
YefM_YefM-YoeB	nikR//iclR//
