#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	pgaC//emrK//
CRP_Fis	evgS//sufC//idnT//bglG//malQ//
CRP_Fis_FlhDC_GalR_GalS	malG//narJ//
CRP_Fis_FliZ_IHF_Lrp	yqjH//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	nfuA//ftsA//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	atoE//rbsB//cusC//
CRP_Fis_IHF	tomB//ccmF//hcp//ftsW//phoU//
CRP_Fis_NanR	yqjH//tauC//lgoR//pflB//citE//
CRP_Fis_NtrC	mhpA//tauB//caiF//
CRP_Fis_XylR	torA//higB//paaI//
CRP_FlhDC_GalR_GalS	fabA//
CRP_FucR	aldB//proP//yaiA//creD//gapA//glnH//emrY//
CRP_Fur	chbR//nrdH//psiE//ydhT//rutD//ulaF//yhiD//xylB//hupB//
CRP_Fur_HypT_PdhR	mazF//mdtD//citD//galK//dadX//
CRP_Fur_OxyR_SoxS	hyfB//
CRP_GalR_GalS	paaG//
CRP_GalR_GalS_H-NS_HU	nagB//psiE//fecC//paaB//
CRP_GalR_GalS_NagC	casA//
CRP_GlpR	puuB//eda//emrK//
CRP_GntR	nhaA//cyoC//
CRP_GntR_IdnR	fliA//gapA//fiu//thrV//fhuF//nrdH//rrfA//
CRP_GntR_IscR	paaK//
CRP_GutM_GutR_H-NS	glnG//mtlD//chbB//mglB//nrfD//deoD//mpl//
CRP_H-NS	araE//
CRP_H-NS_HipAB_HipB_NtrC	araG//
CRP_H-NS_LacI	pqiA//mhpD//hycG//
CRP_H-NS_LeuO	ompC//xylB//acrB//acnA//metB//rob//hcp//
CRP_H-NS_MqsA	acrZ//
CRP_IHF	soxR//gspC//rpsI//yhiD//
CRP_IHF_MprA_OmpR	galT//
CRP_IHF_NsrR	napC//
CRP_IHF_PaaX	ptsG//mdtA//ygeA//prpD//yhcH//chbR//cusS//citE//ompW//fur//ccmA//yhcH//
CRP_IHF_UlaR	hcp//metY//rrlG//nagA//hyaE//yjbF//
CRP_IHF_YiaJ	yeiL//edd//alaV//csgC//aspA//asr//hypC//narG//gspE//rimK//
CRP_LexA	rrsB//
CRP_Lrp	icd//napD//higB//paaK//
CRP_Lrp_Mlc	glpK//
CRP_Lrp_Nac	rcsA//
CRP_LsrR	hypD//yjbF//melB//aroP//malM//uidC//rbsB//fhlA//gdhA//
CRP_MalI	dmsA//dppD//idnO//
CRP_MalT	gltF//moeB//fecE//
CRP_MalT_PhoP	ssuE//
CRP_MelR	aidB//melB//citE//
CRP_MetJ	rhaD//
CRP_MhpR	relA//ygiC//chbR//fabB//deoC//nikB//
CRP_Mlc	fabA//araE//
CRP_ModE	glcD//narG//waaH//
CRP_MurR	tcyJ//hybO//
CRP_Nac_NsrR_PhoB	metR//
CRP_NadR	entA//
CRP_NagC	mhpD//rpsI//nanM//frdA//gatA//iraM//
CRP_NagC_NanR	betT//acrB//purD//
CRP_NagC_PhoP	hokD//
CRP_OxyR	glpB//
CRP_OxyR_UxuR	mhpF//
CRP_PhoB	mtlA//yefM//lacZ//fecD//rutE//sgbH//
CRP_PhoP	asnC//rutA//lacA//
CRP_PutA	rrsD//
CRP_RbsR	serA//nusA//hmp//yiaN//crr//cspA//
CRP_RhaR_RhaS	hyfR//nrfG//
CRP_RhaS	malT//rpsC//tauA//
CRP_Rob	flgM//
CRP_TorR	murF//glcB//lsrG//
CRP_UhpA_UvrY	cspA//
CRP_UidR_UxuR	appY//uxaB//ileV//
CRP_UvrY	fimD//
CRP_YehT	fimC//
CRP_ZraR	argP//rrfA//
CadC_FNR_H-NS_LeuO_MlrA	micF//
Cbl_CysB	hyaF//pdhR//ulaD//hmp//
Cbl_CysB_FNR_IHF	dadX//pck//fadI//feoB//betT//
CdaR_FNR_Fis_Fur_H-NS	tauC//
CdaR_FNR_Fur_H-NS	fliF//cydB//mglC//garP//
CpxR_CsgD_FliZ	hdeA//ynfG//aceB//
CpxR_CysB	gcvT//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	napA//
CpxR_GadE	ybdZ//nusA//paaI//uxaB//
CpxR_H-NS	gatC//
CpxR_NsrR	entH//
CpxR_RcsB	nemR//
CpxR_TyrR	gcd//
Cra_FNR_Fis_Lrp_NarL	katE//
Cra_FNR_Fur_MarA_Rob_SoxS	hdeD//
Cra_FhlA_FlhDC	cyoC//
Cra_GntR_KdgR	rrlB//
Cra_GntR_KdgR_PhoB	kbaZ//
Cra_MarA_SoxS	mraY//
Cra_PdeL	cytR//
Cra_SgrR	ugpE//astE//cadC//
Cra_TyrR	hpt//
CreB_NagC	yiaK//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	puuE//
CsgD_FlhDC	malM//mdtB//paaJ//molR_1//cyaR//nrdD//gspG//bglB//oppA//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	ftsW//pdeR//
CspA_Fis_GadX_H-NS	mntP//
CueR_FNR_ModE	nhaA//yciG//napG//pqiB//ddlB//
CusR_PhoB_YedW	mioC//dppA//relB//glnP//ccmA//paaJ//astD//
CysB_H-NS	lsrF//fis//ydhY//tnaC//glnK//
CysB_HypT_IHF	metL//
CysB_IHF	nrdD//malX//
CysB_NtrC	nuoL//
CysB_PhoP	caiF//
DcuR_FNR_NarL	cspI//pgk//hyfJ//ulaC//
DinJ-YafQ_LexA	paaK//hyaC//
DpiA_H-NS	fpr//
DsdC_NsrR	folA//
EvgA_FNR	cbl//chbA//
EvgA_H-NS	sucB//murE//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	cysU//
EvgA_H-NS_PhoP_RcsB_YdeO	norR//
EvgA_PhoP_RcsB_YdeO	rrfC//
ExuR_UxuR	paaE//cusA//
FNR_FhlA_IHF_NsrR	prpB//bglG//guaB//glcF//narI//
FNR_FhlA_NarL_NarP	rpsS//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	ileT//glpK//caiE//tdcG//gntT//tomB//sufB//
FNR_Fis_IHF_ModE_NarL	aidB//hipB//dcuC//
FNR_Fis_IHF_NarL	gntU//
FNR_Fis_IHF_NarL_RstA	purA//fumB//cysJ//cusR//
FNR_FlhDC	moeB//
FNR_FlhDC_IscR_ModE_NarL_NarP	nemA//dadX//tdcD//rimK//puuP//amtB//zinT//
FNR_FlhDC_ModE_NarL_NarP	metH//malY//ytfE//tdcE//caiB//hycE//acnA//proW//
FNR_Fur	malF//lacZ//
FNR_Fur_GadE	chbC//
FNR_Fur_GadX_NtrC	araH//dcuD//
FNR_Fur_H-NS	sufA//tauB//csgE//nagC//
FNR_Fur_MetR_NsrR	ulaA//
FNR_Fur_Nac_NtrC	tolC//
FNR_Fur_NagC	rrsA//hycA//gspI//
FNR_Fur_OxyR	lpd//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	codB//
FNR_H-NS	narK//ileV//
FNR_H-NS_NrdR	xylH//atoE//
FNR_IHF	lpd//ugpQ//appB//fbaA//acnB//
FNR_IHF_Lrp_YeiL	casD//
FNR_IHF_NarL_NarP_NorR	psiE//yrbL//
FNR_IHF_PhoB	paaD//oppF//nhaR//gadE//pdeR//
FNR_MalT	rrfG//garR//
FNR_ModE	ygbA//ugpQ//
FNR_NarL	atoD//oppB//carA//nuoG//nusA//fepA//
FNR_NarL_NarP	ilvL//nrdD//cyaR//hyfF//yoaG//rbsR//csgD//ogt//recF//
FNR_NarL_NarP_NsrR	paaC//
FNR_NarL_NarP_NsrR_OxyR	fecD//aldB//
FNR_NarL_NikR	ilvD//galE//yjjQ//appX//hycG//casD//
FNR_NsrR	sgbU//glcC//yqjH//
FNR_OxyR	hisP//
FNR_PurR	emrK//atoB//
FNR_YqjI	murC//
FabR_FadR	ulaF//yiaK//
FadR_IHF	fabB//
FadR_IclR	csgA//
FhlA_FlhDC	gspO//
FhlA_IHF_ModE_NsrR	focB//nrdG//norV//fhuF//glpD//fumB//cytR//metQ//ihfA//
FhlA_IHF_NsrR	rpsC//
Fis_Fur	narL//
Fis_H-NS	garP//
Fis_H-NS_IHF_MntR_OxyR	appA//
Fis_H-NS_Lrp	metH//galE//glcG//dcuA//nuoC//glcA//hycA//ompF//fecD//malS//argO//hipB//yciG//ybdN//rrlC//gspI//flgN//ilvG_2//acrE//aceE//rrfH//emrK//cirA//gntK//
Fis_H-NS_Lrp_StpA	sucA//gspC//
Fis_IHF	ilvH//
Fis_IHF_NtrC	ccmA//nagC//
Fis_IHF_OmpR_RcsB	yhjA//
Fis_Lrp	manY//rrfG//rhaD//umpH//prpD//fecE//baeR//paaH//hupB//
Fis_MazE_MazE-MazF	lsrG//
Fis_NarL	fumB//
Fis_NarL_NarP_NsrR	tpx//micF//
Fis_PurR	rrsE//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	nrdB//aspC//sodB//
FliZ_RutR	malF//
Fur_H-NS	metL//puuA//ynfH//fliF//oppA//fimE//hycC//lgoR//pck//idnR//emrY//hyfE//hycA//
Fur_IHF_IscR_NsrR_OxyR	hyfR//mtlA//gspG//nmpC//lsrF//mazG//
Fur_IscR_NrdR	pncB//nuoB//crp//yecR//
Fur_MetR	uxaC//
Fur_MntR	prfA//
Fur_MntR_OxyR	evgS//
Fur_OxyR	paaZ//
Fur_PurR	caiE//fadD//
Fur_RcnR	gltD//pgaC//
Fur_RutR	csgD//
Fur_SoxS_Zur	gatD//
Fur_YqjI	uxaC//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	ugpB//waaZ//
GadE-RcsB_H-NS	ptsG//
GadE-RcsB_PhoB	tauB//
GadE-RcsB_Rob	acs//
GadE_GadX_H-NS_PhoP_RcsB	mtr//
GadE_H-NS_Lrp_NsrR	ulaE//
GadE_H-NS_MatA	pyrD//
GadE_H-NS_RcsAB	gspC//
GadE_MarA_PurR	nuoM//
GadW_GadX_RcsB	csiE//
GalR_GalS	cusB//
GlrR_IHF	emrK//
H-NS_IHF	ynfH//metK//eda//
H-NS_IHF_Lrp	fixA//glcF//rseB//rbsB//gyrA//fixA//ybiT//
H-NS_LeuO	pspA//ulaF//
H-NS_LeuO_RcsB-BglJ_StpA	moeB//
H-NS_LrhA_Lrp	fucK//
H-NS_Lrp	nikR//dmsA//
H-NS_Lrp_NhaR_RcsB	rplT//
H-NS_Lrp_StpA	cysG//
H-NS_McbR	yoaG//hypA//emrK//
H-NS_NhaR	chbG//skp//
H-NS_OmpR	uxaB//
H-NS_PhoB_RcdA_RstA	lsrD//
HU_IHF_TrpR_TyrR	dps//
HU_IHF_TyrR	narJ//
HigA_HigB-HigA	spy//codB//
HipAB_HipB_IHF	sufS//tnaB//
HypT_MetJ	marA//caiF//marA//
HypT_MetJ_PhoP	hisP//qseC//
IHF_Lrp	ilvD//glcE//fucU//murD//nikB//rob//aspC//purH//
IHF_NsrR	ydhT//
IHF_NtrC	glnL//rrfF//
IHF_PhoP	cyoA//
IHF_PspF	malY//actP//folA//tdcA//dinJ//hyfF//
IHF_RcsAB	cas2//carA//ompW//ydhT//
IHF_RtcR	citX//ydhX//
IHF_TyrR	idnT//
IHF_UlaR	ebgC//
LexA_MraZ_PdhR	sgrS//feaB//glyA//sucB//nfo//caiE//glnP//ydhX//ileT//fliJ//caiB//
LexA_MraZ_PdhR_RcsB_SdiA	dppC//ydhU//
LexA_MraZ_PdhR_SdiA	garR//
LexA_NagC	rimK//
LexA_RcdA	glcA//
LexA_RcsB-BglJ	nanM//
MarA_OxyR_Rob_SoxS	murC//ascF//sra//hns//
MarA_PhoP_Rob_SoxS	acrF//sufE//ycdZ//cytR//
MarA_Rob_SoxS	ccmF//glpT//waaZ//yecR//csgF//
MarA_SoxS	csgA//gspO//aspA//oppD//nrfA//
MetJ_MetR	chbR//rrfB//
MetJ_OxyR	glnP//ynfG//
MetR_PurR	ulaG//
MraZ_PdhR	yhcH//gcd//
Nac_PurR	atoA//ilvL//
NarL_TorR	hisQ//tdcF//chbC//
NemR_RutR	gspC//casB//murQ//
NhaR_OmpR	mtlR//araF//rbsB//tyrR//
NorR_NsrR	lldR//
NsrR_PhoB	idnO//
OxyR_SoxS	sucA//
PdhR_PhoP	ompR//
PgrR_TyrR	dcuS//
PhoB_PhoP	malT//
PhoP_PurR_RbsR	gadY//emrY//
RelB_RelB-RelE	cspI//murQ//rpsS//
TrpR_TyrR	oppD//pqiB//relA//
YefM_YefM-YoeB	rrlA//rbsK//
