#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	uspA//fucP//
Fis_Lrp	guaB//ilvE//hisM//ileV//emrK//adhE//pnp//ptsI//uidC//
Fis_MazE_MazE-MazF	flhC//
Fis_NarL	tdcE//
Fis_NarL_NarP_NsrR	fixA//gcvP//
Fis_PurR	fucU//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	fau//gntP//malQ//
FliZ_RutR	ybiT//
Fur_H-NS	rrfE//stpA//agaV//treC//rhaB//zinT//gadF//fecB//rpsC//ileT//melA//fumB//melR//
Fur_IHF_IscR_NsrR_OxyR	ydhX//ssuA//cysG//nhaA//fimA//uof//
Fur_IscR_NrdR	tauA//aslB//murP//zinT//
Fur_MetR	prmC//
Fur_MntR	oppC//
Fur_MntR_OxyR	deoB//
Fur_OxyR	ptsG//
Fur_PurR	csiD//ilvE//
Fur_RcnR	glmY//narX//
Fur_RutR	fucK//
Fur_SoxS_Zur	lsrF//
Fur_YqjI	torA//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	lldD//garP//
GadE-RcsB_H-NS	rbsB//
GadE-RcsB_PhoB	astC//
GadE-RcsB_Rob	astC//
GadE_GadX_H-NS_PhoP_RcsB	fucO//
GadE_H-NS_Lrp_NsrR	aroP//
GadE_H-NS_MatA	rbfA//
GadE_H-NS_RcsAB	napB//
GadE_MarA_PurR	gatA//
GadW_GadX_RcsB	acrA//
GalR_GalS	rrlB//
GlrR_IHF	dinJ//
H-NS_IHF	glpQ//dcuB//puuD//
H-NS_IHF_Lrp	nac//rimK//glgP//aceF//cspI//cas1//hyfJ//
H-NS_LeuO	pspG//bglJ//
H-NS_LeuO_RcsB-BglJ_StpA	rrlB//
H-NS_LrhA_Lrp	napB//
H-NS_Lrp	narL//rrsE//
H-NS_Lrp_NhaR_RcsB	adhE//
H-NS_Lrp_StpA	garP//
H-NS_McbR	hyaF//rrsB//rrsE//
H-NS_NhaR	feoA//ssrS//
H-NS_OmpR	cydC//
H-NS_PhoB_RcdA_RstA	galS//
HU_IHF_TrpR_TyrR	pspA//
HU_IHF_TyrR	murP//
HigA_HigB-HigA	acrA//fepE//
HipAB_HipB_IHF	serA//fecD//
HypT_MetJ	manZ//nrfE//tauB//
HypT_MetJ_PhoP	glcA//hisP//
IHF_Lrp	amtB//paaF//casD//dsdC//ydhU//gutQ//uxuB//malK//
IHF_NsrR	nrdB//
IHF_NtrC	rrfB//fepE//
IHF_PhoP	appX//
IHF_PspF	entB//oppD//oppF//mhpC//puuD//hcr//
IHF_RcsAB	waaH//norV//entC//glpD//
IHF_RtcR	dusB//nagE//
IHF_TyrR	citC//
IHF_UlaR	fimH//
LexA_MraZ_PdhR	nusA//napB//nrfE//hybB//nemA//manZ//rcsA//crr//tnaA//malP//fucP//
LexA_MraZ_PdhR_RcsB_SdiA	modC//uvrA//
LexA_MraZ_PdhR_SdiA	mtr//
LexA_NagC	rplV//
LexA_RcdA	cydA//
LexA_RcsB-BglJ	hybO//
MarA_OxyR_Rob_SoxS	ptsH//ssuC//chbB//lsrK//
MarA_PhoP_Rob_SoxS	malM//rutB//grcA//uvrA//
MarA_Rob_SoxS	ssuC//fliJ//pyrD//mntH//nfuA//
MarA_SoxS	napA//fecC//qseB//csgC//glpX//
MetJ_MetR	hipA//ftsI//
MetJ_OxyR	yiaN//rhaT//
MetR_PurR	narK//
MraZ_PdhR	argG//metL//
Nac_PurR	ydeO//glgC//
NarL_TorR	prfA//glgA//fimF//
NemR_RutR	cusR//pspE//gatZ//
NhaR_OmpR	pgaD//manZ//dmsD//glyA//
NorR_NsrR	emrY//
NsrR_PhoB	glpQ//
OxyR_SoxS	exuT//
PdhR_PhoP	glcG//
PgrR_TyrR	lhgO//
PhoB_PhoP	rhaB//
PhoP_PurR_RbsR	fimD//tcyJ//
RelB_RelB-RelE	deoC//gspG//ynfK//
TrpR_TyrR	nuoH//nuoN//yhcH//
YefM_YefM-YoeB	ugpE//hyaD//
