#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	prfA//nrdA//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	oppB//sgrT//entE//
ArcA_CRP_FNR_Fis_Fur_PdhR	pgaB//
ArcA_CRP_FNR_Fis_IHF_NarL	nupG//
ArcA_CRP_FNR_Fur	lacZ//ompC//gltD//pck//
ArcA_CRP_FNR_Fur_IHF	gatA//feoB//treB//atoD//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	murQ//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	aceB//
ArcA_CRP_FNR_IHF_NarL	ndh//
ArcA_CRP_FNR_NarL	rseA//
ArcA_CRP_FadR	gspI//entE//
ArcA_CRP_FadR_HipB	dmsA//
ArcA_CRP_FadR_OmpR_PhoP	csiD//
ArcA_CRP_Fis_Mlc_SoxS	murP//
ArcA_CRP_Fis_XylR	sdhD//
ArcA_CRP_Fur_GadX_MqsA	nuoC//
ArcA_CRP_GatR	lgoR//cysP//uspA//kbaZ//psiE//ompW//
ArcA_CRP_GlpR	hyfA//
ArcA_CRP_IHF	dmsA//
ArcA_CRP_PuuR	hypF//fadH//hyfG//paaF//chbA//
ArcA_CRP_RhaS	fabA//
ArcA_CRP_TreR	araA//fdhF//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	cyoC//dinJ//
ArcA_Cra	glpD//
ArcA_Cra_FNR_H-NS_HypT	alaV//nfo//
ArcA_CysB_FNR	rrfE//
ArcA_FNR	osmC//evgA//rbsR//nuoB//ynfF//creD//nhaR//rhaT//ulaE//mntH//crp//ytfE//deoA//hyfA//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	hupA//
ArcA_FNR_Fis_IHF_NarL	fimE//citX//puuR//fimB//alaU//dps//acrB//hybG//glgC//fimE//gltF//entC//fadD//
ArcA_FNR_Fur_IHF	hycI//
ArcA_FNR_IHF	entF//rpsO//rprA//
ArcA_FNR_IHF_NarL	fucK//nikC//
ArcA_FNR_NarL	ilvI//lacY//rutA//fucP//
ArcA_FNR_PhoP	marA//
ArcA_FNR_PuuR	rutB//serA//
ArcA_FadR	fadB//sufC//hupA//
ArcA_FadR_Fis	poxB//sufS//
ArcA_Fur_Lrp_ModE	ftnA//fabB//mhpF//nuoN//ynfF//
ArcA_GlcC_IHF_PdhR	nrfB//paaI//metE//ugpB//ynfG//aroM//
ArcA_LexA	nfo//murP//
ArcA_LldR	mpl//hybO//ydhT//
ArcA_NarL	ulaG//paaA//agaA//asnC//glgP//rrfD//glcD//garP//
ArcA_NtrC_PhoP_RutR	yoaG//ybdZ//hyfB//entD//dsdA//lsrG//casC//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	ftsL//feoC//caiA//
ArgP_CRP_FNR_Fur_Nac	ulaD//
ArgP_DnaA	citD//bhsA//ydhW//
ArgP_Lrp	fumC//mdtE//
ArgP_LysR	ynfH//
ArgP_PhoB	nanE//
ArgR_CRP	ybjN//
ArgR_CRP_Fis	hyfA//soxR//hipB//yiaO//bolA//rplM//glnL//cadB//
ArgR_Fis_IHF_PepA_PurR_RutR	dadX//gatY//
ArgR_H-NS_NtrC	cyoA//appY//lsrA//lldR//
ArgR_NtrC	oppA//hisM//carA//paaK//modC//
ArgR_PhoP	fpr//
AscG_CRP	lyxK//ftsZ//paaA//
AscG_CRP_PhoB_PrpR	nikD//
AsnC_MraZ_Nac	tnaA//
AsnC_Nac	rrsD//yiaN//
AtoC_IHF	gltW//ydhY//gatY//dinI//
BaeR_CpxR	gspJ//yciG//rrfG//rpoS//araJ//fadJ//atoE//
BaeR_CpxR_EvgA	nrfE//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	putA//csgG//fepA//hybO//
BasR_CpxR_PdhR	gspL//hisP//
BasR_Fis	fadI//
BasR_H-NS_IHF_NagC_NanR	gspM//
BasR_MarA_PutA	aidB//
BasR_PhoP	ydhV//
BasR_QseB	sodB//narX//
CRP_CaiF_FNR	dcuB//rimK//malQ//ftsL//
CRP_ChbR_NagC	glcE//rhaB//yjbG//higB//metN//dppD//
CRP_ComR	acrA//
CRP_CpxR	sucD//
CRP_CpxR_CytR	ssb//
CRP_CpxR_CytR_DnaA_IHF	rhaA//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	fliG//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	osmY//fliA//relB//galT//
CRP_Cra	mdtA//metN//gnd//ilvA//pnp//feoA//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	fimA//norW//lldD//entA//
CRP_Cra_FNR_PdhR	pspA//
CRP_Cra_Fis	ilvL//
CRP_Cra_Fis_GlcC	aroG//
CRP_Cra_Fis_MtlR	glmY//tdcB//lsrR//
CRP_Cra_Mlc_NagC	gspL//rplM//ydhV//cyoC//puuR//mdh//
CRP_Cra_PrpR	acrZ//dps//rrfA//malK//
CRP_CreB_Fis_MalT	aldA//ygiA//tauB//
CRP_CsiR_H-NS_Lrp	proV//glpF//
CRP_CsiR_H-NS_Lrp_Nac	ygiB//malQ//hyfB//
CRP_CspA_Fis	nuoH//
CRP_CytR	murF//srlE//ilvI//
CRP_CytR_DeoR	rrlD//cydB//
CRP_CytR_DeoR_Fis_ModE	paaJ//xylG//nfo//prfA//
CRP_CytR_Nac	napH//
CRP_CytR_NsrR	hisJ//
CRP_DcuR_FNR_NarL	ynfK//
CRP_DinJ-YafQ	adiA//
CRP_DnaA_Fis_PurR	rcsA//dinJ//
CRP_DpiA_ExuR	yhcH//
CRP_DsdC	fepA//puuA//
CRP_EbgR	rhaS//csgA//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	ytfE//glnP//
CRP_ExuR	csgC//
CRP_ExuR_FNR	fhuF//rutD//
CRP_ExuR_OxyR_UxuR	acrB//gspE//
CRP_ExuR_UxuR	pstS//
CRP_FNR	cysH//
CRP_FNR_FhlA_HyfR	ahpF//fiu//chbR//rprA//gatC//ascB//aceE//malY//ihfA//glpQ//prfA//sufD//
CRP_FNR_Fis	leuO//edd//chbB//
CRP_FNR_Fis_GlpR_IHF	feaR//tpx//
CRP_FNR_Fis_H-NS_SlyA	ybjC//
CRP_FNR_GcvA_Lrp_PurR	fimA//rbfA//marR//
CRP_FNR_H-NS_NarL	fes//
CRP_FNR_IHF_TdcA_TdcR	yoeB//fliJ//napD//hpt//metN//stpA//csgB//
CRP_FNR_NarL	napA//cyoE//proX//
CRP_FeaR_NsrR	pstS//
CRP_Fis	dcuR//norV//sufD//yiaO//uidC//
CRP_Fis_FlhDC_GalR_GalS	fdhF//torC//
CRP_Fis_FliZ_IHF_Lrp	hyfD//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	rrsA//metR//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	lamB//narL//nrfB//
CRP_Fis_IHF	glnD//glpT//nupG//melA//gltW//
CRP_Fis_NanR	eda//recF//fadH//tauA//ssuB//
CRP_Fis_NtrC	mhpD//katE//appA//
CRP_Fis_XylR	tnaB//pck//hycC//
CRP_FlhDC_GalR_GalS	ptsH//
CRP_FucR	ulaF//ogt//ygeA//hybD//cytR//nrfG//fliI//
CRP_Fur	fdnI//purM//ssrS//cydC//pqiB//cyoC//dppC//nupG//yhiM//
CRP_Fur_HypT_PdhR	hisQ//ydeN//dinI//fucP//cysM//
CRP_Fur_OxyR_SoxS	chiP//
CRP_GalR_GalS	rpoE//
CRP_GalR_GalS_H-NS_HU	cysH//rrsB//atoE//rhaS//
CRP_GalR_GalS_NagC	guaB//
CRP_GlpR	dsdA//yjbF//tsx//
CRP_GntR	ftnA//modA//
CRP_GntR_IdnR	hipA//flhC//pgaD//frdC//cadA//tpx//nac//
CRP_GntR_IscR	torC//
CRP_GutM_GutR_H-NS	csgG//hybD//galE//rcnB//ccmF//ilvG_2//sgrT//
CRP_H-NS	hycC//
CRP_H-NS_HipAB_HipB_NtrC	uxuR//
CRP_H-NS_LacI	zinT//serC//yfaE//
CRP_H-NS_LeuO	tnaC//hybC//paaZ//argD//ddlB//nirC//codB//
CRP_H-NS_MqsA	rpsS//
CRP_IHF	rhaB//galT//uidC//uxaB//
CRP_IHF_MprA_OmpR	ulaG//
CRP_IHF_NsrR	nfo//
CRP_IHF_PaaX	caiB//tdcE//psiE//ddlB//metK//sulA//ybfN//fliZ//ilvM//hyfE//yedX//rrfE//
CRP_IHF_UlaR	cyoA//nemA//nhaR//pstB//relA//astB//
CRP_IHF_YiaJ	gspI//pspG//tnaB//nikD//puuC//ynfH//fliA//hybF//baeR//nuoF//
CRP_LexA	chbF//
CRP_Lrp	paaG//aspA//sgrS//ynfH//
CRP_Lrp_Mlc	yjbE//
CRP_Lrp_Nac	pck//
CRP_LsrR	ydeN//leuO//nrfC//ydhY//galR//rutF//serC//rrfB//moeB//
CRP_MalI	rbsR//napD//cysM//
CRP_MalT	tdcB//soxR//molR_1//
CRP_MalT_PhoP	murD//
CRP_MelR	fliJ//narL//fliH//
CRP_MetJ	pyrD//
CRP_MhpR	sroD//carA//frdA//recF//paaZ//fliE//
CRP_Mlc	norW//gadW//
CRP_ModE	nuoF//glyA//inaA//
CRP_MurR	creD//thrV//
CRP_Nac_NsrR_PhoB	cysH//
CRP_NadR	casE//
CRP_NagC	tyrP//hisQ//hyfA//gspD//manY//proV//
CRP_NagC_NanR	rrfH//paaG//dcuB//
CRP_NagC_PhoP	cysP//
CRP_OxyR	malF//
CRP_OxyR_UxuR	caiB//
CRP_PhoB	dcuR//mglA//uxuA//tyrP//ileV//dnaN//
CRP_PhoP	gspD//ssuC//baeS//
CRP_PutA	yiaO//
CRP_RbsR	hipA//caiC//norR//nuoL//ycdZ//nrfC//
CRP_RhaR_RhaS	pncB//gabT//
CRP_RhaS	narI//napH//galR//
CRP_Rob	prpE//
CRP_TorR	gatC//nupC//narG//
CRP_UhpA_UvrY	fumC//
CRP_UidR_UxuR	skp//bglG//bamE//
CRP_UvrY	aroA//
CRP_YehT	hycH//
CRP_ZraR	dmsB//ydhX//
CadC_FNR_H-NS_LeuO_MlrA	gcvT//
Cbl_CysB	nirD//frdD//cyoC//dppF//
Cbl_CysB_FNR_IHF	baeR//xylG//trg//treC//nuoE//
CdaR_FNR_Fis_Fur_H-NS	gdhA//
CdaR_FNR_Fur_H-NS	rpsI//fis//cyaR//ilvH//
CpxR_CsgD_FliZ	gntX//ascF//fabB//
CpxR_CysB	ompW//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	rrfE//
CpxR_GadE	ynfF//gspO//lldP//nhaR//
CpxR_H-NS	astA//
CpxR_NsrR	paaG//
CpxR_RcsB	dsdC//
CpxR_TyrR	rhaD//
Cra_FNR_Fis_Lrp_NarL	lldP//
Cra_FNR_Fur_MarA_Rob_SoxS	manY//
Cra_FhlA_FlhDC	caiC//
Cra_GntR_KdgR	rrsB//
Cra_GntR_KdgR_PhoB	yjbH//
Cra_MarA_SoxS	fimH//
Cra_PdeL	ilvI//
Cra_SgrR	atoD//glcG//nirC//
Cra_TyrR	gltA//
CreB_NagC	waaY//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	rutG//
CsgD_FlhDC	csgD//napG//rob//puuE//ppiA//ssuB//sdhB//pqiB//nrdA//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	csgF//nirD//
CspA_Fis_GadX_H-NS	ahpC//
CueR_FNR_ModE	nfuA//ydhU//nagE//ugpB//fucK//
CusR_PhoB_YedW	rcnB//infB//glpK//nrdD//frdC//accC//gnd//
CysB_H-NS	codA//puuP//tdcA//ssrS//degP//
CysB_HypT_IHF	dgcZ//
CysB_IHF	paaB//ftsW//
CysB_NtrC	puuE//
CysB_PhoP	rhaT//
DcuR_FNR_NarL	cydA//napA//glpA//tyrR//
DinJ-YafQ_LexA	fliG//nirD//
DpiA_H-NS	rplP//
DsdC_NsrR	atoD//
EvgA_FNR	malG//ydhY//
EvgA_H-NS	serA//fimB//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	gspL//
EvgA_H-NS_PhoP_RcsB_YdeO	fau//
EvgA_PhoP_RcsB_YdeO	gspG//
ExuR_UxuR	waaY//dcuA//
FNR_FhlA_IHF_NsrR	fabA//feoA//aslB//rplT//bglF//
FNR_FhlA_NarL_NarP	gspH//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	rrlE//hyfE//molR_1//tdcG//betT//atoD//dctA//
FNR_Fis_IHF_ModE_NarL	yiaN//cirA//idnD//
FNR_Fis_IHF_NarL	fepE//
FNR_Fis_IHF_NarL_RstA	nanA//prpB//tdcA//safA//
FNR_FlhDC	yfaE//
FNR_FlhDC_IscR_ModE_NarL_NarP	rutC//lyxK//ileU//yecR//pdhR//hha//nuoG//
FNR_FlhDC_ModE_NarL_NarP	entA//torA//sgbH//cysW//rpmC//entF//galK//chbF//
FNR_Fur	araF//rtcA//
FNR_Fur_GadE	chbF//
FNR_Fur_GadX_NtrC	uidB//cyoD//
FNR_Fur_H-NS	hisQ//ihfA//fliK//pspC//
FNR_Fur_MetR_NsrR	lpxA//
FNR_Fur_Nac_NtrC	fliC//
FNR_Fur_NagC	leuO//nanA//rhaD//
FNR_Fur_OxyR	xylF//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	fis//
FNR_H-NS	rrsB//aceA//
FNR_H-NS_NrdR	hyfG//galE//
FNR_IHF	fimB//nmpC//cadB//rrfC//glnA//
FNR_IHF_Lrp_YeiL	serC//
FNR_IHF_NarL_NarP_NorR	poxB//ptsH//
FNR_IHF_PhoB	tpx//hcp//uidC//sulA//uxuB//
FNR_MalT	rpsQ//deoD//
FNR_ModE	prpR//rbsC//
FNR_NarL	csiD//ugpB//gabT//degP//astA//fnr//
FNR_NarL_NarP	tdcB//glpQ//hycG//oppC//nrdF//gcvT//murE//paaZ//acrD//
FNR_NarL_NarP_NsrR	ccmB//
FNR_NarL_NarP_NsrR_OxyR	kbaZ//aroM//
FNR_NarL_NikR	rrlG//ugpQ//paaC//rhaA//ygeA//fimB//
FNR_NsrR	mhpA//dpiB//hyfI//
FNR_OxyR	fpr//
FNR_PurR	ygiC//hemL//
FNR_YqjI	ccmA//
FabR_FadR	cusR//ubiC//
FadR_IHF	glnQ//
FadR_IclR	codA//
FhlA_FlhDC	ybdZ//
FhlA_IHF_ModE_NsrR	gspD//fabA//nikC//dcuS//ydhU//casD//sgbH//rcsA//rutF//
FhlA_IHF_NsrR	ydhU//
Fis_Fur	paaI//
Fis_H-NS	aroP//
Fis_H-NS_IHF_MntR_OxyR	lldR//
Fis_H-NS_Lrp	ydhX//hyaF//galK//ydhU//moaB//cadA//rutE//caiC//hypA//rutC//rbsR//creD//metL//cadA//nrdH//nuoH//fhuF//xylB//hybB//nikB//hyfA//entH//sufD//nrfC//
Fis_H-NS_Lrp_StpA	tsx//ilvE//
Fis_IHF	rrfA//
Fis_IHF_NtrC	yciF//torC//
Fis_IHF_OmpR_RcsB	gntK//
Fis_Lrp	fepE//argP//fixB//patA//glpX//fliG//nrdE//yjjQ//fecC//
Fis_MazE_MazE-MazF	rob//
Fis_NarL	relB//
Fis_NarL_NarP_NsrR	galP//metR//
Fis_PurR	mglB//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	astA//osmC//hyfA//
FliZ_RutR	focB//
Fur_H-NS	cyoE//ileT//napB//pgaB//cysJ//yqjI//aceF//modB//yjcH//alaT//cspA//ydeN//lamB//
Fur_IHF_IscR_NsrR_OxyR	rpsI//spy//soxR//rpoS//gatZ//yhiM//
Fur_IscR_NrdR	rutA//zwf//cusA//fau//
Fur_MetR	ccmB//
Fur_MntR	glcB//
Fur_MntR_OxyR	tomB//
Fur_OxyR	sgbH//
Fur_PurR	paaD//feaB//
Fur_RcnR	mdtA//dcuC//
Fur_RutR	mdtE//
Fur_SoxS_Zur	prpE//
Fur_YqjI	cydC//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	entE//rhaS//
GadE-RcsB_H-NS	citE//
GadE-RcsB_PhoB	fur//
GadE-RcsB_Rob	ynfH//
GadE_GadX_H-NS_PhoP_RcsB	gatA//
GadE_H-NS_Lrp_NsrR	pncB//
GadE_H-NS_MatA	ybjC//
GadE_H-NS_RcsAB	nanK//
GadE_MarA_PurR	rtcA//
GadW_GadX_RcsB	gatD//
GalR_GalS	alaT//
GlrR_IHF	marA//
H-NS_IHF	srlD//nrdF//iclR//
H-NS_IHF_Lrp	marB//fucR//chbG//feaB//gspE//rseA//entF//
H-NS_LeuO	gutQ//sra//
H-NS_LeuO_RcsB-BglJ_StpA	nikB//
H-NS_LrhA_Lrp	lacA//
H-NS_Lrp	metR//ygiC//
H-NS_Lrp_NhaR_RcsB	srlE//
H-NS_Lrp_StpA	hybF//
H-NS_McbR	gspM//tsx//ilvD//
H-NS_NhaR	poxB//fis//
H-NS_OmpR	yefM//
H-NS_PhoB_RcdA_RstA	napF//
HU_IHF_TrpR_TyrR	nuoF//
HU_IHF_TyrR	chbR//
HigA_HigB-HigA	melB//hipA//
HipAB_HipB_IHF	glnG//cirA//
HypT_MetJ	nuoK//napD//hemA//
HypT_MetJ_PhoP	hydN//nuoE//
IHF_Lrp	ilvH//yafQ//eda//manY//narX//norR//moaB//hypE//
IHF_NsrR	garR//
IHF_NtrC	appB//ydeM//
IHF_PhoP	deoD//
IHF_PspF	rtcA//puuB//paaC//proW//xylF//csiD//
IHF_RcsAB	xylR//rrfD//rbsK//fdnI//
IHF_RtcR	tnaC//gatD//
IHF_TyrR	rhaA//
IHF_UlaR	yeiL//
LexA_MraZ_PdhR	caiD//adiC//yoaG//yecR//gatY//prpR//srlE//pdhR//srlR//gspI//yiaJ//
LexA_MraZ_PdhR_RcsB_SdiA	hyfC//idnD//
LexA_MraZ_PdhR_SdiA	rrsD//
LexA_NagC	pstC//
LexA_RcdA	metR//
LexA_RcsB-BglJ	fliG//
MarA_OxyR_Rob_SoxS	chbC//rpsI//nanE//glnA//
MarA_PhoP_Rob_SoxS	gadX//garR//dcuC//ygiC//
MarA_Rob_SoxS	napF//hycA//ulaF//rrsG//pgaC//
MarA_SoxS	tauD//ygiC//tauA//zraR//hyaC//
MetJ_MetR	rcsA//nikB//
MetJ_OxyR	aroG//pflB//
MetR_PurR	fimE//
MraZ_PdhR	nuoH//fliK//
Nac_PurR	ssb//fecE//
NarL_TorR	feoA//phoQ//rhaR//
NemR_RutR	dcuR//ydhV//ulaD//
NhaR_OmpR	mhpE//ydhV//cbl//gntU//
NorR_NsrR	dcuR//
NsrR_PhoB	galT//
OxyR_SoxS	mhpF//
PdhR_PhoP	moaB//
PgrR_TyrR	ydeN//
PhoB_PhoP	csgC//
PhoP_PurR_RbsR	yeaR//dnaN//
RelB_RelB-RelE	chbR//slp//rrfC//
TrpR_TyrR	tolC//mioC//lldR//
YefM_YefM-YoeB	nuoF//hisP//
