#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	nhaR//nanM//
ArcA_CRP_Cra_FNR_NsrR_PdhR	pflB//ccmC//
ArcA_CRP_Cra_Fis	dcuA//
ArcA_CRP_Cra_IHF_IclR	lacA//gnd//flgM//
ArcA_CRP_DcuR	rtcB//
ArcA_CRP_DcuR_DpiA_FNR_NarL	casE//cydC//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	citF//
ArcA_CRP_DnaA_FNR	ssuE//
ArcA_CRP_DpiA_FNR_NarL	gltV//caiD//narL//rpsJ//ybjN//ccmB//
ArcA_CRP_DpiA_FlhDC	tdcC//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	hupA//agaV//
ArcA_CRP_FNR	gspE//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	feoC//icd//purM//
ArcA_CRP_FNR_Fis_Fur_PdhR	tyrP//
ArcA_CRP_FNR_Fis_IHF_NarL	ygeA//
ArcA_CRP_FNR_Fur	degP//sdhC//edd//atoE//
ArcA_CRP_FNR_Fur_IHF	dcuS//ygiC//fliC//gltW//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	hypF//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	cytR//
ArcA_CRP_FNR_IHF_NarL	flhD//
ArcA_CRP_FNR_NarL	glpX//
ArcA_CRP_FadR	agaV//mazE//
ArcA_CRP_FadR_HipB	ugpQ//
ArcA_CRP_FadR_OmpR_PhoP	nfo//
ArcA_CRP_Fis_Mlc_SoxS	sdhD//
ArcA_CRP_Fis_XylR	nuoL//
ArcA_CRP_Fur_GadX_MqsA	acrF//
ArcA_CRP_GatR	lsrB//oppB//phoQ//gspC//trg//dmsA//
ArcA_CRP_GlpR	accC//
ArcA_CRP_IHF	glcC//
ArcA_CRP_PuuR	betT//cadA//cysH//fumC//glcA//
ArcA_CRP_RhaS	rplC//
ArcA_CRP_TreR	metQ//rutA//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	xylG//napC//
ArcA_Cra	gadB//
ArcA_Cra_FNR_H-NS_HypT	ulaB//proP//
ArcA_CysB_FNR	xylA//
ArcA_FNR	hipA//mazE//nfsB//lldR//galM//hlyE//appX//narH//nrdB//nuoI//dsdC//gadB//lpxA//napA//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	lpxA//
ArcA_FNR_Fis_IHF_NarL	atoE//tnaC//envZ//gatA//fadJ//rseB//galT//agaW//narI//gspM//oppF//pqiA//gatC//
ArcA_FNR_Fur_IHF	hydN//
ArcA_FNR_IHF	sufC//cadA//bolA//
ArcA_FNR_IHF_NarL	araD//fadB//
ArcA_FNR_NarL	osmY//fes//hupB//dppA//
ArcA_FNR_PhoP	dcuR//
ArcA_FNR_PuuR	katG//galK//
ArcA_FadR	sgbH//gatD//nuoL//
ArcA_FadR_Fis	nuoL//fiu//
ArcA_Fur_Lrp_ModE	nuoF//ftsW//fadH//dppD//gatC//
ArcA_GlcC_IHF_PdhR	eda//rpsI//katG//glnL//tdcD//galM//
ArcA_LexA	ugpE//casA//
ArcA_LldR	cydA//rpoS//bhsA//
ArcA_NarL	prpD//hmp//cysG//sgrT//prpR//lacY//mglB//rpsJ//
ArcA_NtrC_PhoP_RutR	hupA//feoC//nfsA//lacY//dinJ//appB//bglG//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	gapA//pgaD//ssuB//
ArgP_CRP_FNR_Fur_Nac	srlB//
ArgP_DnaA	gcvP//yciG//mntH//
ArgP_Lrp	cirA//katG//
ArgP_LysR	gcvH//
ArgP_PhoB	rnpB//
ArgR_CRP	tolC//
ArgR_CRP_Fis	gatA//ulaA//idnR//deoD//betA//mpl//murQ//higB//
ArgR_Fis_IHF_PepA_PurR_RutR	puuC//hemA//
ArgR_H-NS_NtrC	sufA//gapA//nrdI//casB//
ArgR_NtrC	pstC//nuoM//mhpB//hdeB//ygeA//
ArgR_PhoP	puuP//
AscG_CRP	hha//ftsQ//rbfA//
AscG_CRP_PhoB_PrpR	nemR//
AsnC_MraZ_Nac	cusA//
AsnC_Nac	tolC//garK//
AtoC_IHF	idnO//lhgO//cusF//rplV//
BaeR_CpxR	ybdN//fimC//yoaG//rrfD//rplW//fimA//spy//
BaeR_CpxR_EvgA	sgrS//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	chbB//nuoH//thrV//hyaA//
BasR_CpxR_PdhR	astD//paaB//
BasR_Fis	rutA//
BasR_H-NS_IHF_NagC_NanR	prmC//
BasR_MarA_PutA	chiP//
BasR_PhoP	glnL//
BasR_QseB	nuoJ//alaV//
CRP_CaiF_FNR	chiP//mhpE//focA//nagA//
CRP_ChbR_NagC	dcuD//gspF//ynfK//melA//ybiT//glyA//
CRP_ComR	fadI//
CRP_CpxR	patA//
CRP_CpxR_CytR	zinT//
CRP_CpxR_CytR_DnaA_IHF	nrfA//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	ilvE//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	gatB//hyfD//xylB//rpmC//
CRP_Cra	gspC//paaB//hyaD//hybG//araC//glgP//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	gspE//fucI//gspI//gadB//
CRP_Cra_FNR_PdhR	fimE//
CRP_Cra_Fis	tyrP//
CRP_Cra_Fis_GlcC	rpsQ//
CRP_Cra_Fis_MtlR	relE//rhaB//emrY//
CRP_Cra_Mlc_NagC	cas2//moaE//gloA//gltV//emrY//hycH//
CRP_Cra_PrpR	uxaC//gutQ//rrlD//tnaC//
CRP_CreB_Fis_MalT	dadA//soxS//pstA//
CRP_CsiR_H-NS_Lrp	pyrC//treB//
CRP_CsiR_H-NS_Lrp_Nac	csgA//cysM//cyoE//
CRP_CspA_Fis	fecC//
CRP_CytR	sufD//araJ//umpH//
CRP_CytR_DeoR	ftsZ//rplV//
CRP_CytR_DeoR_Fis_ModE	ftnA//nirC//fliK//gltU//
CRP_CytR_Nac	glgP//
CRP_CytR_NsrR	glgC//
CRP_DcuR_FNR_NarL	caiD//
CRP_DinJ-YafQ	sulA//
CRP_DnaA_Fis_PurR	glcA//gspC//
CRP_DpiA_ExuR	cyoA//
CRP_DsdC	ssb//chiP//
CRP_EbgR	fadB//katE//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	glcA//hyfJ//
CRP_ExuR	rutE//
CRP_ExuR_FNR	dmsB//fliE//
CRP_ExuR_OxyR_UxuR	guaA//hycI//
CRP_ExuR_UxuR	cysU//
CRP_FNR	oppF//
CRP_FNR_FhlA_HyfR	chbG//moaE//fucK//nikE//cyoD//lpd//csgC//ulaB//mhpF//pqiB//fliE//fumA//
CRP_FNR_Fis	putA//araB//glnK//
CRP_FNR_Fis_GlpR_IHF	napG//paaF//
CRP_FNR_Fis_H-NS_SlyA	dcuB//
CRP_FNR_GcvA_Lrp_PurR	actP//yiaM//atoA//
CRP_FNR_H-NS_NarL	sulA//
CRP_FNR_IHF_TdcA_TdcR	rpsO//caiF//sdhA//nuoA//fliG//hemA//guaA//
CRP_FNR_NarL	yiaN//rutB//gspF//
CRP_FeaR_NsrR	tolC//
CRP_Fis	napH//rbsR//metH//ydhX//appY//
CRP_Fis_FlhDC_GalR_GalS	lpd//ilvL//
CRP_Fis_FliZ_IHF_Lrp	csrC//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	pyrD//aldA//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	acrF//sgbU//lhgO//
CRP_Fis_IHF	gapA//fdnI//feoC//rplD//dctA//
CRP_Fis_NanR	murD//rrlG//oxyR//dppF//purD//
CRP_Fis_NtrC	higB//tdcF//rhaB//
CRP_Fis_XylR	zinT//qseB//ihfA//
CRP_FlhDC_GalR_GalS	gatA//
CRP_FucR	ftsW//napD//nuoC//nhaR//fixB//sodB//mglB//
CRP_Fur	lrp//caiT//yiaL//cyoB//molR_1//sdhC//galP//safA//uxaB//
CRP_Fur_HypT_PdhR	lysP//micF//dppD//hycH//putA//
CRP_Fur_OxyR_SoxS	tolC//
CRP_GalR_GalS	trg//
CRP_GalR_GalS_H-NS_HU	hisQ//glgC//citD//nuoC//
CRP_GalR_GalS_NagC	osmC//
CRP_GlpR	entD//ulaA//mazG//
CRP_GntR	cyoE//ansB//
CRP_GntR_IdnR	dnaN//tauB//puuP//malP//cbl//hycA//appC//
CRP_GntR_IscR	rrsD//
CRP_GutM_GutR_H-NS	xylB//cusS//araJ//hycD//sucC//paaI//pstA//
CRP_H-NS	gspJ//
CRP_H-NS_HipAB_HipB_NtrC	moaA//
CRP_H-NS_LacI	sodA//appA//metB//
CRP_H-NS_LeuO	galS//sucD//cirA//srlD//dinJ//murF//appC//
CRP_H-NS_MqsA	nrfC//
CRP_IHF	ygiC//sgbU//ascF//bamE//
CRP_IHF_MprA_OmpR	ompR//
CRP_IHF_NsrR	pspG//
CRP_IHF_PaaX	ftsA//nrfF//truB//ogt//sufD//nanT//ybdN//hypC//cspI//gspG//cadB//ogt//
CRP_IHF_UlaR	frdD//paaF//metB//dcuR//melA//acrE//
CRP_IHF_YiaJ	treB//dmsC//ebgA//lsrK//malF//murE//soxR//dcuA//sufB//lldR//
CRP_LexA	dcuB//
CRP_Lrp	mglB//cspA//ompW//ascF//
CRP_Lrp_Mlc	soxR//
CRP_Lrp_Nac	mazG//
CRP_LsrR	tcyJ//rrfD//rplV//metI//pncB//rbsD//rtcB//yjbH//umpH//
CRP_MalI	ansB//malP//yjbH//
CRP_MalT	cadA//fucI//fhlA//
CRP_MalT_PhoP	caiB//
CRP_MelR	glyA//csiD//modA//
CRP_MetJ	icd//
CRP_MhpR	fliH//galE//nuoJ//prfA//ftsQ//aldB//
CRP_Mlc	nrfA//alaT//
CRP_ModE	aspA//rplW//pgaB//
CRP_MurR	adhE//micF//
CRP_Nac_NsrR_PhoB	fdnI//
CRP_NadR	sufD//
CRP_NagC	rplB//napB//cspI//nikA//mglC//appX//
CRP_NagC_NanR	sdhA//safA//gspI//
CRP_NagC_PhoP	paaK//
CRP_OxyR	prpD//
CRP_OxyR_UxuR	glgP//
CRP_PhoB	prfA//fadI//astE//inaA//mazE//gspD//
CRP_PhoP	rrfH//pgaD//hyfJ//
CRP_PutA	waaY//
CRP_RbsR	trg//gatB//paaI//yhjA//dppF//gabD//
CRP_RhaR_RhaS	nupG//soxS//
CRP_RhaS	ccmB//prpB//kbaZ//
CRP_Rob	rpmC//
CRP_TorR	acrE//yciG//hycE//
CRP_UhpA_UvrY	lpxA//
CRP_UidR_UxuR	nanA//uvrA//fadD//
CRP_UvrY	tdcG//
CRP_YehT	baeS//
CRP_ZraR	lsrF//acs//
CadC_FNR_H-NS_LeuO_MlrA	umpH//
Cbl_CysB	tnaC//yfaE//melA//atoD//
Cbl_CysB_FNR_IHF	glpF//tyrR//hha//relA//fnr//
CdaR_FNR_Fis_Fur_H-NS	manZ//
CdaR_FNR_Fur_H-NS	mhpB//tomB//mdtD//glcB//
CpxR_CsgD_FliZ	ybjC//mhpD//rutG//
CpxR_CysB	csiE//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	gabD//
CpxR_GadE	cysU//yciF//nusA//nrfF//
CpxR_H-NS	codB//
CpxR_NsrR	dpiA//
CpxR_RcsB	fucR//
CpxR_TyrR	narJ//
Cra_FNR_Fis_Lrp_NarL	yfaE//
Cra_FNR_Fur_MarA_Rob_SoxS	nanT//
Cra_FhlA_FlhDC	nikA//
Cra_GntR_KdgR	lamB//
Cra_GntR_KdgR_PhoB	mraZ//
Cra_MarA_SoxS	fimH//
Cra_PdeL	dinJ//
Cra_SgrR	skp//araB//tnaA//
Cra_TyrR	rplC//
CreB_NagC	purA//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	napG//
CsgD_FlhDC	adhE//nirC//gadX//ygbA//uhpT//mhpC//ndh//pstS//uidC//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	asr//hcp//
CspA_Fis_GadX_H-NS	nrfG//
CueR_FNR_ModE	rrlC//aspA//nuoK//pdhR//araH//
CusR_PhoB_YedW	ugpB//lacA//mlc//glpX//rplB//waaH//fadE//
CysB_H-NS	cyoD//rhaR//ccmB//srlR//nuoC//
CysB_HypT_IHF	sucA//
CysB_IHF	glpA//rpsO//
CysB_NtrC	sdhD//
CysB_PhoP	bglG//
DcuR_FNR_NarL	ybdN//hisQ//ilvL//paaJ//
DinJ-YafQ_LexA	ydeN//prpB//
DpiA_H-NS	nuoF//
DsdC_NsrR	moaB//
EvgA_FNR	appC//lpxC//
EvgA_H-NS	uhpT//nikD//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	ccmE//
EvgA_H-NS_PhoP_RcsB_YdeO	focB//
EvgA_PhoP_RcsB_YdeO	sbmC//
ExuR_UxuR	rutC//glgA//
FNR_FhlA_IHF_NsrR	ftnA//gutQ//pgk//narL//metB//
FNR_FhlA_NarL_NarP	soxS//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	rpoH//fadL//lgoR//mdtD//oppB//napD//tdcE//
FNR_Fis_IHF_ModE_NarL	marB//gabP//nuoH//
FNR_Fis_IHF_NarL	yjbF//
FNR_Fis_IHF_NarL_RstA	glgP//xylR//iclR//aslB//
FNR_FlhDC	guaB//
FNR_FlhDC_IscR_ModE_NarL_NarP	rseA//nirB//dusB//nuoI//rutA//caiF//casA//
FNR_FlhDC_ModE_NarL_NarP	feoC//tauA//cas2//tpx//osmY//dusB//uof//metI//
FNR_Fur	relA//dcuC//
FNR_Fur_GadE	tyrR//
FNR_Fur_GadX_NtrC	skp//rpmC//
FNR_Fur_H-NS	araG//chbA//glnD//fimA//
FNR_Fur_MetR_NsrR	nikB//
FNR_Fur_Nac_NtrC	yfaE//
FNR_Fur_NagC	lhgO//gltD//feoC//
FNR_Fur_OxyR	proW//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	hha//
FNR_H-NS	fecA//modB//
FNR_H-NS_NrdR	lgoR//srlA//
FNR_IHF	ssuC//rutF//qseB//csgC//gadC//
FNR_IHF_Lrp_YeiL	rrlB//
FNR_IHF_NarL_NarP_NorR	osmC//yefM//
FNR_IHF_PhoB	pgaA//rbsR//truB//cyoD//exuT//
FNR_MalT	mhpE//ahpF//
FNR_ModE	fnr//malE//
FNR_NarL	spy//xylA//ybjN//ilvE//fliZ//moeB//
FNR_NarL_NarP	yciF//lldD//feoA//chbB//sufA//soxS//rutE//nac//glpD//
FNR_NarL_NarP_NsrR	metH//
FNR_NarL_NarP_NsrR_OxyR	ahpC//mraY//
FNR_NarL_NikR	yjiY//dadX//gcd//higA//galK//infB//
FNR_NsrR	araD//purM//acrE//
FNR_OxyR	feoC//
FNR_PurR	sucA//glnQ//
FNR_YqjI	rrlC//
FabR_FadR	gspC//cysW//
FadR_IHF	bglJ//
FadR_IclR	zinT//
FhlA_FlhDC	caiA//
FhlA_IHF_ModE_NsrR	gcvP//lpd//ygeA//csgB//nagC//dps//nrfC//hyfE//psiE//
FhlA_IHF_NsrR	melR//
Fis_Fur	hpt//
Fis_H-NS	lldR//
Fis_H-NS_IHF_MntR_OxyR	fdnI//
Fis_H-NS_Lrp	glpX//dcuA//napH//gadX//nanA//hyaB//atoB//galP//narI//fecD//malT//tnaB//yjbH//metE//caiE//ptsI//dcuS//rrsA//dcuS//pdeR//serA//nanE//aroM//cirA//
Fis_H-NS_Lrp_StpA	glnQ//adiC//
Fis_IHF	narK//
Fis_IHF_NtrC	ulaF//yciG//
Fis_IHF_OmpR_RcsB	fimA//
Fis_Lrp	rrfH//fdnI//hpt//gntP//ydhT//dps//ydhU//cas1//hipB//
Fis_MazE_MazE-MazF	yhcH//
Fis_NarL	casA//
Fis_NarL_NarP_NsrR	hypF//ptsG//
Fis_PurR	idnR//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	tnaA//glpA//fimG//
FliZ_RutR	ebgA//
Fur_H-NS	flhC//cspE//dppC//rseC//marA//moaD//glnA//torD//relB//soxS//norV//cysW//ccmB//
Fur_IHF_IscR_NsrR_OxyR	melB//pnp//tomB//csgC//ahpF//narX//
Fur_IscR_NrdR	hisQ//hycD//aslB//chbF//
Fur_MetR	rrsB//
Fur_MntR	atoE//
Fur_MntR_OxyR	yeaR//
Fur_OxyR	sdhC//
Fur_PurR	pspD//manZ//
Fur_RcnR	hyfE//gabP//
Fur_RutR	dadA//
Fur_SoxS_Zur	ftsL//
Fur_YqjI	manZ//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	gabP//relA//
GadE-RcsB_H-NS	gspM//
GadE-RcsB_PhoB	waaH//
GadE-RcsB_Rob	ccmB//
GadE_GadX_H-NS_PhoP_RcsB	nuoC//
GadE_H-NS_Lrp_NsrR	ftsI//
GadE_H-NS_MatA	rrfB//
GadE_H-NS_RcsAB	fumC//
GadE_MarA_PurR	dps//
GadW_GadX_RcsB	malP//
GalR_GalS	csgF//
GlrR_IHF	yjcH//
H-NS_IHF	nanT//puuB//ybiT//
H-NS_IHF_Lrp	glpA//hycD//cytR//rrlG//cysU//pdhR//mdtF//
H-NS_LeuO	hyaD//csiE//
H-NS_LeuO_RcsB-BglJ_StpA	ompR//
H-NS_LrhA_Lrp	hisQ//
H-NS_Lrp	sgrT//lsrD//
H-NS_Lrp_NhaR_RcsB	oppA//
H-NS_Lrp_StpA	chiP//
H-NS_McbR	csiD//metQ//atoD//
H-NS_NhaR	gatB//uhpT//
H-NS_OmpR	caiF//
H-NS_PhoB_RcdA_RstA	lpxA//
HU_IHF_TrpR_TyrR	csgE//
HU_IHF_TyrR	hycA//
HigA_HigB-HigA	tauA//ftsW//
HipAB_HipB_IHF	puuD//rrfB//
HypT_MetJ	waaH//csgC//lgoR//
HypT_MetJ_PhoP	ydeO//gspO//
IHF_Lrp	frdC//mhpC//malT//aldA//malS//sgbE//marR//proX//
IHF_NsrR	fimC//
IHF_NtrC	srlB//entF//
IHF_PhoP	moaC//
IHF_PspF	entF//stpA//nanT//araG//micF//purN//
IHF_RcsAB	rhaD//nanT//fecA//melA//
IHF_RtcR	inaA//yjbG//
IHF_TyrR	lpd//
IHF_UlaR	ogt//
LexA_MraZ_PdhR	nanM//narK//cydC//galP//fadE//mhpB//glnK//hyfR//dmsC//flhD//lpxA//
LexA_MraZ_PdhR_RcsB_SdiA	betI//cusB//
LexA_MraZ_PdhR_SdiA	cysH//
LexA_NagC	oppB//
LexA_RcdA	dps//
LexA_RcsB-BglJ	rpoH//
MarA_OxyR_Rob_SoxS	pnp//yciF//appY//araB//
MarA_PhoP_Rob_SoxS	glgP//appA//araF//mazF//
MarA_Rob_SoxS	paaB//cysG//yjbE//sdhA//epd//
MarA_SoxS	dcuA//focA//acrE//entD//cysH//
MetJ_MetR	rbfA//prpR//
MetJ_OxyR	mglC//nuoH//
MetR_PurR	puuE//
MraZ_PdhR	sgrS//fucP//
Nac_PurR	fimE//proV//
NarL_TorR	rrsH//hisQ//melB//
NemR_RutR	ybjC//mlc//atoA//
NhaR_OmpR	fbaA//pspB//nagE//ydeP//
NorR_NsrR	iraM//
NsrR_PhoB	gltA//
OxyR_SoxS	nrdA//
PdhR_PhoP	chbB//
PgrR_TyrR	tsx//
PhoB_PhoP	ccmE//
PhoP_PurR_RbsR	cas2//fliE//
RelB_RelB-RelE	rplP//atoB//gyrA//
TrpR_TyrR	ydeO//dgcZ//gltV//
YefM_YefM-YoeB	betI//yaiA//
