#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	mdtA//dcuC//
ArcA_CRP_RhaS	ugpE//
ArcA_CRP_TreR	alaT//rutC//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	entB//pdhR//
ArcA_Cra	sufD//
ArcA_Cra_FNR_H-NS_HypT	nrfE//moeB//
ArcA_CysB_FNR	casD//
ArcA_FNR	gspK//ccmA//malT//csgE//rrsB//csgF//nuoJ//rutG//rrfA//uxuB//hemA//prpE//fadE//napC//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	ynfF//
ArcA_FNR_Fis_IHF_NarL	ugpB//oxyR//glpT//nac//ubiA//mtlA//gltT//sucD//entB//murD//nupC//fumC//caiF//
ArcA_FNR_Fur_IHF	araE//
ArcA_FNR_IHF	hyfR//skp//nirD//
ArcA_FNR_IHF_NarL	nrdG//nrdH//
ArcA_FNR_NarL	gatD//cyoE//nanT//idnO//
ArcA_FNR_PhoP	dcuB//
ArcA_FNR_PuuR	ilvA//gltB//
ArcA_FadR	atoD//sufD//rutB//
ArcA_FadR_Fis	lpxA//astE//
ArcA_Fur_Lrp_ModE	exuR//rrlD//adhE//crp//rseC//
ArcA_GlcC_IHF_PdhR	ubiC//napD//hisP//ndh//psiE//aroP//
ArcA_LexA	hypA//putA//
ArcA_LldR	mdtC//alaV//ackA//
ArcA_NarL	glmY//nikB//araG//uspA//uxuR//tsx//prpE//mglB//
ArcA_NtrC_PhoP_RutR	dmsC//rsmH//cyoE//ybdZ//cysP//sufD//caiD//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	puuP//waaZ//dnaA//
ArgP_CRP_FNR_Fur_Nac	fliA//
ArgP_DnaA	csgA//fadB//frdD//
ArgP_Lrp	guaA//cbl//
ArgP_LysR	folA//
ArgP_PhoB	osmE//
ArgR_CRP	nikB//
ArgR_CRP_Fis	ccmG//rbsB//malT//hcp//lyxK//feaB//rrsD//torA//
ArgR_Fis_IHF_PepA_PurR_RutR	dusB//lsrD//
ArgR_H-NS_NtrC	hybG//yhcH//fdnH//pqiA//
ArgR_NtrC	ilvL//rtcB//sufC//hupA//ydhY//
ArgR_PhoP	cyoC//
AscG_CRP	astE//argO//aidB//
AscG_CRP_PhoB_PrpR	hybA//
AsnC_MraZ_Nac	paaD//
AsnC_Nac	nikB//aroG//
AtoC_IHF	lsrK//sufE//ydhV//relE//
BaeR_CpxR	araB//araJ//ugpQ//metY//codB//yjbG//rbsB//
BaeR_CpxR_EvgA	yiaK//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	galE//glnL//ilvL//ulaC//
BasR_CpxR_PdhR	yjbG//gcvT//
BasR_Fis	cusS//
BasR_H-NS_IHF_NagC_NanR	lysA//
BasR_MarA_PutA	yjjQ//
BasR_PhoP	ssuE//
BasR_QseB	pgaB//fucR//
CRP_CaiF_FNR	exuT//yciE//accB//glcC//
CRP_ChbR_NagC	glcC//rrlC//galP//rsmH//gatD//glpF//
CRP_ComR	ygiB//
CRP_CpxR	nuoN//
CRP_CpxR_CytR	carA//
CRP_CpxR_CytR_DnaA_IHF	ftsQ//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	prpE//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	rrfG//fliZ//hyfH//cysU//
CRP_Cra	nac//ssrS//tdcB//nuoK//ssb//mntP//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	csgG//atoE//mraZ//yhjA//
CRP_Cra_FNR_PdhR	fucR//
CRP_Cra_Fis	hmp//
CRP_Cra_Fis_GlcC	galK//
CRP_Cra_Fis_MtlR	garK//garP//yjbG//
CRP_Cra_Mlc_NagC	cusF//sgbE//emrY//mtlR//gspH//gltT//
CRP_Cra_PrpR	deoA//yciE//atoE//glpX//
CRP_CreB_Fis_MalT	dppA//gcd//caiB//
CRP_CsiR_H-NS_Lrp	aer//fecB//
CRP_CsiR_H-NS_Lrp_Nac	bglF//hyaD//malE//
CRP_CspA_Fis	aroM//
CRP_CytR	nuoJ//tyrP//tdcE//
CRP_CytR_DeoR	tdcB//ftsI//
CRP_CytR_DeoR_Fis_ModE	rrfE//pdeR//pyrC//evgS//
CRP_CytR_Nac	srlD//
CRP_CytR_NsrR	gatA//
CRP_DcuR_FNR_NarL	mntP//
CRP_DinJ-YafQ	pgaC//
CRP_DnaA_Fis_PurR	ubiC//malS//
CRP_DpiA_ExuR	nagA//
CRP_DsdC	ydhU//hycF//
CRP_EbgR	qseB//nagC//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	agaV//rutB//
CRP_ExuR	cspA//
CRP_ExuR_FNR	nanK//flgN//
CRP_ExuR_OxyR_UxuR	entA//ydeO//
CRP_ExuR_UxuR	metB//
CRP_FNR	fliJ//
CRP_FNR_FhlA_HyfR	ssuD//rrfE//ynfK//cyoE//atoD//gadF//ilvG_2//gltD//ileV//acrE//acrZ//purM//
CRP_FNR_Fis	nhaA//lldP//fliZ//
CRP_FNR_Fis_GlpR_IHF	nikC//ebgC//
CRP_FNR_Fis_H-NS_SlyA	fpr//
CRP_FNR_GcvA_Lrp_PurR	uidB//yjbE//mtr//
CRP_FNR_H-NS_NarL	hycG//
CRP_FNR_IHF_TdcA_TdcR	rrsD//rrsG//ydeO//pstS//araG//ebgA//dcuD//
CRP_FNR_NarL	umpH//gspE//gltT//
CRP_FeaR_NsrR	nuoM//
CRP_Fis	dgcZ//yiaJ//araG//nanT//sgbU//
CRP_Fis_FlhDC_GalR_GalS	lacZ//yiaM//
CRP_Fis_FliZ_IHF_Lrp	fimG//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	amtB//ompF//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	hns//mglA//paaJ//
CRP_Fis_IHF	rrfF//cyoB//hcp//dcuA//yhiM//
CRP_Fis_NanR	evgS//fadA//rhaB//aslB//galS//
CRP_Fis_NtrC	agaV//hypC//nagA//
CRP_Fis_XylR	ynfH//tdcA//lrp//
CRP_FlhDC_GalR_GalS	nirD//
CRP_FucR	rhaD//nrdH//hyfI//frdC//murC//nuoI//yhcH//
CRP_Fur	nirD//fhlA//gntT//proP//tpx//putA//agaV//ydhV//malK//
CRP_Fur_HypT_PdhR	ilvA//hypD//fucU//poxB//pstA//
CRP_Fur_OxyR_SoxS	pgaD//
CRP_GalR_GalS	modA//
CRP_GalR_GalS_H-NS_HU	xylH//gltW//truB//pgk//
CRP_GalR_GalS_NagC	poxB//
CRP_GlpR	ygeA//metY//feaB//
CRP_GntR	nfuA//cusS//
CRP_GntR_IdnR	entF//rhaA//gadA//fliA//tyrP//mntP//alaU//
CRP_GntR_IscR	gadX//
CRP_GutM_GutR_H-NS	narH//atoB//nrdG//hyfA//oxyR//fimE//srlD//
CRP_H-NS	dadX//
CRP_H-NS_HipAB_HipB_NtrC	idnD//
CRP_H-NS_LacI	yqjI//glnG//ugpE//
CRP_H-NS_LeuO	prmC//yoeB//deoD//feaB//creD//ybjC//phoU//
CRP_H-NS_MqsA	sufS//
CRP_IHF	acrF//tdcF//adiC//paaC//
CRP_IHF_MprA_OmpR	dadA//
CRP_IHF_NsrR	gltU//
CRP_IHF_PaaX	aroP//hycC//rrlH//narI//bglB//lgoR//rrsG//dadX//metE//ilvA//glnK//nrfG//
CRP_IHF_UlaR	hybB//yiaO//entC//glnP//ftsI//ilvE//
CRP_IHF_YiaJ	waaH//chiP//uxuR//acrA//cyoB//fliK//alaT//tdcE//nanM//fadH//
CRP_LexA	dmsC//
CRP_Lrp	manZ//ulaC//galR//gntT//
CRP_Lrp_Mlc	ilvE//
CRP_Lrp_Nac	evgS//
CRP_LsrR	entB//pyrC//gltV//sgbU//hybD//ptsG//nirB//narX//nrfD//
CRP_MalI	pgaA//marA//ansB//
CRP_MalT	rrsC//gadX//hybF//
CRP_MalT_PhoP	tauD//
CRP_MelR	mdtA//fau//zraS//
CRP_MetJ	cdd//
CRP_MhpR	rrsD//gntT//garL//sulA//fliC//rimK//
CRP_Mlc	cydA//ascF//
CRP_ModE	fliE//hpt//mhpB//
CRP_MurR	ycdZ//emrY//
CRP_Nac_NsrR_PhoB	ebgC//
CRP_NadR	purR//
CRP_NagC	relB//gspH//paaI//hipB//ccmD//serA//
CRP_NagC_NanR	rpsC//rbsR//ilvH//
CRP_NagC_PhoP	hipB//
CRP_OxyR	rbsK//
CRP_OxyR_UxuR	hns//
CRP_PhoB	ydeM//focA//aroL//idnT//murD//feoB//
CRP_PhoP	nuoB//dppB//puuE//
CRP_PutA	ynfG//
CRP_RbsR	ahpF//cydB//puuE//betT//ilvX//tdcF//
CRP_RhaR_RhaS	dsdA//aslB//
CRP_RhaS	feaB//hmp//fumB//
CRP_Rob	pspG//
CRP_TorR	thrV//lsrR//ygiC//
CRP_UhpA_UvrY	lpxD//
CRP_UidR_UxuR	yhjA//fimF//norV//
CRP_UvrY	fecE//
CRP_YehT	puuD//
CRP_ZraR	dinJ//safA//
CadC_FNR_H-NS_LeuO_MlrA	sdhC//
Cbl_CysB	ynfH//flgN//gnd//yiaM//
Cbl_CysB_FNR_IHF	fucR//dpiA//yoeB//frdC//tomB//
CdaR_FNR_Fis_Fur_H-NS	ygeA//
CdaR_FNR_Fur_H-NS	uxuR//dmsA//fecD//yjbE//
CpxR_CsgD_FliZ	rplP//inaA//nrdI//
CpxR_CysB	fdhF//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	dppC//
CpxR_GadE	ilvG_2//tam//cas1//adiA//
CpxR_H-NS	sodB//
CpxR_NsrR	rbsB//
CpxR_RcsB	dusB//
CpxR_TyrR	gadC//
Cra_FNR_Fis_Lrp_NarL	rhaB//
Cra_FNR_Fur_MarA_Rob_SoxS	lsrB//
Cra_FhlA_FlhDC	nrdF//
Cra_GntR_KdgR	fecE//
Cra_GntR_KdgR_PhoB	yhcH//
Cra_MarA_SoxS	aldA//
Cra_PdeL	rrfC//
Cra_SgrR	csiE//uidB//nagB//
Cra_TyrR	modB//
CreB_NagC	mlc//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	eda//
CsgD_FlhDC	idnO//melR//narJ//fliC//alaU//pflB//adhE//emrY//acrA//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	galR//zinT//
CspA_Fis_GadX_H-NS	gadC//
CueR_FNR_ModE	entE//folA//csiE//nfsA//patA//
CusR_PhoB_YedW	frdA//dps//fadJ//cysW//rpsC//nrdB//tauA//
CysB_H-NS	hypB//patA//fadH//stpA//galM//
CysB_HypT_IHF	torC//
CysB_IHF	yfaE//sucD//
CysB_NtrC	ybjN//
CysB_PhoP	torD//
DcuR_FNR_NarL	ygeA//mtlA//atoE//hdeB//
DinJ-YafQ_LexA	gatA//gatZ//
DpiA_H-NS	ydeN//
DsdC_NsrR	nupC//
EvgA_FNR	paaJ//rutF//
EvgA_H-NS	fnr//araF//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	malK//
EvgA_H-NS_PhoP_RcsB_YdeO	cirA//
EvgA_PhoP_RcsB_YdeO	nuoM//
ExuR_UxuR	fliE//gadE//
FNR_FhlA_IHF_NsrR	mhpC//bamE//fimA//cadC//murG//
FNR_FhlA_NarL_NarP	pgaB//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	ilvA//lacY//caiE//lsrB//glcF//frdA//atoB//
FNR_Fis_IHF_ModE_NarL	katG//dcuB//gatZ//
FNR_Fis_IHF_NarL	poxB//
FNR_Fis_IHF_NarL_RstA	yjbE//rpoS//rplM//hpt//
FNR_FlhDC	ilvG_2//
FNR_FlhDC_IscR_ModE_NarL_NarP	malY//cysH//ileT//ydhY//mazG//malY//rcsA//
FNR_FlhDC_ModE_NarL_NarP	dcuA//marR//chbB//ileT//leuO//idnK//nagC//nikB//
FNR_Fur	ulaE//xylR//
FNR_Fur_GadE	nuoI//
FNR_Fur_GadX_NtrC	xylR//hycI//
FNR_Fur_H-NS	thrV//yjbE//dctA//sdhD//
FNR_Fur_MetR_NsrR	flhD//
FNR_Fur_Nac_NtrC	fadI//
FNR_Fur_NagC	fumA//fimC//micF//
FNR_Fur_OxyR	ydhV//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	fucO//
FNR_H-NS	mlc//glcA//
FNR_H-NS_NrdR	hyfF//lsrB//
FNR_IHF	pqiB//fadH//rrlB//nanE//garP//
FNR_IHF_Lrp_YeiL	dgcZ//
FNR_IHF_NarL_NarP_NorR	pspE//fabZ//
FNR_IHF_PhoB	lsrK//casD//mglA//hycA//ilvM//
FNR_MalT	fdnH//bglG//
FNR_ModE	ydeN//ugpB//
FNR_NarL	bhsA//tsx//fecA//gatC//iclR//fdnH//
FNR_NarL_NarP	ppiA//rutE//aceF//yiaO//glcE//napD//yqjI//yiaK//fixX//
FNR_NarL_NarP_NsrR	sdhC//
FNR_NarL_NarP_NsrR_OxyR	ugpB//puuC//
FNR_NarL_NikR	nuoC//mdtF//sra//hybG//gatD//bamE//
FNR_NsrR	cspD//bglG//nhaR//
FNR_OxyR	lamB//
FNR_PurR	nuoE//acrD//
FNR_YqjI	mnmG//
FabR_FadR	flgM//carA//
FadR_IHF	dcuA//
FadR_IclR	gspK//
FhlA_FlhDC	nikE//
FhlA_IHF_ModE_NsrR	acrZ//gntP//lsrG//torC//fdhF//sodA//cas2//pstS//epd//
FhlA_IHF_NsrR	ftsQ//
Fis_Fur	pdhR//
Fis_H-NS	nrfA//
Fis_H-NS_IHF_MntR_OxyR	entE//
Fis_H-NS_Lrp	cspE//oppB//purH//ssuA//betA//malM//fimB//cyoC//proX//ulaG//cydC//dgcZ//pstA//fucU//fucO//nrdF//deoB//hycE//yhiD//guaA//yecR//betT//modA//araG//
Fis_H-NS_Lrp_StpA	paaK//rutB//
Fis_IHF	glpQ//
Fis_IHF_NtrC	ebgC//cysI//
Fis_IHF_OmpR_RcsB	astD//
Fis_Lrp	cysI//gntX//napF//yjiY//ulaC//malM//nrfF//katE//glpD//
Fis_MazE_MazE-MazF	ogt//
Fis_NarL	ynfH//
Fis_NarL_NarP_NsrR	rutA//hypB//
Fis_PurR	hypC//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	fucR//lsrF//codA//
FliZ_RutR	cydA//
Fur_H-NS	galM//ftnA//ybiT//hyfB//uxaB//rplT//hokD//moaB//infB//puuP//betA//frdB//purD//
Fur_IHF_IscR_NsrR_OxyR	hypB//moaC//murQ//malQ//uxaB//glcE//
Fur_IscR_NrdR	tcyJ//crr//glcE//rpsI//
Fur_MetR	ydeM//
Fur_MntR	dps//
Fur_MntR_OxyR	ftsL//
Fur_OxyR	ycdZ//
Fur_PurR	bglF//rsmH//
Fur_RcnR	metQ//rrsA//
Fur_RutR	prpD//
Fur_SoxS_Zur	glcB//
Fur_YqjI	caiT//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	fliH//lsrR//
GadE-RcsB_H-NS	garL//
GadE-RcsB_PhoB	gutQ//
GadE-RcsB_Rob	katG//
GadE_GadX_H-NS_PhoP_RcsB	pyrC//
GadE_H-NS_Lrp_NsrR	glcD//
GadE_H-NS_MatA	rcnB//
GadE_H-NS_RcsAB	fucU//
GadE_MarA_PurR	dctA//
GadW_GadX_RcsB	slp//
GalR_GalS	fimF//
GlrR_IHF	sufB//
H-NS_IHF	yhjA//malI//casD//
H-NS_IHF_Lrp	pspB//gspD//hemL//hyfJ//sdhB//relA//gadY//
H-NS_LeuO	hycH//metH//
H-NS_LeuO_RcsB-BglJ_StpA	galS//
H-NS_LrhA_Lrp	asr//
H-NS_Lrp	cadA//lpxC//
H-NS_Lrp_NhaR_RcsB	lsrC//
H-NS_Lrp_StpA	mtlA//
H-NS_McbR	lsrR//nikC//gatZ//
H-NS_NhaR	ydeP//fliE//
H-NS_OmpR	nuoB//
H-NS_PhoB_RcdA_RstA	ynfE//
HU_IHF_TrpR_TyrR	hyfA//
HU_IHF_TyrR	rhaD//
HigA_HigB-HigA	hmp//cydD//
HipAB_HipB_IHF	gspC//uvrA//
HypT_MetJ	yedX//nagC//ydhW//
HypT_MetJ_PhoP	rpsO//ftsZ//
IHF_Lrp	mdtC//ulaC//uxuR//dadA//uhpT//fecC//ldtB//mhpD//
IHF_NsrR	torD//
IHF_NtrC	fucP//astD//
IHF_PhoP	rplP//
IHF_PspF	proV//appC//rrlG//rrlC//nuoC//glnQ//
IHF_RcsAB	tpx//ilvA//rbfA//dpiA//
IHF_RtcR	sgrT//hycC//
IHF_TyrR	rrfD//
IHF_UlaR	fecC//
LexA_MraZ_PdhR	fadA//gltT//hypF//rhaT//fecE//nanA//guaA//nhaR//mglA//galS//marB//
LexA_MraZ_PdhR_RcsB_SdiA	yjbG//patA//
LexA_MraZ_PdhR_SdiA	ebgA//
LexA_NagC	mtlD//
LexA_RcdA	pflB//
LexA_RcsB-BglJ	osmE//
MarA_OxyR_Rob_SoxS	hyfC//chbB//fucU//gadX//
MarA_PhoP_Rob_SoxS	yjbH//malT//idnT//puuC//
MarA_Rob_SoxS	chbG//gatZ//glyA//gltD//cydA//
MarA_SoxS	lldR//ubiA//prmC//ydeP//lsrA//
MetJ_MetR	dpiB//lacA//
MetJ_OxyR	dcuA//dusB//
MetR_PurR	paaA//
MraZ_PdhR	nrdA//rrlG//
Nac_PurR	hyfI//tdcG//
NarL_TorR	rrlH//rplT//ahpF//
NemR_RutR	ccmH//marA//araE//
NhaR_OmpR	rseC//tam//araF//ybfN//
NorR_NsrR	sra//
NsrR_PhoB	lsrG//
OxyR_SoxS	qseC//
PdhR_PhoP	entH//
PgrR_TyrR	ulaA//
PhoB_PhoP	astE//
PhoP_PurR_RbsR	ulaD//bamE//
RelB_RelB-RelE	mraZ//lsrA//sucA//
TrpR_TyrR	dctA//malX//lpxA//
YefM_YefM-YoeB	slp//fis//
