# From /Users/Daniela/Documents/CCG/datasets/GOs/scripts/get_uniq_lowest_levels_v2.pl on Tue Oct  2 15:34:09 2018
# Input = /Users/Daniela/Documents/CCG/datasets/GOs/extended_GOs/v2/all_go_levels_extended.txt
GO ID	GO level	Total Genes	Genes in GO	GO name
GO:0072521	5	68	add,ade,adeD,adk,allB,apt,atpA,atpB,atpC,atpE,coaA,coaD,coaE,cra,cyaA,cysQ,dcuC,deoD,dfp,dgt,eno,fbaA,gapA,glk,gmk,gpmA,gpt,guaA,guaB,guaC,guaD,hexR,hiuH,hpt,ldhA,mazG,mdh,metK,moaE,moeA,mog,murR,ndk,pdeK,pfkA,pfkB,pgi,pgk,ppk,purA,purD,purF,purL,purN,purU,pykA,pykF,relA,rihA,rihB,rihC,rpiR,spoT,tpiA,xapA,xdhB,yedX,yfhH,	purine-containing compound metabolic process
GO:0072522	6	43	add,ade,adeD,adk,apt,atpA,atpB,atpC,atpE,coaA,coaD,coaE,cra,cyaA,dfp,eno,fbaA,gapA,glk,gpmA,gpt,guaA,guaB,hexR,hpt,mdh,murR,pdeK,pfkA,pfkB,pgi,pgk,purA,purD,purF,purL,purN,purU,pykA,pykF,rpiR,tpiA,yfhH,	purine-containing compound biosynthetic process
GO:0043101	5	4	add,apt,gpt,hpt,	purine-containing compound salvage
GO:0072523	6	12	add,ade,adeD,allB,deoD,dgt,mazG,rihA,rihB,rihC,xapA,xdhB,	purine-containing compound catabolic process
GO:0043603	5	127	abgA,abgB,adk,allB,allC,allD,ansA,ansB,argF,argG,argI,asnA,asnB,bioA,bioB,bioC,bioD,bioD1,bioD2,bioF,bioH,bipA,birA,carA,carB,chaC,cmk,entA,entB,entC,entD,entE,entF,entH,fabG,fabI,fau,folA,folC,folM,folP,folX,frr,ggt,glxR,gor,gshA,gshB,ldcA,lepB,lysS,lysU,metE,metF,metH,mioC,mpaA,nudB,pabA,pabB,panB,panC,panE,panZ,pepA,pepB,pepD,pepN,pepQ,pepT,pheS,prlC,purU,pyrB,rimP,rplA,rplB,rplC,rplE,rplF,rplI,rplJ,rplL,rplM,rplN,rplO,rplP,rplQ,rplR,rplS,rplT,rplW,rplX,rplY,rpmA,rpmB,rpmC,rpmE,rpmG,rpmH,rpmJ,rpsA,rpsB,rpsE,rpsG,rpsI,rpsK,rpsL,rpsM,rpsN,rpsP,rpsQ,rpsR,rpsT,selB,sppA,ybcF,ybcJ,ybdZ,ybeY,yfcF,ygeW,ygfA,yibF,ykgM,ykgO,ynfK,	cellular amide metabolic process
GO:0006518	5	77	adk,bipA,chaC,entA,entB,entC,entD,entE,entF,entH,frr,ggt,gor,gshA,gshB,ldcA,lepB,lysS,lysU,mpaA,pepA,pepB,pepD,pepN,pepQ,pepT,pheS,prlC,rimP,rplA,rplB,rplC,rplE,rplF,rplI,rplJ,rplL,rplM,rplN,rplO,rplP,rplQ,rplR,rplS,rplT,rplW,rplX,rplY,rpmA,rpmB,rpmC,rpmE,rpmG,rpmH,rpmJ,rpsA,rpsB,rpsE,rpsG,rpsI,rpsK,rpsL,rpsM,rpsN,rpsP,rpsQ,rpsR,rpsT,selB,sppA,ybcJ,ybdZ,ybeY,yfcF,yibF,ykgM,ykgO,	peptide metabolic process
GO:0043043	6	61	adk,bipA,entA,entB,entC,entD,entE,entF,entH,frr,gshA,gshB,lysS,lysU,pheS,rimP,rplA,rplB,rplC,rplE,rplF,rplI,rplJ,rplL,rplM,rplN,rplO,rplP,rplQ,rplR,rplS,rplT,rplW,rplX,rplY,rpmA,rpmB,rpmC,rpmE,rpmG,rpmH,rpmJ,rpsA,rpsB,rpsE,rpsG,rpsI,rpsK,rpsL,rpsM,rpsN,rpsP,rpsQ,rpsR,rpsT,selB,ybcJ,ybdZ,ybeY,ykgM,ykgO,	peptide biosynthetic process
GO:0006412	6	51	adk,bipA,frr,lysS,lysU,pheS,rimP,rplA,rplB,rplC,rplE,rplF,rplI,rplJ,rplL,rplM,rplN,rplO,rplP,rplQ,rplR,rplS,rplT,rplW,rplX,rplY,rpmA,rpmB,rpmC,rpmE,rpmG,rpmH,rpmJ,rpsA,rpsB,rpsE,rpsG,rpsI,rpsK,rpsL,rpsM,rpsN,rpsP,rpsQ,rpsR,rpsT,selB,ybcJ,ybeY,ykgM,ykgO,	translation
GO:0002181	7	2	rplB,rplF,	cytoplasmic translation
GO:0019184	7	10	entA,entB,entC,entD,entE,entF,entH,gshA,gshB,ybdZ,	nonribosomal peptide biosynthetic process
GO:0006750	6	2	gshA,gshB,	glutathione biosynthetic process
GO:0019290	5	8	entA,entB,entC,entD,entE,entF,entH,ybdZ,	siderophore biosynthetic process
GO:0019540	6	8	entA,entB,entC,entD,entE,entF,entH,ybdZ,	siderophore biosynthetic process from catechol
GO:0009239	6	8	entA,entB,entC,entD,entE,entF,entH,ybdZ,	enterobactin biosynthetic process
GO:0006465	6	3	lepB,prlC,sppA,	signal peptide processing
GO:0043171	5	9	chaC,ggt,ldcA,mpaA,pepA,pepB,pepD,pepN,pepQ,	peptide catabolic process
GO:0009050	6	2	ldcA,mpaA,	glycopeptide catabolic process
GO:0006751	6	2	chaC,ggt,	glutathione catabolic process
GO:0006749	5	7	chaC,ggt,gor,gshA,gshB,yfcF,yibF,	glutathione metabolic process
GO:0000255	5	5	allB,allC,allD,glxR,ybcF,	allantoin metabolic process
GO:0000256	6	5	allB,allC,allD,glxR,ybcF,	allantoin catabolic process
GO:0009442	7	5	allB,allC,allD,glxR,ybcF,	allantoin assimilation pathway
GO:0043605	6	5	allB,allC,allD,glxR,ybcF,	cellular amide catabolic process
GO:0043604	6	99	adk,argF,argG,argI,asnA,asnB,bioA,bioB,bioC,bioD,bioD1,bioD2,bioF,bioH,bipA,birA,carA,carB,cmk,entA,entB,entC,entD,entE,entF,entH,fabG,fabI,fau,folA,folC,folM,folP,frr,gshA,gshB,lysS,lysU,metF,mioC,nudB,pabA,pabB,panB,panC,panE,panZ,pheS,purU,pyrB,rimP,rplA,rplB,rplC,rplE,rplF,rplI,rplJ,rplL,rplM,rplN,rplO,rplP,rplQ,rplR,rplS,rplT,rplW,rplX,rplY,rpmA,rpmB,rpmC,rpmE,rpmG,rpmH,rpmJ,rpsA,rpsB,rpsE,rpsG,rpsI,rpsK,rpsL,rpsM,rpsN,rpsP,rpsQ,rpsR,rpsT,selB,ybcJ,ybdZ,ybeY,ygeW,ygfA,ykgM,ykgO,ynfK,	amide biosynthetic process
GO:0072524	5	47	cra,dcuC,dxs,eno,epd,fbaA,feaB,gapA,glk,gnd,gpmA,hexR,ldhA,mdh,murR,nadA,nadB,nadC,nadD,nadE,nadK,nudC,pdxA,pdxB,pdxH,pdxJ,pdxK,pdxY,pfkA,pfkB,pgi,pgk,pgl,phnN,pncB,pntA,pntB,pykA,pykF,rpiR,serC,tktA,tktB,tpiA,xapA,yfhH,zwf,	pyridine-containing compound metabolic process
GO:0072525	6	37	cra,dxs,eno,epd,fbaA,feaB,gapA,glk,gpmA,hexR,mdh,murR,nadA,nadB,nadC,nadD,nadE,nadK,pdxA,pdxB,pdxH,pdxJ,pdxK,pdxY,pfkA,pfkB,pgi,pgk,phnN,pncB,pykA,pykF,rpiR,serC,tpiA,xapA,yfhH,	pyridine-containing compound biosynthetic process
GO:0072526	6	2	nadC,nudC,	pyridine-containing compound catabolic process
GO:0006577	5	9	betA,betB,caiB,caiD,caiE,caiF,fixA,fixB,fixC,	amino-acid betaine metabolic process
GO:0006578	6	2	betA,betB,	amino-acid betaine biosynthetic process
GO:0006579	6	4	caiB,caiD,fixA,fixB,	amino-acid betaine catabolic process
GO:0044270	5	109	abgA,abgB,add,ade,adeD,allB,allC,allD,caiB,caiD,cas3,cdd,codA,cpdB,cra,csrD,cynS,cynT,cynX,deaD,deoB,deoC,deoD,dgt,dut,endA,eno,fbaA,fixA,fixB,gapA,glk,glxR,gpmA,hcp,hexR,hicA,hmp,hofM,hofN,hofO,hofP,hofQ,hycB,hyfA,mazF,mazG,mcrB,mdh,murR,nadC,nagD,norV,norW,nudC,orn,pfkA,pfkB,pgi,pgk,pnp,preA,preT,pykA,pykF,rdgB,relE,rhlB,rihA,rihB,rihC,rna,rnb,rne,rnhA,rnhB,rnlA,rnr,rph,rpiR,rppH,rraA,rraB,rutA,rutB,rutC,rutD,rutE,rutF,rutG,sbcB,surE,symE,tatD,tnaA,tpiA,udp,umpG,umpH,ushA,xapA,xdhB,yafQ,ybcF,ycfH,ydfG,yfhH,yhgH,yoeB,	cellular nitrogen compound catabolic process
GO:0072529	6	23	cdd,codA,dut,hycB,hyfA,mazG,nagD,preA,preT,rihA,rihB,rutA,rutB,rutC,rutD,rutE,rutF,rutG,surE,udp,umpG,umpH,ydfG,	pyrimidine-containing compound catabolic process
GO:0034655	5	73	add,cas3,cdd,cpdB,cra,csrD,deaD,deoB,deoC,deoD,dgt,dut,endA,eno,fbaA,gapA,glk,gpmA,hexR,hicA,hofM,hofN,hofO,hofP,hofQ,mazF,mazG,mcrB,mdh,murR,nagD,nudC,orn,pfkA,pfkB,pgi,pgk,pnp,pykA,pykF,rdgB,relE,rhlB,rihA,rihB,rihC,rna,rnb,rne,rnhA,rnhB,rnlA,rnr,rph,rpiR,rppH,rraA,rraB,sbcB,surE,symE,tatD,tpiA,udp,umpG,umpH,ushA,xapA,yafQ,ycfH,yfhH,yhgH,yoeB,	nucleobase-containing compound catabolic process
GO:0006401	6	22	csrD,deaD,hicA,mazF,orn,pnp,relE,rhlB,rna,rnb,rne,rnhA,rnhB,rnlA,rnr,rph,rppH,rraA,rraB,symE,yafQ,yoeB,	RNA catabolic process
GO:0034661	7	4	csrD,mazF,rnb,rph,	ncRNA catabolic process
GO:0016075	8	2	mazF,rph,	rRNA catabolic process
GO:0016078	8	1	rnb,	tRNA catabolic process
GO:0006402	7	11	hicA,mazF,relE,rne,rnlA,rnr,rppH,rraB,symE,yafQ,yoeB,	mRNA catabolic process
GO:0043137	6	2	rnhA,rnhB,	DNA replication, removal of RNA primer
GO:0006308	6	12	cas3,endA,hofM,hofN,hofO,hofP,hofQ,mcrB,sbcB,tatD,ycfH,yhgH,	DNA catabolic process
GO:0000738	7	3	cas3,sbcB,tatD,	DNA catabolic process, exonucleolytic
GO:0000737	7	1	cas3,	DNA catabolic process, endonucleolytic
GO:0046210	6	4	hcp,hmp,norV,norW,	nitric oxide catabolic process
GO:0042560	6	2	abgA,abgB,	pteridine-containing compound catabolic process
GO:0042436	6	1	tnaA,	indole-containing compound catabolic process
GO:0044271	5	419	aaeR,abgR,acrR,add,ade,adeD,adk,agaI,apt,argF,argG,argI,arnA,arsR,ascG,asnA,asnB,atpA,atpB,atpC,atpE,baeR,betA,betB,bioA,bioB,bioC,bioD,bioD1,bioD2,bioF,bioH,bipA,birA,bolA,btuR,caiF,carA,carB,cecR,cmk,cnu,coaA,coaD,coaE,cobC,cobS,cobT,cobU,cof,cpdB,cpsB,cpsG,cra,crp,cspA,cueR,cyaA,cyoE,cysB,cysG,dcuR,decR,deoB,deoC,dfp,dgt,dhaR,dicA,dicC,dinB,dinJ,dmlR,dnaE,dnaG,dnaN,dnaQ,dnaX,dsdC,dut,dxs,eno,entA,entB,entC,entD,entE,entF,entH,epd,eutR,fabG,fabI,fau,fbaA,fcl,fdrA,feaB,feoC,fhlA,flhC,flhD,folA,folC,folE,folM,folP,frlR,frr,frvR,gadW,gadX,galR,gapA,gcvA,gcvR,glk,glmM,glmS,glmU,glrR,gltX,gmd,gpmA,gpt,greA,greB,gshA,gshB,guaA,guaB,gyrA,gyrB,hemA,hemB,hemC,hemD,hemE,hemF,hemG,hemH,hemL,hemN,hexR,hicB,hipB,hisA,holA,holB,holC,holD,holE,hprR,hpt,hupA,hupB,hyfR,hypT,ihfA,ihfB,lexA,lrhA,lsrR,lysS,lysU,manA,mazG,mdh,menF,metF,mioC,mlc,mobA,mocA,mprA,murR,nadA,nadB,nadC,nadD,nadE,nadK,nagB,nagD,nanR,nrdA,nrdB,nrdD,nrdE,nrdF,nudB,nudC,nusG,paaX,pabA,pabB,panB,panC,panE,panZ,pdeK,pdxA,pdxB,pdxH,pdxJ,pdxK,pdxY,pepA,perR,pfkA,pfkB,pgi,pgk,pgrR,pheS,phnN,pncB,polA,polB,prkB,purA,purC,purD,purF,purL,purN,purU,puuR,pykA,pykF,pyrB,pyrC,pyrD,pyrE,pyrF,pyrG,pyrH,pyrL,qseB,queA,queC,queD,queE,queF,queG,rcdA,rclR,rcsA,rcsB,rdgB,recF,recR,recT,relB,rfaH,rfbB,rhaR,rho,ribA,ribB,ribC,ribD,ribE,ribF,rimP,rpiR,rplA,rplB,rplC,rplE,rplF,rplI,rplJ,rplL,rplM,rplN,rplO,rplP,rplQ,rplR,rplS,rplT,rplW,rplX,rplY,rpmA,rpmB,rpmC,rpmE,rpmG,rpmH,rpmJ,rpoA,rpoH,rpoS,rpsA,rpsB,rpsE,rpsG,rpsI,rpsK,rpsL,rpsM,rpsN,rpsP,rpsQ,rpsR,rpsT,selA,selB,serC,sfsB,sgcR,speA,speB,speC,speD,speE,stpA,sucD,surE,tdk,tgt,thiC,thiD,thiE,thiG,thiH,thiI,thiL,thiM,thyA,tmk,tpiA,trpA,trpB,trpC,trpD,trpE,trpGD,ttdR,udk,udp,uidR,ulaR,umpG,umpH,umuC,umuD,upp,ushA,uxuR,xapA,yafC,yagI,yahB,yahF,yaiV,yaiW,ybaQ,ybcJ,ybdZ,ybeF,ybeY,ybhD,ybjD,ybjI,ycaN,ycdX,yciT,yciV,ycjW,ydcI,ydcR,yddM,ydeO,ydfH,ydiP,yebK,yeeY,yeiE,yeiL,yfaX,yfbR,yfdG,yfeR,yfhH,yfiE,ygbI,ygeV,ygeW,ygfA,ygfI,yggW,yghO,yhaJ,yhjB,yhjC,yiaU,yidL,yidP,yidZ,yieK,yigB,yihL,yihW,yijO,yjhI,yjiR,yjjG,ykgA,ykgM,ykgO,ymfK,yneJ,ynfK,yqhC,zraR,zur,	cellular nitrogen compound biosynthetic process
GO:0042559	6	13	fau,folA,folC,folE,folM,folP,metF,nudB,pabA,pabB,purU,queD,ygfA,	pteridine-containing compound biosynthetic process
GO:0034654	5	259	aaeR,abgR,acrR,add,adk,agaI,apt,arnA,arsR,ascG,atpA,atpB,atpC,atpE,baeR,bolA,caiF,cecR,cnu,coaA,coaD,coaE,cpdB,cpsB,cpsG,cra,crp,cspA,cueR,cyaA,cysB,dcuR,decR,deoB,deoC,dfp,dgt,dhaR,dicA,dicC,dinB,dinJ,dmlR,dnaE,dnaG,dnaN,dnaQ,dnaX,dsdC,dut,eno,eutR,fbaA,fcl,fdrA,feaB,feoC,fhlA,flhC,flhD,folE,frlR,frvR,gadW,gadX,galR,gapA,gcvA,gcvR,glk,glmM,glmS,glmU,glrR,gmd,gpmA,gpt,greA,greB,guaA,guaB,gyrA,gyrB,hexR,hicB,hipB,holA,holB,holC,holD,holE,hprR,hpt,hupA,hupB,hyfR,hypT,ihfA,ihfB,lexA,lrhA,lsrR,manA,mazG,mdh,mlc,mobA,mocA,mprA,murR,nadA,nadB,nadC,nadD,nadE,nadK,nagB,nagD,nanR,nrdA,nrdB,nrdD,nrdE,nrdF,nudC,nusG,paaX,pdeK,pepA,perR,pfkA,pfkB,pgi,pgk,pgrR,phnN,pncB,polA,polB,prkB,purA,purD,purF,purL,purN,purU,puuR,pykA,pykF,pyrB,pyrC,pyrD,pyrE,pyrG,pyrH,pyrL,qseB,queA,queC,queE,queF,queG,rcdA,rclR,rcsA,rcsB,rdgB,recF,recR,recT,relB,rfaH,rfbB,rhaR,rho,ribF,rpiR,rpoA,rpoH,rpoS,selA,sfsB,sgcR,stpA,sucD,surE,tdk,tgt,thiM,thyA,tmk,tpiA,ttdR,udk,udp,uidR,ulaR,umpG,umpH,umuC,umuD,upp,ushA,uxuR,xapA,yafC,yagI,yahB,yahF,yaiV,yaiW,ybaQ,ybeF,ybhD,ybjD,ycaN,ycdX,yciT,yciV,ycjW,ydcI,ydcR,yddM,ydeO,ydfH,ydiP,yebK,yeeY,yeiE,yeiL,yfaX,yfbR,yfeR,yfhH,yfiE,ygbI,ygeV,ygfI,yghO,yhaJ,yhjB,yhjC,yiaU,yidL,yidP,yidZ,yieK,yihL,yihW,yijO,yjhI,yjiR,yjjG,ykgA,ymfK,yneJ,yqhC,zraR,zur,	nucleobase-containing compound biosynthetic process
GO:0008655	5	7	dgt,prkB,thiM,udk,upp,yfbR,yjjG,	pyrimidine-containing compound salvage
GO:0032774	6	129	aaeR,abgR,acrR,adk,arsR,ascG,baeR,bolA,caiF,cecR,cnu,crp,cspA,cueR,cysB,dcuR,decR,dhaR,dicA,dicC,dinJ,dmlR,dnaG,dsdC,eutR,feoC,fhlA,flhC,flhD,frlR,frvR,gadW,gadX,galR,gcvA,gcvR,glrR,greA,greB,gyrA,gyrB,hicB,hipB,hprR,hupA,hupB,hyfR,hypT,ihfA,ihfB,lexA,lrhA,lsrR,mlc,mprA,nanR,nusG,paaX,pepA,perR,pgrR,puuR,qseB,rcdA,rclR,rcsA,rcsB,relB,rfaH,rhaR,rho,rpoA,rpoH,rpoS,selA,sfsB,sgcR,stpA,ttdR,uidR,ulaR,uxuR,yafC,yagI,yahB,yaiV,yaiW,ybaQ,ybeF,ybhD,ycaN,yciT,ycjW,ydcI,ydcR,yddM,ydeO,ydfH,ydiP,yebK,yeeY,yeiE,yeiL,yfaX,yfeR,yfhH,yfiE,ygbI,ygeV,ygfI,yghO,yhaJ,yhjB,yhjC,yiaU,yidL,yidP,yidZ,yihL,yihW,yijO,yjhI,yjiR,ykgA,ymfK,yneJ,yqhC,zraR,zur,	RNA biosynthetic process
GO:0006353	7	2	nusG,rho,	DNA-templated transcription, termination
GO:0006269	6	1	dnaG,	DNA replication, synthesis of RNA primer
GO:0097659	7	119	aaeR,abgR,acrR,arsR,ascG,baeR,bolA,caiF,cecR,cnu,crp,cspA,cueR,cysB,dcuR,decR,dhaR,dicA,dicC,dinJ,dmlR,dsdC,eutR,feoC,fhlA,flhC,flhD,frlR,frvR,gadW,gadX,galR,gcvA,gcvR,glrR,gyrA,gyrB,hicB,hipB,hprR,hupA,hupB,hypT,ihfA,ihfB,lexA,lrhA,lsrR,mlc,mprA,nanR,paaX,pepA,perR,pgrR,puuR,qseB,rcdA,rclR,rcsA,rcsB,relB,rhaR,rho,rpoH,sfsB,sgcR,stpA,ttdR,uidR,ulaR,uxuR,yafC,yagI,yahB,yaiV,yaiW,ybaQ,ybeF,ybhD,ycaN,yciT,ycjW,ydcI,ydcR,yddM,ydeO,ydfH,ydiP,yebK,yeeY,yeiE,yeiL,yfaX,yfeR,yfhH,yfiE,ygbI,ygeV,ygfI,yghO,yhaJ,yhjB,yhjC,yiaU,yidL,yidP,yidZ,yihL,yihW,yijO,yjhI,yjiR,ykgA,ymfK,yneJ,yqhC,zraR,zur,	nucleic acid-templated transcription
GO:0006351	6	119	aaeR,abgR,acrR,arsR,ascG,baeR,bolA,caiF,cecR,cnu,crp,cspA,cueR,cysB,dcuR,decR,dhaR,dicA,dicC,dinJ,dmlR,dsdC,eutR,feoC,fhlA,flhC,flhD,frlR,frvR,gadW,gadX,galR,gcvA,gcvR,glrR,gyrA,gyrB,hicB,hipB,hprR,hupA,hupB,hypT,ihfA,ihfB,lexA,lrhA,lsrR,mlc,mprA,nanR,paaX,pepA,perR,pgrR,puuR,qseB,rcdA,rclR,rcsA,rcsB,relB,rhaR,rho,rpoH,sfsB,sgcR,stpA,ttdR,uidR,ulaR,uxuR,yafC,yagI,yahB,yaiV,yaiW,ybaQ,ybeF,ybhD,ycaN,yciT,ycjW,ydcI,ydcR,yddM,ydeO,ydfH,ydiP,yebK,yeeY,yeiE,yeiL,yfaX,yfeR,yfhH,yfiE,ygbI,ygeV,ygfI,yghO,yhaJ,yhjB,yhjC,yiaU,yidL,yidP,yidZ,yihL,yihW,yijO,yjhI,yjiR,ykgA,ymfK,yneJ,yqhC,zraR,zur,	transcription, DNA-templated
GO:0001121	7	2	rcsB,rpoH,	bacterial transcription
GO:0006352	7	4	aaeR,greB,hyfR,rpoS,	DNA-templated transcription, initiation
GO:0001123	8	1	rpoS,	transcription initiation from bacterial-type RNA polymerase promoter
GO:0006354	7	3	greA,rfaH,rpoA,	DNA-templated transcription, elongation
GO:0001124	8	1	rfaH,	transcription elongation from bacterial-type RNA polymerase promoter
GO:0097056	7	1	selA,	selenocysteinyl-tRNA(Sec) biosynthetic process
GO:0071897	6	20	dinB,dnaE,dnaN,dnaQ,dnaX,holA,holB,holC,holD,holE,polA,polB,recF,recR,recT,umuC,umuD,ybjD,ycdX,yciV,	DNA biosynthetic process
GO:0000731	7	7	dinB,recF,recR,recT,umuC,umuD,ybjD,	DNA synthesis involved in DNA repair
GO:0019985	8	3	dinB,umuC,umuD,	translesion synthesis
GO:0043150	8	1	recT,	DNA synthesis involved in double-strand break repair via homologous recombination
GO:0042727	6	8	ribA,ribB,ribC,ribD,ribE,ribF,ybjI,yigB,	flavin-containing compound biosynthetic process
GO:0042435	6	9	hisA,menF,pabA,trpA,trpB,trpC,trpD,trpE,trpGD,	indole-containing compound biosynthetic process
GO:0072528	6	29	carA,carB,cof,dgt,dut,dxs,prkB,pyrB,pyrC,pyrD,pyrE,pyrF,pyrG,pyrH,pyrL,thiC,thiD,thiE,thiG,thiH,thiI,thiL,thiM,thyA,tmk,udk,upp,yfbR,yjjG,	pyrimidine-containing compound biosynthetic process
GO:0009229	6	2	thiD,thiL,	thiamine diphosphate biosynthetic process
GO:0002047	6	2	entB,trpGD,	phenazine biosynthetic process
GO:0009309	6	14	hisA,menF,pabA,speA,speB,speC,speD,speE,trpA,trpB,trpC,trpD,trpE,trpGD,	amine biosynthetic process
GO:0033014	6	21	btuR,cobC,cobS,cobT,cobU,cyoE,cysG,gltX,hemA,hemB,hemC,hemD,hemE,hemF,hemG,hemH,hemL,hemN,purC,yfdG,yggW,	tetrapyrrole biosynthetic process
GO:0006779	6	15	cyoE,cysG,gltX,hemA,hemB,hemC,hemD,hemE,hemF,hemG,hemH,hemL,hemN,yfdG,yggW,	porphyrin-containing compound biosynthetic process
GO:0006782	7	7	hemA,hemC,hemD,hemE,hemF,hemL,hemN,	protoporphyrinogen IX biosynthetic process
GO:0006139	4	613	aaeR,abgR,acrR,ada,add,ade,adeD,adk,agaI,alaS,alkA,alkB,allB,apaH,apt,argR,argS,arnA,arsR,ascG,asnS,aspS,atpA,atpB,atpC,atpE,baeR,bolA,caiF,carA,carB,cas1,cas2,cas3,casD,casE,cca,cdd,cecR,cho,chpB,cmk,cmoA,cmoB,cmoM,cnu,coaA,coaD,coaE,codA,codB,cpdB,cpsB,cpsG,cra,crp,cspA,csrD,cueR,cyaA,cysB,cysQ,cysS,dam,dbpA,dcd,dcm,dcuC,dcuR,deaD,decR,deoB,deoC,deoD,dfp,dgt,dhaR,dicA,dicC,dinB,dinG,dinJ,dmlR,dnaA,dnaB,dnaC,dnaE,dnaG,dnaJ,dnaN,dnaQ,dnaT,dnaX,dsdC,dtd,dusC,dut,endA,eno,epmA,eutR,exoX,fbaA,fcl,fdrA,feaB,feoC,fhlA,fimB,fimE,flhC,flhD,fmt,folE,frlB,frlR,frvR,gadW,gadX,galR,galU,gapA,gcvA,gcvR,ghoS,glk,glmM,glmS,glmU,glnS,glrR,gltX,gluQ,glyS,gmd,gmk,gnd,gph,gpmA,gpp,gppA,gpt,greA,greB,guaA,guaB,guaC,guaD,gyrA,gyrB,hda,helD,hexR,hicA,hicB,higB,hipB,hisS,hiuH,hofM,hofN,hofO,hofP,hofQ,holA,holB,holC,holD,holE,hprR,hpt,hrpA,hsdM,hsdR,hupA,hupB,hycB,hyfA,hyfR,hypT,ihfA,ihfB,ileS,insA-1,insA-2,insB-2,insB-4,insE-1,insH-6,insI-1,intE,intQ,intS,intZ,iscS,lasT,ldhA,leuS,lexA,lhr,ligA,ligB,lrhA,lsrR,lysS,lysU,manA,mazF,mazG,mcrA,mcrB,mdh,metG,metK,mfd,miaA,miaB,mlc,mnmA,mnmC,mnmE,mnmG,moaE,mobA,mocA,moeA,mog,mprA,mqsR,mrr,mug,murR,mutH,mutL,mutM,mutS,mutT,mutY,nadA,nadB,nadC,nadD,nadE,nadK,nagB,nagD,nanR,ndk,nei,nfi,nfo,nrdA,nrdB,nrdD,nrdE,nrdF,nrdG,nth,nudC,nudG,nusG,ogt,orn,paaX,parC,parE,pcnB,pdeK,pepA,perR,pfkA,pfkB,pgi,pgk,pgl,pgrR,pheS,pheT,phnN,pinE,pinQ,pinR,pncB,pnp,pntA,pntB,polA,polB,pphB,ppk,preA,preT,priA,priB,priC,prkB,prlC,proS,prs,psuG,purA,purD,purF,purL,purN,purU,puuR,pykA,pykF,pyrB,pyrC,pyrD,pyrE,pyrF,pyrG,pyrH,pyrL,qseB,queA,queC,queE,queF,queG,radA,radD,ralR,rapZ,rarA,rayT,rbfA,rbn,rcdA,rclR,rcsA,rcsB,rdgB,recA,recB,recC,recD,recE,recF,recG,recJ,recN,recQ,recR,recT,relA,relB,relE,rep,rfaH,rfbB,rhaR,rhlB,rhlE,rho,ribF,rihA,rihB,rihC,rimM,rlmA,rlmB,rlmC,rlmD,rlmE,rlmF,rlmG,rlmH,rlmI,rlmJ,rlmL,rlmM,rlmN,rluA,rluB,rluC,rluD,rluE,rluF,rmuC,rna,rnb,rnc,rnd,rne,rng,rnhA,rnhB,rnlA,rnpA,rnr,rnt,rph,rpiR,rplA,rpnA,rpnB,rpnC,rpnD,rpoA,rpoH,rpoS,rppH,rpsI,rpsK,rpsL,rpsO,rpsP,rraA,rraB,rsmA,rsmB,rsmC,rsmD,rsmE,rsmF,rsmG,rsmH,rsmI,rsmJ,rsuA,rtcB,rusA,rutA,rutB,rutC,rutD,rutE,rutF,rutG,ruvA,ruvB,ruvC,sbcB,sbcC,sbcD,selA,selD,selU,serS,sfsB,sgcR,smrA,spoT,srmB,ssb,stpA,sucD,surE,symE,tadA,tag,tatD,tcdA,tdk,tgt,thiI,thiM,thrS,thyA,tilS,tktA,tktB,tmcA,tmk,topA,topB,torI,tpiA,trmA,trmB,trmD,trmH,trmI,trmJ,trmL,trmO,trpS,truA,truB,truC,truD,tsaB,tsaC,tsaD,tsaE,ttcA,ttdR,tus,tusA,tusB,tusC,tusD,tusE,tyrS,udk,udp,uidR,ulaR,umpG,umpH,umuC,umuD,ung,upp,ushA,uspG,uvrA,uvrB,uvrC,uvrD,uxuR,valS,vsr,xapA,xapB,xdhB,xerC,xerD,xisE,xseA,xseB,xthA,yafC,yafO,yafQ,yagI,yahB,yahF,yaiV,yaiW,yajD,ybaQ,ybcC,ybeF,ybeY,ybhD,ybhP,ybjD,ycaN,ycdX,ycfH,yciT,yciV,ycjD,ycjW,ydaC,ydaV,ydcI,ydcM,ydcR,yddM,ydeO,ydfG,ydfH,ydiP,ydiZ,yebG,yebK,yedX,yeeY,yeiE,yeiL,yfaX,yfbR,yfeR,yfhH,yfiC,yfiE,yfiF,ygbI,ygdG,ygeV,ygfI,yghO,ygjH,yhaJ,yhaV,yhbQ,yhbY,yhdJ,yhgH,yhhZ,yhjB,yhjC,yiaU,yidL,yidP,yidZ,yieK,yihL,yihW,yijO,yjhI,yjiQ,yjiR,yjjG,yjjV,yjtD,ykgA,ymfK,yneJ,yoaA,yoeB,yqgF,yqhC,yraN,zraR,zur,zwf,	nucleobase-containing compound metabolic process
