# From /Users/Daniela/Documents/CCG/GU_art_2/GO_levels/scripts/regulons_in_gos_v3.pl on Tue Oct  2 16:58:26 2018
# Input = /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
# /Users/Daniela/Documents/CCG/datasets/GOs/extended_GOs/go_uniq_levels_extended.txt
# Group name	GO ID	GO level	Genes in group	Genes in GO	Percentage	GO name
HyfR	GO:0008150	1	5	5	1.00	biological process
HypT	GO:0008150	1	12	12	1.00	biological process
IclR	GO:0008150	1	4	4	1.00	biological process
IdnR	GO:0008150	1	6	6	1.00	biological process
IscR	GO:0008150	1	27	27	1.00	biological process
KdgR	GO:0008152	2	2	2	1.00	metabolic process
KdpE	GO:0006813	8	4	4	1.00	potassium ion transport
KdpE	GO:0098662	8	4	4	1.00	inorganic cation transmembrane transport
LacI	GO:0008150	1	2	2	1.00	biological process
LeuO	GO:0008150	1	17	17	1.00	biological process
LexA	GO:0008150	1	55	55	1.00	biological process
LldR	GO:0009987	2	3	3	1.00	cellular process
LrhA	GO:0090304	5	4	4	1.00	nucleic acid metabolic process
LsrR	GO:0008150	1	7	7	1.00	biological process
LysR	GO:0009085	8	2	2	1.00	lysine biosynthetic process
MalI	GO:0008150	1	3	3	1.00	biological process
MalT	GO:0008150	1	9	9	1.00	biological process
MarA	GO:0008150	1	28	26	0.93	biological process
MarR	GO:1903507	9	2	2	1.00	negative regulation of nucleic acid-templated transcription
MatA	GO:0008150	1	6	6	1.00	biological process
MazE	GO:0019439	5	2	2	1.00	aromatic compound catabolic process
MazE	GO:0034655	5	2	2	1.00	nucleobase-containing compound catabolic process
MazE	GO:0044270	5	2	2	1.00	cellular nitrogen compound catabolic process
MazE	GO:0046700	5	2	2	1.00	heterocycle catabolic process
MazE	GO:1901361	5	2	2	1.00	organic cyclic compound catabolic process
MazE-MazF	GO:0019439	5	2	2	1.00	aromatic compound catabolic process
MazE-MazF	GO:0034655	5	2	2	1.00	nucleobase-containing compound catabolic process
MazE-MazF	GO:0044270	5	2	2	1.00	cellular nitrogen compound catabolic process
MazE-MazF	GO:0046700	5	2	2	1.00	heterocycle catabolic process
MazE-MazF	GO:1901361	5	2	2	1.00	organic cyclic compound catabolic process
McbR	GO:0009987	2	4	4	1.00	cellular process
MelR	GO:0008150	1	3	3	1.00	biological process
MetJ	GO:0008150	1	12	12	1.00	biological process
MetR	GO:0008150	1	5	5	1.00	biological process
MhpR	GO:0019439	5	4	4	1.00	aromatic compound catabolic process
Mlc	GO:0008150	1	9	9	1.00	biological process
MlrA	GO:0008150	1	8	8	1.00	biological process
MngR	GO:0008150	1	3	3	1.00	biological process
MntR	GO:0050896	2	4	4	1.00	response to stimulus
ModE	GO:0008150	1	38	38	1.00	biological process
MprA	GO:0008150	1	5	5	1.00	biological process
MqsA	GO:0008150	1	8	8	1.00	biological process
MraZ	GO:0008150	1	17	17	1.00	biological process
MtlR	GO:0008150	1	3	3	1.00	biological process
MurR	GO:0008152	2	3	3	1.00	metabolic process
Nac	GO:0008150	1	18	18	1.00	biological process
NadR	GO:0008150	1	4	4	1.00	biological process
NagC	GO:0008150	1	32	32	1.00	biological process
NanR	GO:0008150	1	10	10	1.00	biological process
NarL	GO:0008150	1	101	101	1.00	biological process
NarP	GO:0008150	1	36	36	1.00	biological process
NemR	GO:0008150	1	3	3	1.00	biological process
NhaR	GO:0008150	1	7	7	1.00	biological process
NikR	GO:0008150	1	6	6	1.00	biological process
NimR	GO:0008150	1	2	2	1.00	biological process
NorR	GO:0065007	2	3	3	1.00	biological regulation
NrdR	GO:0009987	2	9	9	1.00	cellular process
NsrR	GO:0008150	1	70	70	1.00	biological process
NtrC	GO:0008150	1	37	37	1.00	biological process
OmpR	GO:0008150	1	16	16	1.00	biological process
OxyR	GO:0008150	1	27	27	1.00	biological process
PaaX	GO:0032787	7	12	12	1.00	monocarboxylic acid metabolic process
PaaX	GO:0072329	7	12	12	1.00	monocarboxylic acid catabolic process
PdhR	GO:0008150	1	38	38	1.00	biological process
PepA	GO:0018130	5	3	3	1.00	heterocycle biosynthetic process
PepA	GO:0043603	5	3	3	1.00	cellular amide metabolic process
PepA	GO:0044271	5	3	3	1.00	cellular nitrogen compound biosynthetic process
PepA	GO:1901362	5	3	3	1.00	organic cyclic compound biosynthetic process
PgrR	GO:0008150	1	3	3	1.00	biological process
PhoB	GO:0008150	1	50	50	1.00	biological process
PhoP	GO:0008150	1	45	45	1.00	biological process
PrpR	GO:0008150	1	4	4	1.00	biological process
PspF	GO:0008150	1	5	5	1.00	biological process
PurR	GO:0008150	1	27	27	1.00	biological process
PutA	GO:0008150	1	2	2	1.00	biological process
PuuR	GO:0008152	2	7	7	1.00	metabolic process
QseB	GO:0043170	4	4	4	1.00	macromolecule metabolic process
QseB	GO:0044260	4	4	4	1.00	cellular macromolecule metabolic process
RbsR	GO:0008150	1	8	8	1.00	biological process
RcdA	GO:0008150	1	8	8	1.00	biological process
RclR	GO:0000302	5	3	3	1.00	response to reactive oxygen species
RclR	GO:1901530	5	3	3	1.00	response to hypochlorite
RcnR	GO:0008150	1	3	3	1.00	biological process
RcsAB	GO:0008150	1	15	15	1.00	biological process
RcsB	GO:0008150	1	18	18	1.00	biological process
RcsB-BglJ	GO:0008150	1	8	8	1.00	biological process
RelB	GO:0016070	6	2	2	1.00	RNA metabolic process
RelB-RelE	GO:0016070	6	2	2	1.00	RNA metabolic process
RhaR	GO:1903506	8	2	2	1.00	regulation of nucleic acid-templated transcription
RhaS	GO:0008150	1	6	6	1.00	biological process
Rob	GO:0008150	1	19	19	1.00	biological process
RstA	GO:0008150	1	10	10	1.00	biological process
RutR	GO:0008150	1	17	17	1.00	biological process
SdiA	GO:0008150	1	5	5	1.00	biological process
SgrR	GO:0008150	1	7	7	1.00	biological process
SoxR	GO:0008150	1	3	3	1.00	biological process
SoxS	GO:0008150	1	31	29	0.94	biological process
StpA	GO:0008150	1	5	5	1.00	biological process
SutR	GO:0008150	1	5	5	1.00	biological process
TdcA	GO:0008150	1	7	7	1.00	biological process
TdcR	GO:0008150	1	7	7	1.00	biological process
TorR	GO:0008150	1	11	11	1.00	biological process
TreR	GO:0044237	3	2	2	1.00	cellular metabolic process
TrpR	GO:0008150	1	10	10	1.00	biological process
TyrR	GO:0008150	1	9	9	1.00	biological process
UidR	GO:0008150	1	3	3	1.00	biological process
UlaR	GO:0008150	1	7	7	1.00	biological process
UvrY	GO:0008150	1	3	3	1.00	biological process
UxuR	GO:0008150	1	8	8	1.00	biological process
XapR	GO:0006139	4	2	2	1.00	nucleobase-containing compound metabolic process
XapR	GO:0006725	4	2	2	1.00	cellular aromatic compound metabolic process
XapR	GO:0034641	4	2	2	1.00	cellular nitrogen compound metabolic process
XapR	GO:0046483	4	2	2	1.00	heterocycle metabolic process
XapR	GO:0055086	4	2	2	1.00	nucleobase-containing small molecule metabolic process
XapR	GO:1901360	4	2	2	1.00	organic cyclic compound metabolic process
XylR	GO:0008150	1	7	7	1.00	biological process
YdeO	GO:0008150	1	13	13	1.00	biological process
YedW	GO:0009987	2	12	12	1.00	cellular process
YefM	GO:1903507	9	2	2	1.00	negative regulation of nucleic acid-templated transcription
YefM-YoeB	GO:1903507	9	2	2	1.00	negative regulation of nucleic acid-templated transcription
YiaJ	GO:0008150	1	9	9	1.00	biological process
YjjQ	GO:0009987	2	5	5	1.00	cellular process
YqhC	GO:0008150	1	2	2	1.00	biological process
YqjI	GO:0051716	3	2	2	1.00	cellular response to stimulus
ZraR	GO:0000160	5	2	2	1.00	phosphorelay signal transduction system
Zur	GO:0008150	1	6	6	1.00	biological process
