#
#      RegulonDB is free for academic/noncommercial use 
# 
#      User is not entitled to change or erase data sets of the RegulonDB 
#      database or to eliminate copyright notices from RegulonDB. Furthermore, 
#      User is not entitled to expand RegulonDB or to integrate RegulonDB partly 
#      or as a whole into other databank systems, without prior written consent 
#      from CCG-UNAM. 
# 
#      Please check the license at http://regulondb.ccg.unam.mx/menu/download/full_version/terms_and_conditions.jsp 
# 
# Citation 
# 
#      Gama-Castro S. et al. (2016). "RegulonDB version 9.0: high-level integration of gene regulation, coexpression, motif clustering and beyond". 
#      Nucleic Acids Res. 2016 Jan 4;44(D1):D133-43. doi: 10.1093/nar/gkv1156. Epub 2015 Nov 2. 
# 
# 
# Contact 
# 
#      Person: RegulonDB Team 
#      Web Page: http://regulondb.ccg.unam.mx/menu/about_regulondb/contact_us/index.jsp 
#          (regulondb@ccg.unam.mx) 
# 
#

# Release: 9.1 Date: 04-07-2016
# ___________________________________________________________________________
#
# Columns:
#  (1) Transcription Factor (TF) name
#  (2) TUName (regulated)
#  (3) Regulatory effect of the TF on the regulated gene (+ activator, - repressor, +- dual, ? unknown)
#  (4) Evidence that supports the existence of the regulatory interaction
#
AccB	accBC[accBp]	-	[null]	Weak	
ArcA	fadBA[fadBp]	-	[AIBSCS, BPP, GEA]	Weak	
ArcA	fadD-sroD[fadDp]	-	[AIBSCS, BPP]	Weak	
ArcA	fadE[fadEp]	-	[AIBSCS, BPP, GEA]	Weak	
ArcA	fadH[fadHp]	-	[GEA, HIBSCS]	Weak	
ArcA	fadIJ[fadIp]	-	[AIBSCS, BPP, GEA]	Weak	
ArcA	fadL[fadLp]	-	[AIBSCS, BPP]	Weak	
ArcA	fnr[fnrp]	-	[GEA]	Weak	
ArcA	focA-pflB[focAp1]	+	[BPP, GEA, HIBSCS]	Strong	
ArcA	focA-pflB[focAp2]	+	[GEA, HIBSCS]	Weak	
ArcA	fumA[fumAp]	-	[GEA]	Weak	
ArcA	fumAC[fumAp]	-	[GEA]	Weak	
ArcA	fumB[fumBp]	+	[GEA]	Weak	
ArcA	fumC[fumCp]	-	[GEA]	Weak	
ArcA	gadAX[gadAp]	+	[AIBSCS, GEA]	Weak	
ArcA	gadE[gadEp1]	+	[BPP, GEA]	Strong	
ArcA	gadE[gadEp3]	+	[BPP, GEA]	Strong	
ArcA	gatYZABCD[gatYp]	-	[AIBSCS, GEA]	Weak	
ArcA	glcDEFGBA[glcDp]	-	[AIBSCS, BPP, GEA]	Weak	
ArcA	glpABC[glpABCp]	-	[GEA]	Weak	
ArcA	glpD[glpDp]	-	[GEA]	Weak	
ArcA	gltA[gltAp1]	-	[BCE, GEA, HIBSCS]	Weak	
ArcA	grcA[grcAp1]	+	[GEA, HIBSCS]	Weak	
ArcA	hemA-prfA-prmC[hemAp1]	+	[GEA]	Weak	
ArcA	hyaABCDEF[hyaAp]	+	[BPP, GEA, HIBSCS]	Strong	
ArcA	hybOABCDEFG[hybOp1]	-	[GEA, HIBSCS]	Weak	
ArcA	icd[icdAp1]	-	[BPP, GEA, HIBSCS]	Strong	
ArcA	iraM[iraMp]	+	[AIBSCS]	Weak	
ArcA	lldPRD[lldPp]	-	[AIBSCS, BPP, GEA, HIBSCS]	Weak	
ArcA	lpd[lpdAp]	-	[AIBSCS, BPP, GEA]	Weak	
ArcA	mdh[mdhp1]	-	[BCE, GEA]	Weak	
ArcA	moeAB[moeAp]	+	[BPP, GEA]	Strong	
ArcA	ndh[ndhp]	-	[AIBSCS, GEA]	Weak	
ArcA	nuoABCEFGHIJKLMN[nuoAp2]	-	[BCE, GEA, SM]	Weak	
ArcA	oppABCDF[oppAp]	-	[AIBSCS, GEA]	Weak	
ArcA	ptsG[ptsGp1]	-	[BPP, GEA]	Strong	
ArcA	puuAP[puuAp]	-	[AIBSCS, GEA]	Weak	
ArcA	puuDRCBE[puuDp]	-	[AIBSCS, GEA]	Weak	
ArcA	rhaT[rhaTp]	-	[AIBSCS, GEA]	Weak	
ArcA	rpoS[rpoSp]	-	[BPP, GEA]	Strong	
ArcA	rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ[rpsJp]	-	[AIBSCS, GEA]	Weak	
ArcA	rutABCDEFG[rutAp]	+	[AIBSCS, GEA]	Weak	
ArcA	sdhCDAB-sucABCD[sdhCp]	+	[BPP, GEA, HIBSCS]	Strong	
ArcA	sodA[sodAp]	-	[AIBSCS, BCE, HIBSCS]	Weak	
ArcA	ssb[ssbp2]	-	[BPP, GEA, HIBSCS]	Strong	
ArcA	ssb[ssbp1]	-	[BPP, GEA, HIBSCS]	Strong	
ArcA	ssb[ssbp3]	-	[BPP, GEA, HIBSCS]	Strong	
ArcA	sucAB[sucAp]	-	[BPP, GEA]	Strong	
ArcA	sucABCD[sucAp]	-	[BPP, GEA]	Strong	
ArcA	tpx[tpxp]	-	[GEA, HIBSCS]	Weak	
ArcA	treBC[treBp]	+	[AIBSCS, GEA]	Weak	
ArcA	ubiCA[ubiCp]	-	[GEA]	Weak	
ArcA	uvrA[uvrAp]	-	[BPP, GEA, HIBSCS]	Strong	
ArcA	xylR[xylRp]	+	[AIBSCS, GEA]	Weak	
ArcA	ybdN[ybdNp]	+	[AIBSCS]	Weak	
ArcA	ydeA[ydeAp]	-	[AIBSCS, GEA]	Weak	
ArgP	argO[argOp]	+	[BCE, BPP, GEA, HIBSCS, IC]	Weak	
ArgP	argP[argPp]	-	[GEA, HIBSCS, IC]	Weak	
ArgP	dapB[dapBp1]	+	[BCE, BPP, GEA, HIBSCS, IC]	Weak	
ArgP	dapD[dapDp]	+	[BPP, GEA]	Strong	
ArgP	dnaAN-recF[dnaAp1]	+	[BPP, GEA, IC]	Strong	
ArgP	gdhA[gdhAp1]	+	[BPP, GEA]	Strong	
ArgP	lysA[lysAp]	+	[BPP, GEA]	Strong	
ArgP	lysC[lysCp1]	+	[BPP, GEA]	Strong	
ArgP	lysP[lysPp]	+	[BPP, GEA, HIBSCS, IC, SM]	Strong	
ArgP	nrdAB-yfaE[nrdAp]	+	[BPP, GEA, IC]	Strong	
ArgR	argA[argAp]	-	[AIBSCS, BPP, GEA, HIBSCS]	Weak	
ArgR	argCBH[argCp]	-	[AIBSCS, BCE, BPP, GEA, SM]	Weak	
ArgR	argD[argDp]	-	[AIBSCS, BPP, GEA, HIBSCS]	Weak	
ArgR	argE[argEp1]	-	[AIBSCS, BCE, BPP, GEA, SM]	Weak	
ArgR	argF[argFp]	-	[AIBSCS, BCE, BPP, GEA, SM]	Weak	
ArgR	argG[argGp]	-	[AIBSCS, BPP, GEA, HIBSCS]	Weak	
ArgR	argI[argIp]	-	[AIBSCS, BCE, BPP, GEA]	Weak	
ArgR	argR[argRp1]	-	[AIBSCS, BPP, GEA, HIBSCS]	Weak	
ArgR	artJ[artJp]	-	[AIBSCS, BPP, GEA, SM]	Weak	
ArgR	artPIQM[artPp]	-	[AIBSCS, BPP, GEA, SM]	Weak	
ArgR	astCADBE[astCp2]	+	[AIBSCS, BPP, GEA]	Weak	
ArgR	carAB[carAp2]	-	[AIBSCS, BPP, GEA, HIBSCS, SM]	Weak	
ArgR	gltBDF[gltBp]	-	[BPP, GEA, HIBSCS]	Strong	
ArgR	hisJQMP[hisJp]	-	[AIBSCS, BPP, GEA, SM]	Weak	
ArgR	lysO[lysOp]	-	[BPP, GEA, SM]	Strong	
ArgR	metY[metYp2]	-	[AIBSCS, BPP, GEA, HIBSCS]	Weak	
ArgR	metY-rimP-nusA-infB-rbfA-truB-rpsO-pnp[metYp2]	-	[AIBSCS, BPP, GEA, HIBSCS]	Weak	
ArsR	arsRBC[arsRp]	-	[AIBSCS, BPP, GEA]	Weak	
AscG	ascFB[ascFp]	-	[AIBSCS, BPP, GEA]	Weak	
AscG	htpG[htpGp1]	-	[AIBSCS, BPP]	Weak	
AscG	prpR[prpRp]	-	[AIBSCS, BPP, GEA]	Weak	
AscG	ybiT[ybiTp]	-	[AIBSCS, BPP]	Weak	
AsnC	asnA[asnAp]	+	[GEA]	Weak	
AsnC	asnC[asnCp]	-	[GEA]	Weak	
AsnC	asnC-mioC[asnCp]	-	[GEA]	Weak	
AsnC	asnC-mioC-mnmG[asnCp]	-	[GEA]	Weak	
AtoC	atoDAEB[atoDp]	+	[BPP, GEA, HIBSCS, SM]	Strong	
BaeR	acrD[acrDp2]	+	[BPP, GEA, IC]	Strong	
BaeR	mdtABCD-baeSR[mdtAp]	+	[AIBSCS, BPP, GEA]	Weak	
BaeR	spy[spyp]	+	[AIBSCS, BPP, GEA, HIBSCS, IC]	Weak	
BasR	csgDEFG[csgDp1]	+	[BPP, GEA, HIBSCS]	Strong	
BasR	cspI[cspIp]	+	[BPP, HIBSCS]	Strong	
BasR	dgkA[dgkAp1]	+	[BPP, GEA, HIBSCS, SM]	Strong	
BasR	fimB[fimBp2]	+	[BPP, HIBSCS]	Strong	
BasR	putA[putAp]	-	[BPP, HIBSCS]	Strong	
BasR	qseBC[qseBp2]	+	[BPP, GEA]	Strong	
BasR	tomB-hha[tomBp1]	+	[BPP, HIBSCS]	Strong	
BasR	yrbL[yrbLp]	-	[BPP, GEA, HIBSCS]	Strong	
BetI	betIBA[betIp]	-	[GEA, HIBSCS]	Weak	
BetI	betT[betTp]	-	[GEA, HIBSCS]	Weak	
BirA	bioA[bioAp]	-	[SM]	Strong	
BirA	bioBFCD[bioBp]	-	[SM]	Strong	
BluR	ycgZ-ymgA-ariR-ymgC[ycgZp]	-	[BPP, GEA]	Strong	
BolA	ampC[ampCp]	+-	[GEA, IMP]	Weak	
BolA	dacC[dacCp]	+-	[GEA, IMP]	Weak	
CRP	aaeR[aaeRp]	-	[GEA, HIBSCS]	Weak	
CRP	aaeXAB[aaeXp]	+	[GEA, HIBSCS]	Weak	
CRP	aceBAK[aceBp]	-	[AIBSCS, GEA]	Weak	
CRP	acnA[acnAp2]	+	[GEA, HIBSCS]	Weak	
CRP	acnB[acnBp]	+	[GEA, HIBSCS]	Weak	
CRP	acs-yjcH-actP[acsp2]	+	[AIBSCS, BPP, GEA, SM]	Weak	
CRP	aer[aerp]	+	[AIBSCS, BCE, BPP, GEA, SM]	Weak	
CRP	agp[agpp]	+	[AIBSCS, GEA]	Weak	
CRP	aldA[aldAp]	+	[BCE, GEA]	Weak	
CRP	aldB[aldBp]	+	[AIBSCS, BPP]	Weak	
CRP	ampDE[ampD]	-	[AIBSCS, GEA, HIBSCS]	Weak	
CRP	ansB[ansBp2]	+	[BCE, SM]	Weak	
CRP	araBAD[araBp]	+	[BPP, GEA, HIBSCS, SM]	Strong	
CRP	araC[araCp]	+	[BPP, GEA, HIBSCS, SM]	Strong	
CRP	araE[araEp]	+	[AIBSCS, BPP]	Weak	
CRP	araE-ygeA[araEp]	+	[AIBSCS, BPP]	Weak	
CRP	araFGH[araFp]	+	[BPP, GEA, HIBSCS, SM]	Strong	
CRP	araJ[araJp]	+	[BPP, HIBSCS]	Strong	
CRP	argG[argGp]	+	[BPP, GEA, SM]	Strong	
CRP	ascFB[ascFp]	+	[BPP, ICWHO]	Strong	
CRP	aspA[aspAp]	+	[GEA, HIBSCS]	Weak	
CRP	aspA-dcuA[aspAp]	+	[GEA, HIBSCS]	Weak	
CRP	azuC[azuCp]	-	[GEA, HIBSCS]	Weak	
CRP	bglG[bglGp]	+	[AIBSCS, BPP, GEA, SM]	Weak	
CRP	bglG[bglGp2]	+	[AIBSCS, BPP, GEA, SM]	Weak	
CRP	bglGFB[bglGp]	+	[AIBSCS, BPP, GEA, SM]	Weak	
CRP	bhsA[bhsAp]	-	[BPP, GEA, HIBSCS]	Strong	
CRP	caiF[caiFp]	+	[BCE, GEA]	Weak	
CRP	caiTABCDE[caiTp]	+	[BCE, GEA, HIBSCS]	Weak	
CRP	casABCDE12[casp]	-	[BPP, GEA, HIBSCS]	Strong	
CRP	cdd[cddp]	+	[BPP, GEA, SM]	Strong	
CRP	chbBCARFG[chbBp]	+	[AIBSCS, BPP, GEA, HIBSCS]	Weak	
CRP	chiP-ybfN[chiPp]	+	[HIBSCS]	Weak	
CRP	cirA[cirAp2]	+	[]	null	
CRP	cirA[cirAp1]	+	[GEA, HIBSCS]	Weak	
CRP	citCDEFXG[citCp2]	-	[AIBSCS]	Weak	
CRP	comR[comRp]	-	[BPP, GEA, HIBSCS]	Strong	
CRP	cpdB[cpdBp]	+	[BCE, SM]	Weak	
CRP	crp[crpp1]	+	[BPP, HIBSCS, SM, AIBSCS, GEA]	Strong	
CRP	csgDEFG[csgDp1]	+	[AIBSCS, GEA]	Weak	
CRP	csiD-lhgO-gabDTP[csiDp]	+	[AIBSCS, BPP, GEA]	Weak	
CRP	csiE[csiEp]	+	[GEA]	Weak	
CRP	cspD[cspDp]	+	[AIBSCS, BPP, GEA, HIBSCS, SM]	Weak	
CRP	cspE[cspEp2]	+	[BPP, GEA, HIBSCS, SM]	Strong	
CRP	cstA[cstAp1]	+	[GEA, SM]	Weak	
CRP	cyaA[cyaAp]	-	[BPP, GEA, HIBSCS]	Strong	
CRP	cyaR[cyaRp]	+	[AIBSCS, BPP, GEA, SM]	Weak	
CRP	cyoABCDE[cyoAp]	+	[AIBSCS, GEA]	Weak	
CRP	cytR[cytRp]	+-	[BPP, GEA, HIBSCS]	Strong	
CRP	dadAX[dadAp2]	+	[BPP, GEA, HIBSCS]	Strong	
CRP	dadAX[dadAp1]	+	[BPP, GEA, HIBSCS]	Strong	
CRP	dadAX[dadAp3]	+	[BPP, GEA, HIBSCS]	Strong	
CRP	dctA[dctAp]	+	[BPP, GEA, HIBSCS]	Strong	
CRP	dcuB-fumB[dcuBp]	+	[GEA, HIBSCS]	Weak	
CRP	dcuR[dcuRp]	+	[BPP, HIBSCS]	Strong	
CRP	deoCABD[deoCp2]	+	[BPP, GEA, HIBSCS, SM, AIBSCS]	Strong	
CRP	dpiBA[dpiBp]	-	[AIBSCS]	Weak	
CRP	dsdA[dsdAp]	+	[HIBSCS]	Weak	
CRP	dsdXA[dsdXp]	+	[BCE]	Weak	
CRP	dusB-fis[dusBp]	+	[AIBSCS, GEA, BPP]	Weak	
CRP	ebgAC[ebgAp]	+	[HIBSCS]	Weak	
CRP	entCEBAH[entCp]	+	[AIBSCS, GEA]	Weak	
CRP	epd-pgk[epdp]	+	[BCE, GEA, HIBSCS, SM]	Weak	
CRP	epd-pgk-fbaA[epdp]	+	[BCE, GEA, HIBSCS, SM]	Weak	
CRP	exuT[exuTp2]	+	[AIBSCS, HIBSCS]	Weak	
CRP	fadD-sroD[fadDp]	+	[AIBSCS, BPP, GEA]	Weak	
CRP	fadH[fadHp]	+	[GEA, HIBSCS]	Weak	
CRP	fadL[fadLp]	+	[BPP, GEA]	Strong	
CRP	feaB[feaBp1]	+	[GEA, HIBSCS]	Weak	
CRP	feaR[feaRp2]	+	[HIBSCS]	Weak	
CRP	fecABCDE[fecAp]	+	[GEA]	Weak	
CRP	fepA-entD[fepAp]	+	[AIBSCS, GEA]	Weak	
CRP	fiu[fiup]	+	[AIBSCS, GEA]	Weak	
CRP	fixABCX[fixAp]	+	[GEA, HIBSCS]	Weak	
CRP	flhDC[flhDp]	+	[BPP, GEA, HIBSCS]	Strong	
CRP	focA-pflB[focAp1]	+	[AIBSCS, BCE, GEA, HIBSCS, SM]	Weak	
CRP	fucAO[fucAp]	+	[AIBSCS, GEA, IMP]	Weak	
CRP	fucPIKUR[fucPp]	+	[AIBSCS, BPP, GEA, SM]	Weak	
CRP	fumA[fumAp]	+	[AIBSCS, BPP, GEA, HIBSCS, SM]	Weak	
CRP	fumAC[fumAp]	+	[AIBSCS, BPP, GEA, HIBSCS, SM]	Weak	
CRP	fumC[fumCp]	+	[BPP, GEA, HIBSCS, SM]	Strong	
CRP	fur[furpb]	+	[HIBSCS, SM]	Weak	
CRP	fur[furpa]	+	[HIBSCS, SM]	Weak	
CRP	gadAX[gadAp]	-	[GEA, HIBSCS]	Weak	
CRP	gadBC[gadBp]	-	[GEA, HIBSCS]	Weak	
CRP	gadE-mdtEF[gadEp]	-	[BPP, HIBSCS]	Strong	
CRP	galE[galEp1]	+	[GEA, HIBSCS, SM]	Weak	
CRP	galE[galEp2]	-	[GEA, HIBSCS, SM]	Weak	
CRP	galET[galEp1]	+	[GEA, HIBSCS, SM]	Weak	
CRP	galET[galEp2]	-	[GEA, HIBSCS, SM]	Weak	
CRP	galETK[galEp1]	+	[GEA, HIBSCS, SM]	Weak	
CRP	galETK[galEp2]	-	[GEA, HIBSCS, SM]	Weak	
CRP	galETKM[galEp1]	+	[GEA, HIBSCS, SM]	Weak	
CRP	galETKM[galEp2]	-	[GEA, HIBSCS, SM]	Weak	
CRP	galP[galPp]	+	[GEA, HIBSCS]	Weak	
CRP	galS[galSp]	+	[AIBSCS, BCE, GEA, HIBSCS]	Weak	
CRP	gapA[gapAp3]	+	[GEA, HIBSCS]	Weak	
CRP	gatYZABCD[gatYp]	+	[AIBSCS, BCE, GEA, SM]	Weak	
CRP	gcd[gcdp1]	-	[BPP, GEA, HIBSCS, SM]	Strong	
CRP	gcvTHP[gcvTp]	+	[BPP, GEA, HIBSCS, SM]	Strong	
CRP	gdhA[gdhAp1]	-	[HIBSCS]	Weak	
CRP	glcC[glcCp]	+	[AIBSCS, GEA]	Weak	
CRP	glgCAP[glgCp1]	+	[BPP, GEA]	Strong	
CRP	glgS[glgSp1]	+	[GEA, HIBSCS]	Weak	
CRP	glnA[glnAp1]	+	[HIBSCS]	Weak	
CRP	glnA[glnAp2]	-	[AIBSCS, BPP, GEA]	Weak	
CRP	glnALG[glnAp1]	+	[HIBSCS]	Weak	
CRP	glnALG[glnAp2]	-	[AIBSCS, BPP, GEA]	Weak	
CRP	glpABC[glpABCp]	+	[AIBSCS, BPP, GEA, HIBSCS]	Weak	
CRP	glpD[glpDp]	+	[BPP, GEA, HIBSCS]	Strong	
CRP	glpEGR[glpEp]	+	[BPP, GEA, HIBSCS]	Strong	
CRP	glpFKX[glpFp]	+	[GEA, HIBSCS]	Weak	
CRP	glpTQ[glpTQp]	+	[AIBSCS, BPP, GEA, HIBSCS]	Weak	
CRP	gltA[gltAp1]	+	[AIBSCS, BCE, GEA]	Weak	
CRP	gltBDF[gltBp]	-	[BPP, GEA, HIBSCS, SM]	Strong	
CRP	gntK[gntKp]	+	[BCE, GEA, HIBSCS]	Weak	
CRP	gntKU[gntKp]	+	[BCE, GEA, HIBSCS]	Weak	
CRP	gntP[gntPp]	+	[AIBSCS, BPP, GEA, HIBSCS]	Weak	
CRP	gntT[gntTp3]	+	[BPP, GEA, HIBSCS, SM, TASES]	Strong	
CRP	gntT[gntTp2]	+	[BPP, GEA, HIBSCS, SM, TASES]	Strong	
CRP	gntT[gntTp1]	+	[BPP, GEA, HIBSCS, SM, TASES]	Strong	
CRP	gntX-nfuA[gntXp]	+	[AIBSCS]	Weak	
CRP	grcA[grcAp1]	+	[AIBSCS, GEA]	Weak	
CRP	grpE[grpEp]	+	[AIBSCS, GEA]	Weak	
CRP	guaBA[guaBp]	+	[BPP, GEA, SM]	Strong	
CRP	gyrA[gyrAp]	+	[GEA]	Weak	
CRP	hfq-hflXKC[hfqp3]	-	[BPP, GEA, HIBSCS]	Strong	
CRP	hlyE[hlyEp]	+	[BPP, GEA, SM]	Strong	
CRP	hofMNOP[hofMp]	+	[AIBSCS, BPP]	Weak	
CRP	hpt[hptp]	+	[BPP, GEA, HIBSCS, SM]	Strong	
CRP	hupA[hupAp]	+	[BPP, GEA]	Strong	
CRP	hupB[hupBp3]	+	[BPP, GEA]	Strong	
CRP	hyfABCDEFGHIJR-focB[hyfAp]	+	[GEA, HIBSCS]	Weak	
CRP	idnDOTR[idnDp]	+	[AIBSCS, GEA, HIBSCS]	Weak	
CRP	idnK[idnKp]	+	[AIBSCS, GEA, HIBSCS]	Weak	
CRP	ivbL[ivbLp]	+	[BPP, HIBSCS]	Strong	
CRP	ivbL-ilvBN[ivbLp]	+	[BPP, HIBSCS]	Strong	
CRP	kbaZ-agaVWA[kbaZp]	+	[BPP, GEA, HIBSCS]	Strong	
CRP	lacZYA[lacZp3]	-	[BPP, GEA, HIBSCS, SM]	Strong	
CRP	lacZYA[lacZp2]	-	[BPP, GEA, HIBSCS, SM]	Strong	
CRP	lacZYA[lacZp1]	+	[BPP, GEA, HIBSCS, SM]	Strong	
CRP	ldtB[ybisp]	-	[AIBSCS, GEA]	Weak	
CRP	lpd[lpdAp]	-	[AIBSCS, GEA]	Weak	
CRP	lsrACDBFG-tam[lsrAp]	+	[BPP, GEA, HIBSCS, SM]	Strong	
CRP	lsrRK[lsrRp]	+	[BPP, GEA, HIBSCS, SM]	Strong	
CRP	malEFG[malEp]	+	[AIBSCS, BPP, HIBSCS, SM]	Weak	
CRP	malI[malIp]	+	[AIBSCS, BCE, BPP, GEA, SM]	Weak	
CRP	malK-lamB-malM[malKp]	+	[AIBSCS, BPP, HIBSCS, SM]	Weak	
CRP	malS[malSp]	+	[AIBSCS]	Weak	
CRP	malT[malTp]	+	[BPP, GEA, HIBSCS]	Strong	
CRP	malXY[malXp]	+	[AIBSCS, BCE, BPP, GEA, SM]	Weak	
CRP	manA[manAp]	+	[HIBSCS]	Weak	
CRP	manXYZ[manXp]	+	[AIBSCS, BCE, GEA, HIBSCS]	Weak	
CRP	marRAB[marRp]	+	[AIBSCS, GEA, IMP]	Weak	
CRP	mcaS[mcaSp]	+	[BPP, GEA, HIBSCS]	Strong	
CRP	mdh[mdhp1]	+	[BCE, GEA]	Weak	
CRP	melAB[melAp]	+	[AIBSCS, BPP, GEA, HIBSCS]	Weak	
CRP	melR[melRp]	+	[AIBSCS, BPP, GEA, HIBSCS]	Weak	
CRP	metK[metKp]	-	[AIBSCS, GEA]	Weak	
CRP	metY[metYp2]	-	[BPP, GEA, SM]	Strong	
CRP	metY-rimP-nusA-infB-rbfA-truB-rpsO-pnp[metYp2]	-	[BPP, GEA, SM]	Strong	
CRP	mglBAC[mglBp]	+	[AIBSCS, BCE, BPP, GEA, SM]	Weak	
CRP	mhpABCDFE[mhpAp]	+	[BCE, GEA, HIBSCS]	Weak	
CRP	mhpR-lacI[mhpRp1]	+	[BPP, GEA, HIBSCS]	Strong	
CRP	mlc[mlcp1]	-	[GEA, HIBSCS]	Weak	
CRP	mlc-ynfK[mlcp2]	+	[GEA, HIBSCS]	Weak	
CRP	modABC[modAp]	+	[AIBSCS, GEA]	Weak	
