# conformaciones_activas.txt
# generated: 2018-08-14 11:48:25
# RegulonDB: 10.0, release: 18/06/18
# Manual processing: Edited MalT effectors column to include ATP and maltotriose as one effector. Changed all lines without a regulated TU tu TF_inactive.txt. All lines in TF_inactive.txt that had a regulated TU were moved here.
# Transcription Factor name	 Final State	Effector Name	Effect	Transcription Unit name	Evidences	Evidence type
AraC	AraC-arabinose	&alpha;-L-arabinopyranose	-	araC	[IDA|S|Inferred from direct assay],[SM|S|Site mutation],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[IEP|W|Inferred from expression pattern]	Strong
AraC	AraC-arabinose	&alpha;-L-arabinopyranose	-	xylAB	[IDA|S|Inferred from direct assay],[SM|S|Site mutation],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[IEP|W|Inferred from expression pattern]	Strong
AraC	AraC-arabinose	&alpha;-L-arabinopyranose	-	ydeNM	[IDA|S|Inferred from direct assay],[SM|S|Site mutation],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[IEP|W|Inferred from expression pattern]	Strong
ArcA	ArcA-Phosphorylated	Phosphate	+	ackA	[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[APPHINH|S|Assay of protein purified to homogeneity from its native host],[HIFS|W|Human inference of function from sequence]	Strong
ArcA	ArcA-Phosphorylated	Phosphate	+	appCBXA	[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[APPHINH|S|Assay of protein purified to homogeneity from its native host],[HIFS|W|Human inference of function from sequence]	Strong
ArcA	ArcA-Phosphorylated	Phosphate	+	appY	[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[APPHINH|S|Assay of protein purified to homogeneity from its native host],[HIFS|W|Human inference of function from sequence]	Strong
ArcA	ArcA-Phosphorylated	Phosphate	+	caiTABCDE	[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[APPHINH|S|Assay of protein purified to homogeneity from its native host],[HIFS|W|Human inference of function from sequence]	Strong
ArcA	ArcA-Phosphorylated	Phosphate	+	cydAB	[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[APPHINH|S|Assay of protein purified to homogeneity from its native host],[HIFS|W|Human inference of function from sequence]	Strong
ArcA	ArcA-Phosphorylated	Phosphate	+	cydDC	[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[APPHINH|S|Assay of protein purified to homogeneity from its native host],[HIFS|W|Human inference of function from sequence]	Strong
ArcA	ArcA-Phosphorylated	Phosphate	+	dcuC	[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[APPHINH|S|Assay of protein purified to homogeneity from its native host],[HIFS|W|Human inference of function from sequence]	Strong
ArcA	ArcA-Phosphorylated	Phosphate	+	dpiBA	[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[APPHINH|S|Assay of protein purified to homogeneity from its native host],[HIFS|W|Human inference of function from sequence]	Strong
ArcA	ArcA-Phosphorylated	Phosphate	+	focA-pflB	[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[APPHINH|S|Assay of protein purified to homogeneity from its native host],[HIFS|W|Human inference of function from sequence]	Strong
ArcA	ArcA-Phosphorylated	Phosphate	+	fumB	[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[APPHINH|S|Assay of protein purified to homogeneity from its native host],[HIFS|W|Human inference of function from sequence]	Strong
ArcA	ArcA-Phosphorylated	Phosphate	+	gadAX	[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[APPHINH|S|Assay of protein purified to homogeneity from its native host],[HIFS|W|Human inference of function from sequence]	Strong
ArcA	ArcA-Phosphorylated	Phosphate	+	gadEF	[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[APPHINH|S|Assay of protein purified to homogeneity from its native host],[HIFS|W|Human inference of function from sequence]	Strong
ArcA	ArcA-Phosphorylated	Phosphate	+	grcA	[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[APPHINH|S|Assay of protein purified to homogeneity from its native host],[HIFS|W|Human inference of function from sequence]	Strong
ArcA	ArcA-Phosphorylated	Phosphate	+	hemA-prfA-prmC	[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[APPHINH|S|Assay of protein purified to homogeneity from its native host],[HIFS|W|Human inference of function from sequence]	Strong
ArcA	ArcA-Phosphorylated	Phosphate	+	hyaABCDEF	[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[APPHINH|S|Assay of protein purified to homogeneity from its native host],[HIFS|W|Human inference of function from sequence]	Strong
ArcA	ArcA-Phosphorylated	Phosphate	+	iraM	[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[APPHINH|S|Assay of protein purified to homogeneity from its native host],[HIFS|W|Human inference of function from sequence]	Strong
ArcA	ArcA-Phosphorylated	Phosphate	+	moeAB	[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[APPHINH|S|Assay of protein purified to homogeneity from its native host],[HIFS|W|Human inference of function from sequence]	Strong
ArcA	ArcA-Phosphorylated	Phosphate	+	rutABCDEFG	[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[APPHINH|S|Assay of protein purified to homogeneity from its native host],[HIFS|W|Human inference of function from sequence]	Strong
ArcA	ArcA-Phosphorylated	Phosphate	+	sdhCDAB-sucABCD	[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[APPHINH|S|Assay of protein purified to homogeneity from its native host],[HIFS|W|Human inference of function from sequence]	Strong
ArcA	ArcA-Phosphorylated	Phosphate	+	treBC	[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[APPHINH|S|Assay of protein purified to homogeneity from its native host],[HIFS|W|Human inference of function from sequence]	Strong
ArcA	ArcA-Phosphorylated	Phosphate	+	xylR	[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[APPHINH|S|Assay of protein purified to homogeneity from its native host],[HIFS|W|Human inference of function from sequence]	Strong
ArcA	ArcA-Phosphorylated	Phosphate	+	ybdN	[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[APPHINH|S|Assay of protein purified to homogeneity from its native host],[HIFS|W|Human inference of function from sequence]	Strong
ArcA	ArcA-Phosphorylated	Phosphate	-	aceBAK	[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[APPHINH|S|Assay of protein purified to homogeneity from its native host],[HIFS|W|Human inference of function from sequence]	Strong
ArcA	ArcA-Phosphorylated	Phosphate	-	aceEF	[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[APPHINH|S|Assay of protein purified to homogeneity from its native host],[HIFS|W|Human inference of function from sequence]	Strong
ArcA	ArcA-Phosphorylated	Phosphate	-	acnA	[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[APPHINH|S|Assay of protein purified to homogeneity from its native host],[HIFS|W|Human inference of function from sequence]	Strong
ArcA	ArcA-Phosphorylated	Phosphate	-	acnB	[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[APPHINH|S|Assay of protein purified to homogeneity from its native host],[HIFS|W|Human inference of function from sequence]	Strong
ArcA	ArcA-Phosphorylated	Phosphate	-	aldA	[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[APPHINH|S|Assay of protein purified to homogeneity from its native host],[HIFS|W|Human inference of function from sequence]	Strong
ArcA	ArcA-Phosphorylated	Phosphate	-	arcZ	[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[APPHINH|S|Assay of protein purified to homogeneity from its native host],[HIFS|W|Human inference of function from sequence]	Strong
ArcA	ArcA-Phosphorylated	Phosphate	-	betIBA	[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[APPHINH|S|Assay of protein purified to homogeneity from its native host],[HIFS|W|Human inference of function from sequence]	Strong
ArcA	ArcA-Phosphorylated	Phosphate	-	betT	[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[APPHINH|S|Assay of protein purified to homogeneity from its native host],[HIFS|W|Human inference of function from sequence]	Strong
ArcA	ArcA-Phosphorylated	Phosphate	-	cadBA	[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[APPHINH|S|Assay of protein purified to homogeneity from its native host],[HIFS|W|Human inference of function from sequence]	Strong
ArcA	ArcA-Phosphorylated	Phosphate	-	citCDEFXG	[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[APPHINH|S|Assay of protein purified to homogeneity from its native host],[HIFS|W|Human inference of function from sequence]	Strong
ArcA	ArcA-Phosphorylated	Phosphate	-	cyoABCDE	[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[APPHINH|S|Assay of protein purified to homogeneity from its native host],[HIFS|W|Human inference of function from sequence]	Strong
ArcA	ArcA-Phosphorylated	Phosphate	-	dctA	[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[APPHINH|S|Assay of protein purified to homogeneity from its native host],[HIFS|W|Human inference of function from sequence]	Strong
ArcA	ArcA-Phosphorylated	Phosphate	-	fadBA	[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[APPHINH|S|Assay of protein purified to homogeneity from its native host],[HIFS|W|Human inference of function from sequence]	Strong
ArcA	ArcA-Phosphorylated	Phosphate	-	fadD-sroD	[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[APPHINH|S|Assay of protein purified to homogeneity from its native host],[HIFS|W|Human inference of function from sequence]	Strong
ArcA	ArcA-Phosphorylated	Phosphate	-	fadE	[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[APPHINH|S|Assay of protein purified to homogeneity from its native host],[HIFS|W|Human inference of function from sequence]	Strong
ArcA	ArcA-Phosphorylated	Phosphate	-	fadH	[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[APPHINH|S|Assay of protein purified to homogeneity from its native host],[HIFS|W|Human inference of function from sequence]	Strong
ArcA	ArcA-Phosphorylated	Phosphate	-	fadIJ	[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[APPHINH|S|Assay of protein purified to homogeneity from its native host],[HIFS|W|Human inference of function from sequence]	Strong
ArcA	ArcA-Phosphorylated	Phosphate	-	fadL	[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[APPHINH|S|Assay of protein purified to homogeneity from its native host],[HIFS|W|Human inference of function from sequence]	Strong
ArcA	ArcA-Phosphorylated	Phosphate	-	fnr	[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[APPHINH|S|Assay of protein purified to homogeneity from its native host],[HIFS|W|Human inference of function from sequence]	Strong
ArcA	ArcA-Phosphorylated	Phosphate	-	fumA	[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[APPHINH|S|Assay of protein purified to homogeneity from its native host],[HIFS|W|Human inference of function from sequence]	Strong
ArcA	ArcA-Phosphorylated	Phosphate	-	fumAC	[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[APPHINH|S|Assay of protein purified to homogeneity from its native host],[HIFS|W|Human inference of function from sequence]	Strong
ArcA	ArcA-Phosphorylated	Phosphate	-	fumC	[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[APPHINH|S|Assay of protein purified to homogeneity from its native host],[HIFS|W|Human inference of function from sequence]	Strong
ArcA	ArcA-Phosphorylated	Phosphate	-	gatYZABCD	[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[APPHINH|S|Assay of protein purified to homogeneity from its native host],[HIFS|W|Human inference of function from sequence]	Strong
ArcA	ArcA-Phosphorylated	Phosphate	-	glcDEFGBA	[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[APPHINH|S|Assay of protein purified to homogeneity from its native host],[HIFS|W|Human inference of function from sequence]	Strong
ArcA	ArcA-Phosphorylated	Phosphate	-	glpABC	[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[APPHINH|S|Assay of protein purified to homogeneity from its native host],[HIFS|W|Human inference of function from sequence]	Strong
ArcA	ArcA-Phosphorylated	Phosphate	-	glpD	[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[APPHINH|S|Assay of protein purified to homogeneity from its native host],[HIFS|W|Human inference of function from sequence]	Strong
ArcA	ArcA-Phosphorylated	Phosphate	-	gltA	[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[APPHINH|S|Assay of protein purified to homogeneity from its native host],[HIFS|W|Human inference of function from sequence]	Strong
ArcA	ArcA-Phosphorylated	Phosphate	-	hybOABCDEFG	[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[APPHINH|S|Assay of protein purified to homogeneity from its native host],[HIFS|W|Human inference of function from sequence]	Strong
ArcA	ArcA-Phosphorylated	Phosphate	-	icd	[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[APPHINH|S|Assay of protein purified to homogeneity from its native host],[HIFS|W|Human inference of function from sequence]	Strong
ArcA	ArcA-Phosphorylated	Phosphate	-	lldPRD	[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[APPHINH|S|Assay of protein purified to homogeneity from its native host],[HIFS|W|Human inference of function from sequence]	Strong
ArcA	ArcA-Phosphorylated	Phosphate	-	lpd	[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[APPHINH|S|Assay of protein purified to homogeneity from its native host],[HIFS|W|Human inference of function from sequence]	Strong
ArcA	ArcA-Phosphorylated	Phosphate	-	mdh	[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[APPHINH|S|Assay of protein purified to homogeneity from its native host],[HIFS|W|Human inference of function from sequence]	Strong
ArcA	ArcA-Phosphorylated	Phosphate	-	ndh	[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[APPHINH|S|Assay of protein purified to homogeneity from its native host],[HIFS|W|Human inference of function from sequence]	Strong
ArcA	ArcA-Phosphorylated	Phosphate	-	nuoABCEFGHIJKLMN	[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[APPHINH|S|Assay of protein purified to homogeneity from its native host],[HIFS|W|Human inference of function from sequence]	Strong
ArcA	ArcA-Phosphorylated	Phosphate	-	ompW	[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[APPHINH|S|Assay of protein purified to homogeneity from its native host],[HIFS|W|Human inference of function from sequence]	Strong
ArcA	ArcA-Phosphorylated	Phosphate	-	oppABCDF	[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[APPHINH|S|Assay of protein purified to homogeneity from its native host],[HIFS|W|Human inference of function from sequence]	Strong
ArcA	ArcA-Phosphorylated	Phosphate	-	ptsG	[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[APPHINH|S|Assay of protein purified to homogeneity from its native host],[HIFS|W|Human inference of function from sequence]	Strong
ArcA	ArcA-Phosphorylated	Phosphate	-	puuAP	[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[APPHINH|S|Assay of protein purified to homogeneity from its native host],[HIFS|W|Human inference of function from sequence]	Strong
ArcA	ArcA-Phosphorylated	Phosphate	-	puuDRCBE	[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[APPHINH|S|Assay of protein purified to homogeneity from its native host],[HIFS|W|Human inference of function from sequence]	Strong
ArcA	ArcA-Phosphorylated	Phosphate	-	rhaT	[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[APPHINH|S|Assay of protein purified to homogeneity from its native host],[HIFS|W|Human inference of function from sequence]	Strong
ArcA	ArcA-Phosphorylated	Phosphate	-	rpoS	[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[BPP|S|Binding of purified proteins],[APPHINH|S|Assay of protein purified to homogeneity from its native host],[HIFS|W|Human inference of function from sequence]	Strong
