# From /Users/Daniela/Documents/CCG/GU_art_2/GO_levels/scripts/golevels_of_random_sets_v2.pl on Wed Oct  3 03:59:08 2018
# Using: /Users/Daniela/Documents/CCG/GU_art_2/GO_levels/random_sets_smgns/random_simple/
# GO levels of same set are in: /Users/Daniela/Documents/CCG/GU_art_2/GO_levels_extended/results/random_gos/levels/simple_random_levels.txt 
# Columns= Group name
# Rows= Random set
	AcrR	Ada	AgaR	AlaS	AllR	AllS	AlsR	ArcA	ArgP	ArgR	ArsR	AscG	AsnC	BasR	BirA	BluR	BolA	CRP	CdaR	CecR	CpxR	Cra	CreB	CsgD	CueR	CynR	CysB	Dan	DhaR	DicA	DnaA	EvgA	FNR	FadR	FeaR	Fis	FlhDC	FliZ	Fur	GadX	GcvA	H-NS	HU	HcaR	IHF	IlvY	IscR	KdpE	LeuO	LexA	LrhA	Lrp	LysR	MalT	MarA	MatA	McbR	MetJ	MlrA	MngR	MntR	MprA	MqsA	MurR	Nac	NadR	NagC	NanR	NimR	NsrR	NtrC	OmpR	OxyR	PaaX	PepA	PgrR	PhoB	PhoP	PspF	PurR	RbsR	RcdA	RclR	RcnR	RcsAB	RcsB	RcsB-BglJ	Rob	RutR	SdiA	SgrR	SoxS	SutR	TorR	TrpR	TyrR	UidR	UvrY	XapR	YdeO	YjjQ	YpdB	YqhC	ZntR	ZraR	Zur
ran_18.txt	NA	0.67	0.40	NA	0.57	0.50	0.50	NA	0.33	0.40	1.00	NA	NA	NA	1.00	0.67	NA	0.52	0.80	0.67	0.60	0.67	NA	0.57	0.50	NA	0.50	0.67	0.33	0.67	0.50	0.67	0.70	0.40	NA	0.51	0.48	NA	0.53	0.25	0.50	0.67	1.00	0.67	0.29	NA	0.29	0.50	0.67	0.77	NA	0.45	NA	NA	NA	NA	NA	0.50	1.00	NA	NA	0.67	0.50	NA	0.50	1.00	0.50	1.00	NA	0.64	0.58	NA	0.50	NA	NA	0.33	0.50	0.54	NA	0.38	NA	0.50	0.50	NA	1.00	0.33	0.67	NA	NA	NA	0.67	0.83	NA	NA	1.00	0.67	NA	NA	0.50	NA	0.40	NA	NA	NA	NA	0.75
ran_19.txt	NA	0.50	0.33	NA	0.71	0.33	1.00	1.00	0.50	0.38	1.00	NA	NA	NA	0.60	NA	NA	0.42	0.60	0.75	0.58	0.55	NA	0.43	NA	0.50	0.67	0.33	0.67	0.80	NA	0.50	0.62	0.75	NA	0.35	0.57	NA	0.53	0.75	NA	0.40	NA	1.00	0.75	0.50	0.75	0.67	0.75	0.67	NA	0.54	NA	NA	1.00	NA	NA	0.75	0.67	1.00	0.50	1.00	0.50	NA	0.80	1.00	0.67	NA	0.50	0.62	0.40	0.67	0.71	1.00	NA	0.67	0.47	0.44	NA	0.38	NA	NA	1.00	NA	0.33	1.00	0.71	NA	NA	NA	0.60	0.60	0.50	NA	0.50	1.00	NA	NA	1.00	0.50	0.29	NA	0.50	NA	NA	0.33
ran_2.txt	NA	1.00	0.57	NA	0.75	NA	0.60	NA	0.33	0.50	1.00	NA	NA	NA	1.00	0.25	0.50	0.55	0.75	0.67	0.52	0.50	NA	0.60	0.50	0.50	0.44	0.33	1.00	0.60	NA	0.83	0.42	0.75	NA	0.57	0.42	NA	0.47	0.60	0.50	0.44	NA	0.50	1.00	1.00	0.75	0.67	0.67	0.58	NA	0.70	NA	NA	NA	0.50	NA	0.75	0.80	0.67	NA	0.67	0.50	NA	0.50	0.33	0.67	NA	0.50	0.58	0.46	0.50	0.57	NA	NA	0.60	0.74	0.58	NA	0.33	NA	1.00	1.00	NA	0.67	1.00	0.50	NA	NA	NA	0.75	1.00	0.50	NA	0.75	1.00	NA	NA	NA	1.00	0.60	NA	0.50	NA	NA	0.50
ran_20.txt	NA	NA	0.43	NA	0.60	NA	0.40	0.50	0.50	0.40	0.67	NA	NA	NA	0.60	1.00	NA	0.46	0.50	0.80	0.48	0.38	NA	0.71	NA	0.50	0.83	0.67	1.00	0.60	NA	0.50	0.61	0.86	NA	0.70	0.41	NA	0.40	0.25	NA	0.36	NA	0.67	0.33	NA	0.50	0.67	0.50	0.61	NA	0.64	NA	NA	1.00	NA	NA	0.60	0.50	0.50	1.00	NA	NA	NA	0.50	NA	0.75	NA	1.00	0.70	0.55	NA	0.38	1.00	NA	1.00	0.59	0.50	NA	0.45	NA	NA	0.67	NA	0.50	1.00	0.40	NA	NA	NA	0.75	0.25	1.00	NA	0.71	0.67	NA	NA	NA	0.50	0.43	NA	0.50	NA	NA	0.60
ran_21.txt	NA	0.67	0.80	NA	0.75	1.00	0.33	NA	1.00	0.33	0.50	NA	NA	NA	0.50	0.25	0.50	0.70	0.67	1.00	0.72	0.40	NA	0.71	NA	0.67	0.57	NA	0.67	0.71	0.50	0.60	0.60	0.67	NA	0.50	0.50	NA	0.52	1.00	1.00	0.55	NA	0.50	0.40	0.50	0.43	NA	0.50	0.63	NA	0.38	NA	NA	1.00	1.00	NA	0.25	1.00	0.50	NA	0.67	NA	NA	0.75	0.33	0.50	1.00	NA	0.65	0.64	0.75	0.67	NA	NA	0.33	0.55	0.58	NA	0.50	NA	1.00	0.50	NA	0.33	1.00	0.83	NA	NA	NA	0.75	0.80	NA	NA	0.50	1.00	NA	1.00	NA	NA	0.25	NA	NA	NA	NA	1.00
ran_22.txt	NA	NA	0.50	NA	0.57	0.67	0.80	NA	0.50	0.38	1.00	NA	NA	NA	0.40	0.67	NA	0.63	1.00	0.67	0.56	0.80	NA	0.50	NA	0.50	0.88	0.67	0.67	0.50	0.50	0.80	0.65	1.00	NA	0.63	0.47	NA	0.50	0.67	NA	0.50	1.00	1.00	0.40	1.00	0.67	0.50	0.33	0.57	NA	0.50	NA	NA	NA	NA	NA	1.00	0.50	0.67	1.00	NA	NA	NA	0.50	0.67	0.40	NA	NA	0.61	0.54	0.33	0.62	NA	NA	0.50	0.50	0.62	NA	0.56	NA	0.50	0.50	NA	0.75	0.67	0.44	NA	NA	NA	0.60	0.75	0.50	NA	0.67	NA	NA	NA	NA	0.50	0.60	NA	NA	NA	NA	0.67
ran_23.txt	NA	0.67	0.33	NA	0.67	1.00	0.67	1.00	0.50	0.40	NA	NA	NA	NA	0.50	0.67	0.50	0.64	1.00	0.80	0.62	0.36	NA	0.83	0.50	0.75	0.62	0.67	NA	0.40	NA	0.50	0.50	0.80	NA	0.47	0.56	NA	0.56	0.75	0.50	0.64	0.50	0.67	0.50	NA	0.50	1.00	1.00	0.57	NA	0.80	NA	NA	1.00	NA	NA	0.33	1.00	0.67	0.50	NA	1.00	NA	0.40	NA	0.40	0.50	1.00	0.48	0.67	0.67	0.60	1.00	NA	0.50	0.54	0.40	NA	0.90	NA	0.50	NA	NA	0.60	0.75	0.83	NA	NA	NA	0.40	0.40	NA	NA	0.57	1.00	NA	0.50	1.00	NA	0.60	NA	0.50	NA	NA	0.40
ran_24.txt	NA	0.50	0.67	NA	0.50	0.50	0.80	1.00	1.00	0.54	1.00	NA	NA	NA	1.00	1.00	0.50	0.48	0.50	1.00	0.50	0.44	NA	0.50	NA	1.00	0.67	0.67	0.50	0.86	0.50	0.40	0.65	0.50	NA	0.56	0.50	NA	0.67	1.00	0.50	0.78	NA	0.75	0.67	NA	0.50	0.67	0.60	0.77	NA	0.50	NA	NA	1.00	NA	NA	0.60	0.50	NA	0.50	0.50	1.00	NA	0.67	0.67	0.67	0.50	NA	0.62	0.73	0.50	0.57	NA	NA	1.00	0.80	0.70	NA	0.75	NA	0.33	0.67	NA	1.00	1.00	0.40	NA	NA	NA	0.50	1.00	0.50	NA	0.50	0.67	NA	NA	1.00	NA	0.50	NA	NA	NA	NA	1.00
ran_25.txt	NA	0.50	0.80	NA	0.33	1.00	0.50	NA	NA	0.75	0.33	NA	NA	NA	0.75	0.67	NA	0.60	0.60	1.00	0.57	0.70	NA	0.60	0.50	0.67	0.67	0.75	0.33	0.60	1.00	0.50	0.48	0.67	NA	0.62	0.65	NA	0.47	0.43	NA	0.67	NA	0.75	0.67	1.00	0.50	0.50	0.80	0.68	NA	0.64	NA	NA	1.00	0.50	NA	1.00	0.67	NA	1.00	0.50	NA	NA	0.75	0.50	0.75	NA	0.50	0.55	0.67	NA	0.50	NA	NA	0.57	0.57	0.67	NA	0.64	NA	1.00	1.00	NA	0.50	0.67	0.75	NA	NA	NA	0.80	0.50	NA	NA	0.67	0.67	NA	NA	NA	NA	0.80	NA	0.50	NA	NA	0.67
ran_26.txt	NA	0.50	0.67	NA	0.67	1.00	0.40	0.50	0.67	0.50	1.00	NA	NA	NA	1.00	0.50	NA	0.50	NA	0.50	0.58	0.64	NA	0.80	NA	0.50	0.38	0.50	1.00	0.67	0.50	0.60	0.62	0.57	NA	0.55	0.58	NA	0.54	0.83	1.00	0.86	NA	0.60	0.40	NA	0.40	0.67	0.75	0.54	NA	0.50	NA	NA	NA	NA	NA	0.60	1.00	0.67	0.50	NA	1.00	NA	0.33	1.00	1.00	NA	NA	0.55	0.69	1.00	0.50	NA	NA	0.75	0.62	0.58	NA	0.62	NA	0.67	0.33	NA	0.50	0.67	0.40	NA	NA	NA	1.00	0.75	NA	NA	0.67	1.00	NA	1.00	0.50	NA	0.50	NA	1.00	NA	NA	0.50
ran_27.txt	NA	0.67	0.33	NA	0.67	0.50	0.75	NA	1.00	0.54	0.67	NA	NA	NA	0.50	0.50	NA	0.57	0.75	0.60	0.53	0.73	NA	1.00	NA	0.75	0.57	0.50	0.50	0.43	0.50	0.33	0.60	0.71	NA	0.55	0.54	NA	0.47	0.67	0.50	0.50	NA	0.33	0.50	NA	0.60	1.00	0.50	0.59	NA	0.71	NA	NA	0.50	0.50	NA	0.50	0.60	0.50	0.50	1.00	0.50	NA	0.50	0.50	0.50	0.50	0.50	0.45	0.79	0.50	0.44	0.50	NA	0.50	0.67	0.60	NA	0.56	NA	1.00	1.00	NA	0.67	0.75	0.43	NA	NA	NA	0.50	0.50	1.00	NA	0.75	NA	NA	NA	0.50	0.50	0.67	NA	NA	NA	NA	0.50
ran_28.txt	NA	NA	1.00	NA	0.60	0.50	0.75	1.00	0.33	0.50	0.50	NA	NA	NA	0.50	1.00	0.50	0.40	0.75	0.75	0.58	0.70	NA	0.80	0.50	0.67	0.50	0.50	NA	0.40	0.50	0.67	0.63	0.33	NA	0.45	0.50	NA	0.55	0.40	1.00	0.50	0.50	0.67	0.60	NA	0.43	0.75	0.75	0.54	NA	0.55	NA	NA	NA	1.00	NA	0.75	NA	1.00	1.00	0.50	NA	NA	0.75	NA	0.60	NA	0.50	0.65	0.67	1.00	0.67	NA	NA	0.67	0.50	0.64	NA	0.50	NA	0.67	NA	NA	0.50	0.50	0.50	NA	NA	NA	0.33	0.40	NA	NA	0.71	0.50	NA	1.00	1.00	1.00	0.60	NA	1.00	NA	NA	0.67
ran_29.txt	NA	0.67	1.00	NA	1.00	1.00	0.50	1.00	1.00	0.44	NA	NA	NA	NA	0.67	0.75	1.00	0.50	0.67	0.50	0.48	0.42	NA	1.00	0.50	0.67	0.75	NA	0.50	0.75	NA	0.67	0.56	0.60	NA	0.50	0.50	NA	0.52	1.00	NA	0.64	NA	0.80	0.50	1.00	0.50	0.67	0.60	0.58	NA	0.50	NA	NA	NA	1.00	NA	0.67	1.00	NA	1.00	1.00	1.00	NA	0.50	0.50	0.67	0.50	1.00	0.58	0.50	0.75	0.67	NA	NA	0.83	0.61	0.57	NA	0.88	NA	0.50	NA	NA	0.60	0.67	0.33	NA	NA	NA	0.67	1.00	NA	NA	0.57	0.50	NA	1.00	NA	NA	0.50	NA	NA	NA	NA	0.33
ran_3.txt	NA	0.50	0.40	NA	0.57	1.00	0.40	NA	0.50	0.75	NA	NA	NA	NA	0.25	0.67	NA	0.56	0.60	0.67	0.53	0.46	NA	0.33	1.00	0.75	0.71	1.00	0.50	0.43	1.00	0.43	0.45	0.60	NA	0.53	0.54	NA	0.40	1.00	0.50	0.45	1.00	0.33	0.67	0.50	0.50	0.67	0.33	0.54	NA	0.55	NA	NA	NA	0.50	NA	0.50	0.67	NA	NA	0.50	NA	NA	1.00	0.67	1.00	NA	0.50	0.36	0.47	1.00	0.60	NA	NA	0.67	0.58	0.90	NA	0.44	NA	0.50	0.50	NA	0.67	0.75	0.70	NA	NA	NA	0.33	0.50	0.50	NA	1.00	0.50	NA	NA	NA	NA	0.50	NA	NA	NA	NA	0.67
ran_30.txt	NA	1.00	0.50	NA	0.44	1.00	0.75	1.00	NA	0.55	1.00	NA	NA	NA	0.75	0.67	0.50	0.60	1.00	0.50	0.48	0.64	NA	0.57	0.50	NA	0.57	0.50	0.50	0.50	0.50	0.80	0.60	0.60	NA	0.66	0.31	NA	0.56	0.71	NA	0.50	1.00	0.50	0.33	NA	0.29	0.25	0.67	0.64	NA	0.70	NA	NA	NA	1.00	NA	1.00	0.40	NA	1.00	0.50	NA	NA	0.67	0.50	0.80	1.00	NA	0.64	0.73	0.67	0.80	NA	NA	0.83	0.58	0.50	NA	0.80	NA	1.00	0.50	NA	1.00	1.00	0.33	NA	NA	NA	0.80	0.67	1.00	NA	0.50	0.67	NA	NA	NA	NA	0.67	NA	0.50	NA	NA	0.75
ran_31.txt	NA	0.33	0.50	NA	1.00	0.67	0.33	1.00	0.50	0.40	NA	NA	NA	NA	0.33	0.50	NA	0.60	0.75	0.75	0.42	0.50	NA	0.50	NA	0.50	0.57	1.00	NA	0.67	1.00	0.50	0.63	0.43	NA	0.56	0.42	NA	0.68	0.80	1.00	0.50	1.00	0.40	0.60	NA	0.40	1.00	0.67	0.48	NA	0.56	NA	NA	NA	NA	NA	1.00	1.00	1.00	1.00	0.67	NA	NA	0.67	NA	NA	NA	NA	0.60	0.36	0.33	0.50	NA	NA	0.40	0.43	0.57	NA	0.55	NA	0.33	1.00	NA	0.60	0.33	0.57	NA	NA	NA	0.40	1.00	0.50	NA	0.50	1.00	NA	NA	1.00	1.00	0.60	NA	1.00	NA	NA	0.67
ran_32.txt	NA	0.67	0.60	NA	0.71	0.50	0.50	1.00	0.67	0.56	0.50	NA	NA	NA	0.67	0.75	0.50	0.67	0.50	0.40	0.55	0.46	NA	0.57	NA	1.00	0.83	1.00	1.00	0.57	NA	0.60	0.68	0.67	NA	0.52	0.38	NA	0.44	0.75	NA	0.67	0.50	0.40	1.00	NA	0.50	0.75	1.00	0.54	NA	0.56	NA	NA	1.00	NA	NA	1.00	0.40	1.00	NA	0.67	0.50	NA	0.40	0.50	0.75	NA	NA	0.39	0.38	0.33	0.80	0.50	NA	0.67	0.46	0.60	NA	0.60	NA	1.00	0.50	NA	1.00	0.75	0.38	NA	NA	NA	0.40	0.50	NA	NA	0.67	1.00	NA	NA	NA	0.50	0.71	NA	NA	NA	NA	0.75
ran_33.txt	NA	0.50	0.50	NA	0.50	NA	0.50	1.00	NA	0.44	0.50	NA	NA	NA	0.50	0.33	1.00	0.54	0.50	0.50	0.58	0.78	NA	0.43	0.50	0.50	0.75	1.00	0.33	0.71	NA	0.60	0.69	0.43	NA	0.51	0.59	NA	0.50	0.60	1.00	0.42	NA	0.67	0.33	NA	0.50	0.50	0.75	0.47	NA	0.64	NA	NA	1.00	0.50	NA	0.40	0.67	1.00	NA	0.50	0.50	NA	1.00	0.33	0.50	0.50	NA	0.50	0.64	1.00	0.56	0.50	NA	0.40	0.48	0.56	NA	0.70	NA	1.00	0.50	NA	0.50	0.33	0.70	NA	NA	NA	0.50	0.75	0.50	NA	0.86	1.00	NA	0.50	NA	0.50	0.33	NA	NA	NA	NA	0.67
ran_34.txt	NA	0.50	0.60	NA	0.67	0.50	0.75	0.50	0.67	0.50	0.33	NA	NA	NA	0.80	1.00	0.50	0.45	0.33	0.80	0.50	0.62	NA	0.75	1.00	0.50	0.43	0.67	0.50	0.43	NA	0.67	0.45	0.50	NA	0.53	0.35	NA	0.47	0.33	0.50	0.73	1.00	0.50	0.50	NA	0.43	0.25	0.67	0.39	NA	0.55	NA	NA	NA	1.00	NA	1.00	0.75	NA	NA	NA	0.50	NA	0.50	1.00	0.67	NA	NA	0.38	0.54	0.75	0.50	1.00	NA	0.60	0.52	0.42	NA	0.50	NA	0.50	NA	NA	0.67	0.33	0.75	NA	NA	NA	0.60	0.50	NA	NA	0.60	0.50	NA	NA	0.50	NA	0.50	NA	0.50	NA	NA	0.67
ran_35.txt	NA	0.33	0.60	NA	0.75	0.67	0.60	0.50	1.00	0.45	0.50	NA	NA	NA	0.50	1.00	1.00	0.54	1.00	0.50	0.61	0.67	NA	0.80	0.50	0.75	0.50	1.00	NA	0.83	NA	0.57	0.71	0.67	NA	0.58	0.61	NA	0.61	0.83	1.00	0.82	1.00	0.60	0.50	0.50	0.50	0.50	0.25	0.56	NA	0.25	NA	NA	NA	1.00	NA	0.25	0.67	0.67	0.50	0.33	1.00	NA	0.67	1.00	0.60	NA	0.50	0.50	0.46	1.00	0.50	0.50	NA	0.57	0.55	0.64	NA	0.45	NA	NA	0.33	NA	0.33	0.33	0.75	NA	NA	NA	0.83	0.33	0.50	NA	0.60	0.67	NA	0.50	NA	1.00	0.40	NA	1.00	NA	NA	0.50
ran_36.txt	NA	NA	0.60	NA	0.62	0.33	0.50	NA	1.00	0.44	0.50	NA	NA	NA	1.00	0.67	1.00	0.66	0.75	0.60	0.52	0.33	NA	0.67	0.50	1.00	0.50	0.50	0.50	0.50	NA	0.50	0.47	0.83	NA	0.59	0.45	NA	0.65	0.67	NA	0.55	NA	0.60	0.40	0.50	0.80	0.50	0.50	0.59	NA	0.50	NA	NA	1.00	NA	NA	0.40	0.60	0.50	NA	0.50	NA	NA	0.60	1.00	0.67	NA	NA	0.53	0.50	1.00	0.57	NA	NA	0.50	0.57	0.58	NA	0.60	NA	1.00	NA	NA	1.00	0.50	0.56	NA	NA	NA	0.50	0.33	1.00	NA	0.60	0.33	NA	NA	0.50	0.50	0.71	NA	NA	NA	NA	0.75
