# From /Users/Daniela/Documents/CCG/GU_art_2/GO_levels/scripts/golevels_of_random_sets_v2.pl on Wed Oct  3 00:54:13 2018
# Using: /Users/Daniela/Documents/CCG/GU_art_2/GO_levels/random_sets_smgns/random_conformation/
# GO levels of same set are in: /Users/Daniela/Documents/CCG/GU_art_2/GO_levels_extended/results/random_gos/levels/conformation_levels_random.txt 
# Columns= Group name
# Rows= Random set
	Ada-Methylated	AlaS-L-alanine	AllS-allantoin	AraC-L-arabinose	ArcA-Phosphorylated	ArgP-L-arginine	ArgR-L-arginine	AtoC-phosphorylated	BaeR-Phosphorylated	BirA-bio-5'-AMP	CRP-cAMP	ChbR-Monoacetylchitobiose-6P	CpxR-Phosphorylated	CreB-Phosphorylated	CueR-Ag	CueR-Cu+	CuerR-Au	CusR-Pasp	CynR-Cyanate	CysB-N-acetyl-L-serine	CysB-O-acetyl-L-serine	DcuR-Phosphorylated	DnaA-ATP	DpiA-Pasp	DsdC-D-serine	EvgA-Phosphorylated	FNR-[4Fe-4S]2+ reduced	FhlA-Formate	FucR-L-fuculose-1-phosphate	Fur-Fe2+	Fur-Mn2+	GlcC-Acetate	GlcC-Glycolate	GlrR-Pasp56	IclR-pyruvate	IdnR-5-ketogluconate	IdnR-Idonate	IlvY-2-acetolactate	IlvY-Alfa-acetohydroxybutirate	IscR-[2Fe-2S]1+	LldR-L-lactate	Lrp-Leucine	LsrR	MalT-ADP-Maltotriose	MalT-Maltotriose-ATP	MelR-Melibiose	MetJ-S-adenosylmethionine	MetR-L-homocysteine	MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]	MhpR-3HPP	MntR-Cd2+	ModE-MoO42-	NarL-Phosphorylated	NarP-Phosphorylated	NhaR-Na+	NikR-Cd2+	NikR-Co2+	NikR-Cu2+	NikR-Ni2+	NikR-Zn2+	NrdR-ATP	NrdR-Zn2+	NrdR-dATP	NsrR-[2Fe-2S]reduced	PhoB-Phosphorylated	PhoP-Phosphorylated	PrpR-2-methylcitrate	PurR-Guanine	PurR-Hypoxanthine	QseB-Phosphorylated	RhaR-L-rhamnose	RhaS-L-rhamnose	RstA-Phosphorylated	SoxR-[2Fe-2S]3+ oxydized	TorR-Phosphorylated	TrpR-Tryptophan	TyrR-L-tryptophan	TyrR-Phenylalanine	TyrR-Tyrosine	UhpA-Phosphorylated	XapR-xanthosine	XylR-Xylose	ZntR-Cd2+	ZntR-Hg	ZntR-Zn2+	ZraR-Phosphorylated	Zur-Zn2+
ran_18.txt	0.75	NA	NA	0.50	0.48	0.62	0.63	0.50	0.50	0.50	0.58	0.80	0.52	0.50	0.50	0.50	0.57	0.78	0.67	0.43	0.44	0.57	0.60	0.60	0.50	0.50	0.62	0.54	0.67	0.53	0.66	0.57	0.67	NA	0.75	0.67	1.00	NA	0.50	0.71	1.00	0.62	0.60	0.62	0.67	0.67	0.64	0.40	0.75	0.40	0.40	0.63	0.64	0.42	0.71	1.00	0.67	0.60	0.40	0.50	0.62	0.75	0.67	0.61	0.58	0.53	0.50	0.69	0.58	1.00	NA	0.50	0.70	0.75	0.50	0.60	0.50	0.64	0.45	NA	NA	0.50	NA	NA	NA	0.50	0.60
ran_19.txt	1.00	NA	1.00	0.50	0.55	0.67	0.69	0.50	0.71	0.50	0.56	0.80	0.60	0.83	0.50	0.67	0.83	0.64	0.25	0.52	0.56	0.62	0.89	0.38	0.67	0.67	0.60	0.68	0.50	0.58	0.54	0.50	0.86	NA	1.00	0.29	0.62	1.00	1.00	0.48	0.50	0.64	0.83	0.71	0.56	0.67	0.90	0.60	0.75	1.00	0.75	0.43	0.60	0.55	0.33	0.50	0.80	0.83	1.00	0.50	0.43	0.57	0.75	0.57	0.65	0.53	0.60	0.54	0.73	0.67	0.50	0.67	0.62	0.75	0.50	0.40	0.29	0.58	0.67	NA	1.00	0.67	NA	NA	NA	1.00	0.60
ran_2.txt	1.00	NA	1.00	0.50	0.55	0.50	0.62	0.50	0.40	0.75	0.59	0.60	0.69	0.80	0.43	0.86	0.60	0.90	0.75	0.59	0.69	0.56	0.45	0.62	NA	0.83	0.59	0.54	0.75	0.54	0.59	1.00	0.50	NA	0.50	0.57	0.50	NA	0.50	0.54	0.50	0.54	0.71	0.44	0.50	0.50	0.54	0.50	0.75	0.40	0.75	0.57	0.56	0.47	0.50	0.60	0.67	0.60	1.00	0.67	0.67	0.57	0.75	0.48	0.47	0.51	0.50	0.67	0.63	1.00	NA	1.00	0.60	0.50	0.62	0.50	0.50	0.91	0.54	NA	NA	0.75	NA	NA	NA	1.00	0.67
ran_20.txt	1.00	NA	0.50	0.50	0.60	0.70	0.62	0.50	0.43	0.40	0.53	0.40	0.57	0.71	0.57	0.33	0.43	0.57	0.75	0.79	0.56	0.50	0.50	0.90	0.67	0.46	0.55	0.42	0.50	0.62	0.54	0.86	0.33	NA	1.00	0.43	0.60	NA	1.00	0.45	1.00	0.59	0.57	0.67	0.75	0.67	0.43	0.60	1.00	0.50	0.80	0.65	0.62	0.69	0.57	0.75	0.67	0.50	1.00	0.67	0.50	0.62	0.78	0.52	0.53	0.56	0.75	0.71	0.58	0.75	0.50	0.50	0.57	0.75	0.38	0.70	0.67	0.43	0.33	NA	NA	1.00	NA	NA	NA	0.50	0.80
ran_21.txt	0.67	NA	0.50	0.55	0.56	0.45	0.55	0.67	0.33	0.50	0.55	0.80	0.56	0.50	0.50	0.80	0.71	0.42	0.67	0.60	0.48	0.50	0.55	0.70	1.00	0.55	0.65	0.68	0.57	0.57	0.50	0.43	0.67	NA	1.00	0.60	0.67	1.00	NA	0.64	0.50	0.51	0.50	0.38	0.71	0.67	0.85	0.33	0.80	0.67	0.60	0.49	0.60	0.49	0.71	0.67	1.00	0.80	0.50	0.50	0.86	0.75	0.43	0.64	0.56	0.46	0.50	0.62	0.56	0.67	1.00	0.67	0.50	0.33	0.50	0.78	0.45	0.50	0.60	NA	0.50	0.80	NA	NA	NA	0.67	0.80
ran_22.txt	0.75	NA	0.50	0.50	0.58	0.79	0.68	0.50	0.57	0.75	0.55	0.80	0.51	0.67	0.60	0.60	0.60	0.33	0.50	0.67	0.59	0.80	0.88	0.88	NA	0.64	0.55	0.52	1.00	0.59	0.49	0.50	1.00	NA	0.75	0.67	0.50	NA	0.50	0.53	0.50	0.59	0.75	0.67	0.71	0.67	0.64	0.75	1.00	0.75	0.50	0.62	0.54	0.53	0.67	0.67	0.80	0.60	0.60	0.60	0.40	1.00	0.80	0.51	0.63	0.64	0.40	0.50	0.48	0.50	NA	1.00	0.56	0.67	0.75	0.44	0.80	0.46	0.67	NA	0.50	0.50	NA	NA	NA	0.67	0.60
ran_23.txt	0.67	NA	0.67	0.44	0.56	0.43	0.45	0.33	0.57	0.80	0.59	1.00	0.58	0.57	0.80	1.00	0.67	0.73	0.50	0.64	0.56	0.44	0.91	0.67	NA	0.69	0.56	0.56	0.80	0.56	0.50	0.40	0.60	NA	0.50	0.71	0.71	NA	NA	0.50	0.50	0.51	0.71	0.43	0.57	1.00	0.53	0.80	0.40	0.67	1.00	0.63	0.55	0.50	0.86	1.00	0.67	0.67	0.75	0.83	0.67	1.00	0.43	0.60	0.61	0.61	0.50	0.71	0.46	1.00	NA	0.80	0.71	1.00	0.57	0.60	0.55	0.50	0.36	NA	1.00	1.00	NA	NA	NA	1.00	0.80
ran_24.txt	0.50	NA	1.00	0.60	0.55	0.60	0.68	0.50	0.62	0.80	0.59	0.75	0.58	0.75	0.50	0.60	0.67	0.55	0.50	0.59	0.50	0.83	0.56	0.40	0.50	0.50	0.59	0.58	0.25	0.62	0.59	0.71	0.60	NA	0.75	0.71	0.62	NA	1.00	0.55	0.67	0.68	0.71	0.62	0.67	0.50	0.58	0.50	NA	0.40	0.50	0.69	0.53	0.51	0.60	0.50	0.67	0.60	1.00	0.60	0.75	0.56	0.67	0.57	0.52	0.71	0.50	0.56	0.47	0.67	NA	0.50	0.50	0.75	0.56	0.83	0.58	0.58	0.50	NA	1.00	0.75	NA	NA	NA	0.50	0.75
ran_25.txt	0.75	NA	0.67	0.50	0.59	0.56	0.63	0.50	0.62	1.00	0.59	1.00	0.53	0.43	0.57	0.67	0.40	0.50	1.00	0.46	0.67	0.89	0.67	0.55	0.67	0.62	0.49	0.58	0.43	0.66	0.55	0.43	0.57	NA	0.75	0.50	0.71	NA	NA	0.61	0.50	0.61	0.50	0.50	0.78	1.00	0.86	0.75	0.60	0.50	0.75	0.60	0.61	0.59	0.40	0.80	0.50	1.00	0.83	0.80	0.57	1.00	0.50	0.42	0.64	0.47	0.50	0.50	0.56	0.75	1.00	0.50	0.43	0.50	0.50	0.86	0.67	0.54	0.75	NA	1.00	0.60	NA	NA	NA	0.67	0.80
ran_26.txt	1.00	NA	0.67	0.33	0.58	0.69	0.65	1.00	0.75	0.60	0.59	0.60	0.53	0.56	0.83	0.67	0.83	0.50	0.67	0.67	0.54	0.50	0.55	0.73	1.00	0.53	0.56	0.68	0.43	0.57	0.51	0.80	0.60	NA	1.00	0.60	0.71	0.50	1.00	0.68	1.00	0.55	0.67	0.50	0.57	0.67	0.45	1.00	0.40	0.50	0.50	0.59	0.60	0.57	0.86	0.60	0.60	0.50	0.33	0.60	0.50	0.50	0.43	0.53	0.43	0.70	0.67	0.46	0.70	0.50	0.50	0.50	0.67	1.00	0.57	0.62	0.77	0.50	0.38	NA	NA	0.80	NA	NA	NA	0.67	0.40
ran_27.txt	0.25	NA	0.67	0.55	0.65	0.45	0.66	1.00	0.83	1.00	0.58	0.67	0.69	0.86	0.71	0.60	0.67	0.62	0.75	0.59	0.57	0.62	0.88	1.00	NA	0.46	0.49	0.44	0.71	0.63	0.57	0.75	0.80	NA	NA	0.86	0.57	1.00	NA	0.58	1.00	0.62	0.75	0.50	0.75	NA	0.54	0.75	0.50	0.60	0.75	0.64	0.59	0.63	0.60	0.60	0.83	0.75	0.75	0.50	0.44	0.38	0.62	0.69	0.62	0.57	0.60	0.45	0.58	1.00	0.50	0.50	0.86	0.75	0.60	0.56	0.58	0.50	0.67	NA	1.00	0.40	NA	NA	NA	1.00	0.60
ran_28.txt	0.50	NA	0.50	0.60	0.48	0.87	0.59	0.67	0.71	1.00	0.55	0.50	0.54	0.57	0.43	0.57	0.60	1.00	0.50	0.72	0.59	0.67	0.56	0.50	1.00	0.75	0.58	0.65	0.80	0.57	0.53	0.60	0.50	NA	1.00	0.50	0.57	NA	NA	0.64	0.50	0.66	0.50	0.88	0.38	1.00	0.55	0.60	0.83	0.67	0.80	0.55	0.56	0.63	0.50	0.67	0.40	1.00	0.60	0.50	0.57	0.50	0.62	0.63	0.53	0.51	0.80	0.68	0.46	1.00	NA	0.60	0.44	0.67	0.67	0.67	0.75	0.64	0.50	NA	NA	0.67	NA	NA	NA	1.00	1.00
ran_29.txt	0.75	NA	1.00	0.73	0.48	0.71	0.64	0.50	0.62	0.67	0.55	0.80	0.68	0.78	0.83	0.80	0.50	0.55	0.50	0.50	0.71	0.62	0.40	0.56	0.50	0.38	0.57	0.54	0.33	0.64	0.53	0.80	0.67	NA	1.00	0.60	0.67	NA	NA	0.64	0.50	0.56	0.78	0.62	0.44	1.00	0.62	0.40	0.75	0.60	1.00	0.62	0.66	0.54	1.00	0.60	0.60	0.50	0.33	0.50	0.80	0.50	0.86	0.56	0.69	0.53	0.60	0.50	0.47	0.67	NA	0.67	0.62	0.75	0.62	0.64	0.50	0.73	0.45	NA	NA	0.40	NA	NA	NA	0.67	0.75
ran_3.txt	0.50	NA	0.67	0.40	0.57	0.57	0.68	0.50	0.33	0.67	0.60	0.50	0.57	0.43	0.67	0.75	0.50	0.57	0.67	0.56	0.61	0.50	0.89	0.50	NA	0.45	0.55	0.62	0.40	0.52	0.57	0.40	0.50	NA	0.67	0.38	0.71	0.50	0.50	0.64	NA	0.54	0.60	0.57	0.62	1.00	0.25	1.00	0.80	1.00	0.50	0.61	0.47	0.67	0.40	0.75	0.60	0.40	0.75	0.60	0.57	0.71	0.50	0.61	0.58	0.68	0.75	0.44	0.67	0.75	NA	0.60	0.67	0.67	0.56	0.67	0.50	0.73	0.64	NA	1.00	0.50	NA	NA	NA	0.67	1.00
ran_30.txt	0.50	NA	0.67	0.62	0.54	0.62	0.38	0.50	0.50	0.75	0.57	0.67	0.59	0.50	0.57	0.43	0.67	0.45	0.50	0.62	0.48	0.50	0.56	0.62	0.50	0.60	0.53	0.50	0.83	0.55	0.54	0.71	0.60	NA	0.67	0.50	0.86	1.00	0.50	0.43	1.00	0.54	0.78	0.50	0.75	1.00	0.50	0.67	0.60	1.00	0.60	0.62	0.59	0.47	0.43	0.60	0.80	1.00	0.67	0.50	0.43	0.67	1.00	0.61	0.56	0.58	0.60	0.61	0.63	1.00	0.50	0.80	0.86	0.67	0.38	0.55	0.45	0.58	0.73	NA	1.00	0.40	NA	NA	NA	0.67	1.00
ran_31.txt	NA	NA	0.50	0.60	0.50	0.56	0.55	0.50	0.50	0.50	0.59	0.60	0.50	0.62	0.50	0.80	0.43	0.50	0.67	0.41	0.67	0.50	0.64	0.64	0.67	0.75	0.58	0.48	0.86	0.53	0.53	0.67	0.57	NA	0.50	0.67	0.71	0.50	0.50	0.50	0.67	0.51	0.56	0.50	0.67	0.50	0.55	0.75	0.40	0.67	0.67	0.54	0.51	0.56	0.50	0.50	0.50	0.50	0.50	0.80	0.78	0.62	0.50	0.69	0.60	0.58	0.80	0.57	0.48	0.67	NA	0.50	0.83	0.67	0.86	0.58	0.64	0.50	0.64	NA	NA	1.00	NA	NA	NA	0.67	0.67
ran_32.txt	1.00	NA	0.67	0.42	0.65	0.77	0.54	0.50	0.50	0.50	0.60	0.50	0.54	0.56	0.75	0.40	0.75	0.78	0.75	0.65	0.74	0.71	0.67	0.50	0.67	0.58	0.57	0.69	0.67	0.55	0.50	0.71	0.67	NA	1.00	0.50	0.60	0.50	1.00	0.69	0.50	0.54	0.50	0.62	0.62	NA	0.67	0.60	1.00	0.60	0.50	0.46	0.57	0.60	1.00	0.40	1.00	0.50	0.33	0.50	0.43	0.71	0.50	0.53	0.51	0.49	0.60	0.48	0.50	NA	0.50	0.33	0.57	1.00	0.60	0.57	0.55	0.58	0.38	NA	0.50	0.50	NA	NA	NA	0.67	0.67
ran_33.txt	0.67	NA	1.00	0.67	0.55	0.33	0.61	0.67	0.50	0.80	0.56	0.60	0.60	0.71	0.71	0.67	0.75	0.64	1.00	0.55	0.57	0.67	0.45	0.45	NA	0.80	0.58	0.62	0.50	0.64	0.57	0.60	0.83	NA	0.50	0.67	0.43	0.50	0.50	0.58	0.67	0.58	0.67	0.62	0.86	1.00	0.50	0.60	0.50	0.60	0.33	0.59	0.54	0.57	0.33	0.80	1.00	0.60	0.67	0.80	0.67	0.67	0.83	0.51	0.48	0.62	1.00	0.44	0.47	1.00	NA	0.67	0.67	0.67	0.88	0.56	0.55	0.50	0.64	NA	1.00	1.00	NA	NA	NA	0.50	0.40
ran_34.txt	0.67	NA	0.67	0.62	0.62	0.43	0.61	0.33	0.40	0.60	0.55	0.75	0.56	0.50	0.83	0.57	0.75	0.86	0.50	0.52	0.61	0.50	0.50	0.62	0.33	0.62	0.55	0.65	0.67	0.50	0.56	0.60	0.67	NA	0.67	0.80	0.43	0.50	NA	0.66	0.50	0.54	0.67	0.62	0.70	1.00	0.69	0.75	0.75	0.83	0.80	0.67	0.55	0.50	0.57	0.50	0.80	1.00	0.50	0.80	0.50	0.67	0.67	0.60	0.52	0.64	0.60	0.58	0.70	1.00	0.50	0.67	0.60	0.50	0.50	0.88	0.71	0.64	0.55	NA	1.00	0.40	NA	NA	NA	0.67	0.40
ran_35.txt	0.67	NA	0.67	0.36	0.56	0.79	0.72	0.50	0.62	1.00	0.59	0.67	0.66	0.50	0.57	0.50	0.60	0.44	0.75	0.60	0.65	0.83	0.60	0.78	1.00	0.58	0.53	0.63	0.43	0.56	0.59	0.50	0.50	NA	0.50	1.00	0.40	0.50	1.00	0.42	0.67	0.60	0.50	0.86	0.56	1.00	0.77	0.67	0.75	0.60	0.67	0.62	0.62	0.65	0.67	0.50	1.00	0.60	1.00	1.00	0.67	0.50	0.50	0.63	0.60	0.51	0.67	0.53	0.66	0.33	1.00	1.00	0.70	0.75	0.89	0.56	0.64	0.62	0.44	NA	0.50	0.60	NA	NA	NA	1.00	0.40
ran_36.txt	1.00	NA	0.50	0.77	0.54	0.67	0.61	1.00	0.43	0.60	0.56	0.67	0.62	0.50	0.83	0.75	0.67	0.50	1.00	0.58	0.48	0.75	0.62	0.78	NA	0.50	0.56	0.57	0.83	0.65	0.51	0.83	0.71	NA	0.75	0.43	0.62	1.00	1.00	0.64	0.50	0.49	0.57	0.50	0.78	0.50	0.67	0.50	0.40	0.50	0.50	0.64	0.55	0.57	0.50	0.50	0.67	0.60	0.67	0.67	0.67	0.57	0.57	0.52	0.60	0.49	0.80	0.50	0.62	0.50	1.00	0.50	0.67	0.67	0.67	0.89	0.58	0.73	0.54	NA	1.00	0.60	NA	NA	NA	0.67	0.80
ran_37.txt	0.33	NA	1.00	0.75	0.58	0.53	0.58	1.00	0.60	0.50	0.55	0.50	0.58	0.56	0.80	0.67	0.67	0.75	0.75	0.64	0.54	0.86	0.75	0.40	0.67	0.71	0.59	0.73	0.86	0.59	0.59	0.80	0.67	NA	0.75	0.33	0.71	1.00	0.50	0.62	1.00	0.52	1.00	0.62	0.78	1.00	0.57	0.75	0.60	0.60	0.60	0.59	0.66	0.57	0.57	0.80	0.67	1.00	0.67	0.40	0.62	0.57	0.43	0.58	0.57	0.51	0.25	0.77	0.66	1.00	NA	0.67	0.56	0.67	1.00	0.56	0.67	0.45	0.75	NA	NA	0.40	NA	NA	NA	1.00	1.00
ran_38.txt	0.50	NA	0.67	0.67	0.60	0.62	0.68	0.67	0.50	0.80	0.53	0.50	0.58	0.50	0.40	0.67	0.71	0.40	0.75	0.57	0.54	0.43	0.50	0.36	0.67	0.58	0.55	0.57	0.60	0.60	0.57	0.60	0.50	NA	0.50	0.50	0.50	1.00	1.00	0.65	1.00	0.55	1.00	0.70	0.50	0.50	0.57	0.50	1.00	0.80	0.80	0.56	0.60	0.44	0.75	0.60	0.60	0.50	0.75	0.75	0.62	0.86	0.67	0.61	0.46	0.64	0.80	0.57	0.64	1.00	0.50	0.80	0.75	0.75	0.88	0.50	0.83	0.55	0.67	NA	NA	1.00	NA	NA	NA	0.67	0.60
