# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	trmL//
go_0006096_6	ldtE//mrcA//patA//entE//glmS//nhoA//dcm//kdsC//lipA//thiI//dfp//deoA//ghrB//
go_0006097_5	argF//hemL//rfaE//pheT//bglA//
go_0006098_6	bioD//sad//nagB//opgB//fadA//
go_0006099_4	speF//tdcG//waaA//pncB//deoB//ubiA//selD//narV//hyaA//prmC//amyA//poxB//pgaB//
go_0006103_5	dgoA//der//rnd//gldA//
go_0006104_6	tdh//
go_0006105_5	argA//
go_0006106_8	tnaA//
go_0006107_8	
go_0006108_8	ilvE//narY//cof//coaA//
go_0006113_5	bfr//dbpA//
go_0006115_6	sucA//
go_0006124_6	
go_0006144_6	
go_0006145_7	deoA//
go_0006146_8	ldhA//
go_0006148_9	pgsA//
go_0006149_9	fucK//
go_0006150_9	puuA//
go_0006152_7	waaO//cfa//coaD//rrrD//mmuM//
go_0006154_6	lpxC//
go_0006161_9	aspC//
go_0006163_6	entD//
go_0006164_7	gluQ//citX//folA//nfi//
go_0006166_6	pnp//
go_0006168_7	ppx//ldtD//
go_0006171_9	
go_0006172_9	dbpA//
go_0006177_9	wecC//
go_0006178_7	cysI//
go_0006183_9	curA//
go_0006189_10	fabH//glpB//
go_0006203_8	rsmE//sseA//
go_0006206_6	menH//coaD//paaB//
go_0006207_8	gntK//narG//uvrA//mmuM//hinT//
go_0006208_7	rlmI//umpH//yeaE//ybcF//truA//cpdB//
go_0006209_6	scpC//
go_0006210_8	sodB//
go_0006212_6	mcrA//glnA//dnaQ//scpC//fadE//entH//gloC//prpD//polB//pyrB//
go_0006217_9	mak//
go_0006218_9	gcvP//
go_0006220_6	cysI//
go_0006221_7	panE//glyS//rluD//
go_0006222_9	
go_0006225_9	glpB//
go_0006226_9	nrdB//dinB//
go_0006227_9	speA//
go_0006231_9	hemH//
go_0006233_9	gpmM//
go_0006235_9	ychF//
go_0006241_9	ydiO//
go_0006259_5	hcaB//rutE//mocA//
go_0006260_6	idnO//glcB//purB//tilS//dusC//pgpB//ulaD//
go_0006261_7	hycB//hemF//rutB//
go_0006265_6	ynfE//umpH//
go_0006266_6	clsC//ruvB//pgm//
go_0006267_5	
go_0006268_9	fumC//ldcA//
go_0006269_6	accA//
go_0006270_6	
go_0006271_7	
go_0006274_6	
go_0006275_7	
go_0006276_3	purL//hcaF//
go_0006281_6	ligB//uxaC//metB//iscS//edd//murF//yfeX//rbsK//pgi//pgpA//fucI//ribC//ygeX//tdcD//glgC//murE//hcaD//
go_0006283_8	
go_0006284_7	adeD//narY//cysI//rsmI//nadK//panD//
go_0006285_6	fabI//mtgA//gluQ//fumA//
go_0006288_8	polA//glgC//
go_0006289_7	
go_0006298_7	lpxC//sthA//cheR//alkA//
go_0006301_7	
go_0006302_7	hisG//mnmA//
go_0006307_8	cof//fadI//adeD//kduI//dusB//
go_0006308_6	accB//trmJ//cysC//paaC//
go_0006310_6	idnK//yjjX//rnd//metC//xapA//
go_0006313_4	pgpB//
go_0006351_6	gpsA//rlmL//
go_0006352_7	
go_0006353_7	
go_0006354_7	ahpC//
go_0006355_7	napB//
go_0006357_8	
go_0006364_9	metG//sdaB//ilvA//mobA//
go_0006378_8	lpoA//
go_0006396_7	ilvB//malY//rffH//moaA//rnpA//
go_0006397_8	argC//
go_0006399_8	thiL//ilvH//
go_0006400_7	preT//aroH//fbp//ssuE//ybjG//
go_0006401_6	napB//pabA//glnS//deoB//argF//murG//
go_0006402_7	ilvM//pykA//xylB//aspA//dkgA//dgcM//murB//
go_0006412_6	tdcD//nirD//pta//cysI//gnd//
go_0006413_4	epmC//
go_0006414_6	
go_0006415_7	murF//rutD//
go_0006417_7	rluB//entD//
go_0006418_7	tmcA//pdeL//thiD//zwf//eptA//dnaQ//aldB//entD//dapF//hemL//pheT//
go_0006419_8	rluA//
go_0006420_8	narZ//
go_0006421_8	phnG//
go_0006422_8	ispB//
go_0006423_8	mocA//
go_0006424_8	fucI//ulaG//
go_0006425_8	recG//
go_0006427_8	tynA//
go_0006428_8	patD//
go_0006429_8	yciA//
go_0006430_8	garR//glpD//
go_0006431_8	menF//
go_0006432_8	ldtA//
go_0006433_8	entD//
go_0006434_8	ribB//
go_0006435_8	rfbC//
go_0006436_8	waaB//
go_0006437_8	glpB//
go_0006438_8	thrC//
go_0006448_8	
go_0006450_4	hpt//rhaA//ddlB//wzb//leuS//pyrD//
go_0006457_3	waaF//purN//rlmF//asnS//pgsA//ansB//aroK//
go_0006458_4	
go_0006464_6	ispA//asnS//betA//hinT//gntK//ubiD//glnE//allB//
go_0006465_6	torC//puuC//sgbE//
go_0006468_7	aspC//
go_0006470_7	malZ//mnmE//dadA//waaQ//cysG//
go_0006473_8	nrdF//
go_0006474_6	tdk//pdeR//yihT//
go_0006476_8	purD//
go_0006479_5	gabD//glpA//iaaA//asnS//poxB//lgoD//
go_0006486_5	manA//
go_0006490_5	uxuA//
go_0006508_5	phoA//fadM//tsaD//rluB//serC//ynfF//mazG//hyaA//gltD//dnaQ//mepS//folA//ppk//mutH//yciA//nrdF//menF//oxc//ybjG//yfeX//gudD//adhP//adk//malZ//umpH//hemG//hyaA//speE//malZ//moaA//psd//gshA//aspS//
go_0006515_7	hyi//leuD//icd//nfsB//dapD//thiE//glcD//
go_0006517_6	tnaA//paaA//
go_0006518_5	yjhH//metH//
go_0006523_8	clsB//yjhG//
go_0006524_8	
go_0006526_8	dgoD//ugd//hchA//hinT//cueO//slt//leuC//
go_0006527_8	mrcB//aceA//rnt//citC//bioH//
go_0006529_7	mrcA//gatZ//
go_0006530_7	dgcM//scpC//leuD//tag//
go_0006531_7	hinT//
go_0006532_8	cdsA//glgA//ddlA//
go_0006535_8	argS//paaE//pepD//
go_0006537_8	napA//
go_0006538_8	aroF//dgkA//
go_0006541_7	hisB//fadB//glpB//gatZ//amyA//
go_0006542_8	queA//kdsB//
go_0006543_8	
go_0006545_6	poxB//
go_0006546_6	proA//tig//opgE//
go_0006554_8	dosP//dmsC//ldtD//
go_0006556_5	lplA//
go_0006559_6	nrdF//
go_0006561_6	ppc//murQ//
go_0006563_7	glmM//
go_0006564_8	lpxT//sad//trmO//thiD//
go_0006565_8	yieF//tsaE//wrbA//yjcS//pyrG//
go_0006566_7	iscS//
go_0006567_8	fabB//ilvI//dnaQ//yfbR//recJ//glcB//moeB//
go_0006569_7	dgoD//
go_0006571_7	gpp//sdhB//
go_0006593_7	rlmI//
go_0006598_8	valS//yhdH//hcaD//
go_0006605_6	
go_0006612_6	
go_0006614_8	
go_0006616_7	
go_0006629_4	nrfA//lpxM//
go_0006631_5	caiD//umuC//carB//mhpD//agp//
go_0006633_6	lpxL//queF//rlmH//alkB//yfaU//prpD//lpxP//puuB//lsrG//apt//kdsA//
go_0006635_6	nrdD//folX//wzc//wecC//ttdB//glgB//aceA//ansB//ubiD//aspS//hcaD//murA//
go_0006636_7	
go_0006637_5	dadA//umuD//tyrA//yieH//dhaM//
go_0006646_7	
go_0006650_6	
go_0006654_7	carB//
go_0006655_7	treA//epmA//
go_0006725_4	cynT//
go_0006729_6	ubiD//wzb//
go_0006730_4	yrfG//ldcA//patD//
go_0006734_9	
go_0006740_4	
go_0006741_9	
go_0006742_8	
go_0006744_7	rsmJ//ogt//pgaD//opgE//gcvH//thiI//fumA//rhaM//glxR//yihS//hisF//garL//
go_0006749_5	aroE//mhpC//
go_0006750_6	waaQ//rfe//
go_0006751_6	deoC//
go_0006757_5	hdhA//
go_0006760_5	prmC//
go_0006761_7	nanE//
go_0006771_5	yrfG//
go_0006772_6	icd//asnA//
go_0006777_5	astC//dcd//waaH//tgt//pck//
go_0006779_6	aroD//phoA//acnA//sufS//xapA//
go_0006780_7	ubiX//
go_0006782_7	paoC//ydfG//cof//cdd//
go_0006783_5	patZ//rsmB//entF//chbG//rsmA//pphB//ilvC//
go_0006790_4	rihB//yeaE//pinE//tcdA//thiM//sufS//fruK//katG//yfcG//argE//
go_0006791_2	gpp//rhaA//der//
go_0006793_4	frmA//glgA//
go_0006798_5	rpiB//
go_0006799_5	insI-2//
go_0006801_5	pgi//glgB//cysI//
go_0006805_4	dbpA//thiG//puuC//argF//
go_0006807_3	nadC//serA//sucD//
go_0006808_4	bioF//
go_0006810_4	alaC//icd//rihC//folM//ftnA//dmlA//tdh//feaB//opgB//ttdB//speB//murI//tktB//phnN//glpC//ybjI//bioC//gldA//ynfH//argK//glgP//malQ//mngB//ilvB//rnpA//sucB//ybcF//ubiI//yajO//tig//thiM//rffH//menE//bioB//scpC//rsmJ//argE//coaD//dcyD//ftnA//narG//citG//panB//pnp//pyrF//rsmC//frdA//yfeX//ydiF//acpT//aspA//nirD//sgbU//pdxH//paaB//purT//sdhD//mnmE//mhpA//truB//pphA//yihS//nadC//mak//rsmB//speA//kdsC//moeA//ubiF//bioD//recG//caiD//ynfE//murI//gabD//napA//frdB//
go_0006811_5	rsmI//eptA//miaA//melA//cmoA//sdhA//phoA//garL//btuR//murD//rffT//
go_0006812_6	dcm//speE//
go_0006813_8	moeB//dam//yfcG//gltX//sdhA//thiE//rnb//adhE//
go_0006814_8	hemL//thiC//xthA//cof//
go_0006817_8	waaJ//
go_0006820_6	mnmG//ubiA//rsmE//uxaB//icd//
go_0006821_8	acpT//
go_0006824_8	aroG//purN//ogt//thrS//
go_0006825_9	gapA//
go_0006826_9	murC//
go_0006828_9	acnB//
go_0006829_9	talB//ispG//psuG//menA//aldA//
go_0006833_6	
go_0006835_8	rutD//otsA//
go_0006847_8	waaP//
go_0006855_6	dsdA//citX//icd//hflX//tyrB//pinE//nrdF//rpe//fkpA//rlmA//srlD//thiL//phnO//guaB//
go_0006857_7	mpaA//torA//paaG//
go_0006863_7	alaA//
go_0006865_6	pdxJ//hcp//dapF//epd//frlB//gdhA//tsaD//edd//pykF//dkgA//paaF//tag//ppc//ampH//kefF//otsA//lpxH//ubiG//serS//gloC//nanE//
go_0006868_7	nemA//
go_0006869_6	torY//
go_0006874_8	
go_0006876_8	caiB//
go_0006878_9	pagP//
go_0006879_9	nth//apaH//
go_0006880_4	allB//nrdF//
go_0006882_8	mtn//
go_0006883_8	yjhG//sodB//dgoD//
go_0006884_4	
go_0006885_9	ppsA//
go_0006886_5	
go_0006928_3	csdA//
go_0006935_4	fabB//umpG//yccX//nudC//rluC//
go_0006970_4	ydiB//eptA//fadA//yieF//trmL//ydiO//
go_0006972_5	ispB//dacD//glcF//trmO//yieF//
go_0006974_5	agp//paoC//gatY//nirB//ampH//lipA//narZ//coaE//sseA//ubiI//gpt//ftsI//adhE//prmB//tyrB//nrfC//fbp//accC//fadB//der//sgbU//argI//moeA//dapA//hyi//gabD//tehB//prs//atoB//nrdB//nrdD//hisG//pgpC//yidA//wecB//pdxB//mhpD//rlmE//ppx//rluD//ssuE//gph//trmD//ybcF//hemN//yggF//der//ribA//ansA//maeA//lpxM//ilvE//hyaB//udp//adk//nudG//azoR//cmoB//kdsC//rsmB//rlmF//mutY//ynfH//hcaD//hcaB//yciA//mug//gudD//mtn//queD//recR//rbn//lsrG//thiL//ybjG//queF//rsmH//pyrG//rbsK//asnA//metL//fadM//aldA//nrfA//xylB//nanA//entE//pheS//rsmC//trmL//gloC//hcaE//pheA//gshB//araD//
go_0006979_4	mdh//gor//ruvB//nadC//rffC//paaA//asnA//ldtD//aroF//rluD//mobA//nagZ//yihT//arsC//rffT//rluC//waaH//fumC//bioB//ppk//wzc//gabD//psd//abgB//pgk//eno//
go_0006986_5	tig//
go_0006995_6	pdxB//galU//
go_0007059_3	gor//ldtC//
go_0007062_4	
go_0007155_3	prpB//
go_0007165_3	hemA//metB//
go_0007234_5	
go_0007584_4	
go_0008033_9	hycB//folD//mutT//sgbU//mug//rhaB//folM//yieH//
go_0008104_4	
go_0008152_2	acs//fadK//cadA//wrbA//rffM//rutD//abgB//dut//melA//mutM//ubiX//rbn//gmhB//apaH//patZ//ispH//mazG//
go_0008156_8	
go_0008219_3	
go_0008272_6	thrS//pabB//
go_0008295_6	hisI//arnA//waaA//
go_0008299_5	eda//
go_0008360_4	nrdF//nadK//yeaE//fklB//mcrA//aceF//patA//cheB//nudC//uxaC//ligB//
go_0008610_5	coaE//wcaJ//bioF//solA//
go_0008615_6	hyaC//garK//galK//gcvH//yhdJ//argG//glgC//
go_0008616_8	uvrB//rlmE//dnaE//hcaC//dgkA//sdhA//
go_0008643_6	glcD//narH//pdxY//cpdA//mtlD//dmlA//yfcF//glnE//nadA//aroA//metE//gpmM//dgoD//rlmM//pyrH//waaO//dmlA//uxaA//
go_0008652_5	menD//mraY//mltC//rlmF//ribB//hisH//aes//katE//
go_0008653_5	
go_0008654_5	gcl//rsmI//mutM//coaE//
go_0009050_6	thiD//uxaB//
go_0009052_6	dgcZ//aldB//pagP//gpsA//ndh//puuC//
go_0009056_3	yggF//
go_0009058_3	ltaE//waaA//cysN//recR//
go_0009060_6	narZ//melA//yieF//hyi//epmC//sdaB//yigL//
go_0009061_6	asnS//cmoB//fadA//lsrK//pyrB//selD//gnd//recO//gmhB//tdh//menC//waaC//ybjG//ilvD//alkA//hemH//yegS//leuC//narY//dut//ybcF//
go_0009062_6	ddlA//
go_0009063_5	spoT//tsaB//gabT//
go_0009070_7	ldtD//
go_0009073_6	sodB//kdsB//thiD//lipA//purC//bcsA//lsrK//preT//sdhB//ldcC//yciV//
go_0009081_5	alaS//dxr//
go_0009082_6	folA//sucC//aroH//ppiC//yccX//glgA//metF//
go_0009085_8	phnP//
go_0009086_7	rlmM//pheA//ppk//tktA//thiL//
go_0009088_8	waaY//apt//
go_0009089_6	hisA//ampH//ftnA//entD//alkB//gshB//
go_0009090_8	ymdB//fdhF//nagK//rlmE//
go_0009092_7	tyrA//
go_0009093_7	
go_0009094_6	wzb//treA//torA//
go_0009097_7	arnT//aceA//astB//speE//pflB//
go_0009098_7	leuS//yggF//thiL//fadB//cmk//cobT//
go_0009099_7	pykA//eptA//cobT//waaL//cadA//cyoE//thrB//
go_0009102_6	purC//carB//uxuA//cysH//ascB//sodB//mmuM//hmp//garD//
go_0009103_6	trmD//lacZ//speA//maa//coaA//torA//yagE//pyrB//ssuE//
go_0009106_5	argI//
go_0009107_6	ldtE//ybjI//
go_0009108_6	dhaM//
go_0009116_5	mltA//ynfH//
go_0009142_7	birA//
go_0009143_7	gloC//
go_0009152_8	folE//
go_0009157_8	citC//
go_0009166_7	fabG//ribA//
go_0009168_9	murD//
go_0009220_8	murE//otsB//
go_0009224_9	alr//
go_0009226_6	metK//cpdB//
go_0009228_7	araD//purB//glpC//cmoA//ansB//gabT//phoA//ung//nrdD//
go_0009229_6	dgcT//ansB//
go_0009231_6	metH//cheB//cdsA//treA//rffM//murF//accC//
go_0009234_7	clsA//paaA//eptB//wzc//tktA//leuA//menI//tdcB//fadM//
go_0009236_6	tdcE//aspS//recO//argI//torA//metE//
go_0009237_4	guaA//epmB//
go_0009239_6	rsmF//ubiD//mhpD//ybjI//patA//menI//leuB//ndk//
go_0009240_6	asd//
go_0009242_6	ampH//fes//pgsA//argB//ynfH//mnmG//rnd//dhaL//
go_0009243_7	ubiC//
go_0009244_7	yjjX//pphB//waaA//fabD//allD//fabB//cobC//pphB//purB//paaF//fadM//lsrG//ppk//allB//thrB//nadA//uvrB//gutQ//pgpB//nfsB//pabA//avtA//
go_0009245_6	pepD//pdxH//allC//kbaY//trpS//cmoA//pgpB//dgcT//argF//
go_0009246_6	hpt//amiD//pta//pepD//murQ//yfeW//
go_0009249_6	katG//speC//mutL//
go_0009250_7	
go_0009251_7	icd//
go_0009252_7	pinE//panD//ddlB//yghU//hinT//mltC//nadK//gloC//thrB//hisC//yeaE//lacZ//speG//galE//waaA//aroL//selD//panD//fbp//cof//proB//tadA//mobA//etp//sodB//
go_0009253_8	waaU//aroC//ahr//rdgB//moeA//selD//polA//aphA//tesB//metB//
go_0009254_8	gph//prpC//paaH//birA//aldB//ldcA//nagB//ldcA//leuD//uxuB//pgpC//
go_0009257_8	cysN//puuE//trmD//fruK//
go_0009263_6	rrrD//panE//
go_0009264_6	metH//tktB//
go_0009265_7	surA//
go_0009266_4	selA//pgpB//thyA//maa//dgoA//ftsI//
go_0009267_5	slyD//fadK//
go_0009268_4	nrdF//
go_0009271_4	
go_0009273_5	
go_0009290_6	
go_0009294_5	ribC//
go_0009297_6	
go_0009298_7	tehB//glmS//cpsB//
go_0009305_7	mltF//
go_0009306_4	
go_0009311_5	
go_0009314_4	moeA//zwf//sgbE//hypF//eda//waaH//abgB//uidA//lpxT//citC//manA//nrfD//truB//ulaF//polB//pgaD//hemF//
go_0009372_5	avtA//narZ//tdh//
go_0009396_6	pgpC//rne//
go_0009398_7	trmL//
go_0009401_7	nrfD//glpA//glpC//dkgB//trmH//cynT//ribC//mutM//mltA//nirB//garL//araB//mpaA//rluC//acpT//uvrB//aceB//dapF//lysC//frdA//
go_0009403_5	
go_0009405_4	
go_0009407_3	sbcB//
go_0009408_4	waaG//nudB//glk//yihU//phnN//rlmB//rpiB//argS//mrcB//chbG//argF//dinB//betA//waaG//psuG//fucA//cdsA//lgoD//ansB//thiE//rlmE//cysN//kdsA//yeaG//fadD//aphA//
go_0009409_4	dhaL//trmD//
go_0009410_4	wcaJ//
go_0009411_6	mdh//glmM//ilvM//recG//menA//pck//serB//lysC//mltA//
go_0009416_5	rhaB//pgl//
go_0009423_8	speA//nrfD//yjiA//dgt//
go_0009432_5	tig//nirB//amyA//eno//glmM//
go_0009435_9	pcm//arsC//suhB//cpdB//serB//
go_0009436_6	ampD//pyrC//fabH//bcsA//
go_0009437_5	
go_0009438_5	
go_0009440_6	ilvN//phnI//entE//
go_0009442_7	zwf//ligA//rutE//cmk//ispG//
go_0009443_5	fadJ//tilS//cueO//
go_0009446_6	frmB//rsmB//
go_0009447_6	purT//pdxY//gltB//mrdA//speA//waaZ//mgsA//sucA//
go_0009450_6	tadA//hcp//trpA//allD//
go_0009451_6	acpH//fes//sucD//fadJ//
go_0009593_4	
go_0009597_5	
go_0009636_4	pgsA//proB//yciV//glk//torC//
go_0009637_6	
go_0009651_5	
go_0009697_5	wrbA//
go_0009758_2	nudC//
go_0009785_5	
go_0009970_6	argS//betA//nrdE//
go_0009972_10	garL//
go_0009992_5	panD//gatD//tdk//
go_0010033_4	
go_0010038_5	
go_0010039_6	ttdA//
go_0010041_7	hycB//metE//
go_0010042_6	clsB//
go_0010043_6	betA//cysM//
go_0010045_6	hisA//
go_0010106_6	
go_0010124_4	pdxK//mutT//dmsB//sgbE//frlB//nadD//maeA//trpE//
go_0010133_7	preT//
go_0010139_7	phnI//
go_0010165_6	yigL//katG//insI-2//metC//lpxH//fadJ//purB//gcd//
go_0010212_5	trmJ//
go_0010226_6	pgaD//
go_0010243_5	
go_0010272_6	pheT//
go_0010273_4	trmA//orn//galU//
go_0010312_3	dgoA//
go_0010332_6	
go_0010350_6	
go_0010438_6	otsA//waaF//
go_0010447_5	gloB//pabB//
go_0010468_6	cobU//
go_0010498_6	pgaB//rutE//gpsA//eno//
go_0010501_7	rutB//bioD//
go_0010557_7	
go_0010608_7	argF//
go_0010628_7	
go_0010629_7	sgbH//
go_0010676_7	
go_0010699_4	ribE//araB//
go_0010810_5	
go_0010876_4	
go_0010911_5	
go_0010921_6	
go_0010951_8	
go_0010967_6	
go_0010974_7	
go_0012501_4	
go_0014070_5	bioH//proC//pdxB//paaA//napA//yqaB//mtgA//hpt//etp//
go_0015031_5	frdA//ansB//gcvH//umpG//sdaA//sgbH//gldA//thrB//
go_0015074_6	
go_0015628_5	
go_0015670_6	tesB//
go_0015673_9	rsmA//
go_0015675_9	dkgB//
go_0015679_10	dmsA//
go_0015682_8	hemG//
go_0015684_9	cdsA//umpH//add//purF//
go_0015685_8	pyrE//pfkB//
go_0015687_7	def//
go_0015688_6	gmhB//pdeH//
go_0015689_8	proC//
go_0015691_9	patD//tsaD//
go_0015692_8	pepD//
go_0015693_9	nfi//
go_0015696_6	ycaO//
go_0015698_7	gabD//
go_0015699_8	hypF//
go_0015700_8	arnT//
go_0015706_6	aroL//fadI//garD//
go_0015707_6	phnO//rsmB//mutY//fau//
go_0015709_6	cyaA//
go_0015710_8	pdxA//zwf//
go_0015712_7	rrrD//
go_0015718_8	pldB//
go_0015721_7	glgB//hyaA//cysE//
go_0015724_7	betB//
go_0015726_8	kduD//
go_0015733_7	bacA//
go_0015734_6	alkB//
go_0015736_9	ansA//
go_0015739_7	dadA//
go_0015740_9	fadD//ruvB//glcB//
go_0015741_10	yahK//purN//
go_0015747_6	dacC//
go_0015748_6	pbpC//
go_0015749_7	folP//fklB//iscS//thiG//dnaE//cobT//speD//
go_0015751_9	dgcT//dgkA//
go_0015752_9	entB//rhaD//
go_0015753_9	yidA//dapB//
go_0015754_9	dacD//
go_0015755_9	sdhB//pykA//gabD//
go_0015756_9	pyrC//psuG//
go_0015757_9	truA//thiD//pgpB//hisF//
go_0015760_8	menF//
go_0015761_9	pabA//
go_0015762_9	yigB//
go_0015764_7	dinB//dgcT//ndk//
go_0015765_8	ribD//serC//
go_0015767_9	tadA//cysH//hisA//
go_0015768_9	waaS//mocA//atoB//
go_0015769_9	ansB//
go_0015771_9	ubiE//ubiA//alkB//
go_0015772_7	ilvI//hemC//rnd//
go_0015774_7	aceA//
go_0015778_7	phnO//
go_0015793_7	fadM//glgB//
go_0015794_7	yghU//hisH//
go_0015795_7	kbaY//hyaA//
go_0015796_7	dcyD//
go_0015797_7	hypB//ispA//fabA//
go_0015803_7	gldA//narV//aroA//
go_0015804_7	ppx//nudC//
go_0015806_6	trpE//
go_0015807_7	rluE//yjhG//rne//carA//pdxK//dosP//
go_0015808_8	argH//rnt//
go_0015809_7	cpdB//
go_0015810_8	yqaB//gltX//
go_0015811_7	waaP//yfaU//
go_0015813_6	hpt//pphA//nudF//
go_0015814_7	queC//
go_0015816_6	ilvN//
go_0015817_7	accA//hyaB//
go_0015818_7	recJ//ulaE//
go_0015820_7	sdhD//hypF//mnmC//gpp//nrfB//
go_0015821_7	panD//lipB//
go_0015822_7	waaZ//
go_0015823_7	cobU//fumB//paaG//moaA//phnO//
go_0015824_7	pldB//dgoD//bfr//
go_0015825_8	fadA//
go_0015826_7	acs//gabT//galT//
go_0015827_7	sodA//arnB//mltA//
go_0015828_7	tktB//tag//
go_0015829_7	ppk//glpK//wcaJ//
go_0015830_7	prs//
go_0015833_6	ogt//glgX//edd//mnmE//mnmC//aroC//rluC//arnT//rhaM//pdxK//
go_0015834_7	purL//metE//
go_0015835_6	rlmH//
go_0015836_7	ubiE//fabZ//
go_0015839_7	rluF//
go_0015846_6	rsmF//rsmG//
go_0015847_7	rutE//glcD//pdeF//metH//avtA//
go_0015848_7	acpT//ppx//
go_0015851_6	
go_0015853_8	narI//moeA//
go_0015856_8	gdhA//
go_0015857_6	selD//fucO//
go_0015858_7	asnS//lpxM//waaB//
go_0015860_7	selD//ulaF//
go_0015861_9	fadA//gpp//
go_0015862_9	plsC//gmk//
go_0015863_8	garK//
go_0015864_8	pck//
go_0015871_6	cadA//ispU//narH//narH//
go_0015878_6	
go_0015879_9	asd//
go_0015882_7	phnH//
go_0015886_6	tmcA//lysS//
go_0015887_7	tdcE//
go_0015888_6	tsaC//
go_0015889_6	tdcB//rlmH//dld//
go_0015891_6	ispU//
