# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	ugd//
go_0001887_4	metE//pphA//
go_0001896_5	yidA//
go_0002047_6	yigL//truD//
go_0002097_8	kdgK//
go_0002098_9	ligB//fbaA//glgC//ldtB//
go_0002099_9	ybcF//kdsC//
go_0002100_9	clsC//
go_0002101_9	tdcE//
go_0002128_7	nhoA//
go_0002131_9	rffC//
go_0002132_9	purB//
go_0002136_10	gltX//
go_0002143_9	ilvC//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	gldA//
go_0002938_8	arnT//
go_0002939_7	argB//
go_0002943_8	argC//
go_0002949_8	dapD//gmk//yihU//
go_0003333_7	rlmF//murE//rlmF//trpC//glpX//dgcZ//ldtC//araD//gldA//pgk//pabC//tesB//umpH//
go_0005975_4	trmI//nirB//pgpA//waaQ//paoC//hcaE//acs//tpiA//phnN//gloB//fumB//lpxH//aspA//aroE//puuD//lpxP//
go_0005976_5	glnA//
go_0005977_6	aes//
go_0005978_7	rffT//entC//sucD//lpoB//
go_0005980_7	ilvE//rsmF//folE//
go_0005986_7	waaF//
go_0005990_7	tag//
go_0005992_7	ynfF//scpC//
go_0005993_7	murA//dkgA//sgbH//
go_0005995_7	astB//
go_0005998_7	guaC//
go_0006000_6	gltB//
go_0006001_7	ansB//paaE//
go_0006002_5	yeiG//hypB//gadA//
go_0006006_6	entE//surA//phnH//torC//pdxJ//
go_0006007_7	moeB//abgB//
go_0006011_5	dhaK//
go_0006012_6	nirD//
go_0006013_6	def//
go_0006014_6	nrfA//
go_0006015_7	pgpC//ldhA//
go_0006020_5	cysS//
go_0006044_7	rnpA//
go_0006046_8	trmH//puuE//
go_0006047_5	insI-1//yfdR//
go_0006048_6	sgbH//purN//ppx//ulaF//
go_0006053_8	pabA//
go_0006062_8	pta//
go_0006071_6	ubiH//pyrC//
go_0006072_6	yigB//
go_0006082_4	glyA//
go_0006083_6	mgsA//yhdH//solA//
go_0006086_8	pykF//appA//
go_0006090_8	frmB//rfbB//entD//recJ//nanE//thiI//paaG//
go_0006094_7	nadK//nanE//hisA//rsmA//sdaA//mcrB//tdcB//pfkA//yhdH//
go_0006096_6	pdeF//mtlD//upp//rlmB//gmd//thiC//ndk//yrfG//curA//deoD//ilvN//yjhH//ybcF//
go_0006097_5	kdsC//pgm//proB//lpxD//aroA//
go_0006098_6	allD//mngB//tehB//ribF//mrcB//
go_0006099_4	hemE//thiG//relA//asnS//cfa//carB//nudG//pdeR//nrfA//wecC//gatZ//selD//fruK//
go_0006103_5	ahr//rpiB//purT//queG//
go_0006104_6	eutB//
go_0006105_5	mdh//
go_0006106_8	lpxP//
go_0006107_8	
go_0006108_8	dacC//hcp//selA//dgoK//
go_0006113_5	hyaA//torA//
go_0006115_6	torZ//
go_0006124_6	
go_0006144_6	
go_0006145_7	acs//
go_0006146_8	cheR//
go_0006148_9	trpB//
go_0006149_9	truC//
go_0006150_9	rlmJ//
go_0006152_7	selD//gluQ//folP//aceF//icd//
go_0006154_6	sgbE//
go_0006161_9	fucK//
go_0006163_6	gcvH//
go_0006164_7	pfkA//astB//allC//dadA//
go_0006166_6	ltaE//
go_0006168_7	lsrK//asnA//
go_0006171_9	
go_0006172_9	eutD//
go_0006177_9	yjjX//
go_0006178_7	dapD//
go_0006183_9	hchA//
go_0006189_10	phnG//pphA//
go_0006203_8	ilvI//azoR//
go_0006206_6	dacC//rhaD//dkgB//
go_0006207_8	mhpB//iscS//gadB//dbpA//mraY//
go_0006208_7	purL//hisG//mhpA//eutB//pncB//rsmD//
go_0006209_6	lpxP//
go_0006210_8	metB//
go_0006212_6	sthA//ybhA//fcl//frdD//mog//aspS//ppk//csdA//frlC//argF//
go_0006217_9	argA//
go_0006218_9	thyA//
go_0006220_6	yfcF//
go_0006221_7	yagE//fabI//alaA//
go_0006222_9	
go_0006225_9	bioC//
go_0006226_9	sufS//cyoE//
go_0006227_9	bioD//
go_0006231_9	fumC//
go_0006233_9	hyaC//
go_0006235_9	gapA//
go_0006241_9	truD//
go_0006259_5	rlmD//cysQ//epmA//
go_0006260_6	cheR//serC//yhdJ//selB//uidA//glnA//lpxC//
go_0006261_7	rsmA//sdhD//eptC//
go_0006265_6	metG//glyA//
go_0006266_6	ybhA//caiB//allC//
go_0006267_5	
go_0006268_9	gabD//leuD//
go_0006269_6	ispH//
go_0006270_6	
go_0006271_7	
go_0006274_6	
go_0006275_7	
go_0006276_3	gpmA//ymdB//
go_0006281_6	fadH//yhdJ//pabB//tdk//pdxB//pncB//malY//accD//bglX//hcp//pgsA//bcsA//purU//bglB//yfdR//nagK//ubiG//
go_0006283_8	
go_0006284_7	kbaZ//mocA//araA//serB//gudD//ubiA//
go_0006285_6	leuD//lpd//sdhD//thiG//
go_0006288_8	rihA//rlmL//
go_0006289_7	
go_0006298_7	lpxT//sucD//thiI//nrfC//
go_0006301_7	
go_0006302_7	malY//entA//
go_0006307_8	glnA//idi//mog//pabA//betB//
go_0006308_6	mltB//polA//clsC//mhpB//
go_0006310_6	allD//tktA//tynA//hisB//murQ//
go_0006313_4	cysK//
go_0006351_6	clsA//gadB//
go_0006352_7	
go_0006353_7	
go_0006354_7	rfbC//
go_0006355_7	uxuB//
go_0006357_8	
go_0006364_9	mcrA//truC//epd//ldtB//
go_0006378_8	wrbA//
go_0006396_7	upp//ribC//cadA//pfkA//ligA//
go_0006397_8	rfaE//
go_0006399_8	ynfH//adk//
go_0006400_7	selB//garR//dcyD//sgbH//nudB//
go_0006401_6	ulaG//fadI//psd//torC//rdgB//mltF//
go_0006402_7	hisC//opgB//gcl//rffT//gpt//prpD//pfkB//
go_0006412_6	phnH//nrdA//pdeR//truB//cmoA//
go_0006413_4	dhaK//
go_0006414_6	
go_0006415_7	pncB//aroE//
go_0006417_7	deoA//yciA//
go_0006418_7	trmJ//xdhB//nirD//gpt//uidA//mug//rluF//proA//argE//rrrD//thiH//
go_0006419_8	alkA//
go_0006420_8	mhpC//
go_0006421_8	narZ//
go_0006422_8	rne//
go_0006423_8	nhoA//
go_0006424_8	katG//frdA//
go_0006425_8	ynfE//
go_0006427_8	nagA//
go_0006428_8	yfeX//
go_0006429_8	pdeL//
go_0006430_8	queF//cpdA//
go_0006431_8	phnI//
go_0006432_8	hyaB//
go_0006433_8	narH//
go_0006434_8	yqjH//
go_0006435_8	menF//
go_0006436_8	lplA//
go_0006437_8	yccX//
go_0006438_8	agp//
go_0006448_8	
go_0006450_4	fumC//amiD//galU//betA//yajO//argC//
go_0006457_3	argA//cysI//rluB//frdD//lysU//ldcA//ppiA//
go_0006458_4	
go_0006464_6	thiC//cysC//nfi//moaD//frmB//mltB//rsmG//thiM//
go_0006465_6	dadA//ttdB//araD//
go_0006468_7	ilvM//
go_0006470_7	ampD//gcvH//gntK//coaE//pdxH//
go_0006473_8	galE//
go_0006474_6	nirD//gmk//menE//
go_0006476_8	waaY//
go_0006479_5	hemB//scpC//acpH//mraY//pepD//ribA//
go_0006486_5	dacD//
go_0006490_5	ndk//
go_0006508_5	deoA//scpB//sgbH//codA//guaA//serC//rffC//purD//mltA//ppiC//kdsD//nagK//fucK//yegS//acnB//narZ//fruK//hisF//slyD//rbn//uvrC//nagK//edd//hisB//fadA//insI-1//yciV//sucD//dapB//dmsB//nemA//araB//pta//
go_0006515_7	gmhB//trmD//lpoA//purL//torC//tyrB//aroC//
go_0006517_6	dadA//purF//
go_0006518_5	talB//nadK//
go_0006523_8	rlmD//hyaA//
go_0006524_8	
go_0006526_8	alaC//pabA//araB//glgP//hflX//waaG//btuE//
go_0006527_8	lpxL//gloA//rutE//ampH//thiC//
go_0006529_7	dadA//rnb//
go_0006530_7	waaP//glpA//mnmC//torC//
go_0006531_7	lysC//
go_0006532_8	bioD//astC//alaS//
go_0006535_8	yihX//rihC//mgsA//
go_0006537_8	yihV//
go_0006538_8	yfdR//rpiA//
go_0006541_7	entF//yeaE//waaY//hemE//fucI//
go_0006542_8	torY//cadA//
go_0006543_8	
go_0006545_6	sgbH//
go_0006546_6	malP//dnaE//coaD//
go_0006554_8	menD//cyaA//cobU//
go_0006556_5	csdA//
go_0006559_6	sad//
go_0006561_6	polB//speG//
go_0006563_7	aroA//
go_0006564_8	bioD//acnA//waaQ//preA//
go_0006565_8	prpC//dusB//entF//wzc//gcl//
go_0006566_7	allB//
go_0006567_8	ldcA//cof//mnaT//moaA//nadC//ygjK//yciA//
go_0006569_7	rsmG//
go_0006571_7	nrdB//guaD//
go_0006593_7	leuB//
go_0006598_8	phr//hemN//tktA//
go_0006605_6	
go_0006612_6	
go_0006614_8	
go_0006616_7	
go_0006629_4	prpB//ldtA//
go_0006631_5	paaG//ybcF//rfbD//puuA//guaA//
go_0006633_6	nfsB//hemB//fabA//rutA//umuC//pgk//lipB//mnmG//murA//trmL//relA//
go_0006635_6	fucI//rlmB//mnmE//treC//udk//thiH//alkB//hemF//hyaA//folC//rsuA//mrcA//
go_0006636_7	
go_0006637_5	azoR//adiA//mnmC//pflB//ppk//
go_0006646_7	
go_0006650_6	
go_0006654_7	allD//
go_0006655_7	tmk//hisB//
go_0006725_4	mnmA//
go_0006729_6	clsC//glcE//
go_0006730_4	maeA//nth//uxuB//
go_0006734_9	
go_0006740_4	
go_0006741_9	
go_0006742_8	
go_0006744_7	cfa//gatD//wrbA//malS//rluE//tesB//dbpA//purB//tsaC//lysS//arnT//dapA//
go_0006749_5	rsmH//etk//
go_0006750_6	gloB//rsmC//
go_0006751_6	metG//
go_0006757_5	wzb//
go_0006760_5	dcyD//
go_0006761_7	purC//
go_0006771_5	gshB//
go_0006772_6	tsaD//ribD//
go_0006777_5	thiL//der//ybjG//mutM//frlB//
go_0006779_6	folM//purA//csdA//gntK//hdhA//
go_0006780_7	malP//
go_0006782_7	glyS//truC//pyrE//xdhB//
go_0006783_5	gcd//sdhB//plsC//dcm//yahK//umuC//yfdR//
go_0006790_4	sgbU//proS//glcE//menC//cysD//nudC//codA//ttdB//aceA//appA//
go_0006791_2	tsaE//rffM//moaD//
go_0006793_4	mazG//fadB//
go_0006798_5	fucO//
go_0006799_5	rlmL//
go_0006801_5	patD//fucI//dmlA//
go_0006805_4	coaE//moaA//mtlD//rimK//
go_0006807_3	lpxK//dnaE//narI//
go_0006808_4	speE//
go_0006810_4	puuB//hisH//xdhB//mgsA//pykA//yfaU//curA//phnH//nrfD//ilvB//gpsA//pgaC//leuD//aroA//der//gmd//sucA//yqaB//yieF//dmlA//fadI//mog//argF//tsaE//fadE//rluB//trpS//ddlA//malS//yfaU//plsC//rhaD//malQ//alkA//yagF//clsC//menH//guaC//nrfC//miaA//lpd//psuG//gcvH//rfbB//gadB//gpmA//mhpD//sdaB//guaD//tnaA//slyD//napC//coaD//upp//cmk//ldtA//bfr//rlmD//bioH//menE//rffH//nudG//ndk//lpoB//rfbD//yfdR//lysU//arnT//torA//argH//fkpB//ilvM//pgpA//pdxJ//garK//acnB//glcF//
go_0006811_5	paaB//sdaB//recO//hisH//waaH//frlC//cdd//nrdA//cynS//trpS//preT//
go_0006812_6	cysG//epd//
go_0006813_8	gcvT//ruvB//adhP//dmlA//alkB//argH//aphA//frlB//
go_0006814_8	aroK//aceF//ribA//kdsD//
go_0006817_8	alsE//
go_0006820_6	purT//ymdB//ruvA//ndk//abgA//
go_0006821_8	lysU//
go_0006824_8	recO//aroE//ldcA//ampH//
go_0006825_9	glnE//
go_0006826_9	paaZ//
go_0006828_9	cobU//
go_0006829_9	yrfG//leuC//acpH//amiD//galU//
go_0006833_6	
go_0006835_8	yfeW//ilvN//
go_0006847_8	epmC//
go_0006855_6	moeB//pinE//mrdA//uidA//citE//lpxC//ansB//entE//lysC//lpxT//waaP//xylA//cysG//cynS//
go_0006857_7	argA//dmsA//mltA//
go_0006863_7	pdxJ//
go_0006865_6	umpH//argC//glmU//tdcG//rsmB//metK//eno//proC//waaU//aroD//eptC//ilvM//thiH//nadA//carB//ruvA//umuC//argI//ldtD//manA//ppiC//
go_0006868_7	galE//
go_0006869_6	ligB//
go_0006874_8	
go_0006876_8	pdxJ//
go_0006878_9	prpB//
go_0006879_9	lpoB//hemA//
go_0006880_4	cdd//sdhD//
go_0006882_8	dcm//
go_0006883_8	sdaB//dgt//yfeW//
go_0006884_4	
go_0006885_9	otsB//
go_0006886_5	
go_0006928_3	rlmE//
go_0006935_4	cueO//araD//hisS//psd//yihX//
go_0006970_4	pphA//hemA//hemL//prmC//aroA//glyS//
go_0006972_5	gstB//rfbB//nrdE//yeiG//rfaE//
go_0006974_5	aroG//eda//entB//rsmJ//rdgB//epmB//alsK//nudG//acpT//cysI//ybiV//tmk//tyrA//cysI//scpB//glcE//purU//fadB//malP//cysD//adeD//xdhB//rlmE//dld//garD//ppsA//waaB//pgaC//ilvA//fadB//narV//sdhA//appA//gloA//argE//ispA//sdhB//dosP//arnB//ribD//psuG//glpX//ftsI//pgpA//uvrB//scpB//folM//cueO//dusC//aspA//idi//gnd//ulaG//hemD//mocA//nth//edd//caiB//uvrC//lpxD//ydiF//thrA//lipA//gpp//mnmA//queA//pyrB//gdhA//ansB//dgkA//tktA//dcyD//lsrG//accB//yrfG//glgX//rsmA//birA//xylB//rrrD//rdgB//entC//cysG//fabZ//mrcA//scpC//lpxC//sthA//ispF//yfdR//argS//atoB//sbcB//fklB//rbn//
go_0006979_4	dnaE//ilvM//entF//ilvM//prpC//glpB//fadE//murA//nadA//pbpC//ygjK//hisA//mltD//talB//ulaE//nudB//yfcF//katG//hcp//gadA//rimK//ldtA//accC//frmB//fadI//waaJ//
go_0006986_5	acnB//
go_0006995_6	tyrB//umuC//
go_0007059_3	entF//yqhD//
go_0007062_4	
go_0007155_3	leuC//
go_0007165_3	moeB//yciV//
go_0007234_5	
go_0007584_4	
go_0008033_9	trpE//appA//sufS//yrfG//paaA//dgoA//cysC//suhB//
go_0008104_4	
go_0008152_2	phnJ//napA//aspC//ilvN//aspS//pheS//maeA//pheT//napB//sucD//rffT//yeaG//murG//ygeX//paoC//glpB//ubiI//
go_0008156_8	
go_0008219_3	
go_0008272_6	fabI//yidA//
go_0008295_6	yqhD//rlmA//purN//
go_0008299_5	trpB//
go_0008360_4	ahpC//moaE//waaS//dacC//tyrA//gabD//ileS//rffG//cdd//ndh//truA//
go_0008610_5	menC//trpE//glk//waaY//
go_0008615_6	gstA//speG//preA//rfe//gutQ//panE//rfbD//
go_0008616_8	cobU//gadB//waaF//lpxK//leuD//entA//
go_0008643_6	ndk//gltB//sucA//gloA//opgB//ygeX//rhaA//speD//yccX//tdh//prs//metC//mngB//tyrA//ilvD//entB//allD//folP//
go_0008652_5	pyrC//wecB//thrB//gcvH//pyrE//metE//yjjX//rfaD//
go_0008653_5	
go_0008654_5	rlmA//gntK//alsE//citG//
go_0009050_6	amyA//cmoA//
go_0009052_6	prpB//aphA//treC//hemB//phnG//rpiA//
go_0009056_3	pabC//
go_0009058_3	recG//bglA//ampD//rlmB//
go_0009060_6	rutE//aroK//hcaC//aroF//yfeX//amiD//ppk//
go_0009061_6	nadB//guaA//glgB//yrfG//sufS//glnA//phoA//trpC//rffH//rfbB//hisG//purT//rutE//bioF//dxs//rlmE//lysU//eutD//arnT//treF//yeaE//
go_0009062_6	roxA//
go_0009063_5	mutS//cynT//cynT//
go_0009070_7	asnA//
go_0009073_6	bcsA//waaG//slyD//asnA//hyaC//murA//fre//fadM//hmp//sucD//pyrF//
go_0009081_5	aroB//malZ//
go_0009082_6	rlmC//pldB//rpiB//amyA//cdd//sdaB//yfbR//
go_0009085_8	iscS//
go_0009086_7	gcd//napB//hemB//murG//torZ//
go_0009088_8	glyA//btuE//
go_0009089_6	hcaB//argH//etp//argD//folP//psuG//
go_0009090_8	glnA//citG//arnT//accD//
go_0009092_7	sgbU//
go_0009093_7	
go_0009094_6	gntK//hemD//yahK//
go_0009097_7	ldtD//preA//dcm//cdd//moaA//
go_0009098_7	alsE//murI//rsmA//entA//dapF//mutM//
go_0009099_7	ruvC//folX//plsB//hyaB//thyA//epd//garR//
go_0009102_6	pyrH//codA//fadD//cysG//accB//fucI//rffH//araA//aspA//
go_0009103_6	glgA//glyS//yfbR//rsmF//ybjG//rsmB//dgcZ//gpmA//ung//
go_0009106_5	rlmF//
go_0009107_6	mtn//phnH//
go_0009108_6	frmA//
go_0009116_5	waaH//cysD//
go_0009142_7	speC//
go_0009143_7	metC//
go_0009152_8	tsaC//
go_0009157_8	trmL//
go_0009166_7	yfcF//epmC//
go_0009168_9	mutT//
go_0009220_8	glnA//ldtE//
go_0009224_9	ldcA//
go_0009226_6	ansB//birA//
go_0009228_7	miaB//talB//gstA//ldcC//sodC//fau//codA//leuC//rlmG//
go_0009229_6	cysQ//hcaF//
go_0009231_6	caiD//sgbE//yjhH//fadB//guaA//oxc//alr//
go_0009234_7	nadK//rbn//tig//nudG//wrbA//curA//idnD//dsdA//cadA//
go_0009236_6	paaC//asnB//pflB//paaB//rluB//tsaB//
go_0009237_4	prpB//rfaE//
go_0009239_6	gph//pyrG//ydiO//nrdE//speB//ogt//abgB//dgoK//
go_0009240_6	thiH//
go_0009242_6	pgi//psd//paaE//epmA//aceA//ttdB//atoB//gdhA//
go_0009243_7	fabG//
go_0009244_7	glmS//galK//amyA//mrdA//bglB//dmlA//murD//narI//accB//tmk//waaL//def//waaZ//bioD//yfcG//bioB//malS//phnH//cmk//yfcG//queG//menH//
go_0009245_6	mnmC//plsB//leuA//solA//ackA//thrC//aroF//mak//thiC//
go_0009246_6	pgsA//iaaA//cysG//metL//rutA//preA//
go_0009249_6	otsB//murC//truC//
go_0009250_7	
go_0009251_7	lpxP//
go_0009252_7	narZ//paaE//argD//rsmF//tgt//yfiC//gor//hpt//rluA//garR//dapB//thiG//rrrD//fumC//ilvM//allD//acs//guaD//phnI//pdxA//ghrB//hisI//ldcC//selD//pdeH//
go_0009253_8	bioH//tdcE//maeA//dxr//ung//waaH//ybhA//sodA//spoT//hisB//
go_0009254_8	menH//yigL//frdA//folD//prpC//hcaF//mog//ahpC//alsK//mepS//fadD//
go_0009257_8	entH//entC//dmlA//ldtB//
go_0009263_6	tdk//bglX//
go_0009264_6	mcrB//recG//
go_0009265_7	fadM//
go_0009266_4	dhaL//recR//cysM//mutM//rbsK//nagZ//
go_0009267_5	ldtC//umuC//
go_0009268_4	citE//
go_0009271_4	
go_0009273_5	
go_0009290_6	
go_0009294_5	moaA//
go_0009297_6	
go_0009298_7	lgoD//hisS//menH//
go_0009305_7	pgaD//
go_0009306_4	
go_0009311_5	
go_0009314_4	entC//ycjU//menD//tmcA//rnpA//ubiA//argS//galU//dapD//ulaG//nadD//narY//chbF//phnJ//ynfF//rnd//dusC//
go_0009372_5	hemD//rutA//mobA//
go_0009396_6	murB//frmB//
go_0009398_7	gldA//
go_0009401_7	idnO//entE//queD//dbpA//yegS//citG//fadE//tdcD//recG//rlmI//entF//pabC//ascB//rluB//fucA//cmoB//yfaU//aroE//rutB//trpD//
go_0009403_5	
go_0009405_4	
go_0009407_3	rsmC//
go_0009408_4	mrcB//gshA//relA//tdk//gluQ//gldA//hisC//tyrB//trpD//rlmB//eptC//aceF//fucO//lpxC//abgB//frlC//leuB//kbaZ//ldcA//allC//phnO//waaO//alr//moeA//citE//nfsB//
go_0009409_4	aldA//thiH//
go_0009410_4	bioD//
go_0009411_6	mgsA//aceF//waaP//mtlD//ghrB//pcm//gstA//glcF//hcaF//
go_0009416_5	queD//argE//
go_0009423_8	mnmC//glcD//malS//ddlA//
go_0009432_5	glmS//yghU//zwf//hisH//rsmA//
go_0009435_9	cysS//puuA//rfbB//ruvC//ltaE//
go_0009436_6	yihV//panC//ppsA//rlmA//
go_0009437_5	
go_0009438_5	
go_0009440_6	insI-1//sad//rhaD//
go_0009442_7	lpxD//hemG//narY//rhaA//ribA//
go_0009443_5	lsrG//hcp//dosP//
go_0009446_6	waaC//rffT//
go_0009447_6	icd//cobU//fabA//gloA//pdeR//pdxY//waaH//nrdA//
go_0009450_6	yfdR//ltaE//rluD//pgaD//
go_0009451_6	rbn//pdeR//ynfE//panC//
go_0009593_4	
go_0009597_5	
go_0009636_4	puuD//curA//pdxB//mrcB//paaE//
go_0009637_6	
go_0009651_5	
go_0009697_5	pyrF//
go_0009758_2	gmk//
go_0009785_5	
go_0009970_6	nrdA//ubiG//serC//
go_0009972_10	nanK//
go_0009992_5	dut//ynfE//speC//
go_0010033_4	
go_0010038_5	
go_0010039_6	fumA//
go_0010041_7	phnJ//narI//
go_0010042_6	pdxB//
go_0010043_6	pheA//ftnA//
go_0010045_6	fucA//
go_0010106_6	
go_0010124_4	ppx//mngB//aldA//dusB//pheA//pdxJ//lyxK//rlmM//
go_0010133_7	trmO//
go_0010139_7	pgpA//
go_0010165_6	gadA//accA//yjhG//truA//pflB//uvrA//valS//gstA//
go_0010212_5	yegS//
go_0010226_6	cmoA//
go_0010243_5	
go_0010272_6	alkA//
go_0010273_4	lpd//phoA//atoB//
go_0010312_3	rluE//
go_0010332_6	
go_0010350_6	
go_0010438_6	paaA//deoB//
go_0010447_5	uvrB//murE//
go_0010468_6	gabD//
go_0010498_6	citG//mnmC//betB//wecC//
go_0010501_7	rfaE//galU//
go_0010557_7	
go_0010608_7	mutL//
go_0010628_7	
go_0010629_7	lplA//
go_0010676_7	
go_0010699_4	asnB//cysC//
go_0010810_5	
go_0010876_4	
go_0010911_5	
go_0010921_6	
go_0010951_8	
go_0010967_6	
go_0010974_7	
go_0012501_4	
go_0014070_5	ribC//rutC//argG//gph//allC//udk//yfcG//etk//ligB//
go_0015031_5	allD//sbcB//mhpA//lpxH//birA//prpC//dmlA//lysC//
go_0015074_6	
go_0015628_5	
go_0015670_6	yihS//
go_0015673_9	lpxP//
go_0015675_9	gstB//
go_0015679_10	mltB//
go_0015682_8	yfaU//
go_0015684_9	fucI//rihB//idi//fes//
go_0015685_8	purN//rluA//
go_0015687_7	yeaG//
go_0015688_6	yeaE//rlmD//
go_0015689_8	puuA//
go_0015691_9	cadA//metB//
go_0015692_8	gcl//
go_0015693_9	sdhD//
go_0015696_6	phr//
go_0015698_7	phnJ//
go_0015699_8	thiH//
go_0015700_8	mak//
go_0015706_6	der//metE//opgE//
go_0015707_6	mak//ligA//yfeW//pabB//
go_0015709_6	ilvE//
go_0015710_8	folM//gatD//
go_0015712_7	ppc//
go_0015718_8	apt//
go_0015721_7	rffG//prs//orn//
go_0015724_7	pnp//
go_0015726_8	rhaB//
go_0015733_7	preT//
go_0015734_6	argF//
go_0015736_9	pncB//
go_0015739_7	rlmA//
go_0015740_9	bioB//ldtB//ulaF//
go_0015741_10	rutB//ygeX//
go_0015747_6	dacC//
go_0015748_6	cdh//
go_0015749_7	torC//ydfG//patZ//narI//sthA//edd//gstA//
go_0015751_9	speG//speE//
go_0015752_9	frdB//torZ//
go_0015753_9	gltB//ymdB//
go_0015754_9	gabT//
go_0015755_9	proS//pta//ubiD//
go_0015756_9	yieH//rfbD//
go_0015757_9	metL//moaD//solA//cynS//
go_0015760_8	dacC//
go_0015761_9	pldB//
go_0015762_9	polA//
go_0015764_7	recJ//dam//cobC//
go_0015765_8	tktB//dapD//
go_0015767_9	folC//nudG//uxaA//
go_0015768_9	ybjG//waaS//cynS//
go_0015769_9	poxB//
go_0015771_9	hcaE//paaZ//fruK//
go_0015772_7	fucA//pcm//ribA//
go_0015774_7	wecC//
go_0015778_7	frdA//
go_0015793_7	tynA//lyxK//
go_0015794_7	ampH//etk//
go_0015795_7	pyrE//idnO//
go_0015796_7	nrdE//
go_0015797_7	cysS//argD//treC//
go_0015803_7	bglB//thiH//dfp//
go_0015804_7	nrfA//glnE//
go_0015806_6	frc//
go_0015807_7	folM//ppsA//speG//lpxL//narI//dgoD//
go_0015808_8	nrfB//bglA//
go_0015809_7	yagF//
go_0015810_8	yieH//dkgB//
go_0015811_7	alr//dfp//
go_0015813_6	queG//rffH//rutD//
go_0015814_7	dosP//
go_0015816_6	lysC//
go_0015817_7	ahpC//hyaA//
go_0015818_7	tdcG//folA//
go_0015820_7	aldA//fadE//dacC//mltC//cobC//
go_0015821_7	malP//fabB//
go_0015822_7	rsmG//
go_0015823_7	thiM//tyrS//ilvB//aroL//rlmH//
go_0015824_7	polA//lpxP//phnI//
go_0015825_8	iaaA//
go_0015826_7	accA//ydiF//rdgB//
go_0015827_7	ulaE//cpdA//deoD//
go_0015828_7	sdaA//yeiG//
go_0015829_7	suhB//phnH//ldtE//
go_0015830_7	cobB//
go_0015833_6	mltF//tauD//yccX//thiE//waaO//glxK//cmk//ybjG//cueO//ileS//
go_0015834_7	ispA//xylB//
go_0015835_6	upp//
go_0015836_7	nadA//puuD//
go_0015839_7	yajO//
go_0015846_6	arsC//uvrC//
go_0015847_7	hemE//ubiF//fabA//etk//hemN//
go_0015848_7	uxaC//fabI//
go_0015851_6	
go_0015853_8	betB//xapA//
go_0015856_8	sucC//
go_0015857_6	argA//paaC//
go_0015858_7	paaB//uxaB//queG//
go_0015860_7	rne//gltD//
go_0015861_9	ssuE//serC//
go_0015862_9	selA//cmoB//
go_0015863_8	gcvT//
go_0015864_8	hyaC//
go_0015871_6	pabB//ppiC//pepD//narY//
go_0015878_6	
go_0015879_9	leuA//
go_0015882_7	malQ//
go_0015886_6	appA//yccX//
go_0015887_7	mgsA//
go_0015888_6	ldtE//
go_0015889_6	queF//aroC//puuE//
go_0015891_6	rsmD//
go_0015906_6	rluC//
