# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	ppiA//
go_0006144_6	
go_0006145_7	yfdR//
go_0006146_8	hemL//
go_0006148_9	puuA//
go_0006149_9	rlmD//
go_0006150_9	waaJ//
go_0006152_7	clsB//pykF//pphB//miaB//hemN//
go_0006154_6	deoB//
go_0006161_9	recR//
go_0006163_6	fucO//
go_0006164_7	metL//ynfH//ssuD//purF//
go_0006166_6	mdh//
go_0006168_7	cyoE//mltD//
go_0006171_9	
go_0006172_9	glcE//
go_0006177_9	ybjI//
go_0006178_7	ssuD//
go_0006183_9	sgbH//
go_0006189_10	ilvC//gntK//
go_0006203_8	adhP//frmA//
go_0006206_6	dhaL//ascB//dam//
go_0006207_8	gatZ//gltX//queC//rutA//thrC//
go_0006208_7	eno//cpsG//lsrK//cdsA//trmJ//rffH//
go_0006209_6	def//
go_0006210_8	cobB//
go_0006212_6	dacD//acnB//dgkA//paaZ//glpC//adhE//aldA//ruvB//mpaA//dgoA//
go_0006217_9	nudC//
go_0006218_9	putA//
go_0006220_6	cpdA//
go_0006221_7	prs//ispU//ybcF//
go_0006222_9	
go_0006225_9	ansB//
go_0006226_9	yagE//mobA//
go_0006227_9	nth//
go_0006231_9	glk//
go_0006233_9	fadH//
go_0006235_9	pyrF//
go_0006241_9	gpmA//
go_0006259_5	aes//purA//nanA//
go_0006260_6	apt//rlmE//mgsA//araD//dgcT//serB//hyaB//
go_0006261_7	rutB//pgl//gntK//
go_0006265_6	thiC//rffG//
go_0006266_6	mpaA//ymdB//ttdA//
go_0006267_5	
go_0006268_9	rlmH//purD//
go_0006269_6	paaK//
go_0006270_6	
go_0006271_7	
go_0006274_6	
go_0006275_7	
go_0006276_3	fabA//glnS//
go_0006281_6	prs//nrdD//metC//xylB//coaE//yfeX//dcm//ribD//pyrG//rfbD//entB//rsmC//rnb//nadK//poxB//queF//ushA//
go_0006283_8	
go_0006284_7	lldD//pflB//rlmM//adhE//pgpA//pabC//
go_0006285_6	xthA//hisS//trmD//hisI//
go_0006288_8	tktA//waaA//
go_0006289_7	
go_0006298_7	dmsB//pgaB//dfp//ispA//
go_0006301_7	
go_0006302_7	gstB//gatD//
go_0006307_8	gloA//slt//lpxK//argI//pfkB//
go_0006308_6	der//azoR//narV//mnmC//
go_0006310_6	gudD//pgk//mdh//rihB//dxr//
go_0006313_4	ybjI//
go_0006351_6	eutB//rlmJ//
go_0006352_7	
go_0006353_7	
go_0006354_7	ubiX//
go_0006355_7	miaB//
go_0006357_8	
go_0006364_9	proA//folE//hisI//garR//
go_0006378_8	gadB//
go_0006396_7	rluF//udp//frc//fadD//idnD//
go_0006397_8	yjcS//
go_0006399_8	bglX//wzb//
go_0006400_7	paaG//gph//putA//pepD//xylB//
go_0006401_6	nudB//ulaF//yfdR//tadA//menI//rfbC//
go_0006402_7	phnJ//cobS//manA//nrdD//menA//hemG//insI-1//
go_0006412_6	rihB//murC//bioF//slt//ruvC//
go_0006413_4	tsaB//
go_0006414_6	
go_0006415_7	amiD//rutC//
go_0006417_7	eutD//cysK//
go_0006418_7	tsaD//nirD//yhdJ//glcB//tdcG//galM//pyrB//cobT//yeiG//betB//opgB//
go_0006419_8	dgcT//
go_0006420_8	frlC//
go_0006421_8	gluQ//
go_0006422_8	arnB//
go_0006423_8	lpxL//
go_0006424_8	phoA//queF//
go_0006425_8	apaH//
go_0006427_8	dhaM//
go_0006428_8	ppx//
go_0006429_8	epmB//
go_0006430_8	fucA//murA//
go_0006431_8	preT//
go_0006432_8	pta//
go_0006433_8	dmlA//
go_0006434_8	napC//
go_0006435_8	hyi//
go_0006436_8	gpt//
go_0006437_8	fdhF//
go_0006438_8	yahK//
go_0006448_8	
go_0006450_4	accD//gldA//ssuD//menC//gutQ//rutE//
go_0006457_3	avtA//uvrC//opgE//cdh//nirD//pcm//pdeF//
go_0006458_4	
go_0006464_6	galT//lsrK//glcB//dhaK//pheS//coaE//rsmF//ygeX//
go_0006465_6	curA//rpiA//menC//
go_0006468_7	thiH//
go_0006470_7	speB//insI-2//araD//rfbC//wrbA//
go_0006473_8	add//
go_0006474_6	iaaA//dgoD//yieH//
go_0006476_8	mutT//
go_0006479_5	ddlB//nrdD//rfaE//asd//ldtE//pcm//
go_0006486_5	dld//
go_0006490_5	waaG//
go_0006508_5	abgA//cysI//udk//mngB//rsmC//csdA//manA//gabT//purB//prmB//gpt//gltD//leuC//cysS//rluF//pgaC//ppk//tdcB//btuR//pheS//tdcB//adiA//ispH//pdxB//cobT//uxaC//murE//nagB//surA//cysM//dhaL//leuC//ybjI//
go_0006515_7	apt//ribE//proC//mcrA//dam//yfeX//sucD//
go_0006517_6	uxaB//prmC//
go_0006518_5	etp//xthA//
go_0006523_8	bcsA//mrdA//
go_0006524_8	
go_0006526_8	dusB//ribE//tdcD//gabT//truC//fabB//dapF//
go_0006527_8	ftsI//gmk//puuA//ubiG//aroD//
go_0006529_7	eptC//epmC//
go_0006530_7	rpiA//idnK//glmS//yihV//
go_0006531_7	rpiA//
go_0006532_8	adk//rlmD//idnD//
go_0006535_8	insI-1//umuD//hcaD//
go_0006537_8	yghU//
go_0006538_8	gstB//umuD//
go_0006541_7	eptC//rfbB//murE//glpX//fes//
go_0006542_8	tig//yagE//
go_0006543_8	
go_0006545_6	umpG//
go_0006546_6	cdh//nrdA//glnE//
go_0006554_8	ansB//ygeX//lpxC//
go_0006556_5	rlmC//
go_0006559_6	xylA//
go_0006561_6	idnK//ynfF//
go_0006563_7	mnmG//
go_0006564_8	sdhA//amyA//recR//aceB//
go_0006565_8	maeA//yjjX//epmA//fucK//mmuM//
go_0006566_7	phnO//
go_0006567_8	coaD//birA//torY//mutT//menA//cysM//nudG//
go_0006569_7	avtA//
go_0006571_7	pgaC//nrfC//
go_0006593_7	aroH//
go_0006598_8	entA//rfbB//sdhB//
go_0006605_6	
go_0006612_6	
go_0006614_8	
go_0006616_7	
go_0006629_4	waaZ//melA//
go_0006631_5	glxK//plsB//hycB//prpB//carB//
go_0006633_6	sucC//asd//queD//pbpC//ilvH//ppsA//trpS//pbpC//dinB//recR//speA//
go_0006635_6	rlmE//treF//srlD//lpxH//pgi//ssuE//cmk//yfeW//fbaA//abgB//fadA//cpdB//
go_0006636_7	
go_0006637_5	dxr//epmB//clsC//der//xthA//
go_0006646_7	
go_0006650_6	
go_0006654_7	yciV//
go_0006655_7	recO//acpT//
go_0006725_4	cfa//
go_0006729_6	prmB//folX//
go_0006730_4	paaZ//rpe//dxr//
go_0006734_9	
go_0006740_4	
go_0006741_9	
go_0006742_8	
go_0006744_7	fre//mutY//udk//ubiC//nadE//phnI//caiD//ansB//putA//narV//polB//opgB//
go_0006749_5	ilvA//dut//
go_0006750_6	glpX//glxK//
go_0006751_6	cobT//
go_0006757_5	astC//
go_0006760_5	dapB//
go_0006761_7	kbaZ//
go_0006771_5	gshA//
go_0006772_6	ligB//katE//
go_0006777_5	ghrB//nadA//rhaD//rffH//sucB//
go_0006779_6	prpC//wecB//lysA//truA//caiB//
go_0006780_7	aroD//
go_0006782_7	ubiI//citE//uvrB//tsaB//
go_0006783_5	paaK//mepS//ulaE//carB//yigL//guaB//lpxK//
go_0006790_4	mutM//adk//gor//gapA//dosP//rhaB//cobB//ygeX//ribA//nrfC//
go_0006791_2	argK//entE//hemF//
go_0006793_4	treF//ispH//
go_0006798_5	dapD//
go_0006799_5	pncB//
go_0006801_5	thiI//hisG//scpB//
go_0006805_4	gdhA//pyrB//fumC//betB//
go_0006807_3	metB//idnK//cof//
go_0006808_4	recO//
go_0006810_4	pgi//adiA//tsaD//murF//pyrB//glpB//aroD//menB//entA//hycB//metB//metE//pyrH//ubiA//uxuB//dgoK//ydiO//katE//pabA//trpC//dfp//pagP//sodC//truB//rsmG//acnB//rnd//hflX//gldA//glk//plsC//rfaD//cysG//ynfE//accC//pgsA//yihV//moaD//epmB//eda//ispU//rlmG//rhaM//frdD//ispF//zwf//proC//glnS//moaA//dmsC//frdA//bioF//ispU//cof//galM//yrfG//paaE//argS//epmA//rnpA//ribB//slt//wecC//ldtE//asd//rffH//mdh//mltA//purC//hcaB//idnD//solA//fadI//murF//uxaB//cadA//purU//
go_0006811_5	paaJ//pyrG//clsC//speE//udk//dkgA//allC//pdeH//opgE//fadK//glpA//
go_0006812_6	glpX//yrfG//
go_0006813_8	ribE//pdxH//yqjH//frc//accA//cobB//aspA//sdhC//
go_0006814_8	glpA//fadD//pdeR//dapB//
go_0006817_8	pyrE//
go_0006820_6	napC//galK//nagZ//yfeW//cdsA//
go_0006821_8	ada//
go_0006824_8	fabH//adk//trpA//tsaC//
go_0006825_9	trmD//
go_0006826_9	rsmB//
go_0006828_9	fabZ//
go_0006829_9	glgX//glmM//narZ//queA//yqaB//
go_0006833_6	
go_0006835_8	yfiC//waaP//
go_0006847_8	alsK//
go_0006855_6	ymdB//yfeX//wrbA//cadA//ybjG//proC//ugd//selD//mhpB//ribD//wzc//cdd//cynS//nadA//
go_0006857_7	glmU//glpD//pgl//
go_0006863_7	ribF//
go_0006865_6	trpS//cysN//ycjU//mgsA//wzb//ispB//prpC//trmI//paaE//ddlB//yjcS//lpxK//hemA//acpT//folM//gpsA//dkgA//kdgK//fadA//glgC//murD//
go_0006868_7	ppsA//
go_0006869_6	wzc//
go_0006874_8	
go_0006876_8	deoB//
go_0006878_9	pldB//
go_0006879_9	frlB//gltB//
go_0006880_4	yjhG//bglB//
go_0006882_8	mcrA//
go_0006883_8	ansB//waaS//speD//
go_0006884_4	
go_0006885_9	pheT//
go_0006886_5	
go_0006928_3	pdeH//
go_0006935_4	nrfB//rdgB//hisI//pdxY//speA//
go_0006970_4	phnN//waaU//mnmE//astB//ubiC//serA//
go_0006972_5	pheS//mocA//yfeX//gabD//gadB//
go_0006974_5	proA//pgaC//trpA//katE//aphA//glmS//gph//rluC//sgbE//recG//gdhA//mnmA//frdC//galE//guaB//nudF//sucC//cfa//asd//argE//nudC//phnG//rsmH//ribC//narG//hemL//btuR//dinB//lysA//thiG//sdaB//mak//selB//murF//rfbB//ldtE//dcyD//menB//glnA//glgC//rhaM//glgP//gloC//yqaB//pfkA//cysN//lysA//fabZ//yihT//idnD//sucA//rluD//bioD//nrdD//leuB//slyD//leuS//nadD//aes//hflX//ghrB//sdhA//pgi//kduI//gatD//trmO//roxA//ynfH//der//pdeR//idnK//moeB//adk//treC//ubiX//lpxC//wecB//nanE//rpe//fucI//wecC//astB//pyrE//pgpC//rsmE//serS//narI//gudD//nadD//fdhF//rluD//paaF//garK//yajO//ynfH//
go_0006979_4	dacC//speA//dadA//allD//psuG//xylA//ynfH//add//pdeH//gmd//umuD//ruvC//gltX//nudG//caiB//hyi//rlmJ//cysC//menA//rutD//tynA//dgcT//folA//rhaA//menD//yihV//
go_0006986_5	yihX//
go_0006995_6	eutD//nrfA//
go_0007059_3	orn//rsmB//
go_0007062_4	
go_0007155_3	lsrG//
go_0007165_3	tktB//waaP//
go_0007234_5	
go_0007584_4	
go_0008033_9	rph//trpD//lsrG//queG//kdsC//ddlA//manA//nadE//
go_0008104_4	
go_0008152_2	pyrC//rlmM//dgcM//cmoA//rsmH//tgt//rnt//paaH//phnL//gcvP//nagK//mcrA//glgP//trpS//wrbA//wzb//hcaC//
go_0008156_8	
go_0008219_3	
go_0008272_6	mutT//phnP//
go_0008295_6	mak//nrdF//treF//
go_0008299_5	dcyD//
go_0008360_4	fucK//melA//poxB//appA//ispU//citE//sthA//cysQ//waaY//cynT//uxaC//
go_0008610_5	tcdA//ascB//cysE//dxr//
go_0008615_6	paaB//coaA//yccX//aphA//hypB//rsmJ//glnS//
go_0008616_8	umuD//xylA//murG//nadC//gluQ//thiH//
go_0008643_6	citX//hisH//bioF//dkgB//folE//murG//entF//yrfG//hdhA//ribA//maa//gpsA//nudG//trmL//fadD//kefF//dhaK//folC//
go_0008652_5	pyrD//astC//recF//leuS//ldtE//thrC//tgt//entF//
go_0008653_5	
go_0008654_5	waaB//rsmA//murE//hemG//
go_0009050_6	rutB//yjjG//
go_0009052_6	ispG//spoT//dapF//hemN//yciA//nrdB//
go_0009056_3	frdC//
go_0009058_3	rffC//dadA//tktB//hyaA//
go_0009060_6	speB//fbaA//malZ//galT//purT//tsaD//argG//
go_0009061_6	gshB//rbsK//udk//trmJ//argF//yihU//fabA//ilvI//apt//yagF//frdA//ybiV//yfcF//hycB//surA//gatD//pdxH//garL//rlmL//thrA//leuC//
go_0009062_6	deoA//
go_0009063_5	prmB//suhB//folM//
go_0009070_7	waaB//
go_0009073_6	thiL//carB//frdA//aphA//ackA//clsB//yidA//tdcE//alsE//thrS//lipA//
go_0009081_5	hemN//cysS//
go_0009082_6	manA//epd//paaK//csdA//cobU//rlmL//bioB//
go_0009085_8	ftsI//
go_0009086_7	treC//glk//dmsA//nrdE//entH//
go_0009088_8	yegS//aroD//
go_0009089_6	fadE//lpxC//dbpA//ubiC//feaB//gatD//
go_0009090_8	ybiV//cysD//nudF//ygeX//
go_0009092_7	sodA//
go_0009093_7	
go_0009094_6	pdxJ//sgbE//rlmH//
go_0009097_7	eno//rsmC//glpX//avtA//queC//
go_0009098_7	rimK//purC//purT//phnN//alsE//kdsD//
go_0009099_7	dld//paaA//cysI//hyaA//pabC//opgE//cobT//
go_0009102_6	rrrD//thiD//narZ//entH//frmA//torZ//nadK//prs//fbaA//
go_0009103_6	menB//adhP//ubiA//galT//eda//ampD//fcl//dmsA//alaA//
go_0009106_5	xylA//
go_0009107_6	paaG//ynfF//
go_0009108_6	ddlB//
go_0009116_5	serS//ligA//
go_0009142_7	frc//
go_0009143_7	cysD//
go_0009152_8	sgbU//
go_0009157_8	fadM//
go_0009166_7	leuA//scpC//
go_0009168_9	dkgA//
go_0009220_8	recJ//tyrB//
go_0009224_9	ndk//
go_0009226_6	otsA//pck//
go_0009228_7	fruK//ttdA//yigL//ribC//pabB//torY//cysE//purN//puuB//
go_0009229_6	paaE//ttdA//
go_0009231_6	rfe//selD//caiD//tig//folE//yqjH//psd//
go_0009234_7	thiH//upp//rffT//epmB//entD//proA//orn//kdsA//gadB//
go_0009236_6	yajO//phnO//udk//putA//bioB//gapA//
go_0009237_4	araB//uxuA//
go_0009239_6	yqaB//hyaA//gpsA//kdsA//pheT//sucD//ychF//sodB//
go_0009240_6	nrfC//
go_0009242_6	uxuA//nfsB//hemC//hemH//gltX//tcdA//guaC//ackA//
go_0009243_7	cysI//
go_0009244_7	paoC//acnA//dbpA//rhaB//maa//malQ//waaU//ydiO//moeB//xylB//tktA//glyS//astC//dusC//hflX//citG//amiD//ung//csdA//waaF//opgB//tadA//
go_0009245_6	dmsB//dgcZ//ansA//ilvE//sgbE//lipA//waaS//truB//eutD//
go_0009246_6	tktB//hcaF//dcm//ubiH//spoT//pgl//
go_0009249_6	argC//rhaB//sdaA//
go_0009250_7	
go_0009251_7	fumA//
go_0009252_7	alsK//waaB//rlmC//bfr//curA//folA//deoD//rsmE//rffG//pheA//nth//ogt//def//accC//gcvP//avtA//wecC//hemL//murG//mpaA//sucC//ilvN//azoR//lsrG//rluD//
go_0009253_8	argE//rlmE//ldcA//thiL//yihX//paoC//rpiB//menB//yhdJ//bioB//
go_0009254_8	folC//truA//paaG//yciV//mog//yeaG//sucD//deoC//guaB//pgl//bioH//
go_0009257_8	katG//hemB//yfbR//pyrC//
go_0009263_6	metF//kdsA//
go_0009264_6	gltX//prmC//
go_0009265_7	panC//
go_0009266_4	kdsA//malS//pepD//frdC//nrfB//udp//
go_0009267_5	idnK//rlmB//
go_0009268_4	lysC//
go_0009271_4	
go_0009273_5	
go_0009290_6	
go_0009294_5	leuC//
go_0009297_6	
go_0009298_7	hdhA//rlmC//cyoE//
go_0009305_7	manA//
go_0009306_4	
go_0009311_5	
go_0009314_4	rsmB//mrcB//katG//nrdA//dacD//ubiX//ilvB//lpoB//metC//phnH//murQ//cadA//frc//melA//miaB//insI-2//queA//
go_0009372_5	agp//proA//frmB//
go_0009396_6	eptC//fadI//
go_0009398_7	menE//
go_0009401_7	ahpC//cobT//aroL//phnL//hisH//sdhD//malP//waaU//entB//rhaB//citG//accC//malQ//trmI//rsuA//sgbH//lpoA//aroC//mmuM//dut//
go_0009403_5	
go_0009405_4	
go_0009407_3	lplA//
go_0009408_4	rhaA//phnM//ileS//hisI//moeB//lipB//fbp//yeaE//panC//tdcD//aceA//ldtB//rfaD//pabB//glpA//prpC//tdcB//tsaB//pdeR//recO//phoA//yeiG//pheT//ddlA//dhaK//speC//
go_0009409_4	dapA//ribC//
go_0009410_4	metG//
go_0009411_6	waaG//mug//thiM//ppiC//hypB//kbaZ//hypF//umuD//cheB//
go_0009416_5	pheS//nth//
go_0009423_8	clsA//cpdB//nagB//fabG//
go_0009432_5	rnd//lysS//rne//cmoB//galE//
go_0009435_9	fre//xthA//rluB//proS//waaP//
go_0009436_6	wzb//puuC//ymdB//insI-1//
go_0009437_5	
go_0009438_5	
go_0009440_6	ubiA//metH//ascB//
go_0009442_7	ampD//sgbE//ispB//pdxY//upp//
go_0009443_5	appA//pflB//truD//
go_0009446_6	paaE//ampD//
go_0009447_6	queF//yidA//yihS//dhaM//kduD//acpH//bglA//gpp//
go_0009450_6	mltA//lyxK//entF//hisF//
go_0009451_6	narG//paaH//phoA//sthA//
go_0009593_4	
go_0009597_5	
go_0009636_4	hemD//fbaA//lgoD//narV//ubiD//
go_0009637_6	
go_0009651_5	
go_0009697_5	gldA//
go_0009758_2	eutB//
go_0009785_5	
go_0009970_6	pgi//waaF//wecB//
go_0009972_10	gabT//
go_0009992_5	fucA//abgB//dkgA//
go_0010033_4	
go_0010038_5	
go_0010039_6	dgt//
go_0010041_7	dusC//thiG//
go_0010042_6	hinT//
go_0010043_6	yjhG//bcsA//
go_0010045_6	selD//
go_0010106_6	
go_0010124_4	tyrB//guaB//mnmA//entB//puuD//ldtD//mazG//adiA//
go_0010133_7	pagP//
go_0010139_7	ydfG//
go_0010165_6	trpA//fucK//ftsI//rbsD//galM//nadA//tdh//sdhC//
go_0010212_5	glpD//
go_0010226_6	dxr//
go_0010243_5	
go_0010272_6	rluE//
go_0010273_4	ubiC//paaF//pgpC//
go_0010312_3	ilvE//
go_0010332_6	
go_0010350_6	
go_0010438_6	glnE//rluA//
go_0010447_5	pgpA//coaD//
go_0010468_6	edd//
go_0010498_6	ldcA//tdcB//eno//murB//
go_0010501_7	acnB//rsmC//
go_0010557_7	
go_0010608_7	recJ//
go_0010628_7	
go_0010629_7	opgE//
go_0010676_7	
go_0010699_4	btuE//lpxP//
go_0010810_5	
go_0010876_4	
go_0010911_5	
go_0010921_6	
go_0010951_8	
go_0010967_6	
go_0010974_7	
go_0012501_4	
go_0014070_5	nagZ//fucI//thrC//etk//dinB//nemA//rihB//hmp//dgoA//
go_0015031_5	chbG//glcE//coaA//ligA//sodA//mazG//apaH//yqhD//
go_0015074_6	
go_0015628_5	
go_0015670_6	selA//
go_0015673_9	yihV//
go_0015675_9	katG//
go_0015679_10	dgt//
go_0015682_8	thiL//
go_0015684_9	menD//glxR//argG//gudD//
go_0015685_8	glcD//pepD//
go_0015687_7	gnd//
go_0015688_6	tilS//trmH//
go_0015689_8	clsA//
go_0015691_9	sgbE//glcE//
go_0015692_8	rluC//
go_0015693_9	tynA//
go_0015696_6	entF//
go_0015698_7	mutY//
go_0015699_8	aspA//
go_0015700_8	birA//
go_0015706_6	mnmE//fadA//idi//
go_0015707_6	selD//napA//nrdE//tktA//
go_0015709_6	mpaA//
go_0015710_8	metF//phnN//
go_0015712_7	lpxT//
go_0015718_8	ygjK//
go_0015721_7	pgaC//glpB//arnB//
go_0015724_7	miaA//
go_0015726_8	dgt//
go_0015733_7	lsrK//
go_0015734_6	galE//
go_0015736_9	menE//
go_0015739_7	purF//
go_0015740_9	tdh//gor//argG//
go_0015741_10	murQ//uvrA//
go_0015747_6	insI-2//
go_0015748_6	lpxB//
go_0015749_7	deoD//fucI//yfbR//prpC//betB//mnaT//dkgA//
go_0015751_9	ybjG//glgC//
go_0015752_9	sgbH//ilvA//
go_0015753_9	hemG//pagP//
go_0015754_9	adk//
go_0015755_9	hcp//citE//etp//
go_0015756_9	waaS//serC//
go_0015757_9	gstA//uxuB//mobA//glnS//
go_0015760_8	argE//
go_0015761_9	glpD//
go_0015762_9	upp//
go_0015764_7	dusB//lpxD//paaK//
go_0015765_8	pgpA//ilvA//
go_0015767_9	cysG//alaS//tsaC//
go_0015768_9	ligB//aroB//napB//
go_0015769_9	aroC//
go_0015771_9	cysK//glcD//mutT//
go_0015772_7	nirB//epmB//yfbR//
go_0015774_7	adeD//
go_0015778_7	acpH//
go_0015793_7	puuA//hisH//
go_0015794_7	cmoA//fkpA//
go_0015795_7	eutD//sodA//
go_0015796_7	ilvI//
go_0015797_7	metK//ubiD//cobT//
go_0015803_7	feaB//dhaM//valS//
go_0015804_7	selA//ldtA//
go_0015806_6	dcm//
go_0015807_7	paoC//fabA//argG//katE//aldB//hemE//
go_0015808_8	ligB//frlB//
go_0015809_7	proS//
go_0015810_8	rsmC//alaS//
go_0015811_7	azoR//aphA//
go_0015813_6	gstA//mtlD//bacA//
go_0015814_7	waaS//
go_0015816_6	opgE//
go_0015817_7	psd//umpH//
go_0015818_7	prs//pyrE//
go_0015820_7	malP//ugd//epmC//pgpB//tsaC//
go_0015821_7	sgbH//thrA//
go_0015822_7	gnd//
go_0015823_7	ubiH//mnmG//mobA//pgi//tnaA//
go_0015824_7	paoC//waaP//truA//
go_0015825_8	nagZ//
go_0015826_7	otsB//azoR//murA//
go_0015827_7	serB//argI//epd//
go_0015828_7	yeaG//deoA//
go_0015829_7	pdxK//hemB//rffC//
go_0015830_7	curA//
go_0015833_6	pheT//pdxH//putA//yegS//rluF//dhaL//entF//pagP//murG//garL//
go_0015834_7	edd//ilvC//
go_0015835_6	hemB//
go_0015836_7	wecB//queG//
go_0015839_7	nrdD//
go_0015846_6	cynT//uxaC//
go_0015847_7	rffG//carA//gloB//ribC//hemC//
go_0015848_7	aspS//yfcF//
go_0015851_6	
go_0015853_8	rluF//prmB//
go_0015856_8	glpC//
go_0015857_6	rph//sad//
go_0015858_7	lacZ//fadJ//fucI//
go_0015860_7	idnO//eno//
go_0015861_9	rutC//sodA//
go_0015862_9	waaC//patA//
go_0015863_8	yidA//
go_0015864_8	yajO//
go_0015871_6	dgcZ//udk//ddlB//treA//
go_0015878_6	
go_0015879_9	rsmJ//
go_0015882_7	talB//
go_0015886_6	citE//malQ//
go_0015887_7	rnt//
go_0015888_6	cpdB//
go_0015889_6	murD//polA//mnaT//
go_0015891_6	trpE//
go_0015906_6	hemL//
go_0015909_8	gshB//
go_0015912_8	gdhA//
