# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	tesB//
go_0002097_8	rsmD//
go_0002098_9	glgX//trmO//fkpA//glgA//
go_0002099_9	rutE//ubiH//
go_0002100_9	gabD//
go_0002101_9	guaA//
go_0002128_7	yjjG//
go_0002131_9	tmcA//
go_0002132_9	bglA//
go_0002136_10	zwf//
go_0002143_9	luxS//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	waaB//
go_0002938_8	phnJ//
go_0002939_7	pykA//
go_0002943_8	argK//
go_0002949_8	betB//katE//pbpC//
go_0003333_7	mtn//ndk//narG//ndh//mltA//dacA//waaL//garR//dmsB//truB//puuC//fadK//fabG//
go_0005975_4	pflB//mazG//citE//dapD//treA//dkgA//tdh//argK//umuD//ydiO//gabD//thiG//thyA//yihV//entC//tdcE//
go_0005976_5	bioD//
go_0005977_6	lysC//
go_0005978_7	ispA//hisC//argC//moeB//
go_0005980_7	yfbR//aceB//fumA//
go_0005986_7	argI//
go_0005990_7	aspA//
go_0005992_7	nrdE//pepD//
go_0005993_7	cynS//waaU//rutE//
go_0005995_7	murE//
go_0005998_7	ulaG//
go_0006000_6	kefF//
go_0006001_7	lpxM//tsaB//
go_0006002_5	cmk//arnA//acs//
go_0006006_6	otsB//glgX//yhdJ//entF//pdeR//
go_0006007_7	dgcM//idi//
go_0006011_5	yciV//
go_0006012_6	tdh//
go_0006013_6	asd//
go_0006014_6	iscS//
go_0006015_7	fabD//mnmA//
go_0006020_5	leuD//
go_0006044_7	araA//
go_0006046_8	pta//glmU//
go_0006047_5	kduD//bioC//
go_0006048_6	sbcB//ulaF//lpxT//orn//
go_0006053_8	purF//
go_0006062_8	gcvH//
go_0006071_6	leuD//tag//
go_0006072_6	acnA//
go_0006082_4	pgpC//
go_0006083_6	hypF//cysM//abgA//
go_0006086_8	yeaE//dgoK//
go_0006090_8	rlmM//rfbB//yfeW//pyrF//dapA//tnaA//dmsB//
go_0006094_7	ilvH//cdsA//uvrC//moaE//mltF//folC//nadA//purF//nagK//
go_0006096_6	lplA//tilS//glgA//poxB//pdxJ//gapA//gnd//menC//puuE//gcd//dacA//trpD//ligA//
go_0006097_5	ispB//cfa//nrfB//puuB//metE//
go_0006098_6	sufS//nudB//sucA//araD//umpG//
go_0006099_4	hemE//mnaT//ushA//lpxM//gloC//gatZ//allB//bglA//metC//fabA//ribA//rlmJ//aroB//
go_0006103_5	tadA//clsA//kbaZ//xylB//
go_0006104_6	ulaE//
go_0006105_5	rdgB//
go_0006106_8	hcaB//
go_0006107_8	
go_0006108_8	bglX//thrA//sthA//plsC//
go_0006113_5	sdaA//guaC//
go_0006115_6	speE//
go_0006124_6	
go_0006144_6	
go_0006145_7	nrfC//
go_0006146_8	tsaD//
go_0006148_9	slt//
go_0006149_9	opgB//
go_0006150_9	rlmA//
go_0006152_7	hcaF//moaD//rsmA//ribA//ydfG//
go_0006154_6	accD//
go_0006161_9	gabD//
go_0006163_6	waaS//
go_0006164_7	dmsA//lipB//ulaD//dxr//
go_0006166_6	mobA//
go_0006168_7	ispG//guaB//
go_0006171_9	
go_0006172_9	serC//
go_0006177_9	dusC//
go_0006178_7	rsmJ//
go_0006183_9	argA//
go_0006189_10	sbcB//valS//
go_0006203_8	hdhA//glnE//
go_0006206_6	yjiA//treF//hpt//
go_0006207_8	ilvC//trpB//gph//relA//cysE//
go_0006208_7	cmoA//aroG//sufS//gadB//poxB//cdh//
go_0006209_6	rihC//
go_0006210_8	nfi//
go_0006212_6	mocA//rne//dacA//cueO//bfr//ackA//nanK//ygeX//garK//argA//
go_0006217_9	rsgA//
go_0006218_9	frc//
go_0006220_6	maeA//
go_0006221_7	uxuA//mocA//waaG//
go_0006222_9	
go_0006225_9	rpe//
go_0006226_9	metK//idnO//
go_0006227_9	entA//
go_0006231_9	glpX//
go_0006233_9	ppiC//
go_0006235_9	mhpB//
go_0006241_9	hcaC//
go_0006259_5	glcB//galM//paaK//
go_0006260_6	nanK//mtn//aroK//mutT//asnB//araD//araA//
go_0006261_7	nhoA//xylA//epd//
go_0006265_6	apt//bioH//
go_0006266_6	scpC//ygeX//rffG//
go_0006267_5	
go_0006268_9	truD//argB//
go_0006269_6	dnaE//
go_0006270_6	
go_0006271_7	
go_0006274_6	
go_0006275_7	
go_0006276_3	bfr//clsA//
go_0006281_6	yciA//argC//puuD//murF//mdh//alsK//rsgA//ada//lpxB//cobC//ppiA//araD//ldtE//bioB//fadM//dkgB//dxs//
go_0006283_8	
go_0006284_7	mcrB//hemH//gloC//rne//entE//mltC//
go_0006285_6	sbcB//adhP//patA//dmsB//
go_0006288_8	selA//ycjU//
go_0006289_7	
go_0006298_7	srlD//bcsA//rpiB//cdd//
go_0006301_7	
go_0006302_7	ssuE//hisA//
go_0006307_8	aphA//nudF//hpt//entD//recR//
go_0006308_6	aes//ilvM//paaE//rlmM//
go_0006310_6	hinT//gltD//lpxC//cheR//xylA//
go_0006313_4	hemH//
go_0006351_6	rlmB//nagK//
go_0006352_7	
go_0006353_7	
go_0006354_7	ilvN//
go_0006355_7	ubiE//
go_0006357_8	
go_0006364_9	surA//gph//gloC//glgC//
go_0006378_8	mutS//
go_0006396_7	pcm//paaG//yidA//rbsK//glnS//
go_0006397_8	fadJ//
go_0006399_8	carB//yieH//
go_0006400_7	nadE//phnI//tsaC//lpxC//menD//
go_0006401_6	mhpD//yjiA//alkB//ribB//allC//gatY//
go_0006402_7	uvrB//pheS//rhaD//yeaE//ssuE//pdxJ//proC//
go_0006412_6	nhoA//oxc//wecB//malQ//cmoA//
go_0006413_4	cfa//
go_0006414_6	
go_0006415_7	pyrB//prpB//
go_0006417_7	cheR//yfcF//
go_0006418_7	otsA//coaA//cobT//moaE//nagK//mrcA//rhaB//pphA//guaD//rnd//pfkA//
go_0006419_8	nrdB//
go_0006420_8	abgB//
go_0006421_8	rlmC//
go_0006422_8	mltC//
go_0006423_8	aroK//
go_0006424_8	uvrB//ribD//
go_0006425_8	acs//
go_0006427_8	hyaC//
go_0006428_8	patZ//
go_0006429_8	waaU//
go_0006430_8	dosP//menB//
go_0006431_8	asnS//
go_0006432_8	ldcA//
go_0006433_8	yihU//
go_0006434_8	lpxH//
go_0006435_8	sdhC//
go_0006436_8	cheB//
go_0006437_8	ybcF//
go_0006438_8	clsC//
go_0006448_8	
go_0006450_4	dmsC//tsaD//rfbC//acpS//gabD//leuD//
go_0006457_3	serA//galM//cpsG//prmB//entD//eutB//tsaE//
go_0006458_4	
go_0006464_6	malQ//chbG//uvrA//murC//yfcF//cysG//dapA//adiA//
go_0006465_6	hchA//hemE//dapD//
go_0006468_7	gshA//
go_0006470_7	narI//aroL//mpaA//arnT//selB//
go_0006473_8	maa//
go_0006474_6	rhaB//recO//hisC//
go_0006476_8	rffT//
go_0006479_5	thiG//gloB//rluD//mltF//mazG//mnaT//
go_0006486_5	prpB//
go_0006490_5	cobU//
go_0006508_5	yccX//lpoA//rsmE//thiG//mutT//paaE//eutD//yihX//dxs//argC//ampH//nadB//alaC//mtgA//apt//pheT//menH//murE//bioD//pdxH//yhdH//hcaC//nrfD//fadD//codA//tehB//rph//glcE//ogt//rbn//thrB//fabD//ubiH//
go_0006515_7	ubiH//kbaY//hcaC//trmI//edd//metB//ydiO//
go_0006517_6	pabC//pdeH//
go_0006518_5	adk//kbaY//
go_0006523_8	gadB//yeiG//
go_0006524_8	
go_0006526_8	metH//ftsI//yidA//deoC//malS//argA//tmcA//
go_0006527_8	gluQ//queA//malS//pyrF//entE//
go_0006529_7	metH//thiC//
go_0006530_7	yeaG//pdeF//rpiB//nrfC//
go_0006531_7	uvrB//
go_0006532_8	phnH//sodA//aroA//
go_0006535_8	cdd//lysS//pyrC//
go_0006537_8	insI-1//
go_0006538_8	phnL//hyaC//
go_0006541_7	yihX//ilvH//ligB//purA//tsaC//
go_0006542_8	sdhD//tauD//
go_0006543_8	
go_0006545_6	fcl//
go_0006546_6	edd//menB//spoT//
go_0006554_8	nrdE//lyxK//recF//
go_0006556_5	hycB//
go_0006559_6	waaY//
go_0006561_6	luxS//kdgK//
go_0006563_7	hisA//
go_0006564_8	psd//truD//aroA//napA//
go_0006565_8	malQ//ubiX//purN//gldA//pyrD//
go_0006566_7	mocA//
go_0006567_8	glnE//pyrB//dgcM//iscS//pfkA//ydiO//acpH//
go_0006569_7	abgB//
go_0006571_7	polA//gabT//
go_0006593_7	ribD//
go_0006598_8	deoA//garL//xapA//
go_0006605_6	
go_0006612_6	
go_0006614_8	
go_0006616_7	
go_0006629_4	pheS//acpS//
go_0006631_5	glpX//dhaM//yhdJ//rffH//murQ//
go_0006633_6	tdcG//yciA//ftnA//abgA//ravA//lipA//hemH//yjjG//recJ//yqhD//pheT//
go_0006635_6	rpe//sthA//ycaO//cysD//dacA//cueO//rnt//panB//gadB//ribD//pgaC//hisD//
go_0006636_7	
go_0006637_5	metL//glpK//ulaF//cynS//pgpC//
go_0006646_7	
go_0006650_6	
go_0006654_7	lpd//
go_0006655_7	tsaE//edd//
go_0006725_4	rsmH//
go_0006729_6	thiD//allD//
go_0006730_4	folP//cadA//prs//
go_0006734_9	
go_0006740_4	
go_0006741_9	
go_0006742_8	
go_0006744_7	yggF//uxuA//curA//cysS//patA//alsK//truD//uxaC//nfsB//mhpD//entD//lpoB//
go_0006749_5	galU//cyaA//
go_0006750_6	gloC//csdA//
go_0006751_6	nrdE//
go_0006757_5	uxuB//
go_0006760_5	adiA//
go_0006761_7	hmp//
go_0006771_5	alkB//
go_0006772_6	mcrA//metK//
go_0006777_5	sdhC//maeA//bioC//ldhA//entB//
go_0006779_6	dgoA//waaB//alr//gloA//pyrC//
go_0006780_7	menH//
go_0006782_7	tpiA//metC//ydfG//ilvB//
go_0006783_5	dacD//waaL//gdhA//argB//alaC//cpsG//nrfD//
go_0006790_4	cysG//rlmG//frlC//hisD//yihU//yjhG//menE//mtlD//ilvM//trmI//
go_0006791_2	tgt//gstB//alsK//
go_0006793_4	bioC//metG//
go_0006798_5	pgpA//
go_0006799_5	dosP//
go_0006801_5	dacA//dut//entA//
go_0006805_4	gldA//ligA//epmC//pepD//
go_0006807_3	frdA//trpB//yajO//
go_0006808_4	xylB//
go_0006810_4	aroA//garR//citX//ansA//appA//hisD//hmp//nudB//menD//rsuA//ulaG//coaE//folX//fkpB//mtlD//sthA//pgaB//acpS//cdsA//deoD//rihC//dgcM//menD//lpoB//pgpC//entC//yrfG//cynT//uidA//yfcF//ubiX//glxK//ligB//fre//sucD//hisC//ulaD//ybjG//gabD//hypB//pyrF//fes//nrdF//epd//rsmF//alaC//ynfH//menE//aspA//xthA//rsmJ//gph//ybiV//pheS//alsK//argS//ribC//pdxK//paaB//lysS//torA//ampH//rpiB//acpT//narG//patA//hemH//paaJ//dusB//acnB//metK//cheB//ynfH//mhpB//pykA//lpxT//gatD//
go_0006811_5	ulaD//malY//rsmF//leuD//ubiF//rhaB//moaE//rdgB//sseA//puuD//mngB//
go_0006812_6	udk//rsmC//
go_0006813_8	ybjI//ilvH//nrdF//arnT//narV//moaA//recJ//dgcT//
go_0006814_8	lysU//rsmC//frc//folD//
go_0006817_8	rnd//
go_0006820_6	rhaD//argH//mnmC//lipB//betB//
go_0006821_8	malQ//
go_0006824_8	purT//moeB//aes//hcp//
go_0006825_9	menF//
go_0006826_9	nrdB//
go_0006828_9	ulaD//
go_0006829_9	atoB//metF//dxr//dhaK//murG//
go_0006833_6	
go_0006835_8	astC//hcaE//
go_0006847_8	proC//
go_0006855_6	hcaF//rimK//lysA//frdD//torY//acpH//trmL//rnd//murG//pabA//nrdB//mepS//guaB//coaE//
go_0006857_7	tynA//narI//tatD//
go_0006863_7	lysC//
go_0006865_6	sthA//tsaC//fadB//umuC//nagB//surA//fbp//dmsC//lacZ//alaC//ansA//fucO//miaA//serB//hisD//xylB//nadE//dacA//speF//glk//queA//
go_0006868_7	phnO//
go_0006869_6	mutL//
go_0006874_8	
go_0006876_8	manA//
go_0006878_9	sucB//
go_0006879_9	paoC//argA//
go_0006880_4	ndk//ispG//
go_0006882_8	purC//
go_0006883_8	yahK//mazG//ubiC//
go_0006884_4	
go_0006885_9	mpaA//
go_0006886_5	
go_0006928_3	prpC//
go_0006935_4	dhaL//yieF//gapA//ydiO//rsmB//
go_0006970_4	hemG//yihX//tilS//galM//tgt//rlmD//
go_0006972_5	carA//ushA//metE//cpdB//csdA//
go_0006974_5	rpiB//fabA//dgcZ//rimK//rhaA//rlmA//bioF//dkgA//bglB//ribA//bioA//malZ//sseA//trmL//yfaU//fabG//glyA//allB//aroC//poxB//glmU//idnK//mutL//nrdE//atoB//rluC//cadA//maa//cpdA//tsaE//murA//purT//lpxM//pabC//hyaB//gshA//ldtA//torC//aldB//accC//ileS//mnmE//dacC//opgB//menH//trmO//ftnA//mngB//folA//ubiE//prpB//speC//aes//ppiA//aceA//cynT//acnB//dadA//tdcG//sucA//waaG//entC//dapA//gpt//tdcD//rpiB//serS//lpxH//menE//nirD//pgpA//speD//glnS//hisS//fucI//aldB//putA//opgB//gatZ//cmk//sodC//rsuA//adk//uxuB//pdxA//uxuB//galE//rlmH//azoR//panE//fadA//ilvN//udk//paaG//mnmC//
go_0006979_4	fadI//opgE//pgl//thiD//treC//ybjI//ulaD//frdC//yigB//rsmH//fucI//curA//hcaC//rimK//tynA//metF//cysH//nirB//waaO//hisH//narY//glpX//hyaC//dgcZ//argI//slyD//
go_0006986_5	insI-1//
go_0006995_6	btuR//bioF//
go_0007059_3	mnaT//adhE//
go_0007062_4	
go_0007155_3	alsK//
go_0007165_3	yghU//rluF//
go_0007234_5	
go_0007584_4	
go_0008033_9	bglX//rdgB//rlmI//carA//gpt//rnpA//pncB//aes//
go_0008104_4	
go_0008152_2	entF//dapB//pgi//bioH//cysE//gmk//tsaC//pdxB//yccX//galM//ribC//lplA//cobC//melA//pnp//ssuE//aspC//
go_0008156_8	
go_0008219_3	
go_0008272_6	pgaC//rbn//
go_0008295_6	nrdD//mak//trpE//
go_0008299_5	glnE//
go_0008360_4	malZ//nrdB//glpX//nrdA//murD//gor//rluA//mutT//fucK//yrfG//aldA//
go_0008610_5	trpE//tsaD//nfsB//mngB//
go_0008615_6	mtgA//rutD//pdxB//rffM//aceA//menC//folA//
go_0008616_8	rffH//rffM//purB//ubiF//trpA//lsrK//
go_0008643_6	ileS//sucC//tag//gpt//recF//tig//hemD//paaB//purF//gntK//ddlB//tktA//trpD//thiD//fabH//cdsA//hisC//srlD//
go_0008652_5	asnA//guaC//sthA//ogt//mmuM//coaA//rffH//adhP//
go_0008653_5	
go_0008654_5	treA//idi//tyrB//gapA//
go_0009050_6	asnA//ulaF//
go_0009052_6	argD//polB//malY//rhaM//sdhD//appA//
go_0009056_3	gpmA//
go_0009058_3	hisB//roxA//guaC//argF//
go_0009060_6	prpB//lipB//ampH//gltD//ybiV//gmk//pncB//
go_0009061_6	ppiA//luxS//hisD//prpC//gatZ//trpS//ynfF//hisA//menF//rutD//rnb//pdxY//fau//aroA//eptB//ligA//nudG//yfeX//lacZ//ppiA//rnt//
go_0009062_6	narV//
go_0009063_5	ydiF//entF//polA//
go_0009070_7	bglA//
go_0009073_6	tdcE//yghU//pinE//cof//mdh//dxs//kdgK//tyrS//yqaB//gcvH//rpiB//
go_0009081_5	amyA//kefF//
go_0009082_6	pphA//idnK//gcvH//fumC//thiE//argS//phnI//
go_0009085_8	talB//
go_0009086_7	patZ//folA//citG//pfkB//gstB//
go_0009088_8	pabA//icd//
go_0009089_6	lpxM//ribC//metL//dapD//rsmF//wzb//
go_0009090_8	surA//moaA//betB//sufS//
go_0009092_7	cysQ//
go_0009093_7	
go_0009094_6	nadK//rutD//fbaA//
go_0009097_7	ugd//argE//etk//nagA//pykF//
go_0009098_7	dgcZ//glmS//argI//ppk//hypB//aroA//
go_0009099_7	mrcB//aroK//prpC//nudB//hcaF//yccX//yfcF//
go_0009102_6	thiH//malY//cysS//acpS//solA//rluD//pgpC//ppsA//gabT//
go_0009103_6	pabB//cobT//frmB//betA//dhaM//yieF//lysS//wecC//moaA//
go_0009106_5	mnmG//
go_0009107_6	ugd//fadB//
go_0009108_6	phoA//
go_0009116_5	fabG//yjcS//
go_0009142_7	rffC//
go_0009143_7	aspC//
go_0009152_8	kdsB//
go_0009157_8	hisF//
go_0009166_7	aspA//epmB//
go_0009168_9	dcm//
go_0009220_8	cadA//alaS//
go_0009224_9	pgsA//
go_0009226_6	mrcA//nrfB//
go_0009228_7	aes//cysQ//pyrE//pheA//prmC//leuS//add//pabB//gntK//
go_0009229_6	metL//dhaL//
go_0009231_6	lpxH//gldA//sucC//gloB//yajO//spoT//lldD//
go_0009234_7	appA//mug//coaD//atoB//garR//pheA//yjhG//poxB//gloB//
go_0009236_6	folX//gldA//alr//rlmE//ydiF//fau//
go_0009237_4	ligB//tdk//
go_0009239_6	rffC//der//yciA//garD//opgE//yfcF//hisF//mltF//
go_0009240_6	aroC//
go_0009242_6	ilvA//talB//waaF//gloC//chbG//ushA//sucB//abgA//
go_0009243_7	rsmC//
go_0009244_7	frlB//ymdB//paaC//coaE//rsmB//dxr//queD//fre//uvrB//nrdB//waaH//menB//nirB//ilvM//asnS//rlmI//rsmA//deoC//ppsA//polA//scpB//ubiE//
go_0009245_6	atoB//acpS//trmL//pnp//trpS//epmC//yhdH//phnI//fabZ//
go_0009246_6	fumA//ribE//xylB//fabB//aroL//rsmF//
go_0009249_6	gmd//frdB//cpdA//
go_0009250_7	
go_0009251_7	pflB//
go_0009252_7	kdsC//yqhD//mngB//yihV//pabB//fadD//phoA//murA//fadK//lpxB//yfbR//eno//nth//glcF//moaA//pck//queG//dbpA//phnI//bfr//feaB//rlmD//mcrB//menH//menA//
go_0009253_8	sufS//nrdB//dnaE//ubiI//menE//betA//spoT//lpxM//rlmM//tdcB//
go_0009254_8	cdh//pdxB//uxaB//tilS//pdeL//pdxJ//alaS//trpD//sdhC//kdgK//yieF//
go_0009257_8	katG//hpt//rnpA//rsmH//
go_0009263_6	fabD//ghrB//
go_0009264_6	cpdB//yfaU//
go_0009265_7	hcp//
go_0009266_4	hyaC//dkgB//mltF//kefF//glgB//gloA//
go_0009267_5	cfa//dgt//
go_0009268_4	preT//
go_0009271_4	
go_0009273_5	
go_0009290_6	
go_0009294_5	fabB//
go_0009297_6	
go_0009298_7	etk//glk//paaZ//
go_0009305_7	murF//
go_0009306_4	
go_0009311_5	
go_0009314_4	bioA//fabZ//purF//rffC//ribE//entD//adiA//trpS//rffG//cysM//narZ//coaE//metF//slt//bglA//hemL//oxc//
go_0009372_5	glcD//fcl//galT//
go_0009396_6	pheA//rutB//
go_0009398_7	ldcA//
go_0009401_7	alsK//arsC//manA//nrdE//psd//menB//fadJ//glnS//murF//rpe//rpe//pdxJ//rimK//aphA//hchA//rpe//xylB//fumC//folX//coaE//
go_0009403_5	
go_0009405_4	
go_0009407_3	uvrB//
go_0009408_4	gntK//rhaM//hemF//paaA//miaB//pdeH//bioD//ldtE//rsmB//dcm//ugd//ybjI//hemL//argG//metK//frc//proA//aceA//gloA//deoA//fabZ//dnaQ//waaY//lpxC//frmA//hcaF//
go_0009409_4	sufS//accA//
go_0009410_4	accA//
go_0009411_6	hisG//aroF//pdeF//lysS//napA//paoC//waaG//tktB//thiL//
go_0009416_5	hdhA//lpxM//
go_0009423_8	codA//araA//menA//slyD//
go_0009432_5	panE//rsmI//argD//pykF//ispH//
go_0009435_9	uidA//mobA//upp//ydiB//sdhC//
go_0009436_6	maeA//upp//treF//cueO//
go_0009437_5	
go_0009438_5	
go_0009440_6	glcE//yfcF//tpiA//
go_0009442_7	waaY//ligA//apt//narY//yihT//
go_0009443_5	sodB//purC//etp//
go_0009446_6	yieF//nrfD//
go_0009447_6	narG//cpsB//carA//nanA//ushA//cmoA//argD//accA//
go_0009450_6	thiM//ubiG//puuB//aphA//
go_0009451_6	gpsA//nudG//sucD//thiL//
go_0009593_4	
go_0009597_5	
go_0009636_4	menF//fau//coaD//rhaM//mnmE//
go_0009637_6	
go_0009651_5	
go_0009697_5	ulaG//
go_0009758_2	scpC//
go_0009785_5	
go_0009970_6	rdgB//mltA//purT//
go_0009972_10	menA//
go_0009992_5	pyrB//rutD//selA//
go_0010033_4	
go_0010038_5	
go_0010039_6	icd//
go_0010041_7	recJ//fabA//
go_0010042_6	alaA//
go_0010043_6	rhaM//proC//
go_0010045_6	polB//
go_0010106_6	
go_0010124_4	cysE//ppc//mdh//mmuM//rffM//paoC//rnpA//ldhA//
go_0010133_7	dkgB//
go_0010139_7	gcl//
go_0010165_6	rsmH//ispA//glcF//aceA//tdh//mltF//dhaK//clsC//
go_0010212_5	ubiG//
go_0010226_6	aroE//
go_0010243_5	
go_0010272_6	purF//
go_0010273_4	allD//tgt//rsmI//
go_0010312_3	thiG//
go_0010332_6	
go_0010350_6	
go_0010438_6	idnO//rutE//
go_0010447_5	pgpC//waaO//
go_0010468_6	wecC//
go_0010498_6	trpS//fadM//ddlB//malS//
go_0010501_7	nadB//phnJ//
go_0010557_7	
go_0010608_7	gpsA//
go_0010628_7	
go_0010629_7	umpH//
go_0010676_7	
go_0010699_4	tadA//alr//
go_0010810_5	
go_0010876_4	
go_0010911_5	
go_0010921_6	
go_0010951_8	
go_0010967_6	
go_0010974_7	
go_0012501_4	
go_0014070_5	fbp//yqhD//lpxP//alr//ilvB//betB//mazG//lysU//fdhF//
go_0015031_5	gatZ//yigL//adk//insI-2//guaD//yjcS//phnH//ftsI//
go_0015074_6	
go_0015628_5	
go_0015670_6	ybjG//
go_0015673_9	spoT//
go_0015675_9	argB//
go_0015679_10	tynA//
go_0015682_8	hcaB//
go_0015684_9	cmk//phnH//rfe//mhpC//
go_0015685_8	metE//hisC//
go_0015687_7	entE//
go_0015688_6	ilvM//polB//
go_0015689_8	ldhA//
go_0015691_9	nanK//ravA//
go_0015692_8	glxR//
go_0015693_9	ruvC//
go_0015696_6	purT//
go_0015698_7	nfi//
go_0015699_8	frdA//
go_0015700_8	proC//
go_0015706_6	dgoD//tesB//rbsD//
go_0015707_6	pdxA//patZ//plsB//fcl//
go_0015709_6	nrfD//
go_0015710_8	dhaM//lpoA//
go_0015712_7	yieH//
go_0015718_8	rlmC//
go_0015721_7	glgB//pykF//xylA//
go_0015724_7	tpiA//
go_0015726_8	garL//
go_0015733_7	fre//
go_0015734_6	rsuA//
go_0015736_9	aldB//
go_0015739_7	menB//
go_0015740_9	fbp//avtA//caiD//
go_0015741_10	pgaB//purN//
go_0015747_6	glcE//
go_0015748_6	fucO//
go_0015749_7	lpcA//pyrB//glpK//malQ//trpC//poxB//nth//
go_0015751_9	sucB//rlmC//
go_0015752_9	pta//aceF//
go_0015753_9	thiE//purU//
go_0015754_9	patA//
go_0015755_9	cynS//entF//alr//
go_0015756_9	glk//eptC//
go_0015757_9	lpxT//sbcB//rihB//narZ//
go_0015760_8	argA//
go_0015761_9	lpd//
go_0015762_9	sdhB//
go_0015764_7	paaH//def//dmsB//
go_0015765_8	ubiX//chbF//
go_0015767_9	hpt//pnp//ilvE//
go_0015768_9	psuG//hinT//ogt//
go_0015769_9	accC//
go_0015771_9	glpA//fucK//aspS//
go_0015772_7	bfr//pyrH//caiB//
go_0015774_7	hpt//
go_0015778_7	wrbA//
go_0015793_7	polA//recF//
go_0015794_7	nanK//waaS//
go_0015795_7	betA//birA//
go_0015796_7	bioF//
go_0015797_7	yggF//tauD//tauD//
go_0015803_7	argH//glmU//wcaJ//
go_0015804_7	fumA//pgaC//
go_0015806_6	lpxP//
go_0015807_7	hmp//pgpB//dacA//glgB//bioB//metE//
go_0015808_8	hpt//tdcB//
go_0015809_7	rbn//
go_0015810_8	ruvA//trmL//
go_0015811_7	napA//upp//
go_0015813_6	tpiA//lyxK//gcvH//
go_0015814_7	malS//
go_0015816_6	speB//
go_0015817_7	tsaC//cysC//
go_0015818_7	fadA//glpK//
go_0015820_7	rffT//puuA//adk//clsC//spoT//
go_0015821_7	tnaA//aphA//
go_0015822_7	lpxT//
go_0015823_7	sodB//folE//dgcZ//puuE//tdcD//
go_0015824_7	mog//pgpC//ulaE//
go_0015825_8	csdA//
go_0015826_7	hisD//treA//speG//
go_0015827_7	ubiD//purA//fcl//
go_0015828_7	ugd//rluC//
go_0015829_7	nfsB//arnB//recR//
go_0015830_7	frdC//
go_0015833_6	fabI//dut//nagA//puuC//pgpC//gadA//pgsA//proB//adhE//sbcB//
go_0015834_7	lacZ//narI//
go_0015835_6	yidA//
go_0015836_7	hemG//garD//
go_0015839_7	rutC//
go_0015846_6	pgaD//insI-1//
go_0015847_7	yjjX//menH//gstB//glcF//paaH//
go_0015848_7	yhdJ//hisI//
go_0015851_6	
go_0015853_8	citE//ulaG//
go_0015856_8	purA//
go_0015857_6	pyrC//purN//
go_0015858_7	proA//paaG//dacA//
go_0015860_7	lipA//coaE//
go_0015861_9	sodB//gloC//
go_0015862_9	nrdD//cadA//
go_0015863_8	ubiD//
go_0015864_8	metK//
go_0015871_6	pykF//yqaB//rffC//moaE//
go_0015878_6	
go_0015879_9	tatD//
go_0015882_7	uxaC//
go_0015886_6	pykF//yihT//
go_0015887_7	lpoA//
go_0015888_6	tktA//
go_0015889_6	aceA//rutD//pdeL//
go_0015891_6	pheS//
go_0015906_6	rutC//
