#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct 10 15:03:56 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/datasets_bnumbers/gos_bnum.txt
GO_0000018_7	b4322//rpnB//b1391//b2628//
GO_0000910_4	b0410//b0463//b2995//b3364//b2701//b0573//b3345//b2630//b0981//b2427//b3620//b0112//b3539//b3360//b0962//b2399//b1557//b2554//
GO_0000917_6	b3205//b4079//b4160//b1902//b4311//
GO_0000918_6	b0311//b3907//b1324//b1439//
GO_0000920_3	b2611//b1186//b3358//b0061//b3155//
GO_0000921_6	b4149//
GO_0000966_8	b3857//b0001//b1739//b0339//
GO_0000967_10	b2541//b3518//b3981//
GO_0001101_4	b1395//b0153//b3564//b1805//b4018//b0109//b2865//b2551//b0469//b3041//b1603//rpnC//b1184//b0092//b0106//b4221//b1955//b2533//b2523//b1012//b0111//b1047//b2601//b2481//b3241//b3857//
GO_0001121_7	b1922//b2739//
GO_0001123_8	b1093//
GO_0001124_8	b3458//
GO_0001407_7	b1467//b0724//b3989//b4356//
GO_0001505_4	b0878//b1961//b0339//b2389//b2496//b1015//b2079//b3737//b4129//b3496//b3074//b0856//b4259//b2801//b2155//b2417//
GO_0001510_5	b4394//b4011//b0605//b0325//b3507//b2310//b4050//topAI//b0571//b3181//b0143//b3292//b2774//b1105//b1224//b1489//b1435//b2678//b0349//b2168//b0616//b0596//b0997//b3704//b0175//b1526//b0507//b2476//b2570//b2107//b2684//b3166//b3528//b1753//b1917//b3056//b0687//b4153//b1715//b3745//
GO_0001514_8	b2786//
GO_0001522_7	b2047//b3939//b1289//b1427//b3037//b3216//b2793//b4301//b2132//b0863//b0036//b3230//b3094//
GO_0001539_4	b2428//b1277//b1275//b3631//b1879//b2843//b2565//b2526//b3806//b3883//b4484//b3782//b1469//b1955//b1707//b1900//b3770//b0195//b0506//b2906//b0506//b4100//b2808//b0486//b4143//b1473//b1084//b0024//b2923//b3479//b1466//
GO_0001558_5	b3181//b0436//b2503//b2042//b4142//b1664//b3357//b2376//
GO_0001561_6	b4289//
GO_0001666_4	b1819//
GO_0001676_6	b3478//b2023//b2431//
GO_0001680_11	b0727//
GO_0001682_11	b1493//
GO_0001731_7	b4467//
GO_0001762_6	b2358//
GO_0001887_4	b3067//b2871//b3498//
GO_0001896_5	b0365//b0794//b3244//b2130//
GO_0001907_5	b1623//b2057//b1089//b1467//
GO_0001932_8	b1427//b2329//
GO_0001934_9	b0345//
GO_0002047_6	b1682//b0184//
GO_0002097_8	b1413//yeeL//b4177//b1856//b1192//b4666//b1520//b0176//b1601//b0444//b3509//b2386//b2109//b0644//b0739//b4565//b2748//b0417//b1200//
GO_0002098_9	b0350//b0423//b2235//b4306//b4118//b3463//b3642//b0957//b3540//b2883//b0750//b0912//b2140//
GO_0002099_9	b3296//b0350//
GO_0002100_9	b3288//
GO_0002101_9	b4465//b2501//
GO_0002128_7	b2606//b3141//b3843//b0949//
GO_0002130_8	b1886//
GO_0002131_9	b1327//
GO_0002132_9	b1488//
GO_0002136_10	b1039//
GO_0002143_9	b3641//b3110//mtnN//b4474//b2512//b2236//
GO_0002181_7	b3591//b0599//
GO_0002183_5	b3188//
GO_0002184_8	b4092//
GO_0002188_6	b0446//
GO_0002190_6	b0918//
GO_0002192_8	b0069//
GO_0002252_3	b0014//b2552//b2079//b0245//b0979//b2758//b1731//b0997//b1440//b2527//
GO_0002790_6	b0003//b1077//b1800//b2730//b0183//b0043//b0461//
GO_0002937_9	b1611//
GO_0002938_8	b1435//
GO_0002939_7	b3512//
GO_0002943_8	b1871//
GO_0002949_8	b4144//b0968//b1241//b1433//
GO_0003333_7	b4479//b3700//b3659//b4483//b0245//b2053//b0996//b3080//b4374//b3190//b4137//b2904//b1827//b1743//b0233//b2577//b0805//b0534//b2302//b1695//b0088//b1622//b1988//b1852//b1881//b2634//b1863//b4335//b3034//b3326//b0166//b3961//b3981//b0835//b4029//b1842//b4266//b0186//b3631//b3317//b1783//b3983//b1526//b1237//b3481//b2725//b2628//b1176//b1704//
GO_0005975_4	b0092//b3360//b0233//b3395//b3092//b1221//b1175//b3994//b3455//b0867//b3639//b3934//b1844//b0513//b2409//b0969//b3916//b3170//b2811//b4251//b0507//b2787//b0680//b3721//b2716//b1515//b3590//b2168//b4389//b1535//b0875//b3494//b1693//b3963//b1434//b4112//b0896//b0111//b0938//b2916//b3662//b2882//b0281//b3875//b3703//b0133//b3203//b0120//b3957//b2170//b1473//b1061//b3892//b2134//b0036//b0972//b0635//b1362//b1714//b0693//b2329//b3919//b2382//b0363//b3877//srkA//b1250//b0315//b3788//b1733//b2140//b3416//b2184//b3559//b3493//b2049//b3885//b4011//b3541//b0483//b1790//b4254//b2566//b1339//b2702//b1602//b4028//b4393//b2688//b2149//msrP//b2075//b2048//b0368//b3615//b3200//b2302//b1991//b4085//b0642//b2558//b1224//b2265//b2159//b1306//b4118//b3606//b0490//b4618//b2336//b0265//b0659//b3132//b2236//b3744//b1863//b0604//b0081//b2224//b0827//b0876//b4213//b1271//b1404//b2399//b0211//b4194//b2132//b4297//b2215//b2314//b3959//b0695//b4453//b0405//b3647//b3892//b0676//b2301//b0238//b0411//b3794//b3901//b2208//b4315//b0221//b1617//b0635//b1141//b1197//b1926//b2207//b4079//b0924//b2545//b1930//yeeL//rhmD//b3344//b4113//b0167//b2609//b4112//b1220//b1505//b3050//b3081//b1606//b2381//b0171//b2608//b0722//b4077//b0481//b0134//b2801//b2264//b0068//b1786//b0526//b2576//b1469//b4214//b0572//b1384//b1191//b0879//b0828//b1473//b0473//b2261//b1901//b3562//b0169//b2520//b2517//b3509//b2146//b4421//b2061//b2283//b4394//b3953//b0799//b0225//b4005//b0737//glsA2//b2888//b4087//b4240//b3957//b1314//b0401//b0333//b1620//b3907//b2903//b3902//b2029//b0345//b0990//b4361//b2148//b3219//b2150//b4291//b1493//b2292//b1774//b1856//b1439//b3857//b2527//b3884//b0809//b3089//b3786//b1913//b2556//b1107//rpnA//b4373//b2126//b0889//b4291//b3943//b1258//b3168//b0717//b3359//b0943//b2548//b2128//
GO_0005976_5	b3234//b2592//b3753//b1014//b0555//b2573//b1711//b2822//b4352//b0978//b3624//b1201//b3121//b4088//b3193//b1790//b0981//b1445//b2745//b0819//b1432//b1288//b1445//b4152//b2990//b0620//b4083//b0649//b1260//b2021//b2666//b0151//b3225//b0930//b0287//b0842//b2053//b0589//b3517//b0876//b4419//b0948//b0934//b3390//b2497//b0781//b0768//b1327//b2733//b4193//b1258//b4322//b0688//b1838//b0860//b2131//b3751//b3258//b0795//
GO_0005977_6	b0636//b0974//b2845//b3717//b0639//b4240//b1120//b3927//
GO_0005978_7	b2792//b4544//b2125//b0915//
GO_0005979_8	b4381//
GO_0005980_7	b4428//b0062//b1291//
GO_0005981_7	b2095//
GO_0005984_5	b2203//b2203//b1840//b3181//b1808//b1379//b3831//b0589//b3110//b2676//b3376//
GO_0005985_6	b3960//
GO_0005986_7	b1731//
GO_0005988_6	b2834//b1637//
GO_0005990_7	b3023//b3936//
GO_0005991_6	b2492//b1662//b2213//b4602//b1008//
GO_0005992_7	b1270//b2041//
GO_0005993_7	b4146//b0627//b2009//
GO_0005994_6	b1007//
GO_0005995_7	b0774//
GO_0005996_4	b1764//b2077//b2870//b2507//b4115//b0166//b3588//b0604//b1040//b2057//b2545//b4067//b1336//b0596//b4613//b3250//b1303//b0979//b4201//b1399//hprS//b0757//b3358//b3234//b0771//b0214//b3063//b1086//b0763//b2836//b0006//b3032//b2785//b2380//b1130//b3155//b4315//b4159//b1388//b3095//b4269//b1692//b4403//b4067//b2246//b3833//b3724//b0653//b2812//b3642//b1386//b3807//b4238//hxpB//b4189//b1192//b3424//b3502//b4125//b1658//b0852//b1103//b1323//b0999//b3341//b1104//b0557//b0768//b0775//b1475//b3566//b0823//b0571//b3309//b2819//b4082//b1327//b0601//b3136//b1620//b3366//b0980//
GO_0005997_6	b0566//
GO_0005998_7	b1352//
GO_0006000_6	b3360//b3234//b0614//
GO_0006001_7	b2179//b0763//
GO_0006002_5	b0601//b2734//b4372//
GO_0006004_6	b3465//b2133//b4022//b1227//b2980//b0003//
GO_0006006_6	b0028//b4356//b0435//b1863//b1110//b4191//b1702//b1200//b1895//b1326//b0015//b1192//b2349//b1120//b3836//b0808//b1823//b3291//b2926//b0794//b3705//b2751//b3480//
GO_0006007_7	b1259//b0160//b2025//
GO_0006011_5	b0325//
GO_0006012_6	b4227//b1450//b2553//b0887//b1319//b2231//b0904//b1294//b1987//
GO_0006013_6	b2479//b0497//
GO_0006014_6	b0887//b0144//b3730//
GO_0006015_7	b2134//b2661//
GO_0006020_5	b4350//
GO_0006022_5	b1326//b1696//b2378//b3564//b2670//b2869//b3244//b1826//b2542//b2234//b3091//b0556//b4337//b2742//b3832//b2082//b2955//b2264//b3657//b1258//b0020//b2788//b3432//b0893//b3958//b0623//b1110//b1584//b3148//b0842//b4484//b0874//b3390//b3429//b1786//b1282//b4208//b2553//b4081//b3720//b1645//b0531//b2326//b3845//b2284//b2435//b0074//b1225//b0131//b3517//b0245//b1269//b2794//b0410//b1090//b0077//b4349//b3474//b4339//b1844//b3213//b0191//b1412//
GO_0006023_6	b2689//b0621//b0330//b0088//b3669//b0564//b0002//b0586//b3981//b0732//b3256//b2316//b0551//b2121//b3486//b2689//b2493//b2297//b2556//b3447//b3546//b0784//b0593//b1080//b2570//b2411//b1272//b3950//b1704//b4219//b4394//b1210//b4025//b2594//b4220//b1718//b3326//b0546//b2903//
GO_0006024_7	b2380//b1066//b3193//b2865//b2140//b2552//b0344//b1276//glsA2//b2961//b2761//b0330//b3376//b0448//b4130//b2315//b2521//b3897//b2576//b2022//b0605//b2919//topAI//b3790//b3470//b0153//b0889//b3512//b2154//b0406//b4231//b3172//b0101//b0622//b1513//b3208//b1074//b0448//b4050//
GO_0006026_6	b0169//b3309//b3363//b3754//b2143//b4074//b4170//b1410//b1440//b1226//
GO_0006027_7	b0731//b1896//b3005//b0632//b4083//b1695//b0556//b2049//b2782//b0169//
GO_0006040_5	b3330//b1828//b0867//b0879//b0652//b0641//b3155//b0835//b0573//b3894//b0942//b0047//b2133//b0053//b4004//b0179//b2086//
GO_0006044_7	b1804//b3998//b1189//b0591//b2910//
GO_0006046_8	b0059//b2507//b3408//b3819//
GO_0006047_5	b1866//b1317//b0509//b3164//b0983//b3850//b3387//
GO_0006048_6	b2327//b0642//b3035//b0475//b1653//b0166//
GO_0006050_6	b0149//
GO_0006051_7	b1269//
GO_0006053_8	b2430//
GO_0006054_6	b4239//b0757//b2156//b3643//b2170//b4123//b0446//
GO_0006056_6	b0566//
GO_0006057_7	b1664//
GO_0006059_6	b4177//b1072//b0553//b2406//
GO_0006060_7	b0785//
GO_0006062_8	b2154//
GO_0006063_5	b1163//b0583//b3529//b0097//b3462//b1505//b2415//b3838//b0077//
GO_0006064_6	b2156//b0794//b0197//b1410//b3203//b1475//
GO_0006066_4	b1829//b1278//b0819//b3950//b2179//b3781//b2892//b1047//b3162//b2108//b3256//b4347//b3665//b0091//b4306//b4476//b0045//b0934//b0988//b0096//b1375//b0822//b1344//b2091//b0410//b1805//b3303//b0328//b4667//b2064//b4352//b1625//
GO_0006067_6	b3955//b4089//b0545//
GO_0006071_6	b0336//b3241//b3148//b1564//b2910//b3990//b1808//
GO_0006072_6	b0092//b1317//b0231//b3244//b0724//
GO_0006073_6	b2523//b0470//b0051//b0584//b2699//b4072//b2049//b0062//b2177//b4391//b4481//b2620//b1683//b2962//b3786//b3664//b0339//b2285//b3963//b0611//
GO_0006081_4	b0078//b0401//b4161//b1978//b0481//b2566//b1870//b1592//b2715//b4214//b0138//b1912//b3539//b4374//b2746//b1633//b2074//b2138//b1876//b0071//b0766//b3358//b2474//b2901//b0733//b3809//b2098//b1832//b3268//b2367//b0186//b2328//b2523//b1815//b3316//b0167//b4189//b0599//b0491//b4190//b2717//b3753//b2937//b3093//b1711//b0153//b2492//b3849//b1263//b0429//b0928//b2379//b2553//b0575//b2594//b4312//b2554//b3959//b3835//b0724//b0189//b3029//b3918//b1226//b3238//b0444//b4398//
GO_0006082_4	b3064//b3303//b4323//b3812//b2904//b3116//b0238//b1595//b2813//b2157//b3363//b2370//b2026//b4101//b3025//b2373//b0463//b3594//b0534//b1291//b1944//b1018//b4043//b4033//b2430//b3546//b2170//b1117//b0334//b0102//b1748//b4019//b3156//b0588//b4365//b4559//b2779//b2905//b1284//b3452//b2551//b3712//b1350//b0394//b1158//b3210//b2627//b1679//b4382//b0629//b1778//b2197//b3410//b0028//b0867//b0895//b2901//b1008//b3474//b2697//b2835//b4083//b0136//b2765//b0974//b1194//b3279//b4202//b0058//b3704//b0728//b2996//b2037//b2128//b4705//b3469//b3662//b0450//b4230//b2168//b1023//b1775//b4095//b0864//b0957//b3679//b2438//b0831//b1082//b4687//b1916//b3331//b1719//b1340//b0518//b3306//b3540//b4381//b0492//b0167//rpnC//b1955//b2163//b2910//b2781//b2094//b4043//b2362//b4055//b1100//b3539//b3349//b0237//b2818//b4020//b3828//b3032//b0113//b1812//b0995//b1623//b0590//b4065//b3707//b3224//b4242//b1250//b0925//b3693//b2333//b4375//b3585//b4180//b1314//b1352//b4664//b3297//b2114//b4267//b2388//b3057//b2735//b0813//b3176//b1844//b1296//b3621//b0093//b2748//b4313//b3567//b4142//b1049//b2551//b3076//b3786//b1133//b3320//b0111//b4137//b0995//b4046//b0857//b2344//b3426//b2517//b3751//b1344//b2369//b0004//b3845//b2952//b4193//b1593//b2690//b4003//b1885//b1257//b2255//b3880//b2057//b4245//b1535//b3825//b3128//b3127//b2199//b3688//b0696//b1766//hxpB//b1575//b1362//b3525//b3991//b2575//b0058//rpnC//b2770//b2519//b3580//b0369//b3605//b2836//hprR//b4146//b0836//b2869//b0032//b4501//b0185//b0998//b0863//b3412//b2697//b1564//b4318//b3566//b4024//b1077//b3659//b3196//b4046//b0556//b2619//b3073//b3114//b2179//b3588//b4380//b0383//b0346//b3634//b0683//b4099//b4152//b4000//b3095//b0781//b1694//b0425//b3213//b1438//b3407//b1592//b0738//b3344//b3647//b2949//b2808//b1187//b0758//b0106//b4071//b3022//b0281//b3671//b0752//b0450//b0782//b4391//b2945//b1194//b3958//b0082//b2745//b2820//b2414//b3182//b0614//b4059//b1133//b2992//b3709//b4682//b0220//b2361//b2774//b4000//b0225//b2744//b2901//b1265//b3231//b0173//b1261//b1772//b2573//b0243//b2531//b1204//b2156//b1021//b3927//b2684//b2767//b1447//b1728//b3916//b0776//b1715//b2867//b2923//b3669//b3826//b4115//b2349//b4097//b2777//b0153//b4198//b2023//b3625//b1433//b0210//b4477//b3645//b2752//b2132//b1610//b1126//b0902//b1061//b3375//b4382//b4480//b0073//b1220//b3046//b1347//b2029//b1683//b1506//b3432//b0776//b3613//b2041//b4120//b0269//b3395//b0697//b4313//b2308//b3860//b0470//b2620//hxpA//b3502//b1477//b1712//b3068//b1658//b1888//b1270//b1853//b4118//b1086//b2130//b1127//b2998//b2507//b1710//b2933//b1105//b3683//b0591//b2198//b4065//b0860//b4161//b3732//b1220//b1409//b3551//b1780//b3182//b2058//b0460//b4227//b2537//b0662//b3464//b3845//b0611//b1613//b1745//b2511//b1617//b0063//b2436//b1090//b2427//b0853//b2400//b2733//b3022//b2327//b0447//b0299//b3339//b1544//b0497//b0675//b0956//b4361//b2125//b0272//b3091//b2965//b2630//b1135//b3844//b0997//b4078//b2922//b0365//b0386//b0932//b1069//b1360//b2665//b2147//b2545//b3599//b0452//b1493//b4028//b2925//b1819//b3657//b4225//b0832//b1764//b1089//b4214//b3447//b0054//b2594//b2755//b0189//b0068//b3893//b2314//b4362//b3116//b0681//b1924//b4014//b3985//b1159//b1099//b2347//b2785//b0397//b0572//b2537//b1863//b0106//b2567//b0815//
GO_0006083_6	b2841//b1123//b4077//b3664//b2177//b3189//
GO_0006084_6	b0840//b1622//
GO_0006085_7	b2155//b0182//
GO_0006086_8	b2150//
GO_0006089_5	b0470//b3582//b0060//b1851//b0892//b0167//b1324//b1320//b3049//maoP//b1514//b3835//b0907//b1393//b4480//b2131//b1444//b2630//b4128//b3781//b3954//b0777//b3040//b4613//b2587//b2330//b1298//b3367//b4464//
GO_0006090_8	b4291//b2284//b3735//b3907//b0751//b3897//b3358//b1265//b0349//b1998//b4415//b1924//b0261//b0076//b1861//b2661//b0828//b1320//b2100//b3025//b0641//b2215//b4170//b0463//b4073//b0184//b1688//b1809//b3883//b1677//b2976//
GO_0006091_4	b3825//b0929//b3384//b4079//b3147//b2108//b2923//b1592//b3686//b3592//b0804//b2380//b0112//b3181//b2870//b0937//b3990//b0956//b3519//b4297//b0696//b4383//b0597//b2294//b3114//b3299//b1435//b1790//b3121//b1887//b1025//b3512//b1492//b0090//b0863//b2406//b1550//b3193//b2780//b2882//b4073//b0695//b0090//b3682//b4172//b3849//b0300//b1660//b2947//b3393//b1854//b2257//b0337//b3012//b2011//b3368//b4096//b2024//b0113//b0634//b2896//b2201//b2725//b4123//b2616//b0635//b0996//b1397//b3793//b3609//b3540//b4485//b1450//b0797//b3349//b0824//b3706//b4383//b1540//b1888//b0603//b1992//b1513//b1091//b1737//b0191//b2545//b4465//b2307//b4311//b0551//b3567//b4267//b2179//b0096//b0443//b0521//b2020//b2004//b3683//b2373//b3556//b1252//hxpA//b0411//b3424//b3828//b1676//b0215//b2566//b3515//b0213//
GO_0006094_7	b3344//b1985//b1374//b1178//b3783//b3863//b3199//b2845//b0970//b1612//
GO_0006096_6	b2919//b3919//b0134//b0208//b3630//b4315//b3628//b3423//b2898//b3271//b4193//b3829//b1621//b1098//rpnC//b2867//b3255//b2246//
GO_0006097_5	b1695//b1654//b1288//b4194//b0535//
GO_0006098_6	b2093//b3934//srkA//b0783//b1009//
GO_0006099_4	b0273//b0284//b3118//b1824//b1427//b3737//b1618//b4506//b1077//b2255//b4428//b1348//b0066//b0659//b0554//b3719//b1853//
GO_0006101_6	b2022//b3832//b3206//b3585//b0194//b4460//b2184//b2342//b0330//b0104//b3986//b0535//b1232//b2421//b0623//b0948//b1580//
GO_0006103_5	b3750//b2889//b0328//
GO_0006104_6	b0592//b0604//b1851//
GO_0006105_5	b3522//b1176//b2530//b3087//b1515//b3173//b0893//b0918//
GO_0006106_8	b3457//
GO_0006107_8	b4557//
GO_0006108_8	b1895//b1874//b4098//b0062//b0110//
GO_0006109_6	b2026//b3030//b3869//b3891//b0817//b2507//b3952//b0036//b0410//
GO_0006112_5	b0158//b3076//b3358//b4029//b1314//b0805//b0466//b4141//
GO_0006113_5	b3071//b1340//b2803//b1649//b1790//b2042//b2182//b4467//b2064//b0518//b0597//b3197//b3770//
GO_0006115_6	b1084//
GO_0006117_5	b4069//
GO_0006124_6	b2785//
