# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	tcdA//
go_0006166_6	hisI//
go_0006168_7	def//dadA//
go_0006171_9	
go_0006172_9	yfaU//
go_0006177_9	waaA//
go_0006178_7	ppk//
go_0006183_9	mog//
go_0006189_10	kbaY//araB//
go_0006203_8	sucB//queG//
go_0006206_6	pykA//dacA//thrC//
go_0006207_8	hcaC//nanK//galT//kbaY//yghU//
go_0006208_7	cmk//yghU//hyi//citE//dadA//nagK//
go_0006209_6	adk//
go_0006210_8	tsaB//
go_0006212_6	ahr//edd//cysN//ispH//yccX//pdeF//hcaC//ppsA//folC//fadH//
go_0006217_9	cobC//
go_0006218_9	thiH//
go_0006220_6	fucO//
go_0006221_7	pyrC//rlmM//ada//
go_0006222_9	
go_0006225_9	waaH//
go_0006226_9	moaA//dadA//
go_0006227_9	garD//
go_0006231_9	tyrB//
go_0006233_9	pnp//
go_0006235_9	ddlA//
go_0006241_9	adeD//
go_0006259_5	ldcC//gdhA//glxK//
go_0006260_6	wzc//bioA//alr//lysA//thiG//sucA//truA//
go_0006261_7	aroH//yfbR//paaB//
go_0006265_6	gutQ//ftsI//
go_0006266_6	oxc//rfbD//gudD//
go_0006267_5	
go_0006268_9	fabH//yrfG//
go_0006269_6	pgk//
go_0006270_6	
go_0006271_7	
go_0006274_6	
go_0006275_7	
go_0006276_3	proB//add//
go_0006281_6	pdxB//kbaZ//panE//ubiD//fklB//ddlB//gcd//ilvE//ispH//der//tilS//rsmI//hemG//mltD//umuC//menD//gadB//
go_0006283_8	
go_0006284_7	curA//pgm//hcaE//purC//ilvN//pheA//
go_0006285_6	yjjG//pabC//mutS//appA//
go_0006288_8	folM//mog//
go_0006289_7	
go_0006298_7	rlmI//cpsG//ubiI//folD//
go_0006301_7	
go_0006302_7	rutA//yqaB//
go_0006307_8	selA//dgcM//mazG//iaaA//paaK//
go_0006308_6	puuD//rffG//kbaY//zwf//
go_0006310_6	rutD//pdeH//adiA//yagF//gloB//
go_0006313_4	narY//
go_0006351_6	mhpA//fadI//
go_0006352_7	
go_0006353_7	
go_0006354_7	cueO//
go_0006355_7	mcrA//
go_0006357_8	
go_0006364_9	fabG//dhaM//thiE//yjcS//
go_0006378_8	ispB//
go_0006396_7	cysD//yajO//puuA//rfaD//polA//
go_0006397_8	narY//
go_0006399_8	nth//polA//
go_0006400_7	hyaB//metK//thiL//cysM//nrdA//
go_0006401_6	gmhB//ilvB//gor//frmA//speF//ilvM//
go_0006402_7	mmuM//fadB//speE//hchA//yccX//hyaB//mrcB//
go_0006412_6	rrrD//mdh//aroH//ttdA//ilvM//
go_0006413_4	guaC//
go_0006414_6	
go_0006415_7	eptC//ybiV//
go_0006417_7	glcD//fabD//
go_0006418_7	purN//metL//argH//talB//ftsI//ilvN//ribA//epmB//ahr//queD//hisD//
go_0006419_8	ispB//
go_0006420_8	glnA//
go_0006421_8	chbG//
go_0006422_8	pnp//
go_0006423_8	wecC//
go_0006424_8	avtA//trpS//
go_0006425_8	tag//
go_0006427_8	hisH//
go_0006428_8	der//
go_0006429_8	ubiC//
go_0006430_8	glcB//pgl//
go_0006431_8	yfcG//
go_0006432_8	prmC//
go_0006433_8	lpd//
go_0006434_8	mnmC//
go_0006435_8	ldtD//
go_0006436_8	acpH//
go_0006437_8	mcrB//
go_0006438_8	pabA//
go_0006448_8	
go_0006450_4	rlmJ//hpt//narG//wrbA//pdeL//tktB//
go_0006457_3	pcm//glcB//patA//solA//rlmC//prpD//ymdB//
go_0006458_4	
go_0006464_6	entB//codA//cdh//phnL//pgi//alkB//ddlB//miaB//
go_0006465_6	deoD//birA//btuE//
go_0006468_7	dxs//
go_0006470_7	miaA//mtlD//gstB//asnB//gntK//
go_0006473_8	pdeL//
go_0006474_6	otsA//yfeW//ttdB//
go_0006476_8	manA//
go_0006479_5	thiD//etp//cpsG//rnt//speF//ppsA//
go_0006486_5	fre//
go_0006490_5	gudD//
go_0006508_5	cysK//wecC//gloC//plsC//frmB//puuC//yagE//scpC//orn//ftsI//mcrB//fumB//ubiA//deoC//mtlD//thiC//nagZ//gstB//gltX//lipA//fklB//pyrH//udp//mnaT//ygeX//trmO//yggF//edd//dkgA//wzc//adeD//pgpC//cmoA//
go_0006515_7	rihB//guaB//serB//rluA//phnP//surA//pgl//
go_0006517_6	mcrA//ruvB//
go_0006518_5	phnG//nudF//
go_0006523_8	pdeF//cpsG//
go_0006524_8	
go_0006526_8	entF//prmB//btuE//ttdB//kefF//citC//pheA//
go_0006527_8	fadK//pdeL//cysK//orn//nadD//
go_0006529_7	thiC//selA//
go_0006530_7	lysC//yccX//queD//tktB//
go_0006531_7	gpmA//
go_0006532_8	ansB//cysI//waaY//
go_0006535_8	hypF//adhE//tdcD//
go_0006537_8	purC//
go_0006538_8	murF//metL//
go_0006541_7	dmsB//nrdE//ansB//dmsC//pbpC//
go_0006542_8	pykA//ftsI//
go_0006543_8	
go_0006545_6	murI//
go_0006546_6	leuC//appA//fadJ//
go_0006554_8	alr//rlmF//bioA//
go_0006556_5	argD//
go_0006559_6	curA//
go_0006561_6	putA//glxK//
go_0006563_7	galE//
go_0006564_8	menI//aldB//phnG//cyaA//
go_0006565_8	nadB//menA//moeB//mcrB//guaC//
go_0006566_7	hemB//
go_0006567_8	wcaJ//csdA//adhE//thiC//ascB//pdeF//lpxC//
go_0006569_7	chbF//
go_0006571_7	waaO//bglX//
go_0006593_7	paaK//
go_0006598_8	sucA//lpxM//gldA//
go_0006605_6	
go_0006612_6	
go_0006614_8	
go_0006616_7	
go_0006629_4	rlmA//frmB//
go_0006631_5	aroG//cysG//ybcF//sthA//epd//
go_0006633_6	hcaB//thiD//apt//alaS//pldB//dhaM//hisI//dsdA//bglX//malQ//garR//
go_0006635_6	acnB//ribF//rfbB//rnpA//pabC//zwf//rluC//fabA//ulaE//yqjH//cysD//rsmE//
go_0006636_7	
go_0006637_5	clsC//nrfD//rlmC//eda//pck//
go_0006646_7	
go_0006650_6	
go_0006654_7	yhdH//
go_0006655_7	gmhB//lpxK//
go_0006725_4	frlC//
go_0006729_6	nanE//mltA//
go_0006730_4	rluA//opgE//ftnA//
go_0006734_9	
go_0006740_4	
go_0006741_9	
go_0006742_8	
go_0006744_7	waaL//ung//gmd//rnpA//alaC//entA//yfbR//gstA//queA//metC//nanK//ndk//
go_0006749_5	rlmA//aroG//
go_0006750_6	fabB//hmp//
go_0006751_6	cobT//
go_0006757_5	thrS//
go_0006760_5	pykA//
go_0006761_7	slt//
go_0006771_5	tynA//
go_0006772_6	nadA//epd//
go_0006777_5	yfbR//narG//tag//glnS//thyA//
go_0006779_6	puuD//puuC//allB//thiD//upp//
go_0006780_7	mutT//
go_0006782_7	thiC//glcB//dxr//bglB//
go_0006783_5	trmJ//ribA//hemC//glgP//menE//queD//frmA//
go_0006790_4	yhdJ//miaA//nadD//zwf//recG//thrB//pgaD//ribE//glgC//lysU//
go_0006791_2	eptB//glk//dfp//
go_0006793_4	entC//speB//
go_0006798_5	otsB//
go_0006799_5	lpoB//
go_0006801_5	argB//eda//nadD//
go_0006805_4	murG//hcaC//asd//moaA//
go_0006807_3	trpE//yfaU//coaE//
go_0006808_4	gloB//
go_0006810_4	gabT//tesB//glgB//dhaK//gcd//ldtA//torC//wzb//lgoD//fumB//ravA//acs//lipB//metL//fabD//oxc//ddlA//insI-2//tyrA//yigL//glxK//gabD//dacD//glpB//paaZ//entH//paoC//entD//speD//ispH//pcm//ribF//aspA//rutD//mhpB//hisC//nanK//ribE//mdh//garR//cynS//nrdB//truC//nadK//glnS//dkgB//argC//pflB//gnd//lsrG//glpA//aroC//rlmM//deoA//scpC//tmcA//avtA//mtn//pabA//yahK//pyrD//pykF//argG//ybcF//thiL//ybjI//fucO//ahr//nudB//acs//malZ//ruvA//rfbB//mhpB//dadA//hycB//pcm//
go_0006811_5	speG//rlmE//umuC//accC//thrC//ahr//nagK//metL//gmk//nudF//srlD//
go_0006812_6	rihB//folD//
go_0006813_8	waaC//cof//pphA//lgoD//argI//dgoA//ydiO//serA//
go_0006814_8	surA//cynS//fadI//ubiE//
go_0006817_8	polB//
go_0006820_6	pgm//curA//garD//panB//deoA//
go_0006821_8	tdcE//
go_0006824_8	ybcF//cysH//argD//nagZ//
go_0006825_9	nemA//
go_0006826_9	alkB//
go_0006828_9	allD//
go_0006829_9	yrfG//uvrA//argK//cdd//acpT//
go_0006833_6	
go_0006835_8	solA//pyrB//
go_0006847_8	kdsB//
go_0006855_6	gshA//rfaE//waaU//glgB//paaE//prmC//gutQ//umuC//ynfH//entD//mnmA//allD//fadA//umuD//
go_0006857_7	btuR//mutL//atoB//
go_0006863_7	aroB//
go_0006865_6	purL//mug//miaB//sufS//hisB//rutE//yggF//paaJ//ilvH//fadE//ubiG//rlmG//yhdH//recO//purB//purA//apt//ispB//frc//umpH//ygeX//
go_0006868_7	ydiF//
go_0006869_6	phnG//
go_0006874_8	
go_0006876_8	ispB//
go_0006878_9	phnL//
go_0006879_9	acnA//tdcG//
go_0006880_4	yjiA//aroC//
go_0006882_8	lipB//
go_0006883_8	cysS//narV//trpE//
go_0006884_4	
go_0006885_9	pabA//
go_0006886_5	
go_0006928_3	kduI//
go_0006935_4	waaH//torC//moeB//ydfG//pheA//
go_0006970_4	ribE//aspC//ldcA//dgcT//rpe//nudF//
go_0006972_5	gcd//alaA//btuR//torZ//etp//
go_0006974_5	mnaT//cheB//glnA//sucD//gshA//kduD//cynS//purC//pdeR//ybiV//rdgB//lpcA//cadA//metG//hisD//nrfA//lyxK//tpiA//mog//proC//dmsA//cynS//menB//pta//nfsB//ddlB//gcd//ttdA//mocA//rlmA//torC//gcl//hisB//betB//rutB//thiC//gloA//malQ//kduI//rffG//xapA//queD//ydiF//mnmC//pabA//insI-1//bioC//glcB//glpD//metL//fabG//dapB//mltA//fucA//rsmF//nadC//rbn//yqhD//dapD//bcsA//aes//rihA//ynfF//rffC//mutT//cmoB//queA//ynfF//fucI//hisH//arsC//lysU//glgC//trpA//yagF//arnA//entF//adhP//surA//ndh//glyA//pdxB//fbaA//glpX//chbF//aspA//ilvM//metC//waaO//menE//araA//pheS//thrS//glnS//guaB//
go_0006979_4	yihV//dsdA//torZ//allB//patA//mraY//dgt//argE//leuB//ldtC//tynA//queD//araA//glpC//torY//tsaD//wrbA//katG//deoC//yajO//ung//gpsA//lpxD//argC//speA//lipA//
go_0006986_5	rlmA//
go_0006995_6	asd//alsK//
go_0007059_3	fabZ//frdB//
go_0007062_4	
go_0007155_3	btuR//
go_0007165_3	bioD//pnp//
go_0007234_5	
go_0007584_4	
go_0008033_9	gldA//gpt//glgP//selB//speD//ispH//manA//mepS//
go_0008104_4	
go_0008152_2	sad//paaZ//preA//lldD//selB//epmC//icd//hdhA//nrfD//purL//glcE//rsmH//phnI//ribB//rfaD//cysS//xdhB//
go_0008156_8	
go_0008219_3	
go_0008272_6	ppiA//glpX//
go_0008295_6	truC//rfbB//panD//
go_0008299_5	rlmL//
go_0008360_4	eno//hpt//cysK//sodA//garK//aes//eptC//cmoB//mobA//glgB//menA//
go_0008610_5	pdxY//valS//ilvN//xdhB//
go_0008615_6	cynS//ulaG//cpsB//narV//ldcA//folE//dhaK//
go_0008616_8	rnt//ygjK//kduD//ribF//uvrC//xdhB//
go_0008643_6	waaY//fadH//cmoB//ppk//glnA//glmU//sodB//nagZ//argG//eptC//ybhA//eptC//xapA//patD//rnb//metF//yjjX//queG//
go_0008652_5	hisF//epmB//rnb//bglX//insI-2//aroH//gabD//kdsC//
go_0008653_5	
go_0008654_5	preA//lpcA//thiE//sad//
go_0009050_6	dusB//hemC//
go_0009052_6	yfaU//bcsA//acpT//glpC//rfaD//pagP//
go_0009056_3	ynfF//
go_0009058_3	yajO//bioH//tpiA//napA//
go_0009060_6	dapD//rluD//kefF//tdcD//wecC//pdxY//speG//
go_0009061_6	fkpB//paaA//glpD//ldcA//tmcA//hmp//puuD//asnB//manA//aroK//mrcB//pgsA//rbsK//rutD//ubiC//queC//rluF//nemA//dosP//pdxJ//dapD//
go_0009062_6	mtn//
go_0009063_5	hcaD//lpxP//ldtE//
go_0009070_7	cmoB//
go_0009073_6	ubiG//hyaB//nagZ//waaF//hisC//nagK//yjhG//ulaD//fklB//paaH//hisD//
go_0009081_5	mnmA//lpxB//
go_0009082_6	dxs//yjcS//kefF//rutD//frdC//mtlD//arnA//
go_0009085_8	queC//
go_0009086_7	dgcZ//queA//nanA//clsB//waaQ//
go_0009088_8	menF//apt//
go_0009089_6	kdsA//yihS//murD//idi//lyxK//glxK//
go_0009090_8	asnB//hypB//glgC//pnp//
go_0009092_7	cobT//
go_0009093_7	
go_0009094_6	gltX//gntK//thiG//
go_0009097_7	ynfH//trmI//tmcA//malQ//fabI//
go_0009098_7	dhaK//rihA//hemH//fadA//ydiF//fadA//
go_0009099_7	umpH//amyA//csdA//menH//paaC//sodC//gloC//
go_0009102_6	nagB//serS//dgcT//treC//idnD//dapA//yqjH//cysN//ubiA//
go_0009103_6	dapF//lpxP//rhaD//deoC//gph//rlmB//deoC//torA//paaG//
go_0009106_5	pabC//
go_0009107_6	gcvP//ttdA//
go_0009108_6	rhaA//
go_0009116_5	gltB//nirB//
go_0009142_7	ndk//
go_0009143_7	ulaG//
go_0009152_8	adhE//
go_0009157_8	thyA//
go_0009166_7	cysD//mnmE//
go_0009168_9	fbp//
go_0009220_8	paaC//psuG//
go_0009224_9	ldtC//
go_0009226_6	mpaA//yciA//
go_0009228_7	deoD//prmC//rluA//mrcA//aspS//rihC//pdeH//tdh//dgcM//
go_0009229_6	nrfB//mobA//
go_0009231_6	moaE//gapA//orn//pdxJ//ilvC//accA//def//
go_0009234_7	prmC//btuR//tdk//guaA//preT//ppc//yqhD//relA//fabD//
go_0009236_6	btuR//ravA//cysC//yeaE//gloB//aroB//
go_0009237_4	malP//tdcB//
go_0009239_6	lysU//ruvA//frdA//tktA//uvrB//opgB//bioA//epmC//
go_0009240_6	hemD//
go_0009242_6	leuD//yjiA//cysN//yagF//pbpC//idnO//guaC//ybcF//
go_0009243_7	lsrG//
go_0009244_7	dcd//narH//recF//torA//rlmL//cmk//malY//ispB//cdh//preA//pabA//ascB//deoD//acnB//dbpA//uxuB//der//pinE//tsaD//ribB//ribF//gshB//
go_0009245_6	fabH//sufS//mcrB//mraY//ansB//ghrB//mhpB//abgB//glgC//
go_0009246_6	nrfA//trpB//rutA//sdaA//queD//uxuA//
go_0009249_6	hyaA//queF//hinT//
go_0009250_7	
go_0009251_7	glpK//
go_0009252_7	rhaD//birA//opgE//nanE//yjiA//dinB//murI//ycjU//nagK//waaS//hinT//waaG//hcaB//rluD//dusB//yagF//paaZ//rihC//pyrB//pgaB//ddlA//rutA//deoC//gstA//melA//
go_0009253_8	hemD//recG//mpaA//bioB//srlD//rhaD//sdaA//rhaA//gmk//yjiA//
go_0009254_8	trpD//ackA//idnD//ldcA//mobA//tyrS//lysA//rffT//ravA//slt//menA//
go_0009257_8	ssuD//alaC//tktA//dsdA//
go_0009263_6	pgi//argF//
go_0009264_6	nagB//waaO//
go_0009265_7	lpxP//
go_0009266_4	trpE//hpt//hyaA//ghrB//hisS//hemB//
go_0009267_5	dacD//ugd//
go_0009268_4	dgoA//
go_0009271_4	
go_0009273_5	
go_0009290_6	
go_0009294_5	betB//
go_0009297_6	
go_0009298_7	serA//tyrA//cynT//
go_0009305_7	luxS//
go_0009306_4	
go_0009311_5	
go_0009314_4	maeA//pgaD//ftsI//lpxK//thiG//ftnA//trmL//prpB//speB//trpE//hcaB//ruvA//aphA//maeA//rlmG//astC//lysA//
go_0009372_5	rfbB//spoT//iscS//
go_0009396_6	hcaC//fabB//
go_0009398_7	menD//
go_0009401_7	carA//ilvE//uvrB//gpmM//menF//rfbD//glgA//aspC//mnmC//narY//sdaB//dapB//ubiC//deoA//nadD//gabT//hcaB//aroD//ttdB//bioB//
go_0009403_5	
go_0009405_4	
go_0009407_3	fkpB//
go_0009408_4	gstB//tdcG//dxr//rlmI//selA//xapA//rlmG//cheR//fabG//guaA//rsmI//queF//ybjG//pldB//folP//waaC//narZ//waaY//lpoA//fklB//gor//fucO//glcD//hemN//gpp//purU//
go_0009409_4	ttdA//rlmC//
go_0009410_4	waaL//
go_0009411_6	chbF//acs//btuR//phnO//rluE//yfdR//pdeH//prpD//gcd//
go_0009416_5	dapB//pyrE//
go_0009423_8	mtgA//pgi//eutD//pck//
go_0009432_5	pabB//pdeH//mltC//argC//lpxT//
go_0009435_9	paaK//yggF//nadD//fau//argF//
go_0009436_6	glcF//citE//yghU//hcaB//
go_0009437_5	
go_0009438_5	
go_0009440_6	yihS//sodB//waaG//
go_0009442_7	uvrB//idi//yjjX//proA//umpG//
go_0009443_5	mepS//ahpC//aroB//
go_0009446_6	poxB//bioA//
go_0009447_6	mrcA//tnaA//ulaE//ppk//nagZ//fadK//leuC//pyrF//
go_0009450_6	atoB//tmk//glyA//panB//
go_0009451_6	citE//aceA//yieH//ispU//
go_0009593_4	
go_0009597_5	
go_0009636_4	hyaB//ddlB//entD//fadM//thiH//
go_0009637_6	
go_0009651_5	
go_0009697_5	gcvP//
go_0009758_2	proS//
go_0009785_5	
go_0009970_6	fabD//metK//rlmH//
go_0009972_10	rlmM//
go_0009992_5	hemN//accD//tmk//
go_0010033_4	
go_0010038_5	
go_0010039_6	sad//
go_0010041_7	phnM//pabA//
go_0010042_6	ssuE//
go_0010043_6	cynS//torA//
go_0010045_6	argA//
go_0010106_6	
go_0010124_4	purL//idnO//galT//tgt//otsB//leuA//fadK//bioA//
go_0010133_7	hisA//
go_0010139_7	dmsC//
go_0010165_6	waaG//rffT//pgsA//btuE//patA//yieH//kbaZ//yagE//
go_0010212_5	metH//
go_0010226_6	serC//
go_0010243_5	
go_0010272_6	lysU//
go_0010273_4	ribC//glpD//puuD//
go_0010312_3	gnd//
go_0010332_6	
go_0010350_6	
go_0010438_6	aceB//codA//
go_0010447_5	ldcA//yeaE//
go_0010468_6	nagA//
go_0010498_6	ahr//acpH//rhaB//tesB//
go_0010501_7	curA//speC//
go_0010557_7	
go_0010608_7	phr//
go_0010628_7	
go_0010629_7	rlmB//
go_0010676_7	
go_0010699_4	yfeW//fadM//
go_0010810_5	
go_0010876_4	
go_0010911_5	
go_0010921_6	
go_0010951_8	
go_0010967_6	
go_0010974_7	
go_0012501_4	
go_0014070_5	waaU//sdhA//pfkB//glgC//nadA//hyi//rlmB//thiM//aspA//
go_0015031_5	gmk//prpB//bfr//glxK//asnB//nanE//glgB//cysS//
go_0015074_6	
go_0015628_5	
go_0015670_6	mutM//
go_0015673_9	gadB//
go_0015675_9	yieF//
go_0015679_10	lpxB//
go_0015682_8	aroC//
go_0015684_9	adhP//roxA//napC//garR//
go_0015685_8	pgpA//xylA//
go_0015687_7	plsC//
go_0015688_6	yhdH//ilvD//
go_0015689_8	bglB//
go_0015691_9	gpmM//katE//
go_0015692_8	queG//
go_0015693_9	hemE//
go_0015696_6	rsmF//
go_0015698_7	dnaE//
go_0015699_8	luxS//
go_0015700_8	moaA//
go_0015706_6	metL//accA//waaF//
go_0015707_6	rpiA//cpsB//tsaC//menI//
go_0015709_6	psuG//
go_0015710_8	truB//tktB//
go_0015712_7	cysD//
go_0015718_8	dld//
go_0015721_7	paaB//ribC//araA//
go_0015724_7	cysK//
go_0015726_8	udk//
go_0015733_7	queD//
go_0015734_6	yeiG//
go_0015736_9	guaC//
go_0015739_7	mog//
go_0015740_9	gdhA//ispA//trpD//
go_0015741_10	lldD//ilvH//
go_0015747_6	fruK//
go_0015748_6	mnmG//
go_0015749_7	fucK//entH//ispU//yajO//ilvI//rffM//scpB//
go_0015751_9	accA//accB//
go_0015752_9	insI-2//hisI//
go_0015753_9	katE//yqaB//
go_0015754_9	gloC//
go_0015755_9	pgm//ubiE//thrS//
go_0015756_9	prpC//pgl//
go_0015757_9	ilvD//thiG//panD//trmI//
go_0015760_8	yjjG//
go_0015761_9	pdeF//
go_0015762_9	glgB//
go_0015764_7	panD//lpoA//phnL//
go_0015765_8	preA//rsmE//
go_0015767_9	pyrF//hemD//ymdB//
go_0015768_9	xapA//gloA//rbsD//
go_0015769_9	yigL//
go_0015771_9	hdhA//yieH//narV//
go_0015772_7	patZ//feaB//selA//
go_0015774_7	amiD//
go_0015778_7	rihB//
go_0015793_7	fucK//prpC//
go_0015794_7	rnb//mltC//
go_0015795_7	malY//glgP//
go_0015796_7	aroD//
go_0015797_7	sucB//glgX//glyS//
go_0015803_7	mutL//alsE//nanA//
go_0015804_7	acpH//cobC//
go_0015806_6	srlD//
go_0015807_7	waaY//pncB//phnO//icd//sufS//phnP//
go_0015808_8	yggF//fabD//
go_0015809_7	cfa//
go_0015810_8	yihU//tehB//
go_0015811_7	glnA//def//
go_0015813_6	mnmA//ribA//metH//
go_0015814_7	torC//
go_0015816_6	patD//
go_0015817_7	nanE//chbF//
go_0015818_7	entF//glpD//
go_0015820_7	gadA//udk//hemN//sdaA//frmB//
go_0015821_7	tgt//argB//
go_0015822_7	bglX//
go_0015823_7	yeaG//uvrB//dosP//spoT//rsmB//
go_0015824_7	cysH//clsA//rffM//
go_0015825_8	metF//
go_0015826_7	nanK//uxaB//metH//
go_0015827_7	ackA//ilvI//nagK//
go_0015828_7	pgk//epmA//
go_0015829_7	prs//nrfC//yghU//
go_0015830_7	ribE//
go_0015833_6	yigL//glcB//waaS//rutA//waaF//lpcA//hemB//hemG//uxuA//slt//
go_0015834_7	prpC//trmD//
go_0015835_6	lpxD//
go_0015836_7	dmsC//moaE//
go_0015839_7	pck//
go_0015846_6	lipA//nhoA//
go_0015847_7	pbpC//hisC//dgcT//ldtC//gpmA//
go_0015848_7	argF//tauD//
go_0015851_6	
go_0015853_8	yeaG//fucI//
go_0015856_8	hemF//
go_0015857_6	glxR//yahK//
go_0015858_7	surA//ileS//pgaB//
go_0015860_7	mutH//truD//
go_0015861_9	nadB//betB//
go_0015862_9	gstB//argH//
go_0015863_8	yhdH//
go_0015864_8	araA//
go_0015871_6	mhpA//kdgK//hypF//pphA//
go_0015878_6	
go_0015879_9	pgaD//
go_0015882_7	dld//
go_0015886_6	frdB//nrfB//
go_0015887_7	abgB//
go_0015888_6	cynT//
go_0015889_6	ispG//cdd//fabG//
go_0015891_6	dosP//
go_0015906_6	adiA//
