# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	allB//
go_0006561_6	amiD//etp//
go_0006563_7	thrA//
go_0006564_8	xthA//speC//alsE//cobS//
go_0006565_8	malZ//clsA//gatD//cpdA//gltB//
go_0006566_7	eda//
go_0006567_8	rlmE//bioD//glk//ligB//frdC//ynfF//hemA//
go_0006569_7	sdhA//
go_0006571_7	gatD//pagP//
go_0006593_7	kdsC//
go_0006598_8	pabA//serS//dhaL//
go_0006605_6	
go_0006612_6	
go_0006614_8	
go_0006616_7	
go_0006629_4	murC//mngB//
go_0006631_5	pgpA//valS//argE//glcB//metL//
go_0006633_6	ubiF//ubiA//ribA//gnd//allD//astC//aroE//pyrG//napC//yhdJ//murE//
go_0006635_6	ydiB//dut//idnO//sdaA//kbaZ//hyaB//pdxB//nadK//aroL//glyA//purB//ppk//
go_0006636_7	
go_0006637_5	adhP//fes//yjiA//etp//prs//
go_0006646_7	
go_0006650_6	
go_0006654_7	sodA//
go_0006655_7	tag//ndh//
go_0006725_4	thrA//
go_0006729_6	fabB//lysS//
go_0006730_4	maeA//tesB//wzc//
go_0006734_9	
go_0006740_4	
go_0006741_9	
go_0006742_8	
go_0006744_7	waaG//rutE//rlmL//rffG//mak//wecC//poxB//torY//serB//rrrD//ruvA//slyD//
go_0006749_5	betB//pheA//
go_0006750_6	plsB//fadE//
go_0006751_6	mak//
go_0006757_5	plsC//
go_0006760_5	hisB//
go_0006761_7	iaaA//
go_0006771_5	speA//
go_0006772_6	fucA//lpoB//
go_0006777_5	preA//ttdB//aes//aroK//ubiG//
go_0006779_6	ushA//yidA//glk//gpt//thiL//
go_0006780_7	glgA//
go_0006782_7	entC//dusB//mmuM//tmcA//
go_0006783_5	malQ//rfe//rpiA//upp//rlmI//ldtB//entA//
go_0006790_4	bacA//speD//astB//sdaA//gcvT//mutY//insI-1//ghrB//bacA//lpxK//
go_0006791_2	relA//pta//fabA//
go_0006793_4	lpxM//cpdA//
go_0006798_5	rrrD//
go_0006799_5	ispU//
go_0006801_5	metK//prmB//trmO//
go_0006805_4	selA//opgB//rffG//ppx//
go_0006807_3	aphA//suhB//entD//
go_0006808_4	wzb//
go_0006810_4	aspA//murB//kbaY//mdh//dapF//tatD//etp//gshB//insI-1//murF//alsE//nudB//mnmG//cysC//fadB//patA//ilvB//cpdA//arsC//fadJ//entD//mazG//acnA//aroE//dnaQ//dfp//hcaB//yqjH//glpC//coaE//upp//zwf//hemB//cysN//rpiA//ldtB//dhaL//uxuA//ribE//thrS//thyA//gpmM//rihB//putA//gltB//sdhB//rffM//cadA//bfr//ftsI//rsmA//gatD//gloA//lpxK//gph//kefF//rluB//phr//proB//glyA//murI//tilS//gluQ//dgkA//bfr//gltD//rutB//waaO//panD//araB//rhaA//fabI//cysM//glgX//yieF//cysN//pphA//
go_0006811_5	trpS//fadI//puuD//gldA//citC//rffM//tsaE//glnS//galT//garL//pyrH//
go_0006812_6	lpd//rimK//
go_0006813_8	dsdA//nfi//xapA//ispA//lyxK//argH//fabA//acs//
go_0006814_8	uxaC//ppiA//phr//nagK//
go_0006817_8	yfiC//
go_0006820_6	wcaJ//pabA//araB//rsmE//maeA//
go_0006821_8	rnpA//
go_0006824_8	waaG//ackA//frdC//etp//
go_0006825_9	waaL//
go_0006826_9	waaZ//
go_0006828_9	edd//
go_0006829_9	yfcG//insI-2//pheT//idnD//ubiI//
go_0006833_6	
go_0006835_8	hcaB//rlmA//
go_0006847_8	asd//
go_0006855_6	sbcB//dacC//metG//chbF//relA//pbpC//ispH//tpiA//acpS//mnmA//ilvM//cpdB//puuD//fklB//
go_0006857_7	entF//phnJ//frdB//
go_0006863_7	yjhG//
go_0006865_6	cpdA//cadA//suhB//mutH//thyA//guaA//phoA//queG//mutH//gpt//asd//tehB//ubiH//dgcM//ulaD//thyA//rph//pbpC//maa//pyrB//thiH//
go_0006868_7	rimK//
go_0006869_6	prmB//
go_0006874_8	
go_0006876_8	ubiA//
go_0006878_9	hyaA//
go_0006879_9	napA//feaB//
go_0006880_4	queF//astB//
go_0006882_8	argG//
go_0006883_8	cadA//aroH//glpC//
go_0006884_4	
go_0006885_9	glmM//
go_0006886_5	
go_0006928_3	aroD//
go_0006935_4	moeA//fruK//deoB//selA//pbpC//
go_0006970_4	fkpA//sgbE//dxs//ilvN//metK//phnH//
go_0006972_5	rutB//btuR//galE//ydfG//ampH//
go_0006974_5	yjiA//yfdR//hyaC//ugd//bioH//mmuM//rfbD//malZ//cysG//rpe//rutA//uxaA//ssuD//ydiF//surA//aes//cobT//hisS//ilvN//folE//ribE//guaA//menB//plsB//yihX//nrdE//queA//fau//ribB//speC//pabC//waaY//panB//allD//hemH//dxs//malS//yjjG//nrfB//moeA//fabB//rutB//dnaQ//malY//ymdB//sthA//ispH//nth//fabH//fes//ruvA//ilvB//rsmB//mnmC//alr//phnG//dgoA//kduI//rffH//ubiD//pdxJ//yegS//bioC//gstB//gpp//cynS//trpA//ssuE//prs//fabI//gadA//allD//pyrF//hisS//puuC//avtA//asnS//yggF//mrdA//sdhB//ydiF//pyrB//arnT//dgcM//thiL//mhpD//tktA//cysM//yihU//poxB//moeA//folE//ribD//eda//lipB//
go_0006979_4	aroD//rluF//rsmD//alkB//thrS//argA//acpT//ackA//roxA//trpE//trpD//cynS//moaA//panB//rluD//rlmG//tilS//cysN//araB//proA//cysG//cheB//gloA//gapA//speG//waaG//
go_0006986_5	rsmF//
go_0006995_6	citG//ybjG//
go_0007059_3	mltC//thrA//
go_0007062_4	
go_0007155_3	folD//
go_0007165_3	eutB//recJ//
go_0007234_5	
go_0007584_4	
go_0008033_9	frdA//alaA//sbcB//ubiF//sucC//aroF//argB//bglB//
go_0008104_4	
go_0008152_2	yajO//atoB//yihT//ubiE//asnS//ygeX//solA//etk//nfsB//yeaG//dkgB//tdcE//rne//rne//phnO//ascB//ulaG//
go_0008156_8	
go_0008219_3	
go_0008272_6	ynfE//speF//
go_0008295_6	cobU//mazG//coaA//
go_0008299_5	fabZ//
go_0008360_4	hemL//tig//allC//hypB//betA//pgm//frc//kdsA//gloC//nadD//nadE//
go_0008610_5	hemF//waaP//lysC//maa//
go_0008615_6	dam//speF//rluA//rfaE//cysD//rlmD//rsmI//
go_0008616_8	rlmC//srlD//glmS//sufS//treA//trpS//
go_0008643_6	murA//phoA//tktB//gor//purF//thyA//zwf//cobS//bioB//guaC//aes//rfe//otsB//pyrH//ldtC//sucC//kbaY//murA//
go_0008652_5	lpoB//rpiA//yfiC//paaZ//mnmE//dacD//rfbC//solA//
go_0008653_5	
go_0008654_5	ygjK//aldA//sucB//sucC//
go_0009050_6	mnmA//eptC//
go_0009052_6	astC//kdsD//rffM//mnmG//puuB//bglB//
go_0009056_3	ulaG//
go_0009058_3	dacA//fadD//pdxA//purU//
go_0009060_6	codA//ybhA//allD//alaS//dusC//luxS//rluD//
go_0009061_6	cheR//lpoB//pyrH//rhaA//tpiA//trmD//dgcM//galM//ansB//speD//lpxT//gadA//sbcB//phr//queF//yciA//nadA//argC//maeA//gltX//frlB//
go_0009062_6	fes//
go_0009063_5	eutD//puuB//frdB//
go_0009070_7	sdaA//
go_0009073_6	alsK//idnO//alaS//edd//asnS//alaS//pnp//argD//thiH//ackA//hemE//
go_0009081_5	nth//tyrB//
go_0009082_6	pgk//slyD//miaA//pgm//garR//hyaC//allD//
go_0009085_8	sucD//
go_0009086_7	arsC//bcsA//moeA//dacD//cueO//
go_0009088_8	yidA//ubiH//
go_0009089_6	xylA//argB//eutB//cdh//folA//cpsB//
go_0009090_8	frc//argD//gph//aes//
go_0009092_7	waaL//
go_0009093_7	
go_0009094_6	lpxM//gdhA//gatY//
go_0009097_7	glpB//nagZ//gatD//nrdF//nadD//
go_0009098_7	aspC//narI//argD//ubiG//mocA//mnaT//
go_0009099_7	paaC//proC//xylA//sseA//ilvA//gatY//gnd//
go_0009102_6	nrdA//glgC//frmA//cdh//pyrB//ampH//ybhA//hisD//yidA//
go_0009103_6	cobT//adhE//nrdA//cysM//purC//gshA//phnM//gltX//purT//
go_0009106_5	patA//
go_0009107_6	dadA//hisH//
go_0009108_6	pflB//
go_0009116_5	speB//paaC//
go_0009142_7	fruK//
go_0009143_7	hisD//
go_0009152_8	coaA//
go_0009157_8	ghrB//
go_0009166_7	mocA//prpC//
go_0009168_9	frdC//
go_0009220_8	deoC//paaG//
go_0009224_9	ldhA//
go_0009226_6	mnaT//phnG//
go_0009228_7	fabH//tauD//paaG//hemL//rbsD//caiD//melA//mrcB//eutB//
go_0009229_6	rlmD//moaA//
go_0009231_6	def//fklB//iaaA//pdeH//dhaL//panD//yfcF//
go_0009234_7	menB//adk//yjhH//btuE//cysN//cysM//hchA//gdhA//lpoA//
go_0009236_6	tgt//paaF//folD//plsC//proS//ogt//
go_0009237_4	garK//hyaB//
go_0009239_6	argD//uxaA//fkpB//rsmI//prmC//eptA//tgt//gldA//
go_0009240_6	gluQ//
go_0009242_6	cyaA//rhaD//garL//argF//garD//mak//moaD//waaL//
go_0009243_7	recG//
go_0009244_7	adeD//yieH//lpxM//asnB//fes//metB//def//patA//aspS//nadK//mutT//yeiG//tauD//ynfH//speB//fucA//argF//ung//appA//gpmA//wzc//umpG//
go_0009245_6	sucC//ldcC//xthA//cmoA//ispH//cof//hisH//ackA//leuS//
go_0009246_6	umuD//glnS//ydiF//selB//thrB//ilvD//
go_0009249_6	trmD//mhpC//eptC//
go_0009250_7	
go_0009251_7	malS//
go_0009252_7	aspS//kdgK//rlmM//cpdA//bioD//guaB//fabB//pdxB//phnN//sdhD//mazG//rlmF//rfbB//nadE//yggF//malY//clsA//mtn//abgB//tig//accB//cysQ//ruvC//folM//ilvI//
go_0009253_8	nfi//hemE//narZ//gshA//hycB//fdhF//lpxM//gstB//acnB//glnE//
go_0009254_8	deoA//patA//puuA//gpt//citE//cdd//thrA//uxaA//aspA//ubiE//ydfG//
go_0009257_8	paaJ//cysC//mpaA//appA//
go_0009263_6	purT//glcE//
go_0009264_6	glpK//yhdH//
go_0009265_7	cysG//
go_0009266_4	pphA//mltB//dapD//tyrS//miaB//eptA//
go_0009267_5	mtgA//eptC//
go_0009268_4	dld//
go_0009271_4	
go_0009273_5	
go_0009290_6	
go_0009294_5	mrcB//
go_0009297_6	
go_0009298_7	cheB//truA//nagZ//
go_0009305_7	eda//
go_0009306_4	
go_0009311_5	
go_0009314_4	gabD//glpA//rlmC//cobC//apt//pinE//waaL//torZ//dgt//thrC//lipA//deoA//phnP//trmH//metB//rsmI//gutQ//
go_0009372_5	leuS//ygeX//garD//
go_0009396_6	aroL//glcE//
go_0009398_7	aceA//
go_0009401_7	eutD//nrfA//ftnA//argG//glk//glgB//adeD//coaE//trpC//argG//ada//gudD//mug//ldtA//xylB//trpA//hisA//eptA//glk//nagK//
go_0009403_5	
go_0009405_4	
go_0009407_3	paaF//
go_0009408_4	fumB//gcd//cysC//chbG//ruvA//guaB//phnJ//garL//pyrF//roxA//phnN//asnA//gmd//dapA//lpxM//rlmE//pheA//glcF//metH//rlmA//hcaE//yajO//insI-2//paaA//aes//fadI//
go_0009409_4	waaQ//ascB//
go_0009410_4	thrC//
go_0009411_6	trmA//sucA//mutL//aroK//ushA//gloA//fabI//dusB//btuE//
go_0009416_5	fadH//ndk//
go_0009423_8	ppk//rhaB//phnI//lpxP//
go_0009432_5	mhpB//bioB//tatD//phnI//ppsA//
go_0009435_9	gcvT//dapB//pta//argB//yfcF//
go_0009436_6	rffC//gntK//ogt//rlmC//
go_0009437_5	
go_0009438_5	
go_0009440_6	rihC//menD//edd//
go_0009442_7	dapA//hemA//glpK//waaH//rhaB//
go_0009443_5	xthA//ubiX//csdA//
go_0009446_6	prpB//rihC//
go_0009447_6	metL//argS//argD//metE//edd//hisA//glgP//thrA//
go_0009450_6	fau//udk//nanA//napC//
go_0009451_6	yfcG//ubiG//fadH//glpK//
go_0009593_4	
go_0009597_5	
go_0009636_4	sbcB//purU//phnM//murB//lipA//
go_0009637_6	
go_0009651_5	
go_0009697_5	pgaC//
go_0009758_2	acs//
go_0009785_5	
go_0009970_6	ilvC//mgsA//hemC//
go_0009972_10	cheR//
go_0009992_5	aceA//solA//pdxH//
go_0010033_4	
go_0010038_5	
go_0010039_6	yggF//
go_0010041_7	tdcE//trmL//
go_0010042_6	lpcA//
go_0010043_6	rsuA//maa//
go_0010045_6	yhdJ//
go_0010106_6	
go_0010124_4	oxc//asnA//murB//maeA//narZ//waaU//thiE//cysE//
go_0010133_7	ilvC//
go_0010139_7	tesB//
go_0010165_6	astC//paaA//waaY//gph//fabG//mcrA//accA//cdh//
go_0010212_5	gstA//
go_0010226_6	thiD//
go_0010243_5	
go_0010272_6	ldtA//
go_0010273_4	sodC//mngB//nadB//
go_0010312_3	lpcA//
go_0010332_6	
go_0010350_6	
go_0010438_6	mraY//ligB//
go_0010447_5	waaS//cysM//
go_0010468_6	ispU//
go_0010498_6	mug//lysA//mltF//frmB//
go_0010501_7	ydiO//uvrC//
go_0010557_7	
go_0010608_7	gatD//
go_0010628_7	
go_0010629_7	pabB//
go_0010676_7	
go_0010699_4	recR//dnaE//
go_0010810_5	
go_0010876_4	
go_0010911_5	
go_0010921_6	
go_0010951_8	
go_0010967_6	
go_0010974_7	
go_0012501_4	
go_0014070_5	glyA//scpC//puuA//mnaT//rluD//der//ydfG//rrrD//nadE//
go_0015031_5	nudB//moaD//yjhG//ycaO//fadH//gpp//cysD//mgsA//
go_0015074_6	
go_0015628_5	
go_0015670_6	mraY//
go_0015673_9	metE//
go_0015675_9	cyaA//
go_0015679_10	paaE//
go_0015682_8	cmoB//
go_0015684_9	gcvP//preA//puuA//prmC//
go_0015685_8	ldhA//aroC//
go_0015687_7	mltB//
go_0015688_6	dxs//glmS//
go_0015689_8	nrfD//
go_0015691_9	talB//pyrC//
go_0015692_8	patZ//
go_0015693_9	ilvD//
go_0015696_6	thiE//
go_0015698_7	alkA//
go_0015699_8	kduD//
go_0015700_8	bglB//
go_0015706_6	cysK//nrdD//hypB//
go_0015707_6	menB//gltD//pheA//ispF//
go_0015709_6	dkgB//
go_0015710_8	dgoK//coaD//
go_0015712_7	hisF//
go_0015718_8	dapF//
go_0015721_7	fumA//allD//srlD//
go_0015724_7	thiL//
go_0015726_8	argB//
go_0015733_7	waaF//
go_0015734_6	asd//
go_0015736_9	umpH//
go_0015739_7	ligB//
go_0015740_9	pheS//galT//caiB//
go_0015741_10	ttdB//fruK//
go_0015747_6	phnL//
go_0015748_6	ulaG//
go_0015749_7	uxaC//prs//mcrA//nadD//menD//ilvA//selD//
go_0015751_9	fumA//gntK//
go_0015752_9	lpxC//araB//
go_0015753_9	menA//aroG//
go_0015754_9	dusC//
go_0015755_9	rsmG//citC//selB//
go_0015756_9	puuA//insI-1//
go_0015757_9	ilvE//coaA//xylB//recG//
go_0015760_8	rlmD//
go_0015761_9	udk//
go_0015762_9	nagA//
go_0015764_7	trmL//uxaB//ubiF//
go_0015765_8	lsrK//rlmI//
go_0015767_9	gcvP//gpmA//mhpD//
go_0015768_9	guaD//yihX//ung//
go_0015769_9	ilvA//
go_0015771_9	fadI//yihU//truB//
go_0015772_7	yfcG//queA//puuA//
go_0015774_7	bioA//
go_0015778_7	gatZ//
go_0015793_7	gpsA//umuD//
go_0015794_7	cysS//acpT//
go_0015795_7	narV//etk//
go_0015796_7	frlB//
go_0015797_7	yjhG//betB//nirB//
go_0015803_7	icd//tsaE//eno//
go_0015804_7	ilvE//avtA//
go_0015806_6	fadK//
go_0015807_7	panC//mutM//ltaE//ligB//ulaD//insI-2//
go_0015808_8	gpmA//nrfA//
go_0015809_7	yagE//
go_0015810_8	lipA//rsmF//
go_0015811_7	hinT//asnA//
go_0015813_6	plsC//aroL//phnI//
go_0015814_7	sgbE//
go_0015816_6	phr//
go_0015817_7	rnpA//ahpC//
go_0015818_7	codA//btuE//
go_0015820_7	rluC//hypB//entD//paaC//hflX//
go_0015821_7	murA//sseA//
go_0015822_7	lysS//
go_0015823_7	alaS//ubiX//yfiC//aroK//rsmH//
go_0015824_7	aroB//fre//dusC//
go_0015825_8	ppsA//
go_0015826_7	metG//sufS//uvrC//
go_0015827_7	fadK//ldtD//yfbR//
go_0015828_7	yfcG//rluD//
go_0015829_7	scpC//fdhF//rsmC//
go_0015830_7	accD//
go_0015833_6	recJ//yihT//cmoA//citG//dcd//rutD//entF//glpB//waaO//preA//
go_0015834_7	garR//epmA//
go_0015835_6	yagF//
go_0015836_7	codA//lsrG//
go_0015839_7	waaF//
go_0015846_6	pdeF//nagZ//
go_0015847_7	torZ//proA//prpC//bioC//trpB//
go_0015848_7	hyaA//rluF//
go_0015851_6	
go_0015853_8	metL//pncB//
go_0015856_8	phnM//
go_0015857_6	katE//polA//
go_0015858_7	caiD//yhdH//eutD//
go_0015860_7	aldB//thiL//
go_0015861_9	napA//agp//
go_0015862_9	hisD//purD//
go_0015863_8	rlmL//
go_0015864_8	eutB//
go_0015871_6	aceA//yciA//frdD//paaE//
go_0015878_6	
go_0015879_9	mtlD//
go_0015882_7	sdhA//
go_0015886_6	gpp//ldtA//
go_0015887_7	uvrB//
go_0015888_6	dgcT//
go_0015889_6	tktB//gcvH//tsaC//
go_0015891_6	curA//
go_0015906_6	dam//
