# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	ubiD//
go_0008652_5	folE//eptA//ilvN//dinB//tdcB//preT//moaD//dkgB//
go_0008653_5	
go_0008654_5	zwf//phnN//malY//pyrG//
go_0009050_6	glpK//glmM//
go_0009052_6	pheS//dhaK//tauD//gloB//gnd//ascB//
go_0009056_3	phnH//
go_0009058_3	fadH//pheA//sgbE//pyrD//
go_0009060_6	codA//tsaC//dgcT//purB//moaD//hisC//edd//
go_0009061_6	rlmB//alsK//frmA//maeA//alkA//pheT//bfr//pyrE//metC//dapD//waaA//paaA//malY//gnd//ppsA//glxR//moaE//thiH//avtA//slt//acnA//
go_0009062_6	prpC//
go_0009063_5	hisH//alkA//thrS//
go_0009070_7	rsmI//
go_0009073_6	pgm//recJ//cdsA//astC//truC//mutL//queG//dkgA//metF//dmlA//metC//
go_0009081_5	glyS//hisB//
go_0009082_6	recJ//yfcG//trpD//melA//ftsI//aceF//fadI//
go_0009085_8	ahpC//
go_0009086_7	tgt//rffH//ilvE//fadA//yahK//
go_0009088_8	add//mltB//
go_0009089_6	tktA//rsmI//cmoA//menI//mltF//truB//
go_0009090_8	tdcE//argE//trmI//argD//
go_0009092_7	clsA//
go_0009093_7	
go_0009094_6	argB//cysH//galU//
go_0009097_7	phr//asd//pfkB//menE//pabA//
go_0009098_7	narY//pheS//ttdB//mcrB//bioD//murF//
go_0009099_7	trmO//yfaU//trmD//gmd//melA//coaD//trmJ//
go_0009102_6	gdhA//yahK//pheS//treA//amiD//glcE//hypB//dusB//frdD//
go_0009103_6	ansB//sdhA//ygeX//yhdH//polB//ftnA//eutB//torZ//frdD//
go_0009106_5	ubiE//
go_0009107_6	fumA//trpA//
go_0009108_6	fadH//
go_0009116_5	gabD//yfbR//
go_0009142_7	recR//
go_0009143_7	murA//
go_0009152_8	dkgB//
go_0009157_8	glpK//
go_0009166_7	rffH//dxr//
go_0009168_9	nadD//
go_0009220_8	menB//allB//
go_0009224_9	srlD//
go_0009226_6	frlC//metH//
go_0009228_7	ghrB//phnJ//pldB//tmcA//murB//narZ//cpdA//sodC//pinE//
go_0009229_6	tdcD//aroH//
go_0009231_6	opgB//hisS//recJ//ackA//sseA//rffT//ackA//
go_0009234_7	sdhA//ilvD//fkpB//glk//rsmH//fes//ubiH//yihS//aspA//
go_0009236_6	glgB//mhpD//phnI//queF//udp//mgsA//
go_0009237_4	ulaG//rffH//
go_0009239_6	waaF//ltaE//dusC//arsC//ydiO//hcaE//rfe//waaQ//
go_0009240_6	srlD//
go_0009242_6	glgP//asnB//cmoA//gshB//cysN//aroE//tgt//trpS//
go_0009243_7	paaG//
go_0009244_7	gor//metL//cueO//alaC//rpe//rihC//recR//mltD//dxr//glnA//fes//queG//fkpA//ftsI//thiD//rluC//cmoA//entA//eutB//recR//ispU//eda//
go_0009245_6	pabA//gph//araB//cobU//fabA//fadJ//gcd//paaA//ydiB//
go_0009246_6	rfaE//phnP//thrC//cysI//rrrD//pfkB//
go_0009249_6	rsmC//talB//ppiC//
go_0009250_7	
go_0009251_7	pyrF//
go_0009252_7	mmuM//metG//fumA//purC//asnB//ispB//adiA//hcaF//fadD//glcB//rsmI//yjiA//mcrB//pabA//treA//mutY//pgpB//menA//fau//puuA//ddlB//ubiF//folC//paaB//galU//
go_0009253_8	malS//dcm//argC//ldtE//ileS//argB//hemN//ppsA//fcl//malS//
go_0009254_8	sgbE//mltD//sthA//nadB//tsaD//rutA//uxaB//mnmE//mazG//tsaE//hemB//
go_0009257_8	pgsA//bfr//cfa//waaP//
go_0009263_6	hflX//rlmI//
go_0009264_6	pepD//scpB//
go_0009265_7	mutT//
go_0009266_4	bioD//gluQ//aldA//metE//leuC//idnK//
go_0009267_5	idnK//preT//
go_0009268_4	yqaB//
go_0009271_4	
go_0009273_5	
go_0009290_6	
go_0009294_5	icd//
go_0009297_6	
go_0009298_7	uvrB//aroC//glcF//
go_0009305_7	bioH//
go_0009306_4	
go_0009311_5	
go_0009314_4	ogt//pdeR//csdA//purC//rpe//sucA//talB//selA//hisS//lpxP//rrrD//metC//uxaC//puuC//kbaZ//asnA//sdhD//
go_0009372_5	acpH//ybjG//glmM//
go_0009396_6	yfiC//slyD//
go_0009398_7	tig//
go_0009401_7	rbsD//pyrC//purL//yjcS//mnmG//paaB//frlC//yciV//lplA//lpoB//roxA//aroA//frlC//mngB//ampD//btuE//carA//ampD//rsmJ//dcm//
go_0009403_5	
go_0009405_4	
go_0009407_3	tdcG//
go_0009408_4	gltX//gloB//truB//dapF//feaB//ilvE//murG//ruvC//yghU//hemA//psd//abgB//melA//lpcA//luxS//frdB//entD//psuG//mhpD//hemG//ymdB//xylB//glpC//gabD//gcl//ada//
go_0009409_4	puuA//cheR//
go_0009410_4	waaG//
go_0009411_6	ybcF//pdxJ//tag//citG//rsmI//yegS//ispA//glmM//kduD//
go_0009416_5	hisI//recR//
go_0009423_8	ulaD//ldcC//purB//araA//
go_0009432_5	mcrB//yjiA//moaE//rsmI//kbaY//
go_0009435_9	ribF//rsmG//menC//ygeX//glcB//
go_0009436_6	rbn//cdd//hemC//ycaO//
go_0009437_5	
go_0009438_5	
go_0009440_6	ahpC//sodC//pyrB//
go_0009442_7	plsB//rimK//dhaK//ubiD//araD//
go_0009443_5	dacC//cfa//coaD//
go_0009446_6	dxr//birA//
go_0009447_6	metC//guaA//trmO//phnN//apaH//pabA//nadE//lpxK//
go_0009450_6	opgE//hemN//rutC//glcB//
go_0009451_6	garL//argD//chbF//napA//
go_0009593_4	
go_0009597_5	
go_0009636_4	scpC//lpxP//rimK//rutC//aphA//
go_0009637_6	
go_0009651_5	
go_0009697_5	torC//
go_0009758_2	coaA//
go_0009785_5	
go_0009970_6	trpS//lpxL//rbn//
go_0009972_10	waaH//
go_0009992_5	ydiB//mtn//sgbH//
go_0010033_4	
go_0010038_5	
go_0010039_6	hypF//
go_0010041_7	tpiA//paoC//
go_0010042_6	yeaG//
go_0010043_6	ubiD//rhaB//
go_0010045_6	nirD//
go_0010106_6	
go_0010124_4	citC//rimK//deoC//waaO//eno//gatY//rpe//ynfE//
go_0010133_7	cysI//
go_0010139_7	rutE//
go_0010165_6	epmA//yciV//ulaD//rsmA//fabI//yihX//rlmJ//ispA//
go_0010212_5	dut//
go_0010226_6	gcvH//
go_0010243_5	
go_0010272_6	ubiF//
go_0010273_4	ybjG//rhaB//purT//
go_0010312_3	dmlA//
go_0010332_6	
go_0010350_6	
go_0010438_6	selD//mutT//
go_0010447_5	kefF//rhaA//
go_0010468_6	maeA//
go_0010498_6	phnI//hemB//fumB//rfaE//
go_0010501_7	glyS//abgA//
go_0010557_7	
go_0010608_7	ygeX//
go_0010628_7	
go_0010629_7	rluA//
go_0010676_7	
go_0010699_4	mcrA//menD//
go_0010810_5	
go_0010876_4	
go_0010911_5	
go_0010921_6	
go_0010951_8	
go_0010967_6	
go_0010974_7	
go_0012501_4	
go_0014070_5	gpmM//citG//yjjG//pyrF//recJ//kdsD//uxaC//ybhA//hemG//
go_0015031_5	amyA//leuC//ychF//hisI//rnd//preA//rlmI//idnD//
go_0015074_6	
go_0015628_5	
go_0015670_6	hisS//
go_0015673_9	murB//
go_0015675_9	yjjG//
go_0015679_10	epmB//
go_0015682_8	kdsB//
go_0015684_9	eda//aphA//cmoA//narY//
go_0015685_8	sodA//trmI//
go_0015687_7	menB//
go_0015688_6	btuR//hyaC//
go_0015689_8	betA//
go_0015691_9	trpC//truB//
go_0015692_8	hisD//
go_0015693_9	aroL//
go_0015696_6	dxs//
go_0015698_7	rpiB//
go_0015699_8	truB//
go_0015700_8	gor//
go_0015706_6	dhaM//dcyD//ilvC//
go_0015707_6	lpxT//metK//moaD//queD//
go_0015709_6	pncB//
go_0015710_8	paaK//ycaO//
go_0015712_7	ribE//
go_0015718_8	bcsA//
go_0015721_7	treC//gadB//fabA//
go_0015724_7	arnA//
go_0015726_8	allC//
go_0015733_7	bioD//
go_0015734_6	ravA//
go_0015736_9	opgE//
go_0015739_7	aroB//
go_0015740_9	sodA//moaE//trpA//
go_0015741_10	pheT//dgkA//
go_0015747_6	xapA//
go_0015748_6	yccX//
go_0015749_7	ung//tehB//hypF//eptB//nadE//eutB//epd//
go_0015751_9	folD//yihX//
go_0015752_9	pcm//mepS//
go_0015753_9	prmB//argG//
go_0015754_9	def//
go_0015755_9	rsmD//mdh//sucD//
go_0015756_9	melA//katE//
go_0015757_9	gnd//deoB//ppiC//ribC//
go_0015760_8	paaA//
go_0015761_9	citG//
go_0015762_9	dacC//
go_0015764_7	thiH//sdaA//metL//
go_0015765_8	folD//coaD//
go_0015767_9	uvrB//waaU//asd//
go_0015768_9	rhaD//waaO//speE//
go_0015769_9	def//
go_0015771_9	ilvI//guaB//xylA//
go_0015772_7	adhP//idi//ddlA//
go_0015774_7	ribD//
go_0015778_7	murI//
go_0015793_7	queD//paaF//
go_0015794_7	ppx//garL//
go_0015795_7	nrdF//icd//
go_0015796_7	pgaC//
go_0015797_7	melA//hyaA//glcF//
go_0015803_7	ddlA//trpS//speC//
go_0015804_7	rdgB//epmC//
go_0015806_6	nrfA//
go_0015807_7	yqhD//scpC//nrfA//aroD//paaH//waaH//
go_0015808_8	mepS//paaH//
go_0015809_7	ybjG//
go_0015810_8	galM//xapA//
go_0015811_7	maa//fucK//
go_0015813_6	purA//rsmA//yagF//
go_0015814_7	apt//
go_0015816_6	apt//
go_0015817_7	paaZ//waaB//
go_0015818_7	hypB//ilvA//
go_0015820_7	ilvA//argH//ldtB//ligB//galT//
go_0015821_7	paaC//murI//
go_0015822_7	hemH//
go_0015823_7	dhaL//rutD//ispA//rsmA//rsmA//
go_0015824_7	truC//waaA//fcl//
go_0015825_8	metE//
go_0015826_7	rfaE//entB//rluD//
go_0015827_7	serS//garR//metE//
go_0015828_7	umuD//dgt//
go_0015829_7	nadB//thiC//ispH//
go_0015830_7	rluC//
go_0015833_6	rlmB//sdhC//aldB//glxK//hisD//bglA//panE//wzb//yigB//ispA//
go_0015834_7	lysA//mhpA//
go_0015835_6	adhE//
go_0015836_7	hemD//amiD//
go_0015839_7	insI-1//
go_0015846_6	speF//glpC//
go_0015847_7	yjcS//narY//nrdB//cysC//guaC//
go_0015848_7	arnT//alaC//
go_0015851_6	
go_0015853_8	entE//ahpC//
go_0015856_8	bfr//
go_0015857_6	waaO//gldA//
go_0015858_7	citC//sdaA//xylA//
go_0015860_7	pdxK//sdaA//
go_0015861_9	yfaU//ndh//
go_0015862_9	folE//murB//
go_0015863_8	hchA//
go_0015864_8	ybcF//
go_0015871_6	nadC//ldcC//nfsB//hisS//
go_0015878_6	
go_0015879_9	katG//
go_0015882_7	iscS//
go_0015886_6	hisH//metL//
go_0015887_7	argE//
go_0015888_6	yggF//
go_0015889_6	thyA//rfaD//rlmH//
go_0015891_6	yihX//
go_0015906_6	rlmD//
go_0015909_8	ndh//
