# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	thrC//
go_0006260_6	garR//ghrB//ribF//uvrC//mltB//gshB//argB//
go_0006261_7	pdxH//patA//phnI//
go_0006265_6	rnb//sseA//
go_0006266_6	gmhB//valS//galE//
go_0006267_5	
go_0006268_9	polB//paaA//
go_0006269_6	mhpD//
go_0006270_6	
go_0006271_7	
go_0006274_6	
go_0006275_7	
go_0006276_3	argA//murI//
go_0006281_6	fucK//tig//nudC//ubiA//ulaD//phnL//glpA//glgC//thrC//glgC//garL//pflB//nth//paaK//carB//yegS//cysH//
go_0006283_8	
go_0006284_7	lipB//yigL//trmA//rlmE//dgcZ//ddlA//
go_0006285_6	fadE//ubiI//cysQ//garK//
go_0006288_8	mtn//rlmL//
go_0006289_7	
go_0006298_7	galE//ybjG//waaZ//mpaA//
go_0006301_7	
go_0006302_7	speC//treC//
go_0006307_8	dusB//rluB//aceB//dacD//pgaC//
go_0006308_6	pgm//sad//nanA//alkA//
go_0006310_6	yihU//uidA//trpE//fabZ//rimK//
go_0006313_4	murI//
go_0006351_6	psd//allC//
go_0006352_7	
go_0006353_7	
go_0006354_7	hemH//
go_0006355_7	guaB//
go_0006357_8	
go_0006364_9	waaU//ahpC//caiD//nrdF//
go_0006378_8	mdh//
go_0006396_7	dapB//metG//pgsA//nfi//rfaE//
go_0006397_8	alsK//
go_0006399_8	trmD//cysN//
go_0006400_7	tesB//ilvC//glgB//hemF//mgsA//
go_0006401_6	pdxH//gltB//lpcA//gltB//arsC//lysS//
go_0006402_7	mutS//lpxD//gdhA//guaA//cueO//rluC//mcrA//
go_0006412_6	thrA//queD//napB//katE//ldtC//
go_0006413_4	yrfG//
go_0006414_6	
go_0006415_7	tdk//ydiF//
go_0006417_7	gor//aceA//
go_0006418_7	mak//thyA//yqhD//mrdA//fklB//lpoB//btuR//waaF//fadA//idnD//yigB//
go_0006419_8	tag//
go_0006420_8	bioF//
go_0006421_8	hdhA//
go_0006422_8	ybcF//
go_0006423_8	fadI//
go_0006424_8	nemA//waaF//
go_0006425_8	ybhA//
go_0006427_8	recO//
go_0006428_8	adeD//
go_0006429_8	kdsD//
go_0006430_8	insI-2//ttdB//
go_0006431_8	uxaB//
go_0006432_8	bacA//
go_0006433_8	amiD//
go_0006434_8	ulaF//
go_0006435_8	queF//
go_0006436_8	ddlA//
go_0006437_8	carA//
go_0006438_8	pdxJ//
go_0006448_8	
go_0006450_4	caiD//malS//napC//pdxJ//nadC//tcdA//
go_0006457_3	narY//murE//pbpC//wzb//argE//deoB//azoR//
go_0006458_4	
go_0006464_6	queC//sodC//clsB//lpoB//hemH//thiD//rutE//rffT//
go_0006465_6	dapA//dnaE//pnp//
go_0006468_7	lpxC//
go_0006470_7	nudC//garL//dacD//frlB//yrfG//
go_0006473_8	mobA//
go_0006474_6	puuE//opgE//garD//
go_0006476_8	tig//
go_0006479_5	thrA//pck//arnA//mhpC//hemA//accB//
go_0006486_5	lpoB//
go_0006490_5	azoR//
go_0006508_5	ilvD//recJ//glmU//gcd//argB//rsmF//tdh//pgaB//hypB//ispG//fumB//kbaY//mtgA//gloB//panE//aphA//aes//pfkB//sbcB//sad//dnaQ//lipA//pldB//treF//narZ//rnt//cheR//mnaT//panD//ruvC//nadB//lysU//dam//
go_0006515_7	ileS//pdxK//lysS//rrrD//prpC//leuS//murG//
go_0006517_6	insI-2//cdsA//
go_0006518_5	mutS//phnI//
go_0006523_8	roxA//ssuE//
go_0006524_8	
go_0006526_8	mazG//nrfD//mak//ackA//ybjG//ubiI//dacA//
go_0006527_8	ddlB//orn//waaC//glcD//ahr//
go_0006529_7	fumB//thrA//
go_0006530_7	ldhA//ruvB//dadA//ygjK//
go_0006531_7	thiH//
go_0006532_8	tesB//moaA//rhaD//
go_0006535_8	yagE//nagK//lipA//
go_0006537_8	murC//
go_0006538_8	dnaE//kdsC//
go_0006541_7	apt//glpX//argD//accB//prs//
go_0006542_8	araA//gudD//
go_0006543_8	
go_0006545_6	metH//
go_0006546_6	hemD//lysC//narI//
go_0006554_8	gshA//surA//torC//
go_0006556_5	waaJ//
go_0006559_6	dapD//
go_0006561_6	entC//serC//
go_0006563_7	rlmJ//
go_0006564_8	paaG//gldA//aspC//tyrS//
go_0006565_8	add//rdgB//ribD//pflB//speG//
go_0006566_7	cysM//
go_0006567_8	allC//fadJ//glmM//glcF//phoA//rlmC//uxaC//
go_0006569_7	cmk//
go_0006571_7	fruK//scpB//
go_0006593_7	phnH//
go_0006598_8	fabH//tmcA//scpB//
go_0006605_6	
go_0006612_6	
go_0006614_8	
go_0006616_7	
go_0006629_4	yccX//dmsC//
go_0006631_5	hisB//edd//bfr//ybiV//patZ//
go_0006633_6	ynfF//araB//ppiA//wecC//thrS//leuS//frdA//rutB//atoB//dgkA//orn//
go_0006635_6	argA//araD//aes//btuR//mnaT//folD//mutS//yihU//purN//argH//metH//pgk//
go_0006636_7	
go_0006637_5	ispB//wzb//tmcA//cdd//rnb//
go_0006646_7	
go_0006650_6	
go_0006654_7	nanE//
go_0006655_7	putA//cpsB//
go_0006725_4	folC//
go_0006729_6	sdaA//ppx//
go_0006730_4	srlD//gatZ//tauD//
go_0006734_9	
go_0006740_4	
go_0006741_9	
go_0006742_8	
go_0006744_7	ldtB//ynfH//ulaG//maeA//yfiC//cysK//frdA//dgkA//yagE//purT//nrfA//dfp//
go_0006749_5	queA//hemG//
go_0006750_6	rffM//thrC//
go_0006751_6	maa//
go_0006757_5	acnB//
go_0006760_5	aceB//
go_0006761_7	panD//
go_0006771_5	glnS//
go_0006772_6	fruK//gshA//
go_0006777_5	ilvI//tsaD//dnaE//iscS//argK//
go_0006779_6	cof//edd//iaaA//garD//cpdB//
go_0006780_7	speC//
go_0006782_7	ushA//trpA//nfsB//yieH//
go_0006783_5	queG//plsB//kdsA//lysU//aroC//treA//abgB//
go_0006790_4	allD//dld//glyS//galU//dusB//ynfE//ldcA//sdhA//malZ//fcl//
go_0006791_2	ndh//murI//mhpB//
go_0006793_4	yieH//ltaE//
go_0006798_5	dcm//
go_0006799_5	mltA//
go_0006801_5	gltB//tyrS//lpxP//
go_0006805_4	mltD//srlD//ybjI//ilvA//
go_0006807_3	citX//puuB//bglX//
go_0006808_4	waaJ//
go_0006810_4	fucI//xdhB//waaB//rlmH//maeA//glmU//sufS//sufS//queF//bioC//fabH//lpxK//otsA//yjhH//glgP//hcaB//pheT//tsaC//xdhB//dapB//malZ//yahK//trpA//ynfF//fucI//lsrG//waaF//eptB//murE//tmk//ybjI//feaB//ligB//prmC//tktB//pflB//waaH//menD//betA//argS//gdhA//narZ//gadB//tsaD//mltB//gdhA//pdxH//glmU//trpE//pgaD//yfcF//argH//cfa//asnS//araA//lpoB//argI//mdh//ribA//accD//ribC//cpsB//zwf//lplA//nrdE//glyA//aphA//tktB//sdhA//tgt//mutL//paaG//yciV//gcvH//deoC//bioD//purA//
go_0006811_5	waaJ//ldtD//gmhB//ygeX//fadD//thiD//uidA//nanE//csdA//folE//codA//
go_0006812_6	acs//lyxK//
go_0006813_8	mhpB//cysI//tsaC//waaF//folE//argF//fumB//adiA//
go_0006814_8	etk//ansA//trpD//thiC//
go_0006817_8	fumC//
go_0006820_6	trpD//alaC//kdsB//ygjK//hyaB//
go_0006821_8	avtA//
go_0006824_8	yihV//hisH//queC//adeD//
go_0006825_9	ubiX//
go_0006826_9	epd//
go_0006828_9	pykA//
go_0006829_9	leuC//lacZ//paaZ//ulaG//nanE//
go_0006833_6	
go_0006835_8	queD//feaB//
go_0006847_8	amyA//
go_0006855_6	frmA//zwf//hemB//prmC//hmp//gabD//sucB//cheR//rluF//uxaB//eptB//edd//cysK//argK//
go_0006857_7	malZ//aceB//chbG//
go_0006863_7	ushA//
go_0006865_6	kdsC//rihC//rfbD//yhdJ//tktB//lpxD//queF//otsA//edd//wzb//clsC//eutD//aldB//kdsB//pyrE//rlmL//ilvC//lgoD//ddlB//pykF//ppiA//
go_0006868_7	folD//
go_0006869_6	aroK//
go_0006874_8	
go_0006876_8	garK//
go_0006878_9	pphB//
go_0006879_9	ynfF//rsmF//
go_0006880_4	pdeF//speB//
go_0006882_8	melA//
go_0006883_8	ascB//dxr//nagZ//
go_0006884_4	
go_0006885_9	treA//
go_0006886_5	
go_0006928_3	pheS//
go_0006935_4	rhaB//pgm//yfiC//murE//rfaE//
go_0006970_4	folC//pta//coaA//dgoK//trmH//yihS//
go_0006972_5	lpxK//waaY//sodA//citX//bcsA//
go_0006974_5	ltaE//pagP//menH//pgpC//lysU//dcd//scpC//pbpC//bioA//adk//lpxB//gltB//dmlA//der//ulaF//rnpA//ubiX//eutB//narZ//nrfA//purT//sdaB//trmO//glcB//hchA//purF//dkgA//speE//glxK//thrA//yieH//pyrB//frc//ppiC//dam//ribA//entE//lpxD//suhB//arsC//ispU//hinT//puuA//waaP//trmL//curA//ydiF//clsB//opgB//hisC//glnE//nrfD//pgpB//dmsA//dusB//rsmI//nudG//nrfA//waaS//garR//asnA//phoA//polA//hflX//fadM//gloA//argA//ldtB//rsmB//rfbC//nadK//cheR//bioF//lysC//ruvB//gntK//feaB//nemA//eda//katE//paaZ//frdB//malY//guaA//ydfG//ppiA//sdhB//folM//tktA//yagE//ispU//metB//glmM//ackA//rbsK//
go_0006979_4	pgaD//ilvC//paaG//mnaT//aroC//dkgA//araD//uvrB//hyi//entF//cheB//cobT//glgA//mtn//glgB//scpB//nanK//pinE//rihC//eda//bioD//yieH//gstB//waaF//fabA//psuG//
go_0006986_5	folC//
go_0006995_6	garL//glyS//
go_0007059_3	paaG//ribE//
go_0007062_4	
go_0007155_3	hemF//
go_0007165_3	umuC//fadB//
go_0007234_5	
go_0007584_4	
go_0008033_9	glnA//metK//betA//fabB//ybiV//ushA//pgaB//dapB//
go_0008104_4	
go_0008152_2	dgcZ//purB//ppiA//mltD//hisS//ldcA//accA//sgbH//agp//mepS//pykA//alr//glmM//opgB//yeiG//ribA//speE//
go_0008156_8	
go_0008219_3	
go_0008272_6	rsmF//ubiC//
go_0008295_6	spoT//uvrA//ynfE//
go_0008299_5	recO//
go_0008360_4	prpB//sbcB//yccX//gluQ//nrdB//cynS//gor//ada//mpaA//dxs//mgsA//
go_0008610_5	dcm//rbsK//sdhD//garD//
go_0008615_6	fadI//ilvI//aspS//caiD//waaO//ssuE//selB//
go_0008616_8	solA//entH//opgE//icd//gstA//gudD//
go_0008643_6	katG//sucC//ispG//rsmH//aroH//waaQ//ydiB//argE//pfkB//ilvI//purD//aspA//murB//ppiC//glgA//pheA//lpxP//nrdA//
go_0008652_5	surA//kduD//yfcG//plsB//phnH//yihV//trpA//rfbC//
go_0008653_5	
go_0008654_5	lsrK//fadK//hycB//kdsA//
go_0009050_6	hisD//ilvB//
go_0009052_6	wecB//hemD//entA//truD//yjjX//ruvA//
go_0009056_3	yqjH//
go_0009058_3	maeA//ubiI//prmC//dadA//
go_0009060_6	ulaF//waaC//pdeH//truC//metL//uxuA//mug//
go_0009061_6	bglB//yhdJ//frdA//ftnA//coaE//napC//dgkA//aspA//rutB//yjiA//ilvH//coaD//gatZ//metF//ruvC//uxaC//speF//tynA//aphA//aroA//malQ//
go_0009062_6	epmC//
go_0009063_5	sodB//ubiD//ubiD//
go_0009070_7	ribE//
go_0009073_6	speA//purF//entD//dsdA//ubiI//ushA//ribD//rhaB//slyD//icd//waaA//
go_0009081_5	panE//ubiD//
go_0009082_6	ddlB//mhpA//dam//rsmJ//birA//fabD//rhaM//
go_0009085_8	bioD//
go_0009086_7	fabI//mepS//phr//argF//rph//
go_0009088_8	dacC//ydiB//
go_0009089_6	lysA//asnA//rlmC//yjhH//glpD//nth//
go_0009090_8	moaE//thyA//glcE//spoT//
go_0009092_7	alsE//
go_0009093_7	
go_0009094_6	ispF//lipA//dgt//
go_0009097_7	menB//mrcA//ldtC//glnS//entF//
go_0009098_7	kbaZ//ppc//treC//ahr//idi//rutB//
go_0009099_7	murI//kduD//serA//waaS//rffC//thiM//ndk//
go_0009102_6	proC//ppiA//araD//menB//ynfH//glnA//glk//zwf//trpA//
go_0009103_6	rhaA//fadA//katG//clsA//gloB//mutS//yjiA//mmuM//aldA//
go_0009106_5	cynT//
go_0009107_6	ppiA//ssuD//
go_0009108_6	tsaB//
go_0009116_5	ribB//fucA//
go_0009142_7	dxs//
go_0009143_7	uvrB//
go_0009152_8	cheR//
go_0009157_8	ogt//
go_0009166_7	panB//fre//
go_0009168_9	puuB//
go_0009220_8	purU//deoD//
go_0009224_9	entH//
go_0009226_6	adiA//rffC//
go_0009228_7	surA//spoT//entH//rsuA//gdhA//cdh//yciA//truD//tsaB//
go_0009229_6	hisF//xthA//
go_0009231_6	fumB//hyi//wecB//fabB//pdxA//mngB//lpxT//
go_0009234_7	sgbE//guaC//purC//ybjG//truA//frc//ahr//recO//abgA//
go_0009236_6	ruvB//ynfF//ddlB//oxc//ulaG//bfr//
go_0009237_4	bglB//cysC//
go_0009239_6	dsdA//waaH//rihC//opgE//roxA//paaA//leuS//purD//
go_0009240_6	dgoK//
go_0009242_6	murD//ymdB//mltB//tyrB//purD//cpsB//clsB//acnB//
go_0009243_7	asnB//
go_0009244_7	paaJ//bacA//treF//cysM//hisA//recF//ilvA//trpS//tsaB//oxc//gatD//asnS//argE//acpS//yfeX//preA//pgaD//gabT//tyrA//fabA//birA//rluE//
go_0009245_6	murQ//dapD//rlmH//rlmF//waaQ//asd//argK//hemE//slyD//
go_0009246_6	treC//dfp//murC//frmB//narZ//rlmM//
go_0009249_6	rsmG//pabB//ahr//
go_0009250_7	
go_0009251_7	bioA//
go_0009252_7	frlC//psd//moeA//glcB//rluB//lysS//gstA//rsmI//dfp//guaB//pgl//glnS//speA//glcB//asnB//adeD//yjjG//frlC//malP//gabT//melA//gltD//hisC//nanA//bioA//
go_0009253_8	metC//pabC//preT//purT//rpiA//frc//waaA//argB//mog//def//
go_0009254_8	xylA//lpxB//aspA//aes//entF//gltD//hypB//rhaM//fabG//proS//cpdA//
go_0009257_8	rlmA//leuA//lpxL//ppsA//
go_0009263_6	gntK//napC//
go_0009264_6	coaE//ygeX//
go_0009265_7	hemC//
go_0009266_4	waaF//pyrD//lpoA//sdhD//argH//glxK//
go_0009267_5	caiD//phnN//
go_0009268_4	lpcA//
go_0009271_4	
go_0009273_5	
go_0009290_6	
go_0009294_5	rlmB//
go_0009297_6	
go_0009298_7	speD//pgi//csdA//
go_0009305_7	argH//
go_0009306_4	
go_0009311_5	
go_0009314_4	rfaE//torC//ulaG//mnmE//serB//mutM//yigL//hcaC//ubiI//yihX//poxB//pabA//panB//tynA//lgoD//dfp//deoC//
go_0009372_5	argK//yfdR//uvrB//
go_0009396_6	pyrB//yahK//
go_0009398_7	argC//
go_0009401_7	nadD//gpmM//ilvM//narV//frmB//yfiC//preA//lpxL//aroL//mmuM//entA//dadA//hisB//menD//carA//ravA//uxaC//mrdA//trpC//frdB//
go_0009403_5	
go_0009405_4	
go_0009407_3	nhoA//
go_0009408_4	pgaB//dmlA//lysC//clsB//hyaB//ilvA//fabD//gloB//dcm//waaC//kbaZ//scpB//ribD//yciA//ileS//paaF//rsmB//hisG//clsA//ghrB//arnB//dgoD//lysU//mngB//nth//puuE//
go_0009409_4	rpiA//sgbU//
go_0009410_4	queD//
go_0009411_6	nrdA//phnI//yccX//dfp//poxB//cdd//cysG//waaJ//coaE//
go_0009416_5	fumC//frmA//
go_0009423_8	nanK//frdC//ubiX//glxR//
go_0009432_5	bioH//trpC//ynfE//tcdA//acnB//
go_0009435_9	trmA//cheB//gstA//garL//sucD//
go_0009436_6	recF//trpE//nudB//malP//
go_0009437_5	
go_0009438_5	
go_0009440_6	coaD//glpA//speC//
go_0009442_7	queF//idnK//relA//lpxC//cof//
go_0009443_5	sgbH//lysS//tdk//
go_0009446_6	dacC//der//
go_0009447_6	pabB//kdsD//cpsB//cobT//rlmH//malY//waaP//folM//
go_0009450_6	pyrG//ubiA//dxr//dcm//
go_0009451_6	azoR//fadJ//dinB//tsaE//
go_0009593_4	
go_0009597_5	
go_0009636_4	trmJ//rnb//cyaA//phnJ//gcd//
go_0009637_6	
go_0009651_5	
go_0009697_5	ubiH//
go_0009758_2	ilvE//
go_0009785_5	
go_0009970_6	waaJ//frlB//phoA//
go_0009972_10	dsdA//
go_0009992_5	slt//bioC//dmlA//
go_0010033_4	
go_0010038_5	
go_0010039_6	ybhA//
go_0010041_7	ydiF//dgoA//
go_0010042_6	waaF//
go_0010043_6	azoR//lpxM//
go_0010045_6	wecC//
go_0010106_6	
go_0010124_4	curA//wzc//ilvE//maa//ybiV//hemF//def//hisB//
go_0010133_7	yrfG//
go_0010139_7	pyrH//
go_0010165_6	mnmC//edd//rutD//argH//gadB//acpS//gpp//mog//
go_0010212_5	mutH//
go_0010226_6	cysK//
go_0010243_5	
go_0010272_6	dusB//
go_0010273_4	uvrC//sucB//paaC//
go_0010312_3	dhaL//
go_0010332_6	
go_0010350_6	
go_0010438_6	rlmL//pykF//
go_0010447_5	hemA//purA//
go_0010468_6	truC//
go_0010498_6	waaH//dgoK//galU//sgbU//
go_0010501_7	udp//serB//
go_0010557_7	
go_0010608_7	prmB//
go_0010628_7	
go_0010629_7	serC//
go_0010676_7	
go_0010699_4	clsB//pdxH//
go_0010810_5	
go_0010876_4	
go_0010911_5	
go_0010921_6	
go_0010951_8	
go_0010967_6	
go_0010974_7	
go_0012501_4	
go_0014070_5	mgsA//gpsA//fumA//maa//ldtA//nrfC//tig//trpD//rsmJ//
go_0015031_5	ogt//tdh//ispU//gutQ//ascB//purN//ydiF//nudC//
go_0015074_6	
go_0015628_5	
go_0015670_6	ldtB//
go_0015673_9	yjhG//
go_0015675_9	glnS//
go_0015679_10	allC//
go_0015682_8	lpxK//
go_0015684_9	fadI//purT//arnA//panD//
go_0015685_8	waaG//lipB//
go_0015687_7	fadE//
go_0015688_6	pykF//gstB//
go_0015689_8	ravA//
go_0015691_9	aldB//gudD//
go_0015692_8	puuD//
go_0015693_9	recR//
go_0015696_6	rihB//
go_0015698_7	yhdJ//
go_0015699_8	glcE//
go_0015700_8	uxaB//
go_0015706_6	ldtB//glmS//glxK//
go_0015707_6	waaH//ilvH//deoA//tcdA//
go_0015709_6	dhaL//
go_0015710_8	add//rnd//
go_0015712_7	etk//
go_0015718_8	menA//
go_0015721_7	nrdA//accA//pflB//
go_0015724_7	kefF//
go_0015726_8	lysC//
go_0015733_7	folC//
go_0015734_6	gadA//
go_0015736_9	garR//
go_0015739_7	eptB//
go_0015740_9	ahr//ssuE//fadK//
go_0015741_10	gcvP//dam//
go_0015747_6	clsA//
go_0015748_6	dmsC//
go_0015749_7	mnmA//dmlA//sad//ulaE//mltB//rhaD//phnG//
go_0015751_9	hemG//uxaB//
go_0015752_9	tdcD//yihX//
go_0015753_9	dhaL//torC//
go_0015754_9	ubiI//
go_0015755_9	tag//csdA//glxR//
go_0015756_9	pagP//eptB//
go_0015757_9	hchA//paaC//hemC//folX//
go_0015760_8	ydiO//
go_0015761_9	yjcS//
go_0015762_9	recJ//
go_0015764_7	acpS//trpB//glxR//
go_0015765_8	ybhA//entH//
go_0015767_9	kduD//ddlA//hisA//
go_0015768_9	cadA//rlmA//clsA//
go_0015769_9	avtA//
go_0015771_9	guaD//pphB//folX//
go_0015772_7	ltaE//fumA//mcrA//
go_0015774_7	ravA//
go_0015778_7	yigL//
go_0015793_7	ilvH//menD//
go_0015794_7	dusB//fucK//
go_0015795_7	hemC//etp//
go_0015796_7	leuC//
go_0015797_7	asnB//upp//yjhG//
go_0015803_7	clsA//garK//aldB//
go_0015804_7	malP//prmB//
go_0015806_6	pck//
go_0015807_7	fabZ//fabB//ftnA//sgbE//tyrB//gudD//
go_0015808_8	rlmH//mrcA//
go_0015809_7	murC//
go_0015810_8	tag//feaB//
go_0015811_7	preA//yjiA//
go_0015813_6	maeA//xylB//idnO//
go_0015814_7	pyrC//
go_0015816_6	fadH//
go_0015817_7	mltB//dgkA//
go_0015818_7	umpH//acs//
go_0015820_7	glgX//ynfE//rluA//napC//dosP//
go_0015821_7	wrbA//csdA//
go_0015822_7	glmM//
go_0015823_7	rnd//tmk//gadA//gpmA//ynfF//
go_0015824_7	ulaE//pncB//asd//
go_0015825_8	asnB//
go_0015826_7	cobC//yieH//glgP//
go_0015827_7	entA//rlmJ//gmhB//
go_0015828_7	metL//thrC//
go_0015829_7	hemA//hcp//rffG//
go_0015830_7	cysG//
go_0015833_6	ppk//dinB//rhaD//csdA//uidA//dacA//gor//deoB//argD//mutM//
go_0015834_7	ygeX//ulaE//
go_0015835_6	truA//
go_0015836_7	proB//bioC//
go_0015839_7	spoT//
go_0015846_6	leuS//torC//
go_0015847_7	waaF//leuC//rlmF//aspS//epmB//
go_0015848_7	sad//udp//
go_0015851_6	
go_0015853_8	ssuE//xylA//
go_0015856_8	mnmA//
go_0015857_6	ubiG//cysQ//
go_0015858_7	mutS//leuB//sodA//
go_0015860_7	moeB//torZ//
go_0015861_9	nadC//nrfC//
go_0015862_9	dgoA//mrdA//
go_0015863_8	def//
go_0015864_8	pyrF//
go_0015871_6	mltA//asd//ybjI//cmoB//
go_0015878_6	
go_0015879_9	cysN//
go_0015882_7	mhpA//
go_0015886_6	accA//sthA//
go_0015887_7	murQ//
go_0015888_6	gmhB//
go_0015889_6	adiA//mpaA//sodB//
go_0015891_6	codA//
go_0015906_6	yagE//
