# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	umuC//
go_0006554_8	trmJ//ssuD//putA//
go_0006556_5	cdh//
go_0006559_6	hemB//
go_0006561_6	sucB//hemC//
go_0006563_7	rhaA//
go_0006564_8	ppk//panB//hisF//ampH//
go_0006565_8	arnB//ilvD//waaC//ahr//menB//
go_0006566_7	mnaT//
go_0006567_8	glgP//rluF//nhoA//gshB//ispG//hemE//cfa//
go_0006569_7	fabZ//
go_0006571_7	trpA//nanK//
go_0006593_7	epmB//
go_0006598_8	nanK//phnP//nudF//
go_0006605_6	
go_0006612_6	
go_0006614_8	
go_0006616_7	
go_0006629_4	dnaQ//ppk//
go_0006631_5	rhaA//rhaB//paoC//dxs//hemA//
go_0006633_6	ftnA//clsB//rnb//trpB//galT//entH//glyA//rlmB//fadD//eda//tnaA//
go_0006635_6	frmA//rhaA//queG//aceF//ppiA//fadE//tag//tyrA//rfbC//phnP//ribE//gloA//
go_0006636_7	
go_0006637_5	thiE//cpdA//menH//hcaB//fadK//
go_0006646_7	
go_0006650_6	
go_0006654_7	pdxJ//
go_0006655_7	serC//pykA//
go_0006725_4	purL//
go_0006729_6	alsK//rsmF//
go_0006730_4	gltB//arnB//speC//
go_0006734_9	
go_0006740_4	
go_0006741_9	
go_0006742_8	
go_0006744_7	mdh//rimK//ilvN//prpC//hcaF//acpT//rluE//bioD//ahr//murB//aes//queF//
go_0006749_5	pgaB//tdh//
go_0006750_6	cadA//sucD//
go_0006751_6	clsB//
go_0006757_5	thiH//
go_0006760_5	maeA//
go_0006761_7	sucD//
go_0006771_5	puuD//
go_0006772_6	nagB//ilvB//
go_0006777_5	fadE//yciA//puuD//wecC//speC//
go_0006779_6	yihS//gloB//ldtD//preA//moaD//
go_0006780_7	udp//
go_0006782_7	cynS//hpt//purU//paaG//
go_0006783_5	kduI//katE//yagF//mltA//rfbB//chbF//pheT//
go_0006790_4	hisS//fadJ//nagA//lldD//acnB//rbsK//nudF//epmB//ribC//entE//
go_0006791_2	guaA//guaD//ispH//
go_0006793_4	leuS//alaA//
go_0006798_5	gph//
go_0006799_5	pgk//
go_0006801_5	miaA//hisA//fre//
go_0006805_4	trmH//pgaD//fkpA//lsrK//
go_0006807_3	caiD//rsmB//lpxH//
go_0006808_4	ldtC//
go_0006810_4	kdsA//pinE//hcaB//lpxD//trmJ//menC//prmB//ldtE//eda//dmsA//purN//ribA//rutB//rimK//leuB//spoT//rsmD//mgsA//ldtB//folX//pgsA//menD//mmuM//metH//proS//ppsA//dgoK//cmk//puuC//fumA//amiD//dgoD//glxK//pagP//kdsC//ugd//rfe//ung//rfbD//mdh//dapF//umuC//ilvB//moaA//pdeH//rutE//waaY//narY//fadB//paaC//xylB//cpsB//rfbC//ulaG//bglA//birA//rfbC//rpiB//dacD//thrS//ilvM//folC//moeA//dld//kdsA//tmcA//dcm//yfeW//epd//gmd//aroG//galK//guaA//eptB//mrcB//iscS//pcm//
go_0006811_5	gpsA//araB//cof//lysA//gmk//rbsK//lysC//aroG//wecB//lpxD//coaE//
go_0006812_6	bioD//bfr//
go_0006813_8	rihC//glpX//fucK//mtgA//rfbC//fadE//tdk//lpd//
go_0006814_8	speB//alsK//hisA//tdcG//
go_0006817_8	purC//
go_0006820_6	hyi//glyS//metC//trmJ//tesB//
go_0006821_8	coaE//
go_0006824_8	udp//pcm//glpC//tdk//
go_0006825_9	ppsA//
go_0006826_9	pykF//
go_0006828_9	fdhF//
go_0006829_9	dsdA//paaB//preT//asd//rlmG//
go_0006833_6	
go_0006835_8	trpE//nirB//
go_0006847_8	truB//
go_0006855_6	chbG//lpxH//acpT//pnp//ilvI//narZ//tpiA//nrfD//dgkA//tauD//eno//trpB//tyrS//gcd//
go_0006857_7	mutL//panB//epmC//
go_0006863_7	bioH//
go_0006865_6	ribC//nhoA//dmsB//xylA//ppx//pdxA//idnO//ribB//hisS//hyaA//pflB//dkgB//nhoA//hemH//sucC//phnM//recR//kdgK//kbaZ//fucO//thyA//
go_0006868_7	pdeR//
go_0006869_6	dxs//
go_0006874_8	
go_0006876_8	entB//
go_0006878_9	cdh//
go_0006879_9	pykA//alsE//
go_0006880_4	queF//allD//
go_0006882_8	betA//
go_0006883_8	icd//ribA//pabC//
go_0006884_4	
go_0006885_9	idnK//
go_0006886_5	
go_0006928_3	rluD//
go_0006935_4	menE//rluB//pepD//glmM//murE//
go_0006970_4	ybiV//gntK//guaA//hypF//speA//add//
go_0006972_5	apaH//gatZ//pgm//paoC//ugd//
go_0006974_5	nanK//gntK//treC//bioC//chbF//murQ//cobT//rlmE//dcyD//der//dcd//glpA//mltF//yfcG//abgA//glxK//pyrB//ispB//allD//udk//murA//lpxP//serS//paoC//nirD//paaZ//hemE//yhdJ//scpB//nagA//cueO//yciA//torY//mutS//narV//sgbH//lpxB//mtlD//torZ//pcm//folD//btuE//thyA//rlmM//thrC//gntK//entD//rfbD//pabA//yeaE//rfbC//glgP//ubiD//ulaG//nudG//murB//add//sgbU//pgaB//serB//menD//puuC//dxs//gabD//menB//adk//frdC//nudF//lysU//galK//ftsI//pyrF//torY//bglX//wecC//glnA//ugd//asd//dhaK//gudD//codA//argB//bioD//lysA//murA//fabA//citE//waaZ//thiL//cysN//glpA//fruK//tmk//thrA//cysK//
go_0006979_4	waaY//sthA//alsE//rsmJ//acnA//ruvB//btuR//argE//mog//epmC//gcvT//puuC//cysG//sucA//lpxP//nanE//folA//ribE//rlmE//recR//otsA//paaB//melA//cysH//pgsA//glgC//
go_0006986_5	ldcA//
go_0006995_6	thiM//recR//
go_0007059_3	gloC//def//
go_0007062_4	
go_0007155_3	rsmF//
go_0007165_3	eutD//rlmH//
go_0007234_5	
go_0007584_4	
go_0008033_9	cysQ//waaJ//sodA//pgl//prs//paaF//alsK//menI//
go_0008104_4	
go_0008152_2	ldtB//yqhD//luxS//xylA//mnmE//ackA//yjhH//yjhG//rhaB//cdd//narY//hinT//glgA//torY//mhpD//paaG//fadK//
go_0008156_8	
go_0008219_3	
go_0008272_6	ydiO//menC//
go_0008295_6	menA//appA//sthA//
go_0008299_5	insI-1//
go_0008360_4	maa//phnI//dusB//lpcA//malS//nrfA//ldtD//yccX//tdcG//rsmG//pck//
go_0008610_5	gabD//lysC//galU//ulaE//
go_0008615_6	napA//entD//polB//truB//guaB//gph//glpD//
go_0008616_8	dgcZ//gcl//argE//ppx//avtA//dhaK//
go_0008643_6	waaB//bioC//purL//rluF//speA//ndh//ldtB//ldtA//gatD//dapB//mug//otsB//allC//tag//thiC//allD//puuA//citC//
go_0008652_5	glcE//thiH//guaD//dacD//glmU//gloB//entC//ldtA//
go_0008653_5	
go_0008654_5	waaG//alsK//ugd//napB//
go_0009050_6	leuA//acnB//
go_0009052_6	rrrD//hisH//psd//lpxB//speA//serC//
go_0009056_3	queD//
go_0009058_3	paaB//cysN//ogt//nrfC//
go_0009060_6	yihU//dbpA//murC//aspC//pdxB//mltD//thiH//
go_0009061_6	pyrE//paaZ//sodC//purL//uxaB//preA//yfiC//acpS//sseA//ldtE//rhaM//murD//ansB//ilvD//acnB//trpB//dnaQ//hyaC//gnd//hisS//tauD//
go_0009062_6	panC//
go_0009063_5	lsrG//purL//malZ//
go_0009070_7	katG//
go_0009073_6	eptC//ldtE//dnaQ//malS//torC//murF//rlmE//mnaT//betB//tag//dfp//
go_0009081_5	mnmC//waaA//
go_0009082_6	rihA//scpC//gpmM//mocA//pgaD//yciV//eptB//
go_0009085_8	astB//
go_0009086_7	nrfB//moaD//bioC//acpT//ubiA//
go_0009088_8	roxA//accD//
go_0009089_6	deoD//glcE//csdA//murF//tyrA//fadD//
go_0009090_8	opgE//iscS//apaH//ftsI//
go_0009092_7	pfkB//
go_0009093_7	
go_0009094_6	xthA//metF//ahpC//
go_0009097_7	ilvN//betB//tdcE//lysS//uxaC//
go_0009098_7	uxaA//lpxT//phnM//thyA//rfbB//aceB//
go_0009099_7	luxS//cysH//dcyD//aceB//ligA//alaA//leuS//
go_0009102_6	nrfD//dgcZ//cobB//aroL//recO//mltC//yccX//adhP//folX//
go_0009103_6	glcB//sdaB//alsK//galM//puuB//paaA//fadM//xapA//yjhH//
go_0009106_5	pcm//
go_0009107_6	rnd//glpC//
go_0009108_6	sodA//
go_0009116_5	tsaB//glxR//
go_0009142_7	gatD//
go_0009143_7	frdC//
go_0009152_8	gltB//
go_0009157_8	leuD//
go_0009166_7	ribD//glcF//
go_0009168_9	gpmA//
go_0009220_8	fucI//gloB//
go_0009224_9	wecB//
go_0009226_6	fucO//birA//
go_0009228_7	yeiG//fabG//ndh//argG//sdhC//waaG//cfa//etp//etk//
go_0009229_6	astB//speE//
go_0009231_6	torC//fumB//yfdR//mltF//amiD//ftnA//gatY//
go_0009234_7	tsaD//uvrC//miaA//mrdA//mobA//ulaF//aldA//solA//fumC//
go_0009236_6	accB//rffH//speD//mak//rnpA//leuD//
go_0009237_4	wzc//dhaM//
go_0009239_6	pyrE//pepD//otsA//argE//paaB//manA//dgcT//fabB//
go_0009240_6	fadH//
go_0009242_6	yhdJ//gntK//cdd//xthA//epd//murG//paaF//menD//
go_0009243_7	abgA//
go_0009244_7	ldtE//rnt//ulaD//fadD//trpS//rsgA//thiH//aldA//adeD//pdxY//dosP//acpH//atoB//pck//metL//trmL//waaA//gstB//idi//paoC//galK//opgB//
go_0009245_6	pncB//ileS//atoB//mltB//pphA//hemD//dapA//gcvT//thiC//
go_0009246_6	mgsA//rffG//acpT//leuS//ldtA//betB//
go_0009249_6	mraY//uvrC//tdcB//
go_0009250_7	
go_0009251_7	hemN//
go_0009252_7	rbn//yigL//tcdA//icd//ynfE//torY//mhpA//umpH//amyA//ogt//ilvN//arnA//tdcD//gnd//hcaE//yjhG//pdeR//ung//rlmG//ampH//tsaC//ulaE//argK//sdhD//cobU//
go_0009253_8	fucK//yrfG//folX//iaaA//ygjK//murC//deoA//pabC//malQ//dapB//
go_0009254_8	caiD//gloB//cheB//deoA//cpdA//fadH//waaU//argF//ulaF//purA//mnmG//
go_0009257_8	hemL//leuS//wrbA//nadB//
go_0009263_6	rsmG//cysE//
go_0009264_6	folA//eutB//
go_0009265_7	nudB//
go_0009266_4	rluF//nagZ//gatZ//rsgA//murE//lpxB//
go_0009267_5	hemH//ispB//
go_0009268_4	ung//
go_0009271_4	
go_0009273_5	
go_0009290_6	
go_0009294_5	pykA//
go_0009297_6	
go_0009298_7	fabG//gpmA//malP//
go_0009305_7	cynT//
go_0009306_4	
go_0009311_5	
go_0009314_4	fabB//cpsG//etk//pagP//pgi//lplA//menI//rbsK//rimK//sad//eno//ddlA//mrdA//gutQ//gltD//pck//torY//
go_0009372_5	ftsI//lpxH//apt//
go_0009396_6	cysE//frmB//
go_0009398_7	ogt//
go_0009401_7	paaH//csdA//truB//pfkB//tsaB//arnA//aroK//lpoB//leuA//ldtA//ynfH//ynfH//fadE//yjcS//opgE//phnL//aroF//clsC//dkgB//cysM//
go_0009403_5	
go_0009405_4	
go_0009407_3	galT//
go_0009408_4	alkB//trmO//rihC//paaE//ligB//sseA//puuD//xdhB//tilS//bglB//putA//otsA//torA//fabG//gpt//gltD//gcd//solA//folD//mhpA//panB//murB//aroH//pdxA//rrrD//bioC//
go_0009409_4	yfdR//ynfH//
go_0009410_4	gluQ//
go_0009411_6	sbcB//rffM//pgsA//pykA//aroD//yjhH//murE//trmL//ndh//
go_0009416_5	opgE//thrC//
go_0009423_8	gldA//entB//rrrD//ycaO//
go_0009432_5	thiM//gltX//cof//garR//alaS//
go_0009435_9	rlmB//rlmC//avtA//ispF//hisS//
go_0009436_6	entA//nemA//nrdD//glmM//
go_0009437_5	
go_0009438_5	
go_0009440_6	fucI//gcd//dgcZ//
go_0009442_7	slyD//fruK//betA//tesB//recG//
go_0009443_5	glgB//cfa//panE//
go_0009446_6	arnB//slyD//
go_0009447_6	dkgA//trmD//ftnA//ybjI//gpp//fabD//eutB//mazG//
go_0009450_6	pyrH//torZ//umpH//dbpA//
go_0009451_6	maeA//acpT//purF//gdhA//
go_0009593_4	
go_0009597_5	
go_0009636_4	sdhC//rffM//dmsC//lyxK//rlmA//
go_0009637_6	
go_0009651_5	
go_0009697_5	paaC//
go_0009758_2	rhaA//
go_0009785_5	
go_0009970_6	nudB//tilS//cysD//
go_0009972_10	clsC//
go_0009992_5	nadD//rnpA//ispH//
go_0010033_4	
go_0010038_5	
go_0010039_6	polA//
go_0010041_7	nagK//fadK//
go_0010042_6	gltB//
go_0010043_6	birA//cysC//
go_0010045_6	mltA//
go_0010106_6	
go_0010124_4	rfaD//galM//leuS//edd//trpD//dmsA//rsmD//nanA//
go_0010133_7	rutC//
go_0010139_7	galU//
go_0010165_6	ispG//relA//fadA//yfdR//yigB//pabB//ruvA//codA//
go_0010212_5	nudB//
go_0010226_6	frmB//
go_0010243_5	
go_0010272_6	nrdE//
go_0010273_4	nirD//maa//xapA//
go_0010312_3	lysS//
go_0010332_6	
go_0010350_6	
go_0010438_6	uxuB//dmsB//
go_0010447_5	dinB//menF//
go_0010468_6	proA//
go_0010498_6	metG//fadM//ubiF//pdxH//
go_0010501_7	glpB//rlmH//
go_0010557_7	
go_0010608_7	malS//
go_0010628_7	
go_0010629_7	umuC//
go_0010676_7	
go_0010699_4	yghU//acnB//
go_0010810_5	
go_0010876_4	
go_0010911_5	
go_0010921_6	
go_0010951_8	
go_0010967_6	
go_0010974_7	
go_0012501_4	
go_0014070_5	ltaE//hinT//yfdR//gcvT//rutC//folM//ppiC//truA//ulaD//
go_0015031_5	chbG//preT//rutA//glnA//ugd//fabZ//glmU//lipB//
go_0015074_6	
go_0015628_5	
go_0015670_6	lldD//
go_0015673_9	acnA//
go_0015675_9	adk//
go_0015679_10	cysN//
go_0015682_8	napC//
go_0015684_9	hcaE//rbn//suhB//ppk//
go_0015685_8	glk//malY//
go_0015687_7	nirD//
go_0015688_6	carA//aroH//
go_0015689_8	dam//
go_0015691_9	pdxY//ulaE//
go_0015692_8	xylB//
go_0015693_9	glgA//
go_0015696_6	lldD//
go_0015698_7	lipA//
go_0015699_8	ahpC//
go_0015700_8	phnI//
go_0015706_6	mutT//trmJ//pgm//
go_0015707_6	putA//tehB//dhaL//cyaA//
go_0015709_6	yegS//
go_0015710_8	recO//ybjI//
go_0015712_7	purL//
go_0015718_8	sodB//
go_0015721_7	deoB//hpt//ftnA//
go_0015724_7	fadK//
go_0015726_8	torY//
go_0015733_7	cobC//
go_0015734_6	gldA//
go_0015736_9	entH//
go_0015739_7	hcaE//
go_0015740_9	cdsA//tdcB//serS//
go_0015741_10	frmA//ygeX//
go_0015747_6	argF//
go_0015748_6	fucA//
go_0015749_7	tmk//ravA//treF//suhB//leuC//dmsB//recR//
go_0015751_9	rlmL//coaD//
go_0015752_9	paaF//sgbH//
go_0015753_9	suhB//phnP//
go_0015754_9	dapD//
go_0015755_9	torZ//galM//hflX//
go_0015756_9	rutA//acs//
go_0015757_9	lpoB//pyrB//yahK//dsdA//
go_0015760_8	yigB//
go_0015761_9	ilvN//
go_0015762_9	rlmM//
go_0015764_7	hemG//kdgK//mnaT//
go_0015765_8	ispB//sdhC//
go_0015767_9	pnp//metE//lldD//
go_0015768_9	rpe//fcl//treF//
go_0015769_9	chbG//
go_0015771_9	malS//recF//fucA//
go_0015772_7	narI//yeaG//gapA//
go_0015774_7	bioF//
go_0015778_7	tehB//
go_0015793_7	gabD//yjhG//
go_0015794_7	plsB//nfsB//
go_0015795_7	cobC//iaaA//
go_0015796_7	dgoK//
go_0015797_7	lgoD//idnO//ldtE//
go_0015803_7	dbpA//leuC//lpxH//
go_0015804_7	cysH//ldtA//
go_0015806_6	eptB//
go_0015807_7	glcE//aroD//ribA//pyrF//nadA//gntK//
go_0015808_8	gabT//chbG//
go_0015809_7	lpcA//
go_0015810_8	ilvB//manA//
go_0015811_7	yihS//ttdA//
go_0015813_6	queG//amiD//srlD//
go_0015814_7	glpB//
go_0015816_6	hpt//
go_0015817_7	dacC//der//
go_0015818_7	ubiX//nrfD//
go_0015820_7	cobC//mltC//mltF//dkgB//alaA//
go_0015821_7	ubiE//waaF//
go_0015822_7	ada//
go_0015823_7	yeaE//hcaD//ubiH//psd//entF//
go_0015824_7	cheR//thrS//ilvA//
go_0015825_8	ycaO//
go_0015826_7	dhaL//frc//aroE//
go_0015827_7	ilvN//mnmC//sufS//
go_0015828_7	leuC//guaB//
go_0015829_7	pagP//rlmA//nfi//
go_0015830_7	eptA//
go_0015833_6	hisI//entA//pyrF//malZ//folP//pdxB//rsmB//ilvA//ynfE//rluD//
go_0015834_7	purC//yeiG//
go_0015835_6	pyrB//
go_0015836_7	uvrA//yigL//
go_0015839_7	patD//
go_0015846_6	amyA//idnD//
go_0015847_7	malQ//moaA//paaA//thrA//epd//
go_0015848_7	sucA//dsdA//
go_0015851_6	
go_0015853_8	torY//mutL//
go_0015856_8	dmsA//
go_0015857_6	mnaT//tdcG//
go_0015858_7	cynT//dut//lgoD//
go_0015860_7	miaB//fabD//
go_0015861_9	moeB//aldB//
go_0015862_9	waaY//eptA//
go_0015863_8	dkgA//
go_0015864_8	solA//
go_0015871_6	gntK//rffT//queG//fes//
go_0015878_6	
go_0015879_9	dkgA//
go_0015882_7	purU//
go_0015886_6	bioB//sad//
go_0015887_7	yidA//
go_0015888_6	queG//
