# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	iscS//
go_0006281_6	gutQ//tag//asnS//sufS//ndh//ddlA//nrdE//cheR//rlmE//miaB//argD//tyrB//yhdH//allB//rsgA//ynfF//codA//
go_0006283_8	
go_0006284_7	appA//ubiG//hisB//upp//glgC//gatD//
go_0006285_6	bioB//wzb//napB//fklB//
go_0006288_8	nrfA//purF//
go_0006289_7	
go_0006298_7	fadD//rlmI//thyA//aes//
go_0006301_7	
go_0006302_7	ubiA//mpaA//
go_0006307_8	xthA//kduD//clsB//maa//xdhB//
go_0006308_6	gshB//entA//sseA//maa//
go_0006310_6	waaS//trmA//purA//dusB//glpX//
go_0006313_4	glcF//
go_0006351_6	waaO//serB//
go_0006352_7	
go_0006353_7	
go_0006354_7	speD//
go_0006355_7	rlmE//
go_0006357_8	
go_0006364_9	prmC//maeA//etk//tpiA//
go_0006378_8	rpiB//
go_0006396_7	pbpC//etk//rluF//gstB//trmH//
go_0006397_8	oxc//
go_0006399_8	waaY//cysI//
go_0006400_7	lpxH//nadE//entD//fucA//rutE//
go_0006401_6	waaB//rffG//rfaD//dkgB//ydiF//narY//
go_0006402_7	eutB//arnA//lysC//wrbA//trmI//pheS//rhaD//
go_0006412_6	gcvT//sad//abgA//yfiC//tmcA//
go_0006413_4	speE//
go_0006414_6	
go_0006415_7	suhB//aceA//
go_0006417_7	argA//thiI//
go_0006418_7	mltF//waaY//sdaB//leuD//hemL//bioF//uxaB//panC//ppiA//phoA//wecC//
go_0006419_8	ybjI//
go_0006420_8	ubiA//
go_0006421_8	yajO//
go_0006422_8	tmk//
go_0006423_8	pyrF//
go_0006424_8	dnaQ//nemA//
go_0006425_8	lpoA//
go_0006427_8	yidA//
go_0006428_8	tynA//
go_0006429_8	mutS//
go_0006430_8	ndk//rihB//
go_0006431_8	gcvH//
go_0006432_8	hcaE//
go_0006433_8	ndk//
go_0006434_8	btuR//
go_0006435_8	glgP//
go_0006436_8	tehB//
go_0006437_8	dapF//
go_0006438_8	fkpA//
go_0006448_8	
go_0006450_4	pyrC//cpdA//murE//mnaT//aphA//pdxK//
go_0006457_3	ribC//sdhB//suhB//cpdA//gmk//hisD//insI-1//
go_0006458_4	
go_0006464_6	udk//pdxB//glyA//purU//purC//galE//hcaD//glxR//
go_0006465_6	tdcE//asd//ybcF//
go_0006468_7	uvrC//
go_0006470_7	ldtA//idnO//xthA//accB//xdhB//
go_0006473_8	ssuD//
go_0006474_6	glpA//ilvN//mmuM//
go_0006476_8	rpe//
go_0006479_5	ldcC//tig//waaU//umuD//deoB//gadA//
go_0006486_5	pdeR//
go_0006490_5	putA//
go_0006508_5	waaZ//puuC//ydiF//alsE//wrbA//nadD//puuB//tdcG//pgl//mak//purC//ushA//glpB//ftnA//rpiB//udp//mltB//ushA//epd//iscS//pgi//yigL//iaaA//aroC//guaB//dld//trpE//sucA//nagA//dacD//mtn//fumA//ycaO//
go_0006515_7	pdeF//gabT//metH//add//trpA//mtn//etk//
go_0006517_6	malS//yegS//
go_0006518_5	nhoA//gpp//
go_0006523_8	nadK//talB//
go_0006524_8	
go_0006526_8	accD//cynS//waaB//mepS//moaD//tadA//ubiI//
go_0006527_8	pdxY//ispG//ispB//ssuD//lpxL//
go_0006529_7	thrS//fadK//
go_0006530_7	puuD//cof//cobB//mtgA//
go_0006531_7	fadK//
go_0006532_8	entC//opgB//deoB//
go_0006535_8	garR//menE//accC//
go_0006537_8	dkgB//
go_0006538_8	narH//rluE//
go_0006541_7	tynA//tyrB//ygeX//apaH//upp//
go_0006542_8	dld//uvrB//
go_0006543_8	
go_0006545_6	cobT//
go_0006546_6	hcaD//acpH//cysG//
go_0006554_8	accC//kduI//torZ//
go_0006556_5	aceB//
go_0006559_6	glpK//
go_0006561_6	metE//aroA//
go_0006563_7	pgk//
go_0006564_8	galE//tgt//hcp//bcsA//
go_0006565_8	gcl//mhpC//selA//paoC//yihV//
go_0006566_7	yeiG//
go_0006567_8	phoA//galE//ispU//hyaB//pykA//rfaD//ligB//
go_0006569_7	hcaD//
go_0006571_7	ulaG//cpsB//
go_0006593_7	malQ//
go_0006598_8	deoC//dcm//guaC//
go_0006605_6	
go_0006612_6	
go_0006614_8	
go_0006616_7	
go_0006629_4	murE//pyrE//
go_0006631_5	waaA//hmp//lyxK//polB//cof//
go_0006633_6	miaB//prpB//dacC//malP//glmU//folD//nrdA//phnN//yahK//mltA//yagE//
go_0006635_6	eptA//asd//ushA//gabT//folA//glpC//rffG//xdhB//purF//fklB//tgt//dusB//
go_0006636_7	
go_0006637_5	iaaA//hemE//selA//phnH//lpxM//
go_0006646_7	
go_0006650_6	
go_0006654_7	luxS//
go_0006655_7	speB//galT//
go_0006725_4	phnJ//
go_0006729_6	phr//pdxK//
go_0006730_4	lyxK//metE//nhoA//
go_0006734_9	
go_0006740_4	
go_0006741_9	
go_0006742_8	
go_0006744_7	yihX//clsA//rffG//phnM//mpaA//glpK//phnI//yjhG//yhdJ//sufS//ghrB//glnE//
go_0006749_5	cmoA//rhaD//
go_0006750_6	ybjI//rluD//
go_0006751_6	pabA//
go_0006757_5	coaA//
go_0006760_5	aspA//
go_0006761_7	ddlB//
go_0006771_5	rpiA//
go_0006772_6	kdgK//rfaD//
go_0006777_5	ddlA//pyrC//hisH//menI//betA//
go_0006779_6	cheB//pcm//argD//entD//mltB//
go_0006780_7	ybhA//
go_0006782_7	uidA//rsgA//mpaA//iaaA//
go_0006783_5	mnmE//phnJ//hpt//rsuA//malZ//yfcF//kdgK//
go_0006790_4	mog//rihC//galK//folE//csdA//rlmM//lpoA//nirD//bcsA//pheT//
go_0006791_2	fumB//thiH//kdgK//
go_0006793_4	trmH//spoT//
go_0006798_5	yfeX//
go_0006799_5	cysI//
go_0006801_5	pcm//guaB//queC//
go_0006805_4	ansB//trmL//tdk//thyA//
go_0006807_3	hisS//mmuM//rffC//
go_0006808_4	waaU//
go_0006810_4	ydiO//hcaB//rsmI//rluB//ilvA//hemF//mltD//luxS//gadB//dam//pdxA//etp//ispA//pgk//truD//nadK//garK//gcd//thrS//hypB//glgA//gapA//bioB//mutM//aroD//ribA//waaP//aroD//acnA//murI//argE//pdxY//dxr//purD//moaE//yigL//rsmG//mgsA//ravA//gltB//trmJ//hcp//eutD//fumC//epmC//hypF//serA//aldA//ppx//dapB//idnK//dacA//ynfF//yrfG//frdB//ppc//pheT//aroD//lsrK//pnp//dmsB//cobS//ymdB//lpoB//acnB//ushA//aldB//rsmD//paaK//glcD//gutQ//purF//paaG//phnH//bioA//guaB//tnaA//
go_0006811_5	dacC//preT//puuC//fklB//phnN//pepD//nagB//glgX//hisD//sucD//nanA//
go_0006812_6	metC//gnd//
go_0006813_8	mhpA//hyi//gmd//folP//rffM//yahK//idnO//hyi//
go_0006814_8	rbn//trmA//curA//mtlD//
go_0006817_8	chbG//
go_0006820_6	etp//betA//mutL//mrdA//speD//
go_0006821_8	pyrG//
go_0006824_8	gadB//rhaM//sodC//serA//
go_0006825_9	umpH//
go_0006826_9	sdhC//
go_0006828_9	bglX//
go_0006829_9	menH//nudG//uxaB//mnmE//cysN//
go_0006833_6	
go_0006835_8	gltX//malQ//
go_0006847_8	pgpC//
go_0006855_6	trpE//rluB//rsmA//prmC//aphA//pta//lacZ//puuB//lpd//pgpC//galU//astB//eutD//ribA//
go_0006857_7	pgpC//glcE//tdcG//
go_0006863_7	kduD//
go_0006865_6	waaJ//pfkB//sdhA//argH//mtgA//melA//rfaD//lpd//asnA//nadK//ilvN//lpxL//btuR//glpC//eda//udp//yqaB//rfaD//hmp//tsaD//rimK//
go_0006868_7	waaA//
go_0006869_6	folD//
go_0006874_8	
go_0006876_8	tauD//
go_0006878_9	puuA//
go_0006879_9	nrfC//dcyD//
go_0006880_4	mhpA//rbsD//
go_0006882_8	cpsB//
go_0006883_8	arnT//plsB//ftsI//
go_0006884_4	
go_0006885_9	ybjG//
go_0006886_5	
go_0006928_3	purC//
go_0006935_4	dapF//speG//adk//dkgB//bfr//
go_0006970_4	lsrK//rrrD//uxaC//ubiF//tyrB//dgcM//
go_0006972_5	nrfC//ascB//aldA//nadK//wrbA//
go_0006974_5	dgkA//narI//pyrE//garK//ycjU//mutM//hcaE//yfdR//yagE//fucK//leuD//trpD//murC//malS//fabZ//gldA//rlmM//yjcS//yjhG//wzb//narI//gatD//gcvP//pykA//rph//atoB//cysE//narZ//fadB//ilvA//umuC//queC//bfr//citC//adk//gmhB//guaD//xylB//sucC//kdgK//kdsB//ybiV//iscS//cof//yjiA//ybhA//mtlD//cysD//fadA//pldB//lysC//frlC//mltC//hypF//glgP//sgbE//cheB//wecC//glgC//gltB//roxA//fadK//manA//maeA//acnA//eutD//carA//kduI//umpG//folM//dapA//folM//metF//betA//eptB//sseA//ilvD//uxaA//glgB//aroL//rlmF//nrdB//proB//nrdA//gloA//cpdA//yfdR//ghrB//hisH//tcdA//mutL//uidA//nadK//nrdE//tyrS//
go_0006979_4	sdaB//fbp//arnA//phnI//hemL//garR//narI//psd//recJ//gstA//coaD//fau//murI//mrcB//aroH//fes//ilvI//aphA//epmB//queD//metH//sufS//bglB//sad//hflX//garK//
go_0006986_5	ansB//
go_0006995_6	phnO//nagK//
go_0007059_3	cheR//sucB//
go_0007062_4	
go_0007155_3	selA//
go_0007165_3	moaD//bioF//
go_0007234_5	
go_0007584_4	
go_0008033_9	waaU//citC//pinE//ycjU//puuE//katG//dkgA//maa//
go_0008104_4	
go_0008152_2	eutB//yjjX//ygeX//dgoA//fucA//mnaT//lpoA//ubiE//mltB//coaD//pdeH//waaB//waaF//pgm//lpxC//ilvE//cysS//
go_0008156_8	
go_0008219_3	
go_0008272_6	sucB//paoC//
go_0008295_6	waaJ//fabB//queF//
go_0008299_5	puuE//
go_0008360_4	fucO//phoA//pheT//ilvI//rsmJ//metK//rluF//rlmI//mazG//cobT//pyrF//
go_0008610_5	pyrC//tsaC//panC//rfbC//
go_0008615_6	murG//proB//guaA//rlmM//pflB//yihU//arsC//
go_0008616_8	miaA//yfcG//epd//citX//rluE//yagF//
go_0008643_6	pepD//waaU//plsC//dut//rnpA//rsmB//leuC//frlB//thiL//puuE//speE//cof//cobU//yeaG//puuA//aspC//puuA//valS//
go_0008652_5	rnd//yihX//accB//lsrG//fucK//nrdB//mazG//ruvC//
go_0008653_5	
go_0008654_5	surA//glxR//guaB//lpxB//
go_0009050_6	dapD//ilvD//
go_0009052_6	dgkA//gnd//acpH//ybhA//aldA//yfbR//
go_0009056_3	yciV//
go_0009058_3	tesB//murG//cysC//malZ//
go_0009060_6	purD//ycjU//lpxL//garD//cysC//moaE//mhpC//
go_0009061_6	ftnA//lpxT//glmM//pdeL//fadJ//asnB//yfiC//acpS//rnd//murQ//fdhF//eptB//hinT//fadI//tehB//fkpA//ydiO//rihC//rsmG//yqhD//ldhA//
go_0009062_6	waaC//
go_0009063_5	frdC//hyi//gmhB//
go_0009070_7	truB//
go_0009073_6	roxA//rrrD//hcaD//tmcA//rnb//ileS//tig//epmA//glpB//rsmC//lgoD//
go_0009081_5	zwf//argS//
go_0009082_6	ilvD//queF//lpxT//birA//frmB//argE//hemG//
go_0009085_8	pepD//
go_0009086_7	araA//gloC//ldcC//agp//dapF//
go_0009088_8	rimK//mltD//
go_0009089_6	tdcD//fklB//ldhA//dgcZ//rnd//paoC//
go_0009090_8	malP//speD//thrC//tgt//
go_0009092_7	rsmD//
go_0009093_7	
go_0009094_6	pheA//cynS//dnaE//
go_0009097_7	recG//pldB//tilS//hflX//dgoA//
go_0009098_7	pabB//btuR//selA//ppx//tmcA//yihT//
go_0009099_7	bcsA//dgt//birA//dusB//yjcS//yjiA//pphA//
go_0009102_6	rutE//proC//fadI//coaE//allD//menB//murE//gapA//hypF//
go_0009103_6	allB//murF//frmA//gcvH//accB//rutA//kdgK//alaA//rimK//
go_0009106_5	rluD//
go_0009107_6	prmB//rlmC//
go_0009108_6	nemA//
go_0009116_5	folM//ppsA//
go_0009142_7	gcvH//
go_0009143_7	cyaA//
go_0009152_8	purL//
go_0009157_8	rbsD//
go_0009166_7	rffC//uvrA//
go_0009168_9	pgpB//
go_0009220_8	gloC//waaG//
go_0009224_9	alr//
go_0009226_6	thrS//wecB//
go_0009228_7	pgpC//valS//lpxT//phnI//phnI//glgX//mltC//ddlB//cmk//
go_0009229_6	entF//aldB//
go_0009231_6	yqhD//fbp//gloC//tdk//ppiA//pagP//aroD//
go_0009234_7	tilS//dapB//otsB//glnA//rnt//galE//acpT//manA//pdeL//
go_0009236_6	accD//ilvB//mutY//glpK//yihU//yjjX//
go_0009237_4	ahpC//clsB//
go_0009239_6	pyrD//mdh//menE//deoC//mnaT//cpdB//alsK//murQ//
go_0009240_6	waaY//
go_0009242_6	panD//cheB//nrdE//pyrE//bioF//lysC//lsrG//fumC//
go_0009243_7	uvrA//
go_0009244_7	phoA//fumA//yjjX//rsmH//truD//gmk//cpdB//ribA//ruvB//frlC//folE//carB//cysC//queC//purL//glxR//cdsA//bioH//fabG//alkA//narH//nudB//
go_0009245_6	acnB//queC//citC//sucA//serS//dgkA//proS//thrB//fabB//
go_0009246_6	ydiO//hdhA//ulaD//hisC//fabI//lpoB//
go_0009249_6	garD//guaB//lpxH//
go_0009250_7	
go_0009251_7	yfaU//
go_0009252_7	yrfG//proA//tsaC//hisA//malZ//yigL//rfaE//amyA//accB//lldD//ubiE//pdxJ//ubiG//lsrG//gudD//scpC//ampH//acnB//trpS//kdsC//gpp//mltD//yjjG//dbpA//miaA//
go_0009253_8	dnaQ//ddlB//fumC//dhaL//hisI//araA//mtlD//cysD//pdeF//sdhC//
go_0009254_8	allB//rihC//guaD//ybjI//curA//mltF//hyaC//nrfD//metG//trmL//glpD//
go_0009257_8	coaD//bioA//pykF//uxuB//
go_0009263_6	tktA//araA//
go_0009264_6	selA//cpsG//
go_0009265_7	alaC//
go_0009266_4	hemB//sbcB//chbG//pta//glmU//lpxL//
go_0009267_5	tnaA//mltF//
go_0009268_4	idnK//
go_0009271_4	
go_0009273_5	
go_0009290_6	
go_0009294_5	aes//
go_0009297_6	
go_0009298_7	etk//cobC//yagE//
go_0009305_7	edd//
go_0009306_4	
go_0009311_5	
go_0009314_4	yajO//yihS//avtA//mltB//fadJ//sad//fabG//dmsA//yihS//mutM//gshA//rihA//srlD//nadC//chbG//rbsK//phr//
go_0009372_5	rpiA//mug//mhpC//
go_0009396_6	nth//ychF//
go_0009398_7	speA//
go_0009401_7	azoR//queC//glnS//gadA//dgkA//gmk//aroK//umuD//dapA//nrfA//torA//phnP//argK//tdk//gloA//rnb//adhP//deoA//yagE//ppc//
go_0009403_5	
go_0009405_4	
go_0009407_3	ubiE//
go_0009408_4	accA//aphA//fadJ//roxA//uxuA//paaH//hisC//hemN//glcE//acpT//kdsA//purB//pldB//truA//argE//torA//gpt//ynfE//truC//ispH//nudF//mutM//rihB//entA//nadE//rfaD//
go_0009409_4	ghrB//paaZ//
go_0009410_4	cobT//
go_0009411_6	ilvC//yjjX//hinT//recR//metG//metH//lpcA//purB//murD//
go_0009416_5	lpxD//hisC//
go_0009423_8	mrcA//ada//rluF//astC//
go_0009432_5	galT//ilvM//tadA//frdD//leuS//
go_0009435_9	selB//aroK//garR//phnP//yihS//
go_0009436_6	rlmD//chbG//gcd//gshA//
go_0009437_5	
go_0009438_5	
go_0009440_6	gutQ//yahK//dut//
go_0009442_7	torY//rutD//cdh//umuC//nadK//
go_0009443_5	galT//ymdB//rlmM//
go_0009446_6	galM//panC//
go_0009447_6	hyaC//alsE//ackA//rrrD//metC//cysI//yghU//pinE//
go_0009450_6	ldtC//hemF//treC//nudF//
go_0009451_6	lpxC//cysE//chbF//malS//
go_0009593_4	
go_0009597_5	
go_0009636_4	lysS//fcl//lpxC//orn//aes//
go_0009637_6	
go_0009651_5	
go_0009697_5	rfbB//
go_0009758_2	rnd//
go_0009785_5	
go_0009970_6	carA//mutH//amyA//
go_0009972_10	rsmE//
go_0009992_5	bioF//etk//nrfD//
go_0010033_4	
go_0010038_5	
go_0010039_6	nirB//
go_0010041_7	nirD//ligB//
go_0010042_6	edd//
go_0010043_6	mrcA//glnS//
go_0010045_6	rluA//
go_0010106_6	
go_0010124_4	thiL//valS//ftsI//dbpA//yqaB//ispG//fabH//uvrB//
go_0010133_7	mcrB//
go_0010139_7	rihA//
go_0010165_6	glcB//mraY//phnM//ppsA//adk//dld//waaG//murB//
go_0010212_5	nanA//
go_0010226_6	ahpC//
go_0010243_5	
go_0010272_6	hpt//
go_0010273_4	fabH//pcm//cysS//
go_0010312_3	nhoA//
go_0010332_6	
go_0010350_6	
go_0010438_6	eptA//tadA//
go_0010447_5	menA//betA//
go_0010468_6	tdk//
go_0010498_6	purU//tsaE//pbpC//tgt//
go_0010501_7	ftsI//rffC//
go_0010557_7	
go_0010608_7	thiC//
go_0010628_7	
go_0010629_7	frc//
go_0010676_7	
go_0010699_4	waaB//ybjI//
go_0010810_5	
go_0010876_4	
go_0010911_5	
go_0010921_6	
go_0010951_8	
go_0010967_6	
go_0010974_7	
go_0012501_4	
go_0014070_5	tsaC//katG//ada//yigL//gmk//mepS//dld//queG//aspC//
go_0015031_5	purL//paaF//hemH//pgm//cynT//sodC//nagK//katE//
go_0015074_6	
go_0015628_5	
go_0015670_6	tig//
go_0015673_9	dapF//
go_0015675_9	rutD//
go_0015679_10	rsmA//
go_0015682_8	trmD//
go_0015684_9	entE//udk//lpoB//nudC//
go_0015685_8	lpd//ymdB//
go_0015687_7	dacA//
go_0015688_6	nadK//pheT//
go_0015689_8	cpdB//
go_0015691_9	cysE//ispG//
go_0015692_8	rluC//
go_0015693_9	ndh//
go_0015696_6	ampH//
go_0015698_7	wcaJ//
go_0015699_8	azoR//
go_0015700_8	arsC//
go_0015706_6	waaP//acnB//curA//
go_0015707_6	truD//paaG//aroE//melA//
go_0015709_6	acpS//
go_0015710_8	ung//mrcA//
go_0015712_7	arnA//
go_0015718_8	mltB//
go_0015721_7	pgk//galM//purB//
go_0015724_7	speF//
go_0015726_8	murG//
go_0015733_7	yfcF//
go_0015734_6	gcvP//
go_0015736_9	lysU//
go_0015739_7	ldcC//
go_0015740_9	rsmG//ydfG//waaL//
go_0015741_10	entD//cpsB//
go_0015747_6	deoD//
go_0015748_6	ruvB//
go_0015749_7	argH//yihT//agp//rlmB//mrcA//sodB//dkgB//
go_0015751_9	glcB//yfeW//
go_0015752_9	cysN//pdxB//
go_0015753_9	entB//cdd//
go_0015754_9	glcD//
go_0015755_9	adhP//rfaE//dgoD//
go_0015756_9	aroA//uxuB//
go_0015757_9	adiA//rffG//arsC//glgC//
go_0015760_8	hyaB//
go_0015761_9	ynfE//
go_0015762_9	ilvH//
go_0015764_7	malQ//rlmF//nrdD//
go_0015765_8	ndh//folD//
go_0015767_9	pfkA//phnP//cysH//
go_0015768_9	psuG//mngB//xylA//
go_0015769_9	wzc//
go_0015771_9	miaB//mog//hemF//
go_0015772_7	ydiF//kduI//argB//
go_0015774_7	treC//
go_0015778_7	uvrC//
go_0015793_7	dapF//truC//
go_0015794_7	psd//ulaE//
go_0015795_7	thiI//rlmC//
go_0015796_7	lpxD//
go_0015797_7	aroB//ahr//yihV//
go_0015803_7	mtlD//kdgK//ulaD//
go_0015804_7	nanA//moaA//
go_0015806_6	xapA//
go_0015807_7	lacZ//serS//dapA//insI-2//lldD//hcp//
go_0015808_8	hflX//gmd//
go_0015809_7	solA//
go_0015810_8	bcsA//glnS//
go_0015811_7	gnd//tmcA//
go_0015813_6	agp//rlmD//ghrB//
go_0015814_7	pcm//
go_0015816_6	clsA//
go_0015817_7	idnO//rsmH//
go_0015818_7	hemB//nrdF//
go_0015820_7	nudG//fumC//aroE//thiD//gabD//
go_0015821_7	cysH//lpxP//
go_0015822_7	yieF//
go_0015823_7	idnK//bioB//rffH//adk//treF//
go_0015824_7	thiG//ackA//purL//
go_0015825_8	eda//
go_0015826_7	bglB//tmcA//rph//
go_0015827_7	folC//kdsA//rutC//
go_0015828_7	cdd//sdaA//
go_0015829_7	dgcM//pheT//thiC//
go_0015830_7	paaC//
go_0015833_6	ushA//katG//bioD//truC//citC//tyrB//lsrG//spoT//pcm//entD//
go_0015834_7	galM//coaD//
go_0015835_6	nudF//
go_0015836_7	rfaD//queF//
go_0015839_7	truA//
go_0015846_6	ycaO//dxs//
go_0015847_7	rlmB//pabB//speG//putA//ndk//
go_0015848_7	nrdF//rpe//
go_0015851_6	
go_0015853_8	proS//uxuB//
go_0015856_8	ruvC//
go_0015857_6	queA//asnS//
go_0015858_7	murF//gshA//acpH//
go_0015860_7	rffM//amiD//
go_0015861_9	rlmE//ilvE//
go_0015862_9	pbpC//aroH//
go_0015863_8	tdh//
go_0015864_8	queF//
go_0015871_6	fbp//rpe//thrB//thiD//
go_0015878_6	
go_0015879_9	ampD//
go_0015882_7	cysS//
go_0015886_6	phnG//mnmG//
go_0015887_7	aspC//
go_0015888_6	mhpD//
go_0015889_6	glmU//yfeW//wecB//
go_0015891_6	glpK//
