# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	phnN//
go_0006144_6	
go_0006145_7	chbF//
go_0006146_8	ahpC//
go_0006148_9	rpiA//
go_0006149_9	aceA//
go_0006150_9	waaS//
go_0006152_7	tdcE//metH//uvrA//pgl//dacC//
go_0006154_6	ssuD//
go_0006161_9	cysH//
go_0006163_6	eutD//
go_0006164_7	der//uxuB//pgaD//aspS//
go_0006166_6	entC//
go_0006168_7	waaQ//malZ//
go_0006171_9	
go_0006172_9	mak//
go_0006177_9	tdk//
go_0006178_7	serA//
go_0006183_9	yihV//
go_0006189_10	yrfG//ruvA//
go_0006203_8	ubiX//cheR//
go_0006206_6	nrdD//kbaY//patA//
go_0006207_8	dmlA//der//hypB//aroD//napA//
go_0006208_7	mltD//pykF//dmlA//yihS//ampD//pykA//
go_0006209_6	phnH//
go_0006210_8	adiA//
go_0006212_6	ubiX//panC//solA//acpT//yhdH//glcD//alaC//maa//tynA//purB//
go_0006217_9	tdcB//
go_0006218_9	yciA//
go_0006220_6	tdcB//
go_0006221_7	asnB//pgl//hemH//
go_0006222_9	
go_0006225_9	thrS//
go_0006226_9	tsaE//fau//
go_0006227_9	waaB//
go_0006231_9	ynfE//
go_0006233_9	clsB//
go_0006235_9	idi//
go_0006241_9	glnA//
go_0006259_5	rlmG//rbsK//yidA//
go_0006260_6	nemA//rsmI//adhP//hisF//ogt//lpd//gcvH//
go_0006261_7	folP//bioF//waaJ//
go_0006265_6	ruvB//mltF//
go_0006266_6	dfp//rffT//lpd//
go_0006267_5	
go_0006268_9	torY//trmH//
go_0006269_6	pinE//
go_0006270_6	
go_0006271_7	
go_0006274_6	
go_0006275_7	
go_0006276_3	dgcZ//ribB//
go_0006281_6	dacA//selD//cysM//hemE//prpB//mepS//glgC//rutE//rlmE//yjhG//waaH//wrbA//ilvA//ybiV//kduI//gph//hcaC//
go_0006283_8	
go_0006284_7	slyD//mak//lipA//cysS//idnD//dacA//
go_0006285_6	waaF//malP//sdhD//ubiE//
go_0006288_8	def//rsmF//
go_0006289_7	
go_0006298_7	trmD//glgB//valS//hisF//
go_0006301_7	
go_0006302_7	sdhA//lpxK//
go_0006307_8	mutT//hyaB//tdk//pgpB//thiL//
go_0006308_6	fes//pgaD//uvrA//sad//
go_0006310_6	bglX//nrfA//nadE//proB//pck//
go_0006313_4	atoB//
go_0006351_6	purF//ybhA//
go_0006352_7	
go_0006353_7	
go_0006354_7	yfeW//
go_0006355_7	rhaD//
go_0006357_8	
go_0006364_9	ispB//ispG//hypB//guaA//
go_0006378_8	fadI//
go_0006396_7	gcvH//yihS//menA//aspA//katE//
go_0006397_8	mutH//
go_0006399_8	pagP//argG//
go_0006400_7	waaJ//rluD//cysC//sdhD//hypF//
go_0006401_6	nrdE//pdxH//iscS//ulaF//hflX//maeA//
go_0006402_7	speE//rsmE//fabA//yjcS//rffH//ymdB//ynfE//
go_0006412_6	spoT//menD//mtgA//tktB//xapA//
go_0006413_4	metK//
go_0006414_6	
go_0006415_7	recJ//cobB//
go_0006417_7	lysC//yqaB//
go_0006418_7	betA//dxs//yihX//rfbD//araD//phnG//plsB//nrfA//mutH//arnA//malY//
go_0006419_8	mngB//
go_0006420_8	pheA//
go_0006421_8	gmk//
go_0006422_8	dld//
go_0006423_8	ribD//
go_0006424_8	hcaE//kdsA//
go_0006425_8	pyrG//
go_0006427_8	mocA//
go_0006428_8	araA//
go_0006429_8	deoD//
go_0006430_8	torA//cysN//
go_0006431_8	dut//
go_0006432_8	miaB//
go_0006433_8	speE//
go_0006434_8	puuB//
go_0006435_8	garR//
go_0006436_8	waaB//
go_0006437_8	metG//
go_0006438_8	aroB//
go_0006448_8	
go_0006450_4	selB//yajO//rsmG//avtA//aceF//serA//
go_0006457_3	rluC//gdhA//narG//fadK//trpD//iaaA//gabD//
go_0006458_4	
go_0006464_6	xylA//fabI//torA//argK//nrdE//rlmF//frdC//recJ//
go_0006465_6	ruvB//hycB//avtA//
go_0006468_7	gltB//
go_0006470_7	cobB//mog//mtgA//trpC//mltF//
go_0006473_8	ssuE//
go_0006474_6	appA//ydfG//trpE//
go_0006476_8	pdxB//
go_0006479_5	otsB//thiG//rlmJ//ycjU//mhpA//idnD//
go_0006486_5	allD//
go_0006490_5	pgaD//
go_0006508_5	tdcD//relA//rutB//glcB//scpC//dinB//paoC//ybjG//mutT//rluE//frlB//pdxJ//acnA//mutL//eptB//gpp//ilvM//leuC//tyrS//alsK//glcF//phnG//phnM//pgsA//aroG//yeaG//gatY//gpt//gnd//sbcB//sdhA//selA//alsK//
go_0006515_7	dkgA//folA//scpB//sodA//ilvD//pgaB//paaH//
go_0006517_6	metE//nudB//
go_0006518_5	waaA//kduI//
go_0006523_8	umpG//idi//
go_0006524_8	
go_0006526_8	ycaO//lpxT//hemE//manA//nemA//glxR//deoB//
go_0006527_8	rsmC//wecB//tmk//waaJ//iaaA//
go_0006529_7	queC//astC//
go_0006530_7	fadE//tadA//gntK//cysD//
go_0006531_7	trmD//
go_0006532_8	lplA//kbaY//lysU//
go_0006535_8	prpB//sdhA//gmhB//
go_0006537_8	rutE//
go_0006538_8	nirD//glcD//
go_0006541_7	rffM//gcvP//yihV//azoR//waaS//
go_0006542_8	paaK//nanE//
go_0006543_8	
go_0006545_6	lyxK//
go_0006546_6	folX//purN//lyxK//
go_0006554_8	dbpA//speA//abgB//
go_0006556_5	hemD//
go_0006559_6	fadA//
go_0006561_6	gmhB//lpxC//
go_0006563_7	melA//
go_0006564_8	ndk//preT//ribF//argG//
go_0006565_8	nrfA//tktA//hcaB//fabD//lldD//
go_0006566_7	acpH//
go_0006567_8	rlmA//nanK//ugd//rluB//aldB//polA//talB//
go_0006569_7	insI-2//
go_0006571_7	lsrG//glxK//
go_0006593_7	yjiA//
go_0006598_8	cdsA//hcaB//ldcA//
go_0006605_6	
go_0006612_6	
go_0006614_8	
go_0006616_7	
go_0006629_4	proB//ileS//
go_0006631_5	sucA//polA//adk//ispA//ppk//
go_0006633_6	chbG//tmcA//surA//waaL//ilvM//purN//fbp//nagA//recR//mutS//accD//
go_0006635_6	thiG//caiD//pykF//sucA//paaF//ynfF//pnp//acpT//proS//hemD//glgA//murI//
go_0006636_7	
go_0006637_5	alaS//pbpC//phnM//adeD//cysI//
go_0006646_7	
go_0006650_6	
go_0006654_7	aphA//
go_0006655_7	murA//ilvN//
go_0006725_4	entC//
go_0006729_6	dfp//rfe//
go_0006730_4	yqjH//cpsG//rlmB//
go_0006734_9	
go_0006740_4	
go_0006741_9	
go_0006742_8	
go_0006744_7	frc//ruvB//paaC//lpxD//aldA//rlmI//pheT//yigL//ilvD//proS//ndk//eptA//
go_0006749_5	pykA//glmS//
go_0006750_6	purB//lpd//
go_0006751_6	sucA//
go_0006757_5	curA//
go_0006760_5	tsaB//
go_0006761_7	ppc//
go_0006771_5	purN//
go_0006772_6	citX//hisG//
go_0006777_5	azoR//rlmA//rlmB//epd//nudB//
go_0006779_6	mrcB//pykF//ppiA//speD//trmA//
go_0006780_7	dmsB//
go_0006782_7	sdaB//fkpB//pdxA//purD//
go_0006783_5	cmoB//etp//puuB//aceA//gmd//aroE//epmB//
go_0006790_4	gcvP//nrfD//aroA//lpxH//coaD//alsK//csdA//glpX//rutD//thrA//
go_0006791_2	umuD//rbsD//torZ//
go_0006793_4	yccX//ldtC//
go_0006798_5	scpC//
go_0006799_5	ppsA//
go_0006801_5	btuE//rbn//rihA//
go_0006805_4	pdxJ//apaH//frmB//hisC//
go_0006807_3	ybjG//argI//garR//
go_0006808_4	rpiA//
go_0006810_4	purA//treA//dapF//hemF//acpS//entC//gloB//wzc//acnA//waaY//dcm//rluD//tdh//narY//yfeW//glgX//rffM//pgpB//dkgA//agp//orn//phnP//trmH//hcaC//aldB//treC//tsaC//thiG//codA//avtA//rnt//nrdE//malS//mhpB//mepS//cdd//manA//pyrG//pyrB//lpxM//bglB//trpS//lpxH//waaS//udp//mpaA//ppx//gcvH//cysG//yccX//paaH//rsgA//gpt//pdxB//alaC//frmB//tdk//rph//rnd//pheT//fbp//kdgK//glxK//ispH//sseA//pgk//rluA//mgsA//eutD//chbG//sseA//mgsA//plsC//ftsI//atoB//ubiC//hemL//
go_0006811_5	tdcB//nudG//ndh//ybhA//ppx//clsA//entA//yjhG//queD//gltD//gudD//
go_0006812_6	tadA//rsmG//
go_0006813_8	menE//tmcA//mobA//adhE//pdxK//curA//ldhA//cueO//
go_0006814_8	pgm//tyrS//pheA//moeA//
go_0006817_8	cysC//
go_0006820_6	hemG//paaF//metH//ldhA//fadE//
go_0006821_8	queC//
go_0006824_8	gor//mutH//pldB//waaU//
go_0006825_9	rutE//
go_0006826_9	mltF//
go_0006828_9	cobT//
go_0006829_9	nadB//xylA//selB//rlmC//hemG//
go_0006833_6	
go_0006835_8	insI-2//argB//
go_0006847_8	puuC//
go_0006855_6	yagF//adk//rsgA//mmuM//selD//ilvN//gloC//lpxT//gpsA//alkB//sad//rffT//xapA//frdA//
go_0006857_7	glgA//ygeX//mltC//
go_0006863_7	murC//
go_0006865_6	yieF//lpcA//phnO//allC//ssuD//malY//ymdB//sdaB//asd//pdeL//nth//cyoE//serS//dacA//idnK//selA//tyrS//suhB//ppiC//aceB//rsmI//
go_0006868_7	yfaU//
go_0006869_6	metL//
go_0006874_8	
go_0006876_8	alsK//
go_0006878_9	waaF//
go_0006879_9	pdxA//iaaA//
go_0006880_4	menA//dnaE//
go_0006882_8	bioA//
go_0006883_8	fbaA//ppiC//slyD//
go_0006884_4	
go_0006885_9	argB//
go_0006886_5	
go_0006928_3	tauD//
go_0006935_4	puuB//cysK//umuC//sucA//xthA//
go_0006970_4	yciV//dld//cysE//lyxK//tdk//xapA//
go_0006972_5	ydiB//mnmC//ycaO//sgbE//ahpC//
go_0006974_5	yqaB//opgE//nth//gloC//mrcA//panC//trpA//insI-1//paaG//fabD//sseA//mngB//glgA//gph//eutD//ftsI//cueO//guaA//kdsD//yghU//fdhF//trmL//lpxH//kdsB//pykA//torA//dkgB//argF//tdh//metK//poxB//tadA//sucC//fadH//gntK//coaA//feaB//lsrG//nrdF//hisB//cdd//pdeR//pnp//ppk//glcE//rsmG//rffH//tdcD//sucB//ldcC//yjjG//murA//gapA//dfp//cpsB//ampD//mnaT//entB//gmhB//lacZ//leuB//narH//gltB//purT//dbpA//nadK//thrB//puuC//gapA//ldtD//sthA//queG//yjcS//tilS//gatZ//sucB//ampH//xapA//yajO//tpiA//dgt//leuS//ilvH//ampD//aroK//coaA//astC//gstB//paaJ//nudB//yjiA//fabH//surA//dkgA//epd//
go_0006979_4	ubiD//yfbR//glcB//cobT//slt//waaB//rsmG//recJ//folD//nudC//manA//hpt//dam//aroB//otsA//cof//atoB//kdgK//miaB//phnO//pabB//ubiD//kdsD//dmlA//leuA//apt//
go_0006986_5	sdaA//
go_0006995_6	ychF//paaK//
go_0007059_3	yihU//selA//
go_0007062_4	
go_0007155_3	hisS//
go_0007165_3	gadA//fucK//
go_0007234_5	
go_0007584_4	
go_0008033_9	uidA//arnB//nadA//guaD//puuA//cobC//nanE//aroL//
go_0008104_4	
go_0008152_2	ulaD//rfbB//upp//mug//plsB//recJ//dgoD//thiM//cobT//otsA//thiI//cysI//trpE//paaG//btuR//waaP//ybjG//
go_0008156_8	
go_0008219_3	
go_0008272_6	cyaA//rsmE//
go_0008295_6	ubiG//glpA//mraY//
go_0008299_5	folA//
go_0008360_4	dinB//idnO//umpH//rsmA//mhpD//amyA//metE//purD//lpxD//azoR//folC//
go_0008610_5	gnd//metH//panE//rfaE//
go_0008615_6	napB//leuS//pykA//dapB//miaA//cobU//ldcC//
go_0008616_8	prpD//yhdJ//uvrB//frmA//wrbA//proC//
go_0008643_6	ynfF//nrdE//galE//rnpA//gnd//tgt//tig//rluF//azoR//lpxP//ahr//lpxH//recR//sucC//uidA//paaC//lipA//adeD//
go_0008652_5	yciV//paaF//ilvE//ldtE//eptC//bioA//narG//arnA//
go_0008653_5	
go_0008654_5	asnA//dhaK//lpxM//add//
go_0009050_6	pnp//xylB//
go_0009052_6	ulaE//leuC//tcdA//queA//gor//cadA//
go_0009056_3	asd//
go_0009058_3	recO//mocA//sdaA//yfcF//
go_0009060_6	cobT//ubiC//leuB//mltF//gldA//rsuA//thrB//
go_0009061_6	mltA//purC//ilvC//murF//acpT//sseA//rnb//hypB//dut//tsaE//glpB//lldD//ttdA//ruvB//fabD//wzb//bcsA//recF//hisS//ldtB//cdsA//
go_0009062_6	ribF//
go_0009063_5	yihU//truC//insI-2//
go_0009070_7	pinE//
go_0009073_6	insI-1//fabZ//appA//dbpA//speG//dmlA//proB//rutA//cdsA//puuD//rpiB//
go_0009081_5	hisH//mocA//
go_0009082_6	chbF//dbpA//dmsC//lpxC//ligA//nagA//hemF//
go_0009085_8	nrdD//
go_0009086_7	tyrA//yrfG//dusB//lsrG//thiD//
go_0009088_8	glcB//valS//
go_0009089_6	glcD//ilvN//ruvC//fadI//kdsD//pagP//
go_0009090_8	fadM//rpiB//entE//pphA//
go_0009092_7	gabD//
go_0009093_7	
go_0009094_6	galM//btuR//dapD//
go_0009097_7	hyi//tktB//ubiH//nrdB//yagE//
go_0009098_7	uxaC//tyrS//lysS//nudF//rluC//alkA//
go_0009099_7	mutY//phoA//pgpA//folC//ispG//bioA//rutE//
go_0009102_6	trmD//asnS//purU//sdhB//speA//eutD//talB//rffT//fabG//
go_0009103_6	torA//cmoB//thiE//araB//hcaB//sufS//pheS//rpe//purU//
go_0009106_5	sdhD//
go_0009107_6	leuB//folE//
go_0009108_6	yqjH//
go_0009116_5	gdhA//recO//
go_0009142_7	nrdB//
go_0009143_7	aceB//
go_0009152_8	amiD//
go_0009157_8	betA//
go_0009166_7	patD//tpiA//
go_0009168_9	waaC//
go_0009220_8	nudC//pheA//
go_0009224_9	adk//
go_0009226_6	sdhB//yhdH//
go_0009228_7	feaB//rrrD//fabG//rutB//pldB//panC//rsmD//dmsA//garK//
go_0009229_6	menA//udp//
go_0009231_6	fadA//katE//dkgB//dkgB//entH//argG//pck//
go_0009234_7	frlB//bioD//nirD//gatZ//accD//pgpB//arnA//fumC//aldA//
go_0009236_6	insI-2//betA//hyaB//def//fabH//ynfE//
go_0009237_4	accC//prpD//
go_0009239_6	narV//ynfH//glcF//narG//lsrG//malQ//hyaB//bcsA//
go_0009240_6	entA//
go_0009242_6	ilvE//lpcA//torZ//rlmE//dapF//mepS//acpH//rffT//
go_0009243_7	queC//
go_0009244_7	bioA//lpoB//yjiA//truB//ulaG//mnmE//hdhA//hemL//aspC//dgcZ//metG//melA//yqaB//thiI//ribD//aspC//hemD//nadC//paaC//ygjK//ldtE//pyrD//
go_0009245_6	adiA//pdxB//csdA//cmoA//hemA//idi//coaE//aroF//ispG//
go_0009246_6	ulaF//yahK//ppk//ribA//dosP//alaS//
go_0009249_6	srlD//panE//fucK//
go_0009250_7	
go_0009251_7	ligB//
go_0009252_7	melA//argB//yfeW//ybjG//arnT//rnd//entC//pheT//hemE//ynfE//rpiA//pgsA//yccX//dgkA//glnA//rffG//thrC//phnN//glxK//rffT//pbpC//fabG//srlD//fadM//mltC//
go_0009253_8	ppk//glgA//leuA//truA//pgsA//yajO//leuD//yfiC//ldtB//rph//
go_0009254_8	maeA//pgaB//dhaL//pgk//ygeX//yigB//ugd//gltB//pdeR//ulaD//wecC//
go_0009257_8	murI//pgm//queA//napA//
go_0009263_6	hycB//mgsA//
go_0009264_6	treF//ubiE//
go_0009265_7	gudD//
go_0009266_4	sbcB//asnB//dxs//phnH//folC//sgbH//
go_0009267_5	wecB//cpsB//
go_0009268_4	kdsA//
go_0009271_4	
go_0009273_5	
go_0009290_6	
go_0009294_5	scpB//
go_0009297_6	
go_0009298_7	frc//puuD//nrdF//
go_0009305_7	panB//
go_0009306_4	
go_0009311_5	
go_0009314_4	dmsC//selD//tsaE//rpiB//murG//gloA//ubiG//caiD//sgbE//epmC//ulaE//fadH//dcd//mnaT//pflB//aroL//acs//
go_0009372_5	dhaK//lpcA//pyrC//
go_0009396_6	scpB//speG//
go_0009398_7	aroA//
go_0009401_7	mhpA//feaB//fadD//ychF//hisA//ilvM//mhpB//uvrC//maeA//rutA//mepS//lpxP//cpdA//fadK//add//dapD//prpD//rsmE//puuC//xdhB//
go_0009403_5	
go_0009405_4	
go_0009407_3	mocA//
go_0009408_4	murQ//gmd//acpT//mhpC//fbaA//argB//rhaD//btuR//selA//speF//ribA//dcd//tynA//paaZ//trmL//aroA//ansB//hemH//mnmG//cmoA//fbaA//prpB//tsaD//araB//dcd//rsmH//
go_0009409_4	rlmD//truB//
go_0009410_4	gstB//
go_0009411_6	nudG//rsmB//eno//pyrF//nhoA//purA//clsB//aroG//entE//
go_0009416_5	csdA//trpA//
go_0009423_8	rlmC//gor//caiD//deoC//
go_0009432_5	preT//waaF//hcp//nanA//tsaE//
go_0009435_9	trmA//menA//dgcZ//proB//aphA//
go_0009436_6	yeaG//hemD//rbn//mrcA//
go_0009437_5	
go_0009438_5	
go_0009440_6	thiG//ogt//wzc//
go_0009442_7	katG//murQ//cheR//arsC//nrdA//
go_0009443_5	gabD//mltF//frc//
go_0009446_6	pdxB//alr//
go_0009447_6	glpD//ynfF//puuB//acpT//dapA//coaD//uvrA//aroL//
go_0009450_6	mocA//trmD//pflB//dnaE//
go_0009451_6	yqhD//dacA//hyi//rsmF//
go_0009593_4	
go_0009597_5	
go_0009636_4	uxaB//wcaJ//polA//dhaM//rfbB//
go_0009637_6	
go_0009651_5	
go_0009697_5	waaL//
go_0009758_2	ynfH//
go_0009785_5	
go_0009970_6	roxA//dcm//tgt//
go_0009972_10	psd//
go_0009992_5	feaB//torZ//hisB//
go_0010033_4	
go_0010038_5	
go_0010039_6	cmoA//
go_0010041_7	paoC//pyrE//
go_0010042_6	mutS//
go_0010043_6	betA//waaA//
go_0010045_6	garR//
go_0010106_6	
go_0010124_4	btuR//ribB//cobB//idi//proS//psd//metF//alsE//
go_0010133_7	speB//
go_0010139_7	metE//
go_0010165_6	ispG//dgt//ppx//nfsB//aroD//cysG//menE//nanA//
go_0010212_5	mutL//
go_0010226_6	yigL//
go_0010243_5	
go_0010272_6	gadA//
go_0010273_4	katE//pnp//rfbB//
go_0010312_3	accD//
go_0010332_6	
go_0010350_6	
go_0010438_6	rne//clsA//
go_0010447_5	entE//glpX//
go_0010468_6	pheT//
go_0010498_6	waaA//torC//gmk//ispH//
go_0010501_7	putA//nagZ//
go_0010557_7	
go_0010608_7	gshA//
go_0010628_7	
go_0010629_7	gnd//
go_0010676_7	
go_0010699_4	pflB//nadE//
go_0010810_5	
go_0010876_4	
go_0010911_5	
go_0010921_6	
go_0010951_8	
go_0010967_6	
go_0010974_7	
go_0012501_4	
go_0014070_5	pphA//hmp//yfdR//serB//fucO//adeD//fabI//eda//leuS//
go_0015031_5	pflB//nrdF//ubiX//menD//katG//alkB//entB//mltA//
go_0015074_6	
go_0015628_5	
go_0015670_6	bioB//
go_0015673_9	etk//
go_0015675_9	malY//
go_0015679_10	metE//
go_0015682_8	eutD//
go_0015684_9	yieH//ilvN//insI-2//waaY//
go_0015685_8	waaH//adk//
go_0015687_7	entC//
go_0015688_6	roxA//epmB//
go_0015689_8	ulaD//
go_0015691_9	yihV//aroG//
go_0015692_8	preA//
go_0015693_9	mrdA//
go_0015696_6	prpC//
go_0015698_7	sgbU//
go_0015699_8	ubiX//
go_0015700_8	gor//
go_0015706_6	tdcG//rutD//insI-1//
go_0015707_6	pdeR//murF//ilvH//hcaF//
go_0015709_6	lsrG//
go_0015710_8	panD//kdsC//
go_0015712_7	cheB//
go_0015718_8	phoA//
go_0015721_7	cpdB//mutH//argE//
go_0015724_7	alaC//
go_0015726_8	glnE//
go_0015733_7	waaC//
go_0015734_6	cobT//
go_0015736_9	rsmA//
go_0015739_7	fabB//
go_0015740_9	allC//ushA//mltA//
go_0015741_10	treA//prpD//
go_0015747_6	dgoD//
go_0015748_6	rpe//
go_0015749_7	aroK//ulaE//guaB//aroE//nanA//menD//eda//
go_0015751_9	napA//eptC//
go_0015752_9	argB//mug//
go_0015753_9	tdcB//torA//
go_0015754_9	mnmC//
go_0015755_9	dkgA//xapA//pykA//
go_0015756_9	nhoA//hisI//
go_0015757_9	ppx//rutC//gnd//hisA//
go_0015760_8	pdxJ//
go_0015761_9	polB//
go_0015762_9	acnA//
go_0015764_7	narY//rbn//glpA//
go_0015765_8	deoA//trpC//
go_0015767_9	rihB//cobU//wzc//
go_0015768_9	gluQ//scpC//ydiO//
go_0015769_9	rfbC//
go_0015771_9	tyrS//add//ahr//
go_0015772_7	lpxH//ftsI//paaF//
go_0015774_7	glk//
go_0015778_7	frdA//
go_0015793_7	recR//talB//
go_0015794_7	yfcG//patZ//
go_0015795_7	waaQ//tdcD//
go_0015796_7	dusB//
go_0015797_7	codA//metL//yrfG//
go_0015803_7	rihA//pdxB//narI//
go_0015804_7	lsrG//roxA//
go_0015806_6	rluA//
go_0015807_7	chbG//gpp//nirD//cysK//fkpA//nrfC//
go_0015808_8	dhaM//treA//
go_0015809_7	glpD//
go_0015810_8	moaA//waaU//
go_0015811_7	pdeL//tauD//
go_0015813_6	galM//waaG//rpiA//
go_0015814_7	cysI//
go_0015816_6	gstB//
go_0015817_7	rnt//sodC//
go_0015818_7	gloA//purL//
go_0015820_7	agp//xthA//pdxY//ftsI//idnD//
go_0015821_7	moeB//sgbU//
go_0015822_7	hcaB//
go_0015823_7	yfiC//hemE//fadK//idnO//rhaM//
go_0015824_7	fumB//cdh//tilS//
go_0015825_8	polB//
go_0015826_7	yieF//dgt//gatZ//
go_0015827_7	bglB//surA//frdA//
go_0015828_7	rsmE//opgB//
go_0015829_7	yqaB//ribC//rlmI//
go_0015830_7	ligA//
go_0015833_6	ldtE//ulaE//hemL//aceF//alsK//ynfF//adeD//cysH//gatY//nrfD//
go_0015834_7	trpA//ilvM//
go_0015835_6	gltB//
go_0015836_7	otsB//ribE//
go_0015839_7	paaC//
go_0015846_6	thrA//kdgK//
go_0015847_7	pdeH//yieH//astB//dgcT//uxaB//
go_0015848_7	ruvC//ispF//
go_0015851_6	
go_0015853_8	tdcE//asnA//
go_0015856_8	nadB//
go_0015857_6	clsC//purA//
go_0015858_7	aroD//waaG//yjhH//
go_0015860_7	leuC//murQ//
go_0015861_9	plsB//rsmA//
go_0015862_9	guaB//lipB//
go_0015863_8	yihX//
go_0015864_8	phnG//
go_0015871_6	aroL//tmcA//pinE//btuE//
go_0015878_6	
go_0015879_9	kdsD//
go_0015882_7	thiD//
go_0015886_6	melA//agp//
go_0015887_7	fabZ//
go_0015888_6	thiM//
