# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	frdC//
go_0006146_8	mutY//
go_0006148_9	plsB//
go_0006149_9	paaF//
go_0006150_9	ssuD//
go_0006152_7	hchA//cysQ//abgA//dusC//pnp//
go_0006154_6	gntK//
go_0006161_9	yciV//
go_0006163_6	murE//
go_0006164_7	insI-2//uvrA//yccX//sucD//
go_0006166_6	adeD//
go_0006168_7	pck//lysU//
go_0006171_9	
go_0006172_9	rlmJ//
go_0006177_9	otsA//
go_0006178_7	ubiX//
go_0006183_9	patA//
go_0006189_10	xthA//moeA//
go_0006203_8	trpB//lpxM//
go_0006206_6	ruvA//srlD//pdeL//
go_0006207_8	trpB//dam//ynfE//dusB//lpxC//
go_0006208_7	folX//ubiA//waaJ//gstB//moaE//hemE//
go_0006209_6	hinT//
go_0006210_8	acpS//
go_0006212_6	narH//bioC//gadA//hcaE//glnA//accB//ldhA//katG//cysQ//idi//
go_0006217_9	cysM//
go_0006218_9	argG//
go_0006220_6	ubiI//
go_0006221_7	yjhG//fadD//rbsK//
go_0006222_9	
go_0006225_9	trpE//
go_0006226_9	mltB//leuA//
go_0006227_9	waaL//
go_0006231_9	glpK//
go_0006233_9	prs//
go_0006235_9	ltaE//
go_0006241_9	galE//
go_0006259_5	pyrF//cynT//glcF//
go_0006260_6	trpB//puuA//ychF//treC//alr//scpB//relA//
go_0006261_7	uvrC//hyaA//rutA//
go_0006265_6	sbcB//ndh//
go_0006266_6	murD//ydiF//nhoA//
go_0006267_5	
go_0006268_9	thyA//gloA//
go_0006269_6	metH//
go_0006270_6	
go_0006271_7	
go_0006274_6	
go_0006275_7	
go_0006276_3	otsA//pck//
go_0006281_6	accB//lpd//rlmM//bcsA//nadC//cof//ltaE//aes//tdcE//dmsB//lpxT//fabD//uxuB//patZ//paoC//ubiH//ydiO//
go_0006283_8	
go_0006284_7	pgaD//fucO//glnA//pepD//rhaM//mug//
go_0006285_6	gutQ//wzb//ilvI//gudD//
go_0006288_8	pabC//lysS//
go_0006289_7	
go_0006298_7	gatD//pgm//amyA//glnS//
go_0006301_7	
go_0006302_7	kdsD//coaD//
go_0006307_8	hyaC//fabD//paaK//deoD//tdh//
go_0006308_6	mtn//argE//poxB//waaO//
go_0006310_6	fabA//lysS//pdxH//zwf//ogt//
go_0006313_4	nrfD//
go_0006351_6	queD//astB//
go_0006352_7	
go_0006353_7	
go_0006354_7	trmL//
go_0006355_7	trpB//
go_0006357_8	
go_0006364_9	aceF//accD//prmC//lpxL//
go_0006378_8	mutY//
go_0006396_7	gpt//kdgK//rlmA//rlmH//rnb//
go_0006397_8	relA//
go_0006399_8	rsmJ//tilS//
go_0006400_7	rutE//ppiC//mutS//citC//wecB//
go_0006401_6	lpd//recR//poxB//gcd//yjjX//folP//
go_0006402_7	ymdB//hisS//bioB//pabC//fadE//tyrS//idnO//
go_0006412_6	yjcS//gadB//dgcM//rihC//aes//
go_0006413_4	ldcA//
go_0006414_6	
go_0006415_7	ldhA//araD//
go_0006417_7	kdgK//bglA//
go_0006418_7	waaL//adk//nanA//menF//mrdA//mtn//rsmH//accD//mtn//caiB//menE//
go_0006419_8	yggF//
go_0006420_8	galE//
go_0006421_8	cueO//
go_0006422_8	mutS//
go_0006423_8	leuD//
go_0006424_8	idnK//valS//
go_0006425_8	cobU//
go_0006427_8	cheB//
go_0006428_8	phnH//
go_0006429_8	accA//
go_0006430_8	argG//recG//
go_0006431_8	gcvT//
go_0006432_8	miaA//
go_0006433_8	yigL//
go_0006434_8	selD//
go_0006435_8	malQ//
go_0006436_8	rihC//
go_0006437_8	cobC//
go_0006438_8	panB//
go_0006448_8	
go_0006450_4	mltF//glpA//cdsA//bioC//slyD//allB//
go_0006457_3	dosP//add//fadM//trmH//napA//ndh//ybjI//
go_0006458_4	
go_0006464_6	icd//idi//menI//hypF//ltaE//pfkB//sufS//yhdJ//
go_0006465_6	cof//entA//cheB//
go_0006468_7	argA//
go_0006470_7	umuC//argA//hemC//gstA//ulaD//
go_0006473_8	trpC//
go_0006474_6	alaS//leuC//der//
go_0006476_8	hycB//
go_0006479_5	bacA//sodC//fumB//miaA//malP//cueO//
go_0006486_5	patZ//
go_0006490_5	torZ//
go_0006508_5	gabD//sgbU//otsA//yjiA//selB//fucI//pepD//katG//dapF//rihB//coaA//epmB//galU//ppc//mtgA//argC//pfkB//argH//pyrE//rffH//dmsB//waaO//lpoA//betB//acpS//gltB//adhP//dgoK//rbsD//pykA//hisF//speA//pphA//
go_0006515_7	pdxA//pta//bglB//plsC//paaH//galT//dcyD//
go_0006517_6	hisI//asnB//
go_0006518_5	pabC//adhP//
go_0006523_8	ribC//rne//
go_0006524_8	
go_0006526_8	carB//serS//tig//manA//argD//lysU//lgoD//
go_0006527_8	nudB//uidA//maa//gshA//eptC//
go_0006529_7	thiE//coaE//
go_0006530_7	menC//queC//yggF//glgC//
go_0006531_7	pgpB//
go_0006532_8	metL//hyaA//mhpD//
go_0006535_8	tehB//mepS//cynT//
go_0006537_8	tsaB//
go_0006538_8	leuB//paaK//
go_0006541_7	yfeX//rlmI//orn//leuA//cyoE//
go_0006542_8	pgsA//ada//
go_0006543_8	
go_0006545_6	cmk//
go_0006546_6	pnp//tynA//yieF//
go_0006554_8	cheR//acs//cysH//
go_0006556_5	ygeX//
go_0006559_6	tgt//
go_0006561_6	entC//hisD//
go_0006563_7	fucO//
go_0006564_8	panE//trmJ//thiE//cysH//
go_0006565_8	malZ//ubiG//acpT//miaA//yjhG//
go_0006566_7	rlmL//
go_0006567_8	mnmG//metK//waaL//ubiE//yihU//frmB//menI//
go_0006569_7	alr//
go_0006571_7	solA//gpp//
go_0006593_7	gatD//
go_0006598_8	nirD//garL//glmU//
go_0006605_6	
go_0006612_6	
go_0006614_8	
go_0006616_7	
go_0006629_4	lgoD//alaC//
go_0006631_5	mcrA//dbpA//lpxB//pykA//glgA//
go_0006633_6	gdhA//glpC//cobS//menD//nadE//dapA//fadH//mltF//ddlA//polB//prmB//
go_0006635_6	yciA//rsmC//napA//rfbB//yfeX//yfeW//yhdJ//glnA//trmA//sodB//pyrE//dgoA//
go_0006636_7	
go_0006637_5	tgt//birA//dgoK//speA//umuC//
go_0006646_7	
go_0006650_6	
go_0006654_7	glyA//
go_0006655_7	tmk//frdD//
go_0006725_4	ttdB//
go_0006729_6	dnaQ//sthA//
go_0006730_4	pheT//purN//cpsB//
go_0006734_9	
go_0006740_4	
go_0006741_9	
go_0006742_8	
go_0006744_7	hcaB//murC//tdcG//guaB//queD//gluQ//cfa//purD//rihB//rluE//spoT//mltA//
go_0006749_5	rnd//moeA//
go_0006750_6	paaJ//pepD//
go_0006751_6	rfbB//
go_0006757_5	panC//
go_0006760_5	clsC//
go_0006761_7	pinE//
go_0006771_5	thiM//
go_0006772_6	rlmL//dsdA//
go_0006777_5	dcyD//iaaA//mcrB//gluQ//rsmC//
go_0006779_6	sad//waaU//aceF//nadB//adk//
go_0006780_7	cynS//
go_0006782_7	alkB//rluD//folA//hcaB//
go_0006783_5	kdsC//abgB//folD//tnaA//ampH//ravA//metK//
go_0006790_4	mltA//gloC//menD//hisD//pgaC//frmA//mrdA//ldtA//pyrG//yfcF//
go_0006791_2	phnM//katE//menE//
go_0006793_4	folX//pgpB//
go_0006798_5	mgsA//
go_0006799_5	speC//
go_0006801_5	rutC//cdh//ldtA//
go_0006805_4	phnM//azoR//murC//ascB//
go_0006807_3	mak//ruvB//glgB//
go_0006808_4	pdxB//
go_0006810_4	argB//miaB//frc//ssuE//rph//ymdB//glgX//pyrG//rnpA//nth//truA//cysQ//pdxK//tsaB//yjiA//speB//yfeX//edd//yeaE//cobB//clsC//waaA//cysE//pdeH//ileS//garD//rutD//araB//glmU//glgX//deoB//lyxK//ung//cyoE//ampD//asnA//gph//mrcB//kdsD//kdsA//entH//truB//trpC//kbaZ//roxA//gloA//wrbA//fumA//nagB//cpsG//pfkB//eutB//allB//folX//rpiA//entB//argK//xylA//yagE//fre//ampH//oxc//rsmJ//mutL//aphA//glgX//dgcT//hyi//folD//hyi//gor//nanE//galT//mnmG//yjcS//yigB//ugd//
go_0006811_5	pdeH//fucA//dbpA//ilvA//aroA//metK//yihU//dgoA//gudD//nemA//tsaB//
go_0006812_6	adhE//rnpA//
go_0006813_8	gshA//ligA//epmC//menF//gntK//relA//rlmA//queG//
go_0006814_8	hisG//kdsA//paaB//pyrD//
go_0006817_8	rlmD//
go_0006820_6	paaB//menH//hisS//gapA//trpA//
go_0006821_8	allC//
go_0006824_8	udp//sgbE//phnL//frdC//
go_0006825_9	etk//
go_0006826_9	tktA//
go_0006828_9	xthA//
go_0006829_9	ldtC//dgcT//gmk//yeiG//icd//
go_0006833_6	
go_0006835_8	coaD//sodB//
go_0006847_8	fumA//
go_0006855_6	gadB//ddlA//alsE//nudG//orn//dusC//bfr//fabD//rsmF//gapA//gatD//entE//mug//yieF//
go_0006857_7	aspS//yjjX//frdA//
go_0006863_7	pdxK//
go_0006865_6	pyrF//manA//accA//gloB//frdB//slyD//yjjX//rlmA//ackA//cysD//fbp//tdh//murA//lldD//tcdA//ssuE//pyrE//bioA//ribB//fumA//nadB//
go_0006868_7	apt//
go_0006869_6	tktA//
go_0006874_8	
go_0006876_8	phnJ//
go_0006878_9	metH//
go_0006879_9	ldcC//tehB//
go_0006880_4	wecB//ubiH//
go_0006882_8	bioB//
go_0006883_8	cheB//ftnA//ftnA//
go_0006884_4	
go_0006885_9	dadA//
go_0006886_5	
go_0006928_3	speC//
go_0006935_4	ileS//pyrE//ulaF//arnT//speF//
go_0006970_4	purU//frc//gatD//rimK//lysS//phnL//
go_0006972_5	relA//rsmB//nemA//tyrB//ldtB//
go_0006974_5	gadB//mnmE//chbF//mnmA//btuR//preA//gntK//atoB//pta//yieH//pgsA//dusB//trmI//yeaG//fre//xylA//der//narH//garD//dkgA//ftsI//ligB//rsmC//suhB//rlmI//wecB//narV//mhpA//gpt//yghU//lpd//idi//folP//glnS//yagE//bioA//ung//prpC//nrdF//kbaZ//btuE//ascB//yggF//prpC//speB//waaB//panE//rffG//fadK//tcdA//fucO//rfbC//gpt//trmO//hemD//mpaA//queD//mmuM//ybhA//pykA//xylA//lpcA//lipA//hinT//aroH//torA//treC//ychF//melA//aceF//asnA//lysA//ddlA//bioD//dgkA//yigL//btuR//icd//fucA//rrrD//lldD//fabI//yeiG//sufS//tcdA//yegS//folA//sodB//rhaB//dcm//fadA//tadA//asnS//kbaY//nirD//
go_0006979_4	ung//insI-1//glgP//ispF//sad//prs//upp//paaZ//alr//oxc//nadK//pdeF//glyS//frdB//cof//glnA//rnd//spoT//ppiC//hemE//pdxK//pyrB//truB//selD//citG//ghrB//
go_0006986_5	hpt//
go_0006995_6	pgpB//paaA//
go_0007059_3	glyS//nanK//
go_0007062_4	
go_0007155_3	lgoD//
go_0007165_3	argD//lpoB//
go_0007234_5	
go_0007584_4	
go_0008033_9	uxaC//sgbH//glgA//uvrB//pykA//serA//phnP//feaB//
go_0008104_4	
go_0008152_2	eptC//fbp//tgt//nanA//entF//frdA//ilvE//rlmF//accC//lpxL//waaG//ynfH//codA//sbcB//entF//glgA//bioB//
go_0008156_8	
go_0008219_3	
go_0008272_6	preT//frdC//
go_0008295_6	dgcZ//leuS//acs//
go_0008299_5	appA//
go_0008360_4	trpS//ddlA//katE//yieF//bioA//ubiG//miaA//recR//waaS//eutD//waaS//
go_0008610_5	alsE//ruvC//galT//add//
go_0008615_6	galU//cobB//ppiC//rhaD//phnI//sdhA//tsaD//
go_0008616_8	polA//speD//ydiO//rpiB//purD//hcaE//
go_0008643_6	pgpA//atoB//hemH//waaC//glpX//glcD//abgA//menF//ahpC//napB//malQ//pykF//cobC//nth//treA//thiC//hchA//yhdJ//
go_0008652_5	tynA//nrfA//lpoA//phr//argI//sad//nrdE//pgpA//
go_0008653_5	
go_0008654_5	aroB//der//sucC//fkpA//
go_0009050_6	cdsA//yihS//
go_0009052_6	accB//epd//hemC//ampD//gntK//bglB//
go_0009056_3	rnb//
go_0009058_3	paaA//mltD//pgpB//nirD//
go_0009060_6	idnO//rsmH//hisB//lpxC//rrrD//putA//mtn//
go_0009061_6	rsmA//yghU//dcm//maa//cyoE//lpxT//yggF//nfi//glxK//nrdD//icd//phnL//ubiH//araB//ubiH//glgX//fdhF//ribB//accB//mnmC//ribA//
go_0009062_6	yegS//
go_0009063_5	coaE//mepS//ychF//
go_0009070_7	ilvN//
go_0009073_6	mltB//thrS//cysS//ldtC//caiD//nagK//lysC//chbG//ymdB//waaC//paaZ//
go_0009081_5	hcp//galK//
go_0009082_6	tpiA//pdeL//ispU//pgl//rlmI//suhB//metE//
go_0009085_8	ravA//
go_0009086_7	gshA//lpxK//mobA//lysU//zwf//
go_0009088_8	moaE//tdcG//
go_0009089_6	lpd//yjhG//thrB//ttdA//panD//fbaA//
go_0009090_8	umpG//proS//thrB//uvrC//
go_0009092_7	ymdB//
go_0009093_7	
go_0009094_6	hyaB//cpdA//pncB//
go_0009097_7	tadA//treC//nrfD//purB//mcrB//
go_0009098_7	rne//frc//trmL//accA//asnB//pdxB//
go_0009099_7	yjcS//pabA//paoC//queC//yfeW//lsrG//nrdD//
go_0009102_6	kduD//caiB//frmA//metC//pgm//cyaA//dsdA//bioF//melA//
go_0009103_6	pyrG//edd//ligA//moaA//mtgA//scpB//sdaB//rutB//ynfH//
go_0009106_5	metE//
go_0009107_6	gstA//ttdB//
go_0009108_6	deoD//
go_0009116_5	dld//aroK//
go_0009142_7	rihC//
go_0009143_7	fdhF//
go_0009152_8	fadB//
go_0009157_8	gpmM//
go_0009166_7	narZ//argI//
go_0009168_9	ybjI//
go_0009220_8	rsmG//thrB//
go_0009224_9	speA//
go_0009226_6	nrdD//trmL//
go_0009228_7	thiL//cysC//mnmA//yahK//ribF//yjhH//pepD//cpsB//pagP//
go_0009229_6	recR//mog//
go_0009231_6	btuE//scpB//trmH//phnL//metK//ugd//umuC//
go_0009234_7	aroC//cysG//paoC//nanA//thiH//allC//cobT//etk//ilvN//
go_0009236_6	polB//slyD//fucO//asnA//nagZ//pheS//
go_0009237_4	leuD//ygjK//
go_0009239_6	rsmD//trmH//pabB//gph//rsmB//gldA//slyD//napC//
go_0009240_6	rlmC//
go_0009242_6	idnK//yieH//metL//lplA//yghU//nudF//trpA//dosP//
go_0009243_7	menD//
go_0009244_7	hcaE//tadA//lpcA//rluA//entC//glmM//prmC//dosP//mutL//ftsI//citX//ychF//gmk//yidA//dld//eptC//rpiA//idnO//frlB//treC//hcaF//trpB//
go_0009245_6	gpmM//dinB//mutS//arnT//yeaE//rnd//glgA//dapA//ulaG//
go_0009246_6	rnb//ychF//gpt//acpS//sucC//lysS//
go_0009249_6	selD//argF//pdeR//
go_0009250_7	
go_0009251_7	cadA//
go_0009252_7	uvrA//ilvH//treA//ybcF//kduI//prpB//gpp//rihC//yihV//fadD//xylA//paaZ//recF//tesB//pabB//ydfG//argA//trpE//nirD//tsaC//rpiA//gshA//trpA//clsA//aldA//
go_0009253_8	yagF//ppk//ybjI//ltaE//truC//tehB//allB//yidA//hisG//udk//
go_0009254_8	kdsD//paaH//pgk//ulaD//pyrE//lysC//adk//citE//moeA//trmA//metE//
go_0009257_8	waaC//yfdR//waaU//gpmM//
go_0009263_6	rlmL//clsB//
go_0009264_6	relA//folE//
go_0009265_7	rsgA//
go_0009266_4	murD//metH//thyA//menE//gmhB//dapA//
go_0009267_5	yjiA//glnS//
go_0009268_4	galT//
go_0009271_4	
go_0009273_5	
go_0009290_6	
go_0009294_5	rph//
go_0009297_6	
go_0009298_7	mocA//mltF//idnK//
go_0009305_7	rutB//
go_0009306_4	
go_0009311_5	
go_0009314_4	ydiB//tatD//phoA//argK//garR//arnA//rffC//moeA//mtgA//yjjG//nudB//ispF//accD//ribC//leuC//purN//speG//
go_0009372_5	ldtD//accB//leuC//
go_0009396_6	ulaG//thrS//
go_0009398_7	hpt//
go_0009401_7	mog//betB//dsdA//gltD//proS//adiA//nagB//ascB//scpC//ansA//bioD//narV//leuB//truC//thiH//aldB//lgoD//argH//dusC//ppk//
go_0009403_5	
go_0009405_4	
go_0009407_3	paaH//
go_0009408_4	edd//sthA//mhpD//dgoK//caiD//eda//hisB//bioB//citG//ligA//cobS//serA//cobC//gph//leuC//dusB//galU//phr//ribF//tsaB//hyaB//ppx//dbpA//yjiA//mobA//glcB//
go_0009409_4	cysG//menA//
go_0009410_4	tag//
go_0009411_6	speE//ybhA//speF//pabA//cdsA//clsB//gltD//betA//mltB//
go_0009416_5	ruvC//hemL//
go_0009423_8	rhaD//leuD//nagK//acpH//
go_0009432_5	napC//ruvC//ppiC//waaB//ahpC//
go_0009435_9	cobS//asnA//glpX//mraY//thiC//
go_0009436_6	tauD//sodC//tdcE//murA//
go_0009437_5	
go_0009438_5	
go_0009440_6	tdh//lyxK//ascB//
go_0009442_7	mgsA//rutE//entE//rluD//mepS//
go_0009443_5	entF//treA//alkA//
go_0009446_6	aspC//dmsA//
go_0009447_6	rffG//murQ//scpC//eutB//nagB//idnO//nudF//orn//
go_0009450_6	nrfA//leuD//ilvC//deoA//
go_0009451_6	yjiA//etk//adk//rnd//
go_0009593_4	
go_0009597_5	
go_0009636_4	idnO//moaA//hycB//hdhA//yghU//
go_0009637_6	
go_0009651_5	
go_0009697_5	mrcB//
go_0009758_2	hisF//
go_0009785_5	
go_0009970_6	surA//menC//purT//
go_0009972_10	polB//
go_0009992_5	glcB//xylA//pdxA//
go_0010033_4	
go_0010038_5	
go_0010039_6	aroA//
go_0010041_7	rffH//acpS//
go_0010042_6	proB//
go_0010043_6	fcl//rlmC//
go_0010045_6	rlmI//
go_0010106_6	
go_0010124_4	yagF//argD//cysC//truA//aldB//codA//iaaA//coaD//
go_0010133_7	coaA//
go_0010139_7	metK//
go_0010165_6	menF//aroK//panB//ldtD//rffC//btuR//ydiF//pdeR//
go_0010212_5	alaS//
go_0010226_6	ldhA//
go_0010243_5	
go_0010272_6	waaJ//
go_0010273_4	ndk//argK//mutY//
go_0010312_3	yajO//
go_0010332_6	
go_0010350_6	
go_0010438_6	aceA//idnO//
go_0010447_5	rlmL//metE//
go_0010468_6	deoB//
go_0010498_6	lgoD//gatY//gntK//phnG//
go_0010501_7	dosP//ligB//
go_0010557_7	
go_0010608_7	truC//
go_0010628_7	
go_0010629_7	umpH//
go_0010676_7	
go_0010699_4	gdhA//truD//
go_0010810_5	
go_0010876_4	
go_0010911_5	
go_0010921_6	
go_0010951_8	
go_0010967_6	
go_0010974_7	
go_0012501_4	
go_0014070_5	gapA//coaA//hyaB//gshA//rfe//mazG//hcaD//yahK//tsaD//
go_0015031_5	lpoB//yjjG//gpt//fadJ//recO//prs//gmk//pgpB//
go_0015074_6	
go_0015628_5	
go_0015670_6	aroF//
go_0015673_9	upp//
go_0015675_9	hemN//
go_0015679_10	dgcZ//
go_0015682_8	rbsD//
go_0015684_9	trmL//hemD//slyD//aspC//
go_0015685_8	yrfG//der//
go_0015687_7	rluA//
go_0015688_6	selD//waaG//
go_0015689_8	udk//
go_0015691_9	waaY//fumA//
go_0015692_8	nrdD//
go_0015693_9	eutD//
go_0015696_6	ssuE//
go_0015698_7	yjiA//
go_0015699_8	aphA//
go_0015700_8	yjiA//
go_0015706_6	sdaA//folA//rsmE//
go_0015707_6	nrdA//rsmB//glnE//dcyD//
go_0015709_6	wcaJ//
go_0015710_8	nrfA//tsaB//
go_0015712_7	amiD//
go_0015718_8	psd//
go_0015721_7	ubiF//ilvH//menE//
go_0015724_7	mutY//
go_0015726_8	speG//
go_0015733_7	hisD//
go_0015734_6	wcaJ//
go_0015736_9	menH//
go_0015739_7	lipA//
go_0015740_9	thiI//waaF//umpG//
go_0015741_10	rsmC//ppx//
go_0015747_6	yfeW//
go_0015748_6	murF//
go_0015749_7	wecC//rpiA//mtlD//rpiB//waaY//paaZ//ribF//
go_0015751_9	entD//alkA//
go_0015752_9	metF//rhaB//
go_0015753_9	hycB//mltC//
go_0015754_9	mdh//
go_0015755_9	lldD//kbaY//nudB//
go_0015756_9	glcB//nemA//
go_0015757_9	dut//sodB//purD//hisS//
go_0015760_8	hcaC//
go_0015761_9	trmJ//
go_0015762_9	mog//
go_0015764_7	bioD//pncB//purT//
go_0015765_8	rrrD//pgl//
go_0015767_9	tynA//dacD//pykA//
go_0015768_9	kdsD//amyA//cadA//
go_0015769_9	araA//
go_0015771_9	gcd//fadE//ubiE//
go_0015772_7	hcaD//trmH//rlmF//
go_0015774_7	sad//
go_0015778_7	dapD//
go_0015793_7	phnN//yfbR//
go_0015794_7	galM//ubiX//
go_0015795_7	dacC//dapA//
go_0015796_7	pgaD//
go_0015797_7	nrdE//ldtD//mutH//
go_0015803_7	glxK//bioB//rutE//
go_0015804_7	frdB//pnp//
go_0015806_6	ftsI//
go_0015807_7	yihT//dmsB//gmk//malZ//narG//mutL//
go_0015808_8	rne//hisF//
go_0015809_7	narH//
go_0015810_8	malZ//thyA//
go_0015811_7	recG//frmB//
go_0015813_6	torZ//alkB//mutY//
go_0015814_7	yjhH//
go_0015816_6	citE//
go_0015817_7	appA//carA//
go_0015818_7	sucA//cysD//
go_0015820_7	bfr//truB//yigB//pck//fabA//
go_0015821_7	glnS//katG//
go_0015822_7	sdaB//
go_0015823_7	sdaB//glgC//murD//paoC//glcB//
go_0015824_7	ttdA//hisD//rsmG//
go_0015825_8	rffC//
go_0015826_7	queA//arnA//kefF//
go_0015827_7	lpxM//lpxC//hemG//
go_0015828_7	dacC//arnT//
go_0015829_7	hemE//gpsA//talB//
go_0015830_7	rsmJ//
go_0015833_6	galM//glcD//panB//queA//yhdH//epmC//folA//fucA//gloA//prpD//
go_0015834_7	maa//dgoD//
go_0015835_6	ahr//
go_0015836_7	kdsC//metH//
go_0015839_7	thiG//
go_0015846_6	hcaB//betB//
go_0015847_7	dkgA//lysA//mutT//pgpC//yciV//
go_0015848_7	cmoA//asnA//
go_0015851_6	
go_0015853_8	ydiB//ilvI//
go_0015856_8	thiC//
go_0015857_6	pphA//dxs//
go_0015858_7	ybhA//araA//birA//
go_0015860_7	queC//gcvP//
go_0015861_9	metG//proB//
go_0015862_9	codA//malP//
go_0015863_8	dcd//
go_0015864_8	pphB//
go_0015871_6	yagE//leuA//nagZ//gpt//
go_0015878_6	
go_0015879_9	hemB//
go_0015882_7	ogt//
go_0015886_6	acpT//mutM//
go_0015887_7	garK//
go_0015888_6	sodB//
go_0015889_6	lsrK//hisD//wrbA//
go_0015891_6	valS//
go_0015906_6	zwf//
go_0015909_8	recO//
go_0015912_8	rsmI//
go_0015914_7	bioH//
