# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	hisS//
go_0006546_6	recO//pgi//rffG//
go_0006554_8	kduI//bglX//cfa//
go_0006556_5	pldB//
go_0006559_6	ubiG//
go_0006561_6	hyaC//guaD//
go_0006563_7	hflX//
go_0006564_8	uidA//nudF//lpxD//hcaC//
go_0006565_8	aroK//frdD//folA//yfbR//mcrB//
go_0006566_7	ispB//
go_0006567_8	aroK//curA//orn//folM//cpdB//mazG//ttdA//
go_0006569_7	opgB//
go_0006571_7	waaJ//umpH//
go_0006593_7	hemF//
go_0006598_8	gcvT//ilvB//def//
go_0006605_6	
go_0006612_6	
go_0006614_8	
go_0006616_7	
go_0006629_4	fre//proB//
go_0006631_5	glcB//ispB//rluC//guaB//narV//
go_0006633_6	ribD//ppc//pabB//gmhB//rfe//metF//glgP//rbn//caiD//yihT//cysN//
go_0006635_6	frc//pyrF//sucC//sbcB//recF//tgt//scpB//argA//yihS//speE//recG//panB//
go_0006636_7	
go_0006637_5	dbpA//ribC//plsC//gor//fdhF//
go_0006646_7	
go_0006650_6	
go_0006654_7	rlmG//
go_0006655_7	lpcA//hflX//
go_0006725_4	hcaF//
go_0006729_6	metB//ldtC//
go_0006730_4	nudC//allB//recO//
go_0006734_9	
go_0006740_4	
go_0006741_9	
go_0006742_8	
go_0006744_7	ilvN//glcE//dut//glcE//sdaA//ubiF//lpxT//ttdB//ppiC//thiI//sodC//fklB//
go_0006749_5	mtgA//serC//
go_0006750_6	rbsK//pta//
go_0006751_6	frmA//
go_0006757_5	waaJ//
go_0006760_5	glnE//
go_0006761_7	mutH//
go_0006771_5	gnd//
go_0006772_6	nadA//hemF//
go_0006777_5	yjjX//yihV//ampH//yggF//maa//
go_0006779_6	sdaA//ilvC//treA//roxA//citC//
go_0006780_7	acpH//
go_0006782_7	acnB//pgsA//aes//lpxM//
go_0006783_5	yjcS//ubiE//rfe//gatD//accC//aes//ghrB//
go_0006790_4	mutY//truB//phnN//metE//slyD//tehB//nrfA//napB//pykA//glcF//
go_0006791_2	yeaG//lplA//insI-2//
go_0006793_4	slt//argF//
go_0006798_5	glmU//
go_0006799_5	bglX//
go_0006801_5	umuC//fabB//wrbA//
go_0006805_4	fre//fumA//bglA//dgcZ//
go_0006807_3	argG//caiB//ldtD//
go_0006808_4	dkgA//
go_0006810_4	metE//fucK//deoB//rlmF//trpB//fabB//pgpC//ligA//hmp//rutD//hemF//mltB//cpsB//napB//pphA//panE//gpp//yihT//rlmG//pdeR//dut//entH//hemE//nudC//rsmA//gpsA//nudB//ygjK//fabH//nrfA//clsB//dapB//glmM//tynA//fadM//pgaB//aroK//mmuM//rlmM//hisI//deoC//iscS//astC//yihV//pagP//pheT//queF//lgoD//yqaB//pdxK//dinB//yeaE//slt//waaQ//hemE//dmlA//mtgA//dxr//aroF//chbG//murB//mutL//cobS//yahK//yieF//patD//aldA//arnB//hyaA//yccX//tsaD//glgB//fadE//puuC//rpiB//ilvA//pcm//
go_0006811_5	cpdA//glgC//pabA//sthA//wcaJ//ispA//rluC//rfbC//waaQ//malZ//tdcG//
go_0006812_6	chbG//tdcG//
go_0006813_8	waaU//ydiO//treA//gpsA//rluB//cysD//nrdA//ribC//
go_0006814_8	argD//yfcF//insI-2//yagE//
go_0006817_8	rlmI//
go_0006820_6	eutB//alsE//ftsI//kdsB//pgpC//
go_0006821_8	lsrK//
go_0006824_8	pagP//manA//epd//eda//
go_0006825_9	folM//
go_0006826_9	moaA//
go_0006828_9	glcF//
go_0006829_9	arnA//ssuD//sucA//cysI//torZ//
go_0006833_6	
go_0006835_8	ybjG//pyrF//
go_0006847_8	kbaY//
go_0006855_6	dgoD//phr//cobC//recJ//ileS//paoC//talB//pdeH//mraY//entF//nagB//araB//yahK//treA//
go_0006857_7	ribC//paaA//rsuA//
go_0006863_7	rlmM//
go_0006865_6	tmcA//cheR//rluD//eptB//trpA//lsrG//mrcA//rrrD//btuE//yfcF//fumB//rbn//menI//yqaB//cpsG//purD//tktA//gmd//cobC//mocA//uvrA//
go_0006868_7	tauD//
go_0006869_6	yigB//
go_0006874_8	
go_0006876_8	sad//
go_0006878_9	kbaZ//
go_0006879_9	glpD//pgaB//
go_0006880_4	gstA//rsmC//
go_0006882_8	metH//
go_0006883_8	narZ//metG//pyrD//
go_0006884_4	
go_0006885_9	polB//
go_0006886_5	
go_0006928_3	moaA//
go_0006935_4	clsA//ftnA//gloB//ydiF//ampD//
go_0006970_4	ybhA//slt//leuA//prpB//queF//purU//
go_0006972_5	argE//gnd//sodC//napA//rluF//
go_0006974_5	hflX//kdsB//queC//glpB//rluB//prpC//serC//wzb//folX//pldB//pdxH//argB//patA//ssuD//glpA//pgpB//lsrK//cyaA//ulaE//gmd//fruK//paaF//dmlA//allD//scpB//pdeL//dhaL//ppiA//fcl//pdxB//surA//allB//gltX//rlmM//carB//glyS//mtn//betA//hyaB//ulaG//entA//aspS//tdh//dhaM//nadA//fdhF//yfeW//lsrK//glpA//ubiF//hemL//asnA//hcaC//dxs//ulaG//mltB//uxuA//caiB//recJ//gabT//murB//yhdH//hcaE//ribC//purA//gatD//paaG//glgX//umuC//mpaA//aroL//ribD//fadK//coaE//yagE//proB//truB//argC//recO//nadB//menI//rlmJ//ndk//proS//mtgA//wrbA//yegS//udp//mhpC//melA//alsK//alsK//pyrF//phnG//napC//
go_0006979_4	rlmC//guaD//deoA//hemA//speG//deoD//rutA//glnS//pagP//panC//fucO//speG//cysN//eda//cpdB//etk//narV//mltB//lldD//rsmI//pdeF//feaB//pdxH//thiI//yghU//aroH//
go_0006986_5	fadH//
go_0006995_6	pabB//fcl//
go_0007059_3	lpoA//moeA//
go_0007062_4	
go_0007155_3	narY//
go_0007165_3	torY//napB//
go_0007234_5	
go_0007584_4	
go_0008033_9	idnD//cysQ//rsmA//miaB//argK//dusB//rpe//ligB//
go_0008104_4	
go_0008152_2	miaB//trpS//mog//ribA//atoB//adhE//ampD//hypB//yjhG//fcl//galM//pbpC//fcl//otsA//puuC//nudC//pldB//
go_0008156_8	
go_0008219_3	
go_0008272_6	hemG//nrdD//
go_0008295_6	dusB//hemC//araD//
go_0008299_5	surA//
go_0008360_4	tag//ligB//rsmD//yeiG//bglB//glcE//dld//sucB//ravA//rffT//guaA//
go_0008610_5	hypB//pgi//citC//argC//
go_0008615_6	recR//chbF//panC//guaB//recR//rlmD//tauD//
go_0008616_8	sucB//moaE//dut//phnM//psd//metG//
go_0008643_6	accC//dxr//oxc//mtgA//hemG//rluF//wzb//rihA//argC//frdC//garL//argF//malP//metF//ydiO//pfkA//coaE//rluC//
go_0008652_5	acnB//pinE//der//xylA//kdgK//sucD//relA//gpp//
go_0008653_5	
go_0008654_5	ispU//fklB//upp//frlB//
go_0009050_6	yihT//gmd//
go_0009052_6	nanA//ribF//lpcA//ribD//ulaE//metG//
go_0009056_3	gmk//
go_0009058_3	btuR//cmk//queA//sdaB//
go_0009060_6	phnP//malS//alr//rluC//ppsA//moaE//aroH//
go_0009061_6	eutB//glpB//nudB//rlmL//hisF//ppk//kduD//torY//leuS//cpdB//hemF//wecB//entF//lysS//glyS//malS//rluB//gatZ//dam//nrfD//cynT//
go_0009062_6	rfaE//
go_0009063_5	ilvN//codA//argC//
go_0009070_7	acnA//
go_0009073_6	aroK//hemN//thiC//cobU//puuA//pdeH//fadE//pdxJ//hemE//ubiF//selD//
go_0009081_5	rlmM//rfbD//
go_0009082_6	waaB//glgA//gabD//phnH//pdxJ//fdhF//waaL//
go_0009085_8	ubiA//
go_0009086_7	ulaG//uvrC//rlmH//ynfF//hisI//
go_0009088_8	murF//leuD//
go_0009089_6	ynfE//eda//fabZ//dusC//ubiD//nirD//
go_0009090_8	pyrC//ilvD//rfe//recJ//
go_0009092_7	roxA//
go_0009093_7	
go_0009094_6	glnE//pykF//phr//
go_0009097_7	allD//rpiA//guaB//cmoA//rsmB//
go_0009098_7	sucD//pagP//nudG//frdC//recO//bioH//
go_0009099_7	speD//murA//tyrA//ubiC//dgcT//pdxY//argH//
go_0009102_6	sseA//adiA//gluQ//fadD//fau//leuC//gstA//feaB//cyoE//
go_0009103_6	queA//ilvA//hisF//dgcT//yqaB//orn//ygjK//mmuM//gpsA//
go_0009106_5	hemF//
go_0009107_6	tmcA//ycaO//
go_0009108_6	pyrE//
go_0009116_5	gstB//nanA//
go_0009142_7	dusC//
go_0009143_7	prs//
go_0009152_8	entA//
go_0009157_8	recJ//
go_0009166_7	speG//sdaB//
go_0009168_9	hisG//
go_0009220_8	argG//lsrG//
go_0009224_9	ilvC//
go_0009226_6	gatD//frc//
go_0009228_7	dapB//mltC//metC//pdxH//fbp//rffT//carB//tmk//kefF//
go_0009229_6	galE//truC//
go_0009231_6	bioC//selB//yhdH//speG//aroB//dgcT//waaQ//
go_0009234_7	ltaE//menC//epmA//tehB//selB//gdhA//rpiB//lpoA//napB//
go_0009236_6	ada//cpsG//yegS//dinB//katG//queA//
go_0009237_4	mobA//tyrB//
go_0009239_6	nadC//trpB//moeB//fruK//dmsC//rpe//nrfA//umuC//
go_0009240_6	yjhG//
go_0009242_6	psuG//pcm//queG//gcd//fadE//prmC//glxR//rsmH//
go_0009243_7	rsmJ//
go_0009244_7	malY//murB//hemC//eptB//galM//nudC//etp//ubiE//uvrB//galU//dhaM//aroC//pldB//ydiF//arnT//thrB//pgsA//proB//mrdA//aroH//entE//rhaD//
go_0009245_6	narV//dhaL//alaC//ribC//aroB//selB//yccX//ogt//glk//
go_0009246_6	lpxK//gmk//plsC//hflX//moaE//rutA//
go_0009249_6	aroH//rsgA//araB//
go_0009250_7	
go_0009251_7	rlmA//
go_0009252_7	gapA//rbsD//plsC//leuS//cysC//gatY//aspS//ynfH//yfeX//apt//mnmE//yihV//rsmB//idi//fabI//rihA//tig//gutQ//moaD//ispF//trmH//uidA//mcrB//rfbD//yghU//
go_0009253_8	sucD//lpxC//rsmF//edd//ushA//hemH//dnaQ//hisH//murE//dgoD//
go_0009254_8	glyA//cysE//purN//bioC//yahK//rpiA//treF//idnO//ppx//gatZ//nagA//
go_0009257_8	malP//lysA//recG//pta//
go_0009263_6	fkpA//cpsG//
go_0009264_6	mog//nrfC//
go_0009265_7	hemN//
go_0009266_4	mug//waaO//acnA//accA//leuS//mobA//
go_0009267_5	glgA//ygjK//
go_0009268_4	ulaD//
go_0009271_4	
go_0009273_5	
go_0009290_6	
go_0009294_5	metG//
go_0009297_6	
go_0009298_7	fadB//nagK//gcl//
go_0009305_7	lysS//
go_0009306_4	
go_0009311_5	
go_0009314_4	thiE//fadB//alaA//deoB//rfbD//yfcG//hemC//trmH//aceF//ascB//azoR//mnmA//pgpA//tadA//gnd//gshB//ddlA//
go_0009372_5	rlmC//eptB//ribD//
go_0009396_6	apt//yjjG//
go_0009398_7	guaA//
go_0009401_7	cdsA//rlmE//nagK//ampD//trpS//allC//lpxB//ppx//dam//phnO//yihT//hycB//paaC//ansB//dgt//lpxB//opgE//tpiA//uxaB//dgoK//
go_0009403_5	
go_0009405_4	
go_0009407_3	argI//
go_0009408_4	pdeF//tnaA//trmJ//mtlD//narZ//dgt//yeaG//ulaG//phnG//alr//hisD//hcaD//mepS//upp//lgoD//narG//rffH//yhdJ//pykA//spoT//leuC//oxc//rlmH//bioD//ung//rnt//
go_0009409_4	mltB//ddlA//
go_0009410_4	nudB//
go_0009411_6	slyD//moaD//rfbC//rbsK//aldA//ispG//pykF//uxaC//aroC//
go_0009416_5	alkA//thyA//
go_0009423_8	murQ//pdxH//malZ//waaH//
go_0009432_5	sdhA//gcvT//acpT//abgA//dld//
go_0009435_9	ilvA//ogt//entB//hemN//fucI//
go_0009436_6	dgcZ//ydiF//proC//pyrE//
go_0009437_5	
go_0009438_5	
go_0009440_6	ribF//rihA//ilvE//
go_0009442_7	serS//paaH//speE//dhaL//patZ//
go_0009443_5	gmk//ubiC//paaC//
go_0009446_6	yjhH//rbsK//
go_0009447_6	epmA//rsmA//yhdH//phnL//wrbA//mnmE//umuD//pdeL//
go_0009450_6	waaY//rihA//pepD//yjiA//
go_0009451_6	rlmC//hypB//ydiO//katE//
go_0009593_4	
go_0009597_5	
go_0009636_4	tsaC//sdaB//rhaD//hemB//rutB//
go_0009637_6	
go_0009651_5	
go_0009697_5	mnmA//
go_0009758_2	mraY//
go_0009785_5	
go_0009970_6	accA//cyoE//dld//
go_0009972_10	mnaT//
go_0009992_5	napC//patD//ispA//
go_0010033_4	
go_0010038_5	
go_0010039_6	arnT//
go_0010041_7	kduD//tyrS//
go_0010042_6	bioC//
go_0010043_6	dacD//tdh//
go_0010045_6	cysI//
go_0010106_6	
go_0010124_4	lpoB//cysG//paaK//thiC//pheS//asd//acpH//ilvC//
go_0010133_7	narG//
go_0010139_7	metH//
go_0010165_6	puuC//galM//lacZ//sgbH//coaA//aspA//yihT//nanA//
go_0010212_5	pyrG//
go_0010226_6	gpsA//
go_0010243_5	
go_0010272_6	hcaE//
go_0010273_4	folC//glxR//fabA//
go_0010312_3	nfsB//
go_0010332_6	
go_0010350_6	
go_0010438_6	fbaA//gatY//
go_0010447_5	psd//ymdB//
go_0010468_6	carB//
go_0010498_6	abgA//caiD//metK//uxaB//
go_0010501_7	argC//torC//
go_0010557_7	
go_0010608_7	gcl//
go_0010628_7	
go_0010629_7	thiE//
go_0010676_7	
go_0010699_4	avtA//lysS//
go_0010810_5	
go_0010876_4	
go_0010911_5	
go_0010921_6	
go_0010951_8	
go_0010967_6	
go_0010974_7	
go_0012501_4	
go_0014070_5	ampH//astC//malS//ilvN//slt//icd//cyoE//hyaB//torA//
go_0015031_5	maa//queG//sucC//kdsD//udp//gph//mnmC//ilvD//
go_0015074_6	
go_0015628_5	
go_0015670_6	ampD//
go_0015673_9	rsmH//
go_0015675_9	dcm//
go_0015679_10	rhaB//
go_0015682_8	sgbH//
go_0015684_9	argB//ampH//hisH//pdxA//
go_0015685_8	nadB//frdB//
go_0015687_7	ribF//
go_0015688_6	yfaU//astB//
go_0015689_8	bioH//
go_0015691_9	mltD//dgt//
go_0015692_8	ydiF//
go_0015693_9	glmU//
go_0015696_6	sgbU//
go_0015698_7	cysG//
go_0015699_8	pyrH//
go_0015700_8	gmhB//
go_0015706_6	fucO//tktB//lpxD//
go_0015707_6	fadI//lpxK//cpdA//accC//
go_0015709_6	gor//
go_0015710_8	dcd//ubiD//
go_0015712_7	gnd//
go_0015718_8	rnb//
go_0015721_7	nth//yagF//gabT//
go_0015724_7	pck//
go_0015726_8	waaH//
go_0015733_7	dinB//
go_0015734_6	wrbA//
go_0015736_9	gor//
go_0015739_7	epmC//
go_0015740_9	allD//garD//alaA//
go_0015741_10	malY//coaA//
go_0015747_6	waaL//
go_0015748_6	rihB//
go_0015749_7	rne//truC//lysC//etk//pgpA//ackA//ldtC//
go_0015751_9	bioC//nrdE//
go_0015752_9	sseA//asnB//
go_0015753_9	menF//add//
go_0015754_9	rlmH//
go_0015755_9	phnJ//folP//ppiC//
go_0015756_9	glcF//gntK//
go_0015757_9	thiL//cheR//mhpB//yjhH//
go_0015760_8	gmhB//
go_0015761_9	tmcA//
go_0015762_9	proA//
go_0015764_7	cobB//fadJ//astB//
go_0015765_8	gntK//dld//
go_0015767_9	yhdH//ubiH//araB//
go_0015768_9	codA//murQ//uxaB//
go_0015769_9	glmM//
go_0015771_9	hcaF//epd//phr//
go_0015772_7	paaF//cysG//truC//
go_0015774_7	mltB//
go_0015778_7	glgC//
go_0015793_7	aceB//rluD//
go_0015794_7	hpt//galT//
go_0015795_7	glgA//pepD//
go_0015796_7	insI-1//
go_0015797_7	truD//dgt//nrdB//
go_0015803_7	ynfF//tdk//malZ//
go_0015804_7	ileS//avtA//
go_0015806_6	dacA//
go_0015807_7	phnL//arnT//treA//glgB//aceA//der//
go_0015808_8	moeA//frlB//
go_0015809_7	treF//
go_0015810_8	ligB//yqaB//
go_0015811_7	narV//glmM//
go_0015813_6	thrA//edd//rfaE//
go_0015814_7	yfbR//
go_0015816_6	ppiA//
go_0015817_7	torY//prmC//
go_0015818_7	tdcD//lpxH//
go_0015820_7	prpB//thiH//lpxM//fadA//lpxM//
go_0015821_7	pdeF//dacD//
go_0015822_7	idi//
go_0015823_7	suhB//yfdR//gltD//nfsB//cysM//
go_0015824_7	waaC//ulaF//yqaB//
go_0015825_8	mrcA//
go_0015826_7	uvrA//gadA//aceF//
go_0015827_7	fucO//aroC//panB//
go_0015828_7	tmcA//paaG//
go_0015829_7	yfeX//yghU//ybjI//
go_0015830_7	gpp//
go_0015833_6	hcaB//yeaG//cysS//allD//sgbE//mutT//puuA//rlmI//dcd//yieF//
go_0015834_7	caiD//aroD//
go_0015835_6	yfdR//
go_0015836_7	lpcA//speG//
go_0015839_7	puuD//
go_0015846_6	selB//gcl//
go_0015847_7	ubiI//ynfH//pabC//lpxK//ansB//
go_0015848_7	gstA//glpC//
go_0015851_6	
go_0015853_8	gapA//otsA//
go_0015856_8	rluF//
go_0015857_6	hypB//moaE//
go_0015858_7	preT//bcsA//nudB//
go_0015860_7	phnJ//gpt//
go_0015861_9	tsaC//bioF//
go_0015862_9	guaB//serC//
go_0015863_8	napC//
go_0015864_8	rluB//
go_0015871_6	glnS//rdgB//cheR//nudG//
go_0015878_6	
go_0015879_9	ddlB//
go_0015882_7	tdcE//
go_0015886_6	ampH//dgcT//
go_0015887_7	epmA//
go_0015888_6	adiA//
go_0015889_6	rfbB//tdk//yhdJ//
go_0015891_6	surA//
go_0015906_6	rsmH//
