# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	glnE//
go_0006517_6	tnaA//gnd//
go_0006518_5	uxuB//pphA//
go_0006523_8	yfiC//rffT//
go_0006524_8	
go_0006526_8	ymdB//ugd//rfe//lpxB//malQ//slyD//bioB//
go_0006527_8	cynS//iscS//surA//frdC//argG//
go_0006529_7	dacA//pdeH//
go_0006530_7	lacZ//bioD//nrdE//leuA//
go_0006531_7	ubiD//
go_0006532_8	rffH//rbsK//dosP//
go_0006535_8	lpoB//pphA//yqhD//
go_0006537_8	kdgK//
go_0006538_8	rlmB//fumB//
go_0006541_7	fabI//yahK//glyS//entD//icd//
go_0006542_8	prpC//rlmJ//
go_0006543_8	
go_0006545_6	aceB//
go_0006546_6	etk//gutQ//dcm//
go_0006554_8	lgoD//cof//patZ//
go_0006556_5	trmJ//
go_0006559_6	phnO//
go_0006561_6	phnG//lpxP//
go_0006563_7	acpH//
go_0006564_8	slt//sdhD//dacC//icd//
go_0006565_8	ilvC//menC//mug//idnD//tdcD//
go_0006566_7	chbF//
go_0006567_8	waaB//phnG//glnA//yhdJ//hemB//hemE//lacZ//
go_0006569_7	lacZ//
go_0006571_7	trmL//dusB//
go_0006593_7	eutB//
go_0006598_8	cueO//oxc//waaJ//
go_0006605_6	
go_0006612_6	
go_0006614_8	
go_0006616_7	
go_0006629_4	carB//ulaF//
go_0006631_5	torZ//rsgA//xthA//hyaA//cpsB//
go_0006633_6	nagZ//aroG//sdhD//pdxA//malP//alkA//pinE//gatZ//lsrK//dadA//queA//
go_0006635_6	yjiA//rffT//ispF//hisH//mog//scpC//moeA//fadA//ilvD//yqjH//selA//hemL//
go_0006636_7	
go_0006637_5	bglA//prpB//sdhA//gpp//dkgA//
go_0006646_7	
go_0006650_6	
go_0006654_7	mpaA//
go_0006655_7	panC//pabA//
go_0006725_4	alkB//
go_0006729_6	hemH//panD//
go_0006730_4	lysU//upp//psuG//
go_0006734_9	
go_0006740_4	
go_0006741_9	
go_0006742_8	
go_0006744_7	sdhC//rsmB//murF//gshB//leuC//thiG//ubiF//caiD//paaF//rffC//der//yqaB//
go_0006749_5	hisS//serC//
go_0006750_6	mog//rfe//
go_0006751_6	fabB//
go_0006757_5	glcE//
go_0006760_5	ubiH//
go_0006761_7	thrS//
go_0006771_5	argB//
go_0006772_6	nrdA//deoD//
go_0006777_5	feaB//nirB//hyi//gcvH//fadK//
go_0006779_6	glgC//ligA//pflB//def//gmk//
go_0006780_7	pck//
go_0006782_7	menH//umuD//ppiA//murF//
go_0006783_5	astB//ybjI//ispA//prs//nirB//ribC//aspS//
go_0006790_4	nadD//metB//lpd//yeaE//cadA//cysI//trmD//phnH//speC//sgbH//
go_0006791_2	gcvT//eptA//folC//
go_0006793_4	speA//pdeL//
go_0006798_5	proA//
go_0006799_5	leuS//
go_0006801_5	dcyD//ndk//argI//
go_0006805_4	kbaZ//rlmH//yihS//gstB//
go_0006807_3	miaB//sdhC//pgpB//
go_0006808_4	narH//
go_0006810_4	yihT//ldtB//speE//gloA//citC//glk//mutH//waaO//panC//sodA//hisA//metG//ybiV//feaB//rnt//rlmC//rluB//queD//ppiC//pgaB//yfaU//malY//waaC//lsrG//bioD//mobA//epmC//rdgB//asnS//tig//preA//panB//tdcD//cmoB//rlmG//entF//tdcG//metE//rutE//rluF//aceA//rihC//preT//frmB//oxc//nhoA//pdxJ//frc//waaJ//aspC//dgcM//astB//glpB//rlmL//birA//ubiD//fcl//folP//alaS//ispA//thiH//frlB//sdaB//otsA//yfeW//tsaC//fcl//gpmM//psuG//puuC//chbF//btuE//trmH//nudG//lplA//ubiX//lpxP//
go_0006811_5	ldtC//mtn//fadA//proS//fdhF//guaB//patA//frc//murB//hemN//nfsB//
go_0006812_6	rihC//ssuD//
go_0006813_8	mtgA//dmsB//dkgA//tdcE//btuE//iaaA//etk//paaH//
go_0006814_8	frdD//trmL//rhaD//pflB//
go_0006817_8	gstB//
go_0006820_6	gshA//miaB//nrdA//lyxK//prpB//
go_0006821_8	yieF//
go_0006824_8	yccX//narV//ydiF//uxaB//
go_0006825_9	panD//
go_0006826_9	purL//
go_0006828_9	glmS//
go_0006829_9	rsmC//speD//fumB//maeA//bioC//
go_0006833_6	
go_0006835_8	waaP//eptC//
go_0006847_8	clsB//
go_0006855_6	gatD//rsuA//hemA//accD//xthA//ldcC//puuC//pgaB//dkgA//ilvD//pabA//purF//dusC//metF//
go_0006857_7	rpiB//pdeL//prmB//
go_0006863_7	dfp//
go_0006865_6	araA//trmD//rhaM//folC//ubiE//rrrD//queA//metK//rlmM//rlmA//ispF//moeA//thiI//tynA//mltB//polA//hisD//nudF//rsmI//mrdA//bioA//
go_0006868_7	gapA//
go_0006869_6	cysQ//
go_0006874_8	
go_0006876_8	gntK//
go_0006878_9	garR//
go_0006879_9	mltD//ssuD//
go_0006880_4	mhpB//alr//
go_0006882_8	pdeF//
go_0006883_8	thrB//ubiX//nadB//
go_0006884_4	
go_0006885_9	gapA//
go_0006886_5	
go_0006928_3	ahr//
go_0006935_4	idnK//napB//mutT//tdk//xylA//
go_0006970_4	puuC//lpxL//nrfC//mocA//puuC//dfp//
go_0006972_5	ghrB//recJ//queD//yjcS//uvrC//
go_0006974_5	truA//wrbA//dhaK//waaJ//patD//yjiA//lpxM//trmL//btuR//sgbE//cysS//truD//waaQ//mhpB//idnO//entB//patZ//slyD//menF//argH//def//garR//ampD//dgoA//aldA//orn//mtn//ilvM//yjjX//icd//aldA//wcaJ//cadA//ndh//panE//murQ//idnO//valS//glmU//alr//folD//thiE//tig//preA//fabZ//glgC//aroH//sodA//proB//hcaB//alaS//arnB//pdeH//puuE//gph//speC//rluC//eptB//idnK//xthA//dacA//hycB//pdxY//rutD//hdhA//hcaD//kdgK//hyi//nhoA//pepD//acnA//hpt//cof//ybjG//cobB//folC//eutB//mcrA//glxK//lpoB//metC//bioB//gshA//trpA//sdaB//mltC//mutL//waaQ//betB//nrfB//leuD//metG//mnaT//napA//ilvE//
go_0006979_4	ldcC//fdhF//menE//tsaE//ulaE//ispH//dhaM//aroA//allB//tauD//metG//cysC//menA//dapB//dxr//pykF//entC//murF//hemB//folM//waaQ//codA//speB//murG//garK//sucA//
go_0006986_5	dacD//
go_0006995_6	sgbU//fadM//
go_0007059_3	mutL//ung//
go_0007062_4	
go_0007155_3	acnB//
go_0007165_3	arnA//nagB//
go_0007234_5	
go_0007584_4	
go_0008033_9	purC//accA//nagZ//ampH//avtA//tmk//rutC//fumA//
go_0008104_4	
go_0008152_2	tyrS//rhaM//gabT//gstB//folM//waaH//argD//argA//folA//ldcA//ubiX//purA//lpoA//ppiA//lpcA//coaD//lysS//
go_0008156_8	
go_0008219_3	
go_0008272_6	pgi//lpxB//
go_0008295_6	rfbB//rbsD//pdxH//
go_0008299_5	oxc//
go_0008360_4	dgt//mltC//hisA//pyrG//preA//mhpC//eutD//ilvH//tdh//cynS//glpC//
go_0008610_5	lpxP//clsB//rpe//ppsA//
go_0008615_6	rpiB//surA//sodB//uvrB//pnp//lpxK//rlmM//
go_0008616_8	purL//ilvC//ldcC//nudB//entD//yjhH//
go_0008643_6	gshA//umuC//galM//tpiA//moaD//argD//ascB//curA//hyaB//prpC//moeA//lpcA//gadB//pyrG//maa//cysN//ung//cysI//
go_0008652_5	deoD//tesB//gntK//waaL//fklB//leuB//otsB//ppiA//
go_0008653_5	
go_0008654_5	xapA//tktB//nadB//gatD//
go_0009050_6	deoD//gatY//
go_0009052_6	oxc//argH//insI-1//fabG//abgB//caiB//
go_0009056_3	acnA//
go_0009058_3	fucI//uvrA//asd//treA//
go_0009060_6	glnA//ilvI//galT//phr//speD//yghU//pinE//
go_0009061_6	trpD//arnT//recR//cpdB//nrdE//rpiA//bcsA//mltF//rsgA//pgm//pepD//waaB//gcvP//glgA//fkpA//rhaM//fabB//phnH//sufS//pyrH//gnd//
go_0009062_6	ldtE//
go_0009063_5	coaA//lldD//ygeX//
go_0009070_7	glcF//
go_0009073_6	kdsB//mcrA//insI-2//eda//murD//tdk//gloB//mobA//sdhB//ruvA//malS//
go_0009081_5	fabI//araA//
go_0009082_6	treA//lpxD//cmoA//ubiA//bioF//kbaY//rhaM//
go_0009085_8	cyoE//
go_0009086_7	umpH//panE//thiC//yihT//pdeF//
go_0009088_8	epmA//lpxT//
go_0009089_6	menA//arnA//ubiE//opgE//rlmM//yqaB//
go_0009090_8	pdxY//malY//recR//arnA//
go_0009092_7	napB//
go_0009093_7	
go_0009094_6	folM//ispF//sodC//
go_0009097_7	lipA//tktB//yihV//ndk//fruK//
go_0009098_7	ribD//pyrC//xapA//rsmB//sdhA//dkgB//
go_0009099_7	phnL//umuD//ldtA//lpxH//rfaE//sgbE//nrfA//
go_0009102_6	eda//yfcF//arnA//dld//dcm//pta//phnO//yajO//cdd//
go_0009103_6	phnO//fadE//aceF//ilvC//tnaA//gloB//cysE//ybjI//fucA//
go_0009106_5	sucC//
go_0009107_6	fadH//idnD//
go_0009108_6	sgbH//
go_0009116_5	waaZ//nagZ//
go_0009142_7	treC//
go_0009143_7	add//
go_0009152_8	aceB//
go_0009157_8	hemG//
go_0009166_7	apt//gabD//
go_0009168_9	menD//
go_0009220_8	ulaE//trmO//
go_0009224_9	mnaT//
go_0009226_6	ydiO//deoD//
go_0009228_7	rluC//uxuB//truA//guaD//trpS//rpiB//yihV//mhpB//ubiD//
go_0009229_6	nrdE//mcrA//
go_0009231_6	pflB//ugd//gcvP//ilvA//queD//truD//pphB//
go_0009234_7	ubiX//yccX//galE//glcB//tcdA//frdB//gadA//cobU//hmp//
go_0009236_6	allB//fkpB//ribA//araD//rhaM//tilS//
go_0009237_4	patZ//uidA//
go_0009239_6	hycB//paaE//gcd//truA//sdhA//gluQ//rnpA//mutY//
go_0009240_6	ansA//
go_0009242_6	rlmM//hcp//rlmB//murB//xylA//alr//ispG//waaY//
go_0009243_7	cadA//
go_0009244_7	cpdA//wecB//dmsC//speG//coaA//glyS//aes//dacD//bacA//tnaA//aphA//rlmH//kduI//dosP//sucC//trmH//nudB//ubiG//rdgB//mtlD//cobU//dcd//
go_0009245_6	appA//pheS//dcyD//ymdB//hcaB//glyS//deoD//aroG//rnpA//
go_0009246_6	ftsI//ynfH//kdsB//galM//cueO//ogt//
go_0009249_6	lplA//gcvH//cdsA//
go_0009250_7	
go_0009251_7	leuA//
go_0009252_7	nagB//phnG//bcsA//pgi//proB//deoB//yieF//truA//mrcA//glnS//mutL//yghU//gpp//waaZ//tsaC//argK//nanA//sucD//mutH//guaC//birA//pta//garD//purL//aroB//
go_0009253_8	lsrG//argK//arsC//rsmF//rfbB//murD//rlmJ//cysN//sufS//queD//
go_0009254_8	orn//ubiA//gloA//gltB//selB//leuC//mutM//ilvN//ribB//glpA//ldcC//
go_0009257_8	rnb//mrcB//waaQ//rpiB//
go_0009263_6	ilvI//fabZ//
go_0009264_6	phnN//rihA//
go_0009265_7	srlD//
go_0009266_4	metF//ybhA//pdxK//mltD//recG//cobU//
go_0009267_5	paaH//idnK//
go_0009268_4	bfr//
go_0009271_4	
go_0009273_5	
go_0009290_6	
go_0009294_5	cobS//
go_0009297_6	
go_0009298_7	abgA//metH//glxR//
go_0009305_7	astC//
go_0009306_4	
go_0009311_5	
go_0009314_4	tktA//proA//ldcA//sucB//torY//tatD//yigB//ychF//idnO//hemB//sbcB//ychF//pgaB//nadD//carA//waaJ//yieH//
go_0009372_5	dacA//fabB//hisC//
go_0009396_6	dhaM//cysN//
go_0009398_7	frmA//
go_0009401_7	ybcF//mobA//umuD//dacD//aroG//dkgB//epmB//sad//rpiA//ndh//waaO//tdk//paaG//wcaJ//yhdH//nadE//alkB//cpdB//menD//otsB//
go_0009403_5	
go_0009405_4	
go_0009407_3	bglA//
go_0009408_4	nadA//coaD//nrfC//rsmI//galM//phnN//pldB//cysC//alr//yeaG//bioH//gcvT//upp//folA//gloC//speD//recO//dapA//cdd//argD//truA//mhpB//folD//lpxT//pepD//dmlA//
go_0009409_4	mraY//ldcA//
go_0009410_4	xapA//
go_0009411_6	murE//aroL//pcm//aroB//moaE//ravA//waaC//mltC//frdA//
go_0009416_5	glgB//puuC//
go_0009423_8	narI//sgbH//nhoA//citE//
go_0009432_5	cheR//araD//kduD//fucA//narY//
go_0009435_9	nrdD//yeaE//ribF//mtgA//idnD//
go_0009436_6	yqaB//waaG//mnmE//mtn//
go_0009437_5	
go_0009438_5	
go_0009440_6	rfaD//lyxK//dnaE//
go_0009442_7	pphA//gpt//rsmH//torZ//hisD//
go_0009443_5	etp//bglX//allD//
go_0009446_6	purA//lysC//
go_0009447_6	pdeR//pabC//nrdD//prpC//ispG//dhaK//nagZ//yghU//
go_0009450_6	arsC//sdhC//pldB//ispG//
go_0009451_6	otsA//metC//dadA//rihA//
go_0009593_4	
go_0009597_5	
go_0009636_4	leuD//ispG//moaD//putA//puuE//
go_0009637_6	
go_0009651_5	
go_0009697_5	purC//
go_0009758_2	mrcB//
go_0009785_5	
go_0009970_6	aroG//serA//wrbA//
go_0009972_10	mngB//
go_0009992_5	hemL//dgoA//mpaA//
go_0010033_4	
go_0010038_5	
go_0010039_6	fabI//
go_0010041_7	scpC//thrC//
go_0010042_6	patA//
go_0010043_6	rsmC//citE//
go_0010045_6	queG//
go_0010106_6	
go_0010124_4	leuB//ttdA//bfr//hemE//adiA//bioC//gpmA//ubiX//
go_0010133_7	srlD//
go_0010139_7	lsrG//
go_0010165_6	ogt//ushA//eptB//deoB//ldhA//purN//patD//phnG//
go_0010212_5	tdcD//
go_0010226_6	nrdF//
go_0010243_5	
go_0010272_6	lpxD//
go_0010273_4	trpB//yfcF//waaQ//
go_0010312_3	yihX//
go_0010332_6	
go_0010350_6	
go_0010438_6	yegS//cpsG//
go_0010447_5	malQ//rihC//
go_0010468_6	fumA//
go_0010498_6	gluQ//gldA//glpB//coaE//
go_0010501_7	gor//nrfD//
go_0010557_7	
go_0010608_7	phoA//
go_0010628_7	
go_0010629_7	aroB//
go_0010676_7	
go_0010699_4	nirB//ppiC//
go_0010810_5	
go_0010876_4	
go_0010911_5	
go_0010921_6	
go_0010951_8	
go_0010967_6	
go_0010974_7	
go_0012501_4	
go_0014070_5	paaE//rsmF//ldcA//insI-2//glmS//rffH//cueO//waaU//hisG//
go_0015031_5	ldcA//pgsA//rrrD//ydfG//hisF//gpt//gpt//cmk//
go_0015074_6	
go_0015628_5	
go_0015670_6	glcF//
go_0015673_9	fumC//
go_0015675_9	gnd//
go_0015679_10	moeB//
go_0015682_8	menB//
go_0015684_9	lsrK//serS//murG//garD//
go_0015685_8	ldtE//moaA//
go_0015687_7	lsrK//
go_0015688_6	dapA//mutM//
go_0015689_8	bioH//
go_0015691_9	phnP//lldD//
go_0015692_8	rsmE//
go_0015693_9	leuC//
go_0015696_6	ubiE//
go_0015698_7	umpH//
go_0015699_8	ackA//
go_0015700_8	rfe//
go_0015706_6	sseA//lysC//opgB//
go_0015707_6	epmA//btuE//xylA//pgl//
go_0015709_6	gltD//
go_0015710_8	paaF//adhP//
go_0015712_7	entA//
go_0015718_8	napC//
go_0015721_7	dxr//hemD//glpD//
go_0015724_7	phoA//
go_0015726_8	appA//
go_0015733_7	ampH//
go_0015734_6	gltX//
go_0015736_9	ileS//
go_0015739_7	dbpA//
go_0015740_9	kduD//preA//cobT//
go_0015741_10	frdD//fruK//
go_0015747_6	fumC//
go_0015748_6	rlmA//
go_0015749_7	fadM//aldB//pdxH//selB//citG//rutB//puuE//
go_0015751_9	fadA//yciA//
go_0015752_9	yagE//uvrC//
go_0015753_9	hemG//allB//
go_0015754_9	acnA//
go_0015755_9	cfa//recF//mcrA//
go_0015756_9	moeA//aspC//
go_0015757_9	araA//rbn//gloA//gmd//
go_0015760_8	apt//
go_0015761_9	lpcA//
go_0015762_9	purN//
go_0015764_7	fumC//acpT//aes//
go_0015765_8	cpsG//ydiF//
go_0015767_9	glpD//adeD//mrcB//
go_0015768_9	tyrB//cpsB//trmL//
go_0015769_9	ybiV//
go_0015771_9	leuS//cysD//frlC//
go_0015772_7	alaS//add//moeA//
go_0015774_7	sufS//
go_0015778_7	arnA//
go_0015793_7	ddlA//cysN//
go_0015794_7	gshB//yrfG//
go_0015795_7	dxs//dkgB//
go_0015796_7	dut//
go_0015797_7	fadM//fes//cadA//
go_0015803_7	rsmH//ligB//paaA//
go_0015804_7	cobS//ybjG//
go_0015806_6	eutD//
go_0015807_7	mnmC//sodC//pgaC//araD//thiD//fabZ//
go_0015808_8	glgP//moaE//
go_0015809_7	rne//
go_0015810_8	ldcC//sbcB//
go_0015811_7	coaE//hyaA//
go_0015813_6	narH//dacC//valS//
go_0015814_7	tsaE//
go_0015816_6	garK//
go_0015817_7	garD//pyrD//
go_0015818_7	ascB//xthA//
go_0015820_7	nadK//umpG//pdeH//fabA//menC//
go_0015821_7	waaP//gadA//
go_0015822_7	alaC//
go_0015823_7	nrfC//sdhA//sodC//yfbR//folA//
go_0015824_7	hcaF//gntK//ygjK//
go_0015825_8	rlmJ//
go_0015826_7	ansA//sodA//ubiF//
go_0015827_7	mraY//yieF//pgi//
go_0015828_7	frdC//rihC//
go_0015829_7	tcdA//lpxH//phoA//
go_0015830_7	yegS//
go_0015833_6	araB//ascB//ldcC//def//menA//mocA//glgX//pheT//bfr//pcm//
go_0015834_7	trmD//glk//
go_0015835_6	mnaT//
go_0015836_7	ilvE//puuA//
go_0015839_7	aroE//
go_0015846_6	aldA//rfbB//
go_0015847_7	hisF//pyrD//phnM//prpB//napA//
go_0015848_7	eptB//entF//
go_0015851_6	
go_0015853_8	rsmD//aroE//
go_0015856_8	prs//
go_0015857_6	gstB//fumC//
go_0015858_7	argH//moeA//purU//
go_0015860_7	manA//murQ//
go_0015861_9	cysK//yfcG//
go_0015862_9	dapA//phnG//
go_0015863_8	paaA//
go_0015864_8	menF//
go_0015871_6	gloC//pheS//pbpC//dhaL//
go_0015878_6	
go_0015879_9	uxuA//
go_0015882_7	dsdA//
go_0015886_6	yfcF//nrfB//
go_0015887_7	selD//
go_0015888_6	purN//
go_0015889_6	tyrB//cobB//glpK//
go_0015891_6	ilvD//
go_0015906_6	gltD//
