# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	roxA//
go_0006508_5	rsmD//ligB//glpA//hmp//araA//nagZ//dmsB//fruK//gcd//mocA//gldA//hpt//yjhH//appA//lipA//thiH//lysS//menD//narY//citX//lysU//gloC//chbF//queD//alr//mltC//rluE//queA//nagB//purN//ulaG//uxaC//cdsA//
go_0006515_7	tyrS//hisI//udp//malS//waaJ//metF//hisH//
go_0006517_6	leuC//apt//
go_0006518_5	kdgK//cueO//
go_0006523_8	fdhF//fabZ//
go_0006524_8	
go_0006526_8	murF//nanA//dmsB//idnK//cynT//trpD//cobU//
go_0006527_8	hdhA//dgcZ//thiH//dinB//rimK//
go_0006529_7	ftnA//acnA//
go_0006530_7	hemL//pyrG//arnT//selD//
go_0006531_7	dsdA//
go_0006532_8	murE//dcyD//dmsC//
go_0006535_8	add//alaS//alkB//
go_0006537_8	panC//
go_0006538_8	tktB//kdsC//
go_0006541_7	tyrS//hemH//glpX//ydiB//asnA//
go_0006542_8	yccX//rne//
go_0006543_8	
go_0006545_6	hyaC//
go_0006546_6	tcdA//umuD//fabB//
go_0006554_8	amiD//slt//aroG//
go_0006556_5	phnP//
go_0006559_6	murQ//
go_0006561_6	bioA//aroD//
go_0006563_7	selD//
go_0006564_8	mtgA//ravA//nadK//ilvC//
go_0006565_8	murC//nfsB//gloB//pabA//ssuD//
go_0006566_7	nagB//
go_0006567_8	zwf//purN//thiC//menB//hpt//galU//preA//
go_0006569_7	ulaG//
go_0006571_7	frdD//pfkA//
go_0006593_7	puuC//
go_0006598_8	thiL//rihA//bioD//
go_0006605_6	
go_0006612_6	
go_0006614_8	
go_0006616_7	
go_0006629_4	maeA//dgcZ//
go_0006631_5	waaG//thiD//ackA//gshA//hcaD//
go_0006633_6	ilvA//dusB//mnmA//trpD//purN//gatZ//recR//galU//yjcS//hisA//hisS//
go_0006635_6	aroL//mutM//lysA//yajO//cysN//feaB//pgaC//ppk//menH//fkpB//rutB//phr//
go_0006636_7	
go_0006637_5	puuE//rutC//clsB//cpsG//katE//
go_0006646_7	
go_0006650_6	
go_0006654_7	aphA//
go_0006655_7	yccX//gltD//
go_0006725_4	speA//
go_0006729_6	wecB//icd//
go_0006730_4	dld//alkB//yagE//
go_0006734_9	
go_0006740_4	
go_0006741_9	
go_0006742_8	
go_0006744_7	yghU//nagB//allB//glgX//rluD//pdeL//pgaB//bglA//prpB//def//gadA//thrS//
go_0006749_5	alaC//edd//
go_0006750_6	entC//arnT//
go_0006751_6	fucK//
go_0006757_5	truB//
go_0006760_5	gmk//
go_0006761_7	ribD//
go_0006771_5	katE//
go_0006772_6	murI//cpdB//
go_0006777_5	dcd//cpsB//lpd//dusC//thiM//
go_0006779_6	truC//hchA//ubiG//hemG//argI//
go_0006780_7	mrcA//
go_0006782_7	guaC//lpxM//ydiO//tmk//
go_0006783_5	panB//yagF//dusC//argB//ubiA//adk//nadK//
go_0006790_4	waaP//gltD//menH//pyrB//mmuM//dmsA//rph//menE//yagF//mtn//
go_0006791_2	pta//dnaE//mutS//
go_0006793_4	alsE//dkgA//
go_0006798_5	pta//
go_0006799_5	nrdB//
go_0006801_5	codA//dhaL//gstB//
go_0006805_4	rsmB//ispA//purF//ssuE//
go_0006807_3	uvrC//treC//roxA//
go_0006808_4	hisB//
go_0006810_4	tmk//hisF//sucD//pgm//lipA//hinT//fadB//phnJ//rsmA//yieF//clsA//glpD//acpT//lpoB//yeiG//tktA//gadB//glgA//fumB//yghU//fadH//bioD//rffG//eutD//fre//pyrH//nadA//ubiX//putA//treA//pgpA//dmsC//ispG//metH//moaE//gcl//thiC//speD//rsmF//ygjK//paaE//panD//cmk//fadI//truB//prmC//glnA//ribB//nadA//waaZ//pyrC//wcaJ//cysM//arsC//pyrD//dinB//cdh//puuE//murE//rihB//lyxK//ppsA//ynfF//ubiA//ravA//mhpB//agp//kdgK//paaB//nudG//mltB//rsmH//dhaL//nirB//hdhA//gmk//mepS//
go_0006811_5	rsuA//eutD//umuD//gltX//argD//tauD//aldB//deoA//mraY//rsmC//ttdA//
go_0006812_6	upp//aroB//
go_0006813_8	mhpB//serA//ssuE//lpxP//sdhA//trmJ//def//kbaY//
go_0006814_8	menD//pabC//pagP//tdcG//
go_0006817_8	ldcC//
go_0006820_6	metB//glpC//eutB//acpT//ligB//
go_0006821_8	phnI//
go_0006824_8	alsE//pphA//gloA//dcm//
go_0006825_9	leuD//
go_0006826_9	pgaB//
go_0006828_9	nadA//
go_0006829_9	bioC//treC//mngB//arnA//recO//
go_0006833_6	
go_0006835_8	umuC//argH//
go_0006847_8	aroK//
go_0006855_6	sodA//mnaT//rrrD//acs//accB//rpiB//paaB//lpd//dusC//mgsA//eptC//fadA//azoR//dgoA//
go_0006857_7	gloA//argS//tsaC//
go_0006863_7	fabA//
go_0006865_6	maeA//mnmE//hcaF//serC//gcd//glgX//alkB//yjjX//sdaB//ileS//ppx//purA//ybjI//gltD//narV//metG//mtlD//menI//pyrC//citX//ldhA//
go_0006868_7	rsmH//
go_0006869_6	rlmM//
go_0006874_8	
go_0006876_8	ribE//
go_0006878_9	hmp//
go_0006879_9	def//yfbR//
go_0006880_4	sgbH//alsK//
go_0006882_8	glmM//
go_0006883_8	mutM//ghrB//wecC//
go_0006884_4	
go_0006885_9	gph//
go_0006886_5	
go_0006928_3	folM//
go_0006935_4	fadD//dosP//torY//gpt//ppk//
go_0006970_4	fadA//aroB//bacA//rsmG//panE//btuR//
go_0006972_5	rsmC//dnaQ//acpS//leuA//narV//
go_0006974_5	puuC//ulaF//malQ//ppiC//feaB//wzb//idnO//glpB//tdk//eptC//cof//talB//araB//ndk//aroF//nadA//nrfD//paaK//yciA//tag//entC//pflB//cobU//argA//tsaC//nfsB//cmk//rbn//malP//ftnA//fucA//rluA//queD//nadB//lpxK//yjhG//pyrE//aroD//arnB//hyi//xthA//ileS//hyaB//lysA//cof//sdhB//ulaG//hypF//ldcC//gltD//amyA//otsA//ydiO//mrcB//accC//ttdA//napB//hisH//murI//etp//mak//rlmI//mngB//cyoE//fabZ//ascB//speG//sucD//serB//ampH//cysE//gcd//umuD//fbp//rnt//glpK//ubiH//fadJ//atoB//tdcD//deoC//rsmI//galU//rfaE//rlmD//hemB//mak//waaP//etk//fadK//curA//eptA//waaQ//nrdF//opgB//
go_0006979_4	dgt//gatD//adhP//gcvH//ubiC//prpB//moaA//rsgA//spoT//pldB//glmU//deoC//gnd//feaB//puuA//menB//dmlA//ahpC//ispF//rlmJ//hdhA//dapD//pdxH//yhdJ//ldtB//mnaT//
go_0006986_5	yagE//
go_0006995_6	maeA//umpG//
go_0007059_3	panB//pck//
go_0007062_4	
go_0007155_3	puuA//
go_0007165_3	gabT//rsmJ//
go_0007234_5	
go_0007584_4	
go_0008033_9	dusC//add//menD//fau//fadI//nirD//hflX//prpB//
go_0008104_4	
go_0008152_2	ldcA//ilvE//glnS//ubiD//nrdD//moaA//waaU//allB//malQ//pyrF//xylB//leuB//cobU//pgpA//dusB//nudF//pflB//
go_0008156_8	
go_0008219_3	
go_0008272_6	ubiA//frlC//
go_0008295_6	tyrB//feaB//pgk//
go_0008299_5	murD//
go_0008360_4	tsaE//ileS//galU//gpmM//entC//moaE//sdhC//ubiE//nrfD//napA//solA//
go_0008610_5	phnN//argB//lpxD//zwf//
go_0008615_6	waaY//rutC//lpoB//yjcS//cynT//dgkA//dinB//
go_0008616_8	fadB//ybiV//pinE//guaD//pgpB//waaL//
go_0008643_6	rpe//pabB//hyaC//mraY//rsmJ//hisD//leuA//aroE//ruvC//folD//gltX//glcF//arsC//ugd//ispB//mmuM//hmp//pdeF//
go_0008652_5	der//yihX//gutQ//yahK//ascB//folD//preA//pykF//
go_0008653_5	
go_0008654_5	ilvA//yeaE//mutH//tsaB//
go_0009050_6	tdcD//bioF//
go_0009052_6	lpxM//bioH//aroG//panB//glyS//pdeH//
go_0009056_3	leuB//
go_0009058_3	hemH//rutC//tilS//rlmM//
go_0009060_6	opgE//moaD//fruK//ldtC//cdsA//clsB//patD//
go_0009061_6	otsA//adhP//glgB//betA//gcd//adeD//mcrA//rlmD//acpT//deoD//caiB//paaC//kefF//sseA//lpxH//torZ//hisI//citG//ogt//bfr//trmJ//
go_0009062_6	yfdR//
go_0009063_5	ulaF//ybjG//rsmH//
go_0009070_7	maa//
go_0009073_6	agp//cysM//glpK//putA//fadJ//fucK//pabA//frdC//paaJ//metH//torC//
go_0009081_5	folX//proB//
go_0009082_6	azoR//ansA//xapA//ppiA//ldhA//yahK//yegS//
go_0009085_8	amyA//
go_0009086_7	fes//insI-1//tdcE//adiA//pncB//
go_0009088_8	puuC//mutT//
go_0009089_6	tktA//selB//folD//mhpD//tcdA//avtA//
go_0009090_8	fadJ//cpdB//sbcB//folA//
go_0009092_7	allC//
go_0009093_7	
go_0009094_6	garK//idnD//fabZ//
go_0009097_7	mocA//mutH//fadB//carB//galU//
go_0009098_7	pgaC//rnb//nagA//yfbR//hcaD//sgbH//
go_0009099_7	mltF//thrA//rsmG//cobB//speC//mngB//gutQ//
go_0009102_6	yihU//aroK//argA//umpG//trpS//pphA//trmJ//tynA//ribB//
go_0009103_6	pyrB//glgB//acpS//sdhD//coaD//narY//gadB//hisS//yqjH//
go_0009106_5	fabD//
go_0009107_6	prpB//ybjG//
go_0009108_6	thiG//
go_0009116_5	pdxJ//paaH//
go_0009142_7	thiE//
go_0009143_7	nrfB//
go_0009152_8	ispF//
go_0009157_8	maeA//
go_0009166_7	wzb//gatZ//
go_0009168_9	ppc//
go_0009220_8	dkgA//speG//
go_0009224_9	aldA//
go_0009226_6	uxaB//scpB//
go_0009228_7	appA//paaK//torY//hmp//gadA//cof//ribB//yihS//gltX//
go_0009229_6	uvrB//gutQ//
go_0009231_6	ndh//sgbE//dgcZ//surA//hypF//mrdA//sucC//
go_0009234_7	dxs//pgl//mltD//bglX//ldtE//gstB//recJ//rffT//carB//
go_0009236_6	rfaE//gudD//coaE//speE//ilvN//metG//
go_0009237_4	pphB//xylB//
go_0009239_6	fadM//paaJ//sthA//eutB//ubiG//rbn//fumC//sodC//
go_0009240_6	gltX//
go_0009242_6	pgaB//cobU//yjhH//ilvN//ldtA//trpS//speD//hyaB//
go_0009243_7	paaC//
go_0009244_7	thiE//pabB//mltA//folD//ubiE//sthA//tag//yqaB//ymdB//roxA//cmk//yggF//entD//mobA//pagP//ascB//yrfG//folE//ispU//xylA//arnA//ftnA//
go_0009245_6	nrdD//selD//pgm//lpxB//eptC//yajO//fau//napA//citX//
go_0009246_6	sgbH//hemD//lpxH//wzb//carB//fruK//
go_0009249_6	nfi//aroL//guaD//
go_0009250_7	
go_0009251_7	rluA//
go_0009252_7	yidA//cobU//waaF//gmhB//waaO//asd//recG//sgbE//pfkA//gatZ//lpxC//dfp//treA//ssuD//pyrB//ribD//trmO//speG//insI-1//prpC//entD//mhpC//waaH//ansB//narI//
go_0009253_8	argA//aroL//ulaF//arnT//arnB//glpX//dxs//katE//tyrS//proC//
go_0009254_8	glcD//fcl//lpd//yfiC//fucA//cdh//queA//paaK//pnp//ahr//paaE//
go_0009257_8	bioD//fadJ//lpxM//uvrB//
go_0009263_6	truA//dcyD//
go_0009264_6	purD//pgaB//
go_0009265_7	rlmH//
go_0009266_4	cadA//hisG//accD//tesB//menI//yfcG//
go_0009267_5	rsmB//prpB//
go_0009268_4	psd//
go_0009271_4	
go_0009273_5	
go_0009290_6	
go_0009294_5	sodA//
go_0009297_6	
go_0009298_7	rrrD//aroK//tpiA//
go_0009305_7	pykA//
go_0009306_4	
go_0009311_5	
go_0009314_4	malY//aes//maa//pcm//pdxH//sbcB//guaB//mnmG//eda//rbsD//rlmA//rne//ispH//dmlA//fabH//proC//alkA//
go_0009372_5	insI-1//waaJ//thyA//
go_0009396_6	arnA//hpt//
go_0009398_7	mcrB//
go_0009401_7	ulaG//hisF//pdeR//yccX//ycjU//rnb//deoB//pdeL//pgsA//fbaA//ispF//glmM//trpE//abgB//aroF//avtA//hyaB//umpH//rlmH//sodC//
go_0009403_5	
go_0009405_4	
go_0009407_3	hchA//
go_0009408_4	murD//waaF//ynfF//ampD//pphA//cheB//thiG//cdsA//ribD//waaC//ldcA//yihT//poxB//rihB//pyrF//cysE//aroE//chbF//dhaM//aroG//cheB//guaA//napA//gmhB//proS//dgoA//
go_0009409_4	kdsB//purD//
go_0009410_4	nfsB//
go_0009411_6	otsB//mrcB//tdcD//dgcZ//ribB//rph//yjhH//lipB//uxaC//
go_0009416_5	fucO//mcrA//
go_0009423_8	lsrG//torA//recR//yfcF//
go_0009432_5	yfdR//paaA//gatY//ybiV//prmB//
go_0009435_9	pinE//proB//hflX//yigB//kdsB//
go_0009436_6	cysK//ppc//eptC//eptA//
go_0009437_5	
go_0009438_5	
go_0009440_6	puuE//amiD//dosP//
go_0009442_7	yigB//nirD//phnM//hcaE//adhP//
go_0009443_5	wcaJ//clsB//pphB//
go_0009446_6	pgk//ssuD//
go_0009447_6	glcB//pcm//sodB//yqjH//valS//uxuB//speB//murF//
go_0009450_6	pdeR//puuA//aceA//betA//
go_0009451_6	moaE//tehB//hcaF//poxB//
go_0009593_4	
go_0009597_5	
go_0009636_4	rfbD//entE//psuG//glgP//rffH//
go_0009637_6	
go_0009651_5	
go_0009697_5	gadA//
go_0009758_2	arnB//
go_0009785_5	
go_0009970_6	fkpA//waaF//cpdA//
go_0009972_10	nrfB//
go_0009992_5	glmM//sucC//murC//
go_0010033_4	
go_0010038_5	
go_0010039_6	yahK//
go_0010041_7	cmk//clsA//
go_0010042_6	epmB//
go_0010043_6	zwf//tgt//
go_0010045_6	pgk//
go_0010106_6	
go_0010124_4	rhaM//sthA//mrcA//dam//kdsD//guaA//waaQ//mutY//
go_0010133_7	rnd//
go_0010139_7	nrfD//
go_0010165_6	cysE//pyrD//fadJ//selA//gloA//rlmI//ymdB//dapD//
go_0010212_5	tktA//
go_0010226_6	waaO//
go_0010243_5	
go_0010272_6	pdeR//
go_0010273_4	ileS//azoR//kduD//
go_0010312_3	yeaG//
go_0010332_6	
go_0010350_6	
go_0010438_6	ydiB//melA//
go_0010447_5	glgC//dgcT//
go_0010468_6	waaP//
go_0010498_6	nagK//hemG//phnG//bfr//
go_0010501_7	dgkA//cobS//
go_0010557_7	
go_0010608_7	plsC//
go_0010628_7	
go_0010629_7	cpdB//
go_0010676_7	
go_0010699_4	mutS//phnM//
go_0010810_5	
go_0010876_4	
go_0010911_5	
go_0010921_6	
go_0010951_8	
go_0010967_6	
go_0010974_7	
go_0012501_4	
go_0014070_5	fdhF//astB//purF//cpsB//mrcB//uidA//cmoB//phnH//selD//
go_0015031_5	melA//galK//def//deoB//waaH//carB//puuD//xylA//
go_0015074_6	
go_0015628_5	
go_0015670_6	gatY//
go_0015673_9	menI//
go_0015675_9	umpG//
go_0015679_10	tmcA//
go_0015682_8	ycaO//
go_0015684_9	cfa//yjjX//ahr//rsmI//
go_0015685_8	treF//ddlA//
go_0015687_7	purL//
go_0015688_6	speG//rnt//
go_0015689_8	yqaB//
go_0015691_9	dgcM//selA//
go_0015692_8	glxK//
go_0015693_9	astB//
go_0015696_6	sdhA//
go_0015698_7	paoC//
go_0015699_8	gstA//
go_0015700_8	kdgK//
go_0015706_6	pfkB//frdC//ulaE//
go_0015707_6	pta//alsE//paoC//fucI//
go_0015709_6	ispG//
go_0015710_8	ruvB//gloC//
go_0015712_7	rsmJ//
go_0015718_8	entB//
go_0015721_7	waaZ//mltB//yjiA//
go_0015724_7	purU//
go_0015726_8	folP//
go_0015733_7	fre//
go_0015734_6	tktA//
go_0015736_9	argK//
go_0015739_7	prmB//
go_0015740_9	proS//gstA//gcvH//
go_0015741_10	phnN//fucI//
go_0015747_6	atoB//
go_0015748_6	waaA//
go_0015749_7	yjhG//gloC//eutD//fcl//lipA//cobS//lipB//
go_0015751_9	serB//lpcA//
go_0015752_9	alkA//leuS//
go_0015753_9	apt//waaQ//
go_0015754_9	chbF//
go_0015755_9	tgt//argE//guaA//
go_0015756_9	waaL//waaL//
go_0015757_9	lpxL//mcrB//yieH//thyA//
go_0015760_8	dcm//
go_0015761_9	rbsD//
go_0015762_9	malP//
go_0015764_7	moeA//rluA//mutS//
go_0015765_8	ybiV//nfsB//
go_0015767_9	xylA//waaB//kefF//
go_0015768_9	fumC//pepD//etp//
go_0015769_9	dxr//
go_0015771_9	lsrG//rlmL//cysN//
go_0015772_7	cmoA//ubiH//dfp//
go_0015774_7	gutQ//
go_0015778_7	oxc//
go_0015793_7	moeA//glpA//
go_0015794_7	ybcF//plsB//
go_0015795_7	tcdA//rffC//
go_0015796_7	ravA//
go_0015797_7	asnA//cynS//ndh//
go_0015803_7	yfdR//waaU//ldcC//
go_0015804_7	cobU//waaB//
go_0015806_6	nrdB//
go_0015807_7	argS//folD//gcvH//rluD//glmM//cysC//
go_0015808_8	xdhB//accB//
go_0015809_7	deoB//
go_0015810_8	dcyD//fes//
go_0015811_7	mutL//sdhD//
go_0015813_6	pphB//ackA//rsuA//
go_0015814_7	garD//
go_0015816_6	thrC//
go_0015817_7	cmoA//dacA//
go_0015818_7	uxaC//psd//
go_0015820_7	citE//relA//bfr//nadE//lsrG//
go_0015821_7	purD//puuD//
go_0015822_7	cpsG//
go_0015823_7	talB//bfr//fabH//yjhH//nadA//
go_0015824_7	argH//apt//purN//
go_0015825_8	gpt//
go_0015826_7	waaZ//thyA//ydfG//
go_0015827_7	torZ//citG//rluC//
go_0015828_7	murA//thiL//
go_0015829_7	dnaQ//mutH//ilvH//
go_0015830_7	galK//
go_0015833_6	deoC//mazG//yqjH//selB//yidA//nudB//metC//yjhG//mnmG//umpH//
go_0015834_7	gmd//yidA//
go_0015835_6	murC//
go_0015836_7	ydiO//dgkA//
go_0015839_7	mngB//
go_0015846_6	pgsA//rhaD//
go_0015847_7	gmhB//acpS//aphA//yahK//rfbB//
go_0015848_7	lsrK//mrcB//
go_0015851_6	
go_0015853_8	gnd//rimK//
go_0015856_8	dcd//
go_0015857_6	sdhC//ogt//
go_0015858_7	queC//ubiF//nadA//
go_0015860_7	dkgA//atoB//
go_0015861_9	dbpA//hemF//
go_0015862_9	rnpA//menF//
go_0015863_8	yajO//
go_0015864_8	rsmC//
go_0015871_6	rsuA//cysN//thyA//idnO//
go_0015878_6	
go_0015879_9	menD//
go_0015882_7	waaF//
go_0015886_6	ndk//rsmH//
go_0015887_7	rsmB//
go_0015888_6	sthA//
go_0015889_6	dkgB//adhE//fadK//
go_0015891_6	ltaE//
