# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	icd//
go_0005975_4	glyS//azoR//rutE//ddlA//rfbC//ansB//argH//preT//gshA//moaA//rsmH//recG//guaA//rlmF//allB//glpK//
go_0005976_5	rutC//
go_0005977_6	nanE//
go_0005978_7	hisI//gmhB//curA//mutS//
go_0005980_7	trmH//tgt//csdA//
go_0005986_7	paaB//
go_0005990_7	gloC//
go_0005992_7	adeD//speA//
go_0005993_7	psd//rluC//pdeL//
go_0005995_7	wecC//
go_0005998_7	ldcC//
go_0006000_6	lysC//
go_0006001_7	fumC//yahK//
go_0006002_5	avtA//gloC//fkpA//
go_0006006_6	gloA//cysG//eno//adhE//lpxD//
go_0006007_7	abgA//tauD//
go_0006011_5	rihC//
go_0006012_6	mcrA//
go_0006013_6	citE//
go_0006014_6	tyrS//
go_0006015_7	yciA//panB//
go_0006020_5	dmsC//
go_0006044_7	ispF//
go_0006046_8	mutS//gstA//
go_0006047_5	yciV//fau//
go_0006048_6	ydfG//fadA//purU//speG//
go_0006053_8	cpsB//
go_0006062_8	queC//
go_0006071_6	araB//ndh//
go_0006072_6	mutS//
go_0006082_4	ileS//
go_0006083_6	rhaA//appA//dcm//
go_0006086_8	ulaG//mhpB//
go_0006090_8	lsrG//phnN//bioB//thrA//aroC//cysM//gadA//
go_0006094_7	rhaM//mltD//lpoA//bglB//nadA//tktB//cueO//aspA//idnO//
go_0006096_6	srlD//fabB//narV//hypF//glnS//der//purD//ldtA//yeiG//aceB//leuS//folE//lpxH//
go_0006097_5	acnB//ribE//frdD//caiD//ribA//
go_0006098_6	mraY//iaaA//trpC//wcaJ//metB//
go_0006099_4	metB//dcyD//pykF//iscS//gloB//waaL//psd//pgk//nrdE//dmlA//clsA//patA//cdd//
go_0006103_5	feaB//gstB//yagF//thrC//
go_0006104_6	dhaK//
go_0006105_5	yihV//
go_0006106_8	rluC//
go_0006107_8	
go_0006108_8	ahr//dcm//hdhA//recR//
go_0006113_5	glgP//fes//
go_0006115_6	ybhA//
go_0006124_6	
go_0006144_6	
go_0006145_7	plsC//
go_0006146_8	gldA//
go_0006148_9	thiD//
go_0006149_9	ynfF//
go_0006150_9	pgi//
go_0006152_7	caiB//gnd//pfkA//ilvE//pgpA//
go_0006154_6	puuB//
go_0006161_9	mutH//
go_0006163_6	tcdA//
go_0006164_7	ilvH//patD//rutA//psd//
go_0006166_6	ilvI//
go_0006168_7	nagZ//yciA//
go_0006171_9	
go_0006172_9	yhdJ//
go_0006177_9	recJ//
go_0006178_7	menH//
go_0006183_9	ghrB//
go_0006189_10	proC//nudG//
go_0006203_8	sucD//mltB//
go_0006206_6	hcaF//deoC//adiA//
go_0006207_8	queF//pgaB//proA//trmA//menH//
go_0006208_7	paaF//pgk//aes//thrB//gstB//acnB//
go_0006209_6	fucK//
go_0006210_8	tdcG//
go_0006212_6	lpxP//asd//solA//nirD//hisA//puuA//otsB//hyaB//mpaA//ugd//
go_0006217_9	hisF//
go_0006218_9	bioD//
go_0006220_6	fadI//
go_0006221_7	ybjG//pagP//dgcT//
go_0006222_9	
go_0006225_9	rsmH//
go_0006226_9	queC//lpxT//
go_0006227_9	mtlD//
go_0006231_9	def//
go_0006233_9	idnO//
go_0006235_9	mdh//
go_0006241_9	ldhA//
go_0006259_5	truD//rfaD//nfsB//
go_0006260_6	pgi//slt//leuA//rfbD//cheR//araB//rlmJ//
go_0006261_7	ilvE//luxS//puuA//
go_0006265_6	psuG//pykF//
go_0006266_6	bglX//icd//lpxL//
go_0006267_5	
go_0006268_9	valS//ilvM//
go_0006269_6	lpxD//
go_0006270_6	
go_0006271_7	
go_0006274_6	
go_0006275_7	
go_0006276_3	rfaE//serA//
go_0006281_6	murQ//xapA//mutH//lpoB//ybjG//metL//manA//yajO//talB//yjiA//glgB//accD//pdeL//argS//trmD//hyaC//tauD//
go_0006283_8	
go_0006284_7	adhE//alkB//garR//recJ//ydiF//tauD//
go_0006285_6	speB//acpH//truC//trpC//
go_0006288_8	umuD//pykF//
go_0006289_7	
go_0006298_7	rsmH//ribF//dcyD//glmU//
go_0006301_7	
go_0006302_7	yqjH//waaY//
go_0006307_8	idnD//mnaT//glnS//kduI//adeD//
go_0006308_6	cadA//menE//rutB//manA//
go_0006310_6	rfe//lsrG//hisS//mhpC//trpD//
go_0006313_4	bacA//
go_0006351_6	citC//alkB//
go_0006352_7	
go_0006353_7	
go_0006354_7	mrdA//
go_0006355_7	eutB//
go_0006357_8	
go_0006364_9	glyA//hypF//ychF//bioD//
go_0006378_8	pgk//
go_0006396_7	nirD//alaC//recG//torZ//rihC//
go_0006397_8	rihC//
go_0006399_8	epmC//nagB//
go_0006400_7	fabB//rfbD//gatZ//idi//truC//
go_0006401_6	fkpA//waaH//tdh//murG//glgX//mhpB//
go_0006402_7	mnaT//amyA//nagB//nudC//der//ribC//aroE//
go_0006412_6	hemF//polB//yihU//katE//rihC//
go_0006413_4	truA//
go_0006414_6	
go_0006415_7	abgB//hinT//
go_0006417_7	dhaK//rpiA//
go_0006418_7	iscS//nirB//thiE//guaA//maa//rfe//yahK//ybjI//pdxJ//accD//nrdF//
go_0006419_8	lpxT//
go_0006420_8	kdgK//
go_0006421_8	rlmH//
go_0006422_8	fre//
go_0006423_8	menE//
go_0006424_8	argG//torC//
go_0006425_8	sucA//
go_0006427_8	hpt//
go_0006428_8	paaG//
go_0006429_8	pfkA//
go_0006430_8	metE//murE//
go_0006431_8	gltD//
go_0006432_8	folM//
go_0006433_8	ulaE//
go_0006434_8	nirB//
go_0006435_8	menA//
go_0006436_8	narG//
go_0006437_8	dsdA//
go_0006438_8	argE//
go_0006448_8	
go_0006450_4	carA//rlmA//ubiA//pldB//cpsG//upp//
go_0006457_3	moaA//ldtC//preT//narG//fabB//rihC//argC//
go_0006458_4	
go_0006464_6	eutB//hemG//gadA//ispB//ilvD//dgoK//rlmI//acnA//
go_0006465_6	betA//rlmB//speC//
go_0006468_7	tauD//
go_0006470_7	mrcB//dacA//gudD//chbF//dosP//
go_0006473_8	rdgB//
go_0006474_6	purB//ttdB//sdhD//
go_0006476_8	narG//
go_0006479_5	serC//pfkB//pncB//yjjG//nagK//yihV//
go_0006486_5	glgX//
go_0006490_5	entA//
go_0006508_5	fumB//amiD//fumA//lysU//nhoA//pgpC//dxs//lpxD//trmL//pykA//lysC//uidA//gatD//hyaA//ispA//rpiB//mtgA//mazG//nadB//appA//tktB//fabD//ispF//rluC//eptC//ddlB//narY//purA//sucA//menD//ileS//nrdA//recR//
go_0006515_7	nhoA//pdxK//folA//fes//napA//fadH//apaH//
go_0006517_6	astB//paaG//
go_0006518_5	narY//umuD//
go_0006523_8	prpB//thiH//
go_0006524_8	
go_0006526_8	frdA//rpiA//deoD//hdhA//treF//epmC//birA//
go_0006527_8	ftsI//pagP//ansA//gshB//mrdA//
go_0006529_7	sodA//tcdA//
go_0006530_7	der//gcvP//nrfC//gloA//
go_0006531_7	rsmJ//
go_0006532_8	nrfC//hemH//tmcA//
go_0006535_8	fucI//adhP//glpX//
go_0006537_8	tyrA//
go_0006538_8	otsA//mltC//
go_0006541_7	ogt//rbn//hcaD//ygeX//mepS//
go_0006542_8	argH//cobT//
go_0006543_8	
go_0006545_6	mhpA//
go_0006546_6	mmuM//truB//rfaD//
go_0006554_8	lpoB//deoC//gltB//
go_0006556_5	agp//
go_0006559_6	yajO//
go_0006561_6	acpT//ldtD//
go_0006563_7	dapA//
go_0006564_8	recO//ribF//hinT//ung//
go_0006565_8	dcyD//ilvH//hycB//puuA//rluB//
go_0006566_7	mpaA//
go_0006567_8	hyaC//rne//selD//tdk//preA//rfbD//rbn//
go_0006569_7	dgcZ//
go_0006571_7	fadM//mcrA//
go_0006593_7	sucD//
go_0006598_8	rhaD//cdsA//glgX//
go_0006605_6	
go_0006612_6	
go_0006614_8	
go_0006616_7	
go_0006629_4	mepS//arnB//
go_0006631_5	folE//thrA//aldA//tesB//ddlB//
go_0006633_6	yfdR//glpC//fklB//miaA//hdhA//rnd//epmA//rne//ppx//nagB//dmsB//
go_0006635_6	wzb//umuC//dosP//pta//glmM//dut//pflB//mltB//waaH//yagE//iaaA//alsE//
go_0006636_7	
go_0006637_5	bglX//narI//lysS//dacD//umpH//
go_0006646_7	
go_0006650_6	
go_0006654_7	pyrD//
go_0006655_7	hisF//citX//
go_0006725_4	argS//
go_0006729_6	mgsA//argC//
go_0006730_4	menH//waaO//proA//
go_0006734_9	
go_0006740_4	
go_0006741_9	
go_0006742_8	
go_0006744_7	pheS//ugd//lysC//ydiO//arnT//lpxD//phnO//paaF//accC//etk//pck//folC//
go_0006749_5	wcaJ//pgaD//
go_0006750_6	hyaB//malZ//
go_0006751_6	tatD//
go_0006757_5	fbaA//
go_0006760_5	purD//
go_0006761_7	cobT//
go_0006771_5	paaF//
go_0006772_6	ruvC//lipA//
go_0006777_5	mnmA//fabA//lysA//selB//gloA//
go_0006779_6	gpp//surA//nadK//fucA//rnb//
go_0006780_7	kdsC//
go_0006782_7	insI-2//argD//citG//galT//
go_0006783_5	apaH//ispF//alkA//yeaE//ybhA//yciA//pgaD//
go_0006790_4	nrfD//accC//proC//paaE//lsrG//adeD//gcvH//murE//puuD//rffG//
go_0006791_2	tdcG//sbcB//cysM//
go_0006793_4	clsB//gstA//
go_0006798_5	galE//
go_0006799_5	lpoA//
go_0006801_5	gph//thiD//aroH//
go_0006805_4	puuC//lysA//mutH//chbG//
go_0006807_3	dsdA//frlB//pinE//
go_0006808_4	lplA//
go_0006810_4	murA//pyrB//bioD//acpS//rsmI//ygeX//umpH//bioH//uxaB//etk//prpD//purA//rsmE//garL//pgsA//tgt//fumB//tdh//dcd//plsC//ldtE//plsB//bacA//patA//kduD//rlmH//lpxC//aroK//phnG//idnD//ulaF//rffT//wecC//uxaA//galK//hpt//insI-1//gltD//dosP//proB//etk//spoT//ldcC//deoD//argD//psd//tyrS//aroD//trpA//pflB//acnA//gltB//hemN//purT//glpK//hemA//gpt//rnpA//thrC//sbcB//mug//bacA//leuC//ilvD//uxuA//uvrC//rnt//atoB//nadD//wrbA//accA//nemA//thiD//pheS//yihT//fabG//accB//
go_0006811_5	rpiB//mutT//eutD//glk//aroB//gatY//truC//speE//tsaC//nagA//alkA//
go_0006812_6	hisD//sdhA//
go_0006813_8	rffM//cmk//folC//hemD//tnaA//ybcF//mutH//ybiV//
go_0006814_8	deoD//rsgA//cysM//tilS//
go_0006817_8	dcd//
go_0006820_6	menA//dsdA//valS//adhP//speD//
go_0006821_8	psd//
go_0006824_8	zwf//menC//folA//trpC//
go_0006825_9	luxS//
go_0006826_9	ldtB//
go_0006828_9	phnI//
go_0006829_9	entH//fabD//ribF//frlC//paaF//
go_0006833_6	
go_0006835_8	rsmJ//dgt//
go_0006847_8	spoT//
go_0006855_6	garL//alkB//glpX//ligB//glpX//ulaE//selD//nanK//narH//hcaB//ubiG//pinE//alsK//cobU//
go_0006857_7	dcm//thiD//moaE//
go_0006863_7	hycB//
go_0006865_6	paaB//hcaC//thiM//ispB//puuE//wrbA//ybiV//dam//rutD//lpxC//gshB//yieF//hdhA//uxaC//paaJ//rluF//dmsC//ldtA//cfa//ndh//alr//
go_0006868_7	hcaE//
go_0006869_6	ygeX//
go_0006874_8	
go_0006876_8	aroD//
go_0006878_9	ilvB//
go_0006879_9	fabI//glpD//
go_0006880_4	ahr//speB//
go_0006882_8	kdsA//
go_0006883_8	btuE//yciV//ampH//
go_0006884_4	
go_0006885_9	trmA//
go_0006886_5	
go_0006928_3	ulaF//
go_0006935_4	trmJ//rhaM//lysU//bioC//glyA//
go_0006970_4	fabI//purU//uvrC//citG//polA//tyrA//
go_0006972_5	rsmA//ileS//rsmE//panB//trpC//
go_0006974_5	thrC//rfbD//ycjU//dcm//mmuM//trmJ//ssuD//iaaA//tdcB//fkpA//xthA//gstB//ynfH//murC//ubiD//rne//ldtD//sgbE//hisD//hemN//acnB//yajO//murB//entF//murE//udp//aroH//waaZ//ulaE//rnb//cof//pgpC//argK//glk//dkgB//recG//waaQ//waaQ//yccX//dgoA//pgpB//thiC//pdxH//ilvD//dapF//kduI//dfp//purL//cobB//cysH//moaA//roxA//argI//ldcA//kduI//ynfE//pgpB//deoA//lysC//ynfF//pyrH//frmA//yjcS//rutD//speA//yigB//katG//mtn//ybiV//allB//luxS//rlmM//rsmH//fabG//moaD//cyoE//pdxK//mhpD//glgA//rlmI//tsaD//ndh//aceA//hcaE//hemH//cpsB//tmk//fucO//gabT//gstA//ispU//dxs//bioD//gltX//dxs//
go_0006979_4	slt//rnb//trpE//ppiA//slyD//fadM//speB//dmsC//hcaB//arsC//ruvB//maa//aroH//eno//cynS//pabC//hemE//rluF//yigL//fabG//coaD//cysD//plsC//thiL//valS//csdA//
go_0006986_5	glmM//
go_0006995_6	aroE//hdhA//
go_0007059_3	mazG//opgE//
go_0007062_4	
go_0007155_3	mnmA//
go_0007165_3	murE//rnpA//
go_0007234_5	
go_0007584_4	
go_0008033_9	rutE//asnS//pgl//yjjX//nadA//coaD//yrfG//hcaE//
go_0008104_4	
go_0008152_2	gatZ//ilvB//queD//panC//ltaE//katG//ulaE//ascB//patZ//cmoA//dapB//rhaD//orn//lpxK//entF//ruvC//mdh//
go_0008156_8	
go_0008219_3	
go_0008272_6	rsmA//dhaM//
go_0008295_6	dsdA//rnd//rnd//
go_0008299_5	lacZ//
go_0008360_4	yrfG//araA//pykA//citE//kduI//guaC//uxuA//yihV//pyrB//nrfC//purL//
go_0008610_5	recR//carA//asnB//gcvT//
go_0008615_6	avtA//wcaJ//dhaL//ubiD//lipB//upp//purN//
go_0008616_8	cpsG//menC//dld//sseA//ilvC//chbG//
go_0008643_6	dnaE//fumB//pyrG//wzc//glnA//carA//purU//queD//def//gutQ//hemN//carA//trpS//gabD//gatY//dhaK//yqaB//rhaB//
go_0008652_5	alkA//waaH//rfe//hisS//dxs//gcd//hisI//waaG//
go_0008653_5	
go_0008654_5	frmA//ychF//murQ//folA//
go_0009050_6	pabC//hisA//
go_0009052_6	aspS//nadC//slt//gloB//astC//truB//
go_0009056_3	moaA//
go_0009058_3	hcaC//nudF//panB//trmD//
go_0009060_6	patD//fabD//fadM//ppc//glxK//serS//pgpB//
go_0009061_6	narY//paaZ//clsC//apaH//glpB//fre//murG//puuA//proS//metH//coaA//mtn//ubiH//pgpB//dxr//yagE//puuE//ligA//murD//rlmM//katE//
go_0009062_6	citX//
go_0009063_5	ppx//pykA//tyrS//
go_0009070_7	yjcS//
go_0009073_6	nrfB//avtA//ahpC//mobA//napB//lipB//rutB//ahr//truA//hemC//fumC//
go_0009081_5	napB//hcaD//
go_0009082_6	lpxM//gudD//phnL//sdhA//ubiD//luxS//cysK//
go_0009085_8	gstB//
go_0009086_7	pdxH//slt//yihS//pgl//pnp//
go_0009088_8	acpT//menC//
go_0009089_6	ilvH//appA//lplA//speE//rpiB//guaD//
go_0009090_8	kdsD//waaU//uxaB//hemE//
go_0009092_7	recF//
go_0009093_7	
go_0009094_6	hmp//rpiA//glpK//
go_0009097_7	mrcA//paaF//ldhA//murG//guaA//
go_0009098_7	sbcB//cpdA//alsK//proA//fadA//fbp//
go_0009099_7	lpxP//kduD//sodA//codA//ybjG//pgi//valS//
go_0009102_6	folP//pdxJ//hcaF//ppiC//tdh//pheA//pyrF//trpE//rsmD//
go_0009103_6	dnaE//betB//upp//csdA//hyaC//waaJ//moeB//apt//def//
go_0009106_5	sbcB//
go_0009107_6	speG//rhaD//
go_0009108_6	aroH//
go_0009116_5	tesB//waaG//
go_0009142_7	rlmM//
go_0009143_7	nadB//
go_0009152_8	waaZ//
go_0009157_8	serB//
go_0009166_7	frdB//rpiB//
go_0009168_9	asnB//
go_0009220_8	speC//nrdD//
go_0009224_9	ldcC//
go_0009226_6	glpC//pcm//
go_0009228_7	hchA//ldhA//sthA//ahr//dsdA//dnaQ//scpC//pyrB//araD//
go_0009229_6	recR//hisA//
go_0009231_6	ydfG//galU//pgm//ung//ndk//trmJ//ackA//
go_0009234_7	nadA//ribD//dapF//eda//dgcT//entE//chbF//ligA//ubiA//
go_0009236_6	ynfE//pyrH//ynfH//cpdB//fdhF//pcm//
go_0009237_4	asnS//hisH//
go_0009239_6	truA//ada//deoB//hcaD//ribC//kdsA//mltC//torC//
go_0009240_6	proC//
go_0009242_6	nrfA//napA//hycB//waaU//gcd//pphA//puuC//purN//
go_0009243_7	metB//
go_0009244_7	frdA//panC//frdB//miaA//hisH//aroF//pabC//mcrA//ppsA//ispG//rluF//lyxK//rlmL//gabD//fabB//xylA//melA//mrcA//torY//gatD//mdh//pgpB//
go_0009245_6	mltC//tig//yjjG//pgpB//rffM//pcm//patA//prpD//guaA//
go_0009246_6	sucB//pyrC//katE//tesB//torC//waaY//
go_0009249_6	mutL//gor//ruvB//
go_0009250_7	
go_0009251_7	aroD//
go_0009252_7	dusC//entC//fadM//umuD//rlmB//aspS//argD//dhaM//caiB//adiA//apt//tilS//hemH//fadA//dhaM//wecB//ppiC//aroK//entD//rlmH//tsaD//purU//aldA//tpiA//sufS//
go_0009253_8	tadA//glnE//aroF//purD//tilS//cpsG//ybiV//cpdB//pdeR//btuR//
go_0009254_8	cysE//birA//acnA//hcaC//gadB//rnb//ilvA//otsB//metE//purF//glmM//
go_0009257_8	ribA//ppiA//nagZ//adiA//
go_0009263_6	sthA//adeD//
go_0009264_6	gstB//lpoB//
go_0009265_7	rpiA//
go_0009266_4	bioH//folX//alr//epmA//purD//orn//
go_0009267_5	pgpA//trmJ//
go_0009268_4	panD//
go_0009271_4	
go_0009273_5	
go_0009290_6	
go_0009294_5	phnI//
go_0009297_6	
go_0009298_7	preT//yccX//hemE//
go_0009305_7	ubiF//
go_0009306_4	
go_0009311_5	
go_0009314_4	folE//rutB//epmB//yegS//valS//aldA//yfcG//glmM//dsdA//fabB//fumA//ldtA//mhpA//gatZ//mocA//murB//ygjK//
go_0009372_5	rhaA//garD//rsmJ//
go_0009396_6	bglA//abgA//
go_0009398_7	hisH//
go_0009401_7	hemN//serB//fabI//gatY//hemG//tauD//pyrD//cysK//suhB//cobT//fes//ndh//rlmG//proB//yagE//pagP//ispU//frdB//argC//tmk//
go_0009403_5	
go_0009405_4	
go_0009407_3	allB//
go_0009408_4	garR//ahr//paoC//fucO//ampD//ubiH//rffG//tsaD//aphA//nrdF//gor//treA//acnA//trpD//pgpB//ubiE//clsB//mutY//truD//yihU//yahK//rsmJ//glpK//galE//tatD//queC//
go_0009409_4	hcaC//thiG//
go_0009410_4	iaaA//
go_0009411_6	plsB//queC//fucI//lpxH//ldhA//mhpC//polB//torZ//menI//
go_0009416_5	metH//bioA//
go_0009423_8	ppk//psuG//frdD//torA//
go_0009432_5	gltB//yidA//frdA//pgpC//hdhA//
go_0009435_9	alkB//proC//tatD//tmcA//mngB//
go_0009436_6	gltX//csdA//pheS//cysE//
go_0009437_5	
go_0009438_5	
go_0009440_6	fadJ//feaB//ogt//
go_0009442_7	selB//btuE//purA//folA//sgbH//
go_0009443_5	hcaE//pldB//glyA//
go_0009446_6	entE//tmcA//
go_0009447_6	glnA//nadC//mnmE//mltA//nanA//phnM//eutD//kdsB//
go_0009450_6	otsB//murE//sucA//mutY//
go_0009451_6	cmoB//nrdA//leuC//mnaT//
go_0009593_4	
go_0009597_5	
go_0009636_4	pfkB//btuR//sufS//pyrC//nudC//
go_0009637_6	
go_0009651_5	
go_0009697_5	panB//
go_0009758_2	uvrA//
go_0009785_5	
go_0009970_6	rsmE//tyrB//alaA//
go_0009972_10	tcdA//
go_0009992_5	cysE//coaE//gmhB//
go_0010033_4	
go_0010038_5	
go_0010039_6	fadH//
go_0010041_7	mutL//araD//
go_0010042_6	panE//
go_0010043_6	tsaD//ada//
go_0010045_6	hisA//
go_0010106_6	
go_0010124_4	nemA//ghrB//yihV//hemF//mraY//ispG//prpC//yciV//
go_0010133_7	rluE//
go_0010139_7	cobT//
go_0010165_6	patZ//ttdB//lpxL//ppsA//fadB//sdhD//mcrA//cheR//
go_0010212_5	cyoE//
go_0010226_6	menD//
go_0010243_5	
go_0010272_6	entB//
go_0010273_4	pdxY//pldB//hemF//
go_0010312_3	alsE//
go_0010332_6	
go_0010350_6	
go_0010438_6	rffC//dgoA//
go_0010447_5	umuC//gadB//
go_0010468_6	waaC//
go_0010498_6	alaS//ymdB//dmsA//gapA//
go_0010501_7	rbn//nadE//
go_0010557_7	
go_0010608_7	rfaD//
go_0010628_7	
go_0010629_7	adk//
go_0010676_7	
go_0010699_4	hcaF//tktA//
go_0010810_5	
go_0010876_4	
go_0010911_5	
go_0010921_6	
go_0010951_8	
go_0010967_6	
go_0010974_7	
go_0012501_4	
go_0014070_5	kdgK//lysU//waaF//trpC//lpxL//accA//pgaC//mhpC//malS//
go_0015031_5	ldcA//yieF//arnA//gpmA//cpsB//pyrF//rnt//prs//
go_0015074_6	
go_0015628_5	
go_0015670_6	umuC//
go_0015673_9	hemF//
go_0015675_9	pagP//
go_0015679_10	opgE//
go_0015682_8	deoC//
go_0015684_9	queD//abgB//cynS//leuB//
go_0015685_8	dhaK//preA//
go_0015687_7	truB//
go_0015688_6	folA//ogt//
go_0015689_8	narZ//
go_0015691_9	ubiD//ydiO//
go_0015692_8	xylB//
go_0015693_9	cysH//
go_0015696_6	ulaG//
go_0015698_7	mtlD//
go_0015699_8	aroG//
go_0015700_8	yqaB//
go_0015706_6	dxs//nudB//agp//
go_0015707_6	lpxK//menF//hisG//ndh//
go_0015709_6	ldtA//
go_0015710_8	torY//garL//
go_0015712_7	aroB//
go_0015718_8	fkpA//
go_0015721_7	gatY//epmB//glgB//
go_0015724_7	frlC//
go_0015726_8	nrdF//
go_0015733_7	cysN//
go_0015734_6	rph//
go_0015736_9	aroK//
go_0015739_7	cyoE//
go_0015740_9	dkgA//rfe//phnJ//
go_0015741_10	ybjG//truD//
go_0015747_6	murF//
go_0015748_6	ubiG//
go_0015749_7	rsmA//ddlA//pdxK//umuD//btuR//aroD//ascB//
go_0015751_9	lpoA//dmsB//
go_0015752_9	gstB//ravA//
go_0015753_9	udp//pdeH//
go_0015754_9	entC//
go_0015755_9	argH//cynS//thrC//
go_0015756_9	gmhB//ndh//
go_0015757_9	queD//pagP//rlmF//folX//
go_0015760_8	purB//
go_0015761_9	pdxH//
go_0015762_9	fucI//
go_0015764_7	dgt//trmH//galM//
go_0015765_8	abgA//rsmI//
go_0015767_9	gloB//rihB//ssuD//
go_0015768_9	ubiA//ribA//fadM//
go_0015769_9	glcB//
go_0015771_9	cpsB//nudF//yfdR//
go_0015772_7	dosP//abgB//ampH//
go_0015774_7	opgB//
go_0015778_7	waaQ//
go_0015793_7	yjhH//pykF//
go_0015794_7	ubiD//ilvM//
go_0015795_7	gstA//mngB//
go_0015796_7	gdhA//
go_0015797_7	bcsA//hinT//ldhA//
go_0015803_7	umuC//dxr//lgoD//
go_0015804_7	alr//purB//
go_0015806_6	ubiA//
go_0015807_7	leuD//trmA//dsdA//rpiB//rluC//queD//
go_0015808_8	idnO//pdxB//
go_0015809_7	moeA//
go_0015810_8	deoD//nadC//
go_0015811_7	nirD//deoB//
go_0015813_6	gldA//truC//mazG//
go_0015814_7	ulaG//
go_0015816_6	hisC//
go_0015817_7	suhB//malP//
go_0015818_7	accA//aroG//
go_0015820_7	ppsA//rluA//menH//glyA//gloC//
go_0015821_7	cobU//narI//
go_0015822_7	purN//
go_0015823_7	fruK//rffT//trpS//lpxP//folX//
go_0015824_7	gpmA//yahK//rluB//
go_0015825_8	ilvI//
go_0015826_7	galT//rihB//menF//
go_0015827_7	pfkB//cheB//idi//
go_0015828_7	lpoB//gpmM//
go_0015829_7	trpS//cdd//rsmF//
go_0015830_7	waaU//
go_0015833_6	fadK//dcyD//arnT//nrdD//waaF//ybjI//waaY//rutC//oxc//puuA//
go_0015834_7	thrC//nrfD//
go_0015835_6	lipB//
go_0015836_7	mmuM//dld//
go_0015839_7	hisC//
go_0015846_6	paoC//alaA//
go_0015847_7	accD//cynT//hemE//pykA//roxA//
go_0015848_7	gph//psd//
go_0015851_6	
go_0015853_8	yhdH//codA//
go_0015856_8	pgpA//
go_0015857_6	oxc//trmH//
go_0015858_7	tmk//cysC//yihT//
go_0015860_7	cyoE//rutC//
go_0015861_9	waaL//ribF//
go_0015862_9	phnH//folC//
go_0015863_8	frmA//
go_0015864_8	lpcA//
go_0015871_6	katE//rhaB//ulaD//murE//
go_0015878_6	
go_0015879_9	yahK//
go_0015882_7	yqjH//
go_0015886_6	dinB//puuD//
go_0015887_7	mltD//
go_0015888_6	aceB//
go_0015889_6	kdsD//kdgK//rbsD//
go_0015891_6	ubiF//
go_0015906_6	amyA//
