# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	nirB//
go_0006281_6	narV//phnL//yihT//malZ//lsrK//ldtE//waaS//xylB//adiA//mcrB//nadE//proB//alsK//yrfG//pgaB//dxr//acpT//
go_0006283_8	
go_0006284_7	rluE//hemC//avtA//adeD//ftsI//pyrG//
go_0006285_6	selA//preA//aceF//preA//
go_0006288_8	paaK//gcvP//
go_0006289_7	
go_0006298_7	mnmE//prmB//nanA//fbaA//
go_0006301_7	
go_0006302_7	recJ//waaB//
go_0006307_8	gshA//cheR//ribA//asnA//purB//
go_0006308_6	fbp//queF//murQ//ubiF//
go_0006310_6	solA//lysU//queF//lipB//tesB//
go_0006313_4	queD//
go_0006351_6	aceB//gcvT//
go_0006352_7	
go_0006353_7	
go_0006354_7	waaZ//
go_0006355_7	betB//
go_0006357_8	
go_0006364_9	rutA//hemG//umuC//adhP//
go_0006378_8	mnmE//
go_0006396_7	hcp//rlmA//cysE//ygeX//menI//
go_0006397_8	rluF//
go_0006399_8	phr//glpB//
go_0006400_7	avtA//agp//hemN//glnS//hyaB//
go_0006401_6	hflX//gcl//pdeF//nrdF//narY//glyA//
go_0006402_7	glmM//nrdB//pdeR//lpxM//dsdA//pdeF//rffT//
go_0006412_6	hyi//malZ//valS//iaaA//xdhB//
go_0006413_4	yqaB//
go_0006414_6	
go_0006415_7	mutH//alkB//
go_0006417_7	yciA//pdxH//
go_0006418_7	tmk//lyxK//tsaB//dhaM//nanK//bioA//dmsA//argB//thiI//sdhB//talB//
go_0006419_8	tsaD//
go_0006420_8	aroG//
go_0006421_8	trpA//
go_0006422_8	alkB//
go_0006423_8	leuD//
go_0006424_8	serS//glpX//
go_0006425_8	glyS//
go_0006427_8	kefF//
go_0006428_8	yggF//
go_0006429_8	glpD//
go_0006430_8	pyrB//gutQ//
go_0006431_8	truB//
go_0006432_8	mutY//
go_0006433_8	ung//
go_0006434_8	plsB//
go_0006435_8	glxK//
go_0006436_8	ubiX//
go_0006437_8	gudD//
go_0006438_8	betA//
go_0006448_8	
go_0006450_4	kefF//bcsA//fucA//narV//puuD//ddlB//
go_0006457_3	aroE//maa//moeB//gntK//folC//yegS//ynfH//
go_0006458_4	
go_0006464_6	waaZ//tktA//leuD//yagE//panC//phnI//bioD//pyrG//
go_0006465_6	speG//cheB//fabG//
go_0006468_7	ribE//
go_0006470_7	maeA//recJ//ndh//ahr//yfdR//
go_0006473_8	garD//
go_0006474_6	ubiG//mltD//gshB//
go_0006476_8	recR//
go_0006479_5	fumC//fkpA//yfaU//appA//glnS//argC//
go_0006486_5	gcvT//
go_0006490_5	thiC//
go_0006508_5	glpD//coaE//dhaM//thrA//alsE//adhE//sdhC//cfa//ttdB//glcB//hemB//ubiC//rhaD//ybjI//eptC//nadK//mltB//glnA//araA//fucA//frdC//fumC//purF//ddlB//speG//fabA//thyA//yieF//hcaF//ygeX//dnaE//paaF//cheR//
go_0006515_7	ruvA//hcaB//adiA//rutD//astB//thiM//ilvH//
go_0006517_6	rpe//waaO//
go_0006518_5	lysA//aceA//
go_0006523_8	proA//ubiE//
go_0006524_8	
go_0006526_8	aroE//pyrG//cmoB//gntK//trmD//lsrK//alaC//
go_0006527_8	truB//mutM//pdeR//hisG//pgpB//
go_0006529_7	rpiA//ynfF//
go_0006530_7	paaH//pyrE//putA//pdeR//
go_0006531_7	yjcS//
go_0006532_8	purT//ribE//dld//
go_0006535_8	prpB//argG//proC//
go_0006537_8	speA//
go_0006538_8	acs//ada//
go_0006541_7	hcp//cpsB//nrdE//xylA//glnS//
go_0006542_8	cobU//thiG//
go_0006543_8	
go_0006545_6	mhpB//
go_0006546_6	bioB//mutH//gatZ//
go_0006554_8	lpoA//thrC//mak//
go_0006556_5	rnpA//
go_0006559_6	rlmG//
go_0006561_6	pbpC//ftnA//
go_0006563_7	ulaF//
go_0006564_8	surA//luxS//rutA//fkpB//
go_0006565_8	nagA//gpsA//gpsA//allC//tehB//
go_0006566_7	acpT//
go_0006567_8	poxB//pagP//paaJ//polA//tdk//clsB//udk//
go_0006569_7	ispU//
go_0006571_7	alr//pdeH//
go_0006593_7	rfaE//
go_0006598_8	frdA//panC//rnt//
go_0006605_6	
go_0006612_6	
go_0006614_8	
go_0006616_7	
go_0006629_4	gpt//entA//
go_0006631_5	coaA//paaF//entB//dinB//solA//
go_0006633_6	fklB//waaJ//serA//tpiA//tdk//entB//dxs//yeiG//accC//entA//miaA//
go_0006635_6	rutB//ilvE//thiH//glcD//rhaD//ubiC//rfe//frdD//garR//cheB//gpp//rnb//
go_0006636_7	
go_0006637_5	leuS//def//rbsD//pykA//astB//
go_0006646_7	
go_0006650_6	
go_0006654_7	thrC//
go_0006655_7	mazG//mgsA//
go_0006725_4	nrdB//
go_0006729_6	lyxK//rnd//
go_0006730_4	asnB//thiE//narG//
go_0006734_9	
go_0006740_4	
go_0006741_9	
go_0006742_8	
go_0006744_7	gshA//psuG//talB//rsmI//uxuB//proA//panB//mog//hisB//alkA//nadA//putA//
go_0006749_5	ndh//rutD//
go_0006750_6	ampD//thrC//
go_0006751_6	phnP//
go_0006757_5	ydiO//
go_0006760_5	yeiG//
go_0006761_7	aroD//
go_0006771_5	leuS//
go_0006772_6	mutL//idnO//
go_0006777_5	aes//serB//xylB//gpmM//narG//
go_0006779_6	mgsA//lsrK//thiL//yghU//preT//
go_0006780_7	torZ//
go_0006782_7	gpt//arnB//eno//psd//
go_0006783_5	folE//ileS//ybjG//pgaD//alr//otsB//tdcE//
go_0006790_4	rsmG//citX//rnt//yjiA//purC//yqhD//gpmA//cysK//cof//dgoA//
go_0006791_2	alkB//pabC//xdhB//
go_0006793_4	fkpB//coaA//
go_0006798_5	glmS//
go_0006799_5	fadA//
go_0006801_5	pepD//ydiF//fadA//
go_0006805_4	fucO//gatY//rffH//kbaY//
go_0006807_3	dacD//yagF//etp//
go_0006808_4	nadA//
go_0006810_4	aspA//mhpC//adiA//entF//pdeR//argD//rffM//phr//thiE//curA//cysG//nanA//xdhB//ada//argS//tgt//ldcC//pdeF//entB//pyrH//sdhD//frc//citG//arnT//pgpB//rsmD//gabD//thiC//ribA//mug//kdgK//malQ//dkgB//paaC//bglB//glcB//rlmC//ubiF//napC//torA//rhaA//dnaE//mobA//malZ//yfbR//mgsA//relA//mmuM//mltB//gpt//rffM//yfeX//tnaA//accC//glpA//mltF//pgaC//eutB//puuD//ligB//glyA//speB//mazG//gudD//pyrC//dgoD//phnM//purA//otsB//rpiB//metB//ilvA//aroC//thiG//ispH//ndk//fes//
go_0006811_5	yjcS//mraY//cysD//aroF//spoT//sodB//hemA//yigL//hyi//waaO//fumB//
go_0006812_6	mnmE//talB//
go_0006813_8	mutY//miaA//ybjG//ltaE//gdhA//tsaE//pdxB//rph//
go_0006814_8	xylB//rutC//hisA//moaD//
go_0006817_8	serC//
go_0006820_6	speA//yciV//galE//valS//psuG//
go_0006821_8	galU//
go_0006824_8	lsrK//clsA//hemG//treC//
go_0006825_9	uxaB//
go_0006826_9	acnA//
go_0006828_9	nanK//
go_0006829_9	pdxH//xapA//murQ//ydfG//hcp//
go_0006833_6	
go_0006835_8	fes//yggF//
go_0006847_8	ulaF//
go_0006855_6	otsB//gudD//truA//aroB//yjcS//nrfC//waaY//pgm//aroK//lpd//solA//rbn//alaC//tauD//
go_0006857_7	rpiB//menE//proB//
go_0006863_7	queG//
go_0006865_6	glcB//rihB//truD//ubiE//cobB//mmuM//ligA//ispU//sucD//gcvH//epmB//pyrC//lldD//rihA//preA//mepS//fre//adk//gabT//tdcE//thiG//
go_0006868_7	rihC//
go_0006869_6	ribC//
go_0006874_8	
go_0006876_8	pdeF//
go_0006878_9	pyrB//
go_0006879_9	hisA//mraY//
go_0006880_4	napC//rbsK//
go_0006882_8	citG//
go_0006883_8	paaJ//ftnA//panC//
go_0006884_4	
go_0006885_9	dmsB//
go_0006886_5	
go_0006928_3	ribF//
go_0006935_4	treC//recJ//tdcE//cysM//uvrB//
go_0006970_4	yjcS//phnO//ftsI//der//tdcG//sucC//
go_0006972_5	hypF//arnA//valS//gntK//dhaM//
go_0006974_5	nudG//mtn//nagK//pgi//maa//epd//fbaA//fabB//galT//thrC//dapD//rlmC//ribB//folC//nadK//accD//dhaK//fabG//thrA//puuE//yfbR//dut//hcaB//pagP//ynfH//mtlD//metG//glxK//nrdB//murE//rfaE//rsmH//lacZ//nadK//orn//mrcB//purA//rlmA//maa//citE//aroH//nrfB//thiD//folP//aroB//yeiG//yagE//pheT//cmk//ispA//speB//sdhA//tehB//mhpA//tgt//cobC//rsgA//aroF//leuA//ubiE//scpB//carA//gcvP//hyaB//dgcZ//ldhA//treA//dgcT//glcB//paaC//clsB//galM//alkB//rdgB//trmI//rfbD//tdcE//opgB//nemA//glxR//ppx//pabB//menH//phnN//pgl//sdhA//nirB//paaK//yajO//fdhF//cdh//coaA//cheB//idnD//gadB//
go_0006979_4	tktA//cfa//aroA//narZ//yciV//bioB//cmoA//mcrB//nagA//thiI//waaB//opgB//deoC//fabZ//menD//hisA//yggF//nirD//hcp//ruvC//ubiH//waaP//bacA//eptB//uxaA//gmd//
go_0006986_5	hemG//
go_0006995_6	dapD//eutD//
go_0007059_3	umuD//rnd//
go_0007062_4	
go_0007155_3	guaB//
go_0007165_3	menC//cysQ//
go_0007234_5	
go_0007584_4	
go_0008033_9	truB//gcd//nagZ//rsmE//ldtD//yciA//tktB//glcD//
go_0008104_4	
go_0008152_2	ansB//idnK//fadK//paoC//tadA//waaF//pheT//yieH//queG//waaJ//ampH//rlmE//ftsI//melA//putA//kefF//glxR//
go_0008156_8	
go_0008219_3	
go_0008272_6	cfa//glyS//
go_0008295_6	def//yqhD//gpmM//
go_0008299_5	fau//
go_0008360_4	otsB//glgX//dnaE//dgt//speB//fucO//metK//trmD//ulaD//ispA//sdaA//
go_0008610_5	glcD//ppx//otsB//mngB//
go_0008615_6	rihA//queG//upp//cobC//glnA//frdB//sucC//
go_0008616_8	alaA//ddlA//ydiB//ssuE//ravA//arnA//
go_0008643_6	waaB//ilvE//tehB//ribA//fumA//ampH//paoC//serC//cysK//asd//pflB//ddlA//ilvM//rsmH//mnmC//fau//mobA//nrdD//
go_0008652_5	ileS//carB//plsC//fadE//wecB//speF//tdcE//nanE//
go_0008653_5	
go_0008654_5	aceF//entD//wzb//acnA//
go_0009050_6	entE//phnO//
go_0009052_6	arnA//lpxH//ynfF//argA//glpC//glnS//
go_0009056_3	hisC//
go_0009058_3	ampH//aes//mcrA//leuD//
go_0009060_6	ldtB//lacZ//nadA//pykA//tnaA//narY//carB//
go_0009061_6	garK//guaC//serB//nrfC//fucA//glk//mhpA//lpxD//cdh//mnaT//hcaD//ldcC//uxuB//ribE//glk//sdhA//lgoD//mnmE//mocA//rfaD//eno//
go_0009062_6	metK//
go_0009063_5	entA//rsmC//dnaQ//
go_0009070_7	torC//
go_0009073_6	trmJ//glgA//cpsB//pdeF//katE//mutH//ilvH//rfaD//mhpA//ispU//tesB//
go_0009081_5	mnmC//lysA//
go_0009082_6	fkpA//hinT//yajO//rsgA//ilvD//rdgB//nudC//
go_0009085_8	lacZ//
go_0009086_7	pyrD//napC//umuC//ltaE//pck//
go_0009088_8	glnE//moaD//
go_0009089_6	pgm//pdeR//rlmA//fabI//bioC//guaA//
go_0009090_8	kbaZ//nagB//glmS//lpxL//
go_0009092_7	narV//
go_0009093_7	
go_0009094_6	sodA//purD//tdcB//
go_0009097_7	entA//glyA//ychF//speB//mepS//
go_0009098_7	epmB//uxaC//alsE//napB//cysE//nrdB//
go_0009099_7	ubiA//eptA//rluF//murE//ppiC//aes//hyi//
go_0009102_6	hyaA//gmhB//rsmE//napA//orn//rluE//ygeX//lyxK//ldtD//
go_0009103_6	abgA//xylB//gadB//recJ//pgk//entF//queD//poxB//dapF//
go_0009106_5	mtlD//
go_0009107_6	trmJ//rluB//
go_0009108_6	ruvC//
go_0009116_5	mutS//bglX//
go_0009142_7	menF//
go_0009143_7	iscS//
go_0009152_8	zwf//
go_0009157_8	ubiG//
go_0009166_7	fadD//idnO//
go_0009168_9	folM//
go_0009220_8	luxS//yagE//
go_0009224_9	araD//
go_0009226_6	rlmB//moeB//
go_0009228_7	psuG//sad//xylB//cobT//tktB//xylA//mmuM//rimK//glnS//
go_0009229_6	moaA//trpD//
go_0009231_6	arnA//aceB//napB//purB//katE//thrA//citC//
go_0009234_7	yjhH//lysA//hisS//tcdA//appA//ung//cyaA//trmI//dhaK//
go_0009236_6	pdxB//bglA//argK//nrdA//moaA//mog//
go_0009237_4	metC//dapF//
go_0009239_6	fadB//arnA//ileS//lpxK//appA//queG//nadK//fadI//
go_0009240_6	ilvB//
go_0009242_6	dkgB//rsmD//phnH//cadA//galT//sucA//fbp//ilvE//
go_0009243_7	paaH//
go_0009244_7	pgl//coaD//selB//rsmC//rimK//aspC//ldcA//deoB//yagE//hchA//upp//eutD//wrbA//torC//ansA//gatD//rluD//hemB//leuA//mhpA//hypF//sodA//
go_0009245_6	paaK//hcaB//hyaB//mocA//dxr//yihU//paaG//rutC//aceB//
go_0009246_6	dusC//waaY//dhaM//tdcG//dsdA//mutH//
go_0009249_6	allB//aroD//ghrB//
go_0009250_7	
go_0009251_7	xylA//
go_0009252_7	uxaA//eutD//yjjG//nanA//rsmD//alr//menI//rffM//ligA//yihV//rnd//nanK//yigL//ttdB//fes//ydiO//pncB//cdsA//idnK//opgE//pdeL//ynfF//yjjX//ynfH//ispB//
go_0009253_8	yfiC//orn//ldtC//katE//guaB//prmB//nrfB//aldB//proA//gmk//
go_0009254_8	ydiB//fucK//alaC//umpH//mnmC//glxK//pdeL//entD//iscS//lipA//fucO//
go_0009257_8	eptC//hisI//guaA//mhpA//
go_0009263_6	azoR//menF//
go_0009264_6	aroC//narZ//
go_0009265_7	moaE//
go_0009266_4	metL//nagB//fadK//pdxH//ogt//ppiC//
go_0009267_5	pgsA//ansA//
go_0009268_4	dosP//
go_0009271_4	
go_0009273_5	
go_0009290_6	
go_0009294_5	pabC//
go_0009297_6	
go_0009298_7	pdxJ//rlmF//miaA//
go_0009305_7	adhE//
go_0009306_4	
go_0009311_5	
go_0009314_4	aldB//mnmE//hemN//pgpB//metC//thiM//nth//suhB//waaZ//hcaE//pdeH//cobU//fes//purC//cyoE//cheB//cadA//
go_0009372_5	selA//waaJ//purU//
go_0009396_6	selB//pdeR//
go_0009398_7	paaZ//
go_0009401_7	hemD//purA//deoC//speE//panE//pgaD//pdxY//udp//hcp//zwf//ampD//nhoA//ybcF//rbsK//lgoD//lsrK//surA//glnS//pyrE//fre//
go_0009403_5	
go_0009405_4	
go_0009407_3	gltX//
go_0009408_4	dcm//ndh//argS//pgm//nfi//hemB//atoB//wecC//ldtE//gutQ//yqjH//yihV//rlmJ//kduI//umpG//ulaE//rluC//betA//avtA//argB//rph//glyS//rfe//treA//sad//dinB//
go_0009409_4	cdh//poxB//
go_0009410_4	gatY//
go_0009411_6	glgP//gcvP//ribD//udp//pncB//kdgK//lpxH//ilvA//cpdB//
go_0009416_5	ruvB//mazG//
go_0009423_8	cobB//pdxY//cpdB//queD//
go_0009432_5	suhB//dapF//trmI//folA//hypF//
go_0009435_9	rsmE//bcsA//aroD//thrA//murQ//
go_0009436_6	eutD//gadA//fabI//malS//
go_0009437_5	
go_0009438_5	
go_0009440_6	idi//dxs//hisF//
go_0009442_7	malZ//malQ//aroG//nudB//mltF//
go_0009443_5	paoC//yihX//wecC//
go_0009446_6	paaG//nadA//
go_0009447_6	thiG//dxr//yieH//serS//rph//hemE//sdaB//mutT//
go_0009450_6	argA//glpC//nagA//tag//
go_0009451_6	pdeH//arnT//nadD//nadD//
go_0009593_4	
go_0009597_5	
go_0009636_4	rpe//hyaB//gatY//recF//rlmM//
go_0009637_6	
go_0009651_5	
go_0009697_5	dmsB//
go_0009758_2	bglX//
go_0009785_5	
go_0009970_6	yjjX//rutA//yihT//
go_0009972_10	rpe//
go_0009992_5	pyrE//mutY//chbF//
go_0010033_4	
go_0010038_5	
go_0010039_6	orn//
go_0010041_7	fabA//nrfB//
go_0010042_6	plsC//
go_0010043_6	mrcA//rlmD//
go_0010045_6	proC//
go_0010106_6	
go_0010124_4	pflB//mngB//gabD//phnP//dnaE//serB//fumA//yfaU//
go_0010133_7	yieF//
go_0010139_7	garD//
go_0010165_6	nrfA//rimK//lpoA//phnG//glpK//proS//gltD//hcaF//
go_0010212_5	ribB//
go_0010226_6	clsC//
go_0010243_5	
go_0010272_6	thrA//
go_0010273_4	ydiO//eptC//rsmC//
go_0010312_3	zwf//
go_0010332_6	
go_0010350_6	
go_0010438_6	rdgB//waaJ//
go_0010447_5	xylA//appA//
go_0010468_6	proS//
go_0010498_6	gluQ//trpE//mrcB//puuC//
go_0010501_7	epd//nrfD//
go_0010557_7	
go_0010608_7	ubiG//
go_0010628_7	
go_0010629_7	ansB//
go_0010676_7	
go_0010699_4	etp//pgk//
go_0010810_5	
go_0010876_4	
go_0010911_5	
go_0010921_6	
go_0010951_8	
go_0010967_6	
go_0010974_7	
go_0012501_4	
go_0014070_5	spoT//prpB//gntK//acpT//gcl//sthA//mcrA//frdC//mrcA//
go_0015031_5	fabG//deoA//selB//asnB//garR//prpC//fabG//acpH//
go_0015074_6	
go_0015628_5	
go_0015670_6	chbG//
go_0015673_9	ung//
go_0015675_9	ubiE//
go_0015679_10	rluE//
go_0015682_8	gstA//
go_0015684_9	gntK//thiE//lysC//sthA//
go_0015685_8	ygjK//argH//
go_0015687_7	rbn//
go_0015688_6	tdcG//ahpC//
go_0015689_8	phnH//
go_0015691_9	adk//otsA//
go_0015692_8	pphB//
go_0015693_9	glcE//
go_0015696_6	yieF//
go_0015698_7	dhaM//
go_0015699_8	sdhC//
go_0015700_8	nrfD//
go_0015706_6	gph//menH//trmO//
go_0015707_6	hisF//appA//argS//pyrD//
go_0015709_6	pdeL//
go_0015710_8	cdh//amyA//
go_0015712_7	tesB//
go_0015718_8	trpB//
go_0015721_7	sdhC//aldA//cynS//
go_0015724_7	dgt//
go_0015726_8	cynT//
go_0015733_7	hyaB//
go_0015734_6	hflX//
go_0015736_9	sucD//
go_0015739_7	ldtB//
go_0015740_9	pheS//pyrF//mog//
go_0015741_10	gcd//uxaB//
go_0015747_6	ydiF//
go_0015748_6	pyrD//
go_0015749_7	ubiA//gatD//nrfC//glxK//ribD//glmS//gstB//
go_0015751_9	yciA//pta//
go_0015752_9	lpxK//cysK//
go_0015753_9	ppc//mrdA//
go_0015754_9	alaC//
go_0015755_9	miaB//murA//etp//
go_0015756_9	cmoA//xapA//
go_0015757_9	ssuD//prpC//solA//paaG//
go_0015760_8	cobS//
go_0015761_9	cobT//
go_0015762_9	hyaB//
go_0015764_7	cysK//hemH//rne//
go_0015765_8	gpt//puuB//
go_0015767_9	hcaD//fklB//nagK//
go_0015768_9	metC//fre//hyaC//
go_0015769_9	glxK//
go_0015771_9	thiL//epmC//cadA//
go_0015772_7	waaO//gpmA//lpxB//
go_0015774_7	ilvM//
go_0015778_7	fumC//
go_0015793_7	aceA//gmd//
go_0015794_7	purF//queA//
go_0015795_7	phnG//bioC//
go_0015796_7	pbpC//
go_0015797_7	hemC//cheR//mgsA//
go_0015803_7	sdhC//torA//cueO//
go_0015804_7	ilvH//slyD//
go_0015806_6	hycB//
go_0015807_7	yihV//menD//rluE//deoB//hcp//tmcA//
go_0015808_8	pyrE//murA//
go_0015809_7	eptB//
go_0015810_8	tsaC//pabA//
go_0015811_7	rfaE//opgB//
go_0015813_6	uxuA//yjiA//hisH//
go_0015814_7	tsaE//
go_0015816_6	coaE//
go_0015817_7	garK//pfkB//
go_0015818_7	idi//citC//
go_0015820_7	dhaM//yfbR//pyrH//yahK//hisI//
go_0015821_7	yfbR//phr//
go_0015822_7	umuD//
go_0015823_7	gcvH//plsB//rnb//acpS//serB//
go_0015824_7	rluE//puuD//rdgB//
go_0015825_8	hisA//
go_0015826_7	ynfF//ilvC//dosP//
go_0015827_7	xylB//mtn//mltD//
go_0015828_7	metF//polA//
go_0015829_7	patA//rfbC//yfdR//
go_0015830_7	proA//
go_0015833_6	narG//narG//cobC//purD//gabT//yihT//tyrS//rlmA//pabA//hisD//
go_0015834_7	ispG//yjhH//
go_0015835_6	fumC//
go_0015836_7	gdhA//rbn//
go_0015839_7	astB//
go_0015846_6	yggF//gutQ//
go_0015847_7	phnO//ddlB//patZ//paaH//ispA//
go_0015848_7	rlmD//nrdF//
go_0015851_6	
go_0015853_8	rbsD//aceA//
go_0015856_8	yieH//
go_0015857_6	mazG//dfp//
go_0015858_7	yrfG//thiL//thiE//
go_0015860_7	ubiI//sthA//
go_0015861_9	ycjU//cysN//
go_0015862_9	glgP//wzc//
go_0015863_8	mepS//
go_0015864_8	sucD//
go_0015871_6	wrbA//yigL//menB//kdsB//
go_0015878_6	
go_0015879_9	pgpB//
go_0015882_7	dnaE//
go_0015886_6	ndk//yfeW//
go_0015887_7	cysH//
go_0015888_6	dacA//
go_0015889_6	rlmG//bglA//deoB//
go_0015891_6	aspA//
go_0015906_6	pdxJ//
