# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	trmI//
go_0006044_7	ldtA//
go_0006046_8	aceA//fabG//
go_0006047_5	alsE//deoA//
go_0006048_6	rnd//pldB//patD//kbaY//
go_0006053_8	purA//
go_0006062_8	insI-1//
go_0006071_6	dgt//hflX//
go_0006072_6	pabA//
go_0006082_4	sgbU//
go_0006083_6	murF//moaA//uxuA//
go_0006086_8	tig//arnB//
go_0006090_8	paaK//tyrA//ilvH//katG//nirB//glcD//rsmH//
go_0006094_7	rlmI//ilvD//rluE//nrdB//upp//alkA//dhaM//folX//cheR//
go_0006096_6	rhaB//dmsC//hisA//cmoA//yqaB//hyaA//adiA//poxB//ycaO//purB//birA//dnaE//tig//
go_0006097_5	trmL//guaC//dfp//lplA//ldtB//
go_0006098_6	ansB//panE//dbpA//ycjU//mutM//
go_0006099_4	gatZ//preT//hyaB//nrdD//truB//fadD//lysS//pabA//yigB//fcl//fkpA//rbn//thiI//
go_0006103_5	solA//udk//wecB//recO//
go_0006104_6	alaC//
go_0006105_5	glgA//
go_0006106_8	ispG//
go_0006107_8	
go_0006108_8	pheT//hisA//puuC//mhpC//
go_0006113_5	maa//puuB//
go_0006115_6	dgcZ//
go_0006124_6	
go_0006144_6	
go_0006145_7	kdsB//
go_0006146_8	mnmE//
go_0006148_9	ddlA//
go_0006149_9	dcm//
go_0006150_9	surA//
go_0006152_7	mnmA//sucB//paaB//metB//phnM//
go_0006154_6	ybhA//
go_0006161_9	dnaE//
go_0006163_6	carB//
go_0006164_7	nagK//pyrD//leuS//pgpC//
go_0006166_6	fadE//
go_0006168_7	ispB//pgi//
go_0006171_9	
go_0006172_9	ahr//
go_0006177_9	sad//
go_0006178_7	nadB//
go_0006183_9	bacA//
go_0006189_10	araD//glmU//
go_0006203_8	gabT//rfbC//
go_0006206_6	fucA//lpd//eptB//
go_0006207_8	argD//folP//nagB//argF//murE//
go_0006208_7	glxR//rsmB//ilvN//ribA//ilvM//acpT//
go_0006209_6	surA//
go_0006210_8	lpxH//
go_0006212_6	ppsA//ynfF//mrcB//paaB//argA//sufS//metH//prs//napC//pdxB//
go_0006217_9	metB//
go_0006218_9	mhpD//
go_0006220_6	waaU//
go_0006221_7	nanA//gpmA//cobU//
go_0006222_9	
go_0006225_9	gatD//
go_0006226_9	yahK//talB//
go_0006227_9	sbcB//
go_0006231_9	mcrB//
go_0006233_9	mhpD//
go_0006235_9	pgpB//
go_0006241_9	waaO//
go_0006259_5	accB//lipA//trpE//
go_0006260_6	malZ//nrfB//guaA//lpxP//garL//bioH//thrC//
go_0006261_7	rluD//ybiV//hpt//
go_0006265_6	phnP//gatZ//
go_0006266_6	menI//ahpC//hemC//
go_0006267_5	
go_0006268_9	solA//waaY//
go_0006269_6	uxaB//
go_0006270_6	
go_0006271_7	
go_0006274_6	
go_0006275_7	
go_0006276_3	dkgA//ada//
go_0006281_6	trpE//tmk//spoT//glpX//ilvM//fadA//napC//ilvC//lplA//rlmH//argC//agp//citX//poxB//nrdA//curA//narY//
go_0006283_8	
go_0006284_7	ampD//paaK//mcrB//rlmG//sdhA//pdxH//
go_0006285_6	lpxK//yjcS//tgt//plsB//
go_0006288_8	entA//waaZ//
go_0006289_7	
go_0006298_7	fkpB//mraY//fadH//nth//
go_0006301_7	
go_0006302_7	uxaB//ilvH//
go_0006307_8	ldtB//glcE//maeA//recR//metC//
go_0006308_6	bglA//nemA//ushA//aldB//
go_0006310_6	rlmH//malP//serA//yeaE//abgB//
go_0006313_4	lpoB//
go_0006351_6	umuD//mmuM//
go_0006352_7	
go_0006353_7	
go_0006354_7	lsrG//
go_0006355_7	kbaZ//
go_0006357_8	
go_0006364_9	ldhA//bfr//allC//rsmH//
go_0006378_8	pck//
go_0006396_7	rffG//mtlD//gcvP//bioF//gltD//
go_0006397_8	chbF//
go_0006399_8	nemA//aroC//
go_0006400_7	rlmJ//tgt//tyrB//ribB//pta//
go_0006401_6	cheR//birA//pck//dcyD//glpK//dxs//
go_0006402_7	thiD//hisI//bcsA//hyaC//treC//trpC//moaE//
go_0006412_6	gstB//maa//speA//hemD//trpA//
go_0006413_4	pflB//
go_0006414_6	
go_0006415_7	gshA//ygeX//
go_0006417_7	aceF//cysS//
go_0006418_7	kdsB//gloA//gshB//phnN//gloC//gcvT//allB//deoB//caiB//allD//araB//
go_0006419_8	hinT//
go_0006420_8	truC//
go_0006421_8	yagF//
go_0006422_8	dosP//
go_0006423_8	pyrD//
go_0006424_8	glmM//speF//
go_0006425_8	hisF//
go_0006427_8	serB//
go_0006428_8	putA//
go_0006429_8	ilvC//
go_0006430_8	appA//hemB//
go_0006431_8	codA//
go_0006432_8	yjjX//
go_0006433_8	acs//
go_0006434_8	cysC//
go_0006435_8	mhpD//
go_0006436_8	maeA//
go_0006437_8	waaJ//
go_0006438_8	hisF//
go_0006448_8	
go_0006450_4	gcvT//deoB//yidA//hcaE//fucO//otsA//
go_0006457_3	rffT//glpD//aroC//talB//fadD//uxuB//nirD//
go_0006458_4	
go_0006464_6	aldA//valS//pyrF//guaD//acpT//yieH//uidA//lysS//
go_0006465_6	xdhB//def//zwf//
go_0006468_7	nadE//
go_0006470_7	adiA//fabD//amiD//nrdB//ygeX//
go_0006473_8	mtn//
go_0006474_6	kdgK//gutQ//trpB//
go_0006476_8	purU//
go_0006479_5	waaQ//selB//tdk//mazG//folD//thyA//
go_0006486_5	ulaF//
go_0006490_5	gloA//
go_0006508_5	pgsA//prpD//ulaF//nanE//tktA//rluB//miaA//carA//fadJ//bglX//gloC//pck//glxK//adhP//sucA//umpG//pfkB//narV//uxuB//sgbU//aroD//guaB//speB//rfaD//rnt//lsrK//proA//narH//rbn//dam//mutL//dmlA//tktB//
go_0006515_7	ydiF//hdhA//gshA//ilvE//cynT//yjcS//ileS//
go_0006517_6	dgt//metB//
go_0006518_5	lpxL//xylA//
go_0006523_8	paaK//purC//
go_0006524_8	
go_0006526_8	bioB//guaB//rlmM//fadE//hemC//argH//nfi//
go_0006527_8	miaA//cysM//rfaD//pyrD//pfkA//
go_0006529_7	insI-2//epmC//
go_0006530_7	eptB//dapA//waaU//lplA//
go_0006531_7	rlmE//
go_0006532_8	uvrA//fadJ//recO//
go_0006535_8	gatY//phnG//sad//
go_0006537_8	suhB//
go_0006538_8	eda//malY//
go_0006541_7	rlmM//rdgB//rsmH//talB//metL//
go_0006542_8	rlmB//cyaA//
go_0006543_8	
go_0006545_6	narY//
go_0006546_6	rluD//ppsA//fadJ//
go_0006554_8	ilvE//sdhA//ydiF//
go_0006556_5	citG//
go_0006559_6	fabH//
go_0006561_6	glxK//pflB//
go_0006563_7	murG//
go_0006564_8	ttdB//folA//yihS//rsmA//
go_0006565_8	trpC//phnL//hemE//arsC//murG//
go_0006566_7	cysK//
go_0006567_8	thrA//yahK//nadD//alaC//fumA//puuD//argE//
go_0006569_7	asnB//
go_0006571_7	fabI//thiG//
go_0006593_7	tdcE//
go_0006598_8	cobU//tauD//araA//
go_0006605_6	
go_0006612_6	
go_0006614_8	
go_0006616_7	
go_0006629_4	tktB//yahK//
go_0006631_5	cysG//nrfC//purB//hemL//tyrA//
go_0006633_6	trmA//patA//truA//frc//ispA//clsB//sgbH//waaA//dbpA//sdhD//ispG//
go_0006635_6	acnB//hisS//malY//polA//kdsA//hinT//solA//eda//cdsA//tdh//kdsD//mepS//
go_0006636_7	
go_0006637_5	pykF//ubiA//yieH//purL//mnmC//
go_0006646_7	
go_0006650_6	
go_0006654_7	allB//
go_0006655_7	gloC//yfiC//
go_0006725_4	asnB//
go_0006729_6	ubiX//xdhB//
go_0006730_4	sucA//pfkB//ribA//
go_0006734_9	
go_0006740_4	
go_0006741_9	
go_0006742_8	
go_0006744_7	araB//cheB//pgi//thrS//thiI//pdxH//cysM//glgC//rnb//alkB//fre//mepS//
go_0006749_5	umuC//fkpA//
go_0006750_6	pnp//pldB//
go_0006751_6	zwf//
go_0006757_5	tynA//
go_0006760_5	mltD//
go_0006761_7	lysU//
go_0006771_5	rdgB//
go_0006772_6	rne//ndh//
go_0006777_5	ldtA//thiL//dhaK//ligB//serB//
go_0006779_6	gluQ//malZ//gcvT//gloC//citX//
go_0006780_7	dnaQ//
go_0006782_7	galK//ndh//cobU//glnE//
go_0006783_5	cobU//prpB//srlD//cysK//trmD//dacC//yhdJ//
go_0006790_4	cobU//plsC//glmU//panE//pldB//idnK//yihS//ung//uvrC//thrB//
go_0006791_2	rlmL//kdsD//amyA//
go_0006793_4	feaB//csdA//
go_0006798_5	arsC//
go_0006799_5	pyrB//
go_0006801_5	bglX//cmk//dgt//
go_0006805_4	psd//gpt//rnt//dapF//
go_0006807_3	sbcB//uxuB//dacA//
go_0006808_4	mgsA//
go_0006810_4	tdcG//fadE//sad//pdeH//nudC//aroF//ahpC//rsmH//accD//nadE//prpB//mug//umpH//nanE//ycaO//rrrD//ribA//mrcB//lysU//nudC//nudG//glgX//tdcD//fadB//def//thiG//fabA//yqjH//lpxP//yeaG//cpsG//waaH//mdh//entC//rlmC//waaJ//serC//hemH//pbpC//kdsB//dmlA//glnS//yfcG//kbaY//selD//waaP//fadM//arnA//napB//preT//bcsA//fadH//queD//waaB//ruvC//queD//hisD//napA//puuD//frdC//pinE//gstA//gudD//paoC//murB//dbpA//truD//epd//moeA//mdh//mltA//rsmA//pgk//scpC//argS//phnN//phnH//
go_0006811_5	selA//ilvB//ynfF//frlC//lipB//yhdJ//malS//rbsD//tilS//folP//insI-2//
go_0006812_6	lpxL//ampH//
go_0006813_8	narG//waaO//adeD//glgP//murD//umuC//rlmB//dam//
go_0006814_8	yihT//betB//proB//entF//
go_0006817_8	adhP//
go_0006820_6	ilvC//ispA//gutQ//lysC//purD//
go_0006821_8	speB//
go_0006824_8	selD//tgt//rlmM//tsaC//
go_0006825_9	amyA//
go_0006826_9	pck//
go_0006828_9	nudF//
go_0006829_9	pabA//pldB//lpxM//frc//surA//
go_0006833_6	
go_0006835_8	fabA//speD//
go_0006847_8	entB//
go_0006855_6	dacC//melA//dusC//rutA//accD//ilvD//hcp//gshA//yccX//hypB//lldD//yfcG//mrcA//glmU//
go_0006857_7	wecB//hisS//ldtE//
go_0006863_7	deoD//
go_0006865_6	epmB//pncB//rph//glpD//glpC//hemE//arsC//dcd//spoT//rpe//argI//pyrC//puuE//gapA//waaG//glpK//purB//pfkB//moaE//hemC//metC//
go_0006868_7	yfcG//
go_0006869_6	cadA//
go_0006874_8	
go_0006876_8	narZ//
go_0006878_9	cdsA//
go_0006879_9	pdeR//hcaE//
go_0006880_4	clsC//gudD//
go_0006882_8	napA//
go_0006883_8	epmA//glcB//waaJ//
go_0006884_4	
go_0006885_9	yfbR//
go_0006886_5	
go_0006928_3	garK//
go_0006935_4	sucA//pncB//cobS//ynfE//mazG//
go_0006970_4	dgoD//fabG//nhoA//alkA//rbsK//galT//
go_0006972_5	hemF//ftsI//metB//pdxA//dacC//
go_0006974_5	rsmC//cpdA//paaC//prs//sucA//pyrC//der//ushA//ruvA//yfbR//prpD//cobT//ilvI//rbsK//dhaK//gatZ//menI//clsB//proC//aroC//nrdA//accB//cmk//etk//purA//purL//yfdR//frdA//frdB//lpxP//wrbA//patA//truB//entD//entH//kefF//ruvB//phnJ//dnaQ//wzb//hisC//miaB//tyrA//chbG//trmO//tdk//xdhB//ldhA//ldcC//dhaK//ubiF//alkA//cobT//relA//glk//allD//cdsA//yjcS//ruvA//dgcT//nemA//selA//nagK//pfkA//acpH//kbaY//cheB//dacC//speE//folC//moaA//menH//dxr//paaZ//ttdA//tsaD//paaJ//accC//rffH//yihU//sdaA//suhB//hyaB//tauD//gltB//narI//fruK//gcl//rlmF//bcsA//gabT//mgsA//hmp//pabB//nadB//
go_0006979_4	moaA//glgP//dapD//gluQ//puuB//yjjX//astB//betB//hemE//caiD//nagK//torC//serA//plsC//hemA//speB//murA//cysQ//katG//pbpC//argI//hisG//tynA//pinE//waaH//rfbD//
go_0006986_5	mrcB//
go_0006995_6	fadK//cmoB//
go_0007059_3	sthA//nagZ//
go_0007062_4	
go_0007155_3	xdhB//
go_0007165_3	umpG//moeA//
go_0007234_5	
go_0007584_4	
go_0008033_9	recJ//nfi//mutS//ubiE//ldcC//speA//paaF//aceA//
go_0008104_4	
go_0008152_2	pncB//ruvB//hemL//wzb//asd//gloC//rlmG//speB//entB//glcE//dapA//ppiA//proB//nagZ//codA//yhdJ//tyrS//
go_0008156_8	
go_0008219_3	
go_0008272_6	waaG//speC//
go_0008295_6	leuC//ligB//mmuM//
go_0008299_5	folE//
go_0008360_4	ampD//adiA//ydfG//hmp//ldtC//ppk//chbF//pgaD//dfp//dgoK//azoR//
go_0008610_5	phnN//pykA//napC//nagB//
go_0008615_6	miaA//paaE//recF//clsB//rlmM//fadE//glxK//
go_0008616_8	dacC//cdh//rihA//pheT//murA//psd//
go_0008643_6	yfeX//phnM//ilvE//thrA//fadA//hycB//astB//adeD//sdaA//rsmI//adhE//recG//bioA//dhaM//recO//recO//serA//dnaQ//
go_0008652_5	hyi//valS//yrfG//pykA//rffH//mtgA//dapF//fadM//
go_0008653_5	
go_0008654_5	cysI//yfeW//nagK//ilvN//
go_0009050_6	gltD//menH//
go_0009052_6	ttdA//recO//murQ//trmH//rluE//rhaB//
go_0009056_3	dmsC//
go_0009058_3	folP//kdsB//rhaA//accD//
go_0009060_6	malZ//paaA//fbp//napC//hemD//rffT//glpD//
go_0009061_6	nudF//bioC//folX//sdhD//glpK//menB//gpmA//trmI//glpK//yrfG//pyrF//sucC//rfbC//epd//nudF//mnmG//ilvN//murQ//eutB//pfkB//relA//
go_0009062_6	deoC//
go_0009063_5	ppiC//trpE//mug//
go_0009070_7	glyA//
go_0009073_6	tyrS//aceB//lysA//glpX//selD//cobU//queF//mutT//preA//waaO//phnO//
go_0009081_5	yihS//kdsB//
go_0009082_6	pncB//glnE//serS//ycaO//gph//tsaB//mltD//
go_0009085_8	cheB//
go_0009086_7	narH//udp//proB//galT//pykA//
go_0009088_8	mrcB//ldcC//
go_0009089_6	apt//mug//selB//kdgK//waaB//garL//
go_0009090_8	argS//ttdA//ubiG//rfbD//
go_0009092_7	nudB//
go_0009093_7	
go_0009094_6	yrfG//phnM//nudG//
go_0009097_7	waaF//nudB//galM//gph//epd//
go_0009098_7	ydiB//mrcB//glcD//malS//paaC//cof//
go_0009099_7	ubiA//aceF//araB//tdk//nagK//cyoE//waaP//
go_0009102_6	yccX//ydfG//edd//bioB//lpd//kduD//insI-2//ilvD//ackA//
go_0009103_6	bioC//panE//waaA//mhpB//ttdA//wrbA//guaD//def//tadA//
go_0009106_5	malQ//
go_0009107_6	lpd//asnA//
go_0009108_6	torC//
go_0009116_5	cysD//iaaA//
go_0009142_7	malZ//
go_0009143_7	pyrB//
go_0009152_8	cysN//
go_0009157_8	idnD//
go_0009166_7	nhoA//pagP//
go_0009168_9	ispH//
go_0009220_8	ppiC//frc//
go_0009224_9	carB//
go_0009226_6	rdgB//mnaT//
go_0009228_7	dosP//gltD//mhpA//ubiA//upp//frlB//pnp//yghU//purF//
go_0009229_6	gudD//ribB//
go_0009231_6	rnpA//mnmE//yqaB//yfeX//citE//opgE//epd//
go_0009234_7	dgkA//glgC//ldcA//rffT//dld//gatY//dhaL//preA//ppiC//
go_0009236_6	pdxB//idnK//psuG//hmp//recG//plsC//
go_0009237_4	truA//pbpC//
go_0009239_6	trmD//relA//hemC//kefF//dadA//yjhH//dadA//paaA//
go_0009240_6	glpB//
go_0009242_6	purN//mhpA//xdhB//glnE//gpmM//mcrB//hcaF//queG//
go_0009243_7	metL//
go_0009244_7	mhpD//moaA//lpoA//mngB//betA//bioD//ftnA//tatD//rutB//pfkB//sgbE//asnB//ampD//yeaG//ruvA//srlD//sucC//entE//metH//gstB//def//fucO//
go_0009245_6	orn//yagE//uidA//nrdF//dmsA//eutB//rpiB//glnE//guaB//
go_0009246_6	guaD//rffM//ftnA//glpC//betB//ubiA//
go_0009249_6	hemH//cheB//ubiD//
go_0009250_7	
go_0009251_7	ybjG//
go_0009252_7	ilvI//gltB//leuS//putA//moaD//proC//otsB//sufS//ansB//deoC//rsmA//sdaA//purN//glcB//mrdA//btuR//phnI//tsaB//lpxH//ldtE//hyaB//ybiV//aroB//cheR//paaJ//
go_0009253_8	pheS//glmU//pldB//dcm//def//rlmM//sucD//phnG//menD//rlmD//
go_0009254_8	glcB//otsB//ulaE//kdsB//fadE//ruvB//malS//kdsB//pgl//entD//rlmA//
go_0009257_8	tmcA//dfp//argG//lysU//
go_0009263_6	astB//pheA//
go_0009264_6	argF//hmp//
go_0009265_7	treA//
go_0009266_4	fadK//cobB//waaA//mhpA//cynS//rluF//
go_0009267_5	hisS//cyoE//
go_0009268_4	alsE//
go_0009271_4	
go_0009273_5	
go_0009290_6	
go_0009294_5	treF//
go_0009297_6	
go_0009298_7	xthA//aroH//ravA//
go_0009305_7	fruK//
go_0009306_4	
go_0009311_5	
go_0009314_4	hemN//gldA//ampD//menC//paaJ//acpH//dapF//prpD//folC//waaU//umpG//ligB//asnB//thiM//tnaA//rluD//lpxP//
go_0009372_5	xylA//fbaA//ttdA//
go_0009396_6	mug//malP//
go_0009398_7	slyD//
go_0009401_7	ldtC//clsB//yihX//hcaB//cmoB//dgcM//tktA//astB//waaU//hemD//serB//paaJ//entF//rlmC//ppk//tcdA//tynA//amyA//fadM//ubiX//
go_0009403_5	
go_0009405_4	
go_0009407_3	recO//
go_0009408_4	fcl//proC//cpsG//luxS//codA//serC//lpxM//tyrS//aroB//alsE//rsmE//waaQ//rlmM//proB//epd//nhoA//asnB//spoT//xdhB//fadJ//nirB//yfcF//etp//truC//eptA//yfaU//
go_0009409_4	alsE//yajO//
go_0009410_4	glmS//
go_0009411_6	serS//eptC//menA//bioB//suhB//purL//hisB//rsmG//epmA//
go_0009416_5	uxaC//rnt//
go_0009423_8	gshB//gshA//nirD//pflB//
go_0009432_5	trmO//tyrS//argG//pphA//malY//
go_0009435_9	yfcG//scpB//ygjK//mdh//rfe//
go_0009436_6	pgpC//maa//rsmF//kdsC//
go_0009437_5	
go_0009438_5	
go_0009440_6	aldB//fumC//moeB//
go_0009442_7	rfaE//metH//truC//thrB//thiI//
go_0009443_5	napA//epmA//acpT//
go_0009446_6	rlmH//proA//
go_0009447_6	rpiA//nudG//recF//serS//arnT//lysA//cpdA//acpT//
go_0009450_6	pdxA//recG//hemA//carB//
go_0009451_6	purF//betA//phr//acpH//
go_0009593_4	
go_0009597_5	
go_0009636_4	codA//btuR//yigB//ycaO//nadC//
go_0009637_6	
go_0009651_5	
go_0009697_5	argF//
go_0009758_2	garL//
go_0009785_5	
go_0009970_6	pdxH//pdeL//plsC//
go_0009972_10	ruvC//
go_0009992_5	insI-2//mltF//pgi//
go_0010033_4	
go_0010038_5	
go_0010039_6	ldtE//
go_0010041_7	gmhB//nrdA//
go_0010042_6	frc//
go_0010043_6	gltX//fucK//
go_0010045_6	lipA//
go_0010106_6	
go_0010124_4	moaA//carB//orn//recJ//hemE//aspS//ribF//narY//
go_0010133_7	ppx//
go_0010139_7	citE//
go_0010165_6	gdhA//hemC//epmC//agp//argD//entF//curA//metC//
go_0010212_5	rsgA//
go_0010226_6	xdhB//
go_0010243_5	
go_0010272_6	asnS//
go_0010273_4	ddlB//mnmG//rsmA//
go_0010312_3	arsC//
go_0010332_6	
go_0010350_6	
go_0010438_6	pck//narI//
go_0010447_5	yghU//narH//
go_0010468_6	opgB//
go_0010498_6	tadA//malP//deoB//cmoA//
go_0010501_7	insI-1//rfbD//
go_0010557_7	
go_0010608_7	rbsK//
go_0010628_7	
go_0010629_7	rutC//
go_0010676_7	
go_0010699_4	mnmA//ansA//
go_0010810_5	
go_0010876_4	
go_0010911_5	
go_0010921_6	
go_0010951_8	
go_0010967_6	
go_0010974_7	
go_0012501_4	
go_0014070_5	ydfG//nfsB//frmB//rsgA//ldtA//eutD//trpC//fadD//nanA//
go_0015031_5	fadI//gcl//cysK//talB//nudG//frdD//fkpA//hisS//
go_0015074_6	
go_0015628_5	
go_0015670_6	dapF//
go_0015673_9	btuE//
go_0015675_9	panB//
go_0015679_10	speD//
go_0015682_8	alaC//
go_0015684_9	sad//recG//ubiE//asnA//
go_0015685_8	bioC//rluC//
go_0015687_7	gmd//
go_0015688_6	lysU//eutD//
go_0015689_8	metK//
go_0015691_9	pck//pabB//
go_0015692_8	ydiF//
go_0015693_9	aphA//
go_0015696_6	ubiF//
go_0015698_7	lsrK//
go_0015699_8	gloC//
go_0015700_8	yeiG//
go_0015706_6	nrdB//pykF//napB//
go_0015707_6	dnaQ//hcaC//fcl//sgbH//
go_0015709_6	tyrS//
go_0015710_8	thiG//dcm//
go_0015712_7	hemF//
go_0015718_8	gor//
go_0015721_7	folP//udp//dmsB//
go_0015724_7	hisD//
go_0015726_8	rluC//
go_0015733_7	xapA//
go_0015734_6	paaB//
go_0015736_9	ydiF//
go_0015739_7	truB//
go_0015740_9	folM//ulaG//lipA//
go_0015741_10	waaG//ispB//
go_0015747_6	gadA//
go_0015748_6	cmoB//
go_0015749_7	betB//yieH//slt//gpt//paoC//cmoA//gpt//
go_0015751_9	cysG//thiL//
go_0015752_9	lldD//aroB//
go_0015753_9	sdhA//yciA//
go_0015754_9	bioC//
go_0015755_9	argF//dld//yjiA//
go_0015756_9	bcsA//btuE//
go_0015757_9	trmH//cynT//ybiV//ldtE//
go_0015760_8	aroG//
go_0015761_9	acnA//
go_0015762_9	thrB//
go_0015764_7	yfaU//maa//menF//
go_0015765_8	ydiO//dxr//
go_0015767_9	ispH//hcaF//tktB//
go_0015768_9	putA//aroA//garR//
go_0015769_9	yfbR//
go_0015771_9	paaF//cpsG//katE//
go_0015772_7	paaH//proB//eno//
go_0015774_7	rdgB//
go_0015778_7	lyxK//
go_0015793_7	clsB//gph//
go_0015794_7	yhdH//rne//
go_0015795_7	fre//pyrD//
go_0015796_7	paaF//
go_0015797_7	opgE//fucO//yfeW//
go_0015803_7	ssuD//folM//sbcB//
go_0015804_7	orn//fadM//
go_0015806_6	clsB//
go_0015807_7	rnpA//argE//mltD//rlmM//ruvA//gatD//
go_0015808_8	pyrC//glmS//
go_0015809_7	yciA//
go_0015810_8	trmH//mazG//
go_0015811_7	fumC//murG//
go_0015813_6	glcF//rsmG//guaC//
go_0015814_7	tktB//
go_0015816_6	mnmA//
go_0015817_7	rsmA//aroK//
go_0015818_7	cysC//rnd//
go_0015820_7	tesB//dgcZ//cobB//galK//nrdB//
go_0015821_7	thiL//mutS//
go_0015822_7	opgB//
go_0015823_7	frdA//eno//ilvH//thiE//ynfH//
go_0015824_7	torA//proS//epd//
go_0015825_8	nanK//
go_0015826_7	nth//gpmM//wecB//
go_0015827_7	mrcA//gldA//tyrA//
go_0015828_7	pncB//speG//
go_0015829_7	aceF//cdd//fadD//
go_0015830_7	mnaT//
go_0015833_6	deoB//maa//yjjX//yieH//pgsA//prpB//aroH//hisB//umpG//mdh//
go_0015834_7	menE//narY//
go_0015835_6	galU//
go_0015836_7	accC//gcvH//
go_0015839_7	gltX//
go_0015846_6	glcF//pabA//
go_0015847_7	hflX//yjiA//sad//mltB//rfbC//
go_0015848_7	abgA//lsrG//
go_0015851_6	
go_0015853_8	rihA//folD//
go_0015856_8	yjjX//
go_0015857_6	narI//lacZ//
go_0015858_7	rutB//rihB//citG//
go_0015860_7	asd//cysQ//
go_0015861_9	rdgB//fadK//
go_0015862_9	narG//phnJ//
go_0015863_8	tcdA//
go_0015864_8	recO//
go_0015871_6	nagZ//sdhA//cysC//guaA//
go_0015878_6	
go_0015879_9	rutA//
go_0015882_7	wecC//
go_0015886_6	slyD//paaJ//
go_0015887_7	trmJ//
go_0015888_6	ansB//
go_0015889_6	fdhF//ascB//ada//
go_0015891_6	ddlB//
go_0015906_6	pldB//
go_0015909_8	upp//
